"","egsu001","egsu002","egsu003","egsu004","egsu005","egsu006","egsu007","egsu008","egsu009","egsu010","egsu011","egsu012","egsu013","egsu014","egsu015","egsu016","egsu017","egsu018","egsu019","egsu020","egsu021","egsu022","egsu023","egsu024","egsu025","egsu026","egsu027","egsu028","egsu029","egsu030","egsu031","egsu032","egsu033","egsu034","egsu035","egsu036","egsu037","egsu038","egsu039","egsu040","egsu041","egsu042","egsu043","egsu044","egsu045","egsu046","egsu047","egsu048","egsu049","egsu050","egsu051","egsu052","egsu053","egsu054","egsu055","egsu056","egsu057","egsu058","egsu059","egsu060"
"egsu001",0.3,0,0.0744047619047619,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.0223214285714286,0,0,0,0.104166666666667,0.0260416666666667,0,0.0434027777777778,0,0,0,0,0.0260416666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0.104166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu002",0,0.166666666666667,0,0,0,0.075,0.0100446428571429,0,0,0,0,0,0,0,0,0,0,0.00753348214285715,0,0,0.0078125,0.0234375,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0.046875,0.046875,0,0,0.015625,0,0,0,0.0087890625,0,0,0,0,0,0,0.0267857142857143,0.0167410714285714,0,0,0,0.084375,0,0,0.075,0
"egsu003",0.0744047619047619,0,0.214285714285714,0,0,0,0,0,0,0,0,0,0.0133928571428571,0,0,0,0,0.00956632653061225,0,0,0,0.0446428571428571,0.0111607142857143,0,0.0632440476190476,0,0,0,0,0.0111607142857143,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0.0446428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu004",0,0,0,0.333333333333333,0,0,0,0.0535714285714286,0,0,0,0.00669642857142857,0,0,0.00535714285714286,0,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0.0857142857142857,0.00223214285714286,0,0,0,0,0,0,0.0535714285714286,0,0,0,0.0100446428571429,0,0.0857142857142857,0,0,0,0,0.00200892857142857,0.0038265306122449,0.076530612244898,0,0,0,0,0.0714285714285714,0,0,0
"egsu005",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05625,0,0,0,0,0.025,0,0.075,0,0,0,0,0
"egsu006",0,0.075,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
"egsu007",0,0.0100446428571429,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0.0129145408163265,0,0,0.0357142857142857,0.00669642857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133928571428571,0,0,0.0178571428571429,0,0,0,0.0150669642857143,0,0,0,0,0,0,0.0306122448979592,0.00478316326530612,0,0,0,0.0241071428571429,0,0,0.00535714285714286,0
"egsu008",0,0,0,0.0535714285714286,0,0,0,0.45,0,0.05,0,0.03125,0,0.03125,0.025,0,0,0,0.0833333333333333,0,0,0,0.0625,0,0,0,0,0,0.133928571428571,0,0,0.0208333333333333,0,0,0,0,0,0,0.0625,0,0,0,0.046875,0,0.1,0,0,0.0234375,0,0.009375,0.0178571428571429,0.0223214285714286,0,0,0,0,0,0,0,0
"egsu009",0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu010",0,0,0,0,0,0,0,0.05,0,0,0,0.00625,0,0.025,0.005,0,0.04,0,0.0166666666666667,0,0,0,0.05,0,0,0,0,0,0,0,0,0.0104166666666667,0,0,0,0,0,0,0.05,0,0,0,0.009375,0,0,0,0,0.01875,0,0.001875,0.00357142857142857,0,0,0,0,0,0,0,0,0
