"","egsu001","egsu002","egsu003","egsu004","egsu005","egsu006","egsu007","egsu008","egsu009","egsu010","egsu011","egsu012","egsu013","egsu014","egsu015","egsu016","egsu017","egsu018","egsu019","egsu020","egsu021","egsu022","egsu023","egsu024","egsu025","egsu026","egsu027","egsu028","egsu029","egsu030","egsu031","egsu032","egsu033","egsu034","egsu035","egsu036","egsu037","egsu038","egsu039","egsu040","egsu041","egsu042","egsu043","egsu044","egsu045","egsu046","egsu047","egsu048","egsu049","egsu050","egsu051","egsu052","egsu053","egsu054","egsu055","egsu056","egsu057","egsu058","egsu059","egsu060"
"egsu001",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0.5,0.125,0,0.25,0,0,0,0,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu002",0,0.5,0,0,0,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0.0625,0.125,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0.25,0,0,0.125,0,0,0,0.046875,0,0,0,0,0,0,0.25,0.125,0,0,0,0.5,0,0,0.5,0
"egsu003",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0.25,0.0625,0,0.5,0,0,0,0,0.0625,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu004",0,0,0,0.5,0,0,0,0.25,0,0,0,0.03125,0,0,0.03125,0,0,0,0.125,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.03125,0,0,0,0,0,0,0.25,0,0,0,0.0625,0,0.5,0,0,0,0,0.015625,0.03125,0.5,0,0,0,0,0.5,0,0,0
"egsu005",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0.5,0,0,0,0,0
"egsu006",0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
"egsu007",0,0.125,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.28125,0,0,0.5,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.25,0,0,0,0.140625,0,0,0,0,0,0,0.5,0.0625,0,0,0,0.25,0,0,0.0625,0
"egsu008",0,0,0,0.25,0,0,0,0.5,0,0.5,0,0.125,0,0.125,0.125,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5,0,0,0.125,0,0.0625,0.125,0.125,0,0,0,0,0,0,0,0
"egsu009",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu010",0,0,0,0,0,0,0,0.5,0,0,0,0.0625,0,0.25,0.0625,0,0.5,0,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0.5,0,0,0,0.125,0,0,0,0,0.25,0,0.03125,0.0625,0,0,0,0,0,0,0,0,0
