"waveid","su_id","smaller_meals","fewer_meals","no_food","sleep_hungry","without_eating","malehead","femalehead","cow","bull","goat","chicken","motorcycle","bicycle","tv","smartphone","refrigerator","sofa","cot","mattress","sewingmachine","tractor","plow","ownedland","washingmachine","radio","laptop","car","smaller_meals_ord","fewer_meals_ord","no_food_ord","sleep_hungry_ord","without_eating_ord","su_wealth","num_surv","num_surv_male_q","num_surv_female_q","su_sampled","hofh","su_size","age_av","age_av_hh","age_max","adult_count","able_count","able_count_hh","status_any","status_any_hh","status_count","status_count_hh","edu_max","edu_max_hh","other_noetic_any","other_noetic_any_hh","other_noetic_count","other_noetic_count_hh","primary_kin","secondary_kin"
1,"egsu001","sometimes","sometimes","rarely","never","never","eg0001","eg0002",0,2,2,1,1,0,0,1,1,1,0,2,0,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,4266.6,5,5,5,TRUE,"both",6,28.8333333333333,49,55,4,5,1,1,0,1,0,6,5,NA,NA,NA,NA,4,8
1,"egsu002","rarely","often","often","often","often","eg0007","eg0008",0,1,0,0,2,1,1,2,0,1,0,0,3,1,0,0,2,2,1,0,NA,NA,NA,NA,NA,2144,3,3,3,TRUE,"both",4,32.25,53,56,2,3,2,0,0,0,0,7,6,NA,NA,NA,NA,4,7
1,"egsu003","often","rarely","sometimes","often","never","eg0011","eg0012",0,0,2,1,0,1,0,2,0,0,0,1,0,2,1,0,0,0,2,2,NA,NA,NA,NA,NA,4821.6,4,4,4,TRUE,"both",7,27.7142857142857,54.5,56,4,6,2,0,0,0,0,12,11,NA,NA,NA,NA,2,5
1,"egsu004","rarely","never","never","rarely","rarely","eg0018","eg0019",1,0,1,0,0,0,1,0,1,0,1,2,3,0,2,0,1,1,0,0,NA,NA,NA,NA,NA,494,5,5,5,TRUE,"both",7,23.5714285714286,50,51,4,4,2,1,0,1,0,11,11,NA,NA,NA,NA,5,7
1,"egsu005","never","never","often","often","rarely","eg0025","eg0026",0,1,0,0,0,1,0,0,0,0,3,2,0,0,0,3,0,1,1,0,NA,NA,NA,NA,NA,1068,3,3,3,TRUE,"both",5,28.8,48,53,3,3,2,0,0,0,0,11,4,NA,NA,NA,NA,3,4
1,"egsu006","sometimes","rarely","rarely","sometimes","sometimes","eg0030","eg0031",1,1,3,0,2,0,3,2,3,1,1,0,0,1,1,0,2,0,0,0,NA,NA,NA,NA,NA,2355,4,4,4,TRUE,"both",5,28.6,51,55,2,4,2,0,0,0,0,11,7,NA,NA,NA,NA,1,2
1,"egsu007","often","often","sometimes","rarely","rarely","eg0035","eg0036",0,2,0,0,2,1,2,3,2,1,1,0,0,2,2,0,0,0,1,0,NA,NA,NA,NA,NA,3493,3,3,3,TRUE,"both",7,22.8571428571429,55.5,59,3,4,1,1,1,1,1,5,3,NA,NA,NA,NA,2,5
1,"egsu008","often","never","often","never","sometimes","eg0042","eg0043",2,2,1,0,2,0,3,0,3,0,1,0,0,1,0,2,1,1,0,2,NA,NA,NA,NA,NA,4806,4,4,4,TRUE,"both",5,25.8,43.5,57,3,3,2,0,0,0,0,10,6,NA,NA,NA,NA,4,9
1,"egsu009","never","often","often","often","sometimes","eg0047","eg0048",0,2,0,1,1,1,2,0,1,0,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,1642.6,3,3,3,TRUE,"both",4,30.5,52,54,2,3,1,0,0,0,0,8,8,NA,NA,NA,NA,1,2
1,"egsu010","sometimes","rarely","sometimes","sometimes","often","eg0051","eg0052",1,3,0,1,1,1,1,0,1,0,0,0,2,0,1,1,0,1,3,1,NA,NA,NA,NA,NA,2292.6,3,3,3,TRUE,"both",5,22.6,37,42,3,5,2,1,1,1,1,12,11,NA,NA,NA,NA,4,8
1,"egsu011","never","never","never","often","often","eg0056","eg0057",2,2,1,1,1,0,1,0,2,2,0,0,2,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,3093.6,3,3,3,TRUE,"both",3,33,38.5,45,3,1,1,1,0,1,0,2,2,NA,NA,NA,NA,1,1
1,"egsu012","never","sometimes","never","rarely","never","eg0059","eg0060",0,2,3,0,1,0,1,2,0,0,2,1,0,0,1,0,1,2,1,0,NA,NA,NA,NA,NA,780,3,3,3,TRUE,"both",3,35.3333333333333,44.5,45,2,2,1,1,1,1,1,9,7,NA,NA,NA,NA,3,8
1,"egsu013","often","sometimes","rarely","often","rarely","eg0062","eg0063",0,0,1,0,1,1,0,1,2,0,0,0,0,1,1,1,0,3,1,1,NA,NA,NA,NA,NA,3031,4,4,4,TRUE,"both",5,28.2,48.5,53,4,3,1,0,0,0,0,10,10,NA,NA,NA,NA,1,2
1,"egsu014","never","rarely","often","often","never","eg0067","eg0068",0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,2,2,0,0,NA,NA,NA,NA,NA,934,2,2,2,TRUE,"both",5,22.8,48,49,2,5,2,0,0,0,0,1,1,NA,NA,NA,NA,2,5
1,"egsu015","rarely","often","sometimes","never","sometimes","eg0072","eg0073",2,1,3,1,0,1,0,3,0,0,0,0,1,0,1,1,0,0,3,3,NA,NA,NA,NA,NA,4019.6,3,3,3,TRUE,"both",5,25.6,46.5,48,2,3,2,0,0,0,0,10,10,NA,NA,NA,NA,1,5
1,"egsu016","rarely","often","never","sometimes","rarely","eg0077","eg0078",0,0,1,1,0,0,0,0,0,3,1,2,0,1,1,0,1,0,1,0,NA,NA,NA,NA,NA,1592.6,3,3,3,TRUE,"both",7,23,48,60,3,5,1,1,1,3,2,12,9,NA,NA,NA,NA,3,4
1,"egsu017","never","often","sometimes","rarely","often","eg0084","eg0085",1,0,0,0,1,3,1,2,1,1,1,0,1,1,0,0,0,2,2,1,NA,NA,NA,NA,NA,3001,4,4,4,TRUE,"both",5,27,42.5,48,4,3,2,0,0,0,0,10,10,NA,NA,NA,NA,2,2
1,"egsu018","often","sometimes","rarely","never","never","eg0089","eg0090",3,1,0,0,2,1,0,0,3,0,0,0,1,0,1,0,2,0,1,1,NA,NA,NA,NA,NA,2192,3,3,3,TRUE,"both",7,17.1428571428571,37.5,45,3,5,2,1,0,1,0,7,5,NA,NA,NA,NA,6,12
1,"egsu019","rarely","never","never","never","often","eg0096","eg0097",0,0,2,0,0,2,0,0,1,2,2,0,0,2,0,0,0,3,0,2,NA,NA,NA,NA,NA,4701,2,2,2,TRUE,"both",3,24,35.5,38,2,2,2,0,0,0,0,9,9,NA,NA,NA,NA,3,10
1,"egsu020","never","rarely","sometimes","rarely","never","eg0099","eg0100",0,0,0,1,1,0,1,2,2,0,0,1,0,0,1,1,0,2,1,1,NA,NA,NA,NA,NA,1875.6,3,3,3,TRUE,"both",5,26,53,58,2,3,2,0,0,0,0,11,4,NA,NA,NA,NA,1,1
1,"egsu021","never","never","often","rarely","rarely","eg0104","eg0105",2,0,3,0,1,2,0,3,0,1,0,2,0,0,2,2,0,1,2,2,NA,NA,NA,NA,NA,3349,4,4,4,TRUE,"both",6,28.1666666666667,56,57,4,3,2,0,0,0,0,11,11,NA,NA,NA,NA,2,4
1,"egsu022","often","sometimes","rarely","often","rarely","eg0110","eg0111",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,NA,NA,NA,NA,NA,827,4,4,4,TRUE,"both",4,32.25,41.5,52,4,2,1,1,0,1,0,11,11,NA,NA,NA,NA,3,9
1,"egsu023","often","often","rarely","sometimes","sometimes","eg0114","eg0115",0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,NA,NA,NA,NA,NA,1603.6,2,2,2,TRUE,"both",3,32.6666666666667,46.5,55,2,1,0,0,0,0,0,12,12,NA,NA,NA,NA,4,8
1,"egsu024","sometimes","rarely","often","rarely","sometimes","eg0117","eg0118",1,3,3,0,1,1,2,2,2,0,0,0,0,2,1,2,1,0,1,3,NA,NA,NA,NA,NA,6942,2,2,2,TRUE,"both",3,29,37.5,38,2,0,0,0,0,0,0,12,10,NA,NA,NA,NA,2,3
1,"egsu025","sometimes","rarely","rarely","sometimes","rarely","eg0120","eg0121",0,1,2,0,2,0,1,1,0,0,0,0,3,2,2,0,0,1,0,1,NA,NA,NA,NA,NA,4155,3,3,3,TRUE,"both",3,38,44.5,50,3,3,2,1,1,1,1,8,2,NA,NA,NA,NA,3,6
1,"egsu026","sometimes","rarely","often","rarely","rarely","eg0123","eg0124",0,1,0,0,0,1,0,1,1,0,2,1,1,0,1,1,0,1,2,2,NA,NA,NA,NA,NA,2793,3,3,3,TRUE,"both",5,26.8,51,60,3,4,2,1,1,1,1,7,6,NA,NA,NA,NA,1,2
1,"egsu027","never","never","rarely","rarely","rarely","eg0128","eg0129",0,3,1,0,0,2,2,0,0,0,1,0,2,1,0,0,0,2,0,0,NA,NA,NA,NA,NA,1723,3,3,3,TRUE,"both",4,26.75,38.5,39,3,4,2,1,1,1,1,9,8,NA,NA,NA,NA,1,1
