"","exsu001","exsu002","exsu003","exsu004","exsu005","exsu006","exsu007","exsu008","exsu009","exsu010","exsu011","exsu012","exsu013","exsu014","exsu015","exsu016","exsu017","exsu018","exsu019","exsu020","exsu021","exsu022","exsu023","exsu024","exsu025","exsu026","exsu027","exsu028","exsu029","exsu030","exsu031","exsu032","exsu033","exsu034","exsu035","exsu036","exsu037","exsu038","exsu039","exsu040","exsu041","exsu042","exsu043","exsu044","exsu045","exsu046","exsu047","exsu048","exsu049","exsu050","exsu051","exsu052","exsu053","exsu054","exsu055","exsu056","exsu057","exsu058","exsu059","exsu060","exsu061","exsu062","exsu063","exsu064","exsu065","exsu066","exsu067","exsu068","exsu069","exsu070"
"exsu001",0.214285714285714,0,0,0.0297619047619048,0,0.0223214285714286,0,0,0.0535714285714286,0,0,0,0,0,0,0,0,0.0297619047619048,0,0,0,0,0.0186011904761905,0,0,0,0,0,0,0.0111607142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744047619047619,0,0.0595238095238095,0,0,0,0,0,0,0,0,0,0.0573979591836735,0,0,0,0,0,0,0,0.0357142857142857,0,0.0669642857142857,0.0595238095238095,0.0167410714285714,0
"exsu002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555555,0,0,0,0.0357142857142857,0,0,0,0,0.0595238095238095,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu003",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.0535714285714286,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu004",0.0297619047619048,0,0,0,0,0.0208333333333333,0,0,0.0125,0.03125,0,0,0.0148809523809524,0,0,0,0,0.00694444444444444,0,0,0,0,0.00434027777777778,0,0,0,0,0,0,0.0104166666666667,0.0714285714285714,0,0,0,0.0178571428571429,0,0,0.0555555555555556,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0.0238095238095238,0.0104166666666667,0,0,0,0,0.0555555555555555,0.015625,0
"exsu005",0,0,0,0,0.333333333333333,0,0,0,0,0.0234375,0,0,0,0.0223214285714286,0,0,0.0625,0,0,0.05,0,0,0,0,0.0833333333333333,0,0,0.0625,0,0,0,0,0,0,0,0.00520833333333333,0,0,0,0,0.0375,0,0,0,0,0,0.00260416666666667,0.0104166666666667,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.01171875,0,0,0
"exsu006",0.0223214285714286,0,0,0.0208333333333333,0,0.476190476190476,0,0,0.009375,0,0,0,0,0,0,0,0,0.00520833333333333,0,0,0,0,0.00325520833333333,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.120535714285714,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.046875,0
"exsu007",0,0,0,0,0,0,0.214285714285714,0,0,0,0.0595238095238095,0,0,0.0637755102040816,0,0,0,0,0,0,0,0,0,0,0,0,0.0637755102040816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu008",0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu009",0.0535714285714286,0,0,0.0125,0,0.009375,0,0,0.1,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.03125,0,0,0.03125,0,0,0,0.0046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.0241071428571429,0,0,0,0,0,0,0,0,0,0,0.025,0.00703125,0
"exsu010",0,0,0,0.03125,0.0234375,0,0,0,0,0.166666666666667,0,0,0.0669642857142857,0.00837053571428572,0,0,0.0234375,0,0,0.0375,0,0,0,0,0.03125,0,0,0.09375,0,0,0.0401785714285714,0,0,0,0.0200892857142857,0.001953125,0,0.0625,0,0,0.0140625,0,0,0,0,0,0.0009765625,0.00390625,0,0,0,0,0,0,0,0.0375,0,0,0,0,0,0,0.046875,0,0.009375,0,0.00439453125,0,0,0
