"waveid","su_id","smaller_meals","fewer_meals","no_food","sleep_hungry","without_eating","malehead","femalehead","cow","bull","goat","chicken","motorcycle","bicycle","tv","smartphone","refrigerator","sofa","cot","mattress","sewingmachine","tractor","plow","ownedland","washingmachine","radio","laptop","car","smaller_meals_ord","fewer_meals_ord","no_food_ord","sleep_hungry_ord","without_eating_ord","su_wealth","num_surv","num_surv_male_q","num_surv_female_q","su_sampled","hofh","su_size","age_av","age_av_hh","age_max","adult_count","able_count","able_count_hh","status_any","status_any_hh","status_count","status_count_hh","edu_max","edu_max_hh","other_noetic_any","other_noetic_any_hh","other_noetic_count","other_noetic_count_hh","primary_kin","secondary_kin"
1,"exsu001","never","often","never","rarely","sometimes","ex0001","ex0002",1,0,1,1,0,0,0,0,2,1,0,0,2,2,1,1,0,0,0,0,NA,NA,NA,NA,NA,3039.6,3,3,3,TRUE,"both",7,20.4285714285714,48.5,49,3,7,2,1,0,2,0,11,5,NA,NA,NA,NA,5,9
1,"exsu002","never","rarely","sometimes","rarely","rarely","ex0008","ex0009",0,1,1,0,1,0,1,1,1,0,0,0,0,0,2,2,1,1,0,1,NA,NA,NA,NA,NA,2089,3,3,3,TRUE,"both",3,38,46.5,54,3,0,0,1,1,1,1,8,4,NA,NA,NA,NA,5,5
1,"exsu003","never","rarely","rarely","never","often","ex0011","ex0012",0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,2,2,0,2,0,NA,NA,NA,NA,NA,990,3,3,3,TRUE,"both",5,29.8,50.5,51,3,1,0,1,1,2,1,10,9,NA,NA,NA,NA,3,4
1,"exsu004","often","rarely","often","never","often","ex0016","ex0017",2,0,1,1,2,1,2,2,0,0,0,0,2,3,0,0,0,0,1,1,NA,NA,NA,NA,NA,5493.6,3,3,3,TRUE,"both",3,36.3333333333333,42.5,49,3,2,1,0,0,0,0,12,8,NA,NA,NA,NA,4,9
1,"exsu005","rarely","sometimes","sometimes","never","often","ex0019","ex0020",2,1,0,2,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,NA,NA,NA,NA,NA,3065.2,3,3,3,TRUE,"both",3,40.3333333333333,49,51,3,1,0,1,0,1,0,12,8,NA,NA,NA,NA,1,5
1,"exsu006","never","sometimes","rarely","sometimes","never","ex0022","ex0023",2,2,0,1,0,0,0,2,0,0,0,2,2,2,1,0,0,0,1,3,NA,NA,NA,NA,NA,6047.6,5,5,5,TRUE,"both",7,20.7142857142857,42.5,50,3,2,1,0,0,0,0,9,7,NA,NA,NA,NA,3,6
1,"exsu007","rarely","rarely","never","sometimes","sometimes","ex0029","ex0030",1,0,0,0,1,1,3,1,2,1,0,0,2,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,1989,5,5,5,TRUE,"both",7,23,41.5,50,5,4,1,1,1,3,1,9,2,NA,NA,NA,NA,3,3
1,"exsu008","often","never","often","sometimes","sometimes","ex0036","ex0037",0,0,1,0,0,1,2,0,0,2,0,1,1,0,2,0,0,1,1,3,NA,NA,NA,NA,NA,3437,3,3,3,TRUE,"both",5,30,52.5,55,3,4,2,1,0,1,0,9,9,NA,NA,NA,NA,2,3
1,"exsu009","never","never","never","often","rarely","ex0041","ex0042",0,0,1,1,1,1,0,1,2,1,1,0,1,0,0,2,0,1,0,1,NA,NA,NA,NA,NA,1999.6,4,4,4,TRUE,"both",5,29.8,51,53,4,3,1,1,0,1,0,12,12,NA,NA,NA,NA,3,6
1,"exsu010","never","often","never","sometimes","never","ex0046","ex0047",0,0,1,0,2,1,2,0,1,0,0,0,2,0,0,0,2,0,1,1,NA,NA,NA,NA,NA,1860,3,3,3,TRUE,"both",4,28.5,42.5,49,3,1,0,0,0,0,0,12,12,NA,NA,NA,NA,3,9
