"","sisu001","sisu002","sisu003","sisu004","sisu005","sisu006","sisu007","sisu008","sisu009","sisu010","sisu011","sisu012","sisu013","sisu014","sisu015","sisu016","sisu017","sisu018","sisu019","sisu020","sisu021","sisu022","sisu023","sisu024","sisu025","sisu026","sisu027","sisu028","sisu029","sisu030","sisu031","sisu032","sisu033","sisu034","sisu035","sisu036","sisu037","sisu038","sisu039","sisu040"
"sisu001",0.476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.0260416666666667,0.0375,0,0,0,0,0,0,0,0.0416666666666667,0,0,0
"sisu002",0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892857142857143,0,0,0,0,0,0,0.0694444444444445,0,0,0,0,0,0,0,0,0,0,0,0
"sisu003",0,0,0.333333333333333,0.03125,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0.075,0,0,0.125,0,0,0,0,0,0,0.1,0,0,0.046875,0,0,0,0.0446428571428571
"sisu004",0,0,0.03125,0.333333333333333,0,0,0.0234375,0.0625,0.01171875,0,0,0.03125,0.015625,0,0,0.0104166666666667,0.0133928571428571,0.125,0.0833333333333333,0.09375,0,0.03125,0,0.09375,0.0416666666666667,0.015625,0.1171875,0,0,0,0,0.05,0.05,0.00651041666666667,0,0.140625,0,0,0,0
"sisu005",0,0,0,0,0,0,0.00390625,0.0416666666666667,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0.00520833333333333,0,0,0,0.00892857142857143,0.0416666666666667,0,0,0,0.0208333333333333,0,0,0,0.0833333333333333,0
"sisu006",0,0,0.0208333333333333,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0.025,0,0,0.0104166666666667,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0.0595238095238095
"sisu007",0,0,0,0.0234375,0.00390625,0,0.166666666666667,0.005859375,0,0,0,0,0.09375,0,0,0.0625,0,0.01171875,0.03125,0.0087890625,0,0,0,0,0.0625,0.046875,0.0439453125,0,0,0.0803571428571429,0.0234375,0.0046875,0,0.0390625,0.046875,0,0.0625,0,0.01171875,0
"sisu008",0,0,0,0.0625,0.0416666666666667,0,0.005859375,0.416666666666667,0.046875,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.0078125,0,0,0,0.0133928571428571,0.0625,0,0,0,0.03125,0,0,0,0.125,0
"sisu009",0,0,0,0.01171875,0,0,0,0.046875,0.166666666666667,0,0,0.09375,0.046875,0,0,0,0,0.09375,0.0625,0,0,0,0,0.046875,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0
"sisu010",0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sisu011",0,0,0,0,0,0.0555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sisu012",0,0,0,0.03125,0,0,0,0.125,0.09375,0,0,0.333333333333333,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
