"","sisu001","sisu002","sisu003","sisu004","sisu005","sisu006","sisu007","sisu008","sisu009","sisu010","sisu011","sisu012","sisu013","sisu014","sisu015","sisu016","sisu017","sisu018","sisu019","sisu020","sisu021","sisu022","sisu023","sisu024","sisu025","sisu026","sisu027","sisu028","sisu029","sisu030","sisu031","sisu032","sisu033","sisu034","sisu035","sisu036","sisu037","sisu038","sisu039","sisu040"
"sisu001",0,872,828,1071,744,851,1198,492,763,802,988,976,1317,456,1539,732,504,469,480,859,377,900,358,175,378,902,1096,824,906,1366,859,330,720,237,1387,1211,1443,310,701,682
"sisu002",872,0,1638,662,402,486,575,1351,1631,701,1142,1451,1960,1157,1161,1212,1027,853,975,923,1011,561,1225,720,958,46,1395,603,1660,1071,1649,778,603,795,1205,442,952,576,454,1385
"sisu003",828,1638,0,1570,1571,1427,1784,612,532,1248,1097,716,645,499,1878,682,1155,1220,736,1615,1022,1725,503,1003,704,1657,984,1332,187,1688,924,1121,1237,1035,1613,2022,1887,1070,1529,1027
"sisu004",1071,662,1570,0,1019,237,258,1538,1772,323,662,1105,1663,1085,521,942,1451,1308,838,1512,1376,1208,1329,1009,895,629,939,253,1515,409,1929,1178,359,1142,549,1045,374,799,1053,1736
"sisu005",744,402,1571,1019,0,804,972,1151,1437,960,1362,1566,2009,1148,1536,1310,703,527,1040,522,730,207,1094,569,983,447,1579,889,1637,1425,1370,513,846,570,1536,503,1341,550,65,1080
"sisu006",851,486,1427,237,804,0,362,1331,1577,243,682,1061,1607,930,755,857,1214,1071,693,1283,1142,1000,1135,778,729,462,951,132,1397,625,1710,942,194,908,734,910,607,568,831,1506
"sisu007",1198,575,1784,258,972,362,0,1684,1936,550,921,1358,1915,1289,613,1183,1511,1352,1048,1489,1457,1135,1495,1104,1090,532,1198,453,1744,575,2052,1240,547,1222,748,877,384,899,1018,1830
"sisu008",492,1351,612,1538,1151,1331,1684,0,286,1245,1311,1117,1243,601,1973,942,579,689,793,1056,465,1258,245,631,695,1384,1325,1286,773,1791,426,642,1180,583,1779,1647,1904,801,1095,421
"sisu009",763,1631,532,1772,1437,1577,1936,286,0,1465,1462,1181,1172,745,2176,1060,835,963,974,1311,737,1539,443,913,891,1663,1424,1519,717,1990,398,926,1414,869,1956,1933,2130,1072,1380,574
"sisu010",802,701,1248,323,960,243,550,1245,1465,0,444,823,1374,764,737,633,1239,1120,516,1392,1144,1165,1025,779,579,685,709,112,1196,566,1650,975,115,920,614,1138,665,579,974,1483
