"","sisu001","sisu002","sisu003","sisu004","sisu005","sisu006","sisu007","sisu008","sisu009","sisu010","sisu011","sisu012","sisu013","sisu014","sisu015","sisu016","sisu017","sisu018","sisu019","sisu020","sisu021","sisu022","sisu023","sisu024","sisu025","sisu026","sisu027","sisu028","sisu029","sisu030","sisu031","sisu032","sisu033","sisu034","sisu035","sisu036","sisu037","sisu038","sisu039","sisu040"
"sisu001",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0.125,0.125,0,0,0,0,0,0,0,0.25,0,0,0
"sisu002",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"sisu003",0,0,0.5,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0.25
"sisu004",0,0,0.125,0.5,0,0,0.125,0.25,0.0625,0,0,0.125,0.0625,0,0,0.0625,0.0625,0.5,0.5,0.5,0,0.125,0,0.5,0.25,0.0625,0.625,0,0,0,0,0.25,0.25,0.03125,0,0.5,0,0,0,0
"sisu005",0,0,0,0,0,0,0.03125,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0.0625,0.25,0,0,0,0.125,0,0,0,0.5,0
"sisu006",0,0,0.125,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.0625,0,0,0,0,0,0.25,0,0,0.0625,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"sisu007",0,0,0,0.125,0.03125,0,0.5,0.03125,0,0,0,0,0.5,0,0,0.5,0,0.0625,0.25,0.0625,0,0,0,0,0.5,0.25,0.3125,0,0,0.5,0.125,0.03125,0,0.25,0.25,0,0.5,0,0.0625,0
"sisu008",0,0,0,0.25,0.25,0,0.03125,0.5,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.03125,0,0,0,0.0625,0.25,0,0,0,0.125,0,0,0,0.5,0
"sisu009",0,0,0,0.0625,0,0,0,0.25,0.5,0,0,0.5,0.25,0,0,0,0,0.5,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"sisu010",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
