"waveid","su_id","smaller_meals","fewer_meals","no_food","sleep_hungry","without_eating","malehead","femalehead","cow","bull","goat","chicken","motorcycle","bicycle","tv","smartphone","refrigerator","sofa","cot","mattress","sewingmachine","tractor","plow","ownedland","washingmachine","radio","laptop","car","smaller_meals_ord","fewer_meals_ord","no_food_ord","sleep_hungry_ord","without_eating_ord","su_wealth","num_surv","num_surv_male_q","num_surv_female_q","su_sampled","hofh","su_size","age_av","age_av_hh","age_max","adult_count","able_count","able_count_hh","status_any","status_any_hh","status_count","status_count_hh","edu_max","edu_max_hh","other_noetic_any","other_noetic_any_hh","other_noetic_count","other_noetic_count_hh","primary_kin","secondary_kin"
1,"sisu001","often","sometimes","often","rarely","sometimes","si0001","si0002",1,1,0,2,1,1,0,0,2,1,0,2,1,3,0,2,0,0,0,2,NA,NA,NA,NA,NA,6725.2,4,4,4,TRUE,"both",7,18.5714285714286,34.5,35,2,5,2,1,0,2,0,11,8,NA,NA,NA,NA,1,3
1,"sisu002","sometimes","rarely","sometimes","never","often","si0008","si0009",1,1,1,1,0,0,2,1,0,2,2,3,0,1,0,1,2,0,0,2,NA,NA,NA,NA,NA,4015.6,5,5,5,TRUE,"both",6,25.1666666666667,41.5,49,4,4,1,1,1,1,1,9,8,NA,NA,NA,NA,2,2
1,"sisu003","often","rarely","never","rarely","never","si0014","si0015",0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,2,1,3,NA,NA,NA,NA,NA,3457.2,3,3,3,TRUE,"both",3,36.6666666666667,44,49,3,1,0,1,0,1,0,6,6,NA,NA,NA,NA,4,6
1,"sisu004","never","never","often","rarely","rarely","si0017","si0018",1,0,0,3,0,0,0,1,1,0,1,1,0,2,1,1,1,2,0,0,NA,NA,NA,NA,NA,3015.8,2,2,2,TRUE,"both",3,33,47.5,54,2,3,2,1,1,1,1,12,12,NA,NA,NA,NA,6,10
1,"sisu005","never","rarely","often","often","never","si0020","si0021",2,2,0,1,0,0,1,0,3,0,0,0,2,0,2,1,0,0,0,0,NA,NA,NA,NA,NA,957.6,2,2,2,TRUE,"both",3,34,49.5,53,2,2,1,1,1,1,1,12,12,NA,NA,NA,NA,2,4
1,"sisu006","rarely","often","never","sometimes","rarely","si0023","si0024",0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,2,0,2,1,NA,NA,NA,NA,NA,1668,3,3,3,TRUE,"both",3,41.3333333333333,51,53,3,3,2,1,0,1,0,12,7,NA,NA,NA,NA,2,4
1,"sisu007","sometimes","sometimes","often","sometimes","sometimes","si0026","si0027",0,1,0,0,0,0,2,0,0,1,2,0,3,0,3,0,0,2,2,1,NA,NA,NA,NA,NA,1634,4,4,4,TRUE,"both",4,38.5,53,58,4,4,2,0,0,0,0,12,9,NA,NA,NA,NA,5,10
1,"sisu008","never","sometimes","never","rarely","often","si0030","si0031",1,1,2,2,0,2,1,0,2,0,0,2,3,1,0,0,0,2,0,0,NA,NA,NA,NA,NA,1773.2,2,2,2,TRUE,"both",4,23,40.5,43,2,2,1,1,1,1,1,12,12,NA,NA,NA,NA,3,7
1,"sisu009","often","never","rarely","rarely","sometimes","si0034","si0035",0,2,0,0,0,2,0,2,0,1,0,2,0,0,1,3,0,1,0,1,NA,NA,NA,NA,NA,2157,3,3,3,TRUE,"both",4,32.75,53,58,2,2,2,0,0,0,0,12,11,NA,NA,NA,NA,4,7
1,"sisu010","sometimes","never","sometimes","never","often","si0038","si0039",1,2,1,0,1,0,0,0,0,0,0,3,0,1,1,3,1,1,0,0,NA,NA,NA,NA,NA,2569,3,3,3,TRUE,"both",4,34.25,50.5,55,3,4,2,0,0,0,0,9,9,NA,NA,NA,NA,0,0
1,"sisu011","often","often","often","often","sometimes","si0042","si0043",3,3,1,1,1,3,2,0,2,0,1,1,0,2,1,0,1,0,0,0,NA,NA,NA,NA,NA,3492.6,3,3,3,TRUE,"both",3,38,44.5,54,3,2,2,0,0,0,0,12,12,NA,NA,NA,NA,1,1
1,"sisu012","sometimes","never","often","sometimes","often","si0045","si0046",0,1,2,2,0,1,2,1,2,2,0,0,1,2,1,0,1,1,1,0,NA,NA,NA,NA,NA,3090.2,2,2,2,TRUE,"both",3,38,50.5,55,2,1,1,1,1,1,1,4,4,NA,NA,NA,NA,4,4
1,"sisu013","often","often","never","never","rarely","si0048","si0049",0,0,1,2,3,1,0,0,2,0,0,1,2,1,0,2,0,0,2,0,NA,NA,NA,NA,NA,2711.2,3,3,3,TRUE,"both",3,38.3333333333333,49.5,51,2,3,2,0,0,0,0,10,5,NA,NA,NA,NA,2,7
1,"sisu014","often","rarely","often","never","often","si0051","si0052",0,1,1,2,1,0,1,2,1,0,0,0,0,2,1,0,0,0,0,1,NA,NA,NA,NA,NA,3955.2,3,3,3,TRUE,"both",5,22.4,38.5,42,3,4,1,0,0,0,0,12,12,NA,NA,NA,NA,0,0
1,"sisu015","often","sometimes","never","rarely","never","si0056","si0057",0,0,1,1,1,0,1,1,2,0,1,0,0,2,3,0,2,1,0,2,NA,NA,NA,NA,NA,5079.6,6,6,6,TRUE,"both",7,27.2857142857143,50.5,59,4,4,1,1,0,2,0,12,11,NA,NA,NA,NA,3,5
1,"sisu016","often","often","often","never","sometimes","si0063","si0064",1,0,2,1,0,0,1,0,1,3,0,0,0,2,0,2,0,3,0,0,NA,NA,NA,NA,NA,3258.6,2,2,2,TRUE,"both",6,20.3333333333333,44.5,54,2,3,0,1,0,2,0,8,7,NA,NA,NA,NA,3,6
1,"sisu017","never","often","never","never","rarely","si0069","si0070",0,0,2,1,0,0,3,0,1,1,2,0,2,2,3,1,0,2,2,2,NA,NA,NA,NA,NA,5293.6,5,5,5,TRUE,"both",7,26.1428571428571,55,60,3,5,2,1,0,2,0,10,9,NA,NA,NA,NA,1,4
1,"sisu018","sometimes","never","never","often","sometimes","si0076","si0077",0,1,0,0,1,0,1,1,0,2,0,2,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,980,3,3,3,TRUE,"both",3,35.6666666666667,44,52,3,2,1,0,0,0,0,10,10,NA,NA,NA,NA,2,6
1,"sisu019","often","often","sometimes","rarely","sometimes","si0079","si0080",1,1,0,0,0,0,1,1,1,0,2,2,1,1,2,0,0,1,3,0,NA,NA,NA,NA,NA,1973,2,2,2,TRUE,"both",3,32.6666666666667,46,51,2,2,1,1,1,1,1,10,10,NA,NA,NA,NA,4,7
1,"sisu020","never","sometimes","rarely","sometimes","sometimes","si0082","si0083",0,2,2,2,0,3,0,0,3,1,0,0,0,0,0,1,1,3,3,1,NA,NA,NA,NA,NA,2122.2,2,2,2,TRUE,"both",4,24.25,40,49,2,1,0,1,0,1,0,6,0,NA,NA,NA,NA,3,6
1,"sisu021","often","rarely","often","often","often","si0086","si0087",1,1,2,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,NA,NA,NA,NA,NA,2010,5,5,5,TRUE,"both",7,22.7142857142857,43,45,4,6,2,0,0,0,0,10,10,NA,NA,NA,NA,1,1
1,"sisu022","often","often","sometimes","never","never","si0093","si0094",0,1,0,2,0,2,0,0,2,0,0,2,0,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,2600.2,3,3,3,TRUE,"both",4,33.5,51.5,54,3,4,2,0,0,0,0,8,6,NA,NA,NA,NA,2,2
1,"sisu023","never","often","rarely","often","rarely","si0097","si0098",3,0,1,2,2,2,0,1,0,3,1,0,0,0,0,1,1,0,0,2,NA,NA,NA,NA,NA,3122.2,4,4,4,TRUE,"both",5,25.4,39.5,46,4,3,1,0,0,0,0,10,10,NA,NA,NA,NA,2,5
1,"sisu024","never","often","sometimes","often","never","si0102","si0103",0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,1423.6,2,2,2,TRUE,"both",3,35.6666666666667,50,51,2,2,1,0,0,0,0,12,12,NA,NA,NA,NA,3,5
1,"sisu025","never","never","sometimes","rarely","rarely","si0105","si0106",2,1,0,2,0,0,0,2,2,1,0,3,1,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,1945.2,3,3,3,TRUE,"both",3,36,43,51,3,2,1,1,0,1,0,7,7,NA,NA,NA,NA,4,7
1,"sisu026","never","sometimes","rarely","sometimes","sometimes","si0108","si0109",2,0,1,0,2,0,1,0,0,0,1,0,0,2,2,0,2,1,0,0,NA,NA,NA,NA,NA,3222,2,2,2,TRUE,"both",3,36,51.5,54,2,2,1,1,1,1,1,10,10,NA,NA,NA,NA,5,12
1,"sisu027","often","never","often","often","sometimes","si0111","si0112",0,0,1,2,0,0,1,1,3,0,2,0,0,2,0,2,1,0,0,2,NA,NA,NA,NA,NA,5309.2,4,4,4,TRUE,"both",4,33,47,54,3,4,2,1,0,1,0,12,12,NA,NA,NA,NA,4,8
1,"sisu028","never","never","rarely","never","sometimes","si0115","si0116",2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,1,1,NA,NA,NA,NA,NA,3121,5,5,5,TRUE,"both",6,23.1666666666667,42,50,2,3,1,0,0,0,0,10,2,NA,NA,NA,NA,3,4
1,"sisu029","rarely","sometimes","never","never","often","si0121","si0122",0,2,0,2,0,0,0,0,3,0,1,2,0,3,2,0,1,1,1,1,NA,NA,NA,NA,NA,5283.2,4,4,4,TRUE,"both",5,28.8,52.5,53,3,3,2,0,0,0,0,8,8,NA,NA,NA,NA,2,3
1,"sisu030","often","rarely","never","never","sometimes","si0126","si0127",1,2,1,0,0,1,1,0,2,2,0,1,1,1,0,2,0,0,1,1,NA,NA,NA,NA,NA,3370,3,3,3,TRUE,"both",7,20.4285714285714,51,51,2,4,2,1,0,1,0,10,10,NA,NA,NA,NA,4,5
