"","smsu001","smsu002","smsu003","smsu004","smsu005","smsu006","smsu007","smsu008","smsu009","smsu010","smsu011","smsu012","smsu013","smsu014","smsu015","smsu016","smsu017","smsu018","smsu019","smsu020","smsu021","smsu022","smsu023","smsu024","smsu025","smsu026","smsu027","smsu028","smsu029","smsu030","smsu031","smsu032","smsu033","smsu034","smsu035","smsu036","smsu037","smsu038","smsu039","smsu040","smsu041","smsu042","smsu043","smsu044","smsu045","smsu046","smsu047","smsu048","smsu049","smsu050","smsu051","smsu052","smsu053","smsu054","smsu055","smsu056","smsu057","smsu058","smsu059","smsu060","smsu061","smsu062","smsu063","smsu064","smsu065","smsu066","smsu067","smsu068","smsu069","smsu070","smsu071","smsu072","smsu073","smsu074","smsu075","smsu076","smsu077","smsu078","smsu079","smsu080","smsu081","smsu082","smsu083","smsu084","smsu085","smsu086","smsu087","smsu088","smsu089","smsu090","smsu091","smsu092","smsu093","smsu094","smsu095","smsu096","smsu097","smsu098","smsu099","smsu100"
"smsu001",0.45,0.104166666666667,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520833333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"smsu002",0.104166666666667,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223214285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651041666666667,0,0,0,0,0.0625,0.0108506944444444,0
"smsu003",0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703125,0,0,0,0,0,0,0,0
"smsu004",0.125,0,0,0.416666666666667,0.03125,0,0,0,0,0,0,0,0,0,0.009375,0,0,0,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0.0260416666666667,0.0416666666666667,0,0,0,0,0,0,0,0,0.05,0,0,0.0375,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0.0260416666666667,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0.00520833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"smsu005",0,0,0,0.03125,0.416666666666667,0,0.0446428571428571,0,0,0,0,0,0,0,0.075,0,0,0,0.0178571428571429,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.01875,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.01171875,0,0,0,0,0,0,0,0,0.01875,0,0,0,0,0,0,0,0.0267857142857143,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0.01171875,0,0,0,0,0,0,0,0
"smsu006",0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0.009375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"smsu007",0,0,0,0,0.0446428571428571,0,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0.0510204081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334821428571429,0,0,0,0,0,0.0892857142857143,0,0,0.0535714285714286,0,0,0,0,0.0318877551020408,0,0,0.076530612244898,0,0,0.0297619047619048,0,0,0,0,0,0,0,0,0,0.0334821428571429,0,0.0892857142857143,0,0,0,0,0,0
"smsu008",0,0,0,0,0,0.05,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892857142857143,0,0,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"smsu009",0,0,0,0,0,0,0,0,0.0666666666666667,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.01171875,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0.015625,0,0,0,0,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"smsu010",0,0,0,0,0,0,0,0,0.05,0.25,0.0107142857142857,0,0.08,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0571428571428571,0,0.009375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.0666666666666667,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
