"waveid","su_id","smaller_meals","fewer_meals","no_food","sleep_hungry","without_eating","malehead","femalehead","cow","bull","goat","chicken","motorcycle","bicycle","tv","smartphone","refrigerator","sofa","cot","mattress","sewingmachine","tractor","plow","ownedland","washingmachine","radio","laptop","car","smaller_meals_ord","fewer_meals_ord","no_food_ord","sleep_hungry_ord","without_eating_ord","su_wealth","num_surv","num_surv_male_q","num_surv_female_q","su_sampled","hofh","su_size","age_av","age_av_hh","age_max","adult_count","able_count","able_count_hh","status_any","status_any_hh","status_count","status_count_hh","edu_max","edu_max_hh","other_noetic_any","other_noetic_any_hh","other_noetic_count","other_noetic_count_hh","primary_kin","secondary_kin"
1,"smsu001","sometimes","rarely","often","rarely","never","sm0001","sm0002",0,0,1,0,1,3,2,0,1,1,2,0,0,2,0,2,0,0,0,2,NA,NA,NA,NA,NA,5400,3,3,3,TRUE,"both",5,24,45,52,3,4,2,1,0,1,0,12,12,NA,NA,NA,NA,3,4
1,"smsu002","often","rarely","rarely","never","sometimes","sm0006","sm0007",0,1,0,1,3,0,0,1,0,0,0,0,0,2,3,0,1,0,0,0,NA,NA,NA,NA,NA,3285.6,3,3,3,TRUE,"both",6,22.6666666666667,40,45,3,4,0,1,1,2,1,12,12,NA,NA,NA,NA,2,3
1,"smsu003","never","rarely","never","never","sometimes","sm0012","sm0013",2,2,0,0,0,1,0,0,1,1,1,1,0,0,0,2,1,2,1,0,NA,NA,NA,NA,NA,1157,2,2,2,TRUE,"both",4,31.75,51.5,53,2,1,1,0,0,0,0,12,2,NA,NA,NA,NA,2,2
1,"smsu004","often","rarely","rarely","often","never","sm0016","sm0017",0,1,1,0,0,0,0,1,1,0,2,2,0,2,0,2,0,0,2,0,NA,NA,NA,NA,NA,3386,3,3,3,TRUE,"both",4,26.5,42.5,50,3,3,1,0,0,0,0,10,4,NA,NA,NA,NA,2,6
1,"smsu005","often","sometimes","rarely","sometimes","sometimes","sm0020","sm0021",2,0,2,2,1,1,0,0,2,0,3,2,0,2,2,0,3,0,1,0,NA,NA,NA,NA,NA,3342.2,3,3,3,TRUE,"both",4,28,44.5,50,3,2,0,0,0,0,0,10,10,NA,NA,NA,NA,3,6
1,"smsu006","often","never","often","often","often","sm0024","sm0025",1,1,1,0,2,0,1,1,2,0,1,2,2,1,3,0,1,3,1,1,NA,NA,NA,NA,NA,3328,3,3,3,TRUE,"both",5,26.2,45.5,48,3,5,2,1,0,1,0,8,8,NA,NA,NA,NA,1,2
1,"smsu007","often","never","never","often","often","sm0029","sm0030",0,0,0,0,1,0,0,2,1,2,0,1,2,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,649,6,6,6,TRUE,"both",7,23.8571428571429,42,42,4,5,2,1,0,1,0,12,7,NA,NA,NA,NA,6,11
1,"smsu008","sometimes","rarely","sometimes","never","never","sm0036","sm0037",0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,1,0,NA,NA,NA,NA,NA,384,3,3,3,TRUE,"both",4,33.75,53,54,3,2,1,0,0,0,0,12,10,NA,NA,NA,NA,3,4
1,"smsu009","rarely","often","sometimes","never","rarely","sm0040","sm0041",3,0,1,3,0,0,0,2,0,0,0,1,3,1,0,0,0,2,0,1,NA,NA,NA,NA,NA,2672.8,3,3,3,TRUE,"both",6,23.3333333333333,48.5,50,2,5,2,1,0,1,0,11,11,NA,NA,NA,NA,3,5
1,"smsu010","sometimes","often","sometimes","often","rarely","sm0046","sm0047",1,1,0,2,0,1,0,2,0,0,1,0,2,2,0,1,0,1,0,0,NA,NA,NA,NA,NA,3025.2,4,4,4,TRUE,"both",5,27.4,43,50,4,3,1,1,1,3,1,12,12,NA,NA,NA,NA,5,7
1,"smsu011","never","sometimes","rarely","often","never","sm0051","sm0052",0,2,1,0,2,0,2,1,0,1,0,1,1,0,0,1,0,2,0,1,NA,NA,NA,NA,NA,2042,5,5,5,TRUE,"both",7,23.7142857142857,42,45,4,4,2,1,0,1,0,10,6,NA,NA,NA,NA,2,3
1,"smsu012","sometimes","never","often","often","never","sm0058","sm0059",0,3,0,0,2,1,2,2,0,0,0,0,0,0,0,2,1,0,0,1,NA,NA,NA,NA,NA,2378,4,4,4,TRUE,"both",4,35,50,54,4,2,0,0,0,0,0,12,12,NA,NA,NA,NA,1,2
1,"smsu013","never","rarely","never","rarely","never","sm0062","sm0063",0,0,0,0,1,0,0,1,1,2,0,0,2,0,1,0,0,1,2,0,NA,NA,NA,NA,NA,673,3,3,3,TRUE,"both",5,25,42.5,48,3,5,2,1,1,1,1,12,12,NA,NA,NA,NA,2,5
1,"smsu014","sometimes","rarely","often","never","rarely","sm0067","sm0068",2,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,404,2,2,2,TRUE,"both",4,26.25,43.5,55,2,3,1,1,0,1,0,11,3,NA,NA,NA,NA,1,2
