"site","coefficient","name"
"EG",0.404125313670078,"rank_out_degree_percap___rank_wpc"
"EX",0.185260730263283,"rank_out_degree_percap___rank_wpc"
"SI",0.412579174454547,"rank_out_degree_percap___rank_wpc"
"SM",0.11604226416673,"rank_out_degree_percap___rank_wpc"
"EG",0.320774154592794,"rank_out_degree_peradult___rank_wpa"
"EX",0.209647022304257,"rank_out_degree_peradult___rank_wpa"
"SI",-0.0410034929261966,"rank_out_degree_peradult___rank_wpa"
"SM",0.153494483746753,"rank_out_degree_peradult___rank_wpa"
"EG",0.17417291498744,"rank_out_degree_weighted___rank_wealth"
"EX",0.2289494702615,"rank_out_degree_weighted___rank_wealth"
"SI",-0.0518548948091483,"rank_out_degree_weighted___rank_wealth"
"SM",-0.0284014325654052,"rank_out_degree_weighted___rank_wealth"
"EG",0.182489395890788,"rank_in_degree_percap___rank_wpc"
"EX",0.209472120541502,"rank_in_degree_percap___rank_wpc"
"SI",0.498739751826795,"rank_in_degree_percap___rank_wpc"
"SM",0.066422413134652,"rank_in_degree_percap___rank_wpc"
"EG",0.10860781357847,"rank_in_degree_peradult___rank_wpa"
"EX",0.337586823543517,"rank_in_degree_peradult___rank_wpa"
"SI",0.167006970004369,"rank_in_degree_peradult___rank_wpa"
"SM",0.0811911077626378,"rank_in_degree_peradult___rank_wpa"
"EG",0.00186256086529164,"rank_in_degree_weighted___rank_wealth"
"EX",0.177114863091593,"rank_in_degree_weighted___rank_wealth"
"SI",0.0180112570356473,"rank_in_degree_weighted___rank_wealth"
"SM",-0.227923341251259,"rank_in_degree_weighted___rank_wealth"
"EG",0.143419408973773,"ext_rank_out_degree_percap___rank_wpc"
"EX",0.0709019828658362,"ext_rank_out_degree_percap___rank_wpc"
"SI",0.168606709114141,"ext_rank_out_degree_percap___rank_wpc"
"SM",0.0218762290186826,"ext_rank_out_degree_percap___rank_wpc"
"EG",0.11674504764781,"ext_rank_out_degree_peradult___rank_wpa"
"EX",0.158348237484705,"ext_rank_out_degree_peradult___rank_wpa"
"SI",-0.103887558795,"ext_rank_out_degree_peradult___rank_wpa"
"SM",-0.0435902055301548,"ext_rank_out_degree_peradult___rank_wpa"
"EG",-0.0142220062380062,"ext_rank_out_degree_weighted___rank_wealth"
"EX",-0.082414963199115,"ext_rank_out_degree_weighted___rank_wealth"
"SI",0.0346277920066424,"ext_rank_out_degree_weighted___rank_wealth"
"SM",0.0365372545954784,"ext_rank_out_degree_weighted___rank_wealth"
"EG",-0.0215801075511376,"ext_residuals_out_degree_on_log_size___residuals_log_wealth_on_log_size"
"EX",0.000931156170977004,"ext_residuals_out_degree_on_log_size___residuals_log_wealth_on_log_size"
"SI",0.187555077864431,"ext_residuals_out_degree_on_log_size___residuals_log_wealth_on_log_size"
"SM",0.0011496239195086,"ext_residuals_out_degree_on_log_size___residuals_log_wealth_on_log_size"
"EG",-0.0447613481254753,"rank_IEC_capita___rank_wpc"
"EX",-0.135384352180191,"rank_IEC_capita___rank_wpc"
"SI",-0.189562032668221,"rank_IEC_capita___rank_wpc"
"SM",-0.105203292535988,"rank_IEC_capita___rank_wpc"
"EG",0.0191926535323523,"rank_IEC_adult___rank_wpa"
"EX",0.0309460752278766,"rank_IEC_adult___rank_wpa"
"SI",-0.034820759206453,"rank_IEC_adult___rank_wpa"
"SM",-0.133771096088049,"rank_IEC_adult___rank_wpa"
"EG",0.308696860238955,"rank_hightype_outdegree_per_capita___rank_wpc"
"EX",0.151101200840396,"rank_hightype_outdegree_per_capita___rank_wpc"
"SI",0.381050656660413,"rank_hightype_outdegree_per_capita___rank_wpc"
"SM",0.0788873917591837,"rank_hightype_outdegree_per_capita___rank_wpc"
"EG",0.244286777868356,"rank_hightype_outdegree_per_adult___rank_wpa"
"EX",0.228795390157434,"rank_hightype_outdegree_per_adult___rank_wpa"
"SI",0.0157598499061915,"rank_hightype_outdegree_per_adult___rank_wpa"
"SM",0.0233495787589184,"rank_hightype_outdegree_per_adult___rank_wpa"
