value,dist,site_name,var_name,year,file_dist
3000,5000,EG,bedd,NA,5000
10,5000,EG,diurnal,NA,5000
0.01,5000,EG,nightlight,2016,5000
0.05,5000,EG,nightlight,2017,5000
0.09,5000,EG,nightlight,2018,5000
0.13,5000,EG,nightlight,2019,5000
0.17,5000,EG,nightlight,2020,5000
0.21,5000,EG,nightlight,2021,5000
0.25,5000,EG,nightlight,2022,5000
0.29,5000,EG,nightlight,2023,5000
0.33,5000,EG,nightlight,2024,5000
20,5000,EG,pop_density,2000,5000
21,5000,EG,pop_density,2005,5000
22,5000,EG,pop_density,2010,5000
23,5000,EG,pop_density,2015,5000
24,5000,EG,pop_density,2020,5000
5,5000,EG,precip_all,NA,5000
3,5000,EG,precip10,NA,5000
0,5000,EG,precip20,NA,5000
5000,5000,EX,bedd,NA,5000
10,5000,EX,diurnal,2016,5000
0.01,5000,EX,nightlight,2017,5000
0.05,5000,EX,nightlight,2018,5000
0.09,5000,EX,nightlight,2019,5000
0.13,5000,EX,nightlight,2020,5000
0.17,5000,EX,nightlight,2021,5000
0.21,5000,EX,nightlight,2022,5000
0.25,5000,EX,nightlight,2023,5000
0.29,5000,EX,nightlight,2024,5000
0.33,5000,EX,nightlight,2000,5000
20,5000,EX,pop_density,2005,5000
21,5000,EX,pop_density,2010,5000
22,5000,EX,pop_density,2015,5000
23,5000,EX,pop_density,2020,5000
24,5000,EX,pop_density,NA,5000
5,5000,EX,precip_all,NA,5000
3,5000,EX,precip10,NA,5000
0,5000,EX,precip20,NA,5000
2000,5000,SI,bedd,NA,5000
10,5000,SI,diurnal,2016,5000
0.01,5000,SI,nightlight,2017,5000
0.05,5000,SI,nightlight,2018,5000
0.09,5000,SI,nightlight,2019,5000
0.13,5000,SI,nightlight,2020,5000
0.17,5000,SI,nightlight,2021,5000
0.21,5000,SI,nightlight,2022,5000
0.25,5000,SI,nightlight,2023,5000
0.29,5000,SI,nightlight,2024,5000
0.33,5000,SI,nightlight,2000,5000
20,5000,SI,pop_density,2005,5000
21,5000,SI,pop_density,2010,5000
22,5000,SI,pop_density,2015,5000
23,5000,SI,pop_density,2020,5000
24,5000,SI,pop_density,NA,5000
5,5000,SI,precip_all,NA,5000
3,5000,SI,precip10,NA,5000
0,5000,SI,precip20,NA,5000
100,5000,SM,bedd,NA,5000
10,5000,SM,diurnal,2016,5000
0.01,5000,SM,nightlight,2017,5000
0.05,5000,SM,nightlight,2018,5000
0.09,5000,SM,nightlight,2019,5000
0.13,5000,SM,nightlight,2020,5000
0.17,5000,SM,nightlight,2021,5000
0.21,5000,SM,nightlight,2022,5000
0.25,5000,SM,nightlight,2023,5000
0.29,5000,SM,nightlight,2024,5000
0.33,5000,SM,nightlight,2000,5000
20,5000,SM,pop_density,2005,5000
21,5000,SM,pop_density,2010,5000
22,5000,SM,pop_density,2015,5000
23,5000,SM,pop_density,2020,5000
24,5000,SM,pop_density,NA,5000
5,5000,SM,precip_all,NA,5000
3,5000,SM,precip10,NA,5000
0,5000,SM,precip20,NA,5000
