"country","gdp","gdppc","unemployment_rate","median_age","sex_ratio","infant_mortality","life_expectancy","total_fertility","literacy"
"world",1.278e+14,17500,7.7,30.6,1.01,32,69.8,2.42,86.2
"afghanistan",6.945e+10,2000,23.9,19,1.03,108.5,52.1,5.02,38.2
"akrotiri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"albania",3.601e+10,12500,13.8,33.4,0.98,11.6,78.6,1.52,97.6
"algeria",6.3e+11,15200,11.7,28.3,1.03,18.9,77.2,2.66,80.2
"american_samoa",6.58e+08,11200,29.8,26.1,1,10.8,73.9,2.57,NA
"andorra",3.327e+09,49900,3.7,44.9,1.06,3.6,82.9,1.41,100
"angola",1.936e+11,6800,6.6,15.9,0.95,65.8,60.6,6.09,71.1
"anguilla",175400000,12200,8,35.1,0.9,3.3,81.6,1.74,NA
"antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"antigua_and_barbuda",2.398e+09,26400,11,32.2,0.9,11.7,76.9,1.99,99
"arctic_ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"argentina",9.221e+11,20900,8.4,31.9,0.98,9.5,77.5,2.25,99.1
"armenia",2.834e+10,9500,18.9,35.6,0.94,12.3,75.1,1.64,99.7
"aruba",4.158e+09,37500,7.7,39.5,0.9,10.4,77.1,1.83,97.5
"ashmore_and_cartier_islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atlantic_ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"australia",1.248e+12,50400,5.6,38.8,1.01,4.2,82.4,1.77,NA
"austria",4.41e+11,50000,5.5,44.2,0.96,3.4,81.7,1.48,NA
"azerbaijan",1.722e+11,17500,5,31.7,0.98,23,73,1.89,99.8
"bahamas_the",1.206e+10,32400,10.1,32.3,0.96,11.1,72.9,1.94,NA
"bahrain",7.117e+10,49000,3.6,32.5,1.54,8.8,79.1,1.73,95.7
"bangladesh",6.903e+11,4200,4.4,27.1,0.97,30.5,73.7,2.15,72.9
"barbados",5.218e+09,18600,10.1,38.9,0.94,10,75.7,1.68,99.6
"belarus",1.794e+11,18900,0.8,40.3,0.87,3.6,73.2,1.49,99.7
"belgium",5.292e+11,46600,7.1,41.5,0.97,3.4,81.2,1.78,NA
"belize",3.218e+09,8300,9,23.7,1,12,74.7,2.8,NA
"benin",2.539e+10,2300,1,18.4,1.01,51.5,62.7,4.67,38.4
"bermuda",6.127e+09,99400,7,43.5,0.94,2.5,81.5,1.92,NA
"bhutan",7.205e+09,9000,3.2,28.1,1.09,30.3,71.1,1.87,64.9
"bolivia",8.372e+10,7600,4,24.6,0.98,34.2,69.8,2.58,92.5
