"wealth_var","h","j","time_hrs","num_divergent_total","pct_divergent","num_max_treedepth_total","pct_max_treedepth","ebfmi_min","alpha_1_mean","alpha_1_rhat","alpha_1_ess_bulk","alpha_1_ess_tail","sigma_alpha_rhat"
"wealth",1,1,0.27,292,7.3,3630,90.75,0.744,1.862,1.003,1146,784,1.006
"wealth",1,2,0.3,193,4.82,3803,95.08,0.594,0.991,1.015,302,163,1.008
"wealth",1,3,0.29,477,11.93,3453,86.33,0.686,-4.098,1.019,324,247,1.038
"wealth",1,4,0.27,801,20.02,3128,78.2,0.653,-3.645,1.08,684,321,1.106
"wealth",2,1,0.28,332,8.3,3506,87.65,0.755,0.921,1.003,563,256,1.006
"wealth",2,2,0.28,320,8,3666,91.65,0.663,-2.556,1.025,268,428,1.083
"wealth",2,3,0.28,596,14.9,3384,84.6,0.699,0.901,1.017,548,594,1.195
"wealth",2,4,0.29,204,5.1,3743,93.58,0.748,-1.212,1.009,579,279,1.007
"wealth",3,1,0.29,132,3.3,3767,94.17,0.719,1.216,1.007,1096,596,1.005
"wealth",3,2,0.3,89,2.22,3903,97.58,0.632,-0.691,1.016,171,156,1.011
"wealth",3,3,0.29,409,10.22,3571,89.28,0.628,5.287,1.172,20,16,1.124
"wealth",3,4,0.29,43,1.07,3957,98.92,0.677,-1.289,1.016,407,294,1.011
"wealth",4,1,0.29,326,8.15,3666,91.65,0.731,3.819,1.012,639,526,1.02
"wealth",4,2,0.3,94,2.35,3901,97.53,0.723,-3.216,1.026,118,34,1.011
"wealth",4,3,0.29,542,13.55,3279,81.97,0.713,-1.318,1.009,476,317,1.018
"wealth",4,4,0.29,373,9.32,3624,90.6,0.653,-1.508,1.025,427,527,1.039
"wealth_per_capita",1,1,0.3,233,5.82,3749,93.72,0.698,3.159,1.003,1229,777,1.002
"wealth_per_capita",1,2,0.28,196,4.9,3794,94.85,0.654,-8.344,1.02,204,119,1.004
"wealth_per_capita",1,3,0.28,364,9.1,3390,84.75,0.766,-3.745,1.005,1050,724,1.012
"wealth_per_capita",1,4,0.26,1256,31.4,2737,68.42,0.662,11.765,1.159,102,91,1.597
"wealth_per_capita",2,1,0.28,195,4.88,3778,94.45,0.693,2.485,1.006,1699,1140,1.013
"wealth_per_capita",2,2,0.27,873,21.82,3111,77.78,0.671,-4.707,1.192,491,476,1.165
"wealth_per_capita",2,3,0.27,81,2.02,3900,97.5,0.718,-1.586,1.005,682,381,1.005
"wealth_per_capita",2,4,0.3,108,2.7,3892,97.3,0.621,-4.512,1.159,19,17,1.097
"wealth_per_capita",3,1,0.28,52,1.3,3945,98.62,0.676,2.504,1.003,599,462,1.002
"wealth_per_capita",3,2,0.28,79,1.98,3921,98.03,0.657,4.244,1.019,177,100,1.028
"wealth_per_capita",3,3,0.27,158,3.95,3829,95.72,0.656,-5.22,1.013,462,238,1.014
"wealth_per_capita",3,4,0.3,153,3.83,3844,96.1,0.69,3.935,1.015,308,223,1.012
"wealth_per_capita",4,1,0.28,233,5.82,3747,93.67,0.653,1.027,1.007,502,251,1.007
"wealth_per_capita",4,2,0.3,354,8.85,3637,90.92,0.666,8.338,1.022,262,60,1.014
"wealth_per_capita",4,3,0.27,304,7.6,2963,74.08,0.639,-3.552,1.004,637,347,1.007
"wealth_per_capita",4,4,0.31,238,5.95,3751,93.78,0.615,-1.804,1.148,20,207,1.078
