# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 11:10:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35355037bd79.json
# init = 2 (Default)
# random
#   seed = 381729195
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141210-1-57d0ff.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141210-1-6ccf73.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00443422
# Diagonal elements of inverse mass matrix:
# 0.00686254, 0.0703873, 0.00352558, 0.00835581, 0.0192095, 0.00980607, 0.0236411, 0.0199886, 0.0149235, 0.126359, 0.011322, 0.0315419, 0.0281522, 0.0623162, 0.0387545, 0.0223899, 0.329927, 0.589058, 1.03456, 0.364172, 0.264162, 0.398962, 0.327992, 0.410483, 0.328408, 0.447975, 0.413156, 0.385205, 0.294071, 0.458873, 0.367104, 0.331291, 0.255842, 0.342553, 0.413615, 0.245902, 0.245183, 0.296487, 0.255755, 0.299753, 0.286379, 0.33013, 0.260039, 0.29364, 0.310809, 0.310033, 0.220361, 0.216869, 0.348834, 0.427275, 0.578738, 0.244083, 0.299715, 0.307444, 0.26125, 0.321617, 0.275922, 0.322395, 0.259952, 0.285302, 0.27094, 0.275025, 0.224529, 0.209933, 0.414578, 0.456107, 0.647398, 0.423151, 0.296752, 0.443536, 0.433804, 0.413505, 0.374553, 0.454591, 0.417841, 0.39416, 0.472762, 0.480928, 0.338264, 0.359241, 0.253617, 0.445131, 0.360415, 0.372615, 0.474027, 0.376628, 0.459565, 0.540849, 0.447727, 0.548722, 0.435182, 0.560082, 0.418165, 0.482825, 0.634516, 0.434996, 14.6112, 231.72, 0.617657
-19667.344,0.66224089,0.0044342192,10,1023,0,19717.012,-0.10482516,-0.13628819,-0.13280898,-0.029794351,-0.064593516,-0.082946453,-0.1753238,-0.11551279,-0.12070612,-0.23504888,-0.1267906,-0.047640559,0.13258954,-0.031812616,-0.039955247,-0.75060377,0.083332816,0.17205235,0.10254697,0.052568367,0.08327326,0.066395166,0.19354259,0.082951691,0.076908364,0.12252656,0.08755345,0.15841107,0.52812971,0.10449137,0.87535916,0.49859359,0.52105027,-0.22034147,0.84664391,0.0054915964,0.245083,-0.11377609,1.3418749,-0.16340051,0.16188161,0.2263318,0.86867496,0.0041793167,-1.817692,-1.483258,1.3436188,-2.2605042,0.86822261,-0.4751273,1.5796177,-2.2431024,-0.16904659,-0.36823343,1.4088311,-1.272612,0.38544687,0.15441405,0.9112056,-0.73862408,0.79185738,-0.28592146,1.625161,-1.0118079,0.72099791,0.86479068,1.7890268,-1.5928372,1.1341497,1.1859075,2.5670395,-0.77932713,-0.58171922,-0.39694847,1.1571214,-1.5354254,-0.59825423,-0.44995499,-0.043015429,-1.9882048,-0.35876919,-0.52079237,-0.029715907,-0.90990992,-0.15538039,-0.87254967,1.0886928,-2.4142181,-0.0202146,-0.068976781,0.10232029,-0.46602963,1.1211663,1.2826509,1.4945503,0.68093978,2.0604496,-6.7616006,0.12711651,-0.061404572,-0.12318683,-0.034271936,-0.10436753,-0.094121087,-0.15586363,0.094584533,-0.16440163,-0.11620851,-0.10959934,-0.043728991,-0.1323804,-0.12534745,-0.1077668,0.040837493,-0.14862537,0.0077062111,-0.10415891,0.066946399,-0.25138396,-0.094170329,-0.10739537,0.010593119,-0.16744174,-0.10072341,-0.1454381,0.0010332986,-0.31827902,-0.04982688,-0.13923046,0.019297066,-0.19944397,-0.065255351,-0.054196485,0.016885002,-0.24320863,-0.096085422,-0.089743723,0.079481624,-0.33053715,-0.17772212,-0.16154481,-0.025480628,-0.26122239,-0.14241065,-0.11891841,-0.054454679,-0.3625942,-0.056887127,-0.14245638,0.11689569,-0.34796092,-0.048048526,-0.12298653,0.081946393,-0.28407758,-0.057650282,-0.1003347,0.049611756,-0.44789856,-0.19159745,-0.11108223,-0.005430551,-0.41109156,0.25815534,0.25004328,0.2346638,0.26059899
-19646.899,0.99165861,0.0044342192,10,1023,0,19712.061,-0.13067593,-0.076055775,-0.046972641,-0.12377662,0.059165633,-0.24815787,-0.098447392,-0.047482887,0.042536631,-0.13694593,-0.17671989,-0.23684246,-0.28763951,-0.11065465,-0.40725923,-0.51238921,0.079512581,0.16599435,0.10439399,0.05967694,0.30245607,0.14078781,0.14522008,0.16896039,0.29657112,0.17843015,0.13532413,0.1648265,0.25266866,0.1579416,0.35912166,0.29123336,0.75724271,-0.65210085,2.0823836,0.45212603,-0.043828813,-0.38344424,0.94548341,-0.31636227,-0.44677017,-0.51473632,0.13003406,-0.91745176,0.76032374,-0.12763182,2.405546,-1.2054431,-0.22650753,-0.52742267,-0.070827756,-0.86720729,1.0294114,0.97652324,1.7146101,0.60285901,-0.45695981,-0.12198199,1.1414695,-1.5108794,0.064769953,-0.59094299,0.48863292,-0.78602222,-0.52666744,-0.319037,-0.028542775,-1.0537279,0.44303638,0.1097057,1.1355547,-1.1416705,0.044742222,0.28225899,1.3030821,-0.62880064,0.73556718,0.34688905,1.0161538,-1.0017776,1.0593697,0.6892892,1.4733877,-0.13111209,0.31626566,0.077322104,0.62026972,-1.4724929,0.8352768,0.79653573,1.2870458,-0.13587236,1.3810307,1.1758159,1.7355514,0.38390062,-1.7293867,8.5501524,0.24614403,-0.070465607,-0.18252615,0.034899767,-0.094726222,-0.08333111,-0.13970535,0.080889131,-0.12857012,-0.093612762,-0.10070802,-0.033397867,-0.14274909,-0.078402822,-0.13139329,0.01977901,-0.19571377,-0.0093429431,-0.10035656,0.037743348,-0.20312648,-0.1032293,-0.11067531,-0.0067616849,-0.16328268,-0.16480713,-0.11616163,0.067316901,-0.31785742,-0.036539331,-0.14732885,0.035076723,-0.18028951,-0.11365772,-0.05208053,0.034071668,-0.26996864,-0.057894885,-0.11737113,0.065671255,-0.34065436,-0.17066519,-0.13852344,-0.00038143753,-0.26181179,-0.11560149,-0.17966595,-0.069353385,-0.40196196,-0.019969993,-0.11347773,0.084639381,-0.32076743,-0.060703149,-0.098442276,-0.012688262,-0.34322254,-0.10729324,-0.121206,0.054946807,-0.45605393,-0.110187,-0.16995239,-0.0069387222,-0.40058454,0.25335195,0.23976741,0.25054803,0.26285302
-19649.351,0.93741946,0.0044342192,8,432,1,19692.813,-0.13588046,-0.095545856,0.0058428948,-0.098335046,0.076440664,-0.2479321,-0.1271679,-0.027334635,-0.0095410148,-0.1084736,-0.17710306,-0.22048945,-0.28426764,-0.11237249,-0.48659984,-0.55947432,0.079713765,0.19003324,0.21847047,0.068787897,0.40835549,0.15784217,0.12176944,0.25575277,0.22305233,0.15109802,0.09316248,0.13112088,0.24211188,0.15446601,0.38595562,0.27343272,0.96699518,-0.43913719,2.1786993,0.40195776,0.083338541,-0.05075913,0.9346966,-0.24589768,-0.42587261,-0.84918311,-0.23897244,-0.57943978,0.65304835,-0.12189032,2.3494274,-1.2955525,-0.18208985,-0.50769747,0.015417604,-0.72048671,0.78419854,0.92624744,1.3843131,0.56222342,-0.40436602,-0.037314048,1.4428938,-1.3022164,-0.12868836,-0.18120115,0.22851839,-0.60682605,-0.13311732,-0.59597407,-0.24288237,-1.0978695,0.2674153,-0.11479877,0.92426443,-1.2920644,0.43425131,0.2624743,1.5114137,-0.56146861,0.65672597,0.43753853,1.2750121,-1.2500497,0.98247017,0.73546707,1.4691013,-0.15129795,0.12900807,-0.16275376,0.95968507,-1.1637207,1.0522769,0.87852805,1.3263477,0.049306687,1.3985981,1.510172,1.8306648,0.49838673,-1.3364767,6.302714,0.49400556,-0.058797637,-0.17088574,0.037791862,-0.1038389,-0.079708764,-0.10519178,0.082077564,-0.14227459,-0.087197696,-0.17967854,-0.046365528,-0.12074759,-0.053413223,-0.10671962,0.063277127,-0.18745338,0.0020832714,-0.13088039,0.082736527,-0.21777404,-0.1241525,-0.10173119,-0.029429111,-0.15918954,-0.17640733,-0.13171161,0.04853247,-0.28573806,-0.06024704,-0.07367733,0.031109576,-0.18253208,-0.039233142,-0.14247442,-0.063716492,-0.25442336,-0.06806768,-0.12581947,0.03118092,-0.30370197,-0.13664714,-0.15265031,-0.036296014,-0.22941087,-0.13437896,-0.16311901,-0.053308745,-0.38439708,-0.046399942,-0.10620233,0.071419246,-0.32089868,-0.092445131,-0.13751242,0.035866231,-0.29212778,-0.080467663,-0.14752701,0.025311496,-0.46756965,-0.17705183,-0.14654389,-0.058910648,-0.42319908,0.25500837,0.23776852,0.24962043,0.26121714
-19635.191,0.99755686,0.0044342192,10,1023,0,19686.947,-0.19100671,-0.078621204,-0.10967011,-0.10840444,-0.11460354,-0.13684312,-0.10165154,-0.25727725,-0.14664542,-0.14334107,-0.097050842,-0.42432561,0.29143817,-0.0025900272,-0.23388907,-0.15506028,0.90825826,0.20807271,0.052416775,0.2430861,0.17404869,0.12143024,0.15755465,0.16346806,0.089739609,0.28895976,0.087926485,0.44133407,0.55439343,0.18613475,0.1734057,0.096342675,0.094817785,-0.03457845,0.25509998,0.10137827,0.026018005,-0.22510347,0.61294183,-0.23913837,0.14545447,-0.17769981,1.4013047,-0.64677657,0.025049877,0.0022857568,0.87323143,-0.26804904,0.68758344,0.065952054,1.2005608,-0.60356963,0.1961852,0.34708481,1.0457333,-0.24976816,-0.10744021,-0.24679034,1.0614974,-1.4419949,1.0892007,1.0067256,1.6832861,0.46125796,1.2352826,0.42574505,2.0252981,-1.0152997,0.33345982,0.09091351,0.63554709,-0.64648801,-0.2718449,-0.89444854,0.70006131,-1.5444884,0.73981319,0.67433772,1.0045269,0.032043912,-0.55417183,-0.75341113,-0.3617258,-1.1861933,-0.33038952,-0.5085056,0.12668422,-1.452184,0.62924329,0.63711406,1.5380504,-1.2775891,0.19444322,-0.0053587852,1.171081,-2.2310379,-0.80602532,4.376842,0.19657504,-0.10488767,-0.22241287,0.040689955,-0.098929056,-0.073207567,-0.12545909,0.04891526,-0.12837937,-0.10204585,-0.11898456,-0.036218233,-0.14357205,-0.10231516,-0.1078488,0.10386598,-0.17356344,0.005069463,-0.10312467,0.094352494,-0.21965404,-0.11302031,-0.094696532,-0.0098594722,-0.16717253,-0.11857925,-0.14053451,0.0655923,-0.32884453,-0.079227724,-0.092709777,0.01788626,-0.18187631,-0.035791645,-0.10843923,0.035104039,-0.23775801,-0.046984598,-0.11707072,0.040306468,-0.33015009,-0.12095321,-0.17569656,-0.035496911,-0.23285228,-0.097820845,-0.1267174,0.019006333,-0.41018354,-0.015791048,-0.12624801,0.090899763,-0.36617961,-0.064086999,-0.09724059,0.020990308,-0.27289194,-0.1247747,-0.12340986,0.032817633,-0.45543029,-0.1363271,-0.15557656,-0.042235206,-0.37000444,0.24834457,0.22938807,0.2484978,0.26088579
-19637.173,0.97236217,0.0044342192,10,1023,0,19683.061,-0.31212478,-0.12405434,-0.14228062,-0.11994375,-0.15632068,-0.085763009,-0.17561141,-0.14561778,-0.039371618,-0.29742212,-0.17959476,-0.14595491,0.19616744,0.33147483,-0.16167942,-0.22815228,0.33444183,0.14268848,0.17275768,0.13407384,0.17056038,0.080689062,0.11745364,0.16082194,0.10310414,0.6252726,0.14998012,0.13399697,0.568236,0.55563725,0.24533732,0.14315744,0.69396835,0.43260402,1.0183792,0.62400657,0.055828108,-0.10746885,1.3169441,-0.34872738,0.24620448,0.046991606,0.75460963,0.11725723,0.24520193,0.20108846,1.4189275,-0.5146681,0.95508054,0.0022611926,1.3881931,-0.56641387,-0.28516367,-0.23905316,0.90969618,-0.95709742,0.16762123,0.41471221,1.9024706,-1.3420948,0.73536277,0.089637145,1.2075243,-0.47331444,-0.066328118,-0.25230669,-0.295135,-1.7381931,0.3357123,0.30200624,0.61534827,-0.080243436,0.46621935,-0.022638465,1.0325122,-0.50005364,0.020764385,-0.14887483,1.0274536,-1.9261952,-0.41274985,-0.55642833,-0.16767355,-1.0304253,-0.72999024,-0.78927081,-0.57965692,-1.0831721,0.39749303,-0.020425518,0.8709375,-1.1882051,0.2971492,0.51052182,1.8872812,-1.3118641,-0.47781854,3.3741211,0.049694189,-0.080032736,-0.1674439,0.028463838,-0.10343088,-0.11608831,-0.1393889,0.063858421,-0.17381372,-0.099746901,-0.13416246,-0.011916005,-0.12202353,-0.087068582,-0.092983044,0.070297314,-0.18894728,0.0065782202,-0.15593501,0.080450056,-0.25292844,-0.1087726,-0.10505198,-0.012360477,-0.1629903,-0.15592369,-0.12690195,0.047840686,-0.33324533,-0.027355315,-0.13120216,0.048578612,-0.22173713,-0.046210322,-0.065385484,-0.069801259,-0.21858653,-0.087510414,-0.10858589,0.087338297,-0.34759614,-0.10967113,-0.18299008,-0.024738453,-0.25459287,-0.14317255,-0.16590369,-0.0082792478,-0.40405923,-0.038371878,-0.12001516,0.1008893,-0.38935728,-0.074134942,-0.10707343,0.0093958555,-0.27037595,-0.064159551,-0.16669057,0.051994045,-0.45319049,-0.18561316,-0.15506728,0.042026068,-0.4159554,0.25450184,0.2398004,0.24760154,0.26369538
-19639.373,0.99311017,0.0044342192,10,1023,0,19681.829,-0.30817393,-0.013928171,-0.19277818,-0.086929798,-0.096401739,-0.060719353,0.060297769,-0.10101055,-0.060577662,-0.22718992,-0.056764953,-0.30096797,0.28308759,-0.15089522,-0.18753165,-0.20444816,0.73142367,0.10618694,0.3949261,0.10243373,0.25244699,0.092844743,0.54148285,0.16036209,0.07933909,0.19548169,0.093179673,0.21579522,0.68626638,0.10089409,0.15468981,0.14745929,0.30236182,0.15580131,0.4071185,0.27275847,-0.90250993,-1.0032191,0.49935675,-1.2104674,0.15638841,0.14170972,0.51762602,0.11603193,-0.15607122,-0.24482676,1.0374638,-0.9006875,0.38640638,-0.2259867,0.62102833,-0.4422065,-0.32616177,-0.54875966,0.46042337,-1.3081538,-0.43418136,-0.3188335,-0.091450393,-0.7356428,0.028357636,0.024037299,0.8697732,-0.70123185,0.18072976,-0.066477345,0.72768118,-2.4736403,0.83916632,0.54834181,1.4121807,-0.38280334,-0.6921359,-0.92342969,0.17061443,-1.7989624,0.95794102,0.79048058,1.162516,-0.27337005,-0.45165191,-0.62471035,-0.31173942,-0.95156223,0.75296407,0.22081307,1.6086637,-1.4445141,0.55061717,0.62264406,1.6421508,-1.4138445,0.22510684,0.32105451,1.7388648,-1.261321,0.44737339,-0.24316805,0.10893074,-0.087019342,-0.19421717,-0.010397825,-0.10867193,-0.10976294,-0.12045694,0.039096994,-0.142464,-0.13101631,-0.13681331,0.011645845,-0.14695414,-0.10291676,-0.11200832,0.019341498,-0.17919058,0.0011453892,-0.1534514,0.060374994,-0.20803544,-0.091001759,-0.1116688,-0.017971464,-0.18217456,-0.17480399,-0.1123451,0.010778949,-0.33804019,-0.096463056,-0.097155875,0.038468103,-0.21346155,-0.046238727,-0.065851914,-0.0028440988,-0.25683403,-0.063148269,-0.11999914,0.048865556,-0.30202097,-0.12125795,-0.14280983,-0.040867156,-0.22439168,-0.094248878,-0.13038604,-0.050102571,-0.35995992,-0.02686593,-0.14563012,0.069151306,-0.36993757,-0.0749256,-0.12861649,0.011409439,-0.29663816,-0.10235678,-0.091214957,0.066492351,-0.40623899,-0.17125407,-0.1571057,0.051963606,-0.39044166,0.25266774,0.23538925,0.2454963,0.26124554
