# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 11:10:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35355037bd79.json
# init = 2 (Default)
# random
#   seed = 381729195
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141210-4-57d0ff.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141210-4-6ccf73.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00367228
# Diagonal elements of inverse mass matrix:
# 0.0132427, 0.0188398, 0.0049404, 0.0129052, 0.0214558, 0.00461052, 0.0243587, 0.00943036, 0.0322516, 0.0458821, 0.0117419, 0.0339232, 0.0313477, 0.0179355, 0.0446382, 0.0277107, 0.424131, 0.499138, 0.740409, 0.375946, 0.303942, 0.343596, 0.328683, 0.274436, 0.457195, 0.457835, 0.411898, 0.320264, 0.279903, 0.304961, 0.34689, 0.295907, 0.279746, 0.271421, 0.447286, 0.267547, 0.319146, 0.271458, 0.280652, 0.284695, 0.295662, 0.271347, 0.305072, 0.273675, 0.248436, 0.256759, 0.243298, 0.244209, 0.371956, 0.32876, 0.432336, 0.267222, 0.28541, 0.269952, 0.285927, 0.285037, 0.262828, 0.266597, 0.290702, 0.268156, 0.243843, 0.238201, 0.23232, 0.243175, 0.437287, 0.492796, 0.588215, 0.542697, 0.479382, 0.450972, 0.4384, 0.440021, 0.387964, 0.419173, 0.503011, 0.362238, 0.355373, 0.389409, 0.362031, 0.350951, 0.296041, 0.359636, 0.37466, 0.337927, 0.402287, 0.338799, 0.485081, 0.423827, 0.502884, 0.543679, 0.462243, 0.517671, 0.500541, 0.470768, 0.49757, 0.489761, 12.2232, 190.339, 0.679789
-19641.306,0.9855549,0.0036722848,10,1023,0,19681.446,-0.13711764,-0.018252615,-0.10977917,-0.089206676,-0.24448114,-0.046219874,-0.0043033627,0.047499264,-0.090457666,0.15482685,-0.13061021,-0.2199865,-0.39051036,-0.093755741,-0.062410065,-0.089387208,0.12173443,0.13890858,0.059845253,0.10067304,0.28883617,0.087433008,0.22642898,0.23574895,0.11058031,0.37955936,0.065925935,0.27235138,0.34989536,0.21752831,0.19167074,0.23066152,0.46564305,0.039868298,1.4532837,0.42935203,-0.48308758,-0.76637633,0.59011364,-0.84538775,0.15207175,0.57886469,2.0955961,-0.18049677,-0.058885455,0.053806596,1.3881986,-0.72699844,0.80906234,0.43499479,1.1235884,-0.17343699,-0.88825097,-1.330035,0.32770227,-1.0765879,-0.50474637,-0.5282663,0.16259419,-1.5447796,-0.43069897,-0.66912019,-0.11582406,-1.0664653,0.37906982,-0.097447418,0.51725016,-1.4021596,-0.65755795,-0.75594865,-0.37519875,-1.2975176,-0.17082028,-0.49431417,1.3544878,-1.5977146,0.24935401,0.32957253,0.74971678,-0.54818538,1.0430711,0.72034616,1.3992852,0.093453184,0.17129546,-0.0084132929,0.64359998,-1.0548446,-0.39878216,-0.353082,0.59622449,-1.6114964,-0.16222118,-0.1467093,0.27468207,-1.1012533,-1.5833716,7.5207331,0.033557821,-0.08043285,-0.1322643,0.039797027,-0.084850717,-0.085357624,-0.12470886,0.063719231,-0.13568422,-0.1006784,-0.075136865,0.015632308,-0.12058104,-0.095134854,-0.083789802,0.050547493,-0.16239582,-0.010794676,-0.11883891,0.080051816,-0.29457602,-0.12388233,-0.16250884,-0.017567879,-0.14034919,-0.11859257,-0.12391816,0.032512673,-0.35408624,-0.054037565,-0.11024512,0.020193865,-0.2039188,-0.048540008,-0.10123343,-0.033259983,-0.24550891,-0.094755431,-0.13210054,0.01241665,-0.33765812,-0.1418717,-0.16319834,-0.041314341,-0.23594104,-0.15207459,-0.13022697,-0.015800099,-0.36928554,-0.025544605,-0.13846458,0.099093051,-0.35781152,-0.056494129,-0.09558587,0.046245473,-0.32321431,-0.13884494,-0.13008555,0.051868726,-0.37128678,-0.12680539,-0.1232274,-0.026028624,-0.34340396,0.2539377,0.2482954,0.25130247,0.26165437
-19645.677,0.95513153,0.0036722848,10,1023,0,19684.37,-0.10106597,-0.073539997,-0.095606841,-0.11449782,-0.11351118,-0.013563409,-0.12268595,0.12631602,-0.093613301,0.11907186,-0.080210383,-0.32132678,-0.2416922,-0.13216264,-0.0067202106,-0.11503112,0.11058666,0.25834663,0.027845772,0.098265354,0.1710677,0.075383788,0.1247804,0.2141859,0.10310608,0.37570336,0.10980649,0.33071851,0.25318109,0.18292192,0.14512765,0.15433473,0.48508937,-0.18618191,1.2453,0.07269655,-0.031292774,-0.30546617,0.60773047,-0.24066823,0.52936764,-0.55784061,1.5662828,-0.70349794,0.36632839,-0.12328759,1.7120372,-0.4931723,0.3878586,-0.054381866,0.98970419,-0.72989246,-0.83628326,-0.9482957,0.70528268,-1.9472355,-0.37000667,-0.097322606,1.3000549,-1.6102686,-0.86572456,-1.1097151,-0.42719947,-1.5526758,0.11523427,0.20461901,1.5005958,-1.6359829,-0.48422092,-0.67039518,-0.19572313,-1.1851272,-0.77675028,-0.84321741,0.075270243,-1.5764569,0.55505701,0.40085522,0.83438632,-0.28417694,0.73373203,0.5571803,1.2330519,-0.52417187,0.39755934,0.15193742,0.95617074,-1.0401957,-0.38395374,-0.84769567,0.4572225,-3.1104377,0.089059871,-0.095726776,0.70095609,-1.6912362,-2.5051563,11.252855,0.047111302,-0.047421558,-0.12165521,0.036647599,-0.093026704,-0.081624379,-0.15245615,0.083465122,-0.13571582,-0.08086619,-0.11114034,-0.051992488,-0.11519628,-0.07850043,-0.12661272,0.053736122,-0.16295957,-0.047161096,-0.12281416,0.055795247,-0.2383722,-0.076605609,-0.085049531,0.039603471,-0.1603534,-0.16885553,-0.1348299,0.039535418,-0.32361591,-0.05910997,-0.11136929,0.034815922,-0.20624523,-0.081731946,-0.072515836,0.061107255,-0.26229309,-0.062851566,-0.13279786,0.045538022,-0.32618441,-0.16550261,-0.17280113,-0.071945221,-0.25331559,-0.13775915,-0.18875654,-0.045379777,-0.41530935,-0.055925124,-0.10062468,0.070493231,-0.37440261,-0.059440316,-0.10436995,0.042741954,-0.32243724,-0.062442515,-0.12974429,0.059635417,-0.45813073,-0.10128609,-0.12980509,-0.0068492517,-0.37604761,0.25595005,0.24987461,0.24581341,0.26139995
-19647.721,0.9937376,0.0036722848,10,1023,0,19684.916,-0.14128602,-0.092280804,-0.077763125,-0.10617558,-0.069687655,-0.078063655,-0.062793244,0.21876672,-0.08913848,0.16795537,-0.15062127,-0.2191378,-0.14736898,-0.16683111,0.050015884,-0.1012977,0.10720037,0.17404146,0.050390881,0.12134405,0.22444908,0.064445547,0.16588539,0.29889638,0.10015959,0.23279849,0.062785617,0.4393435,0.24430183,0.24512474,0.21042938,0.16759472,0.61003452,0.27925345,1.5360085,0.42772098,-0.066093557,-0.43188948,0.88248366,-0.32131789,-0.43217225,-0.21214962,0.89936922,-1.1244792,-0.0671842,0.087617139,1.2139993,-0.47408036,0.31365035,-0.059565462,0.84666816,-0.71872752,-0.71659158,-1.3141706,0.72746818,-1.0258387,-0.27443902,-0.25431845,0.5104887,-1.5600184,-0.90120181,-1.0688579,-0.58479631,-1.4528812,0.86558915,-0.23246819,0.74099521,-1.6173538,-1.0193411,-1.1333464,-0.55953453,-2.0688386,-0.19213371,-0.45896474,1.1563863,-1.3524627,0.14107126,0.14024783,0.34295679,-0.51432112,0.385159,0.16005822,0.77968256,-0.74624201,0.44029139,0.26404845,0.8240111,-0.59811186,-0.88100887,-0.85659517,-0.025548126,-2.0292782,-0.47556836,-0.40757519,0.32990027,-1.7292909,-4.405164,18.559434,0.037504586,-0.075890096,-0.11134995,0.023374662,-0.095434175,-0.10378382,-0.16744748,0.061307937,-0.14820344,-0.099540665,-0.088453531,-0.032443117,-0.13442662,-0.11432799,-0.095543764,0.041136004,-0.16370241,0.00071087797,-0.083057069,0.12034624,-0.23100539,-0.12424479,-0.1627561,-0.03118157,-0.14417439,-0.10831867,-0.10498096,0.021889374,-0.32157751,-0.050599241,-0.10071105,0.043973216,-0.21549422,-0.0024414223,-0.1124224,-0.0149207,-0.25113198,-0.069345689,-0.095885948,0.037696581,-0.31366713,-0.1626845,-0.17943765,-0.078016838,-0.23553647,-0.15715906,-0.15752083,-0.068461964,-0.44510144,-0.053273935,-0.10826647,0.043108894,-0.32967728,-0.058904797,-0.1021063,0.035154399,-0.31344312,-0.13537426,-0.1302369,0.044639808,-0.37700386,-0.18100044,-0.16960515,-0.046008156,-0.39111771,0.2572295,0.25567133,0.24978224,0.26075366
-19646.993,0.99839085,0.0036722848,10,1023,0,19688.317,-0.020957066,-0.072814995,-0.10500535,-0.17631279,0.03417831,-0.090114065,-0.15183179,0.40335193,-0.1740816,0.18082349,-0.083802209,-0.25260607,-0.20437813,-0.10096281,-0.074670739,-0.035413206,0.15186842,0.11045317,0.03020732,0.24188364,0.12389715,0.034296317,0.13914768,0.79782516,0.11743228,0.41445081,0.10205461,0.38574597,0.30382653,0.13496132,0.34434301,0.25399006,-0.48648878,-0.5701076,0.56480103,-0.57506836,-0.20067264,-0.65696266,1.134016,-0.71865345,-0.14090974,-1.1160458,1.2957672,-0.20255961,0.24278145,0.18875269,1.0829327,-0.088055306,-0.16393784,-1.4475013,0.35398628,-1.9245062,-0.63880422,-0.41930034,0.57860739,-1.9253638,0.12225616,0.32203826,1.0848578,-1.3458281,-0.63658681,-0.65160091,-0.5451079,-0.74370377,1.0407145,0.47372142,1.0884113,-0.46427132,-0.54042191,-0.75313375,-0.29405567,-1.1851436,-1.145954,-0.3112249,0.97646055,-1.7544056,0.31702398,0.14555011,0.49499253,-0.37593569,0.54859412,0.19283092,1.0154385,-0.5468435,0.15722416,0.008014833,1.2095499,-1.5572674,0.08927706,-0.19414877,0.20697313,-1.0058441,-0.3401356,-0.57224172,-0.043661927,-1.5500206,0.39277748,-0.24579799,0.060633688,-0.09483935,-0.10753841,0.064818378,-0.10829179,-0.094979923,-0.1453786,0.05244066,-0.15219254,-0.10926186,-0.1387181,-0.065863699,-0.11112414,-0.11758793,-0.1306566,0.085630912,-0.19761193,0.013866879,-0.14516297,0.078036199,-0.20426251,-0.1120227,-0.10449452,-0.070269963,-0.15614695,-0.13482013,-0.10702091,-0.0008763468,-0.33910065,-0.10453305,-0.11651167,-0.031548869,-0.18999365,-0.051868117,-0.11845141,-0.04626698,-0.22860204,-0.043154809,-0.1313134,0.058951879,-0.31036022,-0.20075209,-0.11556414,0.015850088,-0.26284738,-0.13031535,-0.1964607,-0.061664697,-0.39762175,-0.037700684,-0.14579098,0.10413903,-0.3705237,-0.079743629,-0.099881117,0.062279641,-0.31113368,-0.043928807,-0.14152451,-0.003400987,-0.42102614,-0.12180427,-0.18075691,-0.046502901,-0.42910301,0.25250414,0.25360999,0.25757476,0.26144655
-19643.963,0.98700589,0.0036722848,10,1023,0,19682.916,-0.18535673,0.1612194,-0.13666641,-0.014754951,-0.23726564,-0.041185404,0.071224884,0.02118992,-0.048693242,-0.30157366,-0.18899228,-0.16472006,-0.35693906,-0.091994831,-0.15226312,-0.17560696,0.092818604,0.66779006,0.094692896,0.15293747,0.35165163,0.071130705,0.46158665,0.10861562,0.15123364,0.28777424,0.04446363,0.13980607,0.26756014,0.23621687,0.15983231,0.22471397,1.4461906,0.48465818,2.176201,0.58702628,-0.39546488,-0.513352,-0.12150839,-0.46615295,0.80047787,0.15810079,0.65897814,0.28007233,-0.65210182,-0.7732631,0.37287925,-1.0932058,0.54142612,0.27763709,0.83765644,0.0086810916,-0.26283923,-0.87119156,0.74781105,-1.7189345,-0.50821061,-0.38297495,-0.11687388,-0.82580545,-0.55382588,-1.2303452,0.16726406,-1.8382951,-0.33802255,-0.24301718,0.47782897,-1.3190494,0.78098988,0.65796255,1.2649941,-0.041478406,0.13695924,1.1519317,2.6853977,-0.78917013,0.27744493,-0.16300426,0.72615125,-1.6074169,1.1069809,0.92235824,1.5685354,-0.12205975,0.29246359,-0.067906079,0.55806277,-1.0318668,0.20775357,0.14538721,1.2119808,-1.43052,0.037353972,0.15629734,0.66363537,-1.1673305,-1.6153492,7.6691689,0.029157281,-0.051123339,-0.14037144,0.016635209,-0.13086977,-0.10286812,-0.18159197,0.080077303,-0.15007291,-0.060866843,-0.12169539,-0.074265862,-0.11014555,-0.11448575,-0.13301585,0.042272257,-0.18194707,-0.046872261,-0.1396341,0.057297615,-0.23421292,-0.059881344,-0.10315387,0.012006923,-0.16345443,-0.16335835,-0.10555124,0.017277463,-0.30995589,-0.038964223,-0.11244479,0.039357411,-0.17847765,-0.099813623,-0.085445616,0.023570574,-0.24817789,-0.076824886,-0.11222898,0.06245905,-0.31351007,-0.18290257,-0.13777322,-0.06958975,-0.22408165,-0.12593157,-0.18750904,-0.063199702,-0.3894467,-0.060755102,-0.11015276,0.062738492,-0.38959738,-0.022909997,-0.10803539,0.039829011,-0.33573918,-0.11905739,-0.12902555,0.04145057,-0.38090644,-0.167213,-0.14048477,-0.026478823,-0.43792243,0.25776819,0.24969294,0.24468731,0.25646775
-19636.568,0.86780536,0.0036722848,7,226,1,19699.429,-0.136373,0.16932907,-0.13463751,-0.021879223,-0.23641446,-0.052828417,0.083256756,0.016307326,-0.032275614,-0.33617205,-0.19033569,-0.12922906,-0.3180322,-0.072985573,-0.16967754,-0.17175737,0.066958324,0.83227128,0.088974981,0.1705804,0.41610234,0.077098471,0.4811518,0.13310578,0.14936039,0.28087201,0.052632952,0.15428709,0.2493841,0.22866593,0.19817719,0.1860118,1.2804543,0.6345893,2.2874879,0.47034976,-0.326167,-0.34312158,-0.16833669,-0.38860497,0.78670867,0.1934648,1.0390429,0.28644761,-0.6616233,-0.50844599,0.53708704,-0.85693996,0.57452178,0.2896447,0.77666977,-0.01880605,-0.081605277,-1.0136803,0.8347386,-1.6422195,-0.42458935,-0.40845136,-0.1450779,-0.86432125,-0.49726785,-1.1533686,0.38359665,-1.7453808,-0.25582418,-0.23767439,0.3901094,-1.4568853,0.96496059,0.7708798,1.3198388,-0.0085910287,0.32546957,1.213944,2.8892309,-0.92729973,0.32540458,-0.042991884,0.64906026,-1.6579592,1.1507092,0.73077456,1.8075697,-0.11886439,0.027794207,-0.19895007,0.4141984,-1.0302683,0.42500094,0.17657145,1.1701994,-1.5881749,0.12258061,0.1700482,0.79092958,-1.2400973,-1.2477507,6.1232757,0.026386713,-0.050635929,-0.093881968,0.01679335,-0.10487917,-0.10213036,-0.11624116,0.029227281,-0.15409569,-0.064640122,-0.11742398,-0.042188687,-0.10915084,-0.13473919,-0.10861014,0.069737299,-0.16805639,0.002645397,-0.11589262,0.086759651,-0.2442397,-0.059120059,-0.13098162,0.011528653,-0.17944103,-0.12103517,-0.11327035,0.013452264,-0.33261296,-0.049881899,-0.1372127,0.067366258,-0.21601294,-0.070485613,-0.067774753,0.025991277,-0.24987656,-0.065141624,-0.11965349,0.034533728,-0.33858502,-0.17320526,-0.12644223,-0.038266936,-0.23914221,-0.079023335,-0.13586215,-0.029087442,-0.38503075,-0.031063609,-0.13578864,0.13274696,-0.34767509,-0.066629985,-0.11847868,0.021727487,-0.30857283,-0.085452047,-0.13468511,0.062229285,-0.48441759,-0.14895593,-0.1401264,-0.024635133,-0.4024301,0.25902058,0.25465712,0.2462065,0.26185536
