# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 11:23:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353551b4e962.json
# init = 2 (Default)
# random
#   seed = 743451110
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141223-1-44201e.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141223-1-3066ee.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00112093
# Diagonal elements of inverse mass matrix:
# 0.00701049, 0.00478033, 0.00494998, 0.00825613, 0.02853, 0.00605478, 0.0169616, 0.0100675, 0.0117559, 0.0112234, 0.00649868, 0.0329655, 0.0346819, 0.0120019, 0.0551747, 0.0269953, 0.407962, 0.2267, 0.960803, 0.297834, 0.299617, 0.329308, 0.348306, 0.415875, 0.422746, 0.216694, 0.411633, 0.372212, 0.344984, 0.311434, 0.319527, 0.317139, 0.183769, 0.326716, 0.51779, 0.313319, 0.338814, 0.265179, 0.188166, 0.258366, 0.287075, 0.332849, 0.194968, 0.388801, 0.201191, 0.233854, 0.231413, 0.176163, 0.39421, 0.377196, 0.708915, 0.311556, 0.265227, 0.252862, 0.210101, 0.21443, 0.236025, 0.28641, 0.194752, 0.34468, 0.166738, 0.193228, 0.219677, 0.174257, 0.284093, 0.327863, 0.954517, 0.786623, 0.514402, 0.436864, 0.400656, 0.452046, 0.389982, 0.499242, 0.355827, 0.51025, 0.352426, 0.369338, 0.327912, 0.301593, 0.217753, 0.461639, 0.454028, 0.329574, 0.361438, 0.353441, 0.434912, 0.307078, 0.604333, 0.372862, 0.45963, 0.487668, 0.356273, 0.634891, 0.428513, 0.317466, 41.3997, 657.687, 1.73134
-19627.69,0.94435647,0.0011209317,10,1023,0,19675.842,0.0068181234,-0.13749066,-0.12871176,0.089556315,-0.1594571,-0.07756896,-0.073072855,-0.059673327,0.050695387,-0.11750244,-0.14801359,-0.21449021,0.021334563,-0.04427451,0.040445659,-0.19171277,0.19953638,0.15322074,0.061065338,0.47785073,0.22109321,0.057212648,0.15275769,0.13428024,0.18792327,0.23124046,0.10655643,0.20610326,0.39087779,0.21381078,0.43849394,0.16937902,-0.50873917,-0.96651088,0.058960963,-0.49095544,0.21725436,0.065435333,1.2700693,-0.15341045,-0.14105419,0.31640169,1.8846977,-0.11442671,-0.42650285,-0.43435569,-0.13856205,-0.60755133,0.66246921,0.15547292,1.0867677,-0.31069387,-0.63836902,-0.16686078,1.3692554,-1.1824979,-0.19108634,-0.45791543,0.77392871,-1.5316917,0.15687688,-0.41996322,0.62580705,-0.99287246,-0.48534213,-0.61281582,-0.24709854,-1.6056797,0.14634643,0.090384508,0.44293394,-0.94209862,-0.061208098,0.085671564,1.3065864,-1.002215,0.38984746,0.40071617,0.96078956,-0.78778919,-0.10696894,-0.27739697,0.22079659,-0.94140352,-0.092684891,-0.51931544,0.15006153,-1.2103529,-0.33055345,-0.34546289,-0.069341589,-1.0280592,0.36880966,0.2011934,0.66491926,-1.0954263,2.6523639,-9.329035,0.025973442,-0.094693849,-0.18603596,0.018582981,-0.091145349,-0.10420279,-0.12746461,0.057110299,-0.16099633,-0.13732528,-0.10939059,-0.013622061,-0.13569927,-0.11424838,-0.11800087,0.023344339,-0.20076253,-0.012989657,-0.1250831,0.08081986,-0.22814941,-0.11409174,-0.087115507,0.00076976825,-0.14522279,-0.10226276,-0.14302296,0.045150706,-0.30705054,-0.038607861,-0.11606609,0.024360195,-0.19299648,-0.040511693,-0.064466965,0.0042598213,-0.25104919,-0.083661223,-0.096601883,-0.015078189,-0.33535376,-0.15453571,-0.13888474,-0.0087884009,-0.25480605,-0.13414137,-0.1319013,-0.016468344,-0.37685613,-0.020477221,-0.087093752,0.10763905,-0.34663916,-0.064091539,-0.15530975,-0.012189738,-0.303061,-0.10450002,-0.11103772,0.010039793,-0.41035209,-0.12924415,-0.15763483,-0.079089401,-0.37725501,0.25064423,0.25038849,0.25811645,0.24695864
-19630.687,0.99985289,0.0011209317,10,1023,0,19670.826,-0.046872453,-0.11382987,-0.10485283,0.026706351,-0.16017101,-0.096420613,-0.070077261,-0.018831802,0.10009887,-0.1705211,-0.15291355,-0.22630492,0.090246471,-0.0059495216,-0.0069827381,-0.21305585,0.10829932,0.18548648,0.030928348,0.60832793,0.20430783,0.052400436,0.13345967,0.25715477,0.17586513,0.15475787,0.064432597,0.13970397,0.38354915,0.20318058,0.44823395,0.18296315,-0.24136262,-0.95445552,0.64682379,-0.70200198,0.14691311,0.061270726,1.0273091,-0.15074683,-0.087686183,-1.2198697,1.3974714,-0.58129061,-0.21194496,-0.23618061,-0.013895604,-0.32409863,0.85775618,0.21373198,1.145541,-0.27305216,-0.5748839,0.052793662,1.5186126,-1.0274558,-0.72307576,-0.13304207,0.59460868,-1.9467264,-0.29582001,-0.38431054,0.25269755,-0.69097819,-0.84888631,-0.93254363,-0.37623997,-1.8246111,0.78214533,0.3075525,1.5675475,-0.67643651,-0.34925627,-0.072786308,1.867967,-1.1055806,0.88024489,0.56902875,1.2840452,-1.1812515,-0.37270574,-0.52177121,-0.019374649,-1.1059724,-0.33094664,-0.61730321,0.20191349,-1.5367659,-0.14410247,-0.31785498,0.11331221,-0.93832718,0.21142882,0.32871006,0.99214205,-0.83201638,4.314049,-15.596638,0.049741195,-0.073011861,-0.15023934,0.023178126,-0.12289879,-0.086579476,-0.10246498,0.076722082,-0.14179137,-0.10756482,-0.14258139,-0.061631347,-0.12283119,-0.10222569,-0.11696891,0.018253267,-0.1704519,0.015075288,-0.1165039,0.073871988,-0.21595771,-0.12654478,-0.093654203,-0.016844651,-0.15025975,-0.16657871,-0.08783301,0.0092790154,-0.32988672,-0.094903329,-0.11765909,0.046150577,-0.19652014,-0.049190633,-0.063903039,0.033931378,-0.2207866,-0.049477953,-0.12292493,0.072069214,-0.27520498,-0.17541703,-0.15760336,-0.032555583,-0.22414898,-0.10333121,-0.14680934,-0.046918706,-0.39133045,-0.052704499,-0.10987844,0.082815341,-0.33394832,-0.073191453,-0.13137355,0.035075378,-0.31819051,-0.07157436,-0.14945613,0.043807641,-0.42757284,-0.17437217,-0.15291402,-0.031530414,-0.36528419,0.25259169,0.25330568,0.26303682,0.25110575
-19632.977,0.96977689,0.0011209317,10,1023,0,19684.544,-0.031636545,-0.14037616,-0.075412303,0.099543859,-0.16088158,-0.066051337,-0.093605031,0.052641757,0.050839929,-0.16996024,-0.13205022,-0.22905073,0.043745954,-0.0024315916,0.050099701,-0.18585745,0.17169578,0.16591764,0.034641425,0.36148063,0.17884078,0.076450646,0.14915152,0.32172579,0.15232789,0.21811206,0.079100116,0.15832431,0.26033294,0.2292803,0.63953716,0.16514941,-0.17231667,-0.93415408,0.62322466,-0.476869,0.37347971,-0.14430884,1.1828529,0.066486983,-0.18170286,-1.4734675,2.1027296,-1.4242313,-0.45396182,-0.57704057,-0.027588179,-0.77914643,0.98119097,0.21935959,1.3277051,-0.30185677,-0.30262656,-0.52986289,1.3801594,-1.1784631,-0.31870543,-0.4522928,0.67945734,-1.2479528,-0.32622276,-0.56139976,0.13386555,-0.75452587,-0.85749012,-0.94062669,-0.64419061,-1.8937069,0.58716797,0.31176666,1.0919717,-0.74958306,0.055511543,0.19866655,1.3351579,-1.4893728,0.58954606,0.59995508,1.259911,-1.1850191,-0.28187318,-0.72656524,0.12124605,-1.5007389,-0.23948115,-0.43700773,0.077121634,-1.2584144,-0.20932095,-0.26175332,-0.017374609,-0.70818794,0.2706436,0.27190201,0.76162148,-1.3426213,0.34678074,0.10509615,0.16528728,-0.061222589,-0.19202685,0.075368496,-0.11351294,-0.07840929,-0.16431954,0.055879993,-0.1293448,-0.081706749,-0.12645532,-0.0025707543,-0.12474971,-0.064554545,-0.10904513,0.089571267,-0.18210248,0.014595385,-0.12165114,0.076566238,-0.21486588,-0.089187333,-0.1065597,0.039462738,-0.1561456,-0.14114043,-0.16106519,0.0077370653,-0.27973909,-0.052312519,-0.12797502,0.095709756,-0.19010867,-0.07977973,-0.092443748,-0.047288266,-0.23762444,-0.041891821,-0.10196017,0.068211971,-0.33345334,-0.12765925,-0.11633567,-0.026439075,-0.24985978,-0.13571126,-0.13406326,-0.029576187,-0.41666807,-0.029634919,-0.14540291,0.075310295,-0.34694581,-0.057339902,-0.10262886,0.01525088,-0.29096122,-0.083768825,-0.11730127,0.038987993,-0.4028128,-0.14116082,-0.140953,-0.060076114,-0.40759057,0.24872119,0.24456072,0.2476681,0.25392809
-19630.577,0.99870575,0.0011209317,10,1023,0,19674.355,-0.06083847,-0.14774313,-0.083163006,0.10086143,-0.18557266,-0.066121813,-0.052856703,0.079499813,0.11126123,-0.16201968,-0.17243968,-0.20399229,0.091190404,-0.0083542982,-0.024031829,-0.16692642,0.10595967,0.14081947,0.032699269,0.37679272,0.2054481,0.074377173,0.23628663,0.303457,0.17690991,0.18733255,0.10626693,0.12386928,0.28717385,0.20438139,0.55926457,0.15775363,-0.065878212,-0.99919296,0.59349766,-0.47560421,0.51288822,0.22941358,1.4192991,-0.0022620072,-0.22772254,-1.1618186,1.3265656,-1.0612336,-0.5725733,-0.52463778,-0.14238472,-0.76482736,0.91158515,0.37399831,1.5019313,-0.14620696,-0.26927297,-0.59967266,0.57154012,-0.89165215,-0.37073573,-0.1617056,0.18907532,-1.1945461,-0.46362311,-0.62980404,-0.3210536,-1.0585263,-0.87997151,-1.1417373,-0.3378239,-1.9810952,0.57916943,0.15657044,1.2188666,-0.75658438,0.24532371,-0.14725487,1.5152814,-0.56692619,0.71171466,0.40473809,1.3340971,-1.3643253,-0.58796648,-0.62945942,0.0017205483,-1.5580534,-0.30999649,-0.60463345,0.16746827,-1.4984523,-0.13452724,-0.17800052,0.14023438,-0.74582261,0.22145858,0.24069083,0.52614577,-1.5001233,2.0691199,-6.8898996,0.056189996,-0.067818903,-0.16671262,0.0020483447,-0.11123333,-0.075518484,-0.11543723,0.052121809,-0.14806167,-0.090609366,-0.12115362,-0.03978528,-0.11786457,-0.11488003,-0.096818272,0.047211901,-0.18731996,0.0017107823,-0.10873541,0.12299628,-0.2156106,-0.086149575,-0.11072377,-0.023612275,-0.13244038,-0.1404566,-0.091065574,-0.0081807319,-0.33511197,-0.061189864,-0.11161863,-0.01792615,-0.24171742,-0.044414455,-0.090723419,0.051496832,-0.23921415,-0.053522397,-0.13268894,0.066313704,-0.30375256,-0.14636988,-0.188088,-0.011415368,-0.23268518,-0.1158327,-0.15385767,-0.038738634,-0.37299029,-0.077658194,-0.089573882,0.091684501,-0.3562418,-0.071711812,-0.13193012,0.025873099,-0.31461006,-0.09926815,-0.12358121,0.054396292,-0.44114399,-0.13199053,-0.12895657,-0.083925017,-0.40357633,0.25261727,0.25166508,0.25817616,0.24908082
-19637.624,0.96670973,0.0011209317,9,891,1,19691.926,-0.057854655,-0.2084938,-0.10972927,0.11188259,-0.17188578,-0.093776187,-0.040180615,0.12639119,0.052448196,-0.16090601,-0.13637967,-0.23386899,0.11431261,0.013040341,-0.08940627,-0.1442044,0.14593142,0.16929115,0.022224793,0.35050348,0.17698969,0.09081389,0.24444143,0.29539306,0.14764271,0.20242894,0.093045174,0.14506592,0.31026854,0.23122486,0.40849663,0.16315746,0.041514176,-0.80845666,0.76508846,-0.16543834,0.85372961,0.21770965,1.5428491,0.37611125,-0.69305104,-0.99941286,1.2282645,-0.49694791,-0.57537535,-0.67819628,-0.15514187,-0.83267294,1.12534,0.22680143,1.6244663,-0.10370733,-0.1307313,-0.56159417,0.49843379,-0.66317757,-0.37882811,-0.35545672,0.456772,-1.0782754,-0.70119065,-0.93779018,-0.1457159,-1.0865263,-1.0141674,-0.91923264,-0.13571035,-1.9646766,0.38335068,0.18467193,1.1335201,-0.59794222,-0.0078113406,-0.14168381,1.287434,-1.0321309,0.7375537,0.53712435,1.6879169,-1.1138792,-0.32318032,-0.84325817,0.00062840879,-1.4072073,-0.28764683,-0.56933666,0.16583462,-1.5263961,-0.014305745,-0.042432062,0.3635233,-0.86363865,-0.17434051,-0.018967576,0.88833812,-1.498698,1.7906898,-5.7518612,0.10505901,-0.051796432,-0.17583388,0.053795792,-0.081997306,-0.06396493,-0.17163748,0.052696906,-0.14482149,-0.12513218,-0.13194101,-0.082431345,-0.12077383,-0.089788473,-0.12582757,0.057504822,-0.17997217,0.027287797,-0.13174426,0.115628,-0.19024091,-0.10564841,-0.14477674,-0.048511475,-0.15400192,-0.1327819,-0.12706896,0.071473386,-0.30375579,-0.080735664,-0.15062553,0.083347725,-0.19456113,-0.097286225,-0.083269803,0.032411552,-0.23762198,-0.083304737,-0.12352306,0.068551255,-0.28194682,-0.13710647,-0.14956266,-0.016590146,-0.23241447,-0.12687508,-0.15595055,0.010990236,-0.3954549,0.01403992,-0.14732387,0.11450758,-0.32229956,-0.053470757,-0.11860445,0.051385428,-0.33990037,-0.095250118,-0.10673962,0.059091774,-0.44219975,-0.17264935,-0.1472991,0.00073459669,-0.38872816,0.25342612,0.24570553,0.25577648,0.24868439
-19644.153,0.99120349,0.0011209317,10,1023,0,19696.737,-0.11325671,-0.2224705,-0.090556824,0.092802624,-0.21684497,-0.068982643,-0.034761395,0.075999176,0.096246463,-0.15857777,-0.12225491,-0.28684929,0.072211347,-0.0045809514,-0.093662372,-0.14561824,0.12098805,0.15724427,0.038674713,0.30181172,0.14511453,0.11266432,0.26441852,0.2426692,0.20251651,0.20163121,0.12456093,0.1421245,0.32462432,0.1607218,0.47359628,0.1280219,0.23015631,-0.33185295,1.2878651,0.0038460623,0.66946263,0.55624611,1.612393,0.25306658,-0.04921254,-0.92896235,1.6860877,-0.010570113,-0.71788231,-0.73811101,-0.11322568,-0.94476476,1.4797714,0.58828043,1.7659169,-0.32558735,-0.50770278,-0.54029621,0.93632496,-0.6798619,-0.30508736,-0.15422626,0.18313973,-1.1524595,-0.4265674,-0.60877556,-0.34691606,-1.0306511,-0.86014785,-0.92679856,-0.54445497,-1.7387331,0.59791773,0.18250554,0.93053198,-0.88991057,-0.12611021,-0.2277265,0.71646717,-0.79567073,1.1333002,1.010708,1.6055873,-0.66020968,-0.45864185,-0.49959135,0.091707756,-1.5013244,-0.2901371,-0.61135525,0.059206115,-1.9923913,0.046431416,-0.024776458,0.30343068,-0.74931305,-0.31496677,-0.1475806,0.88004943,-1.8120036,-0.8718747,5.1787004,0.082075056,-0.085410543,-0.15340695,0.042559586,-0.11279138,-0.11720134,-0.13500399,0.031069068,-0.18267723,-0.092460105,-0.12648418,-0.025347867,-0.090965621,-0.12386267,-0.12996793,0.058629786,-0.19233845,-0.0021086338,-0.13147692,0.039415239,-0.26409242,-0.12618263,-0.12985475,0.036507769,-0.14557882,-0.11543214,-0.075541674,0.013664142,-0.33949304,-0.027515594,-0.071731902,-0.0081866671,-0.1741081,-0.077947677,-0.091445547,-0.014014657,-0.2558757,-0.038018893,-0.12177895,0.02904652,-0.33801151,-0.13796331,-0.15062073,-0.033011091,-0.22136439,-0.12577957,-0.14320292,-0.058655987,-0.38068126,-0.076674951,-0.089968155,0.10198192,-0.41515505,-0.051212307,-0.10283907,0.0049347619,-0.32480166,-0.071672626,-0.10539641,0.050041272,-0.44853425,-0.18594089,-0.16451179,-0.03295264,-0.37759439,0.24895927,0.25050247,0.24722158,0.24386876
