# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 11:23:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353551b4e962.json
# init = 2 (Default)
# random
#   seed = 743451110
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141223-3-44201e.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141223-3-3066ee.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00164167
# Diagonal elements of inverse mass matrix:
# 0.00425903, 0.00593575, 0.00531146, 0.017629, 0.0281841, 0.0372374, 0.0226313, 0.00521162, 0.00849458, 0.0259545, 0.00974279, 0.021322, 0.0324205, 0.0531347, 0.0556648, 0.239062, 0.295992, 0.224479, 0.82711, 0.314522, 0.33656, 0.521898, 0.322174, 0.226039, 0.219611, 0.293997, 0.41226, 0.344209, 0.246846, 0.509484, 0.287543, 0.689864, 0.231132, 0.240441, 0.351193, 0.232143, 0.365026, 0.327124, 0.264059, 0.224875, 0.293162, 0.25354, 0.232163, 0.222771, 0.269734, 0.271021, 0.234091, 0.35438, 0.250551, 0.29876, 0.411703, 0.242935, 0.293096, 0.3237, 0.257883, 0.200625, 0.266178, 0.252764, 0.219248, 0.214215, 0.256901, 0.280258, 0.230678, 0.348866, 0.416149, 0.340984, 0.666189, 0.347149, 0.508527, 0.587825, 0.442502, 0.393891, 0.400426, 0.359268, 0.50901, 0.303401, 0.368139, 0.346502, 0.331215, 0.51276, 0.180255, 0.332181, 0.376727, 0.334932, 0.373726, 0.381098, 0.405775, 0.304409, 0.392573, 0.479815, 0.389449, 0.489555, 0.400081, 0.729744, 0.451049, 0.726493, 21.942, 349.969, 0.950141
-19633.32,0.94078746,0.0016416656,10,1023,0,19694.222,0.081043544,-0.023156772,-0.084776926,-0.1362207,-0.10893896,-0.086329028,-0.070984762,-0.044229576,-0.11710392,-0.16657173,-0.0021655946,-0.21363393,-0.06694187,-0.26761006,-0.33098548,-0.16750196,0.48299857,0.24941814,0.05756322,0.19603953,0.29293316,0.029416045,0.33590026,0.29509582,0.076076969,0.42214412,0.13373462,0.12336162,0.5994285,0.4242932,0.43504172,0.15996082,-0.26436577,-0.42908843,-0.013971768,-0.40180088,-0.27289558,-0.42510727,0.4128501,-0.53625272,-0.78704241,-0.41876716,1.9939954,-1.1928383,0.31041126,-0.057589209,0.91247725,-0.35624737,0.33779831,-0.011599418,0.60644886,-0.42624271,-1.3168721,-0.92090462,2.475055,-2.1344225,-0.31907894,-0.17203795,0.40265781,-0.83233278,-0.18517794,-0.22430533,0.37471574,-0.55453039,1.1879261,0.14362934,1.6110658,-1.4177585,0.31615912,0.075494896,0.54324562,-0.32890203,-1.3268095,-1.2890138,-0.1697093,-1.7687328,0.50287963,0.27818333,1.3600243,-1.212051,0.064962033,-0.082809997,0.22132629,-0.48238885,0.54681547,0.45015717,0.76963614,-0.12711548,0.55024851,0.51487708,0.82451415,-0.28334048,0.35746354,0.10037896,0.86210781,-1.3140012,2.5144495,-8.7508863,0.017156837,-0.046644743,-0.12620555,0.0742952,-0.1130257,-0.091221881,-0.12918624,0.079815534,-0.15690793,-0.13008162,-0.10888251,0.03000387,-0.15344054,-0.075367821,-0.14751046,0.042660908,-0.20605926,-0.0099866322,-0.11233681,0.068710022,-0.23379958,-0.1250662,-0.1134184,-0.013522699,-0.1491153,-0.17816346,-0.12877235,0.0642681,-0.35056556,-0.098874811,-0.11042114,0.066347471,-0.20786918,-0.026730101,-0.10617703,0.005461083,-0.22496268,-0.03310702,-0.13470201,0.062756211,-0.30541579,-0.17960596,-0.17455137,-0.024861604,-0.23870641,-0.15159788,-0.17931678,-0.045859135,-0.3631545,-0.028001776,-0.11658054,0.065727415,-0.3560995,-0.035599978,-0.076611435,0.058941319,-0.3215443,-0.091604422,-0.10699247,0.027712572,-0.45425041,-0.1103218,-0.15144526,-0.029598482,-0.37769066,0.24824441,0.24995497,0.25847091,0.24970538
-19643.374,0.97599461,0.0016416656,10,1023,0,19690.739,-0.036539565,-0.074241189,-0.083601104,-0.16336139,-0.13275619,-0.098433994,-0.13345747,-0.06230312,-0.21859978,0.13017206,-0.043732023,-0.28102247,-0.059255569,-0.19283348,0.082801522,-0.30337123,0.25916853,0.4149481,0.024292057,0.20399455,0.26879881,0.036906948,0.2490477,0.15295227,0.10087752,0.50926906,0.096870701,0.21559292,0.24082358,0.18484761,0.5074227,0.3035472,-0.23851666,-0.42928126,0.41071618,-0.3075659,-0.024424869,-0.043232256,0.26741188,-0.19594381,0.63867496,-1.536015,-0.39932903,-0.54105957,0.28445639,0.10764471,0.95724775,-0.15391552,0.47100916,-0.022224396,0.84733926,-0.38430285,-0.016935246,-1.3920497,0.61169022,-0.71900975,-0.04005624,0.18827042,0.66850115,-0.78479004,-0.12682508,-0.33521289,0.82474718,-0.97164836,1.2980817,1.7322704,2.295915,-0.23579841,-0.4357479,-0.47939277,-0.20942692,-0.9173396,-1.0787932,-1.2801277,-0.0028057666,-2.0453307,0.85705846,0.60671723,0.96446118,-0.63364121,0.014202761,-0.22324887,0.42700309,-1.2252326,0.8260163,0.44656754,1.4397672,-0.77372381,-0.33963634,-0.41549249,0.039358459,-1.0468387,0.42178368,0.46109737,0.9847918,-0.35813246,1.1788425,-3.2386519,0.07928497,-0.098355579,-0.14779576,0.069905145,-0.11625097,-0.084376242,-0.092180331,0.036720862,-0.1555477,-0.068086376,-0.12091407,-0.093301627,-0.096744554,-0.10533383,-0.14140245,0.031911942,-0.19475931,-0.0061494914,-0.13873009,0.095007595,-0.23605634,-0.099059022,-0.1498103,-0.075858375,-0.12497045,-0.14343338,-0.086569151,0.033031207,-0.32890762,-0.081701304,-0.11357469,0.063843838,-0.21091895,-0.087652515,-0.043852634,0.013006436,-0.24238654,-0.091740865,-0.11396784,0.02351741,-0.33700061,-0.14823548,-0.16773889,-0.04400382,-0.24186464,-0.096246732,-0.15021853,-0.073091466,-0.41763103,-0.055835209,-0.11301916,0.043576843,-0.35432047,-0.040146344,-0.11028654,0.073304051,-0.33585448,-0.089537669,-0.1280288,0.1027729,-0.4483882,-0.17533998,-0.16340641,-0.0044404352,-0.41208134,0.25311311,0.2602898,0.25494139,0.24797431
-19656.134,0.99812503,0.0016416656,10,1023,0,19708.253,-0.028221771,-0.068127427,-0.080463239,-0.14708745,-0.23239994,-0.045495358,-0.16279144,-0.069147702,-0.16296535,0.20597075,-0.080563904,-0.2109827,-0.14770186,-0.23189519,0.07792251,-0.39463703,0.47013571,0.1497993,0.0098540271,0.16406917,0.31611943,0.073101543,0.18558025,0.16245651,0.068017135,0.42096311,0.08179382,0.14857038,0.18246178,0.14252889,0.32331281,0.22247298,-0.090417938,-0.3690721,0.096761456,-0.15054317,-0.13515506,-0.4647414,0.928221,-0.48550337,0.97945634,-0.13197628,0.030180716,-0.69624583,0.072938804,0.16250035,1.335153,-0.13006034,0.77043745,0.37195135,1.0160851,-0.081250981,-0.85343322,-0.065908919,0.91904351,-2.0129193,0.12656793,0.22625789,0.90333593,-0.97876257,0.22606449,-0.26081288,0.45104803,-0.72518595,1.8251345,0.81921184,1.8367475,-1.2872518,-0.68927861,-0.74201054,-0.40386385,-1.2535852,-0.70438823,-0.90474853,0.73917131,-1.9854113,0.11679968,0.46083269,1.182582,-1.128689,0.59165593,0.07777819,1.2832515,-1.3889762,1.3914955,0.74693566,1.7988494,-0.83518138,-0.52619096,-0.58944712,-0.21025326,-1.6562354,1.1639256,0.95947819,1.6348887,-0.13564024,4.4498806,-16.273294,0.13245317,-0.070730472,-0.20173575,0.017269245,-0.09899749,-0.088373561,-0.13774536,0.070919432,-0.14085549,-0.070811649,-0.081763737,-0.080165837,-0.087324064,-0.13512044,-0.12042615,0.071969993,-0.16842634,0.011150312,-0.11481889,0.088804294,-0.25808495,-0.10788264,-0.050313402,0.021688141,-0.19264286,-0.13930293,-0.12080245,0.0048498639,-0.34443044,-0.032422055,-0.11151845,0.004127986,-0.18695888,-0.038824927,-0.10724491,-0.038035042,-0.25052052,-0.08419012,-0.10638832,0.035958963,-0.32174238,-0.13817851,-0.15456674,-0.020104259,-0.24295828,-0.19362973,-0.14251661,-0.035286047,-0.37867245,-0.039747272,-0.13351032,0.086442488,-0.40113692,-0.033566883,-0.12543528,0.024492816,-0.35093267,-0.092201768,-0.11265329,0.009944937,-0.4575596,-0.13569503,-0.18117906,-0.030918475,-0.42481332,0.25298468,0.24710565,0.25635927,0.25220154
-19650.27,0.9945882,0.0016416656,10,1023,0,19709.128,0.017211307,-0.093982743,-0.075991048,-0.13141212,-0.13326051,-0.10703042,-0.21373694,-0.077074555,-0.1783325,0.3903757,-0.056710298,-0.17364616,-0.08093621,-0.28055089,-0.03564936,-0.33232646,0.46189546,0.10374728,0.020216136,0.13025026,0.39698715,0.012827057,0.1813316,0.17020863,0.093816495,0.62609257,0.10063517,0.11589697,0.19511143,0.20814216,0.36418753,0.28272593,-0.11969305,-0.32712204,0.11052556,-0.29518396,-0.062337741,-0.35556191,1.2646183,-0.58407293,0.2786792,-0.029358902,0.12658459,-0.69807863,0.3309188,0.12221737,1.2104813,-0.41910334,0.26336453,0.074336808,0.51031641,-0.24052481,-0.82811966,-0.86925572,0.65054547,-1.8201274,0.30613365,0.49759056,1.4797297,-0.60916254,0.072270901,-0.12885789,0.84478998,-0.61257448,0.78639174,1.3208572,1.9042485,-0.60707553,-0.72151695,-0.80724842,-0.57693878,-1.167164,-0.75169496,-1.0977277,0.35282459,-1.8805791,0.72486755,0.4676452,1.2931695,-1.8467808,0.25441125,-0.3211098,1.0312493,-1.5303351,1.1832596,0.71109451,1.595811,-0.090678079,-0.15331692,-0.24701711,0.071240045,-1.0191138,0.66335011,0.48877951,1.0164399,-0.15192175,2.684571,-9.0673318,0.12906312,-0.038074369,-0.13388488,0.068262561,-0.11913283,-0.10045011,-0.13087132,0.037217964,-0.15457872,-0.070357231,-0.076584571,-0.073431996,-0.090103501,-0.088309862,-0.11549328,0.026253388,-0.18600044,-0.028708176,-0.10374975,0.069328549,-0.22874577,-0.11765276,-0.11818041,-0.098685835,-0.1303773,-0.15822524,-0.12350805,0.054584812,-0.32419736,-0.064773424,-0.099007281,0.06671599,-0.18134002,-0.10455598,-0.054414312,0.00031742069,-0.2352862,-0.061360705,-0.11503654,0.029158611,-0.340377,-0.13235725,-0.16718031,-0.021203736,-0.24596269,-0.089636204,-0.1194475,-0.023771734,-0.38768245,-0.031297667,-0.1435884,0.12027232,-0.37952209,-0.034264694,-0.13254215,0.051604648,-0.29942482,-0.091485468,-0.12560991,-0.0097046242,-0.40679788,-0.14478018,-0.19413582,-0.044952553,-0.37527868,0.24633449,0.24843118,0.2568348,0.24816081
-19654.962,0.99124689,0.0016416656,10,1023,0,19692.766,-0.031864586,-0.078671477,-0.083497226,-0.14717154,-0.056533212,-0.11564012,-0.21537087,-0.070755578,-0.17068375,0.28106664,-0.038428073,-0.20626266,-0.035327141,-0.33595236,-0.072932413,-0.16190327,0.41279431,0.090126529,0.014118732,0.15701947,0.25376307,0.0081242514,0.14152224,0.1253986,0.09047321,0.72776813,0.15845916,0.16507871,0.20653697,0.19607811,0.28810437,0.16789907,-0.09996644,-0.21272809,0.25664767,-0.16503091,-0.13015485,-0.703026,1.5946473,-0.74575953,-0.38799049,-0.1457692,0.044164842,-0.52798034,0.27151439,0.23027103,1.5899728,-0.18621617,0.25520959,-0.3918439,0.41016078,-0.65799557,-0.43385221,-0.83224985,1.46387,-0.98085195,0.69267107,0.8335424,1.6306254,-0.93654977,0.040167194,-0.47859282,0.33278771,-0.90744108,1.6533693,0.51638625,1.6311345,-0.99912982,-0.46677092,-0.56095327,-0.27293754,-0.81247646,-0.71814282,-0.65318625,-0.11229376,-1.1692367,0.65759705,0.52672702,1.4075911,-1.0894388,-0.14106048,-0.43559396,0.63141849,-1.4646168,1.4873877,0.94832716,1.9074253,0.11971693,-0.10735341,-0.21546299,0.32396039,-1.2271628,0.18731844,-0.01039452,0.88078123,-1.146009,1.7944784,-5.7152103,0.043064739,-0.073130164,-0.11967753,0.074078113,-0.099988409,-0.090401882,-0.14203277,0.065048551,-0.14588419,-0.08897516,-0.085555302,-0.082873674,-0.090951639,-0.1045385,-0.11101451,0.10248515,-0.17641111,0.0082295571,-0.15596872,0.047550448,-0.22350819,-0.11916484,-0.12240153,-0.10374727,-0.12360881,-0.11734251,-0.097406085,0.015398888,-0.34791349,-0.065718668,-0.13077045,-0.029024464,-0.18454742,-0.021098122,-0.12396463,-0.023109782,-0.26107824,-0.058634358,-0.12717728,0.082431395,-0.31022783,-0.15222438,-0.14193142,-0.056222048,-0.22370434,-0.097707387,-0.11931124,0.026100667,-0.38610581,-0.064461346,-0.1252934,0.095084122,-0.33782466,-0.044308199,-0.15000616,0.038051976,-0.31247849,-0.1038614,-0.13500824,0.020401991,-0.42648339,-0.13045268,-0.1636485,-0.014020918,-0.35431711,0.25157034,0.24546283,0.25694404,0.24755999
-19661.928,0.99304183,0.0016416656,10,1023,0,19700.537,-0.040052959,-0.05759211,-0.12069985,-0.16617814,-0.069784199,-0.11945359,-0.20284435,-0.026890434,-0.17039268,0.26176105,-0.019845303,-0.19522644,-0.014073407,-0.290471,-0.052304131,-0.17350611,0.48806292,0.10602542,0.02111802,0.16005312,0.19422502,0.0065742211,0.13261709,0.1226108,0.085343988,0.79779494,0.16105124,0.14835412,0.22727029,0.1385779,0.25224845,0.18826615,-0.066245427,-0.23093689,0.21212072,-0.13584711,-0.17179936,-0.83520686,1.4267273,-0.802774,0.083727705,0.0086878205,-0.031725096,-0.54237231,0.31008159,0.51639977,1.2216775,-0.0010665545,0.27989103,-0.13130458,0.83866635,-0.69803773,-0.087386327,-1.1799834,1.4904092,-1.5684771,0.75300109,0.48533416,1.7705812,-0.78828592,-0.31535136,-0.28276382,0.24796346,-1.5798347,1.517529,0.24668824,1.6461195,-0.56536186,-0.40619149,-0.46856099,-0.30939594,-0.74095633,-0.56004084,-0.7279414,0.051526203,-1.3828942,0.40236224,0.58550028,1.3067224,-1.0132224,0.079985287,-0.45533187,0.52182943,-1.6584933,1.6158403,1.4130944,2.2818144,-0.033963097,-0.16990533,-0.29909432,0.40513418,-1.3789538,0.038762481,0.12084198,0.51738821,-1.1291974,1.216218,-3.5899968,0.034273062,-0.072384895,-0.15276469,0.063475301,-0.1063549,-0.075807209,-0.14614527,0.09367725,-0.14270656,-0.11893168,-0.12051638,-0.12136982,-0.13215367,-0.11654861,-0.083526741,0.029355162,-0.16634884,-0.015422358,-0.095286833,0.093105788,-0.20536059,-0.12002809,-0.12721106,-0.10965531,-0.1297651,-0.10298354,-0.13848075,0.031964976,-0.30738454,-0.065555917,-0.061560332,0.0035125647,-0.22059523,-0.040880701,-0.14933932,-0.029906274,-0.21864291,-0.062296473,-0.11205454,0.014926528,-0.32937017,-0.11004058,-0.13708117,-0.011546944,-0.24256213,-0.13553434,-0.10836506,-0.0013687869,-0.34554215,0.0041048732,-0.11755681,0.10452292,-0.39099967,-0.066551237,-0.094647344,0.025738055,-0.29517754,-0.095162488,-0.12775021,0.049890338,-0.4001431,-0.16620844,-0.15075565,-0.076099421,-0.38609576,0.25508589,0.24527011,0.2685314,0.24834348
