# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 11:36:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-3535922f968.json
# init = 2 (Default)
# random
#   seed = 879416444
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141236-1-62a4db.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141236-1-6a56fd.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00294402
# Diagonal elements of inverse mass matrix:
# 0.0114297, 0.00907507, 0.00248491, 0.0142853, 0.031514, 0.00413476, 0.0615463, 0.0105193, 0.0323905, 0.0364228, 0.0165307, 0.0301258, 0.0358584, 0.0205552, 0.13089, 0.0223268, 0.43123, 0.339643, 0.977682, 0.325485, 0.338149, 0.346408, 0.423072, 0.330386, 0.469434, 0.409332, 0.400672, 0.337236, 0.30411, 0.282741, 0.433376, 0.339768, 0.28294, 0.30134, 0.504402, 0.275413, 0.341148, 0.308219, 0.312786, 0.299684, 0.28186, 0.246064, 0.314334, 0.260062, 0.291055, 0.261563, 0.297553, 0.250046, 0.387128, 0.327222, 0.46015, 0.289656, 0.328349, 0.326166, 0.292637, 0.293502, 0.28206, 0.232196, 0.285999, 0.251611, 0.273808, 0.241836, 0.283415, 0.239809, 0.518755, 0.492498, 0.68515, 0.455932, 0.460617, 0.546835, 0.429381, 0.428912, 0.380605, 0.383657, 0.480205, 0.351839, 0.43551, 0.33923, 0.400663, 0.380222, 0.304881, 0.362718, 0.517161, 0.371744, 0.458954, 0.407309, 0.572554, 0.434046, 0.569996, 0.498537, 0.46456, 0.518542, 0.485962, 0.441516, 0.514256, 0.491715, 16.9914, 275.534, 0.80264
-19626.821,0.99840611,0.0029440205,10,1023,0,19682.33,-0.086384282,-0.082454142,-0.11382601,-0.28414356,-0.14354487,-0.12394932,-0.10017456,-0.20222912,-0.29608725,0.032247187,-0.20694603,-0.015271285,0.010249628,-0.10495811,0.0024680908,-0.29341128,0.081767658,0.17725553,0.06189815,0.25053969,0.23514026,0.074096842,0.17126172,0.27193903,0.32373684,0.24651083,0.077763002,0.47166841,0.33803392,0.27342988,0.43367088,0.099231564,0.25039961,-0.9804156,1.8639999,-0.28380439,-0.0014352828,-0.20603288,0.82034266,-0.34369181,-0.41596709,-0.063109816,1.284566,-0.12106894,0.74743909,0.6370774,1.4875786,0.44786252,0.57862077,0.099820853,0.95382689,-0.43733302,0.63013781,-0.23660221,1.8055483,-0.44894555,0.086174593,-0.12183,0.92463675,-1.4578739,0.67007165,0.32687305,0.94067177,0.017014641,0.74719677,0.59260703,0.98701143,0.17017885,-0.44647643,-0.5039303,0.010708573,-1.3731658,0.9478539,0.21667418,1.9904049,-0.30618631,-0.24264405,-0.2902846,-0.098497676,-0.77866618,-0.10963035,-0.44259074,0.21942649,-1.1091725,0.14967556,0.070003785,0.59733058,-0.76379625,-0.27131611,-0.38246877,0.06845137,-0.9329907,1.0288592,1.235679,2.4019023,-1.2233015,1.3208267,-3.9914038,0.046558621,-0.065909693,-0.16655057,0.066030621,-0.1095903,-0.082708553,-0.11897461,0.062956128,-0.14337541,-0.13957361,-0.11773239,-0.034313755,-0.12131996,-0.096880402,-0.12453039,0.088553923,-0.17193622,-0.0074878301,-0.12007297,0.080738236,-0.24637947,-0.077258097,-0.1414808,0.0098361078,-0.15721477,-0.085416153,-0.12103938,0.058180314,-0.34985255,-0.020010486,-0.11333958,0.053576249,-0.19760218,-0.05419213,-0.10423853,0.02344471,-0.24099409,-0.07781409,-0.091977092,0.034886966,-0.30625307,-0.13323806,-0.19009679,-0.052166164,-0.23075599,-0.12971882,-0.15218936,-0.061729526,-0.38254352,-0.026809148,-0.13936105,0.084423225,-0.36468829,-0.064032336,-0.085816981,0.058369924,-0.31380283,-0.1151938,-0.16339748,0.032153457,-0.40214281,-0.19131598,-0.17079292,-0.055066761,-0.4148014,0.24596954,0.25331757,0.25794761,0.24341955
-19629.667,0.91013741,0.0029440205,10,1023,0,19662.62,-0.072666379,-0.069083577,-0.12830787,-0.3921196,-0.1696726,-0.10790503,-0.14387036,-0.19911215,-0.055802227,-0.024959399,-0.16612626,0.097538385,-0.025515234,-0.095455098,-0.19157332,-0.27427511,0.054424793,0.10822551,0.065485383,0.25850241,0.31678382,0.062417932,0.18587872,0.42617581,0.11184961,0.19354411,0.051886241,1.2287226,0.3373647,0.20937735,0.39943335,0.10136753,-0.12711657,-1.0409003,2.1059569,-0.18310469,-0.082267468,-0.67988631,1.2371193,-0.67166468,0.71458326,0.047683504,1.5913055,-0.16718439,1.034983,1.1085924,1.8276208,0.86994861,0.50930971,0.1061876,0.85674495,-0.2120896,-0.085224195,0.43295125,1.8171398,-1.0089835,-0.088607549,0.059339846,0.99053962,-0.95499159,0.35262047,0.13507638,0.51387903,0.039830825,-0.097657735,-0.42392763,0.66918299,-1.6102535,-0.31156863,-0.49050992,0.31222752,-1.4654132,0.30400307,0.58592419,2.353108,-1.2566954,-0.17947835,-0.17903581,-0.072416068,-0.4123411,-0.047675721,-0.28820716,0.27466144,-1.0061006,0.24565612,-0.19023318,0.65308121,-1.0887404,0.18578687,0.17061784,0.5055623,-0.54130008,1.2199593,0.84054103,1.971425,-1.2881357,1.6475581,-5.3164087,0.069023535,-0.079584673,-0.12931716,0.04194989,-0.082631814,-0.077987015,-0.14266462,0.064804289,-0.14177483,-0.081513109,-0.12518529,-0.024100614,-0.139256,-0.12457398,-0.10554578,0.080324781,-0.16723579,-0.0083315273,-0.13603409,0.10173034,-0.23685916,-0.11322455,-0.080881111,0.0055170749,-0.1708837,-0.16034062,-0.13284035,0.040249881,-0.32138298,-0.048833833,-0.14154586,0.019890664,-0.18213721,-0.066725207,-0.10321837,0.019045628,-0.23590845,-0.085261672,-0.1198947,0.035470397,-0.30858149,-0.15035268,-0.13572486,-0.044032332,-0.23133146,-0.12299072,-0.12244695,0.008559128,-0.40911443,-0.04159934,-0.12274616,0.067145841,-0.36493805,-0.04402027,-0.13528562,0.041285317,-0.32341268,-0.11736385,-0.12342287,0.010365119,-0.40778663,-0.15061086,-0.18907155,-0.074436639,-0.40485024,0.24359824,0.25220414,0.25807295,0.2432834
-19629.576,0.99015391,0.0029440205,10,1023,0,19691.158,-0.070869924,-0.041798726,-0.086887714,-0.19478746,-0.16585705,-0.060605928,-0.13483835,-0.38150425,-0.03883424,0.14780515,-0.038817142,0.24531306,0.12296761,-0.048192628,0.017614322,-0.2222419,0.12523759,0.070487476,0.10593217,0.17352183,0.32376506,0.065674278,0.23463135,0.63507275,0.089790566,1.0100295,0.168111,0.9759682,0.39339326,0.20340533,0.17885499,0.11137081,0.3769695,-0.78319627,0.6864647,-0.065920492,-0.47881513,-1.0227693,1.625982,-1.4606728,-0.1427485,-0.25114126,0.67430361,-0.15994668,0.73054584,0.31606967,1.5191911,0.042877148,0.5212212,0.091596025,0.7263008,-0.26655122,-0.42496642,-0.90359564,0.45642021,-1.5358546,0.071050305,0.06405436,0.60009429,-0.95790358,0.50404636,0.48863614,0.69220567,0.29554035,0.11914297,-0.27076727,0.63152963,-2.2225359,-0.21173544,-0.27553982,-0.1272584,-0.46504942,-0.33021496,-1.0454408,0.20275815,-1.1788759,-0.39425074,-0.3866834,-0.29509328,-0.66519951,-0.44614318,-0.6154758,-0.059639884,-1.2143607,-0.13574222,-0.27879926,0.38488279,-1.2879773,-0.70791095,-0.79981904,-0.044292159,-2.2866846,0.57745398,0.86796103,1.4803486,-1.4920924,2.0309085,-6.8521396,0.038356792,-0.023659171,-0.16895554,0.015101262,-0.079125648,-0.075549195,-0.11389115,0.072812638,-0.14475786,-0.10200937,-0.11349165,-0.015457272,-0.10383121,-0.068021805,-0.13994247,0.068825358,-0.18734733,0.0028961656,-0.13620146,0.069293775,-0.25215703,-0.088515291,-0.11994892,-0.030630861,-0.16147207,-0.11816772,-0.11980919,0.0059625886,-0.35959256,-0.061398139,-0.071184749,0.058096707,-0.19381463,-0.028136326,-0.063146587,0.017871163,-0.238397,-0.066053899,-0.1304982,0.019270405,-0.32190849,-0.094329908,-0.21456723,-0.0047312662,-0.23699915,-0.13946312,-0.13207764,-0.042688598,-0.4039005,-0.052542109,-0.11915642,0.099505684,-0.35475372,-0.075803319,-0.10490188,0.030094584,-0.31017408,-0.10899908,-0.1254373,0.0096924484,-0.39137062,-0.15793038,-0.12557638,-0.057374274,-0.38841745,0.24890622,0.24888053,0.25926763,0.23900476
-19645.229,0.82358659,0.0029440205,10,1023,0,19687.714,-0.024286476,-0.13027995,-0.10894314,-0.079490331,0.10905967,-0.090630767,-0.22770135,-0.26203339,-0.1271108,0.33525248,-0.11231968,0.027914632,0.080386376,0.018062049,0.18411645,-0.17023206,0.099649129,0.12673407,0.048648729,0.09496729,0.32068071,0.084758925,0.24753342,0.2666161,0.059405001,1.9396406,0.10623761,0.27350024,0.20411013,0.18149653,0.37168094,0.093179707,-0.65392401,-1.3015665,0.77380363,-0.53114335,0.22950898,-0.37492941,1.2434207,-0.13283876,-0.33719225,0.0033324658,0.77001853,0.0080006292,-0.07931076,-0.13902095,1.7124863,-1.1762333,-0.32493009,-0.74597393,0.0032383261,-1.0115458,-0.65466639,-0.54755107,1.2544631,-0.72392929,0.15637487,0.46237392,1.0501952,-0.71138,0.73706175,0.58456303,1.082477,0.26726662,0.64215817,0.51791021,1.3900924,-2.0291727,-0.21575354,-0.23858958,-0.1346526,-0.34692572,0.11688428,-0.82519757,1.0551326,-1.2621872,-0.5507087,-0.63491992,-0.18860938,-1.5076643,-0.56299107,-0.82377184,0.15769107,-1.9660346,-0.41045098,-0.80071298,0.2577536,-1.8078239,-0.73918739,-0.85039219,-0.50793875,-1.5124908,0.46025751,0.062387179,1.4242475,-2.3950507,0.30184679,0.24764564,0.1442642,-0.089449434,-0.15398645,0.052822381,-0.077214448,-0.10119334,-0.17779628,0.027303819,-0.14711514,-0.12534712,-0.10878102,-0.071482719,-0.10855392,-0.087022259,-0.092692773,0.083139853,-0.19119402,0.004860856,-0.13015978,0.11009813,-0.21532357,-0.14611959,-0.13704061,0.01569618,-0.15199024,-0.18899334,-0.11324835,0.032257051,-0.40379168,-0.065520861,-0.10617948,0.026572406,-0.19077581,-0.088963395,-0.096344345,-0.044532363,-0.24765381,-0.083231854,-0.12752556,0.074074828,-0.33765874,-0.099902172,-0.1999867,-0.0002249156,-0.24641144,-0.12270433,-0.14573612,-0.023670079,-0.38443192,-0.034525808,-0.087753805,0.11257272,-0.3209012,-0.056433381,-0.12726458,0.064843434,-0.31005172,-0.090625414,-0.13195812,-0.0046747031,-0.37804757,-0.1273454,-0.16441884,-0.0375211,-0.39340218,0.25470441,0.26208298,0.25969897,0.23776823
-19646.932,0.99075719,0.0029440205,10,1023,0,19695.312,-0.042401487,-0.1077898,-0.13231554,-0.10209459,0.15241295,-0.087089786,-0.14667439,-0.1964372,-0.12265767,0.26387403,-0.13310127,0.20542289,0.11122768,0.065347924,0.10084777,-0.15435739,0.15209477,0.10914543,0.054528379,0.068613599,0.4470079,0.089500153,0.26013464,0.1467353,0.076987963,1.3881937,0.058096033,0.43670718,0.25334278,0.16548433,0.28763342,0.087276919,0.046529093,-0.85026087,0.58633223,-0.64177721,0.34913472,-0.13061729,1.5054527,-0.47397012,0.16626566,0.65991346,1.0263103,0.07226247,0.0082478294,-0.39423386,1.8985114,-1.073827,-0.30525503,-0.59434523,-0.18343065,-0.78798087,-0.22549826,0.18165199,0.35190231,-0.86844826,-0.10344592,0.12203709,0.59186179,-0.76798204,1.1399928,0.4958485,1.4825633,0.082049654,0.94424063,0.037833997,1.7007184,-1.3476017,-0.21916795,-0.27700566,-0.15819959,-0.44325133,-0.62840545,-0.50603446,1.3701024,-1.8496574,-0.748562,-0.79044687,-0.53971459,-1.351922,-0.72751171,-0.8163904,-0.037495377,-1.8429748,-0.63327877,-1.0411258,-0.17166516,-2.2837518,-0.61512984,-0.72774579,-0.15837562,-1.9462502,0.39813712,-0.20980032,1.2434,-2.596653,3.2821965,-11.921164,0.19440488,-0.035324655,-0.17172172,0.046776581,-0.14001245,-0.069683336,-0.12204608,0.056523489,-0.15952147,-0.12324934,-0.096331527,-0.076352502,-0.12837518,-0.10152867,-0.12914439,0.028169112,-0.17577372,0.01596154,-0.11326406,0.070417997,-0.19982072,-0.10727191,-0.070831905,-0.055594475,-0.16481604,-0.17358426,-0.11492831,0.0072893677,-0.34645312,-0.029160018,-0.12367872,0.021107172,-0.18439762,-0.049962509,-0.11974491,0.0082771709,-0.22640679,-0.040373543,-0.12066349,0.044262356,-0.35144469,-0.16960913,-0.16249986,-0.05350375,-0.24055902,-0.1214795,-0.13977093,-0.030274342,-0.38497113,-0.073082161,-0.095598937,0.1017285,-0.35567668,-0.039449792,-0.10694208,0.036940029,-0.31257722,-0.076084132,-0.10847624,0.055293645,-0.45895882,-0.11960921,-0.17266812,-0.045837271,-0.38098527,0.24419573,0.2484172,0.25206755,0.24607441
-19660.203,0.99562368,0.0029440205,10,1023,0,19697.806,0.0028514216,-0.11692413,-0.14488848,-0.077727136,0.27576595,-0.10184324,-0.12045689,-0.26082872,-0.1550655,0.30801429,-0.11263275,0.16969523,0.11426284,0.074263825,5.4651317e-05,-0.13608227,0.18031322,0.13470401,0.099728914,0.070117278,0.61303288,0.13595396,0.12440613,0.21166013,0.11384676,1.4881866,0.066691608,0.4929264,0.20294615,0.17985108,0.2588304,0.09556013,-0.8994571,-0.96722652,0.069203086,-0.70542523,0.23469086,-0.40253794,1.3726629,-0.21569118,0.4489645,-0.27920835,1.2911779,0.16199916,0.057360612,-1.1143641,1.9855535,-1.4089873,-0.42681964,-0.56578312,-0.31881521,-0.83663349,0.077011577,-0.5158346,1.1878288,-0.26676974,-0.31511284,-0.11685822,1.0329698,-1.7069667,0.91739274,0.81858322,1.4910693,0.25726865,0.21482464,0.7236127,1.2303437,-0.75963528,-0.25077595,-0.28670839,-0.13618988,-0.39573013,-0.052289383,0.07923622,2.0855883,-1.9239379,-0.54084989,-0.59846362,-0.37900378,-1.1748786,-0.83736984,-1.1359964,-0.17805782,-2.2517785,-0.87236147,-1.0596622,-0.04031465,-2.2380272,-0.36261243,-0.44099159,0.10522384,-1.4516901,-0.28687368,-0.041938277,0.94190626,-2.6412028,0.27641126,0.28768628,0.13067099,-0.15933258,-0.1715523,0.015329653,-0.12434607,-0.085310327,-0.1711476,0.067979064,-0.14597859,-0.10011374,-0.17273363,-0.016120713,-0.12873248,-0.073705166,-0.15586331,0.06149447,-0.17652149,0.014111474,-0.071077706,0.080321741,-0.23711789,-0.091373209,-0.17197299,0.059646788,-0.13811164,-0.15965886,-0.13499477,0.0080508803,-0.332814,-0.066653253,-0.087567288,0.054771205,-0.2063752,-0.13060841,-0.072684536,-0.01499486,-0.24154751,-0.065187127,-0.1186613,0.10533834,-0.28090599,-0.11612001,-0.10734836,0.026458487,-0.24094326,-0.09690396,-0.12530329,-0.01712574,-0.40943344,-0.055678144,-0.11628326,0.078126695,-0.34272695,-0.082631328,-0.11631757,0.067013192,-0.32824779,-0.093800468,-0.11408738,0.02728978,-0.37568687,-0.16349595,-0.1400899,-0.046073585,-0.38847595,0.2571431,0.2529542,0.25255432,0.2424988
