# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 11:36:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-3535922f968.json
# init = 2 (Default)
# random
#   seed = 879416444
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141236-2-62a4db.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141236-2-6a56fd.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00376287
# Diagonal elements of inverse mass matrix:
# 0.00753996, 0.00695002, 0.00735814, 0.0163161, 0.0444003, 0.00810696, 0.0876961, 0.0116674, 0.104398, 0.0314051, 0.0242974, 0.0340033, 0.0346504, 0.0829657, 0.03958, 0.0561362, 0.345768, 0.355139, 0.880569, 0.307473, 0.451793, 0.375226, 0.559732, 0.422507, 0.589084, 0.341498, 0.452701, 0.372123, 0.274633, 0.495648, 0.327373, 0.365072, 0.259171, 0.262219, 0.394313, 0.249368, 0.263978, 0.295543, 0.315793, 0.285471, 0.306083, 0.275723, 0.256622, 0.274449, 0.249658, 0.309989, 0.245026, 0.275491, 0.309856, 0.293732, 0.441987, 0.260469, 0.293001, 0.315392, 0.327479, 0.291119, 0.289083, 0.253107, 0.264216, 0.261576, 0.244785, 0.288603, 0.243171, 0.27362, 0.516731, 0.452241, 0.55859, 0.439122, 0.386712, 0.48315, 0.568346, 0.492785, 0.384531, 0.424361, 0.427971, 0.362495, 0.355372, 0.461264, 0.340611, 0.367345, 0.245605, 0.336159, 0.35587, 0.34216, 0.495928, 0.38225, 0.544308, 0.470755, 0.557024, 0.453677, 0.421802, 0.490731, 0.499879, 0.544827, 0.542094, 0.497847, 5.43324, 88.1683, 1.08717
-19631.918,0.96926229,0.003762874,10,1023,0,19682.883,-0.10233852,-0.33647187,-0.12686899,-0.05950162,0.1859172,-0.087801818,-0.07836381,-0.14956594,-0.098087685,-0.42543119,-0.10792857,-0.2136103,-0.070252978,-0.15852902,-0.29976911,-0.38861967,0.21104674,0.64887938,0.69738759,0.14382247,0.322236,0.05587061,0.18149861,0.19137021,0.06579275,0.70159822,0.13969778,0.10687097,0.62108721,0.10195634,0.30212075,0.35929684,0.13737883,-0.093988958,0.89308377,0.060521123,0.41526324,0.25347865,0.61915325,0.30240937,0.069766397,-0.018680258,0.19920505,-0.024193269,-0.032330006,-0.27116348,0.6868099,-0.955667,-0.6092824,-1.0373316,-0.44079124,-1.2862585,-0.10703738,-0.062284952,1.0707738,-1.2047837,-0.26561881,-0.27146333,0.78731615,-1.2767645,0.44747156,0.20827322,0.84348352,-0.24961034,0.43776446,0.32037241,1.1686958,-1.7715945,0.50774134,0.44670393,0.6610063,0.20165064,-0.18373707,-0.15854839,1.007098,-1.0961736,0.66827089,0.58230338,1.3792691,-1.90793,0.10645851,-0.056589291,0.24371784,-0.43069981,0.99629097,0.41175412,2.0341846,-1.8449693,0.58814283,0.49220062,1.2655599,-0.38184257,0.69116986,0.65956527,1.0451566,-0.20020073,0.33867463,-0.19929618,0.066767737,-0.073345162,-0.12217458,0.086143904,-0.08956573,-0.067016122,-0.17199481,0.065283903,-0.14024467,-0.078214775,-0.13989637,0.012054134,-0.14374108,-0.064151401,-0.098501023,0.03927708,-0.19694801,-0.010415521,-0.14834839,0.043878395,-0.22856158,-0.093782062,-0.091281716,-0.02797703,-0.15511382,-0.12657325,-0.12763402,0.064532972,-0.31009478,-0.063933217,-0.10970865,0.011851674,-0.19733393,-0.069285957,-0.077009503,-0.021195977,-0.21464576,-0.069200773,-0.11202451,0.038329654,-0.28395346,-0.13359623,-0.13007742,0.03276078,-0.26106158,-0.14219154,-0.15137897,-0.066206476,-0.41751262,-0.0041329596,-0.10539986,0.081117056,-0.33775512,-0.056950839,-0.11654808,0.048869,-0.34663534,-0.12207896,-0.15106509,0.082582791,-0.41513167,-0.14028453,-0.15163996,-0.013098225,-0.46055116,0.25260232,0.25555893,0.24942085,0.2372804
-19630.244,0.9948612,0.003762874,10,1023,0,19680.144,-0.072058684,-0.15414152,-0.10293924,-0.093246021,0.0020264729,-0.084741142,-0.32467515,-0.20765699,-0.076358183,-0.44995244,-0.10717392,-0.22237218,-0.10964786,-0.166252,-0.33036996,-0.44887529,0.24770642,0.51110109,0.076286175,0.10102944,0.13449975,0.092448103,0.38298752,0.26541793,0.17709226,0.53936363,0.10221453,0.14909539,0.30743296,0.15120122,0.5645929,0.28351899,-0.18855582,-0.31457616,0.26629577,-0.26618755,0.088801925,0.021968235,0.40603855,0.033377538,-0.23356029,-0.41253449,0.71953602,-0.31586551,-0.24324037,-0.46469888,1.0192595,-0.7356258,0.03230379,-0.84524379,0.56806481,-1.9181788,-0.22523687,-0.50547967,1.4359934,-0.64468558,0.33747703,0.55538312,0.78516066,-0.067976024,0.61376892,0.46680448,0.87617674,0.053546918,0.18139255,-0.057072555,0.61514583,-0.94795241,0.71897718,0.63040655,0.90823752,0.25698833,-0.077861163,-0.24675424,1.0617685,-1.5519599,0.51254797,0.38554856,1.2561624,-1.2259982,0.30041437,0.079755213,0.65661186,-0.77133208,0.89002957,0.24499086,1.3647624,-1.1231718,0.34394818,0.34502881,0.6403516,-0.1149535,1.1224617,1.0349997,1.4393853,0.2051221,2.215859,-7.4830311,0.042294188,-0.11876517,-0.14998122,-0.0060955122,-0.13799505,-0.10875476,-0.14291353,0.053385226,-0.13708223,-0.12075666,-0.13440991,-0.048048586,-0.12703541,-0.11782046,-0.14019429,0.0097291986,-0.16756588,0.0063713248,-0.11165861,0.078431049,-0.25596811,-0.10556386,-0.13147178,0.048013722,-0.1443411,-0.19542566,-0.11197035,-0.023968414,-0.35070912,-0.04475171,-0.08375871,0.02489603,-0.19344468,-0.044234966,-0.08646529,0.032579381,-0.24423322,-0.062162299,-0.10993407,0.039917846,-0.31134228,-0.11513246,-0.13239579,0.0013542452,-0.26580677,-0.14595364,-0.16488867,-0.035084156,-0.40516287,-0.017290584,-0.085128482,0.092216263,-0.34678077,-0.031678447,-0.12920908,0.040101728,-0.33607694,-0.13617926,-0.13556915,0.031168007,-0.39527189,-0.13063608,-0.15543323,-0.040782225,-0.39071928,0.24872561,0.25023109,0.24582409,0.24483029
-19633.421,0.99736533,0.003762874,10,1023,0,19679.874,-0.043454867,-0.1327217,-0.1348914,0.0042432087,0.068346093,-0.0076748843,-0.28941009,-0.078122952,-0.47457668,-0.066562545,-0.051808874,-0.34869842,-0.17541344,-0.096786268,-0.12239369,-0.51946405,0.079190059,0.11719651,0.042016587,0.17746473,0.25650072,0.12212298,0.1659,0.073745291,0.50441304,0.18878465,0.18807327,0.20242724,0.34072745,0.20061676,0.2403886,0.49040906,-0.29717245,-1.5106553,0.76178167,-0.89785732,0.37966004,0.016460561,1.831252,-0.11687691,1.1316785,-0.44462431,1.7570051,-0.081433542,-0.46221475,-0.43662675,0.32760786,-1.1593205,-0.18253847,-0.73838387,-0.016861054,-1.2385228,-0.87452665,-1.0834999,0.28006677,-1.0309679,1.1366668,1.1033314,1.9760875,-0.011762264,0.24346047,-0.38258639,1.4831053,-1.4086013,0.74389328,0.81951104,0.94556582,0.41679661,-0.031409874,-0.14081474,0.67210916,-1.2874138,-0.30072993,-0.43159481,0.17705547,-1.0668543,1.1071818,1.0908103,1.5278454,-0.22265662,0.33239105,0.22717069,0.74913222,-0.56184583,0.23427112,-0.13907556,0.65957156,-1.0390415,0.071243115,-0.029873871,0.73104417,-1.0824937,0.77227031,0.77072813,0.94280172,0.23063417,-0.93319931,4.8033255,0.075114353,-0.066987971,-0.16308375,0.016870668,-0.11455624,-0.088226865,-0.13079258,0.081894641,-0.14641926,-0.087342134,-0.153573,-0.061068043,-0.13831296,-0.077783606,-0.073242639,0.062382049,-0.20149529,0.021524846,-0.1210499,0.064021221,-0.2493359,-0.11447469,-0.13999513,0.026527704,-0.13357976,-0.10083707,-0.10636742,0.038422837,-0.29136145,-0.060168889,-0.1063369,0.031249081,-0.18200067,-0.09934721,-0.061204625,0.0023790482,-0.26433904,-0.072492247,-0.093146206,0.060321349,-0.30960651,-0.10836813,-0.13298032,-0.018509473,-0.25245565,-0.12457468,-0.1278887,-0.039420893,-0.39377018,-0.062158687,-0.098010152,0.079836465,-0.36684974,-0.049787553,-0.12468716,0.035534845,-0.30523541,-0.10526765,-0.12957502,0.053340999,-0.38261282,-0.14073569,-0.14149199,-0.057105547,-0.40635897,0.25224249,0.26360339,0.25380751,0.23709458
-19636.593,0.99837894,0.003762874,10,1023,0,19680.254,-0.027115372,-0.12267661,-0.15110456,-0.083402754,-0.070672705,-0.097190424,-0.12753957,-0.074978847,-0.074219211,-0.23925994,-0.10549106,-0.2091627,-0.017249093,-0.090067667,-0.040794588,-0.20021588,0.086041381,0.092823956,0.06735533,0.15070813,0.12707074,0.038125003,0.18113445,0.11634877,0.081072793,0.17280243,0.078962308,0.20449281,0.30009967,0.14031034,0.21506275,0.22851043,-0.68012134,-1.2782201,0.57754613,-0.99911967,0.41020395,-0.37349664,1.574004,-0.31840208,0.50331054,0.46852089,2.7129879,0.64058826,-0.12897924,-0.21650246,1.0609264,-0.67980823,0.54967999,-0.63090782,1.3712055,-1.1241141,-0.33326498,-0.52170854,1.5942458,-1.9728973,0.037951917,-0.045631933,0.96756992,-1.2693959,0.54786585,-0.4295953,0.77677053,-1.1663526,0.1748242,-0.38708049,1.0525631,-2.2378893,1.0667484,0.64050413,1.6913206,-0.46772408,-0.27491426,-0.41465492,0.72138042,-1.5255872,0.36465411,0.23359783,0.95757081,-0.82595987,-0.036735834,-0.30631942,0.39845328,-1.0471913,0.16216226,-0.12947052,0.85409153,-1.5305717,-0.22074656,-0.30463831,0.28707126,-1.8615096,0.19965344,0.21267679,0.65207155,-0.87679413,-1.3000988,6.2367708,0.11489667,-0.085633952,-0.13709519,0.022577494,-0.11308101,-0.084599855,-0.15734604,0.023428668,-0.15223195,-0.11720392,-0.11954718,0.03162963,-0.10795753,-0.10284097,-0.11603144,0.076487483,-0.18585538,-0.00082446187,-0.15084263,0.1035674,-0.21351472,-0.10989615,-0.11708056,-0.036409799,-0.17240714,-0.12066517,-0.13580508,0.047720682,-0.35747091,-0.011235329,-0.12496173,0.015397449,-0.21068254,-0.060045726,-0.10560091,0.011115018,-0.25565115,-0.054923231,-0.12857927,0.05300437,-0.3200838,-0.12719892,-0.13823317,-0.048529194,-0.22595494,-0.13459355,-0.16139362,-0.013346349,-0.37806555,-0.028273504,-0.10917545,0.10232661,-0.33151085,-0.067314624,-0.10823372,0.029770208,-0.3048227,-0.08826895,-0.10631094,0.020943746,-0.44113596,-0.15459299,-0.15161702,-0.051210734,-0.40057248,0.24821693,0.25395954,0.26391603,0.24252878
-19644.577,0.99858373,0.003762874,10,1023,0,19696.037,-0.030187898,-0.14447874,-0.11223288,-0.076827167,-0.16132243,-0.14518586,-0.15262962,0.01847953,-0.10454145,-0.21435418,-0.15574892,-0.02752741,-0.023762037,-0.027231894,0.090633353,-0.22297286,0.12628595,0.13397765,0.042555869,0.075100345,0.18592422,0.048646934,0.23038648,0.12949786,0.10888594,0.11860864,0.2115273,0.28090907,0.33457572,0.14400331,0.26932872,0.42759946,-0.16400124,-0.70016197,-0.13064211,-0.55085563,0.36410964,0.25941665,1.6840544,-0.0011174689,0.42445369,0.018916156,2.2457261,0.34044023,-0.2749072,-0.676474,1.2677943,-1.2535718,0.84102632,0.1997962,1.4683926,-0.41096862,0.71563097,0.47539631,2.9235768,-0.32323833,0.19590778,0.039517931,0.7669599,-0.82040058,-0.58772625,-0.64199627,0.35530891,-1.5625149,0.31941998,0.25057686,0.8670319,-1.2598601,1.4498647,0.93659373,1.8347079,-0.86873929,-0.017419889,-0.077570865,0.66350633,-0.24527351,-0.32729693,-0.42076219,0.11062522,-1.292634,-0.076712102,-0.32975066,0.29446596,-1.0323743,-0.22552032,-0.63806849,0.46587538,-1.8036665,-0.6862459,-0.7833429,-0.38060285,-1.9047557,0.22612936,0.15937614,0.51139815,-0.41637142,-3.6405129,15.90794,0.10691289,-0.050898951,-0.11860852,-0.046686162,-0.099753225,-0.095696186,-0.10972271,0.081146908,-0.14462846,-0.094169888,-0.11142789,-0.016664057,-0.097745154,-0.097472793,-0.1276306,0.018384618,-0.17097084,-0.0049552632,-0.12417547,0.11168733,-0.23773145,-0.11037261,-0.12205929,-0.0029628168,-0.16091042,-0.10749512,-0.14352522,0.024067576,-0.34163882,-0.05762976,-0.064657611,0.064491271,-0.1838628,-0.069761104,-0.077257152,-0.010133867,-0.24172249,-0.042387693,-0.10326607,0.0032580375,-0.31739417,-0.15943371,-0.17215728,-0.015399218,-0.20763097,-0.11946809,-0.14572332,0.0035482166,-0.39064003,-0.049428044,-0.1340886,0.074759123,-0.36916941,-0.059707567,-0.11911587,0.039855704,-0.28696584,-0.094192379,-0.12034339,-0.011873926,-0.42237206,-0.12628007,-0.15482371,-0.0042992883,-0.40101306,0.24773099,0.24797166,0.25121502,0.24327239
-19640.497,0.99778511,0.003762874,10,1023,0,19680.204,-0.022870661,-0.16355109,-0.12304911,-0.074097664,-0.17808186,-0.13739361,-0.12187225,0.012152536,-0.103541,-0.22115776,-0.16537183,-0.051658744,-0.0088895425,-0.029354366,0.073377971,-0.23303192,0.14698499,0.14942365,0.055721677,0.070617392,0.18609927,0.048791054,0.21998265,0.14468228,0.12596777,0.12418361,0.2176123,0.26477109,0.35613197,0.1364039,0.25668012,0.45577014,-0.31824199,-0.7048748,-0.13749411,-0.62276019,0.37598915,0.12224533,1.6272882,-0.045989738,0.2473687,-0.040287387,2.3187933,0.28395083,-0.24232174,-0.62447046,1.3036308,-1.1802774,0.92987163,0.26113446,1.5366744,-0.36122353,0.71898207,0.46354287,2.8319088,-0.32134925,0.16965842,-0.01419724,0.73555905,-0.86012779,-0.63442039,-0.56960845,0.19351711,-1.5866933,0.32037356,0.21707015,0.95171705,-1.2664266,1.3908166,0.95342525,1.7405103,-0.86599586,0.019080459,-0.020633251,0.71908668,-0.3315675,-0.26173842,-0.38488875,0.050419085,-1.3683793,-0.019396657,-0.25281211,0.25776736,-0.93705545,-0.22135641,-0.49655446,0.36543536,-2.0025913,-0.65463242,-0.81218157,-0.21583132,-1.7915929,0.15085042,0.14833771,0.45346066,-0.31547211,-3.3387882,14.816031,0.10198181,-0.069647458,-0.12647668,-0.043080232,-0.11440706,-0.10736942,-0.14528475,0.079604263,-0.17042305,-0.10926531,-0.12529399,0.0061579397,-0.1072269,-0.091209793,-0.11819614,0.017961344,-0.15744578,-0.0050334278,-0.12948493,0.10789212,-0.24530529,-0.10231372,-0.11477686,0.00077820869,-0.15307258,-0.08455034,-0.1249954,0.039937979,-0.31108544,-0.079636853,-0.070259713,0.040151032,-0.21741387,-0.063184257,-0.076197157,0.016344673,-0.26306993,-0.048441129,-0.10275797,-0.0050148956,-0.32870025,-0.16121968,-0.16986188,-0.0088897185,-0.23752499,-0.12095951,-0.15356616,-0.038309228,-0.41396603,-0.015797312,-0.098924017,0.082909655,-0.34260494,-0.059548244,-0.097086332,0.020492443,-0.30251564,-0.094653154,-0.13509289,0.017978363,-0.38648831,-0.1642788,-0.16542402,-0.026358085,-0.37681469,0.25033017,0.25198731,0.25079437,0.24780275
