# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 11:48:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35351f8cf743.json
# init = 2 (Default)
# random
#   seed = 1673525207
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141248-1-2e1857.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141248-1-65a029.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00409508
# Diagonal elements of inverse mass matrix:
# 0.00470687, 0.00544168, 0.0022864, 0.0135263, 0.0307536, 0.00270437, 0.0190711, 0.00602564, 0.0115347, 0.0126435, 0.0401703, 0.0187672, 0.0130614, 0.175512, 0.0340799, 0.011564, 0.154868, 0.370558, 0.567504, 0.241324, 0.36518, 0.205597, 0.339602, 0.256061, 0.369695, 0.256939, 0.975824, 0.391889, 0.158502, 0.870674, 0.229759, 0.191744, 0.386712, 0.257836, 0.40982, 0.297681, 0.294364, 0.225112, 0.212939, 0.176425, 0.30222, 0.208272, 0.199712, 0.153502, 0.173639, 0.25056, 0.402859, 0.188543, 0.38342, 0.326957, 0.451648, 0.303275, 0.333659, 0.271522, 0.184176, 0.191991, 0.23592, 0.190545, 0.187639, 0.149899, 0.155019, 0.181289, 0.411414, 0.154947, 0.491118, 0.510481, 0.448102, 0.35146, 0.334395, 0.331034, 0.269976, 0.288585, 0.443146, 0.3597, 0.530733, 0.188143, 0.267451, 0.502693, 0.45339, 0.261451, 0.325705, 0.419096, 0.465076, 0.418627, 0.554714, 0.318449, 0.677293, 0.320687, 0.352929, 0.447684, 0.356166, 0.549006, 0.316741, 0.356509, 0.656658, 0.328142, 11.3586, 184.751, 1.89301
-19645.405,0.94763435,0.00409508,10,1023,0,19683.244,-0.067409258,-0.16097214,-0.098262225,0.065578058,-0.13746327,-0.036294658,-0.20866347,-0.096281624,-0.11472965,0.10894994,-0.25530988,-0.13172583,-0.05498981,-0.1209422,0.30342409,-0.2240039,0.052516139,0.13445229,0.098332866,0.17347007,0.20116856,0.10844759,0.39523276,0.05869622,0.1165652,0.17454283,0.2105045,0.11176176,0.1629853,0.21098184,0.71080727,0.17170295,0.73734158,-0.85633462,2.6405356,-0.7093845,0.17934913,0.080219973,1.4764986,0.13430046,-0.29695377,0.076889275,1.2140903,-0.18295121,-0.92340958,-1.0223854,-0.29474438,-1.3832017,0.75829197,0.048237036,1.2150262,-0.66812125,-0.80512931,-0.74576337,0.014010994,-1.0952531,0.21517254,0.25430283,0.68715374,-0.24528528,0.27322434,-0.73188586,2.4192105,-1.5586611,0.38545526,0.37958461,1.2914559,-1.09532,-0.92976656,-1.1627537,-0.21728667,-2.5516234,0.48540574,0.48265907,1.3340142,0.11717362,-0.37284701,0.034134523,1.0656096,-1.9934982,-0.0067893125,-0.46182122,0.86836689,-1.7439111,0.27292763,-0.025184675,0.69588892,-0.8606485,-0.56128443,-0.58403736,-0.3487401,-1.0423962,0.47974208,0.44817083,1.1580473,-1.0042987,-3.718981,16.298435,0.10597355,-0.028686925,-0.11238065,0.071261479,-0.10466339,-0.13685824,-0.15018638,0.037546492,-0.14291513,-0.12746254,-0.090701482,0.021122753,-0.11625234,-0.09460587,-0.11177521,0.014448729,-0.17436605,0.015081242,-0.12775949,0.10696182,-0.27186826,-0.12360899,-0.1171709,-0.034775199,-0.15507222,-0.12362023,-0.10815466,0.062922205,-0.30560825,-0.080244389,-0.13924056,0.045716889,-0.18776914,-0.069798985,-0.070483299,0.035809165,-0.24240585,-0.053334145,-0.094000385,0.071024112,-0.33641763,-0.15312979,-0.15370798,0.02550611,-0.23064431,-0.17339587,-0.1279109,-0.012631432,-0.35452269,-0.056096368,-0.13025988,0.086541227,-0.33922167,-0.063359423,-0.12625571,0.025877729,-0.3025234,-0.095540962,-0.11171391,0.055537094,-0.43751869,-0.14163077,-0.14705165,-0.025163765,-0.39644495,0.24296382,0.25139931,0.23599826,0.24722958
-19647.726,0.97490277,0.00409508,10,1023,0,19693.337,-0.044652221,-0.029077201,-0.10245912,-0.043567237,0.010299904,-0.044569034,-0.24254357,-0.038995607,-0.26855525,0.29827468,-0.20296412,-0.15023185,-0.1095529,-0.10275541,0.52698547,-0.26760805,0.077407173,0.31455584,0.012963337,0.25228973,0.12205397,0.08600595,0.28674454,0.049298655,0.32156357,0.35207659,0.10220996,0.086036018,0.24704111,0.17281987,1.0356379,0.2331717,-0.35662883,-1.5767781,1.1812671,-0.27155367,-0.14496404,-0.36893362,0.37629048,-0.36453113,-0.77622324,-0.83951861,0.13156877,-1.1768017,-0.40425531,-0.25815479,0.45700612,-0.56388348,-0.037644977,-1.1117205,0.77493637,-2.019761,-0.59970499,-0.77082023,0.11975388,-1.0868932,0.40118019,0.42491571,1.0604444,-0.29587984,-0.070145787,-1.5530228,1.8500571,-2.7929081,0.60966785,0.47451459,0.95709099,0.03623638,-0.95466003,-1.2602426,-0.60341729,-1.8122729,0.67358174,0.29443818,1.7723471,-0.25724139,0.59694229,-0.36318689,0.60235686,-2.7863461,0.30824928,0.076484063,0.80652717,-0.86868334,0.3394978,0.0076494156,0.89434292,-1.1221399,-0.61764253,-0.63178875,-0.44727851,-0.95330401,0.38969669,0.56625426,1.0470879,-0.67321712,-1.2883312,6.4140951,0.031214017,-0.072257851,-0.16670616,0.046786322,-0.065672423,-0.074676487,-0.14512743,0.08928717,-0.1437426,-0.11252156,-0.11334208,-0.10075355,-0.11771439,-0.1455567,-0.10869704,0.071730714,-0.18582925,0.0057051857,-0.12538999,0.10488396,-0.23621994,-0.096147232,-0.11086416,-0.034269488,-0.13804831,-0.12750735,-0.12070132,0.061533064,-0.3273855,-0.0424537,-0.11555754,0.05220972,-0.17668222,-0.072508278,-0.11596864,0.039210347,-0.25690295,-0.037838767,-0.14542723,0.085825582,-0.33978416,-0.13411736,-0.17286961,-0.021812602,-0.22925675,-0.09887331,-0.181479,-0.098407462,-0.38995797,-0.033402655,-0.090658192,0.089692469,-0.3241534,-0.044083441,-0.10143344,0.051804823,-0.29668348,-0.11266852,-0.12731888,0.063766903,-0.46029227,-0.17674181,-0.13557358,-0.023456771,-0.42458323,0.25014563,0.25548167,0.23106601,0.24858778
-19635.707,0.99005881,0.00409508,10,1023,0,19688.331,0.046067472,-0.097784862,-0.086170853,-0.023207553,-0.19405418,-0.091943589,-0.28468366,-0.14065337,-0.040687108,0.49744815,-0.27866519,-0.15163963,-0.1470968,-0.073694685,-0.41788104,-0.29121416,0.11408963,0.16537781,0.10370683,0.12529782,0.27632914,0.07980918,0.64605244,0.10197471,0.16589721,0.53885539,0.16737395,0.14081928,0.35255758,0.11471977,0.53775157,0.24373135,-1.3014568,-1.9254545,-0.36319146,-1.5775523,0.071954948,-0.33880009,0.74233626,-0.26054936,-0.49113427,-0.039388742,0.20537647,-0.1786221,-0.48530627,-0.80478002,0.87455672,-1.2045265,0.57395941,0.25780427,1.1451699,-0.14784755,-0.21197718,-0.59756272,1.4211404,-0.53562841,0.24364979,0.24420777,0.55308484,-0.04285135,0.67079042,0.28417967,1.2879553,-0.49721893,-0.11809643,-0.16048007,0.14198215,-1.1910253,-0.96254223,-1.1468076,-0.76222135,-1.5431884,0.9547435,0.72713171,1.4643962,0.19438439,0.26170642,-0.16350013,0.63050164,-1.8267161,0.34640728,0.048059019,0.78706923,-0.54801827,0.4286567,-0.41768952,1.1855025,-1.8768,0.60064435,0.51033035,0.88933626,-0.04546771,0.5227147,0.67905266,1.082306,-0.52638995,-3.7970044,16.629184,0.078518857,-0.10241524,-0.17360691,0.0046310947,-0.13391488,-0.08588511,-0.15381488,0.024981087,-0.14087395,-0.13710483,-0.090255735,-0.064871909,-0.10469519,-0.084015369,-0.12404473,0.086372494,-0.1741321,-0.03545247,-0.12281535,0.12238965,-0.23490877,-0.10886131,-0.13963458,0.021476462,-0.13469165,-0.12727311,-0.12691263,0.072638154,-0.31236788,-0.072249717,-0.11167423,-0.0093145064,-0.19135713,-0.060278977,-0.067310304,-0.017132666,-0.23827488,-0.021222926,-0.1205153,0.086721063,-0.33410724,-0.118866,-0.15696229,-0.033563413,-0.24613031,-0.11478632,-0.1746636,-0.062852846,-0.40887647,-0.024968287,-0.13015323,0.13039043,-0.34030479,-0.024519289,-0.12161193,0.062305879,-0.28900074,-0.0948836,-0.14345009,0.06036093,-0.44233137,-0.1638122,-0.12570773,-0.027422256,-0.41951189,0.24661726,0.25200152,0.2466788,0.25278435
-19643.409,0.98973362,0.00409508,10,1023,0,19695.724,-0.0080117563,-0.083195083,-0.093393955,-0.0045814438,-0.11760911,-0.063768355,-0.075569982,-0.14261675,0.0031069113,0.43301076,-0.22359038,-0.06276951,-0.20960443,-0.060239015,-0.4152508,-0.14221789,0.079910929,0.1373918,0.076219627,0.10378777,0.20400773,0.11751686,0.3724112,0.10570953,0.1417481,0.54996707,0.098944298,0.13664469,0.25440804,0.10905768,0.24876387,0.19896039,-0.53814838,-1.7725315,0.71206504,-1.1270682,-0.24809112,-0.53444499,0.66978357,-0.43161514,0.3155481,-0.56195648,1.1765051,-0.25307443,-0.78774799,-0.69305066,0.61835615,-1.623922,0.53862269,0.0030679017,1.1113485,-0.56851718,-0.088114444,-0.46647168,0.23738663,-0.87559642,-0.18169399,-0.14100698,0.33071161,-0.60572072,0.97107563,0.18596533,1.6373775,-0.21924965,-0.47340912,-0.63487854,0.12925245,-1.7688514,-0.81849016,-1.057242,-0.63773486,-1.3278367,0.86828948,0.78224918,2.1347137,-0.31516962,-0.39576664,-0.43637396,0.43797921,-2.1963197,0.71931824,0.40681045,1.2473035,-0.44829418,0.018098774,-0.065167054,1.1686196,-2.3790932,1.4668795,1.1723557,1.8835166,-0.011516116,-0.192931,-0.045592468,0.41061055,-1.1557335,0.66095343,-1.3411383,0.03892501,-0.051015694,-0.1496564,0.048890023,-0.098076823,-0.11728077,-0.15662344,0.0088276888,-0.14249546,-0.069342997,-0.13622607,-0.0037211734,-0.11268319,-0.086340054,-0.076511628,0.059596364,-0.17312469,-0.0077259158,-0.11698323,0.10911458,-0.233591,-0.074123288,-0.11858664,-0.035871425,-0.1666657,-0.14323486,-0.12808256,0.047590727,-0.30114716,-0.039964802,-0.12295844,0.03046966,-0.16579353,-0.063997934,-0.086885919,0.021428201,-0.24762442,-0.017131879,-0.14843754,0.082277584,-0.2972557,-0.13767808,-0.14619128,-0.012372622,-0.25477461,-0.11684892,-0.12239769,-0.0029219782,-0.36288492,-0.02660408,-0.10610858,0.10771962,-0.32365407,-0.058265205,-0.067345983,0.067207924,-0.31969739,-0.050344177,-0.12361105,0.053300076,-0.41811559,-0.18060352,-0.15128898,-0.060522654,-0.37216308,0.25195297,0.25156865,0.23616409,0.24455724
-19651.908,0.97032534,0.00409508,10,1023,0,19700.759,-0.053342452,-0.084231604,-0.14592744,-0.048902911,0.035037782,-0.09961629,-0.12267276,-0.1442032,-0.031729938,0.30972214,-0.14589287,0.048386497,-0.37242634,-0.089003679,-0.1142634,-0.092761466,0.11918406,0.05899039,0.05845507,0.13501476,0.14741277,0.054731461,0.17995286,0.10897345,0.14238803,0.33983257,0.11087601,0.19703145,0.50428559,0.13778858,0.18985506,0.16647742,-0.17117274,-0.9935092,0.74952244,-0.59598557,-0.061835722,-0.93900386,1.6954978,-0.63877789,0.26221638,0.79050492,1.7748474,0.50622925,-0.56835221,-0.44225576,0.43966111,-0.96188016,-0.1604326,-1.1493315,0.27705589,-1.7697651,-0.36175456,-0.59853176,1.2964206,-0.88017993,-0.18708701,-0.056400271,0.77963787,-1.1845886,0.67693848,0.2182229,1.8474374,-0.63414949,-0.24472281,-0.40113814,0.32553242,-1.607461,-1.0461354,-1.4111451,-0.74771241,-1.9112531,0.045974441,-0.31279065,1.1608129,-0.71677787,-0.80352708,-0.90099762,-0.30388098,-2.0023901,0.66021447,0.57774499,0.91839684,0.078288743,0.0087499513,-0.1513495,0.92249162,-1.9929093,0.063561785,-0.12978271,0.40401686,-1.4559055,-0.47901656,-0.4695781,0.18359009,-1.6378891,4.0420653,-15.046953,0.15929399,-0.073743514,-0.17175291,0.035988677,-0.12437443,-0.087879317,-0.13962381,0.015786471,-0.12191336,-0.13059956,-0.099718417,-0.04217861,-0.11633577,-0.12563885,-0.10861397,0.010457827,-0.17877093,0.011387967,-0.13438837,0.075879359,-0.2258482,-0.11941565,-0.13237481,-0.028661296,-0.14778982,-0.1563396,-0.13282215,0.01762531,-0.33584286,-0.070434884,-0.1204227,0.057118417,-0.21330866,-0.066575536,-0.088847207,0.014621981,-0.26061315,-0.04578875,-0.16983094,0.055625113,-0.3397839,-0.1407954,-0.18057384,-0.017186569,-0.22536633,-0.10993361,-0.12913837,-0.011487612,-0.34614733,-0.039489696,-0.081077866,0.090707953,-0.33294645,-0.087798035,-0.10985791,0.038105131,-0.36360382,-0.10219588,-0.13890331,-0.037558758,-0.39067444,-0.17250691,-0.17093562,-0.062197861,-0.36543302,0.24554543,0.25136935,0.24084023,0.24879337
-19643.546,0.99109771,0.00409508,10,1023,0,19714.694,0.17833797,-0.16983433,-0.10311728,-0.063449763,0.1562229,-0.13571972,-0.038368232,-0.042714106,-0.11323383,-0.1638362,-0.28016131,0.033942417,-0.49865253,-0.31898243,-0.1887605,-0.17698121,0.1761599,0.17116905,0.044140979,0.096936821,0.30673871,0.097645991,0.63163894,0.13375969,0.31030819,0.1282578,0.17438254,0.60196679,0.63048622,0.23644787,0.1253952,0.17540993,-1.2804589,-1.9943947,-0.86025104,-1.5965528,0.54425076,0.18362035,1.2697523,0.18527131,0.1731562,-0.72127643,2.5165255,-0.61941261,-0.96106797,-0.67490208,0.97458258,-1.4483273,-0.40870391,-0.96648194,-0.27038805,-1.2673602,0.91575385,0.042884821,1.5183885,-0.39162169,-0.12993925,-0.10886968,0.081148845,-0.4816284,-0.10320525,-0.77610892,0.81268358,-1.0914848,0.25914843,0.05951367,0.42292245,-0.46649087,0.83542853,0.080373363,1.7109706,-1.3551539,0.76080054,0.83234054,1.3834616,0.26366923,-0.22064337,-0.27360999,-0.058530145,-0.65772098,0.69647695,0.62205374,0.89831177,0.25291484,1.1823031,0.69732466,1.538212,-0.15237622,0.74509205,0.61393791,2.2550748,-1.685188,0.096083202,0.18412826,1.1001819,-1.1640334,-0.45642228,2.9318895,0.078771721,-0.047227537,-0.17299439,0.026796237,-0.1029106,-0.076675445,-0.13840421,0.047507963,-0.13812162,-0.095473999,-0.13495513,0.007964617,-0.13045876,-0.15661264,-0.12887262,0.031023173,-0.203846,0.030857587,-0.14023453,0.073284415,-0.23252555,-0.046300023,-0.13153218,0.012544831,-0.17396,-0.12044292,-0.10713456,0.012888538,-0.34258348,-0.056518808,-0.14652619,0.065990197,-0.18871078,-0.032817946,-0.094766247,0.018002473,-0.25798976,-0.056685979,-0.15352769,0.055609119,-0.33764526,-0.14749097,-0.13501565,-0.038909751,-0.23418199,-0.098877565,-0.13076171,-0.001290787,-0.36198377,-0.059533414,-0.10645622,0.06772066,-0.33919321,-0.039429388,-0.1541015,0.04472453,-0.35501146,-0.095329535,-0.11177564,0.094015063,-0.400075,-0.16012726,-0.14468329,0.016001624,-0.38116422,0.25875174,0.2528317,0.24578569,0.24505727
