# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 11:48:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35351f8cf743.json
# init = 2 (Default)
# random
#   seed = 1673525207
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141248-3-2e1857.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141248-3-65a029.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.000647414
# Diagonal elements of inverse mass matrix:
# 0.0251692, 0.00948577, 0.00444645, 0.117734, 0.0221379, 0.00386558, 0.0238825, 0.0109187, 0.0479603, 0.0398915, 0.00904076, 0.033522, 0.0375749, 0.0198679, 0.056878, 0.0201062, 0.675187, 0.342367, 0.85149, 0.689281, 0.266319, 0.393798, 0.270544, 0.393004, 0.495998, 0.430314, 0.317689, 0.328144, 0.290429, 0.28985, 0.36512, 0.23017, 0.276131, 0.344643, 0.332029, 0.321505, 0.311586, 0.279865, 0.239774, 0.317529, 0.273635, 0.268952, 0.283786, 0.298436, 0.255924, 0.263752, 0.320019, 0.280441, 0.313987, 0.382135, 0.458878, 0.333026, 0.369503, 0.283776, 0.239156, 0.2863, 0.219994, 0.249625, 0.309254, 0.287741, 0.222064, 0.240438, 0.300916, 0.278854, 0.617954, 0.576322, 0.459299, 0.618559, 0.391519, 0.527469, 0.385124, 0.611762, 0.436891, 0.417053, 0.411255, 0.355815, 0.406523, 0.370021, 0.439803, 0.38638, 0.250355, 0.418562, 0.432749, 0.46011, 0.550363, 0.37761, 0.382911, 0.327401, 0.315768, 0.443292, 0.49712, 0.558708, 0.444436, 0.498206, 0.596887, 0.503598, 18.7329, 306.264, 0.930911
-19627.545,0.98047884,0.00064741443,10,1023,0,19681.469,-0.060637638,-0.22905731,-0.10224364,-0.02133182,-0.060532821,-0.11227689,-0.085050262,-0.20239253,-0.046831072,-0.1327158,-0.10024012,-0.2374071,-0.25043469,-0.14573346,-0.23967093,-0.083317369,0.088709603,0.41254395,0.089590009,0.28199299,0.17947422,0.048304958,0.11611587,0.25157787,0.24526857,0.30465621,0.072753903,0.36652127,0.3837981,0.098551195,0.43061054,0.12588098,0.050015088,-0.92476932,0.85690029,-0.53631016,0.35732221,0.19066495,0.73416016,0.22798542,-0.36440522,-0.28783983,0.64964829,0.13454729,-0.28712056,-0.45003368,0.28871799,-0.63444882,0.2771276,-0.31637172,0.8840267,-0.96059518,0.42616453,-0.84013537,1.5399557,-0.66205964,-0.15102731,-0.50374817,1.2120767,-1.8666258,0.41045229,0.35301875,0.82133069,-0.025184208,-0.092920516,-0.17168138,0.17383908,-0.83841702,0.18592769,0.11684931,0.72643644,-0.62226759,-0.20449426,-0.55849254,0.75909255,-1.8148719,0.28860212,0.3071991,0.60583886,-0.38374273,0.60902017,0.26689231,0.93843041,-0.28560329,1.1823206,0.48202149,1.5783401,-1.6570299,0.40108239,0.305892,0.69023551,-0.42184832,-0.57036616,-0.85448529,0.044603558,-2.5051744,-1.598912,7.8609532,0.013661111,-0.056200819,-0.14267356,0.015377646,-0.1082135,-0.081646194,-0.15039964,0.073816022,-0.13500331,-0.13489071,-0.12803121,-0.044041646,-0.090189549,-0.10229781,-0.14823816,0.06008463,-0.20024194,-0.010795562,-0.11731339,0.09812718,-0.23293489,-0.091691027,-0.15285959,-0.037889391,-0.14425765,-0.10258693,-0.14354342,0.055691072,-0.30179513,-0.099131819,-0.11358083,0.0042360949,-0.20872832,-0.069621554,-0.08893912,-0.0041938074,-0.25246842,-0.076071772,-0.097116931,0.088597575,-0.32229348,-0.11511788,-0.14087263,-0.045013176,-0.23227914,-0.13162828,-0.1248121,-0.015354271,-0.37805697,-0.016693904,-0.14800193,0.10973312,-0.36004869,-0.029214345,-0.098229663,0.0098138496,-0.30903573,-0.066960626,-0.10795061,0.057551754,-0.42132326,-0.15511562,-0.19088081,-0.077702629,-0.39867117,0.24779019,0.24892135,0.23387279,0.25052906
-19625.737,0.98440499,0.00064741443,10,1023,0,19664.275,-0.04945415,-0.28166534,-0.098549529,-0.024553421,-0.078137394,-0.1073466,-0.099245306,-0.21477202,-0.061030875,-0.19993363,-0.10049375,-0.27297917,-0.2138544,-0.16448073,-0.21636999,-0.046703708,0.10206878,0.5290858,0.080223446,0.25365539,0.28765768,0.058809344,0.12339984,0.27013818,0.21584332,0.31432319,0.067335488,0.3934029,0.38456307,0.1060492,0.42728911,0.13116664,0.36247996,-1.196951,1.1275979,-0.50102655,0.34933226,0.24095817,0.71782592,0.26381796,-0.13321001,-0.35110622,1.0001422,-0.50922882,-0.37954384,-0.34047808,0.44033076,-0.67577437,0.32197899,-0.22455456,0.51248985,-0.55203685,0.51561571,-0.67053833,1.7618109,-0.63700868,-0.60645657,0.058868235,1.1628037,-1.7796723,0.47581715,0.20884031,0.73087653,0.11570172,-0.096695666,-0.13327043,0.22348998,-0.84468998,0.50294802,0.18503783,0.79564115,-0.476097,-0.45585653,-0.93485237,1.0086748,-2.1847143,0.32311463,0.29396163,0.61667021,-0.32461687,0.48682699,0.3528453,0.80469635,-0.40580168,1.2102186,0.53864543,2.1390184,-1.3009022,0.35396202,0.22693791,0.70066112,-0.51886306,-0.82798646,-0.52851307,0.071429206,-2.8343488,-1.3105159,6.6799653,0.0089245812,-0.012456262,-0.17162548,0.065638398,-0.10059332,-0.096838603,-0.1541778,0.09812616,-0.14208301,-0.1092361,-0.12671648,-0.018314673,-0.13940162,-0.12082676,-0.11091752,0.08713885,-0.19596723,0.014482336,-0.14273224,0.069284247,-0.23693503,-0.077023581,-0.14678052,-0.0037356577,-0.14480866,-0.17408195,-0.091980975,0.044244481,-0.31885658,-0.086235639,-0.15835628,-0.017334364,-0.18351657,-0.081901988,-0.089796406,-0.012792057,-0.24335156,-0.041845401,-0.14177195,0.050154837,-0.34958196,-0.13118907,-0.16344249,-0.032574136,-0.24760255,-0.14586494,-0.15733381,-0.030379321,-0.40068438,-0.026638723,-0.078163134,0.09560209,-0.36991074,-0.036138005,-0.10735781,0.062360469,-0.30244037,-0.065125875,-0.11940189,0.083014872,-0.43807453,-0.15530791,-0.11602699,-0.037334579,-0.41847572,0.24973655,0.24971252,0.23396196,0.25012101
-19637.836,0.9620927,0.00064741443,10,1023,0,19690.011,-0.064952926,-0.28499943,-0.10033147,-0.027380124,-0.086627519,-0.1080353,-0.13330955,-0.20086537,-0.072958015,-0.20705354,-0.090949214,-0.2637862,-0.27012441,-0.16504687,-0.2141862,-0.043829756,0.11065539,0.50351114,0.085802792,0.25120975,0.27780092,0.061381589,0.13446419,0.2796645,0.21098991,0.31718367,0.063989442,0.38505334,0.40754073,0.10733343,0.43407748,0.12808192,0.28142256,-1.2654748,1.2175805,-0.48082369,0.37796588,0.27619416,0.67271943,0.22728441,-0.1818164,-0.27468948,0.87322579,-0.56740745,-0.32633922,-0.26019771,0.53112018,-0.70005207,0.32140359,-0.19026453,0.61023288,-0.51320688,0.51046361,-0.63684522,1.6976101,-0.63043955,-0.63938185,0.096381982,1.1484328,-1.838912,0.53849393,0.20343109,0.75988573,0.10589941,0.036606551,-0.09445593,0.14184018,-0.82784067,0.48775621,0.20657851,0.83101608,-0.37029903,-0.493537,-1.0100292,0.97533419,-2.1406869,0.32313034,0.20556373,0.539226,-0.29284717,0.52057829,0.37242135,0.81343407,-0.44025489,1.2018512,0.54412824,2.0008647,-1.3119412,0.27507333,0.18436902,0.72038884,-0.54280478,-0.82984391,-0.52818988,0.18030033,-2.9163788,-1.0576177,5.6097675,0.0077218225,-0.033812002,-0.20498454,0.069778927,-0.11815866,-0.094689397,-0.14593259,0.0537223,-0.17055919,-0.11593183,-0.1239006,-0.025406261,-0.14901662,-0.10935972,-0.092744328,0.10604244,-0.20324003,0.0026586934,-0.13948318,0.082895737,-0.22919686,-0.076702232,-0.14712587,-0.0038332938,-0.14673268,-0.21928352,-0.12034963,0.021113533,-0.38057737,-0.050267737,-0.14397292,0.01164769,-0.17124907,-0.065234402,-0.092887264,-0.043031168,-0.24762405,-0.052345236,-0.14153021,0.056531189,-0.32450634,-0.12253037,-0.15558042,-0.028538123,-0.22793058,-0.13936378,-0.1846332,-0.056155427,-0.37654798,-0.05796755,-0.11834754,0.061383109,-0.44954621,-0.036048053,-0.10664372,0.049712799,-0.30586202,-0.09478306,-0.13415576,0.098518373,-0.44980553,-0.15011776,-0.11148133,-0.020736544,-0.41736516,0.2503839,0.24994597,0.23519601,0.25313246
-19635.398,0.96702023,0.00064741443,10,1023,0,19681.682,-0.070473208,-0.32323589,-0.075220946,-0.058352566,-0.068006379,-0.10639264,-0.13311069,-0.1954714,-0.022774412,-0.16689804,-0.081384755,-0.22259787,-0.20318949,-0.16591464,-0.25504361,-0.082698415,0.087287524,0.45298051,0.083318212,0.15323846,0.3591168,0.061212427,0.10777949,0.22523669,0.22695092,0.23839395,0.076869684,0.41330908,0.53423523,0.11976297,0.54466441,0.12070459,0.33209329,-0.72700304,0.74869564,-0.52126299,0.46377511,0.44075067,0.72387377,0.40795555,0.10939585,-0.36301119,0.88344119,-0.38502779,-0.36631719,-0.18694613,0.65354443,-0.69417274,0.26235772,-0.19023854,0.51587304,-0.47395922,0.016091376,-0.37244373,1.2211728,-0.73512358,-0.77828583,0.0011680416,0.93543612,-1.7347808,0.57982614,0.38791176,1.0700173,-0.10996737,-0.18191741,-0.22702337,0.29066003,-0.97678952,0.37396731,0.23014603,0.863039,-0.56748315,-0.53411459,-0.751964,0.63047816,-2.0688906,0.25853525,0.14654337,0.45849814,-0.2865278,0.3925949,0.18847307,0.68898116,-0.33443721,0.98606364,0.73124007,1.60993,-1.257908,0.36810736,0.17977081,0.61069056,-0.36490968,-0.43435937,-0.71353135,0.35050147,-2.3369627,-3.5284209,15.689254,0.0080861439,-0.041485608,-0.1339315,-0.0051214197,-0.11597296,-0.1131548,-0.12358442,0.0046648228,-0.13843997,-0.066106279,-0.10546639,-0.0016142058,-0.10730077,-0.11448645,-0.086999903,0.041795576,-0.16472653,0.026210686,-0.13632424,0.11725229,-0.2382131,-0.10540765,-0.12919083,-0.03164169,-0.15139134,-0.21699394,-0.13298479,-0.032289854,-0.32008448,-0.064873276,-0.10809944,0.045535753,-0.22024009,-0.064060736,-0.074297573,0.043191149,-0.24445769,-0.077746498,-0.11203262,0.038845233,-0.30218259,-0.12244198,-0.13918799,-0.032920099,-0.24041972,-0.1157429,-0.16203016,-0.033096422,-0.34102241,0.0065485304,-0.10250054,0.16488852,-0.38185764,-0.047820733,-0.07833916,0.026895361,-0.31656544,-0.05454863,-0.15712885,0.077577802,-0.45379693,-0.13512758,-0.16882492,-0.040391279,-0.36478054,0.24695905,0.24728076,0.24154299,0.24777977
-19625.85,0.99422948,0.00064741443,10,1023,0,19679.942,-0.082234511,-0.32035588,-0.082590047,-0.10826761,-0.033432736,-0.10226044,-0.10545097,-0.19941454,-0.038788909,-0.18837582,-0.087066138,-0.25408379,-0.17046686,-0.12897477,-0.23194461,-0.07662481,0.087570977,0.5067894,0.12589714,0.20030674,0.42814617,0.080415354,0.13542609,0.17750557,0.1975164,0.23554277,0.095082894,0.35800549,0.35891866,0.1213009,0.39325407,0.12140497,0.2641619,-0.55325715,1.3892507,-0.48055089,0.48130973,0.31118036,0.70467033,0.34154446,-0.083991903,-0.61176688,0.81860098,-0.50995345,0.065486257,-0.15240858,0.77796932,-0.50368417,0.13551346,-0.20822114,0.34178771,-0.49480946,0.3019745,-0.54903428,1.5729013,-0.66438386,-0.81548917,-0.050311718,0.98292871,-1.7034862,0.81238914,0.30981476,1.2551441,0.12121635,-0.14181573,-0.34270254,0.046930675,-1.0407871,0.56546252,0.14591701,0.96883379,-0.53074521,-0.30397205,-0.72335612,0.93648567,-1.5655736,0.34122169,0.19877959,0.57473363,-0.388877,0.31334453,0.12378075,0.80432409,-0.6882271,0.61693645,0.21256358,1.5854013,-1.4478183,0.41168541,0.31687227,0.72338752,-0.50461376,-0.285513,-0.54274308,0.20786719,-2.7618338,-6.1414075,25.968036,0.0077385926,-0.059101595,-0.13068378,0.039423527,-0.12431682,-0.076433208,-0.16265297,0.036763578,-0.14726477,-0.093164387,-0.15960975,0.020469474,-0.14679173,-0.095150276,-0.13879608,0.047564882,-0.20915895,0.024586834,-0.12258182,0.11290236,-0.24528351,-0.07797705,-0.14641122,0.024224978,-0.1556871,-0.21588948,-0.11226449,0.027663221,-0.33614745,-0.055210942,-0.1444207,0.023380527,-0.17789796,-0.06679984,-0.10647828,-0.029519331,-0.24436142,-0.055185208,-0.15400612,0.039825982,-0.31338901,-0.11596868,-0.15584493,0.0019776301,-0.2359254,-0.13192455,-0.18291961,-0.048325997,-0.39330389,-0.058001664,-0.12603964,0.11822006,-0.41748441,-0.05413983,-0.10319062,0.063335828,-0.30459643,-0.070047648,-0.1073333,0.052530478,-0.43038603,-0.11128751,-0.14251652,-0.051388698,-0.41192517,0.24977688,0.24953926,0.24681933,0.25073603
-19620.547,0.94702472,0.00064741443,10,1023,0,19679.384,-0.094135007,-0.31047714,-0.05273505,-0.10957238,0.063219927,-0.11772759,-0.10171647,-0.20269723,-0.024862506,-0.10295208,-0.09410561,-0.22327352,-0.23515311,-0.10224161,-0.32599073,-0.11382179,0.076076398,0.58903223,0.13367292,0.21010885,0.53501441,0.065007694,0.12029302,0.18285657,0.15294458,0.26605509,0.092551925,0.3469503,0.35379428,0.13245509,0.29347693,0.11755651,0.21444126,-0.41363076,1.9469288,-0.30348597,0.36106857,0.3216848,0.56717123,0.26573701,-0.25269531,-0.44106896,0.31952893,-0.2795277,-0.054857471,-0.026089972,0.91677149,-0.21770081,-0.068287274,-0.36326364,0.099159784,-0.56024546,0.0027486685,-0.29138724,1.9357056,-0.56262719,-0.58333161,-0.15639682,0.67304275,-1.8897753,0.83256303,0.50750685,1.3092368,-0.077303523,-0.10156745,-0.3610441,0.21822552,-1.4346152,0.068698924,0.02994585,0.5903824,-0.8082268,-0.44308471,-0.50367493,1.2122349,-1.2783859,0.24944696,0.22528579,0.55316789,-0.50141854,0.68421822,0.358757,1.0218673,-0.42658265,0.25466765,0.054154059,1.1965283,-1.6192282,0.81691121,0.69613292,1.2263282,-0.40723657,-0.4335558,-0.29278513,0.48160838,-2.10824,-4.2260875,18.532174,0.00859892,-0.077821089,-0.12560255,0.053980322,-0.11722313,-0.097796115,-0.12099443,0.023604997,-0.15394947,-0.086513568,-0.11169402,-0.010022686,-0.090100333,-0.12109842,-0.11505411,0.083049429,-0.15531324,0.026685251,-0.13113136,0.11627184,-0.23651947,-0.1175489,-0.13667,0.0081081669,-0.15430268,-0.17188719,-0.12052992,-0.020754123,-0.32904325,-0.050457617,-0.10989627,0.036705307,-0.21683269,-0.040396698,-0.080082245,0.0085139049,-0.24427912,-0.084674384,-0.094984836,0.054122158,-0.31798493,-0.13511395,-0.14072169,0.018089061,-0.21242269,-0.13672782,-0.14511054,-0.031351754,-0.39724083,0.0069193831,-0.10822694,0.12637768,-0.38607561,-0.068509589,-0.095068634,0.05624465,-0.31671663,-0.086246135,-0.12169178,0.033908296,-0.44550527,-0.1647891,-0.14824059,-0.057205588,-0.36165913,0.2464916,0.24698803,0.24152379,0.24770141
