# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 12:00:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353538cb7469.json
# init = 2 (Default)
# random
#   seed = 1110944005
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141300-1-1df28f.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141300-1-8ed53f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00482356
# Diagonal elements of inverse mass matrix:
# 0.0123382, 0.0139201, 0.00276139, 0.01974, 0.0239117, 0.0174144, 0.0488742, 0.1453, 0.0303935, 0.0475747, 0.0167082, 0.0302174, 0.0741418, 0.0278233, 0.0379239, 0.0283272, 0.386522, 0.387102, 0.711537, 0.350723, 0.351575, 0.576611, 0.393715, 0.621591, 0.45497, 0.363357, 0.334456, 0.331755, 0.376112, 0.341075, 0.341694, 0.292176, 0.307552, 0.285704, 0.433679, 0.273712, 0.277642, 0.307961, 0.292779, 0.332211, 0.281361, 0.275302, 0.310753, 0.292319, 0.298846, 0.286162, 0.29334, 0.272716, 0.381889, 0.326387, 0.413072, 0.257884, 0.24487, 0.31041, 0.300208, 0.288967, 0.265264, 0.276115, 0.305455, 0.283836, 0.290411, 0.25788, 0.276457, 0.265983, 0.463165, 0.514947, 0.550747, 0.576363, 0.404897, 0.547187, 0.468439, 0.535104, 0.401601, 0.387629, 0.469881, 0.381154, 0.420814, 0.426956, 0.424426, 0.40751, 0.291405, 0.347947, 0.349847, 0.345356, 0.389164, 0.417996, 0.501851, 0.421444, 0.483386, 0.481979, 0.464226, 0.592472, 0.557557, 0.509984, 0.540172, 0.479796, 11.5187, 176.675, 0.959404
-19645.969,0.98302263,0.0048235568,10,1023,0,19680.553,-0.036304063,-0.087862329,-0.082278329,0.019343535,0.050194899,-0.06220914,-0.14626973,-0.052843653,-0.15928519,-0.083957162,-0.12090971,-0.35414904,0.58280733,-0.091888278,-0.25253139,0.063492072,0.079197172,0.055958771,0.044315397,0.11967312,0.20089953,0.17986554,0.11716578,0.092542032,0.16368412,0.6578167,0.079655074,0.47219317,0.46523463,0.23982762,0.15447093,0.22834683,0.30883459,-1.4895369,1.1999616,-1.1707749,0.30193045,-0.63240151,2.4934915,-1.0329075,-0.93111369,-1.1728163,2.0589755,-0.45283098,-0.96365757,-1.0853823,0.13890978,-1.84041,-0.14106543,-0.811294,0.23432942,-1.3983911,-0.27961302,-0.28207894,0.61409435,-0.47555279,0.32098112,-0.081597554,1.0144946,-1.8481478,0.099602511,-0.26936652,0.41240375,-1.2437396,0.4812775,0.3591575,0.89568503,-0.29918129,0.039270355,-0.099179876,0.22758551,-0.3229239,-0.29104129,-0.26871396,1.134931,-1.4776159,0.4892796,0.41837656,0.69601059,-0.12741109,-1.321479,-1.5461364,-1.068009,-2.010393,0.20397998,-0.03289783,0.52374132,-0.95291865,0.85029606,0.7595343,1.813679,-0.97102069,-0.84660262,-0.90267114,-0.26832958,-2.0255109,-0.86512203,4.4462702,0.094231628,-0.011845237,-0.15427117,0.058729503,-0.12902613,-0.070966672,-0.12325074,0.051670392,-0.14566256,-0.123541,-0.13425215,0.0089659904,-0.10234571,-0.095980371,-0.11054754,0.035967301,-0.20090406,0.021854922,-0.11279368,0.097271567,-0.23074121,-0.11250189,-0.11294542,0.048245272,-0.1477447,-0.10866173,-0.15583018,-0.027405686,-0.36280941,-0.043626234,-0.077771378,-0.014678972,-0.16794184,-0.080507705,-0.10049681,-0.012675772,-0.20825642,-0.058124467,-0.14919934,0.065752388,-0.2963819,-0.14409263,-0.14231414,-0.030506698,-0.23860931,-0.12311456,-0.15659449,-0.025497593,-0.41431169,-0.031990463,-0.13650888,0.085932544,-0.35249708,-0.042968245,-0.099778086,0.033719354,-0.32042449,-0.12118537,-0.13520542,0.027629299,-0.40252586,-0.12982695,-0.14263002,0.002219863,-0.39902692,0.24349707,0.24483351,0.25532875,0.2696416
-19640.464,0.99638081,0.0048235568,10,1023,0,19686.553,-0.071625573,-0.12278965,-0.10887831,-0.015508869,0.048113742,-0.099718872,-0.11270806,-0.017921128,-0.23714297,-0.099332144,-0.12520691,-0.32878732,0.73292611,-0.0032915485,-0.24699795,0.014282161,0.061021858,0.067488462,0.03072435,0.12046677,0.26133855,0.15300597,0.10209856,0.10779909,0.20550718,0.93355147,0.1021359,0.43010956,0.76424598,0.25394201,0.15182045,0.29773376,-0.49162249,-1.6407406,0.97597976,-0.5505419,0.24127357,-0.23232628,2.4352908,-0.79724795,-0.87005556,-1.1118716,1.6738623,-0.45593058,-1.0291618,-0.87852705,0.56706712,-1.4522294,-0.19211462,-0.59099492,0.25095948,-1.0751633,0.087476127,-0.051817829,0.50953259,-0.40628855,-0.73077162,-0.0068450571,1.3947397,-2.1546755,-0.18765186,-0.36489182,0.54064846,-1.6349425,0.7530115,0.68631801,1.0688435,0.13786433,0.013840007,-0.0039708652,0.14702108,-0.23933495,-0.27252151,-0.37689159,0.71755112,-1.0385942,0.495052,0.4368442,0.66665278,-0.089523594,-0.99639387,-1.187723,-0.81412796,-1.4391559,-0.11647086,-0.39710587,0.1589286,-1.183391,1.0546976,0.75649968,1.7661909,-0.94756371,-0.48569111,-0.56290114,-0.11689763,-1.4616328,0.46066667,-0.34737059,0.072820519,-0.10162529,-0.17174661,-0.012069475,-0.10522066,-0.10650647,-0.13846899,0.041564386,-0.17659469,-0.1356102,-0.14303984,-0.057449981,-0.12288648,-0.13948867,-0.12134219,0.052803876,-0.19045425,-0.0020932148,-0.10633601,0.11369913,-0.23286787,-0.086334503,-0.10764731,-0.021757346,-0.16188345,-0.18731879,-0.11340693,0.029692845,-0.33269732,-0.038149827,-0.057256134,0.040360284,-0.19416644,-0.082393699,-0.096099691,-0.017487961,-0.20881086,-0.086411785,-0.10303915,0.037919601,-0.32276364,-0.15304114,-0.16370107,-0.051919182,-0.23128466,-0.11586072,-0.14089645,-0.042053583,-0.36729227,-0.028563905,-0.1747864,0.11073209,-0.36694302,-0.032868393,-0.10413341,0.037067099,-0.30380423,-0.08687329,-0.13214583,0.021145945,-0.39085749,-0.13032448,-0.15331251,-0.02052221,-0.42089528,0.24156072,0.24288465,0.24101781,0.26694179
-19633.967,0.99346285,0.0048235568,10,1023,0,19683.654,-0.098033246,0.017357773,-0.12232537,-0.13238187,-0.12165656,-0.092222226,-0.26010421,-0.098617138,-0.066676465,-0.13817908,-0.16029767,0.29868376,-0.0010772359,-0.023930054,0.16522128,-0.13504756,0.10105055,0.099597249,0.06993398,0.17661745,0.30245704,0.071658837,0.27510453,0.13495943,0.14019803,0.20377994,0.14132941,0.48697062,0.42680566,0.26548778,0.53374848,0.19912125,-0.24194314,-0.091224486,1.555318,-0.13713383,-0.53524367,-1.1854528,0.013694149,-1.6217368,0.2180122,0.029176164,0.53263868,-0.276882,-0.10813047,0.14973353,0.80095767,-0.24533528,0.44598061,-0.074928705,0.6243654,-0.30140662,-0.45140432,-0.20710801,1.8067889,-1.1022021,0.23938944,0.55576523,1.146622,-0.32832958,0.22744258,0.016472321,0.73610922,-0.88057346,-0.0057073606,-0.1458479,0.67193404,-1.5061144,0.35645299,0.029925722,0.94950107,-0.88076872,0.12435059,-0.0067742011,0.95363082,-0.41440577,-0.84348997,-0.88496223,-0.62323307,-1.4385161,-0.085783989,-0.24686654,0.26907356,-0.80676388,-0.026892624,-0.32444811,0.30344399,-1.1821957,-0.388729,-0.53275996,-0.26158931,-1.1107797,-0.09250432,-0.17826756,0.54641373,-1.1405477,-0.15974024,2.0701907,0.081045085,-0.12248173,-0.10725153,0.05913249,-0.11189069,-0.035951024,-0.10071006,0.018721672,-0.14416275,-0.10707891,-0.12028496,-0.085075826,-0.14168883,-0.1514796,-0.10593632,0.0090812315,-0.17571236,0.013233416,-0.14431928,0.067187151,-0.21281912,-0.12456933,-0.10706335,0.037250168,-0.17120475,-0.19424709,-0.10721068,0.055336683,-0.35042917,-0.067921617,-0.096394043,0.00072774299,-0.21745883,-0.067476625,-0.087124053,0.027527366,-0.27783073,-0.065541111,-0.13208082,0.055310193,-0.31766208,-0.14272327,-0.16125506,-0.025521585,-0.2188654,-0.11207107,-0.13226685,-0.0048124345,-0.40183134,-0.037690328,-0.10644127,0.11376488,-0.34540863,-0.031069717,-0.11006706,0.05663062,-0.33778857,-0.042262232,-0.11913854,0.025598384,-0.42765569,-0.15346714,-0.17054442,-0.026244978,-0.36215485,0.24719958,0.24889532,0.23418418,0.26842218
-19636.744,0.93114713,0.0048235568,7,179,1,19677.832,-0.089205098,-0.0035564093,-0.1194217,-0.12312284,-0.13688425,-0.081968682,-0.23805194,-0.083855355,-0.091020309,-0.12420762,-0.15899257,0.28150475,-0.031704762,-0.028823073,0.16714531,-0.12690603,0.10915732,0.10489819,0.063550384,0.16026293,0.31100442,0.068819337,0.25280971,0.11945337,0.1278647,0.2201766,0.15680079,0.48218023,0.43480472,0.2481492,0.5446801,0.19615842,-0.23518007,-0.13927857,1.4516017,-0.15410927,-0.61604372,-1.1734001,-0.038545891,-1.5771514,0.15277681,-0.072901811,0.54189015,-0.16496556,-0.080915957,0.23451111,0.77834566,-0.28137054,0.36518241,0.047099125,0.74974838,-0.33553106,-0.46685653,-0.17073394,1.8399025,-1.1217065,0.2065079,0.50555117,1.2014687,-0.25834298,0.18302057,0.049575706,0.81571163,-0.86688842,0.021896371,-0.13689145,0.53619788,-1.4584935,0.3289043,0.10907229,0.88475399,-0.9950196,0.034080855,-0.019896896,0.94845621,-0.40283573,-0.85545005,-0.9039046,-0.65305572,-1.3710855,-0.099689623,-0.15234392,0.23645666,-0.76355743,-0.071037088,-0.36347962,0.25778991,-1.2011265,-0.51952036,-0.56177722,-0.30054771,-1.0685401,-0.17262142,-0.25656566,0.60426102,-1.2287951,-0.12361104,1.9371144,0.10430742,-0.11487672,-0.10440837,0.069247848,-0.10602725,-0.06817828,-0.12664396,-0.0075998035,-0.16899673,-0.10971268,-0.12405464,-0.084984374,-0.12990533,-0.13609067,-0.085539401,0.0016171177,-0.16821611,-0.023310906,-0.12223621,0.096290809,-0.24123589,-0.11409744,-0.093718479,0.044652186,-0.15916378,-0.18584473,-0.11024369,0.065691013,-0.30336355,-0.061992932,-0.07793337,0.013584145,-0.18740809,-0.088220536,-0.10852389,-0.022459525,-0.27751015,-0.051790587,-0.10019245,0.070594508,-0.34328765,-0.15364866,-0.16211241,-0.010273885,-0.22215752,-0.13097635,-0.15434017,-0.033385803,-0.37960559,-0.075050281,-0.097944618,0.071107713,-0.36370314,-0.046450869,-0.11902025,0.035147287,-0.32688166,-0.11582709,-0.13884356,0.0034429552,-0.41486723,-0.16076717,-0.17723354,-0.008375138,-0.36794454,0.2482858,0.24841569,0.23553336,0.26890638
-19642.007,0.96359037,0.0048235568,10,1023,0,19693.094,-0.096710566,-0.034771134,-0.056657435,-0.079903132,-0.27123748,-0.065715518,-0.078072603,-0.14674906,-0.023020616,-0.063131608,0.0048515226,0.064987966,0.11681369,0.031808559,-0.13939098,0.11094418,0.069644378,0.063679203,0.062603362,0.15173609,0.50105475,0.13017445,0.1285068,0.22314139,1.1002091,0.57238291,0.21030121,0.39414276,0.22472168,1.7802985,0.45519393,0.30906941,0.17738503,-0.74511139,1.0613011,-0.36389623,-0.72041864,-1.4636996,1.0050222,-1.7425469,-0.83503257,-1.1331593,0.53624665,-1.1665673,-0.34083179,-0.38001053,0.78664705,-0.55837384,0.57856065,0.25133917,0.64861887,0.036412112,-0.14965538,-0.77806484,0.57939067,-0.7866943,-0.96949442,-0.33320315,0.60656371,-1.9718298,0.44724623,-0.010073244,1.0148502,-0.19218483,-0.048669307,-0.092281152,0.026174937,-0.26467194,-0.0099133146,-0.094910923,0.24658492,-0.5021008,-0.71167902,-0.71857363,-0.4040344,-1.2093948,-0.4481845,-0.50370318,-0.26953084,-1.2008213,-0.74436487,-0.90104742,0.019746568,-2.120004,-0.073116308,-0.060389902,0.020637703,-0.19506368,0.13290045,0.0050913397,0.4262724,-0.72352309,-0.76915763,-0.94599268,-0.50738435,-1.7886374,-0.57052978,3.5712272,0.043936847,-0.084356696,-0.14860339,-0.022796911,-0.12205389,-0.080646819,-0.12797836,0.02922788,-0.14573513,-0.10893328,-0.12759702,-0.023086592,-0.12968847,-0.13161962,-0.13756445,0.03945962,-0.1646286,0.018653083,-0.14530279,0.053756085,-0.25299302,-0.085196825,-0.16699968,0.0097063424,-0.16812301,-0.20265922,-0.12089147,-0.00012504384,-0.33146613,-0.046949918,-0.14899682,0.07970601,-0.18963345,-0.076567031,-0.12454918,0.0057772868,-0.31421509,-0.06880582,-0.117457,0.078009389,-0.35052552,-0.14481544,-0.14626538,-0.080117401,-0.24948567,-0.11166071,-0.133543,-0.041245661,-0.40830704,-0.050461238,-0.085671203,0.12125117,-0.35959718,-0.098360294,-0.075703492,0.068549829,-0.31546302,-0.078895498,-0.13707343,0.054645633,-0.46873429,-0.12677891,-0.18143322,-0.045872804,-0.44186891,0.24620873,0.25230959,0.24497129,0.27319311
-19631.002,0.80718619,0.0048235568,10,1023,0,19688.248,-0.012569894,-0.052219124,-0.21006396,-0.0081849894,0.05662818,-0.1236017,-0.086522362,-0.1377893,-0.091779628,-0.014124536,-0.13458347,-0.13623642,-0.096647294,-0.10992853,-0.015209558,-0.20942755,0.13207907,0.080364403,0.23812907,0.11972764,0.28394215,0.075531562,0.18480002,0.10502873,0.073018607,0.25450192,0.10946621,0.27479555,0.1644251,0.094038591,0.21467608,0.14991209,-0.058015535,-1.0496048,0.44874339,-0.68878309,-0.14742613,-1.2580151,0.59890259,-1.3024046,0.50819621,0.46346459,0.93315522,0.40922128,-0.60290605,-0.84369108,0.83360067,-1.5428704,-0.10843077,-0.60527814,0.11731614,-1.0063934,0.26400957,-0.28726597,1.754295,-0.56441931,-0.33947031,-0.16054099,0.7125537,-1.1953043,0.76065454,0.33624179,1.4263332,-0.60778848,0.70146406,0.32404525,1.6441536,-2.0036205,-0.14730699,-0.45434849,0.27225093,-1.1965254,0.06952852,0.016106145,0.74079019,-0.86139189,0.083481655,-0.033883569,0.47151644,-0.98571526,0.39776718,-0.068200592,1.2076412,-1.3786419,0.52632794,-0.081936094,1.4202743,-2.1043549,-0.35779211,-0.563349,0.4793826,-1.9054567,0.68657551,0.41498217,1.2198577,-1.1880556,-0.64993442,3.8248364,0.037842402,-0.020232532,-0.15120072,0.046699716,-0.10354373,-0.064066937,-0.15331876,-0.0040886751,-0.1568861,-0.089047674,-0.099699571,0.012147421,-0.11261648,-0.08036951,-0.10919813,0.091620053,-0.19290922,0.025840114,-0.1152358,0.089939176,-0.22912933,-0.10366065,-0.14529935,0.008902937,-0.16623318,-0.14925648,-0.11619034,0.045157576,-0.30741462,-0.057898717,-0.10247425,0.012016665,-0.20162455,-0.040559699,-0.068118295,0.028274178,-0.23808121,-0.051614446,-0.1297571,0.055163847,-0.31864255,-0.12697245,-0.13282039,-0.053491978,-0.22887677,-0.11329603,-0.14554747,-0.006665799,-0.40710659,-0.031244385,-0.10786118,0.10191924,-0.32333063,-0.060433395,-0.11763369,0.023632061,-0.3078191,-0.092018968,-0.13614712,0.087702421,-0.42426555,-0.10650158,-0.1472167,-0.02655613,-0.38753144,0.24727336,0.25020416,0.25299833,0.27121082
