# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 12:00:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353538cb7469.json
# init = 2 (Default)
# random
#   seed = 1110944005
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141300-4-1df28f.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141300-4-8ed53f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00908469
# Diagonal elements of inverse mass matrix:
# 0.0131219, 0.0053405, 0.00473632, 0.0164751, 0.0201991, 0.00313891, 0.028756, 0.0128964, 0.0382894, 0.0215949, 0.0223871, 0.0655778, 0.066805, 0.0443552, 0.0526427, 0.0439186, 0.403665, 0.308108, 0.906095, 0.378721, 0.316998, 0.31887, 0.359611, 0.352377, 0.507788, 0.315313, 0.463456, 0.355818, 0.370067, 0.375051, 0.347952, 0.419869, 0.286373, 0.201017, 0.464576, 0.244819, 0.282873, 0.267413, 0.206197, 0.320744, 0.31179, 0.235291, 0.298473, 0.298846, 0.31628, 0.282814, 0.238686, 0.272744, 0.376801, 0.22596, 0.491527, 0.239372, 0.272673, 0.266589, 0.201597, 0.313739, 0.292193, 0.20479, 0.285835, 0.284892, 0.285815, 0.273953, 0.224369, 0.265823, 0.4621, 0.446402, 0.55095, 0.446445, 0.398628, 0.471446, 0.353565, 0.51174, 0.443505, 0.40908, 0.509126, 0.386791, 0.464028, 0.418512, 0.345146, 0.414688, 0.281115, 0.239217, 0.416494, 0.328061, 0.401748, 0.329078, 0.417576, 0.437595, 0.444725, 0.33793, 0.499915, 0.515206, 0.518651, 0.501324, 0.486771, 0.455835, 2.51703, 38.5426, 0.678838
-19647.025,0.95628142,0.0090846921,9,511,0,19689.032,-0.033911398,-0.043483838,-0.095583454,-0.078132777,-0.025086976,-0.0065190954,-0.17563034,-0.084937982,-0.0082146815,0.13768521,-0.14036795,-0.37541964,-0.045381347,-0.20305129,-0.1022676,-0.26075607,0.13377431,0.085165691,0.044218173,0.063311145,0.19254863,0.21361747,0.12740463,0.18134077,0.060801607,0.50554442,0.1125321,0.40009462,0.16612745,0.34137624,0.7909858,0.099506453,-0.60513009,-0.95216342,0.56796391,-0.47287462,-0.4832695,-1.6326564,1.1208512,-1.4081129,-0.54668408,-0.091281523,0.65164663,-0.38601124,-0.85446886,-0.84092343,2.179515,-1.4625553,0.11498974,-0.57852189,0.82103281,-1.0102326,-0.34968607,-0.52957823,0.0066553305,-0.70186566,0.21577576,0.21452532,1.6016674,-1.0764923,-0.0035099645,-0.10284438,0.75225493,-0.60742597,-0.51643359,-0.98197684,-0.66981907,-4.3037582,-0.42702725,-0.41505288,-0.1451449,-0.86386719,-0.21956729,0.026460544,1.1015779,-1.0090993,0.59958241,0.45111065,0.81013518,-0.13690631,0.051489693,-0.58309558,0.97180821,-1.8240199,0.42969742,0.24090482,0.75029376,-0.32750503,0.012491823,-0.013655993,0.20827889,-0.37598452,0.80273292,1.1450244,2.3854031,-1.5199548,-0.04086904,1.4847131,0.1118979,-0.11486226,-0.1612864,0.042067583,-0.097169874,-0.084641818,-0.18253014,0.051974226,-0.16340675,-0.11975683,-0.099619756,-0.06676883,-0.11265217,-0.13223018,-0.1313726,0.059854814,-0.17072883,-0.0029458596,-0.13648057,0.13300177,-0.21960587,-0.081218151,-0.11964626,-0.0050974005,-0.15644986,-0.14813951,-0.14829882,0.0284295,-0.31278044,-0.085574482,-0.10358786,0.051476503,-0.19508907,-0.039614673,-0.067920451,-0.048940757,-0.2698901,-0.078196029,-0.072142452,0.06430802,-0.29903802,-0.16507632,-0.13739029,-0.016405074,-0.25392401,-0.13552994,-0.19493269,-0.05128891,-0.43019511,-0.036827496,-0.14224953,0.11606267,-0.34840113,-0.056362801,-0.12081211,0.053081174,-0.31485372,-0.092386747,-0.1130693,0.062478043,-0.39966602,-0.18087897,-0.14681875,-0.023393073,-0.41200138,0.24546465,0.25055242,0.23836983,0.27445207
-19647.927,0.97074823,0.0090846921,7,243,1,19689.49,-0.0059114595,-0.0097282091,-0.10067423,-0.085126897,-0.024023087,0.01732905,-0.16282099,-0.092362717,-0.059342806,0.11144047,-0.15455709,-0.33738104,-0.10199024,-0.20619875,0.025246394,-0.2577747,0.1549544,0.073789568,0.062148712,0.06511474,0.15081096,0.18470585,0.12378552,0.16963422,0.04252549,0.43352,0.11101771,0.32896621,0.16429505,0.33364532,0.87304577,0.097327272,-0.29559565,-1.0479485,0.35139408,-0.70614915,-0.33423401,-1.8444665,0.49894911,-1.5534441,-0.93220186,-0.75805607,1.2138506,-0.058367336,-0.38482432,-0.69300786,2.2508729,-1.8444554,0.28458963,-0.54432633,0.50328879,-1.2692229,-0.72540011,-0.67327319,0.012393094,-0.89983113,0.0704688,0.55312016,1.3976517,-1.1537039,0.2955446,-0.1923214,0.66668769,-0.62388459,-0.86896637,-0.80215344,0.11320649,-4.0922271,-0.40942614,-0.43352475,-0.10016944,-0.97508511,0.22671419,0.067454659,1.2409879,-0.70846194,0.67068714,0.57233446,0.93645786,-0.17059511,0.3291663,0.075546532,0.90602476,-1.6909451,0.43371468,0.24558172,0.75939227,-0.35242893,-0.11708604,-0.21674737,0.015812663,-0.51106952,1.2011162,1.1110393,1.7896977,-1.4253737,-0.1445571,1.8627564,0.12932008,-0.051715306,-0.16829569,0.0485386,-0.11533238,-0.034391193,-0.1458306,0.02708903,-0.12435618,-0.15860938,-0.14778644,-0.025234979,-0.10430169,-0.11018463,-0.13025192,0.061438108,-0.20522813,0.018896149,-0.10611346,0.05187838,-0.21543581,-0.11665659,-0.10702845,0.019618127,-0.14887502,-0.15409797,-0.094352722,0.010188052,-0.30563282,-0.042228237,-0.12498701,0.020730331,-0.19819489,-0.096296026,-0.093454774,-0.054528644,-0.23336677,-0.066053947,-0.076501177,0.068015015,-0.31127843,-0.1293878,-0.14706843,-0.01678546,-0.23320891,-0.11674763,-0.14910234,-0.029318045,-0.39350106,-0.04790985,-0.089578322,0.046865141,-0.37980415,-0.061491877,-0.12426156,0.04716893,-0.32378501,-0.076975082,-0.16398398,0.039051572,-0.42094069,-0.14087333,-0.14964027,-0.083588306,-0.39650243,0.23711446,0.24512121,0.24834511,0.27260196
-19637.771,0.96504581,0.0090846921,9,511,0,19697.894,-0.092157497,-0.0048950659,-0.06509199,-0.10222,0.05515197,0.056897141,-0.74192084,-0.05694144,0.23558878,-0.34255607,-0.11895059,-0.20374016,-0.22699762,-0.11607465,-0.21213358,-0.29072429,0.21413712,0.084006484,0.054515954,0.22503802,0.4854535,0.19631598,0.45316481,0.20392674,0.18073838,0.33725314,0.23114915,0.27485644,0.19889891,0.44314124,0.75352248,0.21167591,0.22914291,-0.34556645,0.67749747,-0.028371767,-1.1292371,-0.875134,0.28680675,-1.4708279,-0.014244692,-0.77312826,0.42520309,-1.6431186,-0.20481183,-0.18863433,0.79425426,-0.34687929,-0.074041814,-0.37543681,0.04631689,-0.6520905,-0.83994135,-0.87366329,-0.26835276,-1.0294688,1.3888421,1.3701807,1.6253858,0.90471537,-0.023004032,-0.35076854,0.39693087,-0.75583648,-1.7157368,-1.8133348,-1.195427,-2.5546132,0.79183278,0.70752684,1.1922559,-0.0085553827,-0.22898507,-0.1630647,0.50743452,-0.56187256,0.27883275,0.23432437,0.67316672,-0.66611029,1.0147715,0.46362769,1.8901547,-0.67973664,0.13945227,-0.0032881051,0.42352813,-0.45608729,0.17824869,0.095964488,0.35892241,-0.30474202,0.69699508,0.73796436,1.1266483,-0.78749927,-0.6454468,4.507856,0.15640193,-0.043089494,-0.1661561,0.052919861,-0.098232945,-0.099758307,-0.078411997,0.019198561,-0.12845415,-0.065868553,-0.10723981,-0.041911638,-0.15466817,-0.14831045,-0.14466989,0.076517415,-0.18028103,0.019208113,-0.12710514,0.077636666,-0.26140764,-0.10799677,-0.11461692,0.0042152062,-0.14520403,-0.11254649,-0.12100318,-0.0053531964,-0.33193567,-0.061632577,-0.12847252,0.024003378,-0.21107671,-0.074510722,-0.092150411,0.019529234,-0.22612788,-0.075507974,-0.10394042,0.059535973,-0.3454414,-0.1718803,-0.15664286,-0.0016575369,-0.24882696,-0.12710118,-0.1393346,-0.018715951,-0.38682486,-0.025160679,-0.13478258,0.1489521,-0.3621965,-0.054277603,-0.11753175,0.071608129,-0.31818574,-0.077819184,-0.13982218,0.058322531,-0.44176354,-0.14318723,-0.13451502,-0.052240001,-0.45741891,0.25673584,0.25342168,0.23965994,0.26410834
-19635.567,0.98647611,0.0090846921,9,1023,0,19690.076,-0.031058618,-0.070996833,-0.095935302,-0.14082802,-0.10919502,-0.14087214,-1.1714931,-0.089166351,-0.03997896,-0.095749376,-0.15348509,0.053100558,-0.24959359,-0.23448826,0.050265639,-0.20204591,0.23518356,0.055794173,0.082193416,0.09794625,0.22071388,0.18161002,0.72668261,0.25422204,0.1643003,0.28622927,0.068041051,0.32159847,0.29838453,0.15063207,0.29832892,0.094853138,-0.20342924,-0.51675702,0.41948481,-0.28938009,-0.22070511,-1.8220443,1.3997354,-1.0991575,-0.20028769,-0.026626391,1.1577963,-0.49993125,0.11451901,0.29473401,1.6655787,-0.43110744,0.45793014,-0.073486958,0.69444779,-0.58398861,0.20705551,0.05627327,0.73693878,-0.14865498,1.4337459,1.4367767,1.6918896,1.1202373,0.005260305,-0.047352782,0.57305269,-0.50214841,-0.12359613,-0.33261262,-0.043730256,-1.2600056,0.22881812,-0.023059842,0.49324463,-0.66020006,0.17086031,0.10184578,2.0235766,-1.136285,-0.51036932,-0.63674935,-0.23133278,-1.3488536,0.60587106,0.35070495,1.2630884,-0.47401439,1.0007177,0.78607309,1.662034,-0.55372298,-0.51604882,-0.62700527,-0.064557754,-1.5386366,0.5604194,0.46979584,1.2796539,-1.6901413,-0.40087128,2.9898329,0.14037346,-0.078901833,-0.15259138,0.067597315,-0.09911606,-0.083310892,-0.17265629,0.0071002441,-0.13232342,-0.11239763,-0.098123816,-0.0007720654,-0.13702636,-0.12961131,-0.11195992,0.02230917,-0.18305337,-0.0081234813,-0.12541461,0.044079247,-0.23808941,-0.10326878,-0.13065235,-0.0070366701,-0.16786937,-0.12961495,-0.12741253,0.057973642,-0.35743621,-0.087829065,-0.10120447,0.056516274,-0.21682355,-0.060285842,-0.094627312,-0.047163855,-0.24699825,-0.030254933,-0.10234978,0.045431674,-0.28471796,-0.14185958,-0.1465554,-0.015798814,-0.23079912,-0.11103344,-0.15167706,-0.021295709,-0.38068871,-0.068811038,-0.14494866,0.12729245,-0.39103215,-0.083748075,-0.11608044,0.015867369,-0.3178967,-0.10368665,-0.13678816,0.031006194,-0.40875414,-0.14888837,-0.1574843,-0.080666721,-0.36236111,0.24695418,0.25296288,0.25008037,0.26812149
-19635.211,0.96427672,0.0090846921,9,511,0,19683.231,-0.12436281,-0.025398384,-0.077825576,-0.15339296,-0.053708203,-0.14680262,-1.462973,-0.034080046,0.042066236,-0.34308085,-0.12180682,0.19717879,0.031555525,-0.23246132,-0.0053763754,-0.22826282,0.49554118,0.056379051,0.16141612,0.080932739,0.10046519,0.065729878,1.3503362,0.25465413,0.60107251,0.45390308,0.20989641,0.70772991,0.25783464,0.16947817,0.32387278,0.18074888,0.040346212,-0.083589649,0.31469411,0.014803708,-0.89800391,-1.3817039,0.99881195,-2.1915681,-0.16485358,-0.1625174,0.418831,-0.36949537,0.78458393,0.56133786,3.1680821,-0.50143039,0.38326331,-0.77155975,1.095757,-1.6259704,0.55187548,0.17095574,1.616509,0.037837367,0.99187881,0.98067416,1.1050948,0.83792757,-0.21716228,-0.27826317,0.32614409,-0.73398778,-0.16622926,-0.16942087,0.017964135,-0.47229594,0.61686299,0.5425745,0.94740417,0.024174934,0.024701582,-0.2899491,0.7562351,-0.55449235,-0.4353711,-0.50061372,-0.34750186,-0.83738885,-0.35320605,-0.67043051,0.41348308,-1.6735257,1.0504436,0.67326637,1.7734951,-0.39669343,-0.29099592,-0.39599899,0.21400736,-1.2012897,0.521749,0.3303187,0.82718844,-0.68540773,0.61061784,-1.1253833,0.056133368,-0.1043696,-0.16578492,0.031581084,-0.11702696,-0.076026992,-0.10329754,0.030913686,-0.14895691,-0.1044356,-0.1040585,-0.010219501,-0.13746809,-0.089894435,-0.10796235,0.1030086,-0.1939751,-0.015203581,-0.1312231,0.056377238,-0.21706163,-0.11052791,-0.13556572,-0.040549678,-0.14431557,-0.1236031,-0.13873315,0.02927653,-0.33148904,-0.089381316,-0.10494091,0.048973892,-0.22099306,-0.0578496,-0.059767993,0.052863984,-0.24181787,-0.063084837,-0.096804612,0.086948825,-0.33210777,-0.11662205,-0.1826661,0.036924211,-0.23819278,-0.11094636,-0.15712051,-0.048758676,-0.39546635,-0.059513229,-0.14130468,0.13816579,-0.39993737,-0.05443405,-0.11835737,0.068107389,-0.2996922,-0.099622032,-0.13362967,0.063934785,-0.39444142,-0.13395727,-0.16855808,-0.078749434,-0.3521495,0.24686824,0.25196491,0.23955718,0.26845925
-19630.815,0.95504255,0.0090846921,9,511,0,19679.37,-0.062303038,-0.16774294,-0.02921138,-0.13937574,0.10885557,0.0069378764,-1.7483536,-0.096436604,-0.10035123,-0.1001421,-0.17365173,-0.25704154,-0.11036986,-0.047770975,-0.13748668,-0.457404,0.11329628,0.24361633,0.084104565,0.27205584,0.338687,0.14701548,2.1536752,0.1523955,0.078380648,0.1411184,0.078479757,0.16200189,0.20921861,0.38776846,0.30852299,0.28293847,0.22067651,-0.7853575,1.0630858,-0.33938763,0.14619696,-0.0014241878,1.0341534,0.068684273,-0.35278036,-0.98283902,0.36099999,-1.2175589,0.29071838,0.24775739,0.61238505,-0.1063803,-0.32992988,-0.71213505,-0.077925221,-0.93919947,-1.0765125,-0.85457758,-0.1986277,-1.122014,0.75240756,0.75438446,0.82676127,0.66090137,0.49719344,-0.043065709,0.85434528,-0.54789714,0.3095852,0.15810984,1.3818473,-1.7604981,0.2883937,-0.20649888,0.99174946,-1.5082898,0.17895864,0.20860548,2.1660897,-0.89909688,0.79429579,0.75939982,1.3803896,-0.78854937,0.55993055,0.063576875,0.95868339,-1.1466876,0.049422455,-0.063297879,0.19393765,-0.66109009,-0.0052565522,0.056314043,0.59673218,-0.90035851,1.1140029,1.0715226,1.6601501,0.085945364,-0.037242112,1.5183392,0.034244531,-0.03730121,-0.15128112,0.058140625,-0.10075439,-0.13212697,-0.16808989,0.084193716,-0.15101033,-0.058881818,-0.11187263,0.0011503676,-0.13161364,-0.06028411,-0.071971897,0.027227188,-0.16831713,-0.0028873919,-0.13233531,0.082463309,-0.20923908,-0.15132613,-0.11869826,-0.02226347,-0.15801555,-0.12791212,-0.12365452,0.03222161,-0.32498673,-0.020666561,-0.10299962,0.033761771,-0.17993366,-0.076085745,-0.087958482,0.0079588557,-0.23834022,-0.059444443,-0.12928289,0.039811998,-0.31298954,-0.1596071,-0.15728042,-0.0036575377,-0.24421263,-0.12836412,-0.13401733,-0.033415814,-0.38478803,0.0067780345,-0.097068393,0.090204551,-0.35027824,-0.028606506,-0.072315897,0.02743193,-0.30412086,-0.13910844,-0.1201125,0.04661892,-0.41526798,-0.14220973,-0.15422904,0.012316322,-0.43308675,0.25470702,0.25070683,0.24782015,0.26701492
