# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 12:11:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35353eeb41fe.json
# init = 2 (Default)
# random
#   seed = 202957843
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141311-1-43c874.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141311-1-284def.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00145149
# Diagonal elements of inverse mass matrix:
# 0.0084087, 0.0102285, 0.0019073, 0.0107641, 0.0260886, 0.00759172, 0.113783, 0.0145004, 0.00837324, 0.0148064, 0.0117051, 0.0298532, 0.0663883, 0.0172737, 0.0442393, 0.0226194, 0.351503, 0.33706, 0.792449, 0.388675, 0.322522, 0.462256, 0.488353, 0.513417, 0.340966, 0.263539, 0.323413, 0.388755, 0.342552, 0.308195, 0.287242, 0.333752, 0.329349, 0.284452, 0.392077, 0.315463, 0.324367, 0.358784, 0.245281, 0.26048, 0.252223, 0.25453, 0.259335, 0.223306, 0.287692, 0.229233, 0.252276, 0.233653, 0.448526, 0.305669, 0.47177, 0.310761, 0.322641, 0.316185, 0.244844, 0.283144, 0.25764, 0.239908, 0.270411, 0.222077, 0.291528, 0.210055, 0.23708, 0.248719, 0.47025, 0.560479, 0.455386, 0.515026, 0.449452, 0.701499, 0.477509, 0.479054, 0.343803, 0.400725, 0.457197, 0.29931, 0.378381, 0.348285, 0.367712, 0.33549, 0.327174, 0.313272, 0.386829, 0.472639, 0.470043, 0.383668, 0.415773, 0.507587, 0.57984, 0.506092, 0.426571, 0.622007, 0.571363, 0.432791, 0.419265, 0.614105, 48.7754, 754.313, 1.0287
-19633.856,0.9806777,0.0014514903,10,1023,0,19680.185,-0.090239185,-0.076319604,-0.096305394,-0.087538895,-0.16615166,-0.13738524,-0.23562049,-0.079782766,0.14920259,-0.196938,-0.15144001,-0.48092955,-0.17703111,0.050731321,-0.16876673,-0.13653893,0.078960572,0.15684763,0.039076759,0.10305046,0.17127925,0.08845099,0.18006572,0.080634316,0.34847509,0.19603075,0.13267463,0.61959774,0.53301022,0.42805897,0.51753853,0.3374819,0.0013232507,-0.57867627,1.2809945,-0.37079516,-0.0091889882,-0.44494517,0.98278196,-0.43807639,0.033036646,-0.61710861,2.2964564,-0.76756451,0.13293636,-0.24567587,1.7461625,-1.1118652,0.96829431,0.14803034,1.4532984,-0.29716663,-0.026091676,0.29209144,1.1880535,-0.26797999,0.51696716,0.67715067,1.5806121,-0.51905922,-0.11956298,-0.10354169,0.81786633,-1.3627447,-0.71106755,-0.54286956,-0.47691614,-1.1027022,0.81850947,0.48993828,1.3369971,-0.52645406,0.37223492,0.23938178,0.64240902,-0.49625695,0.62959652,0.56635104,0.6675192,0.14828831,0.30284019,0.068037804,0.49011849,-0.2924394,-0.31687148,-0.46943934,-0.058589331,-0.88249368,0.13794051,0.064935841,0.46586889,-0.46412642,-0.070201824,-0.010531914,0.12168854,-0.85090483,6.2026717,-23.242772,0.067714877,-0.0901347,-0.13593179,0.010908877,-0.11951738,-0.077760875,-0.1461082,0.077827413,-0.14503085,-0.095014429,-0.12042,-0.0065673211,-0.12629933,-0.073839742,-0.1128559,0.09240395,-0.20211711,-0.00030293993,-0.14079714,0.082768199,-0.21705014,-0.13969308,-0.11154947,-0.032300732,-0.16108834,-0.14253243,-0.11368887,0.048993553,-0.32908526,-0.089423645,-0.088131779,-0.013834674,-0.18966675,-0.098586735,-0.039973927,-0.016990805,-0.23506167,-0.036484976,-0.10089504,0.065154552,-0.30013919,-0.10205388,-0.11968012,-0.06620863,-0.21728072,-0.090832963,-0.13001972,-0.06733616,-0.38905045,-0.015614189,-0.14076626,0.084207059,-0.3329043,-0.08490836,-0.1502164,0.025651632,-0.32702801,-0.097377202,-0.13515993,0.07233837,-0.40897004,-0.16023077,-0.14009326,-0.095471249,-0.42370391,0.25171463,0.25084611,0.25296496,0.25038797
-19626.197,0.95321342,0.0014514903,10,1023,0,19684.91,-0.065518111,-0.050343437,-0.11374358,-0.1170921,-0.18264978,-0.11456465,-0.28830186,-0.04877182,0.19259527,-0.25023251,-0.13662125,-0.58031824,-0.10006171,0.12292975,-0.21308699,-0.16849233,0.097676167,0.12028691,0.043866761,0.10575404,0.17834374,0.089619289,0.22873817,0.12738563,0.46353407,0.23445266,0.12646836,0.67709261,0.33167563,0.4597392,0.58677013,0.2535063,-0.41437667,-1.0410124,1.2874794,-0.39738965,-0.19070311,-0.33748297,0.62926534,-0.80237393,0.36460185,-0.32249299,2.0784902,-0.50888038,0.022935739,-0.15840291,1.2726126,-0.43748526,0.98141952,0.46001274,1.5170808,-0.36807823,0.12255906,-0.003911639,1.6220069,-0.62146029,0.66031668,0.82044672,1.4244732,-0.20805488,0.098182644,-0.37892249,0.47727222,-1.2802011,-0.49664259,-0.58460774,-0.43495036,-0.97230644,0.80174743,0.61909487,1.4513577,-0.1927081,0.13628375,-0.032100835,0.55072225,-0.56739662,0.66913972,0.61702435,0.71286143,0.29626651,0.18013065,-0.084407788,0.56880562,-0.70183868,-0.41887049,-0.53236921,-0.18057899,-0.95806367,0.20140224,0.13424005,0.48576336,-0.32628153,0.094684512,0.02423874,0.65750655,-0.76976091,5.9105664,-22.168643,0.11206078,-0.10599284,-0.16720021,0.060237942,-0.10433361,-0.073282524,-0.090938221,0.025348946,-0.14685852,-0.09774968,-0.12789031,-0.022566948,-0.13606652,-0.11466656,-0.13384385,0.017491823,-0.16335794,-0.0076197497,-0.10060939,0.08791209,-0.24829423,-0.103581,-0.11491521,0.030798447,-0.17025948,-0.13726224,-0.10063438,0.037529526,-0.33589196,-0.036264762,-0.0970411,0.012025804,-0.21185105,-0.037615492,-0.078390333,-0.0090190383,-0.25810189,-0.062260697,-0.10508407,0.090042162,-0.29541344,-0.11938567,-0.14068099,-0.066972309,-0.20837897,-0.12724868,-0.16253561,-0.097645033,-0.37971838,-0.040316759,-0.12805771,0.088597257,-0.33284449,-0.069641436,-0.12182125,0.039910506,-0.31752968,-0.094910174,-0.13431894,0.071944437,-0.40453924,-0.14448921,-0.16234766,-0.0018102765,-0.36363157,0.25911722,0.25343749,0.25845033,0.24770804
-19624.827,0.99759974,0.0014514903,10,1023,0,19664.56,-0.0071536712,-0.03547357,-0.12772392,-0.12234865,-0.14334723,-0.076218733,-0.28497699,-0.1105433,0.3486033,-0.37559393,-0.16936161,-0.62829046,0.076090823,0.18885589,-0.38902754,-0.13728098,0.26908228,0.13054384,0.05915927,0.08427154,0.13707385,0.088503268,0.27017648,0.078883708,0.59602385,0.35980667,0.13423576,0.85441589,0.30876514,0.51815957,0.92154341,0.2694499,-0.12289471,-0.71591027,0.21053095,-0.31395202,-0.26746103,-0.79770617,0.58275356,-0.72619319,-0.39039023,-0.038652845,1.3255992,0.017058322,0.19300771,0.13784827,1.6777061,-0.44691029,0.94315061,0.29447301,1.6798008,-0.68302382,-0.24118933,-0.36845192,1.0486762,-0.7397099,0.45831418,0.68511667,1.1585886,-0.088529866,0.20917025,-0.0036167125,1.5724815,-0.86004658,-0.69830167,-0.7067741,-0.65088115,-0.99946178,1.0084479,0.66699846,1.2812539,0.18042669,0.27813057,0.16108329,1.198283,-0.29398423,0.59378472,0.57058063,0.72668844,0.21875724,-0.39687971,-0.59533869,0.041632333,-1.3770268,-0.4442399,-0.55931315,-0.27506956,-0.94647892,0.32442023,0.27917829,0.50037247,-0.037584252,0.023181081,-0.14365059,0.55553028,-0.78715407,3.0235422,-10.544252,0.067933702,-0.040222461,-0.19979244,0.049496477,-0.091632596,-0.070388958,-0.13960919,0.040601315,-0.13027361,-0.15081912,-0.1300106,-0.049302439,-0.12671476,-0.10608359,-0.11073196,0.019034232,-0.16001047,-0.014065947,-0.10298268,0.086909527,-0.23697194,-0.097564777,-0.10882793,0.016592537,-0.14168548,-0.16115128,-0.099874581,0.02804639,-0.30889568,-0.094043174,-0.1108286,0.013499871,-0.17838696,-0.067601149,-0.07265092,-0.039337387,-0.24709976,-0.012747652,-0.13560344,0.085409779,-0.31067521,-0.13202654,-0.14773848,-0.008509183,-0.20882481,-0.12095136,-0.1407773,-0.0073963077,-0.44138079,-0.046451795,-0.10772901,0.088945436,-0.34908703,-0.041331261,-0.10095757,0.04632597,-0.30157122,-0.09006021,-0.13175262,0.072087421,-0.42366306,-0.13103484,-0.17598762,0.012406599,-0.34937956,0.25417292,0.2510242,0.25867232,0.25273932
-19629.375,0.99763642,0.0014514903,10,1023,0,19683.452,-0.066086068,-0.022470105,-0.11089021,-0.076075891,-0.15426292,-0.06928325,-0.26498559,-0.077785629,0.35308962,-0.36883853,-0.2499183,-0.46616504,0.1212152,0.14302837,-0.49798838,-0.23892087,0.28414284,0.15695555,0.067037041,0.11844222,0.17951823,0.07545178,0.192858,0.10197817,0.62909483,0.40522799,0.12947836,0.48459554,0.26160767,0.7091636,1.1441433,0.19624458,-0.01962607,-0.36480136,0.36270772,-0.10513493,-0.17461566,-0.55149685,0.540458,-0.81007524,-0.51238653,0.37869112,1.7793335,0.020516977,-0.20593922,-0.20898722,1.605673,-0.99020536,1.0732404,0.099294662,1.5698074,-0.27284454,-0.55478049,-0.2572459,0.83964669,-0.96626169,0.78838245,0.77463335,1.4285297,-0.24414381,0.084757695,-0.24887483,1.4194141,-1.1222945,-0.62597997,-0.71304,-0.55056104,-0.95684031,0.85713973,0.57336259,1.1178583,0.13135136,1.0257737,0.78522024,1.8343084,0.096153617,0.71391891,0.64830025,0.89250357,0.070911729,-0.5766352,-1.0213761,-0.12346683,-1.8753958,-0.29381945,-0.36100116,-0.11734533,-0.63445696,0.32458581,0.33441675,0.48962049,0.042779432,0.4363376,0.38215024,0.66224386,-0.77495827,5.6964728,-20.97218,0.093532915,-0.071662675,-0.16974176,0.036974736,-0.095959405,-0.049877003,-0.1090306,0.062357779,-0.14961591,-0.14523909,-0.085503881,0.0083910413,-0.10951482,-0.10046779,-0.1008288,0.11410358,-0.19335801,0.038403288,-0.13643772,0.12754612,-0.20324349,-0.11114243,-0.088692911,-0.005930413,-0.14218942,-0.11293973,-0.11559135,0.010517792,-0.31207068,-0.069142195,-0.10316543,0.06696362,-0.19223516,-0.040711143,-0.09548016,0.0067345134,-0.24885368,-0.021501521,-0.13649596,0.084148953,-0.31561129,-0.11710281,-0.14824927,-0.012415059,-0.23746849,-0.12020312,-0.15200163,-0.033661787,-0.43180153,-0.02963699,-0.14598462,0.088915332,-0.36940274,-0.065337686,-0.11298051,0.059811331,-0.30690541,-0.1266157,-0.11536769,0.062207628,-0.44904258,-0.15329199,-0.16392596,-0.10895911,-0.39100223,0.25583713,0.25116474,0.262581,0.25081723
-19632.663,0.99172666,0.0014514903,10,1023,0,19680.254,-0.10976245,-0.066821963,-0.12851257,-0.083990657,-0.18030967,-0.081514363,-0.24659887,-0.074891413,0.25531953,-0.32482405,-0.24037505,-0.389123,0.12916765,0.1669477,-0.53688635,-0.2506426,0.27452143,0.15328794,0.063324731,0.099722403,0.1570364,0.064496814,0.18663577,0.072719074,0.99903284,0.33100037,0.13524867,0.5360838,0.2129778,0.8445612,1.0250164,0.24322875,0.16021766,-0.18177571,0.55101112,-0.02673343,-0.30740291,-0.42750248,0.90950422,-0.37540642,0.20864479,-0.041280296,1.7894521,-0.12788375,-0.4363778,-0.48882386,1.0673177,-0.7095649,0.92685552,0.28669668,1.6490042,-0.55573098,-0.70370111,0.01243464,1.4650106,-0.9898942,0.64699443,0.76625484,1.4710209,-0.26318877,-0.13523906,-0.58534523,1.1192443,-1.5332483,-0.30551702,-0.33783624,-0.22495829,-0.51739327,0.80642168,0.4724258,1.0997464,-0.096779542,1.0235168,0.8831342,1.4152568,0.055942223,0.49892438,0.41435093,0.66321617,0.077858808,-0.78497343,-1.0432975,-0.23527278,-2.1815646,-0.26288209,-0.32291652,-0.15618869,-0.55283032,0.41254172,0.38076838,0.54776643,0.12329318,0.43956328,0.37777875,1.091722,-0.59344915,6.1658716,-23.189535,0.1606543,-0.065779275,-0.15966378,0.041501903,-0.11710135,-0.11394312,-0.13235294,0.072594064,-0.12436724,-0.11530019,-0.13112663,-0.015195993,-0.13661077,-0.1275073,-0.13273735,0.022444833,-0.15475017,-0.034759623,-0.13528786,0.078644007,-0.26757966,-0.12690084,-0.080712368,0.012974151,-0.14535939,-0.12584657,-0.10358831,0.027946248,-0.29571931,-0.084725872,-0.11745718,0.0064989985,-0.18638781,-0.049902007,-0.082189965,0.030578817,-0.26157334,-0.057898177,-0.16845094,0.039192422,-0.35685812,-0.10194576,-0.12093233,-0.048963457,-0.23280894,-0.12165772,-0.16699618,-0.033583553,-0.34738415,-0.038014269,-0.093031557,0.079059768,-0.33545719,-0.055072311,-0.10577507,0.035036794,-0.29995134,-0.11402431,-0.14659251,0.024583233,-0.41050882,-0.14372817,-0.15875595,0.014895575,-0.3949865,0.25073634,0.24882734,0.25323134,0.25424281
-19631.279,0.99800539,0.0014514903,10,1023,0,19673.058,-0.13315225,-0.047247737,-0.12033837,-0.073535409,-0.16766889,-0.099792874,-0.26562507,-0.052834312,0.21135732,-0.3510301,-0.28025838,-0.40635695,0.10223427,0.23888138,-0.81597394,-0.28028037,0.26780922,0.1877823,0.062683779,0.11777825,0.15314863,0.08002573,0.20009452,0.10105923,1.6382925,0.33862683,0.21730162,0.39178377,0.20722149,0.9353426,1.2540706,0.2316488,0.2968265,-0.087227297,0.62998812,0.084230933,-0.15812355,-0.54042016,0.5958435,-0.83082616,-0.10018226,-0.22957149,1.6024695,0.36518672,-0.089243056,-0.40273792,0.87593372,-1.1180002,1.1042747,0.012021074,1.4485633,-0.54129139,-0.075024936,-0.31015826,1.2926264,-0.60764931,0.58040256,0.64405523,1.4148103,-0.29057697,-0.071181087,-0.77938482,1.3668629,-1.3125054,-0.17613125,-0.16907078,-0.11091282,-0.28235782,0.87422125,0.53962216,1.0752841,0.1386487,0.5602217,0.48524783,1.3781042,0.010864749,0.66480248,0.60961201,0.91109504,0.089888555,-0.67593189,-1.0461868,-0.040450014,-2.1488253,-0.33179868,-0.34758335,-0.20899223,-0.60273924,0.58381158,0.52543692,0.67659763,0.30151075,0.80253787,0.6284364,1.1667915,-0.403631,-0.026821625,1.4544543,0.15100996,-0.053659382,-0.15651253,0.03556437,-0.11059443,-0.076940541,-0.14872908,0.064641129,-0.20326219,-0.12661817,-0.13472878,-0.019889524,-0.097447085,-0.084046299,-0.12096918,0.029630531,-0.20521151,0.0014492769,-0.16582788,0.054176608,-0.25056692,-0.1057968,-0.12461352,0.0036504976,-0.14842045,-0.1494897,-0.13675315,0.017470716,-0.32376793,-0.060027818,-0.13159834,0.085299807,-0.1854751,-0.077197176,-0.065630066,0.029649685,-0.25122737,-0.054995333,-0.16829956,0.013089946,-0.30407993,-0.1585213,-0.17481325,0.01920588,-0.27789746,-0.14589813,-0.16752086,-0.049404701,-0.37114007,-0.037833346,-0.11455812,0.093852154,-0.34304852,-0.071464059,-0.086228133,0.043402045,-0.32488631,-0.083833023,-0.15703897,0.032527237,-0.43785819,-0.09437344,-0.13470384,-0.0099945189,-0.37378101,0.26145451,0.24858475,0.26440568,0.25380057
