# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 12:11:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35353eeb41fe.json
# init = 2 (Default)
# random
#   seed = 202957843
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141311-4-43c874.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141311-4-284def.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00297986
# Diagonal elements of inverse mass matrix:
# 0.00589983, 0.00793487, 0.00337105, 0.0257028, 0.0258968, 0.00544037, 0.0216697, 0.00798416, 0.0429093, 0.014552, 0.0140778, 0.0185223, 0.0361616, 0.0237852, 0.0313927, 0.0153141, 0.294707, 0.295476, 0.590818, 0.51901, 0.284947, 0.386539, 0.28408, 0.352424, 0.539722, 0.241999, 0.398827, 0.279589, 0.295577, 0.444376, 0.306637, 0.287784, 0.302397, 0.27837, 0.404732, 0.260207, 0.311819, 0.239957, 0.246359, 0.26436, 0.269778, 0.210786, 0.258863, 0.27769, 0.276904, 0.271697, 0.259909, 0.189649, 0.385673, 0.336045, 0.356709, 0.290391, 0.322871, 0.259424, 0.243476, 0.249229, 0.252516, 0.199177, 0.264672, 0.252396, 0.273111, 0.239288, 0.243715, 0.185354, 0.537702, 0.548444, 0.455945, 0.45062, 0.394972, 0.437654, 0.414194, 0.483549, 0.337837, 0.347754, 0.433666, 0.385301, 0.367497, 0.403172, 0.378911, 0.290415, 0.279289, 0.341753, 0.319916, 0.422237, 0.424858, 0.329438, 0.345728, 0.433349, 0.58913, 0.355283, 0.503947, 0.501166, 0.626625, 0.570005, 0.432351, 0.401207, 17.3823, 268.176, 1.03818
-19659.259,0.99050188,0.0029798572,10,1023,0,19720.341,-0.019900652,-0.095118743,-0.12626888,-0.045029283,-0.11478647,-0.10435613,0.042555472,-0.069662063,-0.089918965,-0.17059462,-0.15717656,-0.058979694,0.13175994,-0.24668669,-0.35807812,-0.18953322,0.090525657,0.14279138,0.023378859,0.16257896,0.30511627,0.082887603,0.23817212,0.16910565,0.061446172,0.18489125,0.098672639,0.21566628,0.63956365,0.32882001,0.29737496,0.092141255,-0.72526428,-1.8196045,1.0449001,-0.87179007,-0.073770385,-0.31763982,0.92983488,-0.48898078,0.21369807,0.76853976,2.707304,-0.018197622,-0.44700752,-0.61875737,0.31304613,-1.0432838,0.2644311,0.012689751,0.7124844,-0.46549316,0.021671212,-0.55649845,1.2404456,-0.64887739,-0.67198415,-0.74998577,0.041956682,-1.5221518,0.15181517,-0.28673063,0.53709845,-0.71287531,0.55460049,0.53482272,1.6541869,-2.6747324,0.93693192,0.27451793,1.2483372,-0.39634609,0.53503645,-0.57060206,1.3033547,-0.61555745,-0.33061509,-0.4800978,0.10877074,-1.3008909,-0.24619952,-0.40202769,-0.031961174,-0.75244488,0.61200022,0.42996358,0.81556593,-0.24883129,0.94057806,0.80222348,1.2297952,-0.18740986,0.40263043,0.099087793,1.8682747,-2.2447085,-0.60984738,3.9368338,0.50821857,-0.085555678,-0.18462154,0.07468962,-0.098820021,-0.10565252,-0.14047497,0.037653663,-0.16494098,-0.12127287,-0.1083013,-0.062975202,-0.12669432,-0.1177033,-0.14562621,0.0058654323,-0.21464529,-0.034104236,-0.11091462,0.10260411,-0.256816,-0.10255985,-0.15048295,-0.0015385643,-0.15814002,-0.11749242,-0.13607023,0.052548384,-0.31997867,-0.043989261,-0.11814983,0.021164317,-0.1902133,-0.055840888,-0.057056156,0.01172449,-0.25427103,0.0026358942,-0.11983866,0.060212012,-0.24387555,-0.1043831,-0.21347937,-0.02857111,-0.21791523,-0.13028222,-0.1625206,-0.035521513,-0.339538,-0.025700323,-0.12536235,0.11131874,-0.34947645,-0.045448774,-0.10530606,0.021487704,-0.3285074,-0.078373761,-0.11951695,0.0076321862,-0.41380912,-0.15243435,-0.18040314,-0.017388042,-0.39636348,0.25938727,0.25113204,0.25897419,0.25149585
-19655.937,0.96566552,0.0029798572,9,716,1,19709.286,-0.041464109,-0.082797351,-0.11565452,0.041475131,-0.16864356,-0.11232065,0.060652706,0.0060607622,-0.13537625,-0.25802871,-0.14754917,-0.097596779,0.056227578,-0.16121776,-0.49443719,-0.15081861,0.064546229,0.13660138,0.02464186,0.29657759,0.29802396,0.067319723,0.2623503,0.25206254,0.060848095,0.19530879,0.083888205,0.19149744,1.0548014,0.21188649,0.43178436,0.09789117,-0.79925302,-1.299766,1.2717576,-1.1322699,-0.046099179,-0.52700882,0.90134919,-0.48387628,0.34775165,0.31147941,2.002827,-0.22409785,-0.57859543,-0.56203387,0.2079362,-0.66440077,0.44043042,0.16758662,0.77820953,-0.34195199,0.013528747,-0.17537977,1.3292329,-0.69380523,-0.80383733,-0.68282012,-0.21187646,-1.4034444,-0.20832134,-0.42862882,0.22560035,-0.84934583,1.0102276,0.96389991,2.5170203,-1.240447,0.6340223,0.76835299,1.1247529,-0.17449391,0.12895439,0.31732894,1.0706738,-1.2688,-0.32529988,-0.071381522,0.046745474,-1.424681,-0.087163721,-0.15483318,0.019102001,-0.38827053,0.53590568,0.29397902,0.918739,-0.66964774,0.95141725,0.83185303,1.145197,0.11804857,0.082488753,-0.017500325,1.8048116,-2.4251482,-0.11699983,1.9853654,0.28360647,-0.093052877,-0.1253591,0.040623051,-0.11454786,-0.089094563,-0.15478748,0.040328193,-0.14889552,-0.10708527,-0.10797909,-0.066301137,-0.12117671,-0.13012331,-0.12521152,0.10314435,-0.15557125,-0.037384743,-0.11869873,0.063281521,-0.27055344,-0.1114099,-0.12412716,-0.022837058,-0.15902742,-0.15023425,-0.11848535,0.0050668546,-0.30754134,-0.046449245,-0.10198051,0.06292616,-0.20802751,-0.073905824,-0.076724774,0.017779645,-0.21085508,-0.13419858,-0.10796262,-0.038354587,-0.29210891,-0.13673142,-0.12092901,-0.057732265,-0.25398653,-0.15989087,-0.11126616,-0.08864514,-0.37041954,-0.035712841,-0.10709068,0.076376396,-0.35332074,-0.047666586,-0.098927579,0.033450623,-0.30310707,-0.083630101,-0.13525606,4.0971414e-05,-0.44346566,-0.14274369,-0.15253174,0.025856504,-0.38821921,0.26124967,0.24994835,0.26874725,0.24734161
-19658.679,0.95959754,0.0029798572,10,1023,0,19702.803,-0.060360788,-0.13290913,-0.074279708,-0.067781766,-0.050292438,-0.087780739,0.14742184,-0.05480994,-0.17637913,-0.085802524,-0.16253986,-0.15771554,0.47359161,-0.14010156,-0.42009622,-0.12112226,0.059575194,0.19919027,0.020614652,0.068467634,0.19980022,0.047310171,0.32929142,0.099892948,0.11091012,0.094776132,0.077787667,0.091716245,0.81498935,0.2278463,0.58499255,0.091104794,-0.061190672,-2.1831402,1.2760551,-0.76289785,0.44865275,0.0089422285,0.89157166,-0.089081954,0.58764028,-1.6787609,1.3141068,-2.4840847,-0.97296511,-0.78885354,1.2860764,-1.6053319,0.19396795,-0.31205988,0.71149181,-0.98087589,-0.46309721,-0.43080968,1.3460324,-1.182826,-0.82480078,-0.75561533,-0.31283599,-1.5645971,-0.092068501,-0.55131034,0.36963819,-1.4568653,0.90075868,0.75431396,1.0093498,-0.57794261,0.26139792,0.18106253,1.4097687,-1.7447668,0.6891731,-0.20823553,1.6181166,-0.87383672,0.0051361006,0.12077415,0.82556587,-2.395234,-0.65011587,-0.73863128,-0.51065004,-1.0098142,0.45974406,0.13878329,0.70046613,-0.85913561,0.51416833,0.48439431,0.84134289,-0.026505572,-0.12416736,-0.24221792,0.68128079,-3.3412261,5.5798307,-20.671312,0.032583582,-0.064006235,-0.19042179,0.01566044,-0.10581058,-0.043541873,-0.13112793,0.044683264,-0.15065339,-0.062165708,-0.10888678,-0.047189853,-0.12548825,-0.13439838,-0.1217927,0.020272843,-0.17769504,-0.011537599,-0.11264207,0.091863786,-0.24627166,-0.10968995,-0.10816242,-0.024099716,-0.14374044,-0.12417798,-0.10139581,0.044407631,-0.36778656,-0.064006934,-0.10988196,-0.017885692,-0.20034051,-0.076475875,-0.092718076,-0.064432023,-0.24047881,-0.06102824,-0.068642118,0.047809902,-0.25116477,-0.10893069,-0.17873801,-0.036670343,-0.23051358,-0.15724448,-0.14663859,-0.081997739,-0.37739741,-0.0562459,-0.12838501,0.057417268,-0.34939625,-0.035350578,-0.1084803,0.019497055,-0.33585243,-0.11931158,-0.13672916,0.072083098,-0.43560179,-0.1324345,-0.14318947,-0.059054313,-0.42552398,0.2534519,0.25305125,0.25594876,0.24945998
-19657.026,0.54901622,0.0029798572,10,1023,0,19712.533,-0.065238394,-0.14708557,-0.090980652,-0.077585388,0.015644207,-0.11298851,0.029433331,-0.035539985,-0.15712478,-0.14580401,-0.1405955,-0.16776873,0.28397914,-0.21965676,-0.30344686,-0.14648449,0.084466462,0.19045873,0.0068357258,0.064087262,0.1687859,0.03249993,0.24105295,0.15184434,0.13311228,0.14190306,0.070155274,0.088218668,0.49209407,0.36201156,0.50557812,0.13178762,-0.37708565,-0.9958365,1.4883438,-0.29099774,0.46753123,0.085878234,0.94686868,-0.020876916,1.3099606,-2.2936257,1.0531108,-2.7020905,-0.14642176,-0.86795202,1.4259071,-1.4916122,-0.30613731,-0.70043558,0.37065034,-1.4570873,-0.66875752,-0.33781065,2.2893185,-1.2191013,-0.71023966,-0.72941936,-0.17600471,-1.4670739,-0.1556493,-0.46196678,0.40891869,-1.109014,0.73197223,0.4565155,1.5544645,-0.51342567,0.96707094,0.11030471,1.395767,-0.80676485,0.067327541,-0.29422061,1.4840736,-1.3147421,0.68111085,-0.18026233,1.2696789,-2.1255354,-0.6405411,-0.80239123,-0.39194326,-1.334377,0.40252842,0.31502385,0.70730128,-0.20221151,0.41398947,0.34598338,0.6693858,-0.19751631,0.28907547,-0.17840612,0.98841794,-1.7898846,-1.2197487,6.0297584,0.10857897,-0.097089485,-0.14935318,0.060476744,-0.089817944,-0.058040164,-0.13072931,0.033253836,-0.15106176,-0.082026121,-0.10665925,-0.083781875,-0.1094514,-0.086969158,-0.13321006,0.013797096,-0.17317873,-0.036027453,-0.10257944,0.078204757,-0.23029158,-0.13472308,-0.12396733,-0.038585817,-0.15260922,-0.14177204,-0.14639536,-0.012993123,-0.32420917,-0.05917445,-0.10568703,0.026552004,-0.20393748,-0.05969029,-0.096356963,0.049793534,-0.22546804,-0.0085736835,-0.13015143,0.052259596,-0.26028641,-0.13587212,-0.16123663,-0.036479912,-0.23283159,-0.10768204,-0.18367123,-0.055759345,-0.35528063,-0.031227333,-0.11087282,0.091106189,-0.37265985,-0.073936815,-0.10561448,0.036394482,-0.29285966,-0.094142839,-0.12852523,0.034979956,-0.40330678,-0.10838792,-0.16999621,-0.016223235,-0.38236912,0.25620913,0.25288497,0.25920419,0.24695549
-19642.002,0.96488893,0.0029798572,10,1023,0,19698.722,-0.039206081,-0.1327752,-0.067135146,-0.10483377,0.14784852,-0.085334927,0.064727998,-0.087954661,-0.15501722,-0.13358671,-0.14301454,-0.21579678,0.012015445,-0.064767633,-0.28849254,-0.065357545,0.064262732,0.22479824,0.041384398,0.14586096,0.2287607,0.050446094,0.47616077,0.13154842,0.26278307,0.16447662,0.28887479,0.13011603,0.71460496,0.14087836,0.57153955,0.19493465,0.43763957,-1.8449484,1.2517484,-1.037981,0.1379782,-0.09170989,0.85376605,0.0048593473,-0.27669538,-1.4938813,-0.22974289,-1.6135302,-0.36273105,-0.032650181,1.4066614,-0.56865156,-0.4911165,-1.2576655,-0.29351455,-1.4778784,-0.49791406,-0.97022833,0.62132255,-1.3408253,-0.40624709,-0.27863877,-0.06003758,-0.85388236,0.27982399,-0.43049859,1.0191387,-0.71960114,0.30003644,0.35058297,0.82593813,-0.3369595,0.68701553,0.13162277,1.2830285,-0.99725022,0.14266386,-0.019869074,0.52220838,-0.38085323,0.4439473,0.87950205,1.3468811,-1.4470295,-0.086202025,-0.19750361,0.11707935,-0.5230291,0.026709077,-0.3250651,0.72255008,-1.7830365,0.31529087,0.28534357,0.57568517,-0.20961355,-0.34618896,-0.52703404,0.31138921,-1.7412559,2.3384525,-8.4345533,0.19192893,-0.011082167,-0.15776751,0.04123469,-0.10590957,-0.10175795,-0.15339142,0.059149899,-0.13168283,-0.078586018,-0.12895852,-0.076642917,-0.13391012,-0.15774207,-0.10959615,0.10034322,-0.18777783,0.035500369,-0.13985593,0.080703929,-0.19023199,-0.11045275,-0.13427916,-0.05399163,-0.15297432,-0.12871093,-0.067948852,0.036140458,-0.34185728,-0.051144257,-0.14458607,0.046111424,-0.18261705,-0.076172722,-0.062889951,0.06202534,-0.24356447,-0.020588718,-0.11193784,0.077441482,-0.29761106,-0.10180255,-0.14875421,0.0078382984,-0.25303344,-0.15803212,-0.10135946,-0.040545962,-0.40407851,-0.04958495,-0.12912162,0.095680932,-0.36174374,-0.061004902,-0.11056227,0.037024037,-0.31595889,-0.10829133,-0.1254074,0.040534309,-0.40829497,-0.13284177,-0.16809474,-0.0046569979,-0.40478866,0.25648806,0.24409791,0.25886803,0.25492054
-19640.201,0.99543809,0.0029798572,10,1023,0,19681.879,-0.056671047,-0.079977284,-0.066113415,-0.056548148,0.020408939,0.054276501,-0.023366692,-0.41180298,-0.11781343,-0.026168209,-0.15430442,-0.15418963,0.40822996,-0.032300184,-0.2557414,-0.13589394,0.086410391,0.10959311,0.034469239,0.16407332,0.16091137,0.21216371,0.34793127,0.26932612,0.13213972,0.29024776,0.11604982,0.15149786,1.0540724,0.4721237,0.26090065,1.0200587,-0.8604065,-0.72769548,1.2217775,-0.72163608,-0.11529178,-0.27422044,1.2876844,-0.5556603,-0.42389461,-2.1311567,1.5871372,-2.1638951,-0.50522499,-0.25927759,0.675258,-0.81425965,-0.24878214,-0.81241167,0.42832402,-1.7061794,-0.57494059,-0.79378518,-0.25208442,-0.93231831,-0.36993283,-0.33764289,-0.0065014761,-0.87030787,1.2264353,1.2863747,1.5473387,0.80646933,0.48417314,0.13702818,1.1561755,-0.72529176,-0.16506472,-0.28344612,0.30165154,-0.93411299,0.24253353,0.037518669,1.1688197,-0.71505804,0.1712228,0.24518047,0.87594292,-1.8516829,-0.43574422,-0.52262774,-0.31622912,-0.74841687,-0.027642975,-0.13351446,0.16479965,-0.59230149,0.62308837,0.47838989,1.1425022,-0.76653297,-0.034362146,-0.024833405,0.0090716879,-0.23864052,-0.20333719,1.660783,0.12994355,-0.13101911,-0.1195515,0.048903228,-0.1190279,-0.09261247,-0.11002996,0.061144049,-0.14087382,-0.08072474,-0.13957276,-0.011406005,-0.14070123,-0.13944209,-0.099088683,0.054243677,-0.19014643,-0.019622937,-0.11031734,0.089331146,-0.25413473,-0.067705029,-0.11413591,0.00079333431,-0.14352761,-0.15207789,-0.14084321,-0.025628759,-0.32617401,-0.081491917,-0.065348672,0.0049357399,-0.19459973,-0.053834925,-0.099706562,0.034963281,-0.21365327,-0.074077873,-0.10843781,0.061385475,-0.29729241,-0.12615844,-0.14995038,-0.018663101,-0.23728677,-0.12824974,-0.11704532,-0.021486155,-0.43471562,-0.051075994,-0.14265752,0.074901578,-0.3806556,-0.045351088,-0.095335525,0.045505638,-0.31193976,-0.093177232,-0.13092916,0.042338183,-0.45573035,-0.17094534,-0.16122547,-0.12664029,-0.37932128,0.25093304,0.26222166,0.25056682,0.25033072
