# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 12:55:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353562714f82.json
# init = 2 (Default)
# random
#   seed = 1398081267
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141355-1-3118e6.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141355-1-8249f2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00237743
# Diagonal elements of inverse mass matrix:
# 0.0106369, 0.013788, 0.00410374, 0.0194157, 0.0284626, 0.00543022, 0.026073, 0.0104535, 0.0363381, 0.048426, 0.00780956, 0.0468804, 0.0535711, 0.0293981, 0.0348738, 0.0241919, 0.445176, 0.332594, 1.14443, 0.326991, 0.348531, 0.344597, 0.329141, 0.303751, 0.464875, 0.381647, 0.319678, 0.371426, 0.364564, 0.3378, 0.309162, 0.358877, 0.26862, 0.28084, 0.467939, 0.275343, 0.28666, 0.267133, 0.230168, 0.289495, 0.297794, 0.265667, 0.265161, 0.24028, 0.260814, 0.320783, 0.257087, 0.249376, 0.436019, 0.334528, 0.401419, 0.271071, 0.276157, 0.289212, 0.232926, 0.278714, 0.27295, 0.27107, 0.274874, 0.249523, 0.27009, 0.293645, 0.249723, 0.240905, 0.486361, 0.526679, 0.563506, 0.468386, 0.42544, 0.452864, 0.384858, 0.44032, 0.382201, 0.388883, 0.472138, 0.319047, 0.35767, 0.475027, 0.392334, 0.367819, 0.294748, 0.356769, 0.482264, 0.368696, 0.454527, 0.348378, 0.419367, 0.431873, 0.611203, 0.584489, 0.401025, 0.584181, 0.552181, 0.542502, 0.510106, 0.509127, 29.8637, 469.535, 0.839263
-19638.552,0.99945014,0.0023774336,10,1023,0,19688.411,0.049518691,-0.12983597,-0.035790712,0.011148733,-0.092898738,-0.013981685,-0.19295639,-0.17658719,-0.053236628,-0.0060173457,-0.061791775,-0.47121479,-0.086385787,-0.062437227,0.032821859,-0.26200395,0.2361296,0.10533908,0.083928222,0.19603333,0.10053588,0.089198336,0.11676765,0.13835232,0.11396632,0.29266311,0.12882436,0.7353727,0.18793016,0.35588218,0.26657803,0.26497864,-0.41692143,-0.71237466,0.13313401,-0.64921607,0.69233083,-0.25469486,1.7717667,-0.081716198,-0.80842104,-1.2252635,0.48616776,-0.95202744,-0.42779807,-0.62322707,0.46721647,-0.98529672,0.77274053,-0.32723908,1.394909,-1.3107101,-1.0141827,-1.4773353,0.060836884,-1.5301201,0.95114162,0.61347392,1.791789,-1.1943729,0.55948805,0.5099043,1.18213,-0.10838374,-0.027063557,-0.2865586,0.42099749,-1.6115592,-0.21208125,-0.30015131,0.21414133,-1.108233,-0.46583035,-0.95714732,0.42180897,-1.5463096,0.51314151,0.43217373,0.63396838,0.061305869,0.12099313,-0.26769908,1.0466043,-1.4943072,0.015952952,-0.17122416,0.23139278,-0.72706602,-0.50372854,-0.55758688,-0.20029698,-1.5539653,0.42360208,0.42388944,0.8774283,-0.5318794,2.3272965,-8.86093,0.30089722,-0.0489288,-0.11869405,0.08095557,-0.10378044,-0.056906482,-0.1566653,0.056800299,-0.13844388,-0.10364005,-0.1386249,0.0050124835,-0.11569268,-0.072713945,-0.11102454,0.10273873,-0.18200226,-0.015210593,-0.12579801,0.047339655,-0.22467212,-0.1044451,-0.14575753,-0.0085551361,-0.15046585,-0.081893822,-0.12132249,0.016266603,-0.33242051,-0.099180723,-0.10604075,-0.013036757,-0.19158234,-0.056320962,-0.085894657,-0.005257093,-0.2369001,-0.068085705,-0.093860564,0.056653924,-0.33035626,-0.12180207,-0.18509567,-0.0074525032,-0.26099412,-0.093864527,-0.15340603,-0.0050117481,-0.42613213,-0.063647528,-0.13669452,0.11030274,-0.36721118,-0.056759855,-0.12337285,0.01991134,-0.32118707,-0.1014611,-0.11581855,-0.020572915,-0.38143116,-0.14975845,-0.1496823,-0.02950419,-0.40294063,0.25984518,0.26080706,0.24997625,0.24088182
-19637.799,0.99497709,0.0023774336,10,1023,0,19692.844,-0.0047119961,-0.17644879,-0.016396782,-0.019558042,-0.087336851,-0.05137636,-0.16517991,-0.14549561,-0.10078208,-0.03561864,-0.055953728,-0.41399004,0.0022439026,-0.085689228,0.075421447,-0.29978177,0.23106658,0.15190211,0.075819978,0.17867675,0.11425391,0.059208048,0.11170165,0.14648892,0.095981276,0.28500035,0.11594589,0.60515578,0.25938683,0.21637854,0.44623135,0.28531645,-0.30840457,-0.70413233,0.13783658,-0.54538284,0.43611294,0.30947547,1.4484809,0.15017339,-1.3268402,-1.5281745,-0.19890088,-1.2644431,-0.7234623,-0.44818933,0.27729799,-0.96801192,0.89212099,-0.45671713,1.4680402,-1.20846,-1.3748256,-1.2082655,0.5893473,-1.6933687,0.62259596,0.45665631,1.8311681,-1.0654534,0.62313943,0.15504068,1.1009743,-0.47868626,0.078399136,0.15875103,1.1776271,-1.590619,-0.12942543,-0.36002033,0.37341142,-1.0540009,-0.93101043,-0.98012633,0.05845402,-1.6076202,0.4735219,0.47771932,0.57661173,-0.030375602,-0.075363317,-0.44245784,0.2713735,-1.4667112,0.15363347,-0.17405984,0.48829583,-1.0509126,-0.36773421,-0.44527027,-0.20895797,-1.0339746,0.57967912,0.49878069,1.0353985,-0.33727554,2.6406487,-7.8599635,0.24174695,-0.075973986,-0.16741344,0.02713743,-0.13073174,-0.11020232,-0.12943882,0.043578506,-0.15363714,-0.11699778,-0.13226294,-0.031477443,-0.11226683,-0.14882393,-0.099639054,0.029988662,-0.19251926,0.014591463,-0.13951857,0.080392483,-0.22540814,-0.1327771,-0.1229154,-0.016482257,-0.15163741,-0.095634918,-0.11417065,0.039364578,-0.28419281,-0.054212593,-0.12278387,0.01578492,-0.21561785,-0.093257235,-0.085544958,0.012248064,-0.25345173,-0.072504932,-0.13822456,0.070803745,-0.33600926,-0.16390056,-0.16959535,-0.049176225,-0.24235068,-0.12743553,-0.12489544,-0.065050121,-0.43237201,-0.017304349,-0.11252384,0.072634615,-0.37820166,-0.052446242,-0.12335204,0.019967512,-0.31308416,-0.088673086,-0.12327211,-0.01782215,-0.38597042,-0.13438978,-0.15747143,-0.0043655572,-0.39601202,0.25328317,0.26060755,0.25633244,0.23801821
-19636.575,0.99968032,0.0023774336,10,1023,0,19696.332,-0.07803241,-0.11409887,0.13232559,-0.070336805,-0.10330946,-0.0054086881,-0.18757136,-0.13231653,-0.094230265,-0.24642496,-0.071656273,-0.19819937,0.006974038,-0.12472008,0.18239544,-0.28236777,0.13503389,0.11781377,0.1790636,0.10502388,0.1406771,0.093141842,0.11977165,0.23631784,0.083430253,0.50427109,0.084080987,0.43270679,0.32593001,0.13692105,0.43314538,0.18507647,-0.19894299,-0.62292364,0.58759504,-0.28608268,0.29165152,-0.33693643,1.291444,-0.3596553,-0.93666992,-1.4488012,-0.675132,-1.3810729,-0.011655843,-0.60439895,1.3170933,-0.99026437,0.63004146,-0.0095181469,1.3412209,-0.80547711,-0.82739966,-1.1718994,0.29793568,-1.5930811,0.25004255,0.82351359,1.7704321,-1.1343135,0.45414616,0.057282498,0.67314795,-0.35166465,0.35253553,0.08081058,1.2487744,-1.9373176,0.35033861,0.25055989,0.54517204,-0.053946555,-0.83428241,-0.86340801,0.64457354,-2.0932761,0.1614256,0.16485168,0.37942198,-0.47469286,-0.039425457,-0.37561316,0.15881042,-1.1292727,0.51759696,0.051067199,0.9782347,-1.21379,-0.69339915,-0.68828556,-0.38218667,-1.4524697,0.77129167,0.59481397,1.4279893,-0.55566361,4.5453172,-15.811613,0.60747921,-0.10489646,-0.16214821,0.0013128333,-0.11666327,-0.079738308,-0.15379462,0.038051012,-0.15647122,-0.035397895,-0.12710196,0.011434026,-0.11497429,-0.071560947,-0.13381313,0.067989445,-0.17433821,-0.014677055,-0.10464844,0.085369607,-0.21662164,-0.082474217,-0.11456156,0.02234159,-0.15379119,-0.15762335,-0.08893778,0.024476221,-0.32342997,-0.024993691,-0.11877965,0.026760339,-0.21542116,-0.064818136,-0.087488218,0.0099553014,-0.25586117,-0.069759328,-0.12007485,0.02848954,-0.27362865,-0.14180356,-0.14425247,-0.017459893,-0.24766099,-0.12834942,-0.12686692,-0.034020901,-0.40360219,-0.0058759015,-0.11544956,0.058735118,-0.36108981,-0.053850157,-0.1177279,0.0092208486,-0.29091348,-0.1179472,-0.11573227,0.016853049,-0.44673508,-0.13961983,-0.1722817,-0.018080542,-0.38520803,0.25022591,0.25805316,0.25053966,0.23805006
-19640.451,0.99822485,0.0023774336,10,1023,0,19689.401,-0.11401629,-0.12206419,0.055603077,-0.087746705,-0.16848043,-0.011820488,-0.24543169,-0.076240975,-0.20668139,-0.16872445,-0.065567579,-0.46195642,-0.0024601947,-0.060165933,-0.022418627,-0.41470579,0.13414003,0.12486406,0.11865292,0.17419286,0.15541218,0.10558807,0.20028564,0.15878607,0.23149579,0.24119938,0.070571545,0.46361487,0.32018609,0.20824293,0.57938984,0.18322909,0.026156396,-0.40186273,0.86508131,0.038522447,0.25060472,-0.064560726,1.3527874,-0.16511473,-0.79608361,-1.5584337,-0.45996218,-1.3463012,-0.23957463,-0.18082938,0.75700615,-0.5958787,1.1581493,0.01235359,1.5834518,-0.38708713,-0.9695654,-0.92743991,0.11122047,-1.2585493,0.64162864,0.63304682,1.3495886,-0.49151049,0.013626499,-0.30429688,0.4142364,-0.62646649,0.43786749,0.6700362,0.75780787,-0.2331555,0.4783267,0.21329901,0.99333136,-0.70161202,-1.1105374,-1.3304924,0.21696202,-2.3877264,0.65655188,0.70923986,0.9592525,0.13450489,-0.14332931,-0.31662999,0.46993557,-0.98319553,-0.020284775,-0.22960049,0.4229543,-1.0335023,-0.10860421,-0.12722128,0.1378869,-0.6807077,1.3661551,1.2067678,1.9501147,-0.017469931,1.009538,-3.048938,0.35381377,-0.11050767,-0.16792217,0.0020257387,-0.10884889,-0.090772665,-0.1301255,0.046850337,-0.14268108,-0.038854563,-0.12930962,0.0010272236,-0.10413948,-0.12947889,-0.11924589,0.044118359,-0.19154452,0.011510085,-0.16656053,0.077607271,-0.22863848,-0.11419503,-0.10974708,-7.6932616e-05,-0.14470829,-0.11692268,-0.1186415,0.02487153,-0.34387418,-0.074077277,-0.12455908,-0.010466008,-0.17571512,-0.10531692,-0.051570836,-0.031252065,-0.26065591,-0.053352348,-0.11727686,0.070866456,-0.33795283,-0.14393992,-0.15946248,-0.050256234,-0.23407312,-0.15756921,-0.13314227,-0.017232694,-0.39959796,-0.048352244,-0.10384071,0.14800664,-0.31726573,-0.064390094,-0.10797861,0.027911307,-0.27538547,-0.085342801,-0.096129344,0.05747164,-0.41681376,-0.16438643,-0.19359082,-0.057388048,-0.41790679,0.2461498,0.26648598,0.24783241,0.23337104
-19639.374,0.98643948,0.0023774336,10,1023,0,19685.658,-0.20415931,-0.19279537,-0.015898487,0.096630272,-0.16796981,-0.088241808,-0.13561328,-0.01920952,-0.11051743,0.038546666,-0.10493442,-0.3236303,-0.094734519,0.025343392,0.11952382,-0.39318626,0.19976244,0.21140371,0.087454182,0.27247417,0.24657111,0.079509176,0.14496471,0.17792419,0.10444685,0.21428053,0.10471488,0.34944544,0.19663809,0.41807251,0.50111066,0.1854075,0.58351149,0.17729602,1.4146162,0.30402832,0.43967099,0.16439891,1.3205502,0.27258094,-0.34499668,-1.117165,-0.17481519,-0.93672809,-0.58556654,-0.82785027,-0.15647535,-0.97883676,0.72010973,0.30988428,1.1713172,-0.42526343,-0.070835956,-0.43439028,0.80150474,-0.96162438,0.12118209,0.19755193,1.1403746,-1.4832089,-0.34845452,-0.32293382,0.46858129,-0.96814191,0.18197131,0.080232505,0.71926973,-1.2588546,-0.53776101,-0.78652436,-0.033904063,-1.5618439,-0.4439794,-0.57335427,0.6759731,-1.2086963,0.538861,0.49731749,0.88578052,-0.18494705,0.28437328,-0.24592015,0.922736,-1.3048227,-0.1261313,-0.30381985,0.028413837,-0.93592969,-0.39836393,-0.56237319,-0.12659217,-1.149158,1.2455703,1.0471937,1.7619246,-0.11144043,0.77314879,-1.7190093,0.035508545,-0.087595637,-0.16874223,0.07842786,-0.14342587,-0.099847292,-0.15804083,0.086373831,-0.13517075,-0.04606989,-0.11359924,-0.031186806,-0.097819276,-0.062921484,-0.12893754,0.053994781,-0.17007746,0.0095884489,-0.091561299,0.12084319,-0.27282749,-0.093873917,-0.12277982,-0.024514827,-0.16469977,-0.11804616,-0.10697523,0.029700788,-0.35062623,-0.081208007,-0.076667258,0.064162426,-0.19146538,-0.091511099,-0.1021374,-0.035391971,-0.24200083,-0.076685048,-0.12999019,0.031281685,-0.29612607,-0.15142567,-0.16497315,-0.034149981,-0.23150292,-0.13532778,-0.14984497,-0.014098338,-0.3882592,-0.038815901,-0.14309179,0.086710522,-0.35131235,-0.027388637,-0.10167534,0.037222436,-0.36594308,-0.080100596,-0.16228739,0.056087128,-0.45633153,-0.16224818,-0.19902869,-0.066512216,-0.41384815,0.25008185,0.25294052,0.24330099,0.23710835
-19637.306,0.99873303,0.0023774336,10,1023,0,19679.691,-0.13114753,-0.14116132,-0.068144769,0.22914294,-0.1361921,-0.056594594,-0.20570169,0.0049219576,-0.092770041,0.13156744,0.033171076,-0.29556452,-0.25246341,0.10814143,0.1100494,-0.31429143,0.13720252,0.19093371,0.061306281,0.33878885,0.14596709,0.094436895,0.13572271,0.25179725,0.14817934,0.80455102,0.2763004,0.25791632,0.28097937,0.20736372,0.4023964,0.1865447,0.31239858,0.024923152,1.1106456,0.3715684,0.21836636,0.10974073,0.91083623,-0.13656997,-0.042036952,-0.94847237,0.14160829,-0.44459264,-0.94613961,-1.0961799,-0.44330076,-1.2109529,1.0212232,0.15941545,1.578005,-0.30127549,-0.65384092,-0.87362748,0.73330306,-0.94199122,0.32132018,0.59339946,1.5835414,-0.89256551,-0.065176871,-0.60425054,-0.034500051,-0.82960571,0.098667616,0.018673897,0.68316151,-1.0946084,-0.27919973,-0.32876073,-0.15606249,-0.4990753,-0.46092993,-0.58935553,-0.39381726,-1.0163733,0.77339601,0.52701034,1.0076908,-0.46215406,0.7182023,0.51266275,1.2321623,-0.48152076,-0.79786237,-1.0022544,-0.16208949,-2.0031713,-0.47518328,-0.67557715,-0.20241307,-1.2713817,0.94121347,0.92295544,1.4659712,-0.45952627,0.040015148,1.3125958,0.15124757,-0.088285659,-0.12772801,0.021235846,-0.080167411,-0.099467816,-0.12020811,0.032748023,-0.16723713,-0.070721898,-0.12629208,-0.059463291,-0.09540109,-0.091398616,-0.14223058,0.078957581,-0.18111441,0.012872884,-0.11292269,0.094144696,-0.1801684,-0.1183413,-0.13909726,0.01265627,-0.14555332,-0.16209124,-0.1251639,0.009220848,-0.32684309,-0.011489399,-0.14722666,-0.0037650603,-0.20397048,-0.07814954,-0.090002956,0.0084603769,-0.25496838,-0.093062993,-0.13293734,0.0060072055,-0.2699641,-0.094184051,-0.12966809,-0.075640791,-0.24765328,-0.096093064,-0.15963995,-0.035664623,-0.41476159,-0.050663378,-0.10841575,0.09374879,-0.3877608,-0.057306277,-0.099689762,0.07452995,-0.30724362,-0.081162639,-0.16180041,0.028599113,-0.40155002,-0.13871304,-0.14211898,-0.040822271,-0.40001362,0.24627625,0.25840759,0.26031369,0.23625773
