# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 12:55:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353562714f82.json
# init = 2 (Default)
# random
#   seed = 1398081267
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141355-2-3118e6.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141355-2-8249f2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00297412
# Diagonal elements of inverse mass matrix:
# 0.00917056, 0.013459, 0.00191569, 0.0125296, 0.0277015, 0.0047953, 0.0140403, 0.011467, 0.0204673, 0.0242075, 0.0115444, 0.0276185, 0.0354468, 0.0313922, 0.0423355, 0.0966985, 0.360355, 0.370798, 0.698949, 0.357238, 0.416974, 0.41599, 0.245776, 0.353378, 0.448173, 0.290337, 0.39855, 0.302033, 0.305912, 0.335805, 0.292755, 0.450505, 0.249726, 0.261891, 0.413483, 0.224021, 0.275466, 0.283691, 0.243337, 0.292092, 0.27221, 0.246679, 0.263992, 0.283763, 0.282781, 0.282986, 0.26146, 0.287145, 0.352869, 0.327996, 0.440993, 0.240682, 0.25747, 0.282925, 0.248219, 0.308235, 0.244724, 0.236383, 0.275393, 0.275156, 0.271168, 0.267962, 0.250483, 0.280572, 0.421854, 0.513011, 0.520006, 0.459667, 0.405349, 0.560432, 0.423665, 0.423238, 0.428352, 0.385602, 0.497345, 0.365284, 0.405615, 0.405871, 0.368219, 0.397981, 0.246641, 0.347475, 0.429393, 0.339074, 0.407111, 0.378027, 0.396259, 0.479197, 0.466828, 0.468242, 0.432133, 0.47669, 0.515406, 0.51793, 0.509473, 0.541129, 15.8798, 250.867, 0.659993
-19645.666,0.99187892,0.0029741175,10,1023,0,19696.524,-0.10278046,-0.079049239,-0.09093407,-0.097593023,0.023043788,-0.11351579,-0.5755726,-0.01636081,-0.23487997,-0.11430647,-0.18842409,-0.25661806,-0.21358526,-0.42903823,-0.24223144,-0.15721986,0.1078142,0.12795847,0.10375912,0.12133601,0.12421072,0.084444712,0.34619991,0.10009462,0.11272291,0.093592985,0.088890951,0.92409945,0.14929653,0.30515143,0.27749193,0.13724725,0.20418578,-0.69094111,1.266222,0.088972201,-0.073779752,-0.39208589,1.1576569,-0.41283137,-0.075320945,-0.35007794,0.52335618,-0.39248089,0.1519584,-0.080204989,1.399222,-0.59436531,-0.24549071,-1.1745644,0.61509919,-1.8779543,0.22995487,-0.13342009,1.4810946,-0.1241201,1.2703094,1.294381,1.8381205,0.72625739,-0.88477424,-0.62301831,0.60235219,-1.9372223,1.6697279,1.3582593,2.3978658,0.06140558,0.62544483,0.28364318,1.7054336,-2.0558957,0.66127253,0.11537685,2.0684941,-0.77755428,0.16754777,0.11307196,0.29107989,-0.22307765,1.1651953,0.55324844,1.8820047,-0.87028685,1.1956707,1.0427281,1.5112884,0.36876331,0.49168235,0.47568795,0.90809246,-0.65856958,0.26294196,0.084588963,1.0865148,-1.5600115,-1.0011394,5.2758383,0.066867341,-0.080766332,-0.17727372,0.033736256,-0.093187992,-0.088489984,-0.12921995,0.069082773,-0.13187451,-0.098749305,-0.12725785,-0.036631096,-0.13165754,-0.079154997,-0.10732478,0.072182996,-0.16971094,-0.0074487897,-0.12284971,0.099445703,-0.21021828,-0.094097321,-0.12478241,0.011554814,-0.12399708,-0.1357916,-0.12745802,0.060784553,-0.32414235,-0.10492195,-0.078721592,0.043931404,-0.21026634,-0.046663394,-0.081773043,0.035414429,-0.22795816,-0.055769224,-0.087759461,0.04531015,-0.30672389,-0.12964295,-0.17816813,-0.0045536782,-0.25754163,-0.10178726,-0.15212832,0.012368702,-0.462764,-0.039625641,-0.13098718,0.067391512,-0.34351606,-0.064177605,-0.11084827,0.032133589,-0.31650958,-0.10579355,-0.11023187,0.0097568953,-0.42497918,-0.1211318,-0.14561026,-0.0080986932,-0.37132715,0.26225909,0.25861877,0.25641933,0.24451139
-19640.67,0.97908931,0.0029741175,10,1023,0,19691.843,0.022171437,0.13253639,-0.053048122,-0.023994549,0.12493074,-0.062588178,-0.36375903,-0.1382843,-0.14649172,-0.18937567,-0.18016873,-0.31584296,0.070801469,-0.69276686,-0.10183913,-0.31447358,0.13396985,0.39842039,0.044651172,0.20587703,0.25391941,0.078905194,1.2255489,0.090397099,0.093212738,0.19472855,0.13232171,0.14780053,0.25767465,0.78441009,0.22517885,1.4315633,-0.71866932,-1.2277764,0.26157701,-0.95124688,-0.47405873,-0.70983891,-0.10472948,-0.6587867,-0.57458177,-1.243101,0.65377843,-1.0907618,-0.26243901,-0.54003957,0.47634781,-0.73276056,-0.60833507,-1.0362528,0.041267209,-1.4254465,-0.91467023,-0.98627364,0.80273784,-1.4208911,0.20553226,0.22592829,0.36663029,0.046133812,0.35145341,-0.058765924,1.9451618,-0.74040669,0.34158909,0.69338349,1.2111254,-1.1303797,0.3393005,0.33567758,1.2848,-0.60440792,0.54035605,0.072646248,1.293726,-0.30062827,1.240475,1.1890858,2.0128288,-0.54836696,-0.3994779,-0.78933847,0.034144406,-1.5561999,0.80549061,0.72845425,0.98393897,0.48890983,0.083047968,-0.29954266,0.66058112,-1.3927423,0.093903,0.12405102,0.1719054,-0.065450835,1.6204549,-5.1260197,0.083143558,-0.074108581,-0.14231358,0.057214869,-0.10526696,-0.056338269,-0.1502779,0.090810036,-0.12993766,-0.078703871,-0.10855404,-0.023856149,-0.10175191,-0.078024713,-0.13517629,0.074074523,-0.17485312,-0.029537342,-0.13819395,0.13540929,-0.23701779,-0.13476041,-0.14041029,0.00075200693,-0.17470387,-0.11186919,-0.086872863,0.085564318,-0.30721979,-0.10651394,-0.14359657,0.03755268,-0.20521492,-0.11465127,-0.08185955,-0.033599411,-0.25185751,-0.12330418,-0.12400967,0.06081156,-0.30707115,-0.10866789,-0.17055605,-0.0089806984,-0.21994838,-0.13250008,-0.14009543,-0.018345791,-0.39689189,-0.03213386,-0.13259105,0.079599617,-0.3301918,-0.060931894,-0.12135999,0.079044797,-0.30926106,-0.083138483,-0.1692898,0.046909769,-0.41545524,-0.1800455,-0.1368867,-0.068380129,-0.4081706,0.24686645,0.2611708,0.24340022,0.23573074
-19637.629,0.99452815,0.0029741175,10,1023,0,19687.723,0.048574709,0.20186355,-0.068739812,-0.04334004,0.11177168,-0.030888166,-0.3340979,-0.15747795,-0.13987488,-0.18680265,-0.15846595,-0.22302713,0.023151793,-0.75855878,-0.035571507,-0.12719921,0.17372677,0.47715557,0.083942348,0.17552965,0.21808974,0.11521665,1.1721361,0.11586436,0.1324051,0.24263168,0.084976823,0.087937069,0.23467017,1.0369524,0.20659184,0.72786737,-0.79559912,-1.2765263,-0.21332336,-0.90539727,-0.61712126,-0.8796105,-0.29854068,-0.77643061,-0.85051664,-0.4729895,0.37566225,-0.93469913,-0.44173988,-0.2950233,0.41509185,-0.7697063,-0.45130771,-1.1107219,-0.20639063,-1.6441165,-0.73389114,-0.7554617,0.0658675,-1.3660169,0.13911754,0.17548759,0.32683004,-0.023987712,0.65506192,0.48874329,1.3693276,-0.60057799,0.38746708,0.47081997,1.0513781,-0.79054248,0.63697576,0.17668917,0.78948144,-0.4708991,0.65659088,0.21595816,1.5090822,-0.86595696,1.1060694,0.68139947,2.0902157,-1.6060937,-0.2455237,-0.67028639,0.25376501,-1.4895771,0.6729905,0.6318343,0.72868708,0.42267409,-0.43116867,-0.35306924,0.25414235,-1.9208026,-0.02975848,0.0050752331,0.15700251,-0.32921221,-0.46878785,3.3259566,0.11392573,-0.089642154,-0.17319209,0.011514731,-0.10871703,-0.092599297,-0.2178475,0.059413202,-0.16861464,-0.14013418,-0.10844366,-0.03720584,-0.14720065,-0.12087849,-0.095125375,0.029520886,-0.17844632,0.013346096,-0.13046538,0.066759998,-0.24679326,-0.11544465,-0.11792993,-0.023299133,-0.18827606,-0.17103321,-0.12840256,0.048991384,-0.36221477,-0.08157962,-0.10085002,0.001178317,-0.22706354,-0.088572267,-0.077535921,-0.00066705903,-0.24454674,-0.032252152,-0.14393226,0.004750555,-0.30105769,-0.10267094,-0.14011451,-0.030228937,-0.23205222,-0.12576264,-0.16310686,-0.039219689,-0.36426231,-0.034465295,-0.13414443,0.08270287,-0.32640752,-0.060699665,-0.10337668,-0.0029449678,-0.32026587,-0.12464744,-0.10851273,0.01693223,-0.43239366,-0.14885944,-0.12350512,-0.01292221,-0.36682204,0.25362929,0.2573433,0.25401092,0.2419871
-19645.343,0.98954379,0.0029741175,10,1023,0,19690.496,0.12564681,0.26923454,-0.028966025,-0.077579513,0.042599698,-0.0090381481,-0.39522694,-0.18508903,-0.10963746,-0.16099888,-0.2099352,-0.20236017,-0.065114742,-0.70967296,-0.0044151462,-0.37593707,0.24020202,0.46481272,0.094059064,0.086099712,0.13185626,0.14090254,1.8272812,0.15355668,0.15708928,0.2415882,0.077532013,0.065978002,0.233236,0.6679974,0.19903924,0.97056131,-0.83332671,-1.1808403,-0.21878756,-0.97109572,-0.76388958,-0.8352781,-0.29805742,-0.86906875,-0.54598537,-1.2360414,0.52855649,-0.90291308,-0.26208607,-0.66194974,0.84089615,-1.0301172,-0.21627624,-1.4962194,0.36093429,-2.1433933,-0.72218275,-0.82004199,-0.061878312,-1.1396217,0.15675845,0.15336762,0.20523833,0.03748097,0.90929603,0.30868287,1.4854483,-0.058891183,0.54694848,0.097634943,0.75453762,-0.86526725,0.57680509,0.030986386,0.80303564,-0.744145,1.142029,0.45552329,2.5461286,-0.45411738,0.45130591,0.86610108,2.0196185,-2.4600476,0.22918894,-0.28297851,0.71005617,-1.3111897,0.96858013,0.9084182,1.1805858,0.58789197,-0.42471681,-0.65977585,0.14652637,-2.2002149,0.27349167,0.23911058,0.35355011,0.005755445,-3.7633502,16.433265,0.30538888,-0.074519954,-0.15799343,0.073093592,-0.10761235,-0.085831048,-0.11901334,0.13069366,-0.13471966,-0.080320898,-0.14522693,0.020749504,-0.11389318,-0.10014505,-0.1345732,-0.0051785964,-0.1662723,0.014082321,-0.1546862,0.090191145,-0.24002014,-0.11079553,-0.12458415,-0.017756959,-0.16961374,-0.10878518,-0.11498117,-0.020198811,-0.32673867,-0.045460552,-0.13768871,0.043011473,-0.19413216,-0.023717723,-0.094300061,0.0088923051,-0.24556167,-0.021649574,-0.15351293,0.033005057,-0.34077553,-0.12139139,-0.17461756,-0.012528727,-0.24514383,-0.1725839,-0.14521655,-0.069109773,-0.36466919,-0.011659631,-0.13111552,0.10049592,-0.37093138,-0.062663946,-0.10285196,0.07895528,-0.31696265,-0.08895046,-0.13573643,0.024749351,-0.44234426,-0.11049665,-0.14386559,-0.032795015,-0.37035106,0.26106896,0.26104817,0.2484199,0.23844024
-19642.565,0.97927761,0.0029741175,10,1023,0,19693.546,0.12537062,0.31331514,-0.072064269,-0.067392487,0.18170599,0.091025413,-0.28819667,-0.18908499,-0.10803499,-0.10096994,-0.1838954,-0.17028815,-0.042874424,-0.69415067,-0.050717483,-0.41117844,0.29193689,0.33881285,0.085887865,0.11847473,0.37632081,0.55055189,0.96928758,0.23930916,0.09901471,0.18382579,0.049555292,0.060880544,0.18058018,0.74012824,0.31975584,1.1597633,-0.72415325,-1.0344387,-0.25381796,-0.75140282,-1.1488329,-1.3834831,-0.77357257,-1.2706288,-0.74293394,-0.49963104,-0.16140828,-0.51250861,-0.54944098,-0.41184613,0.59544341,-0.74884008,-0.46709268,-0.92457872,-0.342931,-1.0642758,-0.39423274,-0.42330286,-0.14138389,-0.41409609,0.16212439,0.18334578,0.33961631,-0.046936515,0.62521222,0.094450612,0.93431277,-0.0072867712,0.19954796,0.44515572,1.1691281,-1.7132831,0.38285946,-0.19415384,0.70972944,-1.2367074,0.96425943,0.78188182,3.4080129,-1.2887764,0.72962711,0.11636049,1.7413218,-3.000603,0.1936556,-0.53840673,0.69259958,-1.8356716,0.8628158,0.7969027,1.0055908,0.53489304,-0.13935533,-0.30776661,0.25097634,-1.0695774,0.24398838,0.23405658,0.3100646,0.036123593,1.1819932,-3.4181209,0.029249203,-0.086036426,-0.17662018,0.051271794,-0.093991583,-0.07592423,-0.15542673,0.051218809,-0.11719023,-0.13587328,-0.11497651,-0.085927281,-0.11608254,-0.13248736,-0.11618585,0.0031525097,-0.15611111,0.0059292922,-0.16623222,0.052653913,-0.21880313,-0.12602017,-0.14202477,0.013186245,-0.13695597,-0.13105152,-0.11048188,0.040989194,-0.33369165,-0.039465982,-0.16648209,0.034504612,-0.19082878,-0.088276805,-0.063958024,0.0077258957,-0.27767522,-0.030590493,-0.13666042,0.02949664,-0.32830865,-0.13611124,-0.14514902,-0.015010324,-0.24776109,-0.12586805,-0.16320406,-0.064275528,-0.35296649,-0.0079040608,-0.14010001,0.08219533,-0.37436032,-0.055556324,-0.10434047,0.050115478,-0.29826122,-0.095277164,-0.14912765,0.029533669,-0.39272111,-0.12820967,-0.13972822,-0.051576901,-0.36928363,0.25272745,0.26491223,0.25541092,0.23274885
-19644.917,0.95094414,0.0029741175,10,1023,0,19695.045,0.049240199,0.26726458,-0.10154953,0.043657918,-0.12337793,-0.012455871,-0.27506056,-0.095159561,-0.070708992,-0.046785699,-0.29803741,-0.16819116,0.14080352,-0.3299429,-0.067520586,-0.67121853,0.11975514,0.26016124,0.0217241,0.12046207,0.14231904,0.10097203,0.60142469,0.072356907,0.14576176,0.20429968,0.34653577,0.1364137,0.36116916,0.42558236,0.32689906,0.82044741,-0.98321414,-1.9463472,-0.054052841,-1.3058881,-1.4469396,-1.6841941,-0.88522798,-1.5585654,-1.0124764,-0.91199332,0.51627802,-0.16629081,-1.4250848,-1.0936569,-0.11829536,-1.8600949,0.94703633,-0.23927835,1.3501375,-0.76511023,-0.86611667,-1.036773,0.30919528,-1.3663866,0.21130563,0.25634828,0.48724339,-0.073821121,0.80161293,-0.59095123,2.2013073,-1.4822443,-0.26297154,-0.089929057,0.17613726,-0.87105178,0.040860422,-0.42212304,0.39620054,-1.2970347,0.29775756,0.50881545,0.79346774,0.073626437,0.32820206,0.39489359,0.56746363,-1.6364606,-0.39873555,-0.70048056,-0.19481732,-1.3897534,0.64322796,0.52824737,0.89750398,0.081511265,0.00021604813,-0.13564278,0.38369499,-1.0331803,0.63285812,0.61028992,0.73639173,0.31749089,1.5762986,-4.8317853,0.19953352,-0.068504749,-0.18384488,0.042767094,-0.10714662,-0.10917302,-0.17089745,0.036962565,-0.13821375,-0.12354466,-0.12136176,-0.090333851,-0.10516204,-0.12801076,-0.088086257,0.029407813,-0.18041297,0.011403377,-0.15743179,0.068772347,-0.23226768,-0.099909432,-0.11714095,0.018764205,-0.15042271,-0.14797614,-0.12088638,0.017979642,-0.3194584,-0.037157328,-0.13791896,0.064120224,-0.20241018,-0.10904019,-0.08381721,-0.045034914,-0.19767503,-0.038437928,-0.1330253,0.034157945,-0.31176947,-0.19485377,-0.12171466,-0.023072454,-0.27252322,-0.12341991,-0.11432227,-0.090781352,-0.3914268,-0.0032074629,-0.11218846,0.070441512,-0.36113254,-0.056196428,-0.10513014,0.052018961,-0.29525315,-0.06744996,-0.11186208,0.057908943,-0.40526627,-0.15199172,-0.17050774,-0.067047843,-0.41073396,0.25138924,0.25817786,0.2443045,0.24875079
