# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 13:07:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35354b102674.json
# init = 2 (Default)
# random
#   seed = 1261929261
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141407-1-483ae4.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141407-1-49931d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00138871
# Diagonal elements of inverse mass matrix:
# 0.0144615, 0.0075168, 0.00275335, 0.0138482, 0.0282072, 0.00545556, 0.0279615, 0.0139221, 0.0277532, 0.0176912, 0.0706676, 0.0383547, 0.0451479, 0.036121, 0.0812045, 0.025444, 0.468914, 0.302964, 1.44431, 0.317942, 0.344232, 0.332204, 0.386696, 0.405257, 0.437368, 0.328945, 0.767646, 0.365431, 0.400605, 0.380506, 0.360537, 0.295378, 0.314132, 0.200432, 0.454033, 0.33295, 0.296434, 0.324705, 0.229569, 0.341281, 0.226039, 0.229884, 0.281494, 0.293114, 0.300037, 0.203052, 0.303737, 0.265179, 0.37135, 0.22199, 0.47802, 0.327949, 0.263167, 0.294092, 0.234209, 0.334767, 0.200776, 0.241043, 0.313785, 0.293915, 0.287151, 0.197574, 0.2905, 0.263217, 0.444906, 0.459708, 0.635679, 0.590595, 0.445865, 0.502937, 0.459388, 0.533645, 0.363942, 0.314873, 0.395475, 0.406847, 0.457984, 0.32375, 0.386135, 0.305255, 0.293027, 0.229874, 0.621134, 0.430791, 0.414856, 0.368257, 0.378192, 0.501485, 0.484917, 0.525174, 0.618505, 0.460878, 0.585472, 0.510765, 0.516452, 0.683361, 36.4349, 627.321, 1.28754
-19644.922,0.98867002,0.0013887075,10,1023,0,19683.842,-0.075095557,-0.080726897,-0.083099761,-0.052431918,-0.082802149,-0.063069806,-0.31241244,-0.056573511,-0.48808031,-0.38678261,-0.30328326,-0.11486332,-0.27775718,-0.14873152,0.2218216,-0.18362076,0.050714188,0.086436356,0.052148763,0.064262069,0.1553602,0.058421609,0.24550434,0.091588864,0.36966341,0.33357859,0.31482865,0.17721199,0.2437419,0.42116456,0.39719042,0.1706304,0.62337622,-1.2736271,2.3696651,-0.94118545,-0.33778026,-0.39047482,1.6454711,-1.0028122,-0.26267765,-0.34599,1.3088603,-0.71907403,-1.1939494,-1.3039465,1.7240189,-1.9927995,0.55021101,-0.4046213,1.0522072,-0.92688822,-0.43035731,-1.119254,0.60365487,-1.4557285,0.50210049,0.85095309,1.5550422,-0.25299712,0.017436415,-0.82301286,1.0944295,-1.455831,1.189506,1.1502394,1.2583923,0.6798138,0.98088807,0.70408122,1.3967907,0.091657295,0.57862116,0.58149318,0.80093983,0.084630226,-0.095554011,-0.18334911,0.45292919,-1.5146665,0.87161719,0.67491287,1.4821033,-0.34430943,0.24343754,0.080726628,0.51516349,-0.44699607,-0.83652944,-0.87697225,-0.50827712,-1.6589715,0.47108451,-0.037112534,0.81502034,-1.1136453,-0.5982953,3.741044,0.04778336,-0.043481538,-0.13968652,0.045080082,-0.12282701,-0.10992339,-0.11447812,0.061501628,-0.16740633,-0.096798075,-0.10114271,-0.014844316,-0.12059858,-0.12915757,-0.13622622,0.058357104,-0.18049333,0.0026787452,-0.1456642,0.080668976,-0.22680369,-0.088211973,-0.12845843,-0.027803317,-0.14811581,-0.18914459,-0.10349977,0.069357162,-0.37452433,-0.054976529,-0.13195232,0.043664043,-0.18991142,-0.048363478,-0.062878877,-0.022898716,-0.23677803,-0.059579348,-0.15191618,0.079156857,-0.3562077,-0.12111674,-0.12021255,-0.051124455,-0.27663924,-0.13179663,-0.14735498,-0.034598832,-0.38328039,-0.065307549,-0.11325263,0.0834935,-0.36167981,-0.046204257,-0.11473233,0.06823708,-0.33699042,-0.11043988,-0.12650338,0.019938795,-0.43710598,-0.10323942,-0.18995328,-0.044553511,-0.3736425,0.23989684,0.24590623,0.24009601,0.23255058
-19643.73,0.99808611,0.0013887075,10,1023,0,19712.018,-0.047047841,-0.055590964,-0.094356482,-0.096057535,-0.091201999,-0.04793636,-0.35572698,-0.10376365,-0.23733859,-0.48063316,-0.18499636,-0.14535057,-0.25571414,-0.24178717,0.11194134,-0.075421653,0.068910947,0.10114977,0.062709429,0.039128418,0.22486959,0.071586055,0.19503051,0.10687048,0.19473632,0.35567255,0.10434515,0.18116128,0.4592649,0.19334694,0.2082348,0.35443814,-0.26268402,-1.8206955,0.6908185,-0.70243979,-0.54636492,-0.99545737,1.4559857,-0.89782723,-0.044225697,-0.80255631,1.1831699,-0.083100898,-0.38880274,-0.3293669,2.5352125,-2.2952833,0.36350189,-0.37002646,0.70598491,-0.59046741,-0.69777622,-1.0287182,1.0630642,-1.6405999,1.2350513,1.3286213,1.9685344,0.21111119,0.58363483,-0.0040990474,1.3681493,-1.0644074,0.93722815,0.90700967,1.0786422,0.016164732,1.1439981,1.0300147,1.4110967,0.41534234,0.49752055,0.29674428,1.1919575,-0.47982726,0.086326791,0.077926173,0.80750057,-1.3543311,0.53477696,0.26305998,0.67646123,-0.19968983,0.86901065,0.63458536,1.4014253,-0.46443434,-0.87478427,-1.1388427,-0.2828171,-2.5159435,-0.07186306,-0.21911165,0.12778125,-0.90040284,1.4189905,-4.4866936,0.11283916,-0.065149645,-0.17251369,0.00055711568,-0.095453632,-0.11085565,-0.15628125,0.091681657,-0.14640599,-0.09712985,-0.14468433,-0.020160574,-0.099567692,-0.11127077,-0.10894514,0.0031413179,-0.18586834,-0.0094614783,-0.1744097,0.067552536,-0.22398016,-0.097887407,-0.12157824,0.028164209,-0.16538044,-0.11485429,-0.096605291,0.028197288,-0.31455386,-0.041390317,-0.10420172,0.042451123,-0.21751738,-0.054826234,-0.060710868,-0.027287792,-0.23419073,-0.073744438,-0.11428519,0.021255208,-0.33290729,-0.1330825,-0.15403253,-0.06062138,-0.23506401,-0.1297115,-0.13123337,0.00093726677,-0.39070292,-0.010109859,-0.13489993,0.05496075,-0.34742468,-0.07376662,-0.11909203,0.029174123,-0.33158413,-0.070219187,-0.12520535,0.053048978,-0.41196565,-0.10089266,-0.15308318,-0.030131104,-0.39455876,0.23730231,0.24048288,0.23901958,0.24017215
-19653.085,0.99923681,0.0013887075,10,1023,0,19695.8,-0.043523648,-0.049369395,-0.10842259,-0.089457538,-0.015669997,-0.059387607,-0.35605561,-0.14815919,-0.21679651,-0.46073592,-0.18958549,-0.13894998,-0.25601941,-0.22933663,0.15898473,-0.1124124,0.077334193,0.087679479,0.042783139,0.053081999,0.22296222,0.060780894,0.17698974,0.1189751,0.14348315,0.33866729,0.18458517,0.17036422,0.47838318,0.21149872,0.22342516,0.37140334,-0.29998377,-1.5533809,0.64993124,-0.76134595,-0.80874006,-1.1086173,0.92228937,-0.92289791,0.11424544,-0.74730541,1.839932,-0.33998267,0.016642915,-0.3269974,2.5730592,-2.3802038,0.06066783,-0.29997514,0.48638964,-0.91849385,-1.1861956,-0.83722432,0.72319506,-1.4714151,1.0336897,1.2651683,2.1530567,0.11121271,0.39845801,0.47975475,0.92953914,-0.24115379,0.91654682,0.78536053,1.679424,-0.24922228,1.0568907,0.92815261,1.571766,0.36769739,0.12674731,0.24753727,1.1624711,-0.16736276,0.24685077,0.05046068,0.36602622,-1.4605575,0.52114513,0.24427919,0.68459552,-0.23404314,0.76545743,0.51929072,1.1332421,-0.26070687,-1.2210238,-1.251695,-0.57853794,-2.5339239,-0.058280095,-0.11799011,0.17006301,-0.84621088,-0.080480294,1.6625174,0.048369232,-0.06672265,-0.1636531,0.00673826,-0.10240172,-0.1202793,-0.14657238,0.031496457,-0.1302886,-0.10353481,-0.14039466,-0.029704521,-0.12296811,-0.088574099,-0.10681521,0.04712559,-0.21580351,-0.0021433626,-0.082553121,0.092776518,-0.22045943,-0.13148564,-0.11027485,-0.015431165,-0.14882153,-0.17310314,-0.13213381,0.025013339,-0.33637211,-0.10075261,-0.091080327,-0.037567186,-0.17685049,-0.085287481,-0.1041105,0.024172545,-0.25255571,-0.10280161,-0.14640098,0.071569817,-0.33620884,-0.16618982,-0.14389378,0.024989429,-0.22047817,-0.096895441,-0.13035329,-0.07659221,-0.38777672,-0.0067123492,-0.13916036,0.071479573,-0.36798171,-0.067443365,-0.11950731,0.010342615,-0.2844758,-0.11382269,-0.12067541,0.029724804,-0.40715762,-0.13405782,-0.15623432,-0.049250428,-0.42669794,0.2371607,0.24400222,0.25737918,0.24298695
-19649.108,0.95441058,0.0013887075,10,1023,0,19707.376,-0.046434857,0.040781912,-0.11020397,-0.12621737,-0.11074765,-0.062034356,-0.20700537,-0.16844836,-0.23977376,-0.43384064,-0.16600265,-0.060081099,-0.15700018,-0.23383828,0.18139491,-0.17067876,0.10883906,0.29903574,0.050058424,0.054908693,0.11970481,0.079851052,0.14781622,0.094046579,0.15287177,0.44125573,0.15823623,0.26897356,0.48590127,0.25700015,0.25788929,0.23758691,0.00080051452,-1.0562522,1.1268557,-0.76561739,-0.32629749,-0.58356397,-0.12329199,-0.62032106,-0.16461694,-0.34943767,2.3190206,-0.59456598,0.84722665,0.23440734,2.7955039,-1.3399447,0.9403879,-0.16974097,1.5552986,-0.95864321,-0.14293317,-0.96402684,0.82084798,-1.1476787,0.67380353,0.70808957,1.6085159,-0.72754758,0.97280462,0.28050665,1.6618153,0.08817112,1.1646559,1.1176329,1.1648263,-0.12917022,0.89655346,0.74623193,1.0207723,0.090091317,0.2623551,0.02740161,0.86807392,-0.34371337,-0.1607644,-0.15845993,0.081618079,-1.1910242,0.31452536,0.021150603,0.48392636,-0.43342878,0.69982459,0.46801888,1.1040027,-0.43983582,-1.0811534,-1.1316969,-0.49966553,-2.4304253,0.11533856,0.11219954,0.48537653,-0.93704662,3.9626161,-15.083892,0.11300866,-0.04634773,-0.16139635,0.076211055,-0.12976393,-0.056792699,-0.13372457,0.0039132014,-0.14471626,-0.11844444,-0.12769627,0.0058825458,-0.13996701,-0.079697264,-0.11334637,0.027280092,-0.19979199,0.0018212975,-0.13106646,0.075429061,-0.22550185,-0.07344772,-0.13901291,0.003511219,-0.15367771,-0.10740627,-0.10233824,0.030759382,-0.3145487,-0.07695941,-0.14206767,-0.012160315,-0.16015616,-0.061730752,-0.068919234,-0.061704695,-0.25952024,-0.038231287,-0.10456153,0.016581,-0.39408733,-0.12448857,-0.16166673,-0.028641911,-0.22039056,-0.10332247,-0.10270263,-0.038127994,-0.38043513,-0.0041719078,-0.14672308,0.078140252,-0.36760378,-0.053983258,-0.11355736,0.049890573,-0.34687615,-0.097422985,-0.1104576,0.052536517,-0.44538576,-0.14327583,-0.14402162,-0.055359655,-0.39330877,0.24274743,0.24087499,0.24880429,0.24345961
-19658.741,0.98996717,0.0013887075,10,1023,0,19702.908,-0.089993839,0.03576167,-0.11127034,-0.14519421,-0.069572962,-0.059868185,-0.22162177,-0.11093697,-0.17548547,-0.27601046,-0.18842252,-0.11026412,-0.03887514,-0.2286614,0.22542855,-0.22692353,0.051594874,0.17219741,0.025124161,0.06236248,0.079484139,0.086202465,0.092052593,0.070506835,0.11803317,0.15977216,0.16224905,0.29609497,0.26531046,0.315883,0.25126536,0.30399343,0.3615239,-1.5837699,1.5467684,-0.19581567,-0.51508139,-0.93703674,-0.041961969,-1.0039768,0.46257228,-0.99733405,1.3410795,-0.88181034,0.46416854,-0.18246224,2.8995324,-0.45047039,0.84555792,-0.70794383,1.7550697,-1.7000967,-0.52067054,-0.55137224,0.57239343,-1.1756693,0.66618718,0.76757721,2.4049331,-1.4722081,0.70782092,0.45609616,1.2520948,-0.94594355,1.1927169,0.74479459,1.7632898,-0.55748281,1.3969086,1.052802,1.7175251,0.050417583,0.17312029,0.29561802,1.2899082,-0.32428948,0.021937134,-0.034533031,0.23420052,-0.84029112,0.052616844,-0.26104949,0.56012105,-1.136569,0.57042135,0.38402452,0.88291146,-0.29581499,-1.3527032,-1.440447,-0.82682204,-2.4923833,0.23900354,0.28371588,0.56794885,-0.57181403,0.90122052,-2.7168375,0.070177693,-0.071341059,-0.17170825,-0.010188516,-0.10009692,-0.052934013,-0.12559363,0.028535927,-0.13712053,-0.099648604,-0.13632753,-0.077576846,-0.13342509,-0.11624751,-0.15657301,0.035627825,-0.17328666,-0.0023645185,-0.12584327,0.069927239,-0.20470368,-0.10475127,-0.10739783,-0.010526461,-0.16121378,-0.16029751,-0.1509643,-0.0002414455,-0.35714235,-0.06103076,-0.078779076,-0.022655733,-0.17763246,-0.034705312,-0.087574998,0.032641222,-0.24128693,-0.052823363,-0.10780202,-0.0015977652,-0.26795514,-0.16033392,-0.14045878,0.020863861,-0.24103818,-0.10376865,-0.12048918,-0.040918524,-0.3590701,-0.024915341,-0.1081343,0.10973083,-0.34041878,-0.048474995,-0.10735459,0.050235321,-0.32210433,-0.1144589,-0.13650588,0.01767681,-0.40082103,-0.15426803,-0.14067577,-0.054270815,-0.40075124,0.23251345,0.24259665,0.25803054,0.2393016
-19665.414,0.9999981,0.0013887075,10,1023,0,19710.167,-0.091984293,-0.0036871843,-0.10393448,-0.1434166,-0.079787945,-0.058214372,-0.16531669,-0.11865112,-0.19916489,-0.29988774,-0.17296443,-0.13466253,-0.057079542,-0.25010172,0.22002425,-0.24418382,0.045690812,0.17830604,0.024645965,0.071948988,0.071972751,0.089054143,0.094384753,0.077114123,0.10387188,0.17772397,0.12660927,0.3018967,0.26652314,0.35898264,0.24594082,0.36803857,0.24078902,-1.5489086,1.6628227,-0.17353137,-0.57826852,-0.89073726,0.024128792,-0.90051737,0.31317908,-0.98954721,1.5322557,-0.87148845,0.53442448,-0.17591667,2.8352581,-0.47791025,0.8750128,-0.72518207,1.8167503,-1.5666694,-0.45822976,-0.73247744,0.86929032,-1.2430533,0.62006097,0.82182856,2.5862505,-1.5275285,0.46728485,0.53303363,1.4640076,-0.87635096,1.1835389,0.90952989,1.7601441,-0.48286824,1.5793888,0.91870259,1.6429914,-0.16032006,0.10690258,0.19301873,1.2344167,-0.49413589,-0.03797817,-0.024487048,0.15709915,-0.93729643,-0.11374937,-0.17564573,0.38659148,-1.0745178,0.44815558,0.38536952,0.80583445,-0.16235144,-1.3408113,-1.3197064,-0.8297766,-2.6735715,0.27590968,0.26239087,0.66152097,-0.43047996,2.1177939,-7.0761028,0.070143729,-0.080982447,-0.16275519,-0.016008572,-0.099913082,-0.10679595,-0.16251102,0.000615125,-0.16425487,-0.096215879,-0.12832283,-0.066170559,-0.12541315,-0.1049653,-0.15607362,0.060577353,-0.17780176,-0.016810866,-0.13198129,0.050968573,-0.19254545,-0.099021631,-0.12344452,0.019199532,-0.16891342,-0.10679238,-0.0877486,0.078785928,-0.30949208,-0.08261686,-0.077546701,-0.0057554605,-0.18623016,-0.07622848,-0.10469031,-0.016335409,-0.24932132,-0.019192482,-0.13661226,-0.0078887693,-0.32838045,-0.15942957,-0.14852647,-0.016675841,-0.23552661,-0.14612801,-0.14205509,-0.087234813,-0.41762923,-0.087396381,-0.10389319,0.04595603,-0.34346339,-0.089221646,-0.11176075,0.039178858,-0.30838307,-0.10973598,-0.10454542,0.01594831,-0.43751611,-0.14263842,-0.14761386,-0.00071858812,-0.40261705,0.23630302,0.24161711,0.25233212,0.24077608
