# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 13:07:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35354b102674.json
# init = 2 (Default)
# random
#   seed = 1261929261
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141407-2-483ae4.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141407-2-49931d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.000960123
# Diagonal elements of inverse mass matrix:
# 0.0134014, 0.0235408, 0.00167829, 0.014025, 0.0392161, 0.00827262, 0.0190794, 0.0243634, 0.0263415, 0.0945587, 0.0134526, 0.0386898, 0.0382483, 0.0425172, 0.051138, 0.0176221, 0.401939, 0.417247, 0.650226, 0.405769, 0.383615, 0.486571, 0.28069, 0.449272, 0.441958, 0.440794, 0.395909, 0.434456, 0.30953, 0.370511, 0.340488, 0.311482, 0.300818, 0.270234, 0.449343, 0.286076, 0.267962, 0.275234, 0.267844, 0.299136, 0.273415, 0.31731, 0.263897, 0.27051, 0.263575, 0.244079, 0.266408, 0.267084, 0.441992, 0.329374, 0.396245, 0.252485, 0.243737, 0.281385, 0.264791, 0.271315, 0.26908, 0.316332, 0.277777, 0.254511, 0.252306, 0.220953, 0.266859, 0.241113, 0.47861, 0.570517, 0.578433, 0.614121, 0.384933, 0.525798, 0.456524, 0.428887, 0.327677, 0.443942, 0.456844, 0.381695, 0.393981, 0.365752, 0.376694, 0.421476, 0.333895, 0.328311, 0.405845, 0.335351, 0.387417, 0.382438, 0.453919, 0.435157, 0.650542, 0.568825, 0.415695, 0.490573, 0.49063, 0.469135, 0.554487, 0.516822, 46.6762, 798.497, 1.01345
-19630.215,0.047615772,0.00096012256,3,10,1,19673.971,0.31547096,-0.12562885,-0.11271953,-0.13256767,0.19696905,-0.10111828,-0.057287272,-0.069906807,-0.069788735,-0.12446296,-0.22190723,-0.51062525,-0.12253415,-0.08360163,-0.10709259,-0.36982477,0.3313963,0.30305222,0.027397541,0.13103694,0.29757645,0.082683498,0.22376636,0.11224935,0.10594472,0.13754121,0.17812301,0.50724993,0.14310834,0.20398184,0.14330664,0.29273532,-1.2548312,-1.4408686,-0.84753259,-1.2395907,0.096215045,-0.07634647,0.4049629,-0.073899526,0.54102454,-0.60875162,1.5369383,-0.057291103,0.51075565,0.056553478,1.0673423,-0.53695847,-0.5393853,-1.1550744,-0.33181225,-1.4971292,0.017942561,-0.19777978,1.4735336,-0.76883044,-0.45089815,-0.34766873,0.40362295,-1.2808947,0.002566645,-0.34352098,1.0578386,-1.1982376,-0.3144409,-0.18590101,1.0994933,-1.4903999,0.4657312,0.089685171,1.4217194,-1.2301634,0.47697358,0.40196506,1.2600862,-0.048341915,0.83289476,0.79587368,0.90507605,0.20009118,0.61147854,0.16977707,1.6572931,-1.5346748,0.02508066,-0.10681561,0.48948775,-1.1287531,-0.11775011,-0.052470646,0.93078608,-2.0067602,0.75848087,0.69734158,1.1561599,-0.080142085,3.1459404,-11.586489,0.0090844756,-0.10037546,-0.16202757,0.034601802,-0.095324796,-0.096470671,-0.14876582,-0.0029039486,-0.14802427,-0.097896787,-0.12939783,-0.070611197,-0.11428916,-0.065639815,-0.12515708,0.0072935957,-0.20292906,0.036460685,-0.14675389,0.098229535,-0.24854135,-0.099634725,-0.1174714,0.020718634,-0.16468787,-0.15818311,-0.13508384,0.033029968,-0.34390842,-0.069618703,-0.10846681,0.048834893,-0.2044082,-0.10310209,-0.089483965,0.046696775,-0.22768874,-0.060405728,-0.11212755,0.071082049,-0.29366113,-0.13694726,-0.150308,0.0025431114,-0.23051804,-0.088139442,-0.10691838,-0.051525487,-0.40912901,-0.035026464,-0.09823763,0.11463832,-0.34215891,-0.078485631,-0.10539007,0.016244982,-0.31384676,-0.12396697,-0.11461199,0.026295235,-0.39467467,-0.14779063,-0.16568826,-0.03137592,-0.39328518,0.2413189,0.24233194,0.24863374,0.24081647
-19630.215,0.027620369,0.00096012256,2,7,1,19688.152,0.31547096,-0.12562885,-0.11271953,-0.13256767,0.19696905,-0.10111828,-0.057287272,-0.069906807,-0.069788735,-0.12446296,-0.22190723,-0.51062525,-0.12253415,-0.08360163,-0.10709259,-0.36982477,0.3313963,0.30305222,0.027397541,0.13103694,0.29757645,0.082683498,0.22376636,0.11224935,0.10594472,0.13754121,0.17812301,0.50724993,0.14310834,0.20398184,0.14330664,0.29273532,-1.2548312,-1.4408686,-0.84753259,-1.2395907,0.096215045,-0.07634647,0.4049629,-0.073899526,0.54102454,-0.60875162,1.5369383,-0.057291103,0.51075565,0.056553478,1.0673423,-0.53695847,-0.5393853,-1.1550744,-0.33181225,-1.4971292,0.017942561,-0.19777978,1.4735336,-0.76883044,-0.45089815,-0.34766873,0.40362295,-1.2808947,0.002566645,-0.34352098,1.0578386,-1.1982376,-0.3144409,-0.18590101,1.0994933,-1.4903999,0.4657312,0.089685171,1.4217194,-1.2301634,0.47697358,0.40196506,1.2600862,-0.048341915,0.83289476,0.79587368,0.90507605,0.20009118,0.61147854,0.16977707,1.6572931,-1.5346748,0.02508066,-0.10681561,0.48948775,-1.1287531,-0.11775011,-0.052470646,0.93078608,-2.0067602,0.75848087,0.69734158,1.1561599,-0.080142085,3.1459404,-11.586489,0.0090844756,-0.10037546,-0.16202757,0.034601802,-0.095324796,-0.096470671,-0.14876582,-0.0029039486,-0.14802427,-0.097896787,-0.12939783,-0.070611197,-0.11428916,-0.065639815,-0.12515708,0.0072935957,-0.20292906,0.036460685,-0.14675389,0.098229535,-0.24854135,-0.099634725,-0.1174714,0.020718634,-0.16468787,-0.15818311,-0.13508384,0.033029968,-0.34390842,-0.069618703,-0.10846681,0.048834893,-0.2044082,-0.10310209,-0.089483965,0.046696775,-0.22768874,-0.060405728,-0.11212755,0.071082049,-0.29366113,-0.13694726,-0.150308,0.0025431114,-0.23051804,-0.088139442,-0.10691838,-0.051525487,-0.40912901,-0.035026464,-0.09823763,0.11463832,-0.34215891,-0.078485631,-0.10539007,0.016244982,-0.31384676,-0.12396697,-0.11461199,0.026295235,-0.39467467,-0.14779063,-0.16568826,-0.03137592,-0.39328518,0.2413189,0.24233194,0.24863374,0.24081647
-19630.215,0.053711626,0.00096012256,3,9,1,19687.978,0.31547096,-0.12562885,-0.11271953,-0.13256767,0.19696905,-0.10111828,-0.057287272,-0.069906807,-0.069788735,-0.12446296,-0.22190723,-0.51062525,-0.12253415,-0.08360163,-0.10709259,-0.36982477,0.3313963,0.30305222,0.027397541,0.13103694,0.29757645,0.082683498,0.22376636,0.11224935,0.10594472,0.13754121,0.17812301,0.50724993,0.14310834,0.20398184,0.14330664,0.29273532,-1.2548312,-1.4408686,-0.84753259,-1.2395907,0.096215045,-0.07634647,0.4049629,-0.073899526,0.54102454,-0.60875162,1.5369383,-0.057291103,0.51075565,0.056553478,1.0673423,-0.53695847,-0.5393853,-1.1550744,-0.33181225,-1.4971292,0.017942561,-0.19777978,1.4735336,-0.76883044,-0.45089815,-0.34766873,0.40362295,-1.2808947,0.002566645,-0.34352098,1.0578386,-1.1982376,-0.3144409,-0.18590101,1.0994933,-1.4903999,0.4657312,0.089685171,1.4217194,-1.2301634,0.47697358,0.40196506,1.2600862,-0.048341915,0.83289476,0.79587368,0.90507605,0.20009118,0.61147854,0.16977707,1.6572931,-1.5346748,0.02508066,-0.10681561,0.48948775,-1.1287531,-0.11775011,-0.052470646,0.93078608,-2.0067602,0.75848087,0.69734158,1.1561599,-0.080142085,3.1459404,-11.586489,0.0090844756,-0.10037546,-0.16202757,0.034601802,-0.095324796,-0.096470671,-0.14876582,-0.0029039486,-0.14802427,-0.097896787,-0.12939783,-0.070611197,-0.11428916,-0.065639815,-0.12515708,0.0072935957,-0.20292906,0.036460685,-0.14675389,0.098229535,-0.24854135,-0.099634725,-0.1174714,0.020718634,-0.16468787,-0.15818311,-0.13508384,0.033029968,-0.34390842,-0.069618703,-0.10846681,0.048834893,-0.2044082,-0.10310209,-0.089483965,0.046696775,-0.22768874,-0.060405728,-0.11212755,0.071082049,-0.29366113,-0.13694726,-0.150308,0.0025431114,-0.23051804,-0.088139442,-0.10691838,-0.051525487,-0.40912901,-0.035026464,-0.09823763,0.11463832,-0.34215891,-0.078485631,-0.10539007,0.016244982,-0.31384676,-0.12396697,-0.11461199,0.026295235,-0.39467467,-0.14779063,-0.16568826,-0.03137592,-0.39328518,0.2413189,0.24233194,0.24863374,0.24081647
-19630.215,0.0016883794,0.00096012256,2,7,1,19676.167,0.31547096,-0.12562885,-0.11271953,-0.13256767,0.19696905,-0.10111828,-0.057287272,-0.069906807,-0.069788735,-0.12446296,-0.22190723,-0.51062525,-0.12253415,-0.08360163,-0.10709259,-0.36982477,0.3313963,0.30305222,0.027397541,0.13103694,0.29757645,0.082683498,0.22376636,0.11224935,0.10594472,0.13754121,0.17812301,0.50724993,0.14310834,0.20398184,0.14330664,0.29273532,-1.2548312,-1.4408686,-0.84753259,-1.2395907,0.096215045,-0.07634647,0.4049629,-0.073899526,0.54102454,-0.60875162,1.5369383,-0.057291103,0.51075565,0.056553478,1.0673423,-0.53695847,-0.5393853,-1.1550744,-0.33181225,-1.4971292,0.017942561,-0.19777978,1.4735336,-0.76883044,-0.45089815,-0.34766873,0.40362295,-1.2808947,0.002566645,-0.34352098,1.0578386,-1.1982376,-0.3144409,-0.18590101,1.0994933,-1.4903999,0.4657312,0.089685171,1.4217194,-1.2301634,0.47697358,0.40196506,1.2600862,-0.048341915,0.83289476,0.79587368,0.90507605,0.20009118,0.61147854,0.16977707,1.6572931,-1.5346748,0.02508066,-0.10681561,0.48948775,-1.1287531,-0.11775011,-0.052470646,0.93078608,-2.0067602,0.75848087,0.69734158,1.1561599,-0.080142085,3.1459404,-11.586489,0.0090844756,-0.10037546,-0.16202757,0.034601802,-0.095324796,-0.096470671,-0.14876582,-0.0029039486,-0.14802427,-0.097896787,-0.12939783,-0.070611197,-0.11428916,-0.065639815,-0.12515708,0.0072935957,-0.20292906,0.036460685,-0.14675389,0.098229535,-0.24854135,-0.099634725,-0.1174714,0.020718634,-0.16468787,-0.15818311,-0.13508384,0.033029968,-0.34390842,-0.069618703,-0.10846681,0.048834893,-0.2044082,-0.10310209,-0.089483965,0.046696775,-0.22768874,-0.060405728,-0.11212755,0.071082049,-0.29366113,-0.13694726,-0.150308,0.0025431114,-0.23051804,-0.088139442,-0.10691838,-0.051525487,-0.40912901,-0.035026464,-0.09823763,0.11463832,-0.34215891,-0.078485631,-0.10539007,0.016244982,-0.31384676,-0.12396697,-0.11461199,0.026295235,-0.39467467,-0.14779063,-0.16568826,-0.03137592,-0.39328518,0.2413189,0.24233194,0.24863374,0.24081647
-19630.215,0.00087237027,0.00096012256,2,7,1,19674.502,0.31547096,-0.12562885,-0.11271953,-0.13256767,0.19696905,-0.10111828,-0.057287272,-0.069906807,-0.069788735,-0.12446296,-0.22190723,-0.51062525,-0.12253415,-0.08360163,-0.10709259,-0.36982477,0.3313963,0.30305222,0.027397541,0.13103694,0.29757645,0.082683498,0.22376636,0.11224935,0.10594472,0.13754121,0.17812301,0.50724993,0.14310834,0.20398184,0.14330664,0.29273532,-1.2548312,-1.4408686,-0.84753259,-1.2395907,0.096215045,-0.07634647,0.4049629,-0.073899526,0.54102454,-0.60875162,1.5369383,-0.057291103,0.51075565,0.056553478,1.0673423,-0.53695847,-0.5393853,-1.1550744,-0.33181225,-1.4971292,0.017942561,-0.19777978,1.4735336,-0.76883044,-0.45089815,-0.34766873,0.40362295,-1.2808947,0.002566645,-0.34352098,1.0578386,-1.1982376,-0.3144409,-0.18590101,1.0994933,-1.4903999,0.4657312,0.089685171,1.4217194,-1.2301634,0.47697358,0.40196506,1.2600862,-0.048341915,0.83289476,0.79587368,0.90507605,0.20009118,0.61147854,0.16977707,1.6572931,-1.5346748,0.02508066,-0.10681561,0.48948775,-1.1287531,-0.11775011,-0.052470646,0.93078608,-2.0067602,0.75848087,0.69734158,1.1561599,-0.080142085,3.1459404,-11.586489,0.0090844756,-0.10037546,-0.16202757,0.034601802,-0.095324796,-0.096470671,-0.14876582,-0.0029039486,-0.14802427,-0.097896787,-0.12939783,-0.070611197,-0.11428916,-0.065639815,-0.12515708,0.0072935957,-0.20292906,0.036460685,-0.14675389,0.098229535,-0.24854135,-0.099634725,-0.1174714,0.020718634,-0.16468787,-0.15818311,-0.13508384,0.033029968,-0.34390842,-0.069618703,-0.10846681,0.048834893,-0.2044082,-0.10310209,-0.089483965,0.046696775,-0.22768874,-0.060405728,-0.11212755,0.071082049,-0.29366113,-0.13694726,-0.150308,0.0025431114,-0.23051804,-0.088139442,-0.10691838,-0.051525487,-0.40912901,-0.035026464,-0.09823763,0.11463832,-0.34215891,-0.078485631,-0.10539007,0.016244982,-0.31384676,-0.12396697,-0.11461199,0.026295235,-0.39467467,-0.14779063,-0.16568826,-0.03137592,-0.39328518,0.2413189,0.24233194,0.24863374,0.24081647
-19630.215,0.066824571,0.00096012256,3,9,1,19681.059,0.31547096,-0.12562885,-0.11271953,-0.13256767,0.19696905,-0.10111828,-0.057287272,-0.069906807,-0.069788735,-0.12446296,-0.22190723,-0.51062525,-0.12253415,-0.08360163,-0.10709259,-0.36982477,0.3313963,0.30305222,0.027397541,0.13103694,0.29757645,0.082683498,0.22376636,0.11224935,0.10594472,0.13754121,0.17812301,0.50724993,0.14310834,0.20398184,0.14330664,0.29273532,-1.2548312,-1.4408686,-0.84753259,-1.2395907,0.096215045,-0.07634647,0.4049629,-0.073899526,0.54102454,-0.60875162,1.5369383,-0.057291103,0.51075565,0.056553478,1.0673423,-0.53695847,-0.5393853,-1.1550744,-0.33181225,-1.4971292,0.017942561,-0.19777978,1.4735336,-0.76883044,-0.45089815,-0.34766873,0.40362295,-1.2808947,0.002566645,-0.34352098,1.0578386,-1.1982376,-0.3144409,-0.18590101,1.0994933,-1.4903999,0.4657312,0.089685171,1.4217194,-1.2301634,0.47697358,0.40196506,1.2600862,-0.048341915,0.83289476,0.79587368,0.90507605,0.20009118,0.61147854,0.16977707,1.6572931,-1.5346748,0.02508066,-0.10681561,0.48948775,-1.1287531,-0.11775011,-0.052470646,0.93078608,-2.0067602,0.75848087,0.69734158,1.1561599,-0.080142085,3.1459404,-11.586489,0.0090844756,-0.10037546,-0.16202757,0.034601802,-0.095324796,-0.096470671,-0.14876582,-0.0029039486,-0.14802427,-0.097896787,-0.12939783,-0.070611197,-0.11428916,-0.065639815,-0.12515708,0.0072935957,-0.20292906,0.036460685,-0.14675389,0.098229535,-0.24854135,-0.099634725,-0.1174714,0.020718634,-0.16468787,-0.15818311,-0.13508384,0.033029968,-0.34390842,-0.069618703,-0.10846681,0.048834893,-0.2044082,-0.10310209,-0.089483965,0.046696775,-0.22768874,-0.060405728,-0.11212755,0.071082049,-0.29366113,-0.13694726,-0.150308,0.0025431114,-0.23051804,-0.088139442,-0.10691838,-0.051525487,-0.40912901,-0.035026464,-0.09823763,0.11463832,-0.34215891,-0.078485631,-0.10539007,0.016244982,-0.31384676,-0.12396697,-0.11461199,0.026295235,-0.39467467,-0.14779063,-0.16568826,-0.03137592,-0.39328518,0.2413189,0.24233194,0.24863374,0.24081647
