# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 13:19:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353524f6606f.json
# init = 2 (Default)
# random
#   seed = 478874168
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141419-1-20d8cd.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141419-1-028706.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00543784
# Diagonal elements of inverse mass matrix:
# 0.0111563, 0.00870903, 0.0112256, 0.0146465, 0.0265096, 0.0047438, 0.037565, 0.0108014, 0.015134, 0.0823095, 0.00870583, 0.0349122, 0.0477474, 0.025856, 0.0601155, 0.0465227, 0.417476, 0.33627, 1.38192, 0.400738, 0.401294, 0.349463, 0.342107, 0.294574, 0.365613, 0.511391, 0.340164, 0.336674, 0.285349, 0.31947, 0.363377, 0.385527, 0.282593, 0.22068, 0.597636, 0.298711, 0.304593, 0.30642, 0.312093, 0.28426, 0.242981, 0.271532, 0.301909, 0.24071, 0.276816, 0.241167, 0.263162, 0.263064, 0.347543, 0.279402, 0.461132, 0.284825, 0.275676, 0.259371, 0.30465, 0.290146, 0.236984, 0.212325, 0.273311, 0.240616, 0.262217, 0.231792, 0.256904, 0.257117, 0.606235, 0.411514, 0.765894, 0.526024, 0.455994, 0.518123, 0.425664, 0.427924, 0.314276, 0.503796, 0.481567, 0.311053, 0.400593, 0.349904, 0.407223, 0.370276, 0.255393, 0.30735, 0.420146, 0.392462, 0.462095, 0.332175, 0.491008, 0.401032, 0.565416, 0.368992, 0.422494, 0.491448, 0.505239, 0.450974, 0.498429, 0.500356, 16.618, 250.927, 0.648675
-19643.105,0.9893639,0.0054378364,10,1023,0,19692.494,-0.10857226,-0.028679589,-0.097731308,-0.097307242,0.076914098,-0.097873248,-0.20369546,-0.14516655,-0.15575542,0.062976671,-0.10374977,-0.011672248,-0.19257594,-0.1212873,-0.27652866,-0.039395289,0.076198623,0.17198879,0.049901161,0.081763267,0.74008942,0.070020159,0.24048999,0.087531808,0.079975344,0.324815,0.19148762,0.28727654,0.15026438,0.18161551,0.17423829,0.13896178,0.37047088,-1.1061534,1.7475954,0.022992712,-0.4324362,-0.61386061,0.46929611,-0.74746408,-0.85354712,-0.31459305,1.1042689,-0.072845369,0.40068185,-0.50711526,1.5220853,-0.98544538,-0.12433036,-0.3219283,0.034740448,-0.44900603,0.029247027,0.072329231,1.8635597,-0.66217045,0.38384111,0.33032003,1.1054563,-0.43663596,0.83696149,0.24542057,1.7401351,-0.71895683,0.84856905,1.086344,1.8908554,-0.91451919,-0.26970859,-0.5996787,-0.15339733,-1.1693157,-0.1471503,-0.24169642,0.43970593,-0.8707706,-0.30529971,-0.57470789,0.044082523,-1.363133,1.1107216,0.30247697,1.9796892,-1.04046,0.37928146,0.0052925617,0.74536253,-0.99863215,1.1678069,0.84633467,1.6668755,-1.0381573,-0.74033189,-0.83256978,-0.12033741,-2.7617621,-1.2723918,6.286264,0.056785703,-0.080342887,-0.19285962,0.024592107,-0.10682025,-0.10305377,-0.13425673,0.052034081,-0.15723503,-0.1403243,-0.11342987,-0.04262701,-0.10136638,-0.064546185,-0.13877064,0.027143421,-0.17788048,-0.015101489,-0.16134163,0.10262514,-0.25539052,-0.095825367,-0.092808744,0.032613496,-0.14423853,-0.11138552,-0.1242568,0.062155713,-0.30870204,-0.0719058,-0.12368445,0.0071506211,-0.20809814,-0.087890821,-0.068874686,-0.0045336155,-0.22889441,-0.024628724,-0.13180796,0.013150918,-0.31683461,-0.13192723,-0.15003164,-0.019551528,-0.27049156,-0.099377691,-0.17677234,0.00099162697,-0.40326837,-0.025674046,-0.14712442,0.10490084,-0.34892001,-0.052403904,-0.12032609,0.014082096,-0.30265438,-0.073051991,-0.12906476,0.013904872,-0.45741541,-0.14227312,-0.15509067,-0.056117589,-0.42317466,0.25358918,0.24472848,0.26096348,0.26281538
-19649.801,0.79069091,0.0054378364,10,1023,0,19697.571,-0.19402555,-0.07609749,-0.11007672,-0.11622758,-0.093617921,-0.10916996,-0.22572376,-0.12111706,-0.12950419,-0.057219789,-0.13941621,-0.001178827,-0.31191594,-0.10618131,-0.12371998,-0.19221141,0.15639467,0.1643565,0.04355961,0.092055571,0.24027488,0.089963683,0.32321499,0.10197636,0.14421015,0.15015057,0.15692176,0.16973872,0.15542603,0.14471267,0.33212678,0.14064557,0.64620717,0.12474161,1.4738214,0.56289668,-0.19455708,-0.53936584,1.0048334,-0.33287449,1.2265152,-0.30078381,1.5407002,-0.4787251,-0.39872721,0.18313636,1.9060128,-0.86312192,0.42428943,-0.17867738,0.71283068,-0.53249824,0.10112051,-0.24428847,1.2822627,-0.53183665,0.19429531,0.31161268,0.57924718,-0.21281047,0.77803389,-0.014273518,1.6948951,-0.78254889,0.33626838,0.40419017,0.24429485,-0.83487238,0.046527131,-0.38763209,0.4681505,-1.7876468,0.02005677,-0.24364175,0.86031648,-0.57530104,-0.75878349,-0.88216632,-0.16301031,-2.3695921,1.5363937,1.0454389,2.4072226,0.080160954,0.41538529,-0.19920491,1.1472429,-1.5598082,0.068340222,-0.011185066,0.72654532,-0.9533054,0.0043471724,0.30626271,1.2433552,-1.5330018,-0.75671569,3.9791097,0.10150725,-0.092962195,-0.17451663,0.03647226,-0.10599151,-0.10807421,-0.16474577,0.089053417,-0.13080758,-0.056650195,-0.12317874,-0.042964417,-0.1309298,-0.15293264,-0.099368861,0.059231515,-0.19568276,0.0083281698,-0.13654961,0.077657385,-0.22156387,-0.10007279,-0.13114705,0.0061871155,-0.15701595,-0.1629246,-0.12500587,-0.038502386,-0.29450729,-0.041776004,-0.12257263,0.051722165,-0.20091855,-0.081010879,-0.071215868,-0.094274396,-0.24990127,-0.050233714,-0.11542297,0.013073274,-0.32563596,-0.13626887,-0.1776489,-0.0044138343,-0.22969346,-0.12997377,-0.15091661,-0.028847988,-0.40339037,-0.073120384,-0.14942753,0.062229095,-0.29945685,-0.046069798,-0.13500879,0.05983927,-0.33190533,-0.10102236,-0.12743484,0.11758518,-0.44033823,-0.1916,-0.14913692,-0.017339004,-0.40782132,0.26233257,0.24937046,0.25611559,0.26869066
-19651.491,0.98201743,0.0054378364,10,1023,0,19694.419,-0.098956273,-0.050857922,-0.11811191,-0.11870999,0.010456702,-0.028754668,-0.18244206,-0.2477627,-0.12081064,-0.089510472,-0.18209004,0.029664919,-0.21799256,-0.15170538,-0.20230646,-0.15909619,0.12373133,0.085465798,0.01629316,0.066047088,0.18712715,0.12741377,0.094759875,0.90173087,0.070423349,0.15737355,0.14756833,0.3040383,0.15521465,0.21945667,0.24205346,0.29922437,0.16912171,-0.59043221,1.1548012,-0.072759767,-0.72343546,-1.084723,1.1272862,-1.0550954,-0.030153571,0.53297079,2.2089905,1.3296132,0.84976362,-0.19672354,2.9726885,-0.82892383,0.020205794,-0.74805432,0.36404747,-1.2120405,-0.24227004,-0.67069209,0.34151197,-1.0586833,0.35670939,0.67577006,1.9797904,-1.4803294,0.25577808,0.10843103,0.36988424,0.048674664,0.65668896,0.62454146,1.0359685,-2.0935004,0.14356341,-0.067018458,1.1801245,-1.3434309,0.29470651,0.48956476,1.0228601,-0.41848524,-0.49597668,-0.5936559,-0.25774209,-1.4275907,1.0993937,0.68788373,1.6642994,-0.79111248,0.49430857,0.36015328,1.0083186,-0.71011729,0.5296472,0.22601056,0.95871376,-1.0606839,-0.10969124,0.12228143,0.54958519,-0.70827617,-0.49017739,3.1022153,0.04624368,-0.078030619,-0.17201124,0.043928817,-0.10795894,-0.11268691,-0.14356464,0.045486493,-0.14103249,-0.11860321,-0.10942813,-0.082120475,-0.09644831,-0.062585583,-0.13170301,0.077627422,-0.173458,0.014237755,-0.12952457,0.078579867,-0.21634899,-0.059623207,-0.11421008,0.014758661,-0.16364551,-0.14864032,-0.11840617,0.0051626356,-0.32271789,-0.017119709,-0.1499871,0.085773331,-0.20387126,-0.074564402,-0.076828337,-0.047854266,-0.26824195,-0.066917389,-0.1000574,0.096209906,-0.30093097,-0.13860069,-0.10984579,-0.031148289,-0.24384521,-0.12113099,-0.15082921,-0.048698547,-0.40437733,-0.047350556,-0.11122293,0.040331082,-0.34078481,-0.043226069,-0.072667342,0.069576868,-0.30754535,-0.074103527,-0.14759983,0.029753516,-0.45904866,-0.19191848,-0.12250661,0.0053530908,-0.37102968,0.26271014,0.24349382,0.25180689,0.26919859
-19643.571,0.99821087,0.0054378364,10,1023,0,19699.225,-0.27288995,-0.57278915,-0.070501557,-0.03878963,-0.03288078,-0.10135884,0.068858018,-0.13362052,-0.086347044,-0.10789179,-0.14294413,-0.094260566,0.029404731,-0.01364064,-0.32992125,-0.29212626,0.20275333,0.47599446,0.018304996,0.11341959,0.21414707,0.05934753,0.18196003,0.073680966,0.14474577,0.23569051,0.099093786,0.25228025,0.40436271,0.17339685,0.56985184,0.17143756,1.0033568,0.42811082,1.4723732,0.80104644,1.002571,0.9584245,1.3724077,0.8740929,-1.186911,-0.70929915,0.36129531,-2.8307472,-0.67324974,-0.64403981,1.4304908,-1.121322,0.12536765,-0.46104939,0.45980845,-0.92568764,0.15845132,-0.33244307,1.8945255,-1.0558019,-0.99667036,-1.1278453,-0.15334894,-2.2664773,1.0510282,0.15081461,1.9098757,-0.95609951,0.00082844541,0.060421778,0.84223645,-1.3147748,0.11077435,-0.13139009,0.48656395,-0.80947639,0.24485477,0.046945636,1.3502484,-0.85164159,-0.24929055,-0.20716601,0.36562771,-1.1367969,-0.19674831,-0.34369781,0.092309082,-0.99811082,-0.30427885,-0.78105365,0.19075109,-1.9072916,0.40313529,0.33964007,0.68356911,-0.2096247,0.61592065,0.68291769,1.6202578,-0.5866341,0.98584639,-2.4684488,0.049426997,-0.06945601,-0.18608906,0.025638629,-0.11047512,-0.0955709,-0.11658441,0.080469301,-0.15672578,-0.092227958,-0.083485275,-0.063888048,-0.12231838,-0.11514934,-0.11183636,0.12345605,-0.16596951,-0.006033666,-0.13161316,0.065585853,-0.23111408,-0.091955146,-0.12108852,0.011076567,-0.16401808,-0.11249615,-0.13636473,0.040954641,-0.34355024,-0.056179745,-0.12250835,0.0071009715,-0.20406685,-0.08622713,-0.077601247,0.035563118,-0.27665514,-0.08178333,-0.13885919,0.0067867121,-0.2986777,-0.11868055,-0.13829211,-0.0091429126,-0.22733652,-0.15715165,-0.14652446,-0.002019914,-0.38105197,-0.050152949,-0.10957385,0.066731081,-0.37419407,-0.066401633,-0.14907288,0.019434997,-0.34435898,-0.10019386,-0.13637673,0.059611864,-0.44937627,-0.18653432,-0.17504851,-0.014353209,-0.39269738,0.26141699,0.25014033,0.25647997,0.27068838
-19640.777,0.97732205,0.0054378364,10,1023,0,19689.575,-0.043198369,-0.63250079,-0.0074497333,-0.1045198,-0.10017242,-0.027649981,-0.022178911,-0.10301253,-0.11051362,-0.1728734,-0.076131917,-0.11101472,-0.089400419,-0.19126223,0.33101597,-0.51065646,0.19610535,0.6512894,0.14550818,0.11232576,0.20711605,0.11767947,0.17794818,0.058096198,0.17966776,0.38670616,0.42383972,0.14405921,0.27440583,0.40938591,0.64244607,0.20376327,0.13772296,-0.42198327,0.46075564,-0.33549672,0.82270667,0.74311499,1.0056809,0.72901049,-0.44621392,-1.1385181,0.20642147,-0.59273239,-0.64225162,-0.055443356,1.7856743,-0.80917628,0.47812303,-0.16401246,0.93275593,-0.72762441,-0.77061287,-0.57246414,0.1815032,-1.2285111,-0.8105755,-0.57119495,0.14905483,-1.8332348,1.0129678,0.15106091,2.4253326,-1.6623026,0.039822233,0.073981506,0.61500857,-0.53326061,0.26343303,0.072519978,0.6068464,-0.41394474,-0.094340471,-0.2129734,0.075201298,-0.43117727,-0.046584321,-0.26125158,0.28083633,-1.9310784,0.13483346,-0.12040451,0.53846269,-0.94290709,0.22006667,0.16230451,0.53082436,-0.39730486,-0.67222307,-0.72110917,-0.47682196,-1.1670914,1.7759517,1.7213398,2.0631931,0.58691217,-2.4816576,10.704358,0.087445933,-0.01619016,-0.12595155,0.047158279,-0.10899107,-0.096680664,-0.14851788,0.022488527,-0.15770399,-0.072377508,-0.17311343,0.022586279,-0.093697142,-0.1766612,-0.11074752,0.096057413,-0.19541114,-0.0011454677,-0.13414204,0.093016306,-0.25087512,-0.11833529,-0.095017257,-0.0062907806,-0.17222052,-0.16641934,-0.12382201,0.0043451245,-0.34839971,-0.04416295,-0.094236462,0.03789008,-0.19958599,-0.10335885,-0.097221526,-1.640533e-05,-0.20632336,-0.071002226,-0.14482948,0.061797838,-0.33294838,-0.11611716,-0.1663985,-0.04425862,-0.25888197,-0.11772562,-0.14865042,-0.070557659,-0.38920436,-0.052401332,-0.12244012,0.058356881,-0.34813962,-0.10117004,-0.12481705,0.026049783,-0.35391324,-0.1008511,-0.13225778,0.024683574,-0.41877733,-0.14878274,-0.15991064,-0.090253495,-0.39106532,0.2640349,0.24934493,0.25836958,0.26805246
-19644.085,0.90927252,0.0054378364,10,1023,0,19690.973,-0.069936996,-0.44607091,-0.093890714,-0.069032917,-0.019103964,-0.08122552,0.13055388,-0.092525303,-0.20467501,-0.043372539,-0.21770586,-0.04931401,-0.12740254,-0.13046147,-0.0015785092,-0.3359807,0.078863342,0.60708079,0.010509635,0.054271765,0.21494185,0.14410745,0.23321305,0.067993595,0.15293057,0.43457297,0.25989121,0.1754086,0.18610906,0.27189838,0.3376369,0.38743385,0.17529937,-1.0203027,1.5169024,-0.78395513,0.62403369,0.49211525,0.79537787,0.46493605,-1.3338972,0.11478126,1.0473016,-1.7252961,-0.47553983,-1.609467,1.5536203,-2.1347351,-0.059761088,-0.46746799,0.49089163,-0.76833795,-0.40465122,-0.15867321,0.83428983,-0.40125945,-1.0672435,-0.9944522,-0.2652395,-1.8934462,0.84457457,-0.14953525,2.038027,-1.3177786,1.0196782,0.74900099,1.6987346,-0.31303353,-0.025281394,-0.16327233,0.19892944,-0.55846507,0.2266072,0.26212639,0.78351418,-0.12473994,-0.37400907,-0.56981565,-0.1071761,-2.068736,0.36166387,0.15361112,1.2085983,-1.2645656,0.31836046,0.185011,0.73015717,-0.60223626,-0.28174403,-0.32771009,0.12112666,-1.3013867,0.54884509,0.47430194,0.6955338,-0.19309814,-1.7882977,8.646203,0.18717421,-0.056112302,-0.15040147,0.049690996,-0.13176232,-0.067232046,-0.1473172,0.036787711,-0.16381717,-0.10790949,-0.092684405,-0.082883958,-0.11202295,-0.094841303,-0.15638153,0.015284797,-0.18488876,-0.031949123,-0.1195824,0.086409195,-0.18425195,-0.13953878,-0.10409151,0.039001863,-0.13905,-0.11834123,-0.10136535,0.068696568,-0.31102247,-0.035099642,-0.10269274,0.046047483,-0.18212581,-0.048735041,-0.090129866,0.055113437,-0.25254741,-0.054359149,-0.11432628,0.043076818,-0.28606636,-0.15881265,-0.14958152,-0.014077413,-0.25012468,-0.11491842,-0.14926458,-0.06811362,-0.41218811,-0.060093617,-0.098814118,0.097528545,-0.36274965,-0.043899778,-0.080157281,0.068067079,-0.29420853,-0.096705689,-0.11222553,0.039318319,-0.44097469,-0.12333953,-0.15222008,-0.066507364,-0.41079346,0.25392262,0.24591365,0.25312614,0.27505805
