# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 13:19:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353524f6606f.json
# init = 2 (Default)
# random
#   seed = 478874168
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141419-4-20d8cd.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141419-4-028706.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00658726
# Diagonal elements of inverse mass matrix:
# 0.0136253, 0.371377, 0.00315262, 0.012372, 0.0250968, 0.0102962, 0.0293024, 0.0280097, 0.0172462, 0.0545087, 0.0105802, 0.0207559, 0.0585469, 0.0301665, 0.0380591, 0.0369398, 0.395247, 0.905903, 0.689375, 0.34657, 0.30835, 0.441509, 0.360557, 0.458995, 0.342248, 0.321981, 0.449249, 0.357532, 0.397657, 0.330919, 0.329052, 0.380213, 0.277099, 0.342393, 0.436313, 0.250626, 0.343836, 0.30554, 0.226842, 0.266435, 0.297874, 0.286976, 0.284864, 0.287992, 0.282903, 0.272127, 0.253681, 0.264811, 0.399212, 0.446039, 0.447288, 0.247232, 0.286609, 0.281387, 0.241602, 0.243953, 0.293091, 0.285659, 0.300634, 0.263503, 0.262032, 0.279231, 0.245588, 0.253261, 0.496729, 0.508416, 0.617287, 0.505853, 0.489753, 0.481878, 0.455373, 0.426205, 0.360317, 0.406429, 0.487888, 0.387566, 0.432094, 0.352659, 0.354029, 0.382175, 0.292882, 0.471284, 0.388251, 0.339194, 0.399732, 0.405254, 0.380379, 0.430312, 0.575654, 0.516989, 0.474964, 0.545473, 0.534061, 0.592295, 0.569237, 0.439787, 13.0943, 196.77, 0.688302
-19648.526,0.95424581,0.006587265,9,537,1,19693.152,-0.10613871,0.082940412,-0.10297225,-0.0046069658,-0.14447008,-0.048624046,-0.094915949,-0.014770619,-0.10746648,-0.13458707,-0.17234516,-0.36367723,-0.17994514,-0.18632631,-0.14592947,-0.074084096,0.1108283,0.35169566,0.054618267,0.20003984,0.23026252,0.12074275,0.13137489,0.33142718,0.20529238,0.11756735,0.085022209,0.30120118,0.22023064,0.18884116,0.18535082,0.18078395,0.74062395,-0.79172835,2.0313373,0.021769368,-0.45704176,-0.63459833,-0.10722635,-0.68824077,-0.074547546,0.12341685,1.2164314,-0.056690544,-0.43418438,-0.59298868,0.34772123,-0.98007603,0.67737874,-0.014538013,0.87803071,-0.61879144,-0.50416705,-0.52798936,0.32280304,-1.0648933,-0.048209981,-0.36343967,0.68755835,-1.9714378,-0.096212891,-0.19874875,-0.0082016488,-0.53148091,0.21403553,0.056196376,0.43585586,-0.55364368,0.076031455,0.26369829,1.219841,-1.5340477,0.28563969,0.54165437,1.6698442,-1.0060402,0.76732595,0.62732743,0.93509183,-0.086453334,0.80478105,0.28575978,1.3854751,-0.90235577,0.72854117,0.45117012,1.1598697,-0.46898631,0.49422704,0.10455392,0.9731901,-1.5258,-0.32334712,-0.71707689,0.33560082,-1.7132092,1.8820899,-6.0045298,0.10009568,-0.024056621,-0.19388462,0.11899095,-0.10372605,-0.077799193,-0.14024507,0.045229369,-0.15911088,-0.10704391,-0.096231439,-0.036532877,-0.10606859,-0.091461137,-0.12322832,0.064951131,-0.20066121,0.011504858,-0.14781764,0.057707486,-0.28695456,-0.10949856,-0.11237493,-0.0096479201,-0.17720219,-0.10124953,-0.1426628,-0.0045880464,-0.35391338,-0.046658187,-0.080641359,-0.017488869,-0.19091784,-0.063526615,-0.095929791,-0.017988592,-0.22112531,-0.12564825,-0.10358476,0.0088263993,-0.31494098,-0.14805944,-0.12629251,-0.030371316,-0.25788092,-0.13255775,-0.17472547,-0.082026469,-0.38971708,-0.0027076948,-0.11701208,0.12517892,-0.37867153,-0.048747746,-0.10112682,0.032704828,-0.27489023,-0.054324082,-0.12655031,0.034452114,-0.42873776,-0.13254006,-0.20372008,-0.013412855,-0.38380482,0.26320975,0.24246488,0.25016252,0.25661408
-19642.513,0.99827639,0.006587265,9,511,0,19700.067,-0.13165093,0.23193054,-0.093842194,-0.067909018,-0.18381059,-0.086594953,-0.093323267,-0.11551599,-0.052500106,-0.1098863,-0.13759115,-0.2544177,-0.24659878,0.119297,-0.2653625,0.014081261,0.2223024,1.0457157,0.028728679,0.13528518,0.28491177,0.58973326,0.21712058,0.29351556,0.3791304,0.08747777,0.046742362,0.46976883,0.24664427,0.53829356,0.2844682,0.24283275,0.29331718,-0.38623866,1.1843655,0.11485978,-0.32433399,-0.33195757,-0.14522041,-0.38560703,1.137294,-0.76514162,2.1158937,-1.197211,-0.33322765,-0.39181804,0.79524808,-0.86399494,0.73506546,0.21919082,0.82259968,-0.20786301,-0.10154514,-0.07869226,0.1509338,-0.09609979,-0.20056862,-0.042697781,0.6557136,-1.275478,0.2040595,0.085200144,0.46677005,-0.26909128,-0.0343362,-0.11921604,0.23609359,-0.48387859,0.69324625,-0.42358823,1.983658,-2.0812347,0.11694212,-0.44827306,3.2714706,-2.0385614,0.23778296,0.26972775,0.53691478,-0.28199354,0.78332836,0.51267307,1.2666638,-0.23978364,-0.32936461,-0.36903768,-0.17215235,-0.8761506,0.44995389,0.5571701,1.0796584,-0.54743581,-0.76317482,-0.59582612,-0.37025668,-1.610398,-4.1407962,17.566777,0.25542273,-0.066445823,-0.21751272,0.13163636,-0.10611733,-0.10723059,-0.11520268,0.080071288,-0.17130476,-0.06116924,-0.1158237,-0.033055361,-0.12823648,-0.11298978,-0.12091619,0.039676262,-0.18479473,0.025618205,-0.12136055,0.050557736,-0.24303321,-0.1464795,-0.1330024,0.0024157274,-0.1432682,-0.13687084,-0.10259383,0.049045651,-0.37025579,-0.055621354,-0.090508426,0.02148828,-0.19449847,-0.065518004,-0.09769853,0.037010153,-0.23595319,-0.049242667,-0.14694086,0.063639677,-0.29194807,-0.13212499,-0.15854449,0.015325119,-0.23287832,-0.14271468,-0.12770801,-0.0021918754,-0.38688948,-0.053395322,-0.1201509,0.065816596,-0.30574004,-0.057997846,-0.0793536,0.026628505,-0.35232922,-0.13736493,-0.10686532,0.041765984,-0.42109058,-0.17124258,-0.13060484,-0.075829188,-0.37697612,0.26513353,0.24882702,0.24969421,0.26399532
-19636.451,0.98899675,0.006587265,9,511,0,19689.5,-0.06769623,-0.091841256,-0.090866587,-0.05625778,-0.14216129,-0.14430605,-0.081748704,-0.071488296,-0.0089568173,-0.19393136,-0.17569228,-0.24456359,-0.28361371,-0.026931176,-0.19700945,-0.047300614,0.12199048,0.20025361,0.026085791,0.14427844,0.12051768,0.53555969,0.18027471,0.27189711,0.29488301,0.17279793,0.058398172,0.22410181,0.40936712,0.1728564,0.32380656,0.14673676,0.026702505,-0.57681847,0.51578392,-0.3580879,0.066682807,-0.25338901,0.78573782,-0.29748277,-0.12416275,-1.1309379,2.4287121,-1.5119497,-0.36652084,-0.39178547,0.93767965,-0.96865908,1.2122563,0.41466675,1.719999,-0.83508969,0.086466979,0.083899388,0.33051321,-0.011660499,-0.34154886,-0.15908152,0.7834703,-1.4933364,0.070968436,-0.066026658,0.32762791,-0.44274227,-0.14423056,-0.30420791,0.15911502,-0.82480712,0.63296848,0.62238185,1.253774,-0.71297034,0.38322209,-0.090057038,2.3156001,-0.82964594,0.56886232,0.42523644,1.0814716,-0.5549404,0.69298464,0.34328651,0.85697097,-0.044207879,-0.18880393,-0.56169806,0.42636388,-1.6204483,0.22352484,0.26657056,0.78167432,-0.63346775,-0.65234022,-0.76029945,-0.2435125,-2.0083415,-2.8229418,12.601976,0.15467645,-0.064438779,-0.13806259,-0.0047755019,-0.11137955,-0.078487783,-0.14258332,0.065505582,-0.15141326,-0.09410547,-0.120368,-0.02751171,-0.13030699,-0.10913884,-0.11278398,0.079029182,-0.19601441,0.0039370287,-0.092186612,0.065129007,-0.24280436,-0.097997818,-0.099372917,0.032703505,-0.15055094,-0.14332133,-0.11042708,0.059491181,-0.3509595,-0.052192184,-0.089440754,0.017592783,-0.19186864,-0.051487958,-0.098662561,0.037963499,-0.25217842,-0.084555721,-0.086385068,0.022718193,-0.31713116,-0.15331281,-0.18095144,-0.040465465,-0.22414208,-0.11708051,-0.14926733,-0.0022038378,-0.36892674,7.1418045e-05,-0.1430835,0.067202032,-0.30171096,-0.059567144,-0.12402428,0.046768548,-0.30703603,-0.12463065,-0.11069216,0.056101816,-0.40213046,-0.14302291,-0.15886449,-0.083032849,-0.34199814,0.25974554,0.25478623,0.25365529,0.26253949
-19643.282,0.96599366,0.006587265,10,1023,0,19689.878,-0.073489677,-0.077715159,-0.10745927,-0.091111963,0.038338816,-0.1267721,-0.2781691,-0.013446996,-0.33239375,-0.037424924,-0.13850155,-0.093626279,0.010712887,-0.26352754,-0.081947183,-0.2334337,0.10686247,0.13421217,0.0068609444,0.075054518,0.20045075,0.30883951,0.25212122,0.36944389,0.52944718,0.15018871,0.053978527,0.33621536,0.29198468,0.29053555,0.29134046,0.11749204,0.15177397,-0.62115833,0.79423731,-0.11578671,-0.031068143,-0.57379225,0.96003733,-0.58144324,0.29706329,-0.59520352,1.5387012,-0.48850804,-0.097927084,-0.17547261,2.0653677,-1.0648753,-0.11060259,-0.97443076,0.15255823,-1.3178709,0.029790883,-0.034105309,0.35911226,-0.11347018,0.61526663,0.68935347,1.3772378,-0.29160856,-0.1112148,-0.33123857,0.1982341,-0.49520649,0.40377088,0.47377077,0.67069609,0.15800545,-0.27286532,-0.27744976,0.39287618,-1.8937757,0.29123203,-0.68802013,1.260617,-2.4695886,-0.25636353,-0.13424775,0.22292207,-0.81085667,-0.16076844,-0.35015363,0.28601216,-1.1892368,0.66312161,0.47233855,1.0461577,-0.25919661,0.081358277,-0.16150096,0.50282388,-1.2111133,0.86182149,0.58259139,2.0773666,-1.1624543,1.1163359,-2.4076429,0.13661457,-0.057270735,-0.13986819,0.011384484,-0.085862931,-0.081884882,-0.15472506,0.051133539,-0.15575192,-0.10542114,-0.11154293,-0.09690233,-0.1108109,-0.098461833,-0.10428198,0.063903211,-0.17103567,0.016168443,-0.15698657,0.068919229,-0.2258294,-0.11757149,-0.13730516,-0.015864042,-0.16181617,-0.12304732,-0.10436846,0.06906179,-0.3516898,-0.054534623,-0.13582106,0.059789381,-0.19639801,-0.1186184,-0.081557153,0.022704401,-0.24873822,-0.078406214,-0.079094746,0.021580643,-0.32184865,-0.12278127,-0.17563986,-0.070455302,-0.27180631,-0.17981964,-0.13876243,-0.018676454,-0.36624875,-0.036229034,-0.091526609,0.094224058,-0.33652603,-0.070867139,-0.1262964,0.040418463,-0.33883337,-0.058244225,-0.12899895,0.064545758,-0.4347935,-0.13217654,-0.16498385,0.01064033,-0.37001283,0.26487569,0.23924466,0.25308167,0.27050393
-19648.162,0.99873646,0.006587265,10,1023,0,19694.206,-0.012979431,-0.059572304,-0.092080642,0.12329839,-0.43355779,-0.074732855,-0.17594182,-0.073229164,-0.10650586,-0.083710683,-0.1522369,-0.10074235,-0.25850103,-0.15495193,-0.33309967,-0.1687571,0.052908876,0.18692397,0.013381274,0.24985369,0.53101381,0.15747292,0.14655688,0.11647121,0.075812974,0.14163645,0.081461095,0.11461445,0.33449792,0.13573115,0.34713368,0.3347843,-0.1427063,-2.5834738,0.99524605,-1.4396026,-0.17313697,-0.31952497,0.63031067,-0.50384928,0.66083252,0.61368877,0.53762223,-0.87288102,-0.84888912,-0.90074611,-0.13985598,-1.2214441,0.84678961,0.64383519,0.90498067,0.37177941,-0.2735532,-0.33108993,0.36647654,-0.46744316,0.28766402,0.45631826,1.309135,-0.87850851,0.28794238,-0.30139355,0.59818524,-1.0650226,0.40832692,0.27625197,1.5110829,-1.9092787,0.044273779,-0.00044555037,0.87637269,-1.8430045,0.64665625,0.24023704,1.1677762,-0.76800611,0.0041035295,-0.49083823,0.39412801,-2.2627346,0.57416104,0.41119025,1.1001451,-0.29696799,0.75245611,0.41674646,1.239613,-1.2893948,0.73049097,0.57122101,1.103586,-0.29220282,0.013531222,0.1832739,0.3230607,-0.62265216,-2.1595084,10.378118,0.24812031,-0.020529861,-0.14966812,0.039677919,-0.089147184,-0.091935752,-0.11929918,0.058247867,-0.15375381,-0.08323786,-0.083868704,-0.084886571,-0.1037609,-0.088799682,-0.10175634,0.088354862,-0.18188392,0.016099186,-0.091672418,0.046999444,-0.23613779,-0.11781008,-0.12687055,-0.017022724,-0.14834249,-0.13378268,-0.10906524,0.015920929,-0.30469329,-0.039692167,-0.10833284,-0.0035578058,-0.19727364,-0.075549386,-0.085562381,0.0080538256,-0.25125396,-0.077439902,-0.083773789,0.040415637,-0.34474731,-0.099559576,-0.13266693,-0.057108572,-0.21479952,-0.10027203,-0.15699951,-0.055569589,-0.36008445,-0.066445353,-0.12095875,0.10949523,-0.3578362,-0.052820199,-0.098386457,0.013302172,-0.32996298,-0.079521646,-0.13480961,0.049992195,-0.43453311,-0.16422706,-0.10739987,-0.060601448,-0.37721126,0.26561308,0.25173846,0.24846005,0.27078711
-19662.714,0.9879511,0.006587265,9,1023,0,19712.484,-0.051849576,-0.24959393,-0.078418884,0.13932522,-0.20110691,-0.064635315,-0.14334717,-0.096224275,-0.11357131,-0.12690265,-0.15889453,-0.1028481,-0.19974059,-0.2148432,-0.21006768,-0.14057594,0.099168796,0.42756901,0.0086349732,0.18669937,0.57765331,0.052976045,0.16995115,0.1332587,0.064612291,0.23659722,0.11883464,0.17533911,0.24815564,0.11882548,0.70885999,0.25752016,-0.46705744,-1.0663915,0.86389674,-0.70000708,0.34901129,0.3578322,0.72402525,0.20342649,1.9693008,2.0513175,-0.50734405,1.4320541,-1.2577385,-1.3497911,-0.52658237,-1.6774597,0.3056537,0.12379791,0.57209026,-0.03477519,-0.59404697,-0.99597094,0.99328524,-1.5867761,-0.0018134747,0.064090448,1.0989824,-0.98718446,0.20489975,-0.050665583,1.0181714,-0.71496401,0.72157373,0.28824527,2.1119317,-1.8771874,0.26585396,0.29610864,0.74217954,-0.81752069,0.27707059,0.19421203,0.91498159,-0.85766448,-0.28023575,-0.14465637,0.98098515,-1.4031337,0.65500127,0.23183435,1.0908053,-0.65440258,1.4119694,0.8608525,1.923995,-1.0336834,0.13685183,0.10325199,0.3023968,-0.29157565,0.022055839,-0.03844243,0.40060806,-0.98280344,-2.7301779,11.130872,0.25322993,-0.0981671,-0.15760234,0.033822024,-0.12126844,-0.10036751,-0.096595966,0.059976836,-0.16261506,-0.061414024,-0.060705812,-0.082799786,-0.066053136,-0.09549377,-0.11267994,0.041012622,-0.17385546,-0.024545039,-0.12959464,0.12936293,-0.22119491,-0.096105574,-0.11739792,-0.012014991,-0.14869644,-0.14365537,-0.13245493,0.043426147,-0.3111203,-0.0689196,-0.1029759,0.03945592,-0.19149945,-0.066948783,-0.094947127,0.022885429,-0.23486069,-0.064002342,-0.056844169,0.048694967,-0.32032577,-0.12596894,-0.13581541,-0.050163021,-0.26081477,-0.15198438,-0.12821202,0.069156961,-0.34887231,-0.037198333,-0.14220959,0.070948892,-0.36213428,-0.047065252,-0.11255199,0.01377643,-0.33767113,-0.11305889,-0.13687647,0.0042893166,-0.41675398,-0.13489612,-0.15047565,-0.03741129,-0.39366764,0.25468176,0.24509112,0.26619796,0.27290957
