# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 13:31:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-3535498e0f39.json
# init = 2 (Default)
# random
#   seed = 441476757
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141431-1-3a3770.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141431-1-5385e2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00180608
# Diagonal elements of inverse mass matrix:
# 0.0127025, 0.0120013, 0.00410064, 0.0154405, 0.0122798, 0.00983068, 6.2592, 0.0111341, 0.0107479, 0.0188886, 0.0173001, 0.0223951, 0.0403237, 0.0570392, 0.0523987, 0.0499365, 0.39176, 0.364162, 0.804283, 0.339202, 0.287436, 0.437527, 2.4841, 0.335457, 0.281069, 0.234027, 0.413571, 0.291904, 0.269346, 0.459862, 0.409901, 0.377136, 0.294741, 0.28472, 0.393981, 0.319214, 0.262397, 0.308517, 0.396194, 0.284856, 0.305395, 0.26017, 0.309636, 0.232862, 0.260665, 0.288231, 0.260052, 0.240268, 0.358784, 0.333888, 0.370236, 0.305193, 0.264632, 0.301209, 0.360599, 0.267126, 0.285874, 0.260247, 0.317105, 0.230682, 0.250671, 0.257943, 0.255445, 0.234666, 0.526428, 0.549159, 0.540194, 0.493625, 0.369422, 0.578196, 0.278197, 0.43625, 0.380863, 0.360581, 0.492021, 0.303935, 0.361032, 0.447633, 0.393983, 0.340871, 0.270764, 0.354641, 0.402984, 0.429349, 0.419837, 0.376604, 0.996022, 0.403169, 0.479869, 0.496905, 0.496169, 0.513035, 0.441491, 0.469912, 0.493941, 0.515834, 17.9509, 297.219, 0.693932
-19641.525,0.99396518,0.0018060824,10,1023,0,19690.368,-0.046392561,-0.079440368,-0.080305126,-0.13302062,-0.072323855,-0.061615196,-0.23445171,-0.093377067,-0.079579228,-0.11510198,-0.20587312,-0.06466286,0.081177255,0.19168757,-0.45836779,-0.024921773,0.11990947,0.1152581,0.10897837,0.21212065,0.15805804,0.050303379,0.25084308,0.13511678,0.10260217,0.096353393,0.32371946,0.22117718,0.63453233,0.60655337,0.29911457,0.44228839,-0.452409,-1.5720593,0.63279653,-0.52609588,-0.17492954,-0.57495673,1.1520939,-0.59414707,-0.12653849,-0.50516679,0.48568268,-0.3547969,-0.061847412,0.10552396,1.0431757,-0.16515391,0.54244319,-0.369169,0.98099241,-0.98385776,-0.47286043,-1.2415759,0.22463791,-1.4364593,0.17664511,0.53613222,1.1506205,-0.38271185,0.19443274,-0.056991183,1.1697776,-0.54840589,0.026425049,-0.27855482,0.59651918,-1.4592048,-0.14184708,-0.011608137,2.0975615,-2.0649238,0.17931413,0.17459804,0.61407597,-0.10235606,-0.32130723,-0.21227618,0.38565443,-1.4775082,-0.18904507,-0.33719659,-0.027327709,-0.70653586,-0.3695341,-0.51088527,-0.18248453,-0.83443021,1.2684965,1.1448824,1.7737518,0.012158558,-0.38806382,-0.2233561,0.099477923,-0.79170441,1.8461088,-6.1000301,0.08891761,-0.10064069,-0.23489737,0.029485736,-0.10947644,-0.099602414,-0.14570879,0.053347789,-0.14792063,-0.094095084,-0.13535738,-0.02737622,-0.11897031,-0.14613973,-0.11063681,0.08825849,-0.16805317,0.013413651,-0.13067398,0.082729881,-0.22783048,-0.085401673,-0.12407066,-0.05031515,-0.13387395,-0.1901415,-0.099966647,0.05417348,-0.33045232,-0.067105942,-0.10107753,0.064679511,-0.1674759,-0.076867961,-0.10815956,-0.018375067,-0.2292968,-0.12876943,-0.11622047,0.087005183,-0.31406439,-0.14782564,-0.14935233,-0.0070847767,-0.23900777,-0.13572869,-0.11161351,0.020635101,-0.39145397,-0.038777951,-0.13278488,0.063836941,-0.36714259,-0.032454584,-0.11819161,0.081000965,-0.31443889,-0.078941995,-0.11591678,0.072187221,-0.45473098,-0.19655789,-0.12370959,0.019076158,-0.37508345,0.22998771,0.25206357,0.25208946,0.2476478
-19643.31,0.99255627,0.0018060824,10,1023,0,19697.919,-0.016006403,-0.12587396,-0.056954275,-0.16588792,-0.048386518,-0.057226808,-0.16280064,-0.065084384,-0.098110408,-0.12285545,-0.19101925,-0.076640707,0.15530957,0.24721312,-0.449205,-0.074348412,0.083755076,0.10873297,0.21981714,0.21131949,0.21565977,0.065277501,0.15166965,0.086674719,0.11818165,0.084395011,0.40887335,0.16475572,0.92545498,0.63291181,0.28731547,0.36777175,-0.63067054,-1.7672353,0.59471353,-1.413855,0.34916607,-0.46906179,1.518831,-0.41316222,-0.2382239,-0.23237268,0.23634137,-0.27219681,0.51424138,0.26543619,1.1022729,-0.29851912,0.2421383,-0.34805081,0.80214069,-1.0030736,-0.43901393,-0.90442904,0.77443315,-1.9532465,0.34359185,0.25456992,1.0075134,-1.090944,0.32830254,-0.37716317,0.95088336,-1.1693574,0.3208226,0.31988307,0.65248925,-1.4231017,0.50940674,-0.10274769,1.594984,-2.6274697,0.047599522,0.044478505,0.38319403,-0.085583763,-0.31809115,-0.55554959,0.25318855,-2.0019687,-0.20244594,-0.3170132,-0.10970775,-0.57755164,-0.48314552,-0.58487678,-0.31054871,-0.88482631,1.2267372,1.1947669,1.7333751,-0.075708293,-0.35858531,-0.20088039,0.15884361,-0.89051806,1.2305126,-3.6374416,0.092379897,-0.068828261,-0.16402133,0.033803874,-0.13442394,-0.08790809,-0.17687644,0.039273062,-0.17079831,-0.10931997,-0.10803377,-0.0050023895,-0.1167878,-0.057218696,-0.10979608,0.067043822,-0.22897083,0.0038329724,-0.12344708,0.12460296,-0.26470914,-0.085884541,-0.11626568,-0.0066737472,-0.18472986,-0.11068818,-0.12419011,-0.0099914346,-0.32826373,-0.036628854,-0.097774896,0.017333164,-0.16643811,-0.060195062,-0.060306098,-0.020998149,-0.26629491,-0.079864062,-0.13152684,0.011753244,-0.34460078,-0.17155708,-0.17283318,-0.034341428,-0.22601217,-0.12904804,-0.16817068,-0.034926446,-0.40647649,-0.032045028,-0.13807187,0.053779988,-0.37918847,-0.058575389,-0.1229623,0.050663175,-0.3128039,-0.096744431,-0.10593,0.048820476,-0.47095717,-0.20622596,-0.14822655,-0.015930221,-0.4018558,0.24051198,0.24936473,0.23797835,0.2450091
-19648.346,0.99797267,0.0018060824,10,1023,0,19693.346,0.047816527,-0.11017562,-0.083804935,-0.24204295,-0.080709258,-0.043067203,-0.18526236,-0.035265783,-0.11911161,-0.091424171,-0.20502317,-0.099692924,0.18059756,0.13156183,-0.46375848,-0.08146657,0.10761712,0.098343749,0.1314235,0.25868946,0.19657235,0.08531905,0.24498743,0.10761517,0.086000639,0.077574552,0.34112918,0.14920254,0.6736695,0.36223257,0.27881736,0.26163904,-1.1213855,-2.0140967,0.18892566,-1.2176854,0.47187996,-0.03104936,1.1786533,-0.62165175,-0.11108309,-0.42832938,0.45366,-0.23368548,0.48200389,0.63033918,1.4463593,0.150729,0.52262549,-0.2689287,0.81330231,-0.7328424,-0.79887936,-0.96538809,0.32152589,-1.2630029,-0.033450207,0.28158615,1.0510124,-0.60859388,0.089122639,-0.67487287,0.48678057,-1.2922297,0.6989784,0.33050819,0.74525505,-1.2771812,0.49801158,-0.36910375,1.981827,-2.7760757,0.25461012,0.25446562,0.68182211,-0.18941105,-0.23289019,-0.3104187,0.62817971,-1.718945,-0.30362156,-0.45639697,-0.16257242,-0.80414452,-0.54250022,-0.67680838,-0.25889707,-1.4083374,1.3747918,1.1674057,1.7968842,-0.029585834,-0.34465306,-0.20531412,-0.048186178,-1.1790888,-0.50753601,3.4445277,0.1193298,-0.072863744,-0.16893475,0.068148162,-0.08322726,-0.063769179,-0.11322913,0.0057375562,-0.17131119,-0.098403863,-0.14009748,-0.024183351,-0.1145167,-0.11735362,-0.078980843,0.13211498,-0.20305094,0.022024461,-0.1335732,0.079163486,-0.22476581,-0.11122683,-0.1254332,-0.01563492,-0.15082541,-0.19345724,-0.11627729,0.07222248,-0.33436021,-0.025674835,-0.10789234,0.017119191,-0.1743293,-0.058999019,-0.090687692,-0.055019198,-0.22895001,-0.052791145,-0.12005723,0.062315172,-0.306777,-0.11816823,-0.11821752,0.027566253,-0.26963681,-0.13444073,-0.14600818,-0.0059669161,-0.35616388,-0.023943025,-0.12686316,0.071077476,-0.36113008,-0.064949416,-0.1136002,0.037780883,-0.37858385,-0.080442674,-0.1382655,0.037244022,-0.47200753,-0.17164126,-0.13518476,-0.094073955,-0.38996222,0.24420806,0.25086108,0.24990278,0.2523165
-19644.383,0.99260831,0.0018060824,10,1023,0,19686.526,0.044608934,-0.095610226,-0.1371358,-0.2504775,-0.064958363,0.041063523,-0.11116418,-0.023273965,-0.12065896,-0.095344808,-0.20719192,-0.1058469,0.49284059,0.038212672,-0.2348089,-0.085424932,0.086117003,0.076334267,0.077728245,0.16517253,0.15719368,0.15089712,0.12569817,0.14131097,0.10906216,0.098404805,0.35720415,0.1682172,0.94298062,0.30479249,0.17809962,0.16721892,-0.90711236,-1.7646274,0.19837678,-1.6236825,-0.084610734,-1.105042,2.0192855,-0.53695277,0.21466893,0.18683884,1.2486658,0.23365476,0.59580645,0.75422088,1.6791611,0.4735129,0.38273982,-0.47331051,0.82646994,-0.89404419,-1.0079848,-1.0172441,-0.34977571,-1.1837768,-0.089160196,0.0100483,1.0818159,-1.5281346,-0.17885537,-0.41546569,0.69481928,-1.0895375,0.42772932,0.38030596,1.4725063,-0.98985579,0.3881142,-0.0037168619,1.4221301,-2.1820605,0.30952122,0.22172869,0.59615343,-0.18642355,-0.050589885,-0.15758364,0.26060609,-1.5201682,-0.53451386,-0.65216518,-0.42221495,-0.89538499,-0.35558349,-0.57029903,0.091214159,-1.3188947,0.76387028,0.53130089,1.4422769,-0.86341262,-0.27963635,-0.29283706,0.24803276,-1.8529561,-0.16025235,1.7523216,0.10493808,-0.033508864,-0.10735549,0.061692548,-0.095217738,-0.10206892,-0.1799628,0.058530453,-0.13659812,-0.12044996,-0.12261314,-0.040079201,-0.11897422,-0.15206665,-0.12590093,0.026873789,-0.17226618,-0.004794082,-0.13935979,0.06495749,-0.20549646,-0.11103848,-0.11243569,-0.011716626,-0.137565,-0.12237145,-0.10990113,0.024818101,-0.3032479,-0.048548191,-0.081983823,0.074911619,-0.17723756,-0.074009871,-0.079181966,0.039935764,-0.22861477,-0.057152506,-0.095710565,0.044599626,-0.31007005,-0.096629657,-0.12798951,0.0057565557,-0.27378319,-0.11435699,-0.13235518,-0.062008472,-0.36156533,-0.011195623,-0.12213854,0.094700075,-0.35149011,-0.070166505,-0.13561019,0.066014063,-0.36377653,-0.098763885,-0.14018441,0.022060079,-0.38858236,-0.13218542,-0.13439283,-0.043949162,-0.39527425,0.2446272,0.25693112,0.24428444,0.24891886
-19643.989,0.99079849,0.0018060824,10,1023,0,19686.716,0.043245165,-0.096479788,-0.13537183,-0.19306272,-0.033594388,-0.010912021,-0.15438542,-0.020282529,-0.11454553,-0.10815879,-0.15379774,-0.097635729,0.44096929,0.011764169,-0.19040973,-0.099253923,0.11232966,0.06182525,0.073017315,0.12869492,0.15396643,0.16197352,0.22216125,0.11399506,0.090305522,0.093033519,0.27090372,0.17039645,0.80709256,0.24451398,0.18336212,0.14914297,-0.97879188,-2.1105944,-0.3266231,-1.4063429,0.024287092,-0.58558913,2.3329721,-0.79089914,0.12566992,0.14551945,1.6803308,0.50735004,0.97787366,0.58965881,1.8466041,0.15764839,0.15662551,-0.43456013,0.98199048,-1.4671774,-0.55917689,-0.68827848,0.17604948,-0.99129638,0.15662709,0.22198924,0.93208566,-0.69570969,-0.26973718,-0.66878109,-0.003092318,-1.4893502,0.77640871,0.21991213,1.3897019,-1.3443523,0.80503611,-0.54359378,1.4513615,-2.3202167,0.17158853,0.16095852,0.60179907,-0.36679313,-0.2348304,-0.39481316,0.42182366,-1.8366938,-0.54991492,-0.71188618,-0.43544982,-0.97312536,-0.28222322,-0.42335242,0.16169587,-1.4673503,0.4574687,0.35608699,1.1500311,-1.0767315,-0.3598239,-0.44613461,0.49585541,-1.6867358,0.60651917,-0.91450378,0.072129994,-0.066702193,-0.19383719,0.0065557035,-0.11472885,-0.094978232,-0.13268398,0.047756798,-0.14537732,-0.12619575,-0.12474639,-0.012678586,-0.098326492,-0.067215344,-0.11717662,0.044585853,-0.17277417,-0.0094793175,-0.10050206,0.11759918,-0.25949045,-0.10148387,-0.12239491,0.017603333,-0.17147579,-0.11958894,-0.10506801,0.052687898,-0.30894515,-0.051031235,-0.096520271,-0.020635038,-0.1900611,-0.044431539,-0.094686253,0.010952223,-0.23594797,-0.033263446,-0.15873123,0.026866481,-0.32401672,-0.10731377,-0.11019348,0.0092318704,-0.25316336,-0.13764999,-0.16491049,-0.025758477,-0.41060183,-0.0028629476,-0.13358874,0.089520982,-0.34443294,-0.057243355,-0.091751416,0.051301071,-0.34702349,-0.1065273,-0.12511686,0.020462409,-0.3878415,-0.15291913,-0.16579177,-0.025300573,-0.35081871,0.24806252,0.24069167,0.23898456,0.24852746
-19654.518,0.99569468,0.0018060824,10,1023,0,19696.921,-0.00049022503,-0.0048086251,-0.087732319,-0.11284389,-0.025510515,0.0047120732,-0.047334213,-0.040939015,-0.21925738,-0.052506756,-0.16791917,-0.071961224,0.24212505,-0.069010021,-0.098807,-0.12099385,0.072560656,0.40940545,0.066835183,0.062987488,0.12540988,0.11676867,0.16694158,0.14103061,0.1130437,0.17184843,0.26568308,0.16882228,0.45584514,0.32370137,0.21765531,0.13664202,-1.0294719,-1.5009984,0.96987543,-1.2300997,-0.31123855,-0.45848046,0.29013753,-0.33418354,0.37699833,-0.16016897,1.0230144,-0.24003634,-0.058251712,-0.022842171,2.390006,-0.84724584,-0.19306607,-0.51428151,0.85650664,-1.6179419,-0.79683891,-1.0751509,-0.12853607,-1.2499764,-0.60393583,-0.50669821,0.61580569,-1.6359101,-0.0615502,-0.32538105,0.52121166,-1.1309207,1.3284428,1.2736495,1.58044,-0.22993387,0.25929948,-0.55818273,0.64757072,-1.4093031,0.12606547,0.12450686,0.58284096,-0.46052847,-0.15832678,-0.47592919,0.10672121,-1.7427345,-0.63346762,-0.73183105,-0.32952861,-1.1884809,0.019464019,-0.10689532,0.33601814,-0.89303782,0.07405955,-0.1338519,0.72273789,-1.647797,-0.25508999,-0.33726191,0.71347744,-1.6471699,1.2755473,-3.5205739,0.10522348,-0.075189381,-0.10940365,0.069884572,-0.089747066,-0.13223138,-0.19251302,0.11397526,-0.14162519,-0.062535567,-0.098437241,-0.019358965,-0.10377519,-0.11651302,-0.11428266,0.037696588,-0.16620977,-0.049722906,-0.090006495,0.081903875,-0.22841641,-0.088333748,-0.12083187,-0.010296914,-0.14124601,-0.14815621,-0.13192321,0.055469361,-0.32043563,-0.049619477,-0.086827704,0.032567785,-0.20043345,-0.069085303,-0.075279332,-0.0405986,-0.24524996,-0.0079465473,-0.14842958,0.058777258,-0.29469328,-0.13442571,-0.1348398,-0.013068188,-0.2902738,-0.098690312,-0.15230867,-0.053944307,-0.36617364,-0.046638086,-0.091476577,0.091911035,-0.29963819,-0.062709492,-0.10361218,0.03975951,-0.35808759,-0.082687545,-0.12794058,0.058500739,-0.45745877,-0.15584986,-0.167078,-0.023502849,-0.34606648,0.25854215,0.24011873,0.24763221,0.24986488
