# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 13:31:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-3535498e0f39.json
# init = 2 (Default)
# random
#   seed = 441476757
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141431-3-3a3770.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141431-3-5385e2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.000980386
# Diagonal elements of inverse mass matrix:
# 0.016176, 0.00887929, 0.00432181, 0.00572455, 0.034353, 0.00341103, 0.0209802, 0.0110763, 0.0666564, 0.0266335, 0.01104, 0.0251767, 0.029288, 0.0402112, 0.0485032, 0.00910206, 0.443268, 0.357269, 0.483512, 0.237945, 0.317933, 0.274766, 0.47171, 0.261622, 0.792396, 0.368459, 0.397782, 0.306844, 0.223102, 0.224812, 0.323537, 0.232243, 0.393076, 0.230258, 0.334463, 0.209505, 0.349455, 0.237189, 0.233255, 0.254846, 0.381621, 0.248766, 0.221466, 0.309258, 0.244595, 0.37625, 0.253821, 0.174959, 0.417566, 0.270987, 0.33352, 0.212223, 0.356528, 0.213544, 0.221317, 0.241469, 0.362559, 0.227641, 0.219658, 0.313593, 0.231033, 0.392136, 0.231844, 0.158046, 0.519726, 0.421071, 0.55362, 0.335239, 0.476649, 0.41923, 0.448322, 0.419509, 0.593386, 0.412348, 0.409172, 0.372699, 0.346804, 0.418583, 0.350398, 0.325945, 0.335616, 0.296506, 0.2986, 0.297438, 0.517733, 0.273078, 0.409629, 0.355239, 0.658926, 0.488693, 0.354535, 0.61872, 0.427724, 0.6403, 0.460767, 0.370971, 36.7882, 603.019, 0.732754
-19652.643,0.99953401,0.00098038576,10,1023,0,19705.327,-0.092128855,-0.05158216,-0.12078072,-0.24712894,0.0124297,-0.097286214,-0.17499422,-0.18250724,-0.16260432,-0.081460696,-0.24960493,-0.010145331,0.10186428,-0.04459126,-0.40290533,0.23549527,0.045549521,0.18958447,0.0021024746,0.21068703,0.21145722,0.050430945,0.60725445,0.22840824,0.090622482,0.13643109,0.1960767,0.20065139,0.42372992,0.14222213,0.4999176,0.58927335,1.3186691,-1.7719552,2.334071,0.072832764,-0.28316127,-0.40444874,0.34540948,-0.55126763,-1.8782076,-0.97210472,-0.95112133,-0.31812358,0.67975534,0.53462377,1.3092699,0.41489403,-0.13081737,-0.80587685,0.46433896,-1.1648043,-0.31532099,-0.74488939,1.2866633,-1.0935019,0.11690702,0.11920247,0.36323748,-0.30282164,0.50196603,0.41765742,0.99838961,-0.1225772,1.0798069,0.28235221,1.7713987,-1.2275211,0.034498482,-0.2952151,0.89780487,-1.7528005,0.55385073,0.72537637,1.2440056,-0.015975167,-0.67933931,-0.63662869,-0.18533347,-1.9542068,-0.27264719,-0.48790818,-0.10885647,-1.04557,-0.27953705,-0.68989063,0.6549062,-1.7809985,0.68287802,0.53776825,0.9222789,-0.010247815,-0.64954085,-0.63542814,-0.47921357,-1.091957,-5.9710315,26.591643,0.29533782,-0.03206411,-0.17284056,0.014186961,-0.088811357,-0.10526514,-0.12825936,0.013902114,-0.15609394,-0.1247296,-0.12282455,-0.12278043,-0.12144957,-0.1039133,-0.13449064,0.028717261,-0.15971615,-0.015232578,-0.15797878,0.11061752,-0.23387657,-0.11318815,-0.13485169,-0.032398565,-0.15243255,-0.10400192,-0.102608,0.045583348,-0.35888401,-0.067854064,-0.087110845,0.045533174,-0.21050489,-0.064749542,-0.13701686,-0.0020757733,-0.27384533,-0.07675403,-0.12173721,0.041027799,-0.32059718,-0.14100771,-0.10737552,-0.0056844258,-0.25273728,-0.14645571,-0.13788576,-0.047332749,-0.40225965,-0.013664493,-0.10487701,0.055738538,-0.34117499,-0.084347617,-0.14270898,0.048550897,-0.29788867,-0.061522587,-0.13406551,0.058158123,-0.40802839,-0.14726184,-0.13894559,-0.046892512,-0.40796588,0.24265892,0.25248336,0.24423369,0.24430807
-19655.012,0.99988042,0.00098038576,10,1023,0,19703.137,-0.1047577,-0.054858795,-0.1214825,-0.26606453,0.021642188,-0.081197807,-0.15731236,-0.13005876,-0.12493868,-0.097005717,-0.27209206,-0.10834061,0.11768601,-0.024054669,-0.46791453,0.14242496,0.049776693,0.11693661,0.0025532044,0.2512617,0.21996342,0.050979442,0.64637653,0.19807547,0.10862037,0.25360612,0.18616308,0.18782245,0.37774547,0.10282703,0.38624808,0.63420646,0.95477514,-1.4060627,2.9060121,-0.47476703,-0.40266594,-0.94303503,0.32335685,-0.62113788,-2.1798503,-0.75694302,-0.36444946,0.053950722,0.58981013,0.52061612,1.2397974,0.41239027,-0.14722603,-0.64592033,0.33591951,-1.1721035,-0.39038838,-0.7448872,1.2556677,-1.4328457,-0.022475499,0.056947507,0.36693687,-0.2610675,0.42814793,-0.10046981,0.78356195,-0.38995973,0.34922805,0.51419947,1.0458411,-1.287299,0.16910442,-0.17266404,0.47010185,-0.83489285,0.87026884,0.43695138,1.327216,0.062658471,-0.041868705,-0.37534395,0.39233639,-1.3770537,-0.38610501,-0.57851638,-0.1363401,-1.3559565,-0.29041286,-0.59888734,0.2306644,-2.464882,1.1262275,0.86333886,1.395188,0.13948716,-0.4575709,-0.47013714,-0.22928044,-0.88527999,-2.8563678,12.294393,0.18335471,-0.057232155,-0.17474685,0.039893969,-0.12839004,-0.10194518,-0.16513411,-0.017046543,-0.12749255,-0.1270481,-0.12341513,-0.12241301,-0.12134475,-0.11786783,-0.13525363,0.045449069,-0.16244665,-0.010742153,-0.12043666,0.095532192,-0.2361777,-0.10109959,-0.11917174,-0.017184568,-0.15424348,-0.17184,-0.12050283,0.079867016,-0.32606026,-0.045253158,-0.14995936,0.025145639,-0.20730022,-0.087005398,-0.069086142,-0.011339028,-0.26476557,-0.054119801,-0.14079437,0.02221499,-0.30873966,-0.11008014,-0.19074785,-0.025013446,-0.26042737,-0.11620449,-0.17883863,-0.034651026,-0.36698221,-0.02816341,-0.10084594,0.066184155,-0.39452042,-0.053916961,-0.085636478,-0.00033613273,-0.27751117,-0.032911336,-0.13445155,0.070974154,-0.41403788,-0.14776946,-0.15573905,-0.0029861756,-0.41902533,0.24565007,0.24283451,0.24397842,0.24846103
-19646.073,0.99907976,0.00098038576,10,1023,0,19698.242,-0.086965561,-0.049175024,-0.1019619,-0.28008822,0.033057273,-0.07495917,-0.13069443,-0.10891071,-0.11313705,-0.092156943,-0.25219686,-0.097410063,0.1084453,-0.042712883,-0.44656672,0.14271557,0.04964386,0.11078011,0.0027487798,0.27898348,0.22734458,0.046978556,0.62353698,0.17343525,0.1118192,0.26871297,0.18688657,0.19548731,0.3598777,0.10935262,0.34100468,0.64509733,0.95643655,-1.3874892,2.9746552,-0.45053612,-0.45915679,-0.9135972,0.42283449,-0.66109971,-2.1854652,-0.67571842,-0.38091702,0.20793336,0.61208374,0.68223312,1.1355306,0.35603205,-0.1489923,-0.71868753,0.37184626,-1.1881504,-0.29269818,-0.64467649,1.2693321,-1.5071385,-0.0062623524,0.050100658,0.19711925,-0.32474807,0.36048074,-0.17806801,0.76940266,-0.46122472,0.47869985,0.46533551,1.1378879,-1.2903465,0.16791196,-0.13083958,0.57122334,-0.82299502,0.84553154,0.31960268,1.2079521,0.24170789,-0.0266772,-0.23714874,0.29003083,-1.5811935,-0.45912181,-0.61237929,0.0015806329,-1.1879005,-0.12546497,-0.75000194,0.36257005,-2.4630832,1.0385407,0.92048635,1.3446263,0.10972711,-0.4472252,-0.47171139,-0.28938617,-0.79955986,-2.8196213,13.26131,0.14291708,-0.039484359,-0.15584588,0.060707806,-0.10933191,-0.10004046,-0.15038342,-0.0023333736,-0.12241172,-0.10796926,-0.1038193,-0.10300896,-0.10139034,-0.10932697,-0.089756447,0.036706057,-0.18076116,-0.00081531826,-0.13033244,0.1175945,-0.23706229,-0.088709708,-0.10524514,-0.015327783,-0.14576236,-0.13459923,-0.099454812,-0.0077832846,-0.33318686,-0.046390642,-0.13979398,0.024530833,-0.18890333,-0.059609221,-0.061103611,0.01410066,-0.25742257,-0.047036821,-0.12731523,0.061338175,-0.31330638,-0.094178376,-0.19246742,-0.026446843,-0.20702491,-0.10262512,-0.14376963,-0.040712717,-0.40651333,-0.056782406,-0.11193636,0.10901413,-0.31905361,-0.056432807,-0.12472756,-0.0030648975,-0.31205749,-0.092419488,-0.13267657,0.011957138,-0.40914926,-0.14578822,-0.16158419,-0.043966678,-0.37307837,0.24824638,0.24906128,0.24725996,0.24541414
-19639.503,0.99728262,0.00098038576,10,1023,0,19692.245,-0.093043207,-0.021918154,-0.10912929,-0.28445821,0.039211812,-0.085489731,-0.13520712,-0.10828383,-0.12135405,-0.094512721,-0.21779263,-0.11858349,0.072313412,-0.0291072,-0.43193993,0.14654097,0.053396367,0.15276145,0.0046768779,0.27528126,0.16890859,0.04178139,0.62278653,0.21406816,0.087918717,0.3126111,0.13587653,0.20791495,0.31078303,0.13609529,0.38350142,0.70501027,0.98065841,-1.2626415,2.8059588,-0.64457287,-0.25747354,-0.8737364,0.5051361,-0.79801903,-2.0839685,-0.68647711,-0.41692689,0.2351143,0.56549425,0.58042489,1.3530889,0.36214263,-0.1656743,-0.9783007,0.12104288,-1.4938085,-0.58270692,-0.65322783,1.1686131,-1.5749897,0.0069116655,0.04882374,0.21777228,-0.31448091,0.38121192,0.18128556,0.56552789,-0.41710743,0.58307873,0.29070627,1.2642135,-1.2447153,0.14649293,-0.031914113,0.42443757,-0.67475245,0.66648848,0.65486031,1.3490364,-0.20195466,0.0035230689,-0.017990031,0.19730084,-1.193452,-0.27416797,-0.58753068,0.031374196,-1.4013547,-0.32751356,-0.58633434,0.36185684,-2.2772655,0.87961921,0.81127921,1.3140361,0.030667734,-0.4686429,-0.43828593,-0.20061425,-0.80727026,-1.8739643,8.4964603,0.13376233,-0.04067961,-0.16046368,0.0567848,-0.12746106,-0.061250184,-0.15539139,0.055247168,-0.1438247,-0.11887576,-0.11233986,-0.11107921,-0.10802969,-0.12878824,-0.12467811,0.088021808,-0.18476713,0.011228,-0.12603158,0.059656994,-0.21310527,-0.10983604,-0.1127825,-0.036663451,-0.15129499,-0.13090263,-0.10480035,0.00041852499,-0.33106159,-0.026678494,-0.069476361,0.012777686,-0.19757324,-0.070090515,-0.095795527,-0.010206018,-0.23078782,-0.048717405,-0.10448943,0.038171175,-0.30544783,-0.12723249,-0.12881249,-0.034490245,-0.24523353,-0.11785099,-0.12232389,-0.077561695,-0.36672001,-0.01289334,-0.11028115,0.08206398,-0.36320386,-0.073680254,-0.10890454,0.020139814,-0.33903231,-0.094604719,-0.12081321,0.071994767,-0.42017881,-0.18385709,-0.16245511,0.005105862,-0.42259285,0.24548322,0.25198388,0.24699171,0.24952628
-19640.505,0.99995177,0.00098038576,10,1023,0,19693.107,-0.077951382,-0.04650946,-0.10541285,-0.26987471,0.027590311,-0.08073501,-0.1712672,-0.13674356,-0.11139994,-0.047311689,-0.20917609,-0.12909689,0.037458264,-0.034678702,-0.35681201,0.079085512,0.056287046,0.13908527,0.0044262924,0.27930352,0.17056481,0.070859475,0.3971368,0.25264935,0.099606457,0.29052847,0.16297943,0.25088608,0.26352239,0.13547486,0.30690277,0.58697442,0.3859696,-0.97841783,2.3229848,-0.76811647,-0.029730312,-0.45001228,0.590545,-0.78682443,-2.1943971,-0.3276853,-0.10645561,0.57704253,0.52491258,0.64201177,1.0664348,0.3012133,-0.22850533,-0.8878582,0.42791351,-1.5488989,-0.82483165,-0.40577781,1.4977999,-0.93449321,0.052887028,0.17473936,0.41759038,-0.35353771,0.25941203,-0.0037432882,0.67793143,-0.17814128,0.36346097,0.29794677,1.3555957,-1.5377534,-0.0023869933,-0.25719795,0.34463454,-0.86159921,0.626363,0.44349342,1.0448649,-0.16607763,-0.04500276,-0.18703543,0.50195977,-1.0169241,-0.31317091,-0.59286523,0.3383728,-1.470719,0.081876301,-0.46204763,0.35808086,-1.8694133,0.84370411,0.75677423,1.1967947,-0.27020407,-0.46605188,-0.41311718,-0.12413847,-0.7699179,-4.2779999,18.391778,0.26233918,-0.056226293,-0.13302363,0.052802571,-0.12118639,-0.050644509,-0.10909954,0.035626653,-0.15594515,-0.1151259,-0.10686328,-0.10588406,-0.10285869,-0.12326477,-0.090558558,0.027984291,-0.18574477,-0.011384656,-0.12384705,0.1005773,-0.23659733,-0.13918215,-0.10948821,0.025398303,-0.14695271,-0.15026382,-0.10187177,-0.0054266958,-0.31167004,-0.071203282,-0.1376893,0.034535372,-0.18175084,-0.075196882,-0.081722519,0.023626138,-0.26457011,-0.048005179,-0.12203502,0.052814458,-0.29763079,-0.10709181,-0.13689579,-0.038884609,-0.23624333,-0.14038746,-0.17602148,-0.0031621724,-0.384229,-0.045069281,-0.118775,0.12662707,-0.3501091,-0.023586522,-0.097274539,0.013832251,-0.2879372,-0.097876884,-0.1245559,0.010487595,-0.43973839,-0.19447502,-0.1634037,0.0062194034,-0.3728366,0.24600496,0.24835314,0.2446606,0.24866034
-19643.167,0.9995286,0.00098038576,10,1023,0,19685.334,-0.066513639,-0.028470641,-0.10650264,-0.30304428,0.014622931,-0.067049624,-0.26154541,-0.16018309,-0.12338477,-0.069254943,-0.21777098,-0.12546119,0.0066792579,-0.051819055,-0.3801522,0.090336914,0.046978024,0.12662641,0.0050696304,0.42641774,0.15172579,0.058063688,0.52276576,0.29581631,0.077504504,0.30239002,0.17878418,0.20586152,0.34960104,0.11501267,0.33959948,0.74909395,0.50065666,-1.5000218,2.0947943,-1.1903161,-0.23808129,-0.93995194,0.39583795,-0.87100708,-2.5095145,-0.93503722,0.10476366,0.77288139,0.44883002,0.40841155,0.91581441,0.33115039,0.0061633899,-0.88346489,0.45038393,-1.466762,-1.0623404,-0.58877268,1.0448968,-1.4700246,0.20595416,0.33560407,0.51672158,-0.153633,0.32678175,0.23359589,0.5916399,-0.1598692,0.36804722,0.33715978,1.2113452,-1.459706,-0.026767254,-0.092551195,0.2971513,-0.81128258,0.4043162,0.31917156,1.4876339,-0.042417632,0.097605719,0.016307433,0.32309012,-1.1889285,-0.087551308,-0.39939891,0.19955422,-1.0129787,-0.10016402,-0.41068501,1.1218288,-2.0684117,0.81371412,0.71846579,1.3089849,-0.1300568,-0.29377923,-0.32275484,-0.1128195,-0.67414988,-5.51031,23.312643,0.34141903,-0.042993778,-0.1369817,0.031895658,-0.12243234,-0.05861802,-0.14749338,0.021652897,-0.13876314,-0.11922495,-0.11124293,-0.10597153,-0.10258442,-0.1116552,-0.12889035,0.08747523,-0.16183588,0.015558076,-0.11942148,0.082957789,-0.20792269,-0.12873303,-0.10123594,-0.0063790592,-0.15240467,-0.15387962,-0.086103087,0.0085789461,-0.34185948,-0.063515721,-0.091081615,0.01483364,-0.20747501,-0.09485945,-0.097253366,-0.029500062,-0.23651856,-0.077349094,-0.097241501,0.020600642,-0.31457869,-0.14548564,-0.16070815,0.048194419,-0.22535458,-0.10536793,-0.12210412,-0.058949367,-0.37021582,-0.02392877,-0.13295102,0.076443621,-0.34745913,-0.063339186,-0.099053034,0.077205476,-0.28971261,-0.10381531,-0.13616159,0.064378402,-0.42431942,-0.12973133,-0.15143679,0.005824505,-0.41466468,0.24001874,0.25373145,0.23923379,0.2435826
