# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 13:43:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35351c76529c.json
# init = 2 (Default)
# random
#   seed = 1311503044
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141443-1-870eb5.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141443-1-8eb7fc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00331629
# Diagonal elements of inverse mass matrix:
# 0.00802427, 0.00649098, 0.00441963, 0.0087717, 0.0339464, 0.0086846, 0.0340987, 0.0128349, 0.0211708, 0.0203992, 0.0118162, 0.034161, 0.0273345, 0.0300032, 0.0355863, 0.0308645, 0.347372, 0.303692, 0.576716, 0.268409, 0.366741, 0.539828, 0.34899, 0.40201, 0.386701, 0.36463, 0.429639, 0.391561, 0.262047, 0.352068, 0.312456, 0.334152, 0.255141, 0.262427, 0.401265, 0.304603, 0.329287, 0.266424, 0.257835, 0.272471, 0.27773, 0.295212, 0.226676, 0.282714, 0.22789, 0.252434, 0.266349, 0.251767, 0.369787, 0.316766, 0.399023, 0.293433, 0.311507, 0.268714, 0.269989, 0.257611, 0.2587, 0.223199, 0.221949, 0.28975, 0.217506, 0.259796, 0.247477, 0.239513, 0.42145, 0.600624, 0.416915, 0.407205, 0.455364, 0.533297, 0.464832, 0.503628, 0.358788, 0.520736, 0.46924, 0.363442, 0.333387, 0.330407, 0.364302, 0.351623, 0.273288, 0.350859, 0.361377, 0.423406, 0.460094, 0.361736, 0.398974, 0.407134, 0.568579, 0.393992, 0.457873, 0.632797, 0.432946, 0.594166, 0.450386, 0.472851, 15.9011, 257.997, 1.22938
-19635.945,0.99316393,0.0033162908,10,1023,0,19704.067,-0.3058655,0.28309772,-0.12216791,-0.026815631,-0.16009215,-0.049857367,-0.51747181,-0.060267204,-0.021330516,0.07757223,-0.11524662,0.044300691,-0.29528747,0.008010651,-0.031588552,-0.23542839,0.53312154,0.5104884,0.042168652,0.27242985,0.13310721,0.29658286,0.31115476,0.057877355,0.087869419,0.22903328,0.14138182,0.63996305,1.0865504,0.15048692,0.3249599,0.13584529,0.47415261,0.28140341,0.68387153,0.38630813,-0.8112578,-0.83127682,-0.42826365,-0.83678283,1.0040068,0.21160347,2.0158878,-0.11998789,-0.17799586,-0.33797267,0.34089956,-0.59280404,1.161586,0.18415305,1.8500046,-0.63431199,-0.060860775,-0.19998503,0.2679302,-0.36201427,1.144321,1.2867716,1.6811675,0.46342527,-0.13035532,-1.035524,1.5112914,-2.2255817,-1.0393686,-0.93286336,0.23273695,-2.4354728,-0.49893946,-0.84358144,0.0030448057,-1.7876071,-0.47896304,-0.21571793,0.34744136,-0.86656046,-0.22086902,-0.3457311,-0.051581662,-0.67081062,0.23401362,0.14435265,0.3572269,-0.042217836,-0.35097659,-0.91741181,0.1984245,-2.108779,-0.16233744,-0.27776438,0.2722478,-0.99946052,0.72057979,0.57018491,1.5401383,-1.2599411,-2.1678784,9.7193318,0.13097848,-0.053084532,-0.15584328,0.058721143,-0.099916317,-0.13103997,-0.14125945,0.064474096,-0.1440702,-0.079830295,-0.11324488,-0.037160636,-0.12722764,-0.075307017,-0.11888948,0.066055587,-0.18831315,-0.0054766907,-0.13558005,0.086156787,-0.24452365,-0.067907629,-0.1091695,0.029606137,-0.15722459,-0.16141088,-0.11708671,0.0056314621,-0.37327483,-0.067811825,-0.1202006,0.027202345,-0.18907799,-0.11265923,-0.10330068,-0.00088005595,-0.2353341,-0.03670151,-0.11563599,0.078269592,-0.33184928,-0.18296329,-0.14574522,-0.066124729,-0.23776252,-0.097047317,-0.17695444,0.011290333,-0.38499332,-0.041019866,-0.13844103,0.092857572,-0.34115927,-0.044806736,-0.13004783,0.037870944,-0.30933302,-0.08434171,-0.12185084,0.056881067,-0.35637314,-0.13754102,-0.15797145,-0.026207845,-0.40658545,0.24772524,0.24787075,0.25475518,0.24136222
-19640.78,0.99494546,0.0033162908,10,1023,0,19684.939,-0.29428675,0.27570615,-0.12183712,-0.038095267,-0.11075115,-0.073763616,-0.43273503,-0.049564186,0.036229231,0.079837579,-0.096531647,0.040250122,-0.45053312,0.024757974,-0.0095707115,-0.22567978,0.42783947,0.49288049,0.04147765,0.21260711,0.10061617,0.24116715,0.33611744,0.066594586,0.12010823,0.29878609,0.10640347,0.47589075,1.2243088,0.17446834,0.19261823,0.1314541,0.57628418,0.32305279,0.85947655,0.47458716,-0.75917596,-0.74228957,-0.42143539,-0.87779091,1.1298221,0.081678076,2.4675306,0.064274363,-0.35020545,-0.26080844,0.59414367,-0.66255547,1.2136818,-0.074981687,2.0051897,-1.4175285,-0.25874498,-0.14701968,0.43807958,-0.44371457,0.95658706,1.0252181,1.4759206,0.21017408,0.10285376,-1.3537191,1.2802451,-2.4708684,-0.80494846,-0.83601738,-0.082866309,-2.3575961,-0.51499679,-0.6208649,0.042219704,-1.3607066,-0.034193866,-0.38473849,0.87327494,-1.306229,-0.35496656,-0.32070092,-0.12415078,-0.89872164,0.33809082,0.27136906,0.45253281,0.075874513,-0.52683803,-0.60156885,0.16049706,-1.9165754,-0.39477781,-0.55899413,0.37393043,-1.8033723,0.58230005,0.40485137,1.1497282,-1.3644628,-2.0464085,9.6464993,0.10058832,-0.04772963,-0.15607202,0.073431243,-0.091239632,-0.098476868,-0.090153896,0.067988871,-0.15693986,-0.074974754,-0.1184493,-0.019489747,-0.11917117,-0.11255144,-0.093544994,0.088223899,-0.17895927,0.011364867,-0.11829552,0.091003359,-0.25337744,-0.13616441,-0.10921993,0.031886789,-0.18077299,-0.11120943,-0.08814136,0.06334763,-0.36209186,-0.042714683,-0.13971455,0.035693202,-0.21411065,-0.060451703,-0.064183336,0.026276305,-0.24693746,-0.074036298,-0.10566822,0.092452239,-0.32672263,-0.10016999,-0.13746916,-0.0036121629,-0.23551895,-0.12867518,-0.11236848,-0.018832088,-0.38744319,-0.036605542,-0.11829358,0.10350679,-0.35763928,-0.067158583,-0.080196745,0.05275963,-0.30962377,-0.085612113,-0.11724317,0.062455104,-0.35693309,-0.14913406,-0.17246041,-0.074543297,-0.40504401,0.25111055,0.24682002,0.25464085,0.23863629
-19636.293,0.98699528,0.0033162908,10,1023,0,19688.073,-0.52134871,0.41338038,-0.1122094,-0.062187267,0.15848844,-0.15195409,-0.29133813,-0.098346789,-0.23530031,-0.21148588,-0.093846007,-0.19144816,-0.52580569,-0.10575167,-0.10984723,-0.38638891,0.31385506,0.57900403,0.045475636,0.10917951,0.46952473,0.085010917,0.24022381,0.20312576,0.19551679,0.22676959,0.26212221,0.20587414,0.51727143,0.14581536,0.21976716,0.39379049,1.3222091,1.0808927,1.7953742,1.2318032,-0.94326528,-0.94889806,-0.62367834,-0.96080984,-0.28783486,0.18549847,1.6417975,-0.4966165,-0.6001838,-0.53662691,0.99118704,-1.165011,-0.33340469,-0.67695089,-0.031935441,-0.85652309,0.58629603,0.16385974,1.4780517,-0.15416594,0.59829786,0.81735394,1.4344626,-0.1128213,0.35066827,-0.043669328,0.60189495,-0.39070758,1.0841694,0.76251465,1.0050693,-0.074606924,0.68199686,0.46672992,1.0494969,-0.46355128,-0.0087612486,-0.13584922,0.19331369,-0.68747425,0.3973226,0.1312203,0.70814397,-1.1086933,0.92420564,0.75665227,1.1804148,0.35167032,0.51743791,0.11109208,0.92294826,-1.3154522,0.19669115,-0.007309511,0.69069793,-1.5206752,0.6054218,0.62313282,1.0107332,0.075227822,7.8943995,-30.769325,0.090155494,-0.10636669,-0.18210508,0.042138557,-0.13474106,-0.13277402,-0.13603542,0.052268111,-0.14293239,-0.12529887,-0.10377373,-0.037547609,-0.13479335,-0.12771504,-0.12077593,0.046030044,-0.18938259,0.0019466951,-0.15935674,0.14349396,-0.24367033,-0.10211252,-0.13802422,-0.026303553,-0.16505987,-0.14761274,-0.094990256,0.053253941,-0.31844049,-0.02711703,-0.10721715,0.02391358,-0.17770957,-0.023326982,-0.08621589,-0.038792379,-0.24988721,-0.056829731,-0.10564573,0.026508093,-0.31660522,-0.096142525,-0.1294551,-0.043174195,-0.27404828,-0.10964971,-0.16443329,-0.045659626,-0.41969945,-0.047740516,-0.13441109,0.084789165,-0.34389668,-0.030301274,-0.089552737,0.028828364,-0.29756481,-0.066620971,-0.11145362,0.041945496,-0.4440417,-0.14797956,-0.14100513,0.011628198,-0.35676491,0.24633658,0.24688763,0.25320154,0.23920524
-19644.265,0.98244737,0.0033162908,10,1023,0,19686.561,-0.59688465,0.26889154,-0.082818782,0.010070254,0.030579512,-0.1578447,-0.30320937,-0.13349017,-0.15375736,-0.17431158,-0.16448069,-0.16428109,-0.27191742,-0.091327202,-0.034049415,-0.8039504,0.30865861,0.99689024,0.056357491,0.12872591,0.20754885,0.067208671,0.24330353,0.16622093,0.072454719,0.35883674,0.1999395,0.13893945,0.21868214,0.15998948,0.3241402,0.66144334,1.6806937,1.3961802,2.0102608,1.5159265,-0.3020145,-0.39854935,-0.22940774,-0.42666232,-0.1883732,-0.9085398,1.5928822,-0.38489289,-0.66790962,-0.7788881,0.2703302,-1.3554091,-0.24381881,-0.88199508,0.17074382,-1.173665,0.59620146,0.43890341,2.1341886,-0.11741656,0.63625759,0.769616,1.509624,0.027530396,0.5644609,-0.021693264,0.81920044,-0.46220699,0.81774932,1.0261806,1.8729048,-0.89633825,0.34850876,0.08100407,0.64136285,-0.44455777,0.17932701,-0.028081103,0.77934233,-0.43615269,0.1229253,-0.057134194,1.0750568,-1.3606852,0.98539638,0.66333561,1.7448687,-0.34751445,0.41530377,0.015204305,0.77026351,-1.2776186,-0.10109642,-0.24139302,0.19877405,-1.2884063,0.98873636,0.9711447,1.0792437,0.51543553,5.3866149,-20.660485,0.22710475,-0.078124059,-0.16594162,0.023599657,-0.12898089,-0.032183762,-0.12841841,0.040197208,-0.15644396,-0.093435023,-0.13402181,0.006952061,-0.10451038,-0.07590702,-0.090192826,0.044868757,-0.16440602,-0.020024803,-0.15247755,0.066017196,-0.21301332,-0.11777479,-0.12834658,-0.014408714,-0.16573611,-0.14840565,-0.11595908,0.064087481,-0.29651113,-0.039664956,-0.13709605,0.0026780874,-0.21031865,-0.094507568,-0.079405739,-0.018056577,-0.2187013,-0.049253831,-0.14524434,0.055832974,-0.33383524,-0.12862614,-0.17009521,-0.0086593736,-0.25168484,-0.14720192,-0.17221929,-0.014913301,-0.35333395,-0.056428835,-0.12685777,0.1096542,-0.34791262,-0.024882967,-0.088894673,0.031906857,-0.29573274,-0.066818829,-0.1122946,0.030381247,-0.45167368,-0.14995733,-0.16159321,-0.090091837,-0.463019,0.24531905,0.25030162,0.26108972,0.23740768
-19646.088,0.9880694,0.0033162908,10,1023,0,19707.537,-0.54256035,0.20065946,-0.15689662,-0.10190081,0.039666684,-0.066758056,-0.43576297,-0.11984514,-0.27895294,-0.036602058,-0.13837868,-0.10038224,-0.30373654,-0.15243843,-0.13179356,-0.50373065,0.37332691,0.68369244,0.078614111,0.27644722,0.16533159,0.1853372,0.30851491,0.10556079,0.15651188,0.2302183,0.14702214,0.16636672,0.17177067,0.1013217,0.25100797,0.47101035,1.2496068,1.0898518,1.4897462,1.0867466,-0.48991816,-0.52310853,-0.20762706,-0.51413538,0.31815098,0.75298968,1.5967895,0.26909221,0.075876231,-0.03142942,0.55913,-0.29883715,-0.25368183,-0.96658159,0.35912078,-1.3311701,-0.34516972,-0.19081631,0.71281497,-0.4395407,0.98020089,1.1397856,1.3804618,0.41519747,1.0124126,0.095506773,0.98257956,-0.71300985,1.5354313,1.0501622,1.6892002,0.23218335,-0.13102958,-0.37150403,0.22558481,-1.2253069,0.0095237115,-0.21957891,0.87558334,-0.63747685,-0.14126069,-0.41824879,0.53663454,-1.8654999,1.5272956,0.95675674,2.4780326,-0.50421347,1.0793846,0.67029705,1.6596196,-1.4708952,0.13784168,0.0045056451,0.87453329,-1.1097719,0.69330646,0.70960867,1.0545616,0.35090311,0.42741267,-0.24333638,0.057737515,-0.07604851,-0.13568937,0.013601988,-0.13684862,-0.13429388,-0.15698588,0.058706414,-0.15085101,-0.13188546,-0.097701001,-0.031366425,-0.13574217,-0.080925036,-0.11058938,0.052669125,-0.18451351,-0.002274938,-0.12013979,0.099040696,-0.18041779,-0.13073084,-0.10212342,0.065353073,-0.1482213,-0.13335638,-0.084122125,-0.0098699115,-0.30766836,-0.012974064,-0.10976337,-0.016123262,-0.19511102,-0.038639699,-0.11459007,-0.014573037,-0.24261349,-0.066767464,-0.12212908,0.015331693,-0.31869013,-0.13697848,-0.17066164,-0.0096485438,-0.23210189,-0.12388332,-0.16996492,-0.011104112,-0.41073934,-0.041391952,-0.1393938,0.12191676,-0.39034562,-0.043073339,-0.084522786,0.015717063,-0.30147204,-0.097194202,-0.13066261,0.087721263,-0.41035515,-0.17717613,-0.16949762,-0.0070212106,-0.33845166,0.24918045,0.24430408,0.26486367,0.22723055
-19645.548,0.99053779,0.0033162908,10,1023,0,19694.819,-0.69212828,-0.05992396,-0.14771131,-0.1753077,-0.21782215,-0.12198209,-0.28376704,-0.017036052,-0.096833152,0.011657232,-0.14719141,-0.068374257,-0.27220289,-0.2251137,-0.113196,-0.23035752,0.47134197,0.11051865,0.071739466,0.52473385,0.2282639,0.082231104,0.22819053,0.12058025,0.1154375,0.33675585,0.061412808,0.47377289,0.20181901,0.13697569,0.27053167,0.10181363,1.2441176,0.94912557,1.5319912,1.2237439,-0.59760046,-0.64549869,0.79891572,-1.0265165,0.76085813,0.31356695,1.6657759,0.25789576,0.086715083,0.12709337,0.4252073,0.0066008036,0.86569762,0.30910936,1.311769,-0.11336884,-0.0093865187,0.0090981375,2.0402322,-0.34550017,0.5555008,0.58595078,1.3431708,-0.081128344,-0.01147673,-0.55863209,0.38659251,-1.5465422,0.4236457,-0.14433078,0.69164432,-1.1397508,-0.13186869,-0.44688684,0.009790519,-0.94557434,0.52888421,0.15843389,1.8125848,-1.6588028,-0.18017165,-0.18686248,0.088039121,-0.64520958,1.2315576,0.78506477,1.6581011,-0.45186862,1.2867857,0.86559374,1.5688589,-0.70990063,-0.025545061,-0.044686161,0.63762477,-1.1242799,0.80667609,0.89915467,2.1488253,-1.2155739,4.750638,-17.958056,0.120571,-0.10572342,-0.24476556,0.029963478,-0.11532639,-0.12596996,-0.1312636,0.028371127,-0.17337318,-0.093127758,-0.12521619,-0.028209437,-0.12921001,-0.12980536,-0.10861751,0.047812959,-0.17184404,-0.020214636,-0.14726364,0.081607351,-0.24370017,-0.12275395,-0.12123394,0.045788458,-0.15039295,-0.15700702,-0.15005863,0.022731806,-0.30227976,-0.018419919,-0.084396048,0.029579369,-0.20351849,-0.047928551,-0.11349434,-0.016991459,-0.22840314,-0.032750322,-0.13883452,0.014954247,-0.30677045,-0.11471114,-0.13746154,-0.035875487,-0.24906314,-0.1537347,-0.15690463,-0.026663708,-0.37405706,-0.02365117,-0.1137619,0.062433417,-0.36339857,-0.048855343,-0.1065484,-0.010218168,-0.32235283,-0.12010675,-0.12528502,0.059301696,-0.41734931,-0.1482269,-0.13881132,-0.011577815,-0.35411952,0.25192119,0.25319456,0.25621881,0.23655656
