# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 13:43:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35351c76529c.json
# init = 2 (Default)
# random
#   seed = 1311503044
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141443-4-870eb5.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141443-4-8eb7fc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00512439
# Diagonal elements of inverse mass matrix:
# 0.0089389, 0.0131797, 0.00500234, 0.02412, 0.0393928, 0.0288864, 0.0221692, 0.013329, 0.0155523, 0.0696787, 0.0190302, 0.0583651, 0.0341561, 0.0355538, 0.0602273, 0.0306205, 0.338004, 0.371728, 0.875926, 0.464993, 0.354121, 0.553538, 0.31733, 0.377905, 0.358254, 0.345916, 0.483043, 0.41295, 0.334605, 0.367262, 0.341311, 0.281309, 0.283469, 0.28237, 0.326323, 0.262258, 0.28969, 0.326503, 0.204684, 0.26266, 0.28541, 0.302449, 0.282925, 0.228328, 0.256318, 0.269049, 0.240503, 0.303756, 0.382497, 0.320478, 0.372623, 0.287456, 0.266018, 0.339557, 0.188459, 0.262564, 0.276163, 0.287342, 0.26877, 0.229913, 0.235667, 0.255017, 0.220313, 0.292502, 0.541224, 0.549101, 0.456924, 0.501409, 0.409439, 0.616035, 0.323545, 0.424223, 0.351267, 0.414862, 0.483077, 0.303388, 0.393139, 0.375608, 0.399587, 0.429937, 0.26608, 0.344458, 0.355448, 0.425636, 0.387085, 0.404743, 0.41075, 0.400996, 0.564141, 0.510513, 0.471793, 0.55733, 0.435144, 0.524509, 0.444555, 0.423741, 10.7029, 174.287, 0.804361
-19652.088,0.98969028,0.0051243855,10,1023,0,19700.113,-0.033405057,-0.047861999,-0.095448958,-0.042044389,-0.13452724,-0.11755902,-0.17092244,-0.12878219,-0.12081697,-0.028615256,-0.13315154,-0.16456912,0.13581171,-0.1148458,-0.27093045,-0.30290093,0.10825591,0.089073716,0.022982516,0.09407963,0.1653527,0.072937564,0.12430926,0.1477646,0.082376103,0.26557527,0.11149593,0.10442072,0.43860844,0.15227635,0.39780201,0.28600329,-0.88374972,-1.0275479,0.30125844,-0.59324854,-1.3662151,-1.2871025,1.0303623,-0.99988853,0.065435161,-0.96743305,0.57117432,-1.3058474,-0.85769692,-0.86254374,1.055547,-1.4771305,0.79333583,0.23587903,1.1882694,-0.6489675,0.39201737,-0.2773492,1.8220193,-0.5405888,0.047477794,0.46266917,1.5842358,-1.4276164,0.50480334,0.044552622,1.361484,-0.4986056,0.75695241,0.61321821,1.2009071,-1.2386814,-0.11086246,-0.37548616,0.30917034,-1.0773599,-0.21435823,0.067737408,1.1068103,-0.95123707,0.51564153,0.42026718,1.2974599,-1.7947002,-0.43875081,-0.5820767,-0.038682266,-1.1825915,0.40861838,0.033309623,1.3579842,-1.5608898,0.34343206,0.33544854,0.95060732,-0.42056353,0.52600102,0.47188717,0.94267131,-0.36733567,6.025307,-22.995006,0.12292124,-0.12907619,-0.1446432,-0.00079204908,-0.097627719,-0.16955586,-0.162509,0.043916201,-0.13692579,-0.093945093,-0.117683,-0.082321935,-0.12546062,-0.1227362,-0.12319218,0.057261082,-0.18101228,-0.0033470189,-0.095524007,0.06195631,-0.24183577,-0.088966228,-0.13778819,0.015334626,-0.15698825,-0.16502051,-0.11340837,0.026012739,-0.34838838,-0.054190127,-0.12219889,0.072396946,-0.20245845,-0.058462178,-0.070302442,-0.021890924,-0.22285472,-0.058057586,-0.1283351,0.053492743,-0.31473542,-0.15705161,-0.1255991,-0.0097466978,-0.23921061,-0.11072546,-0.12068451,-0.029087413,-0.35197301,-0.056628098,-0.11949205,0.11884534,-0.3828829,-0.05262288,-0.10977353,0.091943075,-0.35253239,-0.13431249,-0.13748835,0.10722305,-0.43823147,-0.15246291,-0.16793965,-0.033293836,-0.40796014,0.24646867,0.24843366,0.25941061,0.23513821
-19645.935,0.99462009,0.0051243855,10,1023,0,19698.728,-0.073067215,-0.066934135,-0.095356958,-0.014714951,0.024675353,-0.19051726,0.0052978024,-0.1558844,-0.089359013,-0.20804345,-0.13536154,-0.02994098,0.03134058,-0.13685961,-0.16198836,0.16638702,0.10178392,0.083546024,0.047667535,0.24127159,0.19573898,0.1302472,0.59871698,0.16933338,0.090633418,0.17036299,0.080191136,0.51370351,0.22861626,0.099092621,0.10749639,0.40597296,0.058157773,-1.2249109,1.4283659,-0.35183029,-0.57538172,-1.1664856,1.5759526,-1.0919303,-1.470882,-0.84059735,1.0381271,-0.19834284,-0.42795087,-0.36741663,0.30043875,-0.75267328,-0.19425762,-0.59287399,0.33438682,-1.4311003,0.7648572,0.4787032,1.6969765,0.31165463,-0.35018338,-0.26074105,0.02669967,-0.54178546,0.63412378,0.23588574,0.78114336,-0.25709817,0.29397237,0.21600597,0.89717431,-1.7491765,0.95062051,0.37757038,1.4537972,-0.59037249,0.25509435,-0.21422527,1.4135975,-1.6029476,-0.22190286,-0.17853772,-0.025716451,-0.8065242,-0.1793144,-0.65124619,0.18727366,-1.5260082,0.84139483,0.41213825,1.9948714,-1.7975818,0.82418371,0.26729455,1.7885951,-2.6774793,-0.73120742,-0.82114495,-0.50286142,-1.3878807,-0.42255439,2.9639563,0.026915964,-0.067147689,-0.19774345,0.072317463,-0.10887788,-0.11500499,-0.16438937,0.064730435,-0.15816057,-0.16547028,-0.13542616,-0.045871996,-0.10481147,-0.11796734,-0.10336215,0.057772385,-0.19631363,-0.013348435,-0.091373194,0.090127887,-0.25544676,-0.090896757,-0.12816751,0.030509174,-0.14992512,-0.20436294,-0.15081229,0.021283348,-0.31907835,-0.048506078,-0.11594107,-0.023610756,-0.1994197,-0.062715292,-0.069781654,-0.0080450384,-0.24789286,-0.046092894,-0.14371943,0.0396298,-0.30862107,-0.11490523,-0.15254051,-0.022003545,-0.26390373,-0.14393326,-0.12165643,-0.043151611,-0.4442553,-0.009653609,-0.11754489,0.074154385,-0.3175297,-0.05348359,-0.096019749,0.060817427,-0.3149867,-0.073391581,-0.13325516,0.030279167,-0.44980773,-0.13046342,-0.16697562,-0.03776112,-0.397055,0.25525537,0.24860528,0.25195784,0.24536594
-19639.437,0.99977639,0.0051243855,10,1023,0,19698.967,-0.064176901,-0.10514436,-0.086873656,0.12145264,-0.10300653,-0.091619695,0.084948732,-0.11919654,0.073938598,-0.098405034,-0.2490219,0.071413978,-0.063310328,-0.21023759,-0.20806675,0.1509164,0.122227,0.09645629,0.023379418,0.32429553,0.16327534,0.073292257,0.75107852,0.1175605,0.16378156,0.11645865,0.14388572,0.30167835,0.24472473,0.26600488,0.14316975,1.2384722,0.099242347,-0.58354877,1.0272356,-0.34360151,0.33936582,-0.47091641,1.4869598,-0.6689768,-1.1438965,-0.71514452,2.2063816,-0.77484928,-0.6786512,-0.83053636,-0.11818193,-0.95476203,0.52266733,-0.21060382,1.293336,-0.7209248,-0.5602512,-0.31186867,0.94278225,-0.98828278,-0.29391396,-0.33859346,-0.095516872,-0.52405341,0.54095402,0.081498795,1.1956962,-0.87114835,-0.71775138,-1.2641211,-0.34553823,-1.7494778,0.4405107,-0.20673351,1.3779694,-1.8130684,0.73032303,0.76972724,1.3354606,0.022105303,-0.60027867,-0.74053591,-0.37667548,-1.3877945,-0.021554042,-0.16109034,0.70347934,-1.2889929,0.55237994,0.40428306,1.0143764,-0.33581198,0.68497984,0.53254337,1.9977476,-1.4919327,-0.25805441,-0.26635746,-0.1332167,-0.42372879,6.3426728,-24.399691,0.24114301,-0.052046807,-0.13550231,0.061379026,-0.10617428,-0.072410395,-0.15056721,0.03828226,-0.16967138,-0.11361729,-0.10359332,-0.035289739,-0.10498918,-0.09863091,-0.14788659,0.083126768,-0.18817242,-0.017667841,-0.13739294,0.10816334,-0.22071577,-0.13268177,-0.11447725,-0.022521056,-0.16405317,-0.13580373,-0.16936154,0.01320806,-0.30865653,-0.055601709,-0.1096155,0.021370114,-0.22160918,-0.043615845,-0.13310113,0.017345807,-0.21259361,-0.047103752,-0.12248094,0.06207142,-0.30955254,-0.14393884,-0.13826914,-0.056868186,-0.24584126,-0.1096771,-0.15198968,-0.042220862,-0.34725358,-0.068585135,-0.10273312,0.10884847,-0.37875877,-0.063301832,-0.10269633,0.059591489,-0.29956522,-0.10999835,-0.13182264,0.077950283,-0.42166639,-0.16867681,-0.1789599,-0.014068775,-0.37385993,0.24514329,0.25339443,0.25604577,0.2311985
-19631.457,0.98823154,0.0051243855,10,1023,0,19683.52,-0.075385319,-0.10729279,-0.087135953,-0.030679887,-0.19185212,-0.087131134,-0.0048490542,-0.10211074,0.011143888,-0.1508165,-0.19903503,-0.064534437,-0.090000234,-0.12846306,-0.29929495,0.050059836,0.14807343,0.22953229,0.038841775,0.16295882,0.27990749,0.098996199,0.4057617,0.16610645,0.17503015,0.20411364,0.10177522,0.1784003,0.22698433,0.30764404,0.19091482,0.32654747,0.090527371,-0.47255888,0.87883051,-0.36979,-0.020630679,-0.16006169,0.92743851,-0.11264221,-0.6463473,0.29035522,1.8460135,-1.3820153,-0.35331627,-0.50815024,0.52013497,-0.92550325,0.67016772,0.32302121,1.093547,-0.20163168,0.035719427,-0.29360773,0.98436611,-0.56561434,-0.31429835,-0.29746493,0.022154244,-0.80363019,0.19351915,-0.23857616,0.94149915,-0.74239986,-0.27508126,-0.82493813,0.042319156,-1.3567661,0.5395814,0.020124382,0.92544255,-0.86689675,0.72679531,0.11180473,1.4391078,-0.49775466,-0.45433547,-0.50880594,0.28041067,-2.0330932,0.30156451,-0.034900347,0.79267556,-0.99007663,0.29455912,0.11771655,0.56657944,-0.668669,1.055257,0.89737027,1.8131656,-0.51514586,-0.59236533,-0.59516236,-0.22162755,-1.4097166,5.7270423,-21.175003,0.12594794,-0.06198062,-0.14535874,0.054746133,-0.13014139,-0.1120282,-0.14403212,0.10558429,-0.13314782,-0.11224123,-0.075858041,-0.01543351,-0.14081588,-0.088255889,-0.11348745,0.054080692,-0.1814988,-0.0042671543,-0.10143607,0.11423989,-0.24829034,-0.083595047,-0.11619718,0.010317368,-0.1431248,-0.13237929,-0.12554893,0.0041402894,-0.33093141,-0.069965958,-0.14173977,0.054278341,-0.22542814,-0.037003626,-0.13324516,0.018551016,-0.22633109,-0.040680572,-0.14670884,0.038078952,-0.32776195,-0.12506528,-0.18765608,-0.052569515,-0.24969412,-0.14558802,-0.15530557,-0.014509091,-0.42723886,-0.021549814,-0.097922066,0.089924699,-0.31473212,-0.037843701,-0.092248266,0.04584173,-0.33417509,-0.097830746,-0.12797366,0.046865243,-0.39764393,-0.14337556,-0.14428893,-0.022312081,-0.41027955,0.25110977,0.25287223,0.25439058,0.24773949
-19642.204,0.97979306,0.0051243855,10,1023,0,19691.298,-0.054407146,-0.057871599,-0.095827268,-0.010740875,-0.23319677,-0.073934501,-0.10532847,-0.033608514,-0.00014679905,-0.082880143,-0.16854305,-0.23870809,-0.24019467,0.083860714,-0.36021992,0.11428815,0.094328936,0.10755256,0.022805581,0.18075812,0.26503443,0.39170666,0.20162569,0.25874879,0.11033108,0.34694409,0.10504084,0.23554956,0.46819224,0.60292411,0.22138848,0.324623,-0.61410238,-1.4615338,1.482259,-0.568212,-0.33169811,-1.0516661,0.9473048,-0.91251407,-0.32636522,-0.40578476,0.47052852,-0.91353045,-0.38563823,-0.58652698,0.39235922,-0.97847837,0.93305629,0.29990246,1.1505015,-0.00025487172,-0.16094809,-0.10916568,0.41918303,-0.22622647,-0.17229698,-0.077469477,0.55906251,-1.1785129,-0.10543714,-0.32777561,0.32490205,-0.47245395,-0.5160889,-0.77521472,-0.17010151,-2.1354434,0.033375294,-0.006053957,0.50964062,-0.75903882,-0.027189031,0.32883361,1.27911,-0.91830501,0.45392074,0.46666445,1.1314916,-0.61084342,0.41274082,0.21872681,0.75200789,-0.13595921,-0.17981646,-0.27872797,-0.068157397,-0.63675191,1.1795817,1.1459485,1.7288627,-0.058303606,-0.75256531,-0.91355111,-0.36171927,-1.5378963,4.8806566,-18.448926,0.13094312,-0.11233477,-0.19227207,0.085412766,-0.10800598,-0.093546579,-0.17098098,0.044013454,-0.15601482,-0.10327022,-0.10508143,-0.085096592,-0.11666086,-0.080448115,-0.11676039,0.06018124,-0.18760879,0.014095263,-0.1537123,0.07172573,-0.23326432,-0.13697894,-0.11669542,0.090262285,-0.16254891,-0.14006797,-0.12094831,0.0073928915,-0.34294694,-0.060890246,-0.11842006,0.0504595,-0.1558554,-0.057087445,-0.085677077,-0.018914282,-0.23575258,-0.071300782,-0.084980528,0.093936659,-0.34622418,-0.171399,-0.13400209,-0.034184258,-0.26500258,-0.13178726,-0.12878548,0.027814271,-0.38259199,-0.046952617,-0.13778847,0.11188959,-0.30384971,-0.024554965,-0.0841911,0.042766976,-0.30005237,-0.099074127,-0.10652014,0.022530363,-0.37312767,-0.13001186,-0.18227155,-0.0031342486,-0.38494836,0.24621166,0.24429037,0.25799451,0.24780374
-19644.333,0.97723262,0.0051243855,10,1023,0,19687.392,-0.055674323,-0.064706481,-0.10514351,-0.097978577,0.095527782,-0.11502933,-0.17470996,-0.072084372,0.042899276,-0.058764869,-0.1280545,-0.12690232,-0.20892417,-0.17079271,-0.25316049,-0.20566185,0.11592155,0.4839398,0.040245135,0.35065581,0.2814329,0.06499549,0.15784097,0.14780614,0.15390258,0.15248023,0.083229932,0.17836956,0.23765104,0.13139531,0.32002257,0.078400216,0.074439518,-0.96608337,0.47144341,-0.3624369,0.048744442,-0.08528682,0.25846603,-0.16036999,-0.96618255,-0.10000835,1.2056461,-0.025672593,0.068401459,-0.058537218,0.48359983,-0.21996909,-0.30216964,-0.74722932,0.049484484,-1.0695995,0.61652322,-0.2897914,2.3311382,-0.80608409,0.073271912,0.18252624,1.360971,-0.90373591,0.24358657,-0.28790689,0.87055006,-0.95749254,-0.60945493,-0.8058272,-0.61636902,-1.9621386,0.12410577,-0.45136773,0.72165096,-1.7755142,0.18837234,-0.52919719,1.0460912,-1.6737455,0.14321187,-0.10997988,0.61396301,-1.4084581,0.80856067,0.39840163,1.2531647,-0.49964005,0.66406999,0.338268,1.7039629,-1.1876787,0.58424796,0.415762,1.0521125,-0.59738637,0.47369268,0.7711006,1.738173,-2.060917,-3.7678885,17.033176,0.33614171,-0.047045178,-0.1676642,-0.0010238717,-0.09768857,-0.041117105,-0.10598017,0.060375516,-0.1423159,-0.14402766,-0.10916836,-0.056622119,-0.10617671,-0.073993208,-0.11850499,0.071598514,-0.17511202,0.010487305,-0.11476713,0.10945434,-0.2054927,-0.074958103,-0.13386447,0.036484141,-0.16742116,-0.16314465,-0.14589984,0.040107021,-0.3173565,-0.036080782,-0.11463878,0.056588271,-0.21360765,-0.050897411,-0.081119611,-0.051961507,-0.25907892,-0.039841192,-0.12758952,0.051272637,-0.32949568,-0.11237628,-0.17209955,-0.040988402,-0.26736023,-0.10135769,-0.14651939,-0.017390012,-0.37812838,-0.016768893,-0.11424361,0.08889171,-0.32766415,-0.083537029,-0.12634588,0.053100026,-0.32684812,-0.066187961,-0.12010727,0.083539239,-0.44433761,-0.16852425,-0.1452074,-0.069388714,-0.36723819,0.25379197,0.2516236,0.25324813,0.24219325
