# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 13:55:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353578b322a5.json
# init = 2 (Default)
# random
#   seed = 522935367
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141455-1-1fe7ad.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141455-1-57c09b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00275964
# Diagonal elements of inverse mass matrix:
# 0.00406863, 0.159279, 0.00121366, 0.0117972, 0.01465, 0.00834196, 0.0185257, 0.00507915, 0.0130399, 0.0356988, 0.00874807, 0.0322046, 0.0361748, 0.0377199, 0.108057, 0.0139229, 0.228213, 0.874955, 0.372568, 0.414229, 0.304536, 0.349925, 0.243626, 0.410111, 0.250474, 0.482112, 0.366918, 0.358728, 0.371179, 0.335788, 0.483317, 0.306343, 0.204859, 0.337246, 0.388249, 0.211707, 0.210539, 0.284511, 0.1797, 0.14361, 0.335399, 0.22317, 0.243408, 0.18248, 0.312963, 0.303655, 0.246262, 0.172229, 0.242578, 0.466883, 0.377592, 0.309496, 0.183036, 0.279062, 0.159012, 0.197442, 0.295579, 0.250187, 0.258692, 0.168061, 0.270589, 0.285577, 0.219091, 0.160491, 0.348064, 0.541228, 0.462664, 0.912666, 0.321444, 0.327948, 0.222124, 0.235423, 0.398314, 0.281568, 0.417318, 0.229533, 0.49695, 0.394211, 0.423079, 0.274109, 0.178627, 0.489932, 0.312436, 0.317355, 0.316316, 0.36811, 0.381121, 0.461441, 0.398321, 0.632344, 0.382972, 0.53825, 0.442604, 0.45372, 0.318697, 0.438816, 23.9, 391.895, 0.844103
-19630.261,0.99290024,0.0027596354,10,1023,0,19681.099,-0.062757026,-0.14522414,-0.10788825,-0.058517291,0.22027528,-0.12075379,-0.16823417,-0.17561631,-0.068462299,-0.25650244,-0.072755436,-0.34356416,0.12253374,-0.12035741,-0.108189,-0.14463726,0.04799278,0.13096679,0.070936106,0.18649846,0.3687083,0.17144629,0.31039822,0.16871705,0.095302643,0.6561833,0.15533644,0.35586258,0.4306312,0.11725252,0.21629411,0.28822939,0.26995195,-1.5826754,1.8030325,-0.9570926,0.50571825,0.0095127127,1.441024,0.13252172,-0.17397154,-0.27253505,0.81734944,-0.35594077,-0.29929457,-0.1943201,0.79460809,-0.60820589,-0.53027763,-0.86083034,-0.3353814,-1.1824724,0.052822956,-0.031398129,0.95469708,-0.1377071,0.060712277,0.1683146,0.66881354,-0.58270799,0.8314305,0.5405745,1.1563267,-0.11884571,0.025757698,-0.39669684,0.55495043,-1.6981808,0.27172997,0.20421129,0.46241001,-0.05682543,-0.26456358,-0.42559064,-0.035446391,-1.0394165,0.70238447,0.56157692,0.91504919,-0.20456244,-0.40973953,-0.56293182,-0.039949429,-1.2173935,0.4839288,-0.080785725,1.0015426,-1.7527841,0.14943961,-0.096519206,0.61547119,-1.4778054,0.11037826,-0.00013281657,0.39858925,-0.82659525,-21.519988,90.635038,0.60255032,-0.049801282,-0.13871402,0.023775515,-0.10869056,-0.078991849,-0.14397829,0.043502135,-0.1278682,-0.12022912,-0.12722083,-0.049908667,-0.1331373,-0.11433527,-0.09475769,0.089675893,-0.17194675,0.024757522,-0.097120005,0.09661738,-0.21571209,-0.11169749,-0.12613688,0.042925485,-0.14436316,-0.14938919,-0.11598962,0.039364359,-0.3491057,-0.035339804,-0.084412171,0.019475726,-0.19566761,-0.066007522,-0.10626856,-0.015574056,-0.23030342,-0.078197775,-0.1225024,0.046923282,-0.29379034,-0.1138518,-0.13886517,-0.078261552,-0.23421469,-0.093611812,-0.14371995,-0.017932398,-0.41636028,-0.05391288,-0.11988226,0.10533027,-0.40171386,-0.063615542,-0.12982974,-0.0029240209,-0.32587577,-0.07586609,-0.12906553,0.024933795,-0.4278296,-0.112823,-0.14467554,-0.029752122,-0.3828863,0.2446382,0.24687689,0.23418623,0.24533659
-19639.431,0.99643661,0.0027596354,10,1023,0,19682.766,-0.016452369,-0.075305519,-0.16365809,-0.16903591,0.01408429,-0.11974787,-0.051192044,-0.026065562,-0.088022114,-0.11340546,-0.082240618,-0.18210143,-0.17342208,-0.16456849,-0.021593152,-0.2638181,0.066375891,0.11174289,0.089245638,0.20205641,0.2055296,0.12268975,0.14705087,0.11487839,0.36204002,0.30908055,0.16929586,0.24117338,0.13105261,0.17626604,0.19055771,0.17176326,-0.66658897,-2.0273255,1.4583201,-0.98348735,-0.17694362,-0.58728246,1.3342122,-0.88774268,1.1540326,0.44242588,2.2296687,0.17907116,0.3298702,0.34923579,1.1363885,0.0092993637,-0.11319547,-0.59897703,0.38094372,-1.0857182,0.017539212,-0.10231287,1.288458,-0.42768759,-0.72132679,-0.52361793,0.71660298,-2.0872802,0.0014289434,-0.59239473,0.39168461,-1.4180133,0.046836035,-0.091207789,0.20051905,-0.4812591,0.16754483,-0.020977617,0.44300235,-0.63171157,-0.40166498,-0.52129687,0.60926343,-0.8343097,0.23668672,0.081264587,0.52003148,-0.81593359,0.6085733,0.27864874,1.8514881,-1.4615458,0.55073151,0.19979755,1.1864215,-0.74836757,-0.4643943,-0.48662215,0.49141942,-2.1646854,0.69755644,0.75619702,1.4598249,-0.76679806,-14.863077,60.988771,0.098921561,-0.060697805,-0.15101791,0.080344929,-0.081732218,-0.09507771,-0.14093016,0.073783206,-0.17450445,-0.060665712,-0.12417351,0.035330114,-0.14767677,-0.10238353,-0.098470585,0.060578673,-0.16715692,-0.0091807304,-0.10902322,0.092379502,-0.20906294,-0.11759599,-0.13230061,0.038332721,-0.17222075,-0.15726378,-0.12819052,0.054185048,-0.35812842,-0.025901407,-0.094118917,0.018930537,-0.18896465,-0.071065595,-0.12104298,-0.015426192,-0.26225717,-0.061620608,-0.11988923,0.023517956,-0.30865522,-0.15024084,-0.17049402,0.02090516,-0.2234858,-0.12501889,-0.16250258,-0.056683683,-0.37888289,-0.09366696,-0.13690444,0.069220277,-0.36496147,-0.06749323,-0.12935097,0.044557331,-0.29648028,-0.11008707,-0.11432276,0.07205061,-0.43409065,-0.14400353,-0.13393124,-0.013073818,-0.39552583,0.24751851,0.24860054,0.24672265,0.24918628
-19635.349,0.99278784,0.0027596354,10,1023,0,19681.204,-0.023766225,-0.12572825,-0.10107545,-0.19797167,-0.0016989405,-0.064732809,-0.034966279,0.030409221,-0.088911432,-0.078087733,-0.10013397,-0.1449936,-0.12491053,-0.098845064,-0.1241335,-0.30757859,0.11620112,0.29628136,0.045778814,0.27296481,0.15825887,0.091504211,0.1298104,0.14887075,0.27697306,0.24307571,0.14286942,0.14236548,0.26326022,0.27210888,0.17456973,0.19258263,-0.56284511,-1.0430005,0.38902829,-0.8291967,0.21049515,0.068009095,0.73536225,-0.076642299,-0.53665877,-0.42018683,1.0732268,0.064662108,0.2250129,0.3511951,0.92322393,0.0054258051,0.033755594,-0.69818797,0.67745561,-1.3844648,-0.21268042,-0.17280292,0.59404676,-1.0502278,-0.7646715,-0.56372673,0.43669078,-2.6602773,-0.69055736,-0.95638595,0.23589578,-1.6813872,0.21405925,0.033517854,0.42175935,-0.51024519,0.10356695,-0.13091286,0.58127073,-0.9886857,-0.30753238,-0.515461,0.62897453,-0.86609751,0.14062317,-0.21236987,0.54904885,-1.5828898,0.30241455,0.13068757,0.83894519,-0.91346808,0.20851153,-0.024147256,0.64384667,-0.73206107,0.10413072,0.034738438,0.93567103,-1.5306489,0.78524426,1.0764622,1.3786724,-0.52865661,-17.403007,71.443937,0.069289881,-0.089169458,-0.14496405,0.021439297,-0.12011981,-0.063362461,-0.10557842,0.092145879,-0.14843593,-0.12564305,-0.1203111,-0.051944399,-0.098115295,-0.13655106,-0.10210777,0.054035978,-0.19649062,0.0036431815,-0.11219338,0.10551442,-0.22080276,-0.084193964,-0.080545004,-0.010375029,-0.16083308,-0.13422859,-0.10814387,0.021720727,-0.38029794,-0.072394567,-0.11196867,0.065527202,-0.21990015,-0.029622785,-0.079627889,0.027904548,-0.2302356,-0.052913123,-0.10990947,0.063205064,-0.31841322,-0.14407094,-0.17377758,-0.010272743,-0.22387282,-0.12497371,-0.17522774,-0.066827998,-0.37034246,-0.045296812,-0.090505694,0.095950361,-0.36539034,-0.042107227,-0.10541575,0.076351329,-0.29804538,-0.10595543,-0.11806922,0.039206336,-0.39133846,-0.15635419,-0.10027068,-0.042070233,-0.40938867,0.2479617,0.24976376,0.24775014,0.25031195
-19629.21,0.98829926,0.0027596354,10,1023,0,19684.067,-0.004810765,-0.11661813,-0.11864373,-0.21348033,-0.019400729,-0.051046594,-0.047577117,0.032003856,-0.10093135,-0.10872028,-0.12679089,-0.12282359,-0.10276886,-0.10545545,-0.15483529,-0.27108766,0.12169629,0.28504731,0.098832391,0.30018383,0.11743663,0.12383348,0.090658507,0.15356444,0.2762602,0.27870898,0.17447174,0.14163553,0.33825921,0.22790714,0.1945414,0.17831317,-0.59518308,-1.2898543,0.42144614,-0.74652247,0.073201079,-0.10909939,0.55958941,-0.20153569,-0.1300211,-0.39132911,1.0727618,-0.13673194,0.48628818,0.30298084,0.99427491,0.10924433,0.1819858,-0.85449667,0.58301521,-1.6481412,-0.64159528,-0.47214989,0.46307111,-0.69192521,-0.99942749,-0.81436738,0.44100415,-2.6528752,-0.77769459,-1.1017177,0.23698989,-1.6416898,0.054976508,0.18901337,0.34195151,-0.55422525,0.19158228,-0.0061412218,0.6003675,-0.79593935,0.10963758,-0.15015297,0.50948239,-0.7087146,0.10660086,-0.064387454,0.77470978,-2.0003336,0.21235849,0.010415381,0.54849094,-0.78066949,0.31888206,-0.044426801,0.67086171,-0.90019473,0.33768542,0.038747137,0.95004848,-1.4624424,0.98210437,0.71511101,1.1249609,-0.55039356,-20.92105,85.434107,0.062061795,-0.077242339,-0.16178124,0.046477667,-0.095659781,-0.095752359,-0.14771662,0.042891326,-0.17406534,-0.13149403,-0.15731973,-0.012620122,-0.13215728,-0.067504482,-0.12253038,0.084984922,-0.18068695,0.0019710689,-0.11974994,0.049066612,-0.21295287,-0.13049757,-0.10951456,0.006297114,-0.1367301,-0.13818372,-0.12140645,-0.0075963395,-0.28808282,-0.087422378,-0.1371808,0.068397076,-0.22010131,-0.085743525,-0.048714476,-0.0064637527,-0.25404173,-0.05532458,-0.11043189,0.058607534,-0.33055573,-0.10766223,-0.15298834,-0.037900606,-0.25044156,-0.10772512,-0.13194314,-0.013097153,-0.40614191,-0.030936642,-0.099245758,0.082763255,-0.3668375,-0.032779953,-0.11558063,0.047438721,-0.31061625,-0.089141497,-0.14729737,0.029988473,-0.43934089,-0.095965515,-0.14357395,-0.07049232,-0.36923008,0.24907131,0.24891285,0.24698576,0.2482511
-19632.936,0.97462122,0.0027596354,10,1023,0,19666.111,-0.086002394,-0.24207137,-0.10672605,-0.19474312,-0.00059907959,-0.046285658,-0.05252223,-0.03082376,-0.070421844,-0.16786438,-0.14174798,-0.31326488,-0.092018334,-0.19119834,-0.13987302,-0.23643943,0.063615477,0.47945644,0.081683943,0.41306558,0.12940043,0.072210409,0.083014543,0.087046798,0.22091476,0.40220873,0.17238529,0.25586596,0.24655806,0.26978301,0.2110112,0.12288067,0.26923345,-0.98966478,1.7077912,-0.4069219,0.33062926,0.24386713,0.6689091,0.22488689,0.11097108,-0.10317144,0.9099554,-0.55196227,0.1341608,0.24025082,0.66427756,0.0099412543,-0.15259504,-0.76470544,0.82981523,-1.6704858,-0.70060511,-1.3953416,0.48349563,-1.6165577,-1.0264435,-0.5157373,0.92819131,-2.6735481,-0.11177555,-0.78319059,0.60616787,-1.7777454,0.20172401,-0.14064889,0.27649542,-0.81940366,0.2558809,0.14255733,0.5951522,-0.3759723,0.1686716,-0.13948641,0.58241787,-0.54647501,0.745762,0.60510791,1.1127681,-0.38896344,0.1062912,-0.15054222,0.65021601,-1.1260618,0.49737342,0.23553732,0.88056021,-0.46503835,0.33998506,0.081823918,0.86520965,-1.2440257,0.84752206,0.93932341,1.7477346,-1.3897082,-18.819041,77.865531,0.16133874,-0.068874979,-0.14896039,0.022639558,-0.11188892,-0.083549044,-0.1251477,0.078641406,-0.1342479,-0.097661497,-0.1151535,-0.032397307,-0.15181251,-0.13932591,-0.095503779,0.079647072,-0.19063673,-0.020344943,-0.099552289,0.10677936,-0.21676066,-0.096876639,-0.14704385,-0.011372241,-0.16301795,-0.13773197,-0.095335926,0.024531147,-0.2744656,-0.040553464,-0.098997993,0.021941212,-0.1855708,-0.025858033,-0.10149326,-0.009339924,-0.25144021,-0.064946851,-0.11052658,0.071511026,-0.31908372,-0.11267148,-0.16579338,-0.041347704,-0.23595223,-0.12244977,-0.15843836,-0.028545397,-0.41278738,-0.065811382,-0.12913573,0.06829766,-0.36965795,-0.057015445,-0.12765438,0.046361841,-0.31665779,-0.068132362,-0.12260726,0.04269591,-0.40237639,-0.13229535,-0.12101474,-0.021676634,-0.4072077,0.2487133,0.24726184,0.24331337,0.24685177
-19625.452,0.99823038,0.0027596354,10,1023,0,19680.938,-0.091174704,-0.26013669,-0.068112979,-0.09118628,0.027521507,-0.061804665,-0.027522273,-0.022269482,-0.038374282,-0.094068106,-0.1807811,-0.29087248,-0.17015742,-0.14383522,-0.25190163,-0.26067008,0.11566412,0.50153111,0.080024041,0.45599265,0.11413644,0.07094907,0.14703924,0.16354468,0.19536938,0.23285613,0.28287159,0.22616359,0.62244355,0.29756019,0.31584324,0.15423426,0.30266858,-1.0459788,1.1776901,-0.1318877,0.28466663,0.20873424,0.57174233,0.18606956,-0.1578409,-0.40314631,0.32654774,-0.54862288,-0.062563445,-0.022699015,0.25324095,-0.21668021,0.038481586,-1.2172101,0.23947927,-1.9473284,-1.042036,-0.63032507,1.0646163,-1.3330018,-0.49346058,-0.6388161,0.38546917,-2.2347215,-0.13652997,-0.55689725,-0.024772133,-0.96181872,-0.29619512,-0.16207745,0.31633717,-1.1194904,0.04017191,-0.10585366,0.60888794,-0.95368496,0.18333705,0.085459018,0.5524388,-0.26006463,0.79676085,0.68794417,1.2234853,-0.39467476,0.18072504,0.036004531,0.35440503,-0.33752665,0.30593392,0.0060634626,0.57668363,-0.52062023,0.5106591,0.42112334,0.96069006,-0.59671864,0.84175107,0.53794955,1.6233154,-1.005003,-12.50668,52.037176,0.051924824,-0.05616681,-0.21215692,0.04504178,-0.10642938,-0.11736751,-0.15544997,0.02660988,-0.16681701,-0.080744046,-0.10037438,-0.04198131,-0.112016,-0.11971475,-0.10153686,0.024289731,-0.18999086,0.031913659,-0.11140652,0.054854819,-0.19473962,-0.13573615,-0.10652564,0.013728868,-0.15637991,-0.10008034,-0.12145331,0.029156822,-0.35611404,-0.044598232,-0.11334706,-0.026320833,-0.17956981,-0.096241737,-0.070039252,0.023428314,-0.25708843,-0.08471383,-0.11871678,0.047715184,-0.3161395,-0.12892026,-0.15660717,-0.024511857,-0.25434599,-0.11067419,-0.13528456,-0.014164657,-0.38013354,-0.057666283,-0.14774663,0.050439711,-0.3802487,-0.052801463,-0.14203097,0.027762873,-0.29875108,-0.090613403,-0.11889267,0.051525833,-0.44037118,-0.13084322,-0.17769983,-0.01029923,-0.41567597,0.24678285,0.24697536,0.24566699,0.24912123
