# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 13:55:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353578b322a5.json
# init = 2 (Default)
# random
#   seed = 522935367
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141455-3-1fe7ad.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141455-3-57c09b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00224677
# Diagonal elements of inverse mass matrix:
# 0.00894085, 0.0085656, 0.00555904, 0.0130934, 0.0296186, 0.00365006, 0.0264649, 0.0199664, 0.010385, 0.0524072, 0.0112482, 0.026899, 0.0248679, 0.014674, 0.0857354, 0.13703, 0.346637, 0.393641, 0.801808, 0.334306, 0.315954, 0.366689, 0.254433, 0.35358, 0.270625, 0.4555, 0.308116, 0.343793, 0.22969, 0.279535, 0.472964, 0.518084, 0.299217, 0.261594, 0.308811, 0.297243, 0.366, 0.306633, 0.272219, 0.331585, 0.272425, 0.246481, 0.308953, 0.204651, 0.269324, 0.256585, 0.332271, 0.213271, 0.452281, 0.324329, 0.401552, 0.290063, 0.359483, 0.332714, 0.25751, 0.324402, 0.260211, 0.253969, 0.318977, 0.195374, 0.268093, 0.241728, 0.309204, 0.214368, 0.456841, 0.535446, 0.605588, 0.599398, 0.47516, 0.464962, 0.338907, 0.467545, 0.364537, 0.358698, 0.479895, 0.282115, 0.36042, 0.372032, 0.470725, 0.283528, 0.314047, 0.317613, 0.357111, 0.384786, 0.521292, 0.449685, 0.459178, 0.531697, 0.512915, 0.59108, 0.459007, 0.458063, 0.50502, 0.487936, 0.506617, 0.640064, 33.8443, 555.452, 0.878117
-19631.668,0.6206454,0.0022467695,10,1023,0,19683.105,-0.08204366,0.086277432,-0.073268875,-0.041509173,-0.10320171,-0.01570742,0.04763862,-0.095184688,-0.13183613,-0.015278379,-0.017044084,-0.53654759,0.21257863,-0.090544839,0.15856256,-0.15951099,0.12265475,0.17131648,0.22010131,0.10288825,0.19513384,0.11332165,0.27349561,0.12973132,0.25369281,0.24484296,0.38019668,0.3901178,0.46170875,0.1790886,0.49790479,0.18516555,0.25140955,-0.54681339,1.1083893,-0.30687141,-0.89634662,-1.1058939,-0.43535287,-1.2901977,-0.28802274,-0.18423454,0.21294236,-0.15943562,-0.90490288,-0.95134707,0.35404945,-1.3936475,0.58206215,-0.27410831,0.88261284,-0.56630295,-0.82117913,-0.97610654,0.24068945,-1.1718404,-0.68726057,-0.62153119,-0.088474274,-1.4504658,0.53635883,0.00091063531,1.1137255,-0.79298604,0.16671582,0.26071626,0.5710975,-0.52216827,-0.15779201,-0.51178568,0.23614491,-1.1068699,-0.33741065,-0.21766393,0.037078463,-0.57207551,0.9941587,1.1172479,1.2565938,0.24982827,-0.51316085,-0.67756032,-0.26193009,-1.1735155,0.42768397,-0.24799867,0.62857136,-0.99127594,-0.4197875,-0.60861096,-0.27191867,-1.1476861,0.035179646,-0.022769582,0.87488133,-1.3370649,-2.041949,9.5030263,0.020212581,-0.051207083,-0.14911292,0.05390556,-0.1196829,-0.067281514,-0.10318042,0.011694312,-0.13475469,-0.13666306,-0.11381914,-0.026399983,-0.10836086,-0.13461305,-0.13939161,-0.0050816453,-0.18489913,0.010378312,-0.15668952,0.069025922,-0.21370658,-0.10876479,-0.12632142,0.011567904,-0.14850231,-0.14032413,-0.12234743,0.023441294,-0.34905741,-0.025602149,-0.09506655,0.049300386,-0.19805981,-0.089541522,-0.065694287,0.013047201,-0.26430646,-0.053912641,-0.1405855,0.042540039,-0.28628768,-0.14532649,-0.099799187,-0.0029469753,-0.2345453,-0.14870859,-0.1006893,-0.046327988,-0.43908513,-0.024352228,-0.1002569,0.091643216,-0.32924375,-0.013951514,-0.13495857,0.022025129,-0.26807106,-0.050451646,-0.14446775,0.023172951,-0.41287583,-0.15299693,-0.16372713,0.0024868937,-0.40708935,0.25156548,0.24948835,0.24149058,0.25135237
-19627.419,0.41680467,0.0022467695,5,49,1,19674.59,-0.084598219,0.082711327,-0.076489248,-0.040059682,-0.108733,-0.011367343,0.043405201,-0.094797313,-0.13105902,-0.018250901,-0.013829332,-0.53335319,0.2086977,-0.092904334,0.15532175,-0.13906394,0.12396653,0.1717278,0.2152512,0.099391478,0.19068197,0.11266018,0.27739821,0.12980753,0.25282408,0.24899731,0.3741983,0.38994931,0.46802553,0.17929276,0.50584385,0.18661342,0.25216921,-0.4855146,1.1151464,-0.34473081,-0.90290924,-1.1189575,-0.4332727,-1.2760755,-0.26540784,-0.1857087,0.21468167,-0.17597961,-0.89376519,-0.93919746,0.3635296,-1.4341905,0.591372,-0.26819853,0.89605609,-0.58271684,-0.79619106,-0.97656065,0.25647679,-1.2202895,-0.68240643,-0.57740504,-0.091699337,-1.4266187,0.52258438,0.0066775946,1.0945437,-0.81015984,0.19089257,0.22843974,0.55458305,-0.52144566,-0.14766699,-0.50423867,0.2581339,-1.1046297,-0.31853204,-0.21854311,0.059341055,-0.5863978,1.0180481,1.1121774,1.2287077,0.29919156,-0.52253129,-0.65972268,-0.26764896,-1.2022455,0.44270112,-0.23305915,0.59449451,-1.0157245,-0.44865964,-0.60791105,-0.2195749,-1.1380343,0.027419077,-0.032022459,0.81807051,-1.3637583,-2.1810291,10.082144,0.021589899,-0.053337676,-0.14478578,0.053642621,-0.1273333,-0.072343289,-0.10944478,0.0083063591,-0.13642631,-0.1336186,-0.11646327,-0.030278762,-0.11436907,-0.12889233,-0.13340791,-0.0039279383,-0.18260599,0.0040309745,-0.15987363,0.062128735,-0.2198466,-0.10106637,-0.12138684,0.017527379,-0.14884538,-0.14589312,-0.11676592,0.017967969,-0.35233627,-0.026961924,-0.093930511,0.04728271,-0.19996216,-0.082796782,-0.073303954,0.0091529279,-0.26289304,-0.055019586,-0.14380497,0.046023746,-0.29330074,-0.13302348,-0.095607792,0.0083759897,-0.2332584,-0.13636605,-0.09966038,-0.054219464,-0.41668365,-0.035860291,-0.10006936,0.083431151,-0.35398389,-0.013531231,-0.13469015,0.013684225,-0.27501638,-0.071629974,-0.15218632,0.044251135,-0.42034592,-0.13394717,-0.14503976,0.01359899,-0.39355953,0.25284474,0.24991974,0.24068883,0.25235499
-19619.414,0.57546315,0.0022467695,10,1023,0,19678.527,-0.062123107,0.10646368,-0.049123323,0.0033457895,-0.12406133,0.00091618976,0.010455011,-0.12728129,-0.14193818,-0.0091723118,-0.029170027,-0.5718806,0.28486941,-0.10265869,0.23821769,-0.16245723,0.097268334,0.18245512,0.24576139,0.14232185,0.14551641,0.12853248,0.23389968,0.11469232,0.34196955,0.22471775,0.35237469,0.36683486,0.55238505,0.17476025,0.54666333,0.19814641,0.058557299,-0.7563048,1.2260705,-0.53992236,-1.0780232,-1.3719377,-0.19552334,-1.3697907,-0.18879945,-0.2152843,0.2063163,-0.29207741,-0.72743838,-0.82891143,0.49781288,-1.2543358,0.80533732,0.046157889,1.3232377,-0.88510036,-0.69708446,-0.58647361,0.087804751,-1.2404524,-0.92921288,-0.60669868,0.20956376,-1.3944954,0.34231944,0.31946875,1.2350133,-0.61265906,0.18832552,0.10751514,0.34085001,-0.29962623,-0.20144962,-0.44227918,0.36225654,-1.3591101,-0.20071825,-0.371316,0.031230846,-0.54903334,1.2592044,1.0367355,1.54331,0.49634422,-0.65676228,-0.6992784,-0.31081666,-1.188986,0.28499691,-0.099438164,0.83297746,-1.2394776,-0.63842323,-0.66563795,-0.32686564,-1.2063993,-0.042606729,0.12487352,0.66019922,-1.0788726,-2.9297966,13.137796,0.02029668,-0.056427336,-0.13568761,0.057134727,-0.11464045,-0.090227177,-0.14385338,0.070789447,-0.14346165,-0.095522939,-0.10203189,0.0015812559,-0.12090467,-0.10018459,-0.11462642,0.07419544,-0.17517361,-0.0068715363,-0.1173446,0.068491467,-0.25285796,-0.088681805,-0.074464717,0.012201952,-0.15852223,-0.20688759,-0.13145162,0.059471908,-0.31571702,-0.088019877,-0.090640675,0.014365246,-0.19754857,-0.077536587,-0.10517128,-0.025377852,-0.24440123,-0.054441616,-0.10856029,0.072233161,-0.31458846,-0.099898059,-0.16001239,-0.018165067,-0.22263548,-0.10996054,-0.19156988,-0.0057406911,-0.38980424,-0.077916249,-0.10140152,0.11317894,-0.37190867,-0.052852564,-0.12003653,0.042912653,-0.3192701,-0.11078488,-0.12566217,0.05953223,-0.42127658,-0.1708996,-0.13771399,-0.031641127,-0.37623196,0.24871201,0.24795145,0.24222124,0.24862742
-19623.754,0.9498314,0.0022467695,10,1023,0,19664.635,-0.14065933,0.047037901,-0.051679377,-0.042427263,-0.052355282,-0.026113592,-0.076852113,-0.14012144,-0.15517177,0.030816604,0.060392492,-0.51857291,0.50916974,-0.039347321,0.23925906,-0.23971755,0.084991287,0.14204049,0.12511289,0.14924145,0.14112287,0.13214767,0.14373491,0.20214718,0.31629653,0.23080287,0.4245872,0.40086621,1.1069167,0.22987524,0.63028867,0.34361717,0.56216749,-0.49558515,1.8240551,0.41760844,-0.83967553,-1.1251448,0.10684623,-1.3338809,-0.30859964,-0.53713311,0.51119819,-0.5604875,-0.56284538,-0.62670431,0.62814452,-1.1662091,0.20733855,-0.53283997,0.791532,-1.4556279,-0.28783492,-0.4014017,0.20738035,-0.95946919,-0.43226683,-0.34545486,0.58902528,-1.4370088,0.35876727,0.090052144,0.64226051,-0.32366695,0.17546313,0.094799601,0.46001246,-0.33758393,-0.42150421,-0.60489314,0.16457548,-1.3474545,-0.47130225,-0.53238445,-0.15744309,-0.73104922,0.89701374,0.96636527,1.2353604,0.33465826,-0.51121334,-0.53214104,-0.37450967,-0.7740432,0.041600334,-0.24941026,0.20519132,-1.1113869,-0.48727697,-0.58300284,-0.30941422,-1.0613053,0.2021419,0.32802656,0.60743703,-0.43458548,-1.313589,6.5606955,0.032097203,-0.092879993,-0.18277975,0.014369455,-0.10516625,-0.072230019,-0.11277822,0.062214391,-0.14242719,-0.09028917,-0.11888165,0.012278108,-0.12180359,-0.12642713,-0.13595752,0.051317937,-0.21647401,-0.02309507,-0.12755119,0.059347988,-0.25777767,-0.064150305,-0.079157889,0.0012912371,-0.15290521,-0.13898395,-0.12650603,0.0078113811,-0.28340044,-0.067597643,-0.12191765,-0.010290283,-0.2055498,-0.099673388,-0.12518698,-0.0096714217,-0.26194839,-0.066467778,-0.10879447,0.068801097,-0.28017976,-0.13971641,-0.16565113,-0.0064558289,-0.25000165,-0.15899041,-0.13118972,-0.023358654,-0.38441972,-0.056700814,-0.07986604,0.094618747,-0.34763157,-0.029784435,-0.096680565,0.007821083,-0.29482764,-0.067866097,-0.12820102,0.044238781,-0.42966965,-0.17025812,-0.12700199,-0.030991752,-0.38904858,0.25354097,0.25160291,0.23773122,0.24993336
-19630.367,0.9945182,0.0022467695,10,1023,0,19675.349,-0.15717289,-0.098825393,-0.097393769,-0.019558356,-0.02960245,-0.076785331,-0.1723982,-0.1502357,-0.14035652,-0.008970414,-0.14957713,-0.32744752,0.26502905,-0.11392485,-0.24927531,-0.18218769,0.29615287,0.24149223,0.14413911,0.097798926,0.14374807,0.12944328,0.40916891,0.20393746,0.093642627,0.17669461,0.14472539,0.21687756,0.44953776,0.083585113,0.95713934,0.091460309,0.30634465,0.046161818,0.79961596,0.062185515,-0.052158492,-0.28945425,0.50439257,-0.24143667,-0.13333819,-0.30040323,0.62678631,-0.11966904,-1.0929533,-0.68803217,0.58673142,-1.2729065,0.39926303,-0.52492091,0.85231044,-1.1616046,-0.28487308,-0.42811932,0.63286842,-0.4440091,0.06336872,0.19091254,0.48049586,-0.59672343,0.34178894,0.10198493,1.0369824,-0.29614122,0.7501318,0.54472399,1.4775431,-1.1898038,-0.37580273,-0.6451982,0.34508909,-1.8256679,-0.072931526,-0.10459655,0.88753903,-0.69584619,1.0163314,0.76596563,1.3150536,-0.31464747,-0.67607629,-0.84477607,-0.35125099,-1.3530752,0.69087351,-0.083444506,1.574568,-2.291284,0.17759772,0.15164313,0.30165889,-0.1834431,0.25134244,0.17734328,1.5377287,-2.0848165,-2.0803124,9.9083389,0.031348474,-0.066448046,-0.14350194,0.079635666,-0.13875648,-0.11142126,-0.16872635,0.022981494,-0.15713047,-0.11661302,-0.14069362,-0.0070493456,-0.11464276,-0.12644802,-0.086847163,0.037823347,-0.14404725,0.027790841,-0.10505882,0.092915532,-0.19658087,-0.11366024,-0.1322025,0.0051352341,-0.13425933,-0.14646969,-0.094282729,0.024205762,-0.41655888,-0.080532137,-0.12943716,0.06124386,-0.21062999,-0.070112212,-0.089347139,-0.0019955094,-0.25177287,-0.07537273,-0.12297346,0.052004968,-0.33155609,-0.16013218,-0.16471491,-0.021127699,-0.25028375,-0.10702804,-0.16132677,-0.042241901,-0.3956875,-0.038892768,-0.11472969,0.10712847,-0.34322932,-0.056178112,-0.12089957,0.017685592,-0.30544208,-0.079289545,-0.1041317,0.039454283,-0.42485592,-0.15919983,-0.16596782,-0.041546547,-0.37286565,0.24473698,0.24875101,0.237721,0.24678261
-19622.65,0.77456439,0.0022467695,10,1023,0,19672.455,-0.17095184,-0.040397025,-0.068756491,-0.06059393,-0.052568159,-0.091039005,-0.097025367,-0.066928597,-0.15704727,0.0072043517,-0.12866117,-0.26163805,0.38941408,-0.13604571,-0.33570356,-0.18450478,0.3168815,0.18837976,0.14024421,0.12263675,0.15260275,0.15013557,0.36517278,0.21169334,0.11275772,0.11813704,0.18049466,0.18080188,0.52596232,0.092888128,1.1891859,0.092367879,0.33545929,0.14186301,0.85775755,0.24151266,-0.27374354,-0.47783087,0.42589149,-0.5940614,-0.30817212,-0.11739976,0.2983019,-0.35587635,-0.31730217,-0.46046937,1.0947161,-1.0857919,0.21267182,-0.39729828,1.1589812,-1.1634497,0.13777466,-0.020100349,0.65265998,-0.39187757,-0.14549017,-0.02147383,0.32314322,-0.71760279,0.19222173,-0.15631867,0.33954682,-0.59268862,0.64956042,0.60181689,1.4941055,-0.8281936,-0.52411892,-0.95736006,0.72813304,-2.5540563,0.05753724,-0.12062807,0.64161036,-0.7610432,0.66401993,0.6992727,1.3161692,-0.59816224,-0.81693613,-0.93359429,-0.5596533,-1.4596005,0.71772806,-0.026830572,1.8331145,-1.9947532,0.1980083,0.18215303,0.32389034,-0.055613356,0.40876769,0.47865742,1.0903286,-1.9648258,-2.3095561,10.868093,0.021895018,-0.064650991,-0.12599807,0.10085567,-0.094420941,-0.091964768,-0.13041069,0.039832313,-0.15230617,-0.11197585,-0.085221128,-0.026921377,-0.11866609,-0.099506837,-0.1170644,0.07365849,-0.19375193,-0.020113854,-0.11319697,0.12429556,-0.23011378,-0.070354127,-0.094056782,0.0069484731,-0.14987377,-0.15015442,-0.10486703,0.02097774,-0.35907437,-0.026236536,-0.10002022,0.0049512057,-0.19239683,-0.083804324,-0.089187775,0.011424655,-0.2504325,-0.054713506,-0.10589533,0.093223834,-0.2945243,-0.11827601,-0.15043389,-0.012853924,-0.26602541,-0.141582,-0.13520823,-0.023672183,-0.36978691,-0.040263549,-0.10162134,0.095057529,-0.37828078,-0.069377289,-0.13853795,0.034228874,-0.3213346,-0.10023488,-0.11908975,0.049462268,-0.40183818,-0.14674777,-0.14029221,-0.083793442,-0.36599157,0.24421154,0.24411366,0.23709414,0.24586161
