# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 14:07:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35355cb0f6ee.json
# init = 2 (Default)
# random
#   seed = 862337512
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141507-1-0a1889.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141507-1-4148f8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00408524
# Diagonal elements of inverse mass matrix:
# 0.00847317, 0.0155137, 0.00267111, 0.0127477, 0.0341198, 0.00485407, 0.014176, 0.0117748, 0.0188761, 0.0483788, 0.00771617, 0.0173444, 0.0561288, 0.0213771, 0.0563615, 0.0256643, 0.368286, 0.456968, 0.926273, 0.328442, 0.40488, 0.371403, 0.313829, 0.388924, 0.372757, 0.40772, 0.290247, 0.274276, 0.320228, 0.283727, 0.359561, 0.367575, 0.332671, 0.268504, 0.436712, 0.294082, 0.296096, 0.289787, 0.239048, 0.292393, 0.259179, 0.304695, 0.275444, 0.265561, 0.325788, 0.239863, 0.299713, 0.259065, 0.405983, 0.331837, 0.486755, 0.272195, 0.276662, 0.296578, 0.226864, 0.290021, 0.235438, 0.298024, 0.249421, 0.240222, 0.285547, 0.221125, 0.284771, 0.255264, 0.566911, 0.552802, 0.720233, 0.530589, 0.430928, 0.453765, 0.387754, 0.541855, 0.333983, 0.435627, 0.433994, 0.361871, 0.516149, 0.347027, 0.428591, 0.375544, 0.307874, 0.340831, 0.436798, 0.379182, 0.435492, 0.350179, 0.425582, 0.470908, 0.457022, 0.53977, 0.409844, 0.445068, 0.447881, 0.451164, 0.494056, 0.52995, 17.9902, 274.298, 0.569825
-19642.456,0.9067361,0.0040852426,10,1023,0,19694.087,-0.12807068,0.021066873,-0.10211985,0.069060902,-0.0028170318,-0.060187415,-0.24095311,-0.17474104,-0.13489893,-0.2144725,-0.17008205,-0.21052547,-0.1945558,-0.16783597,-0.52754886,-0.15670215,0.072534516,0.11143468,0.07128751,0.3125964,0.28453928,0.12793589,0.20044146,0.14492535,0.1472437,1.0750889,0.14937083,0.10248313,0.16442254,0.14087054,0.43666966,0.11182062,0.6445218,-0.51356004,1.1940106,0.41671846,-1.3532548,-1.8199336,0.47651671,-1.5990135,0.02528335,-0.52383109,1.3408008,-0.46546916,-0.54332869,-0.5954516,-0.011904144,-0.84978325,0.017206874,-0.45370305,0.39074456,-0.81343115,-0.22803915,-0.51965519,0.36098275,-0.70341848,0.59479685,0.87816334,1.1273664,-0.36702898,0.6104416,0.083035837,1.6325854,-0.092494477,0.51602725,0.13888445,1.0013831,-0.84938391,0.13036888,0.09016888,0.23130524,-0.097518867,-0.12583431,0.21262747,0.97779853,-0.56365357,0.56607378,0.99046059,1.5025727,-1.7275602,0.77670676,0.6357681,1.8272637,-0.72765865,0.59539099,0.44547344,1.3831309,-1.1446999,0.98711371,0.92990625,1.3398031,0.22506731,0.0415679,0.25942652,1.1356882,-2.058679,-0.46427698,3.1884661,0.084157176,-0.081320607,-0.16532151,-0.041463704,-0.097844212,-0.12973264,-0.18173685,0.074167361,-0.15711869,-0.10031746,-0.13946246,-0.0065374994,-0.13530198,-0.10078169,-0.11707512,0.06533971,-0.19657828,0.0020789996,-0.13191337,0.10836514,-0.23427014,-0.089361807,-0.12666996,-0.014004767,-0.15017988,-0.12173116,-0.064932769,-0.014982135,-0.31452094,-0.086272576,-0.16270704,0.061861973,-0.18814584,-0.058917162,-0.11444907,0.012548427,-0.25996536,-0.074314355,-0.11753293,0.034201205,-0.31931395,-0.18887802,-0.13832171,-0.024027475,-0.25427545,-0.15251246,-0.10901997,-0.056537118,-0.38757123,-0.066847702,-0.090021195,0.10588754,-0.31419929,-0.083962925,-0.10508189,0.027006423,-0.32909047,-0.09650625,-0.12148701,0.057502504,-0.42926879,-0.152054,-0.12769291,-0.029708794,-0.3869049,0.25218355,0.26034518,0.24876525,0.26657293
-19636.562,0.97976162,0.0040852426,10,1023,0,19683.266,-0.10760576,0.066171633,-0.07089114,0.10217775,-0.18031412,-0.057783542,-0.18738215,-0.13199759,-0.12141494,-0.024647381,-0.11018608,-0.24705547,-0.2846481,-0.13529042,-0.57343304,-0.15598177,0.050294647,0.12722259,0.079206764,0.43036336,0.28205508,0.11923666,0.097585965,0.072037696,0.12181772,0.61234009,0.19375699,0.16653339,0.21851915,0.23405499,0.54882008,0.19093664,0.73189323,-0.70055762,2.3472092,-0.14628679,-0.90409144,-1.524436,0.0063842248,-1.6376788,-0.54448607,-0.49460994,0.48881369,-0.54401095,-0.40737345,-0.48020026,-0.18625156,-0.65204569,0.62412804,0.039425333,0.79783593,-0.13943293,-0.425907,-0.52910329,0.34571927,-0.84761659,0.12975609,0.4112474,2.1086999,-1.3834996,0.80449292,0.56299806,1.5759443,-0.87293458,0.43077283,0.55579268,0.93873311,-1.0425377,-0.041043325,-0.1781581,0.10689396,-0.48725048,-0.41611628,-0.13018291,0.52116778,-0.72922451,0.85544321,0.4786384,1.1413929,-0.77376598,1.2322294,0.69080231,1.4845988,-0.1986288,0.31705142,0.18766096,0.82812596,-0.72054676,0.89689664,0.81615211,1.1466637,0.27008267,0.25078227,-0.00034565064,0.46479529,-1.3851523,1.2310777,-3.4601069,0.12103474,-0.070795443,-0.14284005,0.010446303,-0.1149632,-0.048849219,-0.12777106,0.06698385,-0.1421781,-0.11401812,-0.11006759,-0.032173789,-0.11398049,-0.073140856,-0.10448285,0.022021903,-0.17843882,-0.0042756358,-0.169194,0.044719557,-0.21964188,-0.10856727,-0.12087205,-0.016561128,-0.15885052,-0.17471978,-0.14725018,0.018397363,-0.3223923,-0.074043774,-0.091440507,-0.018470196,-0.19488179,-0.068939171,-0.053709538,-0.0070606075,-0.24841451,-0.049779855,-0.13374073,0.040808075,-0.32301038,-0.19081152,-0.13540993,-0.0092061806,-0.25147843,-0.10459561,-0.1673462,-0.056975445,-0.37591334,-0.015382379,-0.13369457,0.039765171,-0.3280523,-0.06108295,-0.091367434,0.058536597,-0.30393798,-0.081198154,-0.12551237,0.055879049,-0.42520624,-0.10809825,-0.15604777,-0.06723532,-0.4204581,0.23587317,0.25041811,0.25749822,0.26618611
-19634.754,0.96955032,0.0040852426,10,1023,0,19687.046,0.098957247,-0.28048824,-0.086217037,-0.052121292,-0.032277028,-0.30574792,-0.18319314,0.041971765,-0.10883982,-0.27434127,0.040994521,-0.16844032,-0.096053928,-0.065252392,-0.028228406,-0.14064417,0.47620346,0.358668,0.091689645,0.12654556,0.11784659,0.45948419,0.38686182,0.1104326,0.17363893,0.32284948,0.1557005,0.16168154,0.13772846,0.17366618,0.29116441,0.14424323,-0.35574251,-0.59854774,-0.24108409,-0.41879358,0.50679671,0.51913912,0.99708877,0.39248353,-0.46717638,-0.54832321,0.22658194,-0.37652389,-0.33845767,-0.33821207,0.72641936,-0.89863626,0.20064498,-0.73234021,0.88738119,-1.9395457,0.48581029,0.42485971,0.78052463,0.32803513,0.099019559,0.24680289,0.56231898,-0.36418407,-0.79631083,-1.3457648,0.068299608,-2.0584659,0.31399921,-0.031595561,0.46219477,-1.0166154,0.64174559,0.44560296,0.94957333,-0.12073342,-1.0012343,-1.3325552,-0.45774279,-1.7981492,0.16864454,0.10169226,1.1339274,-1.4257876,0.4518,-0.042534343,1.3228705,-2.0305861,0.11499979,-0.31178045,0.6205705,-1.376632,-0.22195705,-0.33268412,0.23722486,-1.2974892,-0.28319848,-0.12902036,0.83627274,-1.5739873,10.681904,-39.745664,0.24987539,-0.070448569,-0.18607326,-0.015847832,-0.1004737,-0.098716479,-0.094289652,0.077135593,-0.13971696,-0.12905227,-0.1364926,-0.065441819,-0.12074038,-0.094951609,-0.094920529,0.039803854,-0.16583972,-0.008631701,-0.11858083,0.072297821,-0.26084588,-0.082525773,-0.1105316,0.052890802,-0.15502097,-0.14488625,-0.087714523,0.034346605,-0.32408205,-0.045966914,-0.10664455,0.049514269,-0.18534998,-0.054317336,-0.11432604,-0.028584819,-0.28536383,-0.067154047,-0.13047859,0.032227977,-0.31331999,-0.11489816,-0.16648499,-0.030276262,-0.23897821,-0.14117361,-0.15199856,0.014894806,-0.39896386,-0.033828208,-0.10191212,0.086142995,-0.37572342,-0.045280817,-0.11939811,0.042519719,-0.30432683,-0.092854399,-0.12509418,0.040843031,-0.40601106,-0.18149363,-0.15925448,-0.020017486,-0.36768118,0.24868301,0.26095979,0.25417218,0.26270658
-19641.55,0.99681722,0.0040852426,10,1023,0,19691.363,-0.12883605,-0.095694863,-0.057206732,0.26094699,-0.037923159,-0.53478864,-0.12528272,-0.11312179,0.030663742,-0.18517683,0.48902118,-0.084458721,0.49152744,0.16315733,-0.24039891,-0.29286954,0.10405733,0.11158441,0.044133385,0.30923758,0.22304701,0.45318809,0.20978094,0.86660586,0.15214135,0.22421744,1.3861244,0.15086027,1.1758616,0.47699093,0.40090794,0.10656172,0.5305252,-0.39373131,1.5621706,0.40702376,-0.16119059,-0.37099867,1.3515702,-0.42817211,-0.26375392,-1.0373379,1.8669879,-1.1898223,-1.1616578,-1.208126,-0.66590982,-1.3333488,0.020341856,-0.53663095,0.59512969,-0.8135695,0.95238604,0.86956242,1.2187509,0.83795644,-0.18583861,-0.09234271,0.79019363,-0.98269558,0.11006563,-0.033151889,0.15793588,-0.1269735,-0.49134657,-0.80853633,0.056705183,-1.8745291,0.58252786,0.18999427,1.0290438,-0.60760345,-0.43477753,-0.49688775,-0.32662511,-0.53026962,-0.55409308,-0.6498517,0.50003125,-1.9119124,-0.39743315,-0.53628547,-0.35446557,-0.71028512,-0.43127288,-0.63153201,-0.28475672,-0.99623406,0.32391698,0.29485627,0.68852054,-0.50212182,1.1130447,1.3946413,2.4894193,-0.86752883,8.7731745,-32.490112,0.33117821,-0.073631014,-0.16980668,0.03371925,-0.086482245,-0.11368122,-0.13709253,0.0551193,-0.14347219,-0.068847085,-0.10298796,0.025189763,-0.10971762,-0.098281268,-0.11265096,0.055022642,-0.15137458,-0.033385969,-0.15761709,0.094818739,-0.2193874,-0.10317862,-0.1407133,0.017534743,-0.15503675,-0.16426812,-0.14465446,0.040484845,-0.33143352,-0.017738272,-0.14185141,0.023746361,-0.22315777,-0.044090389,-0.092348068,0.039290945,-0.25452966,-0.054563925,-0.1425768,0.045552724,-0.32141212,-0.11363457,-0.19972706,0.036278147,-0.24599849,-0.16804935,-0.18249552,-0.009023873,-0.37289033,0.024201057,-0.13907005,0.074724988,-0.34366956,-0.042555917,-0.1380777,0.02733096,-0.31203727,-0.11053802,-0.12218869,0.03563444,-0.44170354,-0.17426158,-0.14425416,-0.027592737,-0.38531491,0.24743399,0.25087893,0.25766248,0.26298297
-19638.402,0.99732691,0.0040852426,10,1023,0,19686.817,0.0037433945,-0.020173855,-0.046038766,-0.36273777,-0.030081218,-0.26158826,-0.20555121,-0.1316881,-0.18778872,-0.12796853,0.10955359,-0.17133097,-0.19494887,0.28248137,-0.4094558,-0.1426578,0.084304515,0.18764793,0.17039597,0.2467948,0.098069392,1.3565452,0.16007329,0.12252956,0.2587166,0.18903735,0.28600204,0.12958876,0.10403738,0.63314256,0.56310054,0.11455984,-1.0188567,-1.8452454,0.22528307,-1.1244985,-0.20573009,-0.79224187,0.53453328,-0.74425688,-0.47334404,-0.29128455,-0.1538342,-0.56305968,0.93248713,0.90928999,1.53877,0.7329249,0.22211461,-0.76377027,0.9349689,-1.7184733,0.12568409,0.11837298,0.22513485,0.072275559,0.54607967,0.53359388,1.1586587,-0.67578842,0.56721042,0.15074089,1.3714034,-0.57028512,0.42478484,0.31008041,0.70060081,-0.27214468,0.32647515,-0.025303323,1.1000939,-0.8336429,-0.91149331,-0.87206803,-0.48353406,-1.2382937,0.33839674,0.13282438,0.92872029,-1.6114381,1.5913099,0.63986065,2.9378159,-1.4050248,-0.58526379,-0.60411851,-0.33722056,-0.96774621,0.58339977,0.52169316,0.82235921,-0.02940826,0.35042975,-0.10583114,0.74502469,-2.2775483,2.6485563,-8.716763,0.46066223,-0.082150822,-0.15181912,0.022735774,-0.091056907,-0.058778681,-0.1688364,0.080130209,-0.15983212,-0.12669469,-0.09567248,-0.072251494,-0.14198187,-0.13260479,-0.13832973,0.017022666,-0.18185571,-0.0082985735,-0.1049837,0.061610612,-0.19861085,-0.091092118,-0.10100996,0.043817332,-0.1635432,-0.11813844,-0.12013708,-0.020080896,-0.31372689,-0.062188063,-0.11321789,0.036349344,-0.20156489,-0.07788983,-0.10756577,-0.0065316587,-0.25819707,-0.066252533,-0.1327518,0.07999031,-0.28555818,-0.15113536,-0.13985965,-0.028738138,-0.24460093,-0.12747856,-0.15411842,-0.050979261,-0.38015524,-0.029393163,-0.12837945,0.11069379,-0.34112397,-0.088074039,-0.10001177,0.068972683,-0.33023994,-0.080943073,-0.1156901,0.053615117,-0.42601561,-0.10251262,-0.1547818,-0.057307891,-0.40357337,0.24725866,0.25400083,0.24940697,0.26712344
-19636.296,0.98930978,0.0040852426,10,1023,0,19697.885,-0.027441388,-0.12402159,-0.063451722,-0.45302025,-0.064761179,-0.20089151,-0.15864122,-0.19914677,-0.071036961,-0.050353166,0.14014405,-0.086818194,-0.16195164,0.27248079,-0.095338321,-0.13328805,0.15051666,0.1690496,0.084462752,0.47662964,0.21485367,0.60202092,0.14618319,0.22284724,0.13182968,0.18941715,0.1835448,0.2778446,0.14946148,0.72002757,0.23954658,0.16025724,-0.12723048,-1.1222303,0.44236472,-0.38661137,0.41967545,-0.23779058,0.87523543,-0.11281289,-0.58764262,-0.4170781,0.0019014395,-0.71145725,0.75683446,0.76252405,1.1714989,0.50971878,0.27146565,-0.22991858,0.5644585,-0.65978329,0.1379479,0.16679535,0.33969085,0.063257318,0.40956071,0.27725433,1.2067324,-1.2028893,0.53595763,0.48339441,1.0084378,0.078661979,-0.046608033,-0.31332533,0.39356872,-1.3960579,-0.22426311,-0.41331875,0.64431469,-1.4193245,-1.4940062,-1.2879411,-0.80518038,-1.9316834,-0.038268117,-0.26570054,0.30162637,-1.0983208,0.7363426,0.36002647,1.5640512,-1.4518832,-0.47909301,-0.49128891,-0.2601481,-0.83230222,-0.0038302193,-0.090280093,0.57903151,-1.2148691,-0.27395277,-0.1601372,0.79618989,-1.4823543,7.8459285,-29.159732,0.13426065,-0.046591695,-0.19635575,0.039141874,-0.085632842,-0.053075627,-0.16422,0.023936607,-0.14309257,-0.11308563,-0.098679286,-0.063291121,-0.12354336,-0.092290513,-0.089578684,0.10535087,-0.21007317,-0.0064357883,-0.11416003,0.0565148,-0.20651804,-0.11784398,-0.10047722,0.0036094942,-0.16280928,-0.098770326,-0.11811129,0.017762769,-0.33448341,-0.079710093,-0.09142366,0.02558082,-0.18161717,-0.077181283,-0.11234254,-0.019152922,-0.25507882,-0.092832446,-0.12864283,0.071691089,-0.31919758,-0.13407303,-0.096250836,-0.007642624,-0.2144064,-0.097450783,-0.16064165,-0.0030129351,-0.3919807,-0.051896779,-0.10814155,0.071813775,-0.37895225,-0.072479388,-0.081260772,0.085166986,-0.32679976,-0.096255837,-0.11696461,0.043366694,-0.38635604,-0.17719096,-0.1589512,-0.0056928528,-0.37084605,0.25455569,0.25513514,0.25111807,0.25921075
