# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 14:07:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-35355cb0f6ee.json
# init = 2 (Default)
# random
#   seed = 862337512
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141507-2-0a1889.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141507-2-4148f8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00243086
# Diagonal elements of inverse mass matrix:
# 0.0157429, 0.0244325, 0.00241432, 0.0099771, 0.0324821, 0.00419576, 0.0283369, 0.00827751, 0.0197121, 0.0320626, 0.0140777, 0.186882, 0.0578837, 0.0254019, 0.053538, 0.0243874, 0.501518, 0.425436, 0.690984, 0.361388, 0.313002, 0.360437, 0.364811, 0.265656, 0.340743, 0.318521, 0.426412, 0.579276, 0.362125, 0.379031, 0.366539, 0.303566, 0.316614, 0.244085, 0.415881, 0.264377, 0.323338, 0.312013, 0.220675, 0.286603, 0.271699, 0.287944, 0.236292, 0.281999, 0.317758, 0.276744, 0.225319, 0.312884, 0.455332, 0.261351, 0.437372, 0.251964, 0.290733, 0.304165, 0.212924, 0.25516, 0.269032, 0.278105, 0.266714, 0.277985, 0.265558, 0.25882, 0.223924, 0.307848, 0.485718, 0.477206, 0.528601, 0.54053, 0.446452, 0.487952, 0.38926, 0.428943, 0.348089, 0.406458, 0.47159, 0.340413, 0.504803, 0.374307, 0.360444, 0.452222, 0.350594, 0.282828, 0.366591, 0.363686, 0.440011, 0.40987, 0.446383, 0.378196, 0.508542, 0.47021, 0.424784, 0.728639, 0.4255, 0.54317, 0.528139, 0.48122, 14.9434, 228.283, 0.783499
-19629.489,0.9964894,0.0024308622,10,1023,0,19686.771,-0.047427811,-0.07119317,-0.051162078,-0.12476351,-0.056971335,-0.18666557,0.54388784,0.024609628,-0.058302113,-0.092305184,-0.084704533,-0.16334228,0.066074619,0.24085604,-0.19373577,-0.1781136,0.1867985,0.1097937,0.23180905,0.14858819,0.1956822,0.082971528,1.0198295,0.14582081,0.131917,0.12095205,0.076237643,0.12744354,0.6699086,0.38796046,0.13629915,0.175352,-0.2684952,-0.39879598,0.55557544,-0.3775564,-0.082603469,-0.42047265,1.1500427,-0.80904814,-0.15469556,-0.19025214,0.17874851,-0.39017415,0.24447315,0.045119823,1.3534467,-0.46047262,0.27646452,-0.36670775,0.81329472,-0.83546174,1.0581665,0.98660629,2.1560478,0.5221383,-0.65594507,-0.63555601,-0.53203488,-0.89957994,-0.71249269,-0.87259306,-0.046056154,-1.4303316,-0.20903057,-0.19870219,0.51720056,-1.6132732,0.08082901,-0.34123876,1.0644591,-1.592743,-0.90833695,-1.0559137,0.74147907,-2.1042302,0.29147287,0.065170828,0.99261817,-1.7041271,-0.14401181,-0.28396635,-0.010275711,-0.6738976,-0.74812687,-0.89713699,-0.47327997,-1.4220794,0.4111138,0.32270085,1.5788078,-1.4464898,0.22391309,0.016733203,0.73593893,-1.1361982,-0.49226979,3.1293126,0.038674765,-0.097582312,-0.1219223,0.056352846,-0.11795478,-0.080262511,-0.11735842,0.055074273,-0.16002156,-0.08702191,-0.095264247,-0.0097265551,-0.14160798,-0.088437683,-0.11805923,0.076342689,-0.1931843,-0.0028721492,-0.12872952,0.10217597,-0.22045633,-0.09886788,-0.10480534,-0.0077749896,-0.14334296,-0.12506429,-0.10427093,0.0013029783,-0.37353031,-0.079286637,-0.1026326,0.017893682,-0.1839625,-0.085876798,-0.084514309,0.0099254306,-0.27112027,-0.08252875,-0.13357871,0.036443326,-0.2849507,-0.153954,-0.1652049,-0.028175917,-0.24512608,-0.12619595,-0.15503668,-0.036839512,-0.38052227,-0.030400128,-0.12415688,0.059190831,-0.38537518,-0.049387607,-0.10719764,0.057242123,-0.31085456,-0.13770131,-0.14975192,0.021454392,-0.3908911,-0.13884999,-0.1751794,-0.049065235,-0.37734822,0.25172302,0.26058046,0.25420643,0.25176165
-19639.889,0.99864521,0.0024308622,10,1023,0,19678.62,-0.027508425,-0.081205573,-0.060189945,-0.085942977,-0.041736922,-0.19429916,0.60473733,0.01073854,-0.023036079,-0.031790261,-0.046192964,-0.18295051,0.037742298,0.3374035,-0.19012314,-0.16910364,0.16313502,0.11728052,0.124865,0.20977155,0.18835979,0.089208811,0.76767087,0.16940806,0.092943921,0.14064714,0.09993092,0.19172344,0.45770762,0.76836117,0.13781725,0.16464882,-0.026973093,-0.88983613,0.57747915,-0.57469262,0.31293013,-0.8303044,1.1424338,-0.49507231,0.17083003,-0.33354201,0.11674988,-0.44020171,-0.057449498,-0.074532108,0.94136596,-0.53635151,0.13528402,-0.24158941,0.55379635,-1.0604231,1.0275035,0.93192833,2.2241612,0.33233444,-0.95374355,-0.94110845,-0.77945453,-1.168042,-0.25703387,-0.82409064,0.12979645,-1.3462926,-0.36014452,-0.98171259,0.085049786,-2.5577035,-0.21500161,-0.653058,0.30283768,-1.9236148,-0.71958706,-0.93621202,0.039790875,-2.3131193,0.25643147,0.22857158,0.89570789,-1.182638,-0.25689341,-0.36274484,0.14971517,-0.81280602,-0.50296609,-0.5786142,-0.3741356,-0.83603274,0.55566108,0.30098128,1.2841616,-1.7576613,0.024640184,-0.011311168,0.87433787,-1.2900689,-1.1175353,5.5715348,0.062138323,-0.031908681,-0.17267186,0.066698651,-0.12126092,-0.044504966,-0.17858411,0.052779651,-0.13926791,-0.038859253,-0.10183767,-0.045611971,-0.11515573,-0.097994247,-0.10157769,0.11152882,-0.19845426,-0.016254852,-0.087242653,0.062576042,-0.241478,-0.10263679,-0.11116294,0.0041156171,-0.164652,-0.12742381,-0.11772421,0.0063727918,-0.29193449,-0.032805072,-0.12886906,0.032727105,-0.21733428,-0.056509323,-0.1142803,-0.015131218,-0.26075907,-0.062029623,-0.123641,0.010802992,-0.30234118,-0.11810196,-0.13974949,-0.042216625,-0.2773451,-0.13378658,-0.13912798,-0.011222307,-0.40968994,-0.079839774,-0.12828878,0.10626807,-0.33428521,-0.049056108,-0.10718118,0.049932235,-0.30497159,-0.11354346,-0.14864273,-0.01314352,-0.43235919,-0.16504666,-0.17096601,-0.025144941,-0.38151196,0.25184409,0.25663867,0.25431021,0.27231484
-19640.332,0.95690909,0.0024308622,10,1023,0,19694.303,-0.0029223405,-0.074497531,-0.14762632,-0.10204402,-0.038747036,-0.14805034,0.61056093,-0.0057940903,-0.036660911,-0.061499192,-0.080768737,-0.20570674,0.0046140595,0.56463077,-0.13672629,-0.1107832,0.16074328,0.13136413,0.12547848,0.13419798,0.13060874,0.10013036,0.62960624,0.095312099,0.12328088,0.15803474,0.10397605,0.13817501,0.26310243,1.5078923,0.24623784,0.4207813,-0.5691024,-1.0442335,0.58593671,-0.61246569,-0.42349002,-0.24565776,1.0539571,-0.72270105,-0.12476648,0.28038429,1.1899825,0.19507014,-0.003776676,-0.041077976,1.4468029,-0.80287631,0.53769608,-0.61582206,0.82683945,-1.3732923,0.13367135,0.43919494,1.800537,-0.026092164,-1.1838879,-1.1584847,-0.88558119,-1.4356982,-0.48869218,-0.83519705,0.57588852,-1.689307,-0.11298929,-0.42172341,0.015461553,-1.6726176,0.01259636,-0.45456571,0.78005934,-1.484078,-1.0086654,-1.0216392,0.60574968,-1.3531979,0.59731942,0.27990442,1.0558393,-1.3447157,-0.096138699,-0.4717652,0.1683779,-1.3920341,-0.41412565,-0.45244713,-0.34683421,-0.5939708,0.09821074,0.082951697,1.0333268,-1.1213921,-0.096802835,-0.058685999,0.30294689,-0.68222107,3.4923024,-12.345349,0.22058733,-0.094401727,-0.17077586,0.091263048,-0.10137209,-0.13012893,-0.10676815,0.063954622,-0.16943452,-0.16328183,-0.11244413,0.0016908616,-0.12314922,-0.10255084,-0.1075566,0.092114014,-0.2097884,0.031480774,-0.11917878,0.069245425,-0.21811102,-0.13466578,-0.10407359,0.032238085,-0.15066296,-0.1348223,-0.1188283,0.052993488,-0.29336361,-0.052372367,-0.085398474,0.049095053,-0.16680548,-0.050590331,-0.088651346,-0.034754797,-0.24286268,-0.059508529,-0.13333636,0.06177728,-0.29603506,-0.18564578,-0.18699475,-0.017785279,-0.22146891,-0.12317212,-0.16703094,-0.059816132,-0.39151285,-0.020680266,-0.11950851,0.048914695,-0.36163351,-0.059826122,-0.11761079,0.041642127,-0.33101325,-0.11254309,-0.11630045,0.11771786,-0.41285547,-0.15151602,-0.13547717,0.016691187,-0.39784906,0.24889909,0.25387408,0.2548073,0.27065997
-19638.178,0.98756072,0.0024308622,10,1023,0,19683.702,-0.085998365,-0.097587093,-0.081906391,-0.089550675,-0.040046555,-0.11650118,0.31225535,0.0079892059,-0.079248309,-0.091225516,-0.085106123,-0.18875493,-0.014045841,0.56379406,-0.11741034,-0.12904631,0.11400346,0.11130627,0.081903277,0.10984634,0.12274502,0.082271851,0.43509856,0.1077055,0.087935313,0.16995941,0.063153563,0.099790164,0.24716824,0.84282201,0.32311238,0.1917496,0.48857595,-0.6540372,1.1349033,-0.22891791,0.35866219,-0.73982465,1.528761,-0.49933969,0.32464401,-0.60932858,0.63249543,-0.5911288,-0.066004569,-0.41390686,1.6693575,-1.0566427,0.3377719,-0.54351747,1.404523,-1.5228494,0.41604673,-0.10186884,1.3465974,-0.62287524,-1.0808418,-0.9755474,-0.67725505,-1.567745,-0.47386651,-1.228098,0.055250264,-1.7338946,0.0017587932,0.067813616,0.86003886,-1.8385978,0.10089116,-0.26675794,1.1078306,-1.2175335,-0.46352134,-0.72958415,0.35097616,-2.4301918,0.58668717,0.532105,1.7971899,-2.0721837,-0.086271833,-0.3230012,0.56556948,-1.2743843,-0.74899661,-0.8075052,-0.62370983,-1.020337,0.052838334,-0.012115317,0.51912276,-0.9213639,0.021554587,-0.13902337,0.52739098,-1.3445151,-1.2803856,6.4416807,0.047797528,-0.030299017,-0.16056087,0.043384539,-0.1120958,-0.057665741,-0.17993422,0.072573598,-0.15316673,-0.055316982,-0.1318124,-0.030102942,-0.13032178,-0.096801035,-0.13501683,0.093822129,-0.205619,0.0014132637,-0.10676062,0.13235165,-0.22696874,-0.082272241,-0.12488211,-0.0057141112,-0.16774628,-0.15801736,-0.11220393,0.017582647,-0.36986823,-0.043048822,-0.1242837,0.013939963,-0.17876078,-0.079093649,-0.073285098,-0.003620523,-0.24092598,-0.074078115,-0.13656354,0.097060718,-0.29815679,-0.11437915,-0.13118196,-0.062940728,-0.23858139,-0.13020932,-0.13565609,-0.0094130567,-0.39553848,-0.035369498,-0.093881477,0.12574497,-0.32903315,-0.067476763,-0.11678909,0.038117688,-0.29616839,-0.10033762,-0.12132495,0.050324654,-0.41511443,-0.12491323,-0.15570399,-0.027919307,-0.38685655,0.24264588,0.2547658,0.25238714,0.25552093
-19647.978,0.99717759,0.0024308622,10,1023,0,19693.854,-0.11834817,-0.0026446972,-0.081502851,-0.067007921,-0.32607038,-0.1621006,-0.093091147,0.060010624,-0.13072454,-0.076212625,-0.079610908,-0.016974978,-0.1228013,0.26076466,-0.073208773,-0.11616515,0.1691234,0.10255443,0.044136246,0.083054355,0.36942265,0.083629117,0.28655219,0.24851809,0.12341499,0.082384683,0.074505276,0.3660708,0.19968112,0.58467219,0.1534121,0.20721889,0.60528008,-0.2590836,0.99866506,-0.00098223891,-1.2017802,-1.5935749,0.17595841,-1.343413,-0.63347853,-0.81776867,0.82549216,-0.79863583,-0.40490656,-0.5522652,1.076144,-1.3553473,0.76224075,0.47930132,1.0963451,0.164723,0.58663327,0.67777555,1.8665688,0.04999123,-0.096730091,0.003982348,0.54504033,-0.76869721,-0.64007273,-0.74619914,0.0098949538,-0.97681928,0.3960855,0.28732358,0.8131277,-1.0516439,-0.24917198,-0.84910788,1.7753754,-2.7515023,-0.9901803,-1.1215019,1.1075861,-1.7644328,-0.19068673,-0.42156048,-0.089933957,-0.88283524,0.28809919,-0.056303565,1.0175162,-1.0995635,-0.55752891,-0.65117062,-0.38499285,-0.9235507,-0.16699337,-0.3014541,0.82288601,-2.235541,-0.23938183,-0.069109528,0.33266666,-1.3032795,4.4381463,-15.86303,0.12118811,-0.015981146,-0.16216527,0.050549461,-0.11851429,-0.12589258,-0.16607287,0.015400617,-0.14041765,-0.10946222,-0.11759609,-0.045068727,-0.11675164,-0.10063717,-0.11287595,0.022370524,-0.17957542,-0.044481378,-0.14900561,0.07894433,-0.26521797,-0.11304098,-0.10541883,-0.0060011005,-0.15791988,-0.12080937,-0.091949997,0.063091351,-0.31336301,-0.09905903,-0.12543336,0.062469699,-0.18274664,-0.081841653,-0.095264503,-0.030372394,-0.26051316,-0.096740579,-0.14616611,0.070051113,-0.30289427,-0.15338456,-0.16316871,0.0029101009,-0.21107046,-0.086779821,-0.17129596,-0.049897174,-0.34015518,-0.065273336,-0.13404406,0.080377465,-0.34236338,-0.065206988,-0.11995669,0.035670053,-0.27920975,-0.098827576,-0.11945548,0.053031896,-0.41616781,-0.16576959,-0.13048595,-0.047230338,-0.38622929,0.24919784,0.25914881,0.26464143,0.26277122
-19654.383,0.98959891,0.0024308622,10,1023,0,19694.205,-0.025329638,0.0022206036,-0.076485332,-0.074813403,0.012104364,-0.12918632,-0.20002441,-0.011391194,-0.1172356,-0.10532405,-0.10173559,-0.10495349,-0.10783414,0.085284623,-0.11464521,-0.16206432,0.096805616,0.10587837,0.20248525,0.099393501,0.25783789,0.081347548,0.39621969,0.11198859,0.07391652,0.08928683,0.036236044,0.1897857,0.21083174,0.44699404,0.11861042,0.22173481,-0.23818079,-1.4285206,0.75435048,-0.86675879,-0.56214394,-1.5347507,0.82209161,-1.4346662,0.043034806,-0.31706695,0.13399146,-0.22710389,-0.51753067,-0.70238778,1.6568147,-1.0076489,0.0029063384,-0.58500868,0.18211155,-0.97727692,0.41285151,-0.15214464,1.9055856,-0.4545155,0.20455276,0.1959046,0.42737204,-0.37272605,-0.43966106,-0.89960522,0.82245459,-1.7695653,0.40236642,0.36780645,0.91511442,-1.3578204,0.70804197,-0.050989902,0.96507038,-2.4687349,-1.0874847,-1.4799307,1.254174,-4.0149623,-0.11008557,-0.36285678,0.638673,-1.5221594,0.4239635,-0.055960553,0.77905389,-1.2715245,-0.3164053,-0.40570934,-0.037619474,-0.93275895,-0.075490774,-0.012677151,1.2097134,-2.1353684,0.066646075,-0.048811423,0.56972639,-1.0876442,-1.2740704,6.607784,0.072431061,-0.048386876,-0.16361845,0.047695724,-0.10923676,-0.057298279,-0.16027629,0.08926232,-0.14967951,-0.067771419,-0.14068671,-0.049354037,-0.12247052,-0.12625259,-0.14462618,0.089863213,-0.17496715,0.012853728,-0.13873304,0.059059621,-0.23987465,-0.095601857,-0.14156291,0.025828399,-0.16616004,-0.11897658,-0.12240316,-0.030691198,-0.34770581,-0.060628214,-0.11213671,0.080714332,-0.20956231,-0.087494079,-0.090048632,-0.049593532,-0.21760096,-0.042105231,-0.10987678,-0.019155979,-0.32574957,-0.14114173,-0.15536242,-0.056289281,-0.24722194,-0.12584616,-0.17381852,0.016257515,-0.39383759,-0.018449175,-0.1196324,0.056415147,-0.37591186,-0.056146659,-0.096065035,0.068468943,-0.33165307,-0.1235992,-0.11614885,0.028839401,-0.36792216,-0.14728657,-0.17288751,-0.035736152,-0.40323291,0.25248515,0.25595566,0.2436425,0.25767291
