# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 14:19:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353545ae9c3a.json
# init = 2 (Default)
# random
#   seed = 1739233184
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141519-1-11de7b.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141519-1-50d194.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00334762
# Diagonal elements of inverse mass matrix:
# 0.0067797, 0.0287683, 0.00909142, 0.00796499, 0.0200011, 0.00770281, 0.0245118, 0.0156154, 0.0103116, 0.0420463, 0.00781648, 0.0306846, 0.0354109, 0.0283798, 0.0392851, 0.0340779, 0.259849, 0.416087, 0.824521, 0.344566, 0.260417, 0.469172, 0.353694, 0.391346, 0.35296, 0.385378, 0.367473, 0.34991, 0.32926, 0.317815, 0.300236, 0.38333, 0.307675, 0.2554, 0.404141, 0.265503, 0.336761, 0.283252, 0.26504, 0.299364, 0.266871, 0.236588, 0.268272, 0.235946, 0.264034, 0.268874, 0.232243, 0.246703, 0.387718, 0.311138, 0.395157, 0.259956, 0.289723, 0.287956, 0.262723, 0.312505, 0.235953, 0.246916, 0.291642, 0.231498, 0.253705, 0.256254, 0.228708, 0.23715, 0.419391, 0.474481, 0.501797, 0.452088, 0.457392, 0.496431, 0.500719, 0.436106, 0.321089, 0.347725, 0.446315, 0.309343, 0.370523, 0.40178, 0.301947, 0.349975, 0.31212, 0.306839, 0.377162, 0.417695, 0.37823, 0.392494, 0.453287, 0.488928, 0.494838, 0.543203, 0.465415, 0.537621, 0.458189, 0.476725, 0.520576, 0.55968, 34.0443, 557.724, 1.02313
-19647.927,0.97046828,0.0033476206,10,1023,0,19700.372,-0.06165382,-0.11604389,-0.10646492,-0.055229148,0.076407456,-0.17140108,-0.13631628,-0.088372872,-0.1045697,-0.18267652,-0.17402979,-0.093784487,-0.11284432,-0.052240682,-0.19899807,-0.22421488,0.19707613,0.10388647,0.011922548,0.064082505,0.82932029,0.12165412,0.10858741,0.10438771,0.74104894,0.16062868,0.16187308,0.2682835,0.71822129,0.22634326,0.19141676,0.1421879,-0.16013906,-0.43851503,0.59197576,-0.5276338,0.3670016,-0.057490882,1.7261404,-0.32119608,0.13226524,-1.5032719,1.5105397,-0.46322362,-1.0731763,-1.008476,2.0047681,-1.6059531,-0.1367057,-0.26254044,0.0038589297,-0.32762477,0.51383141,0.20511848,1.2278233,0.33104983,-0.41155196,0.16662189,1.1116328,-1.724975,0.38363261,-0.054225272,0.84079314,-0.79366815,0.046810708,0.030354181,0.11074636,-0.21333526,0.76972003,0.61242955,1.4553471,-0.88455387,0.2766692,-0.036324088,1.1056184,-0.33419191,-0.091329125,-0.45517622,0.30373587,-1.1428848,0.15933591,0.021371823,0.30819243,-0.33729906,-0.051673985,-0.25053058,0.28809558,-1.1743087,0.51396117,0.42521097,1.1303428,-1.0530871,0.83496032,0.72254556,1.3452638,-1.1557638,0.56998128,-0.88936441,0.049503659,-0.093213405,-0.14807466,0.055010472,-0.16563785,-0.077917387,-0.12201641,0.063278747,-0.14941182,-0.10488798,-0.12438775,-0.088455434,-0.11198772,-0.12400097,-0.11985481,0.073241412,-0.15814264,-0.036965358,-0.14132266,0.079607745,-0.19529842,-0.10889137,-0.14644758,-0.022031323,-0.13112751,-0.18100564,-0.11822324,-0.015606955,-0.32362685,-0.048326344,-0.094033324,-0.00060440315,-0.17122207,-0.069880676,-0.082075767,-0.022501227,-0.26266157,-0.059037404,-0.084302767,0.05109396,-0.32476124,-0.12924449,-0.17990968,0.0049400773,-0.22812646,-0.11828658,-0.21590076,-0.012297163,-0.40040161,0.0015941186,-0.097494623,0.10850604,-0.35509969,-0.06393674,-0.10894659,0.012967811,-0.31803755,-0.10061729,-0.11760557,0.017368477,-0.40057659,-0.10549363,-0.12147765,-0.032934649,-0.38855051,0.25189496,0.23229234,0.2496019,0.24440642
-19643.778,0.87576051,0.0033476206,10,1023,0,19701.859,-0.084860811,0.10978187,-0.10488001,-0.060604973,0.13799354,-0.24590208,-0.071753192,0.030935418,0.070744576,-0.17358603,-0.21864957,-0.087854433,0.0051348665,-0.065219202,-0.23344283,-0.22301631,0.13783571,0.21867288,0.061803031,0.055361461,0.76190077,0.21871508,0.12378356,0.15209183,0.39080449,0.16593752,0.18854162,0.13881012,0.45912566,0.81690802,0.1365006,0.11297423,-0.15379538,-0.57535381,0.92022402,-0.37377194,-0.6602741,-1.1570181,-0.33446767,-1.1700152,0.21562598,-0.78397895,2.0650709,-0.30928678,0.089203802,-0.54506986,1.1069626,-2.0345208,-0.16515708,-0.38165156,-0.054135522,-0.50953886,0.65836954,0.43216463,1.1843849,0.36122956,-0.30108047,-0.44763277,0.8736107,-2.2756735,-0.30921529,-1.0863535,0.15155496,-1.3064725,-0.32643682,-0.44324042,-0.24701252,-0.83829333,0.60304884,0.49819483,1.1028192,-0.86728234,0.3786899,0.16709619,1.1583613,-0.24450598,-0.29624999,-0.66564548,0.31442635,-2.1045945,-0.12892808,-0.31398614,0.21458666,-0.81645293,0.021418491,-0.033204325,0.087062184,-0.35107142,0.95295806,0.80236849,1.8403219,-1.1858197,0.50550392,0.44269081,1.5678296,-1.2575406,0.88200415,-2.2885799,0.065716124,-0.10605931,-0.16416511,0.041978917,-0.13637993,-0.034602171,-0.1432266,0.036642859,-0.14606873,-0.091553667,-0.15333228,0.022747634,-0.12399487,-0.05566652,-0.090780837,0.0006780959,-0.17323902,0.012160236,-0.15278707,0.096747649,-0.2502245,-0.10190673,-0.15138115,0.013140759,-0.16689573,-0.109022,-0.12716277,0.03638545,-0.35344416,-0.016093701,-0.13429007,0.05398569,-0.16776837,-0.056828397,-0.10247577,-0.025789026,-0.25686422,-0.073517597,-0.090916812,0.0094130605,-0.31750071,-0.14725076,-0.18714498,-0.00025024128,-0.26474912,-0.12897693,-0.18025276,-0.044208872,-0.37999346,-0.054059321,-0.13902423,0.10365711,-0.36971962,-0.047722265,-0.092344082,0.0059025945,-0.35201226,-0.10336348,-0.12391905,0.017762219,-0.39530793,-0.1659074,-0.17300366,-0.045891971,-0.365086,0.24938634,0.24273314,0.24118581,0.2483407
-19626.742,0.99925676,0.0033476206,10,1023,0,19693.706,-0.075692283,-0.1122152,-0.1188676,-0.060427212,0.18223018,-0.18142802,-0.14469083,-0.041695134,0.078392389,-0.068049719,-0.22357361,-0.18349596,-0.021817091,-0.18272327,-0.096261851,-0.1892897,0.12093172,0.10021103,0.061620508,0.086434104,0.40928051,0.24965874,0.13840604,0.068211667,1.2516223,0.2157695,0.1276449,0.27721972,0.27005583,0.34424841,0.32019248,0.26198813,-0.084618253,-0.85407238,1.0301478,-0.38845376,0.50193616,-0.42937902,1.5536297,-0.32190257,0.034510548,0.026823012,1.2575268,-0.63633405,-0.95023085,-0.38599246,1.5219071,-1.0838892,-0.47100617,-0.72725388,-0.25842474,-1.0014702,0.33054034,0.39269654,0.63742275,0.15053378,-0.28441389,0.26105375,1.6652415,-1.1981425,-0.25369381,-0.91371382,1.3903176,-1.8012732,-0.085997932,-0.15224223,-0.08294495,-0.26476757,0.014019524,-0.33651748,0.53503117,-1.0489311,0.67147781,0.78671928,1.6646858,-0.21079291,0.25549628,0.16750663,0.65257169,-0.7632566,-0.071062507,-0.42148179,0.457193,-1.2374943,0.33593372,0.17707397,0.68804159,-0.38124622,-0.11283374,-0.11022545,0.44481477,-0.90526979,0.1201303,0.12531849,0.67929082,-0.82406988,0.27647867,0.18140601,0.039571889,-0.085925314,-0.17897672,0.048885264,-0.12266866,-0.061915661,-0.15524371,0.04347563,-0.14447339,-0.11674105,-0.11721476,-0.041378163,-0.15807883,-0.14255956,-0.093790124,0.071117462,-0.1541122,-0.01054347,-0.11542066,0.076461967,-0.22765206,-0.098905738,-0.083387898,-0.02228986,-0.14384595,-0.18405543,-0.10855942,0.085788641,-0.31052099,-0.059000011,-0.10402108,0.053140748,-0.16456298,-0.029244541,-0.11215738,-0.02542336,-0.25299661,-0.065024733,-0.14065993,0.04739369,-0.29437705,-0.13786289,-0.1231529,-0.011084947,-0.25048025,-0.11266735,-0.13705982,-0.0025902157,-0.39508574,-0.041007936,-0.13564071,0.10165054,-0.35600964,-0.067078622,-0.12176584,0.054133952,-0.31396668,-0.13239037,-0.13155521,0.046164493,-0.38612243,-0.15781698,-0.15645774,-0.011323564,-0.40518622,0.25856997,0.2490524,0.24191582,0.24466644
-19632.931,0.87577438,0.0033476206,10,1023,0,19674.849,0.00051743498,-0.11575885,-0.06502196,-0.074021529,0.52730073,-0.11076182,-0.020190612,-0.11038029,-0.066178676,-0.14336152,-0.29338899,-0.38172386,-0.13547673,-0.030800408,-0.094447132,-0.3385144,0.16386334,0.035608918,0.12591403,0.099047006,0.66695305,0.12436228,0.17487519,0.16778063,0.37564959,0.24470816,0.16623509,0.34801291,0.21994681,0.40789392,0.2694317,0.28305729,-0.15084053,-0.71389345,0.46184666,-0.6315748,0.14342545,-0.16223184,3.2592623,-0.69664271,0.0081111189,-0.32935319,0.64003685,-0.2179901,-0.2402065,-0.40545133,0.86485968,-1.0698172,-0.76726084,-1.022107,-0.68884791,-1.1644889,0.0113281,-0.15630381,0.99679584,-0.44918961,-0.86290866,-0.46505243,0.55511465,-1.6254537,0.4672587,-0.34018043,0.66388609,-0.6977071,0.066424073,-0.070809975,0.14668735,-0.49152974,0.28523323,0.1161396,0.75003021,-0.66654434,0.85002602,0.97495755,1.5023575,0.39933579,0.63438973,0.71250923,1.073739,-0.051430238,0.42411314,0.079134588,1.0665097,-1.2280987,-0.098581359,-0.18891414,0.18664787,-0.69529132,0.017632049,-0.11746026,0.56384481,-1.0647411,0.76549897,0.61922227,1.0378222,-0.27814269,-0.45071083,3.1862989,0.04803889,-0.024199798,-0.11646353,0.076197171,-0.10297452,-0.11065162,-0.12153575,0.00029995768,-0.14056554,-0.064000656,-0.10649215,0.015567658,-0.092469971,-0.097813264,-0.11418027,0.011640233,-0.17998372,0.015573773,-0.15439664,0.067871513,-0.24935868,-0.10935303,-0.13020011,0.013201985,-0.16662406,-0.17109193,-0.10151674,0.076885168,-0.30444213,-0.031983327,-0.16745597,0.00100694,-0.22744202,-0.0412265,-0.092778414,-0.011075632,-0.25082162,-0.073562617,-0.11494121,0.040176999,-0.30647035,-0.15208484,-0.13131683,-0.043644451,-0.22700537,-0.16094804,-0.13376145,-0.008048817,-0.39962225,-0.042194401,-0.11807133,0.099098669,-0.40559313,-0.071011146,-0.10785734,0.045332122,-0.31440551,-0.089696499,-0.12609465,0.057470537,-0.38132215,-0.12183433,-0.16323902,-0.044751257,-0.41724472,0.24368565,0.24928834,0.24269951,0.24385144
-19640.046,0.80990904,0.0033476206,10,1023,0,19681.876,-0.095147641,-0.11411133,-0.059770345,-0.099320161,0.22800275,-0.11503919,-0.025467503,-0.061424215,-0.029157054,-0.096747879,-0.27035771,-0.45122914,-0.11051218,0.0095552853,-0.020145947,-0.06246202,0.24578971,0.032219243,0.11972483,0.065994637,0.67349385,0.26318271,0.15886867,0.060411758,0.49506544,0.25707974,0.22351434,0.4019251,0.19043716,0.45255762,0.32431914,0.25983011,-0.0068337823,-0.3767217,0.23508266,-0.19736361,0.22057351,-1.0279258,3.2403354,-1.5799423,0.10663605,-0.34288642,0.36619523,-0.31920096,-0.23361215,-0.078916444,1.956859,-0.86144305,-0.30583138,-0.48893401,-0.19817319,-0.68707567,0.046995416,-0.068041963,0.49966802,-0.18002526,-0.70869662,-0.63391124,0.30897216,-1.5757662,-0.10189519,-0.30669855,1.9846997,-2.1488847,-0.073470465,-0.14053238,-0.01703881,-0.44478759,0.069066712,-0.16089246,0.62029659,-0.81119829,0.56794238,0.69451408,1.0866211,0.073845365,0.74004232,0.73797556,1.0325895,0.086361755,0.40313895,0.15438506,1.0483582,-1.2637078,-0.11860827,-0.28832506,0.060201258,-0.69468422,-0.10129378,-0.29315825,0.1250069,-1.1142575,-0.24435017,-0.30871263,0.19375644,-1.3043717,-0.39376463,2.9930221,0.050020595,-0.096827314,-0.18774196,-0.037366741,-0.14365759,-0.10700462,-0.14723032,-0.009710171,-0.16501587,-0.047003362,-0.10082236,-0.015927685,-0.097986625,-0.11473731,-0.10452822,0.029822037,-0.15617078,0.022027197,-0.1012913,0.094534332,-0.23473848,-0.10267081,-0.13294666,0.016464794,-0.16241872,-0.13805719,-0.12617614,0.023618492,-0.27580738,-0.067579882,-0.079952413,0.05847498,-0.19124212,-0.065529742,-0.098729776,-0.037592379,-0.24935602,-0.078992227,-0.13811007,0.062717809,-0.30529053,-0.14341444,-0.11512385,-0.027482313,-0.25385221,-0.15378756,-0.15461824,-0.036205489,-0.41651819,-0.033739543,-0.081111526,0.089134181,-0.35116911,-0.044121789,-0.12092842,0.036799823,-0.30482935,-0.052997458,-0.11522278,0.020396184,-0.38152099,-0.12595155,-0.14267486,-0.012118262,-0.40137706,0.24095653,0.24503515,0.2412974,0.2379839
-19637.419,0.95898782,0.0033476206,10,1023,0,19690.645,-0.083879523,-0.093957807,-0.081711992,-0.11106018,0.17721767,-0.09397816,-0.030196391,-0.089740549,0.023287528,-0.14654966,-0.28158838,-0.54074523,-0.1774978,-0.024217798,-0.027258976,-0.13506009,0.1809909,0.054763439,0.082282482,0.12104761,0.81384467,0.2766998,0.24275607,0.053083792,0.34528133,0.31091286,0.19636323,0.66687919,0.25652693,0.4545107,0.31200865,0.30293002,-0.030360605,-0.45983518,0.7923549,-0.38651689,0.097885593,-0.8229864,3.336902,-1.4291947,0.071652468,-0.59799612,0.24838067,0.0085177521,0.044521619,0.22580654,1.7170247,-0.70424836,-0.19980043,-0.34848622,-0.081539339,-0.52294841,-0.10679707,-0.1302031,0.42035824,-0.25417295,-0.50540836,-0.38509754,-0.064665497,-1.2819325,0.3352995,-0.32698715,1.8020354,-1.7471831,-0.27383217,-0.37041619,-0.34716417,-0.70662011,0.30739454,0.014554363,0.63129855,-0.46897174,0.76108701,0.4499822,1.318107,0.18871082,0.61960132,0.61285544,0.80754132,0.25388678,0.52466677,0.052183007,1.0627875,-0.63583805,-0.070915368,-0.21405938,0.19501419,-0.65412268,-0.17264146,-0.25760203,0.28023577,-1.1249065,0.010076372,-0.019768905,0.4044415,-0.88037057,0.40121365,-0.27470701,0.084736805,-0.089374516,-0.16710551,0.059529508,-0.15383556,-0.088597255,-0.13902737,0.088782421,-0.17222542,-0.075816249,-0.1309166,-0.061274614,-0.08101113,-0.10567094,-0.083726835,0.096781567,-0.19630776,0.014611159,-0.10639598,0.11085732,-0.2483811,-0.12352889,-0.13000533,0.022334884,-0.16430777,-0.15288734,-0.12368116,-0.045894333,-0.3413933,-0.07194158,-0.10709827,0.0059183211,-0.18248765,-0.071261605,-0.10461026,-0.096581776,-0.2206952,-0.050976745,-0.14202452,0.049729176,-0.29235901,-0.13213887,-0.19322842,-0.022760626,-0.24453251,-0.127546,-0.13204469,-0.0022127293,-0.37143342,-0.042906647,-0.16411145,0.095135809,-0.34060738,-0.056449592,-0.12151008,0.064418238,-0.32152356,-0.081124604,-0.10763304,0.060177008,-0.37823954,-0.13200765,-0.14104868,-0.012542618,-0.40175076,0.24887749,0.24849986,0.24929207,0.25038494
