# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 14:19:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353545ae9c3a.json
# init = 2 (Default)
# random
#   seed = 1739233184
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141519-4-11de7b.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141519-4-50d194.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.0045515
# Diagonal elements of inverse mass matrix:
# 0.00639544, 0.0820201, 0.00186873, 0.0101163, 0.0271925, 0.00363845, 0.0159146, 0.00623342, 0.0118432, 0.0281917, 0.00746703, 0.0286318, 0.0555516, 0.014907, 0.026997, 0.03152, 0.354755, 0.790431, 0.447137, 0.344667, 0.401018, 0.31987, 0.31968, 0.311857, 0.276972, 0.444137, 0.318958, 0.366241, 0.411894, 0.26279, 0.273647, 0.286196, 0.291475, 0.276778, 0.378868, 0.259333, 0.293127, 0.342843, 0.28281, 0.247189, 0.298446, 0.212162, 0.262525, 0.214547, 0.266067, 0.248151, 0.255597, 0.267071, 0.403104, 0.359372, 0.308754, 0.249814, 0.235743, 0.320722, 0.286403, 0.29813, 0.276762, 0.186159, 0.280997, 0.218985, 0.240249, 0.210176, 0.253561, 0.258213, 0.475872, 0.429534, 0.454603, 0.487678, 0.420877, 0.446788, 0.519125, 0.325236, 0.374977, 0.370743, 0.310053, 0.307349, 0.397366, 0.423632, 0.351118, 0.300823, 0.264114, 0.380423, 0.344125, 0.324338, 0.367754, 0.421287, 0.392038, 0.63412, 0.504132, 0.415643, 0.507741, 0.526529, 0.414951, 0.383929, 0.434489, 0.672469, 14.6992, 241.073, 0.754484
-19644.679,0.97351469,0.0045515048,10,1023,0,19699.33,-0.067219989,-0.079195159,-0.10051602,-0.034417971,-0.20865597,-0.10040231,-0.22878099,-0.025826737,-0.040638441,-0.098685852,-0.1482382,-0.078294066,-0.31781086,-0.17736673,-0.41678046,-0.18052095,0.087369903,0.064002399,0.083009349,0.27007248,0.52433938,0.057625952,0.24289571,0.12776494,0.18295524,0.19884702,0.060971065,0.22746708,0.25370801,0.15869493,1.2041707,0.16284716,-0.080302409,-1.195474,1.85948,-0.6207854,-0.083715387,-0.79537829,1.9561723,-0.5251343,0.34010668,-0.60839987,0.76716452,-0.44307747,-0.25019467,-0.41530325,0.33021985,-0.45123963,0.43774141,0.16492739,0.54943312,-0.12046069,-0.14232538,-0.57220623,1.3357875,-1.0923714,0.23468055,0.40611142,0.89595836,-0.39099393,0.13289641,-0.89378777,0.60761715,-1.1680611,0.027984331,-0.11025842,0.010368922,-0.96701226,0.040585619,-0.26378449,0.74058623,-0.96446425,0.15584186,0.4549614,1.7499926,-1.5225385,-0.1167625,-0.27692653,0.24281448,-1.4531539,1.1222828,0.69718977,1.5778859,-0.045069986,0.78390753,0.54103343,1.4426701,-0.87662406,0.27429782,0.26610641,0.41037595,-0.016000749,0.044292211,0.033568841,0.56702184,-1.3167398,9.6707742,-37.37816,0.24171526,-0.074236003,-0.17166843,0.095242595,-0.12145795,-0.084553144,-0.13010128,0.046004563,-0.11280501,-0.072283981,-0.15101889,-0.036834188,-0.13729559,-0.10198866,-0.14657995,0.054765323,-0.15628538,0.020869093,-0.12217804,0.079433454,-0.27181826,-0.10860394,-0.13337624,-0.02342628,-0.16335125,-0.17177809,-0.13013827,-0.011156553,-0.32375174,-0.008847234,-0.14002148,0.051805434,-0.175064,-0.035518561,-0.060810798,-0.038741393,-0.2175584,-0.090615523,-0.15113861,0.048577511,-0.29046669,-0.13873636,-0.12049872,-0.04153929,-0.24106899,-0.10485369,-0.14128573,-0.023061766,-0.40883873,-0.033078723,-0.14092823,0.082511431,-0.32924547,-0.052964582,-0.091507471,0.051577695,-0.31648253,-0.086479066,-0.096342921,0.077382232,-0.4360481,-0.17330809,-0.17505436,-0.088183058,-0.39494829,0.25722504,0.24851061,0.24663395,0.24534118
-19649.584,0.99896734,0.0045515048,10,1023,0,19704.76,-0.050020168,-0.1544265,-0.10341777,-0.081896179,-0.032517873,-0.09482262,-0.14915759,-0.11987196,-0.072772111,0.090233926,-0.30249951,-0.18466651,-0.21136999,-0.062838761,-0.54100881,-0.084160101,0.31804639,0.068499845,0.054911497,0.070479313,0.1311717,0.049311174,0.13784359,0.069120993,0.083660405,0.30391589,0.1142463,0.30938489,0.26660113,0.42969576,0.29797735,0.19743531,0.044780771,-0.35671124,0.35669038,-0.17655161,1.0126496,0.10497753,1.8725681,-0.15529737,-0.10644706,-1.1425468,1.4396953,-0.55498626,-0.043523815,-0.29730584,1.667118,-1.254189,0.46702085,-0.67952124,0.85324747,-1.5353674,-0.26285175,-0.97866837,0.61556056,-0.99542331,0.1679348,0.25198179,1.3671116,-1.222613,1.1483399,-0.076404459,1.5500396,-1.0921015,0.11443668,-0.36366348,0.22341224,-2.2732658,-0.55555407,-0.73501231,-0.1618428,-1.3943134,1.3625995,1.5495914,1.9543582,0.67694998,0.21602056,0.044645714,0.54235688,-0.66226238,0.75867406,0.33107591,1.1456654,-0.42737926,0.026941767,-0.11696626,0.27932223,-0.70441483,1.55162,1.3624842,1.9330571,0.26246925,-0.18344107,-0.46948582,0.16484498,-1.548486,2.583599,-9.0570441,0.095222306,-0.035777805,-0.16347089,0.06342392,-0.10617177,-0.085060161,-0.14723555,-0.026155875,-0.16506435,-0.10926294,-0.16615673,-0.024361945,-0.1338929,-0.084963708,-0.10285009,0.035601155,-0.17029056,0.028742043,-0.12165183,0.079404045,-0.23391462,-0.10778415,-0.14308191,-0.064468606,-0.14390811,-0.12600886,-0.11442352,0.039289977,-0.31768696,-0.040497563,-0.12515311,-0.012731684,-0.19535909,-0.063198292,-0.10319635,-0.054081353,-0.26295445,-0.078607784,-0.13314799,0.041047327,-0.33352006,-0.14682755,-0.12546442,-0.079221305,-0.22516047,-0.11783302,-0.1708538,-0.016869491,-0.38956048,-0.0091066373,-0.12310478,0.094065683,-0.32530979,-0.051261998,-0.11309867,0.057184817,-0.36552282,-0.078661203,-0.13501938,0.034998418,-0.46279892,-0.12037784,-0.17685318,-0.051613882,-0.3898859,0.24818422,0.24458515,0.2452871,0.24977687
-19650.405,0.95989138,0.0045515048,7,242,1,19703.776,-0.04976562,-0.13354495,-0.1054821,-0.084486051,-0.042048412,-0.095034623,-0.13907337,-0.11632379,-0.068773058,0.082944244,-0.29185446,-0.19028459,-0.22940891,-0.059848976,-0.53841552,-0.084513942,0.30438842,0.072656044,0.053625519,0.071264378,0.14669852,0.043699158,0.15086878,0.073406134,0.082805902,0.29096997,0.11869234,0.31027764,0.24549305,0.40095704,0.29500125,0.19278625,0.02820771,-0.46947925,0.3497272,-0.14399627,1.0815212,0.11974673,1.7781727,-0.13362261,-0.093763069,-1.0433485,1.4733481,-0.53059065,0.0089669235,-0.26454967,1.6875217,-1.2495433,0.44921335,-0.65977765,0.89199778,-1.4982519,-0.24019371,-1.0582066,0.65884145,-1.0714482,0.16303562,0.24437206,1.3237711,-1.1952927,1.1241114,-0.044243619,1.5551866,-1.1886187,0.15267785,-0.43401759,0.29412741,-2.2387303,-0.54683531,-0.74019818,-0.18397895,-1.3916286,1.3450041,1.5023437,2.0320854,0.60809996,0.23552533,0.041011133,0.52263702,-0.64583656,0.70967447,0.35719494,1.2051001,-0.45231809,0.062965876,-0.076106693,0.2827936,-0.7035692,1.6277183,1.3894233,1.8620642,0.31551217,-0.22874573,-0.46317926,0.15657466,-1.5981923,3.2791394,-12.065333,0.10836579,-0.04117952,-0.19266967,0.05668729,-0.093596416,-0.054965901,-0.12484463,-0.004349958,-0.14325344,-0.1105102,-0.16143221,-0.026473047,-0.1339353,-0.083847029,-0.10333902,0.035774133,-0.17353398,0.023850523,-0.13883682,0.088806344,-0.26183975,-0.10553089,-0.14127736,-0.066243806,-0.14185601,-0.11447639,-0.10220526,0.060642352,-0.31940573,-0.033807122,-0.11957155,-0.002163556,-0.2035757,-0.056130431,-0.10471228,-0.044417572,-0.25415314,-0.076168409,-0.13243119,0.029411896,-0.32197789,-0.13221278,-0.11353778,-0.050661494,-0.21967765,-0.11720635,-0.17755975,-0.028122008,-0.39067323,-0.055188761,-0.14172003,0.066434795,-0.34044985,-0.034602365,-0.09036449,0.053539107,-0.34195,-0.058236583,-0.12853391,0.010895745,-0.44533904,-0.12861297,-0.17380853,-0.054328501,-0.39262345,0.24678348,0.24199762,0.24350179,0.24883535
-19641.631,0.95828486,0.0045515048,10,1023,0,19697.34,0.0018255774,-0.038409863,-0.066754849,-0.083917825,-0.13434708,-0.10523127,-0.097873485,-0.067494346,-0.1882531,-0.035570538,-0.046330398,-0.036878231,0.087160021,-0.095048904,0.33327485,-0.093818654,0.17989702,0.10539148,0.11402344,0.20137432,0.20346906,0.028304846,0.28181416,0.1302232,0.10788233,0.18865915,0.20638589,0.18352832,0.3480008,0.14841912,0.65310085,0.36077663,-0.34020273,-0.92959008,0.17080696,-0.70282665,-0.080433383,-1.2496621,0.76744354,-0.88262674,0.1780182,-0.34831533,0.91000608,-0.25073315,-0.037589845,-0.4596047,0.66166161,-0.44710009,0.50013051,-0.002675553,1.1170011,-0.35246016,-0.86233674,-0.69212243,2.1772315,-1.769727,-0.17706299,-0.037181142,0.52866751,-0.69668226,0.24146722,-0.42875078,0.79901587,-1.0324516,1.0695833,1.0308685,1.4426751,-1.0268915,-0.22772167,-0.31505119,0.52940878,-1.3860757,-0.65786542,-0.54291637,0.20592997,-0.93219329,-0.56104062,-0.5671136,-0.060778986,-1.9938655,-0.23230052,-0.53839597,-0.021206318,-1.1408248,0.23624908,-0.085329506,0.70097778,-1.4086074,-0.69628892,-0.68639161,-0.39590166,-1.1714706,-0.16028768,-0.13404405,0.28944509,-0.82149259,-1.6797035,8.3460974,0.054296104,-0.059375881,-0.16540491,0.03255324,-0.12461084,-0.046886856,-0.17011361,0.04247215,-0.1314312,-0.046456602,-0.10647096,0.037007171,-0.095344304,-0.091487454,-0.17647041,0.049323832,-0.1739523,-0.03258599,-0.13489147,0.092928092,-0.20606181,-0.12963958,-0.12482169,-0.043605068,-0.15532312,-0.14777234,-0.10835166,0.051112503,-0.29420841,-0.036049713,-0.12332764,0.036556054,-0.20194349,-0.072863956,-0.077040598,-0.032613945,-0.29903655,-0.078532314,-0.095007826,0.064307271,-0.29706639,-0.18210454,-0.15838068,-0.0038293577,-0.23872194,-0.13984508,-0.14095964,-0.048032897,-0.40280903,0.0063192544,-0.10020221,0.079780205,-0.30984791,-0.059985023,-0.10771343,0.0089896029,-0.30411318,-0.12147203,-0.11500809,0.074711143,-0.4318136,-0.1516467,-0.14217861,0.01060637,-0.39019398,0.25006785,0.24641355,0.23281724,0.24397242
-19644.594,0.50095407,0.0045515048,9,1023,0,19693.664,0.013127409,-0.083031651,-0.09984449,-0.09114424,-0.11047882,-0.066050216,-0.067676946,-0.096034658,-0.16539798,-0.078273328,-0.036656945,0.020184047,0.049854006,-0.032637499,0.24579191,-0.047988816,0.18736138,0.093727228,0.092101515,0.12270265,0.20088517,0.058314466,0.32610487,0.12556538,0.06834435,0.21815695,0.21322583,0.20103918,0.21787098,0.20727882,0.47070694,0.39735585,-0.53402503,-1.0824869,0.09430104,-0.67014832,0.083288556,-0.59824101,1.3105007,-1.0351183,0.10940551,-0.68643783,0.37442705,-0.51679365,-0.021758493,0.058804534,1.1029398,-0.87769698,0.70361383,-0.0024301592,0.90090263,-0.71830218,-0.90488005,-0.37940969,2.5264803,-1.5164406,-0.17917433,-0.17275285,0.40001505,-0.82161737,0.16177699,-0.074357211,0.79876825,-0.85455553,0.73196766,0.58733811,2.0463869,-1.0491229,0.086716003,-0.30639025,0.46070663,-1.1007961,-0.28071851,-0.51580777,0.0012180886,-0.98620445,-0.63910441,-0.74827193,-0.082797582,-2.0542947,-0.62418538,-0.6717012,0.25894559,-1.8146303,-0.071851741,-0.3745886,0.53292373,-1.2865768,-0.77450653,-0.81774452,-0.33583714,-1.3808702,-0.30756846,-0.2569173,0.058871565,-0.93740222,-2.6855214,11.968394,0.079693241,-0.086928258,-0.18968883,0.030795783,-0.1124325,-0.075225245,-0.13910312,0.039797947,-0.18005042,-0.089768076,-0.16306645,-0.065359192,-0.14744197,-0.093814065,-0.083928768,0.044189385,-0.19883998,0.030866762,-0.110967,0.070499156,-0.25477508,-0.11881781,-0.088175289,0.081280135,-0.15448064,-0.12610657,-0.12401249,0.06276991,-0.33561037,-0.075721069,-0.10537135,0.0042629788,-0.20333725,-0.11537212,-0.12525674,-0.025538997,-0.2370996,-0.059355629,-0.14511449,0.022233025,-0.31841965,-0.096513384,-0.14664049,-0.036397217,-0.24694121,-0.10830098,-0.13024793,0.0035384895,-0.39280967,-0.086137874,-0.096490191,0.10627073,-0.34550128,-0.047530844,-0.11028178,0.077826302,-0.29931763,-0.11877369,-0.13912611,0.087711038,-0.40419328,-0.17020294,-0.15007641,-0.024595855,-0.42047107,0.25562967,0.25139633,0.24265395,0.24873979
-19646.883,0.9814256,0.0045515048,10,1023,0,19689.548,0.038326621,-0.082770602,-0.098157203,-0.12391073,-0.15422766,-0.12420244,-0.10538652,-0.060375432,-0.17678804,-0.10881349,-0.031718403,0.099719384,-0.042199907,-0.021960669,0.30236678,-0.12285407,0.16196009,0.085893749,0.089093132,0.10516498,0.19264005,0.027331528,0.25831935,0.10490488,0.082909535,0.20374632,0.1231635,0.3380224,0.32763135,0.21307053,0.59022841,0.279748,-0.82314202,-1.2129167,0.096643123,-0.80306947,-0.37279758,-0.64355679,1.71929,-0.70749694,-0.432927,-0.21607693,0.59652022,-0.31374418,0.11358811,-0.14255177,1.6728169,-0.46736858,0.86023624,0.21085024,1.001204,-0.45751408,-0.59261232,-0.78684231,0.49849088,-0.87150379,-0.077837708,0.021991043,0.54250585,-0.9726371,0.063907516,-0.61834433,0.64022747,-1.3993853,0.86990545,0.7150101,1.2630732,-1.0444065,0.28356705,-0.15182068,0.70653974,-0.98498674,-0.74658547,-0.85975676,0.51488974,-1.8251433,-0.68814881,-0.74098244,-0.49658335,-1.3773604,0.17934715,-0.31831571,0.28587288,-0.82264344,-0.11361691,-0.41398708,0.37683871,-1.2810721,-0.74765376,-0.68204876,-0.34819588,-1.1952148,-0.046096004,-0.088213074,0.34478931,-1.0555964,-1.0908245,5.7877396,0.030771294,-0.094989532,-0.15811748,0.05397895,-0.09173858,-0.11479158,-0.13804811,0.064905659,-0.14354017,-0.13672803,-0.11740817,-0.045011348,-0.12610965,-0.11196524,-0.13890219,0.052011032,-0.17306154,0.011488285,-0.11360946,0.038644313,-0.2423632,-0.14039944,-0.14570804,-0.11057792,-0.14802197,-0.12549351,-0.099705812,0.034753236,-0.35663751,-0.053671222,-0.12524277,0.0067875532,-0.20717778,-0.10466458,-0.11750688,-0.072067228,-0.2633793,-0.051037744,-0.13974639,0.035141385,-0.30950091,-0.12367048,-0.13760905,0.031697219,-0.25650944,-0.13289033,-0.15074928,-0.068136909,-0.36585927,0.016559843,-0.14649011,0.051461008,-0.31172369,-0.046169085,-0.11016912,0.058332556,-0.29491938,-0.13891971,-0.10019778,0.096851679,-0.40308297,-0.13574934,-0.1475315,-0.026399953,-0.41815505,0.25009015,0.24346049,0.23092718,0.2549867
