# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 14:30:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353523987943.json
# init = 2 (Default)
# random
#   seed = 355872164
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141530-1-85b37e.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141530-1-609bf0.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00453956
# Diagonal elements of inverse mass matrix:
# 0.00805837, 0.0264612, 0.00198899, 0.0101988, 0.0188203, 0.00351263, 0.0517289, 0.023809, 0.00852715, 1.12692, 0.0132841, 0.0295399, 0.0302387, 0.0233707, 0.0441599, 0.0375984, 0.356991, 0.408278, 0.657686, 0.368783, 0.285922, 0.290428, 0.402115, 0.517468, 0.31462, 1.05651, 0.378474, 0.294964, 0.321244, 0.319478, 0.37253, 0.377356, 0.304205, 0.293516, 0.419895, 0.273214, 0.272019, 0.276265, 0.288208, 0.29323, 0.259341, 0.464321, 0.242882, 0.267541, 0.253344, 0.277864, 0.262045, 0.231455, 0.444327, 0.347228, 0.441897, 0.269528, 0.250968, 0.254882, 0.291695, 0.299229, 0.238832, 0.383851, 0.273206, 0.259048, 0.241063, 0.256201, 0.247117, 0.233216, 0.476672, 0.577898, 0.596191, 0.545834, 0.40114, 0.462109, 0.544908, 0.486276, 0.395847, 0.751771, 0.374904, 0.328556, 0.39915, 0.402805, 0.387452, 0.338285, 0.286709, 0.376619, 0.401966, 0.385364, 0.360115, 0.337552, 0.380516, 0.49567, 0.453393, 0.446232, 0.455651, 0.500301, 0.497832, 0.481274, 0.503552, 0.53741, 8.21281, 128.806, 0.758182
-19623.836,0.9691175,0.0045395584,10,1023,0,19673.281,-0.11424073,0.066277279,-0.09743941,-0.18742007,0.012351055,0.13266125,-0.083740519,-0.055244817,-0.14165991,0.0059068271,-0.18751669,-0.19115279,-0.086571842,-0.062853009,-0.13470138,-0.092318557,0.17682838,0.12234064,0.068896591,0.24408921,0.15016218,0.39290692,0.10244624,0.19434028,0.19373265,0.41329848,0.16261957,0.28074178,0.28434663,0.11449358,0.44236945,0.18136964,0.14943456,-0.10412748,0.9543698,0.14878615,-1.1931276,-1.8921785,0.090702937,-1.8002626,0.0030056419,-0.33114809,0.7853038,-0.56116824,0.38194829,0.1944867,1.0015568,0.051047689,-0.061944241,-0.6514138,0.64281991,-1.5547126,-0.53492852,-0.67756434,-0.23994421,-0.76133999,-0.49250756,-0.075261668,0.64826813,-2.2496065,-0.036123888,-0.22097884,0.53827899,-0.72121382,0.46023873,0.045887655,0.51433069,-0.47289635,-0.17293361,-0.31472456,0.11336946,-0.82651616,0.19161146,0.39620323,0.99155448,-0.41203991,0.29895687,0.14088734,0.67152306,-0.70274729,0.23727713,-0.1590221,0.7264283,-0.87238901,0.056603113,-0.25057976,1.0064572,-2.3385589,0.087870985,0.05438612,0.41483623,-0.66052619,-0.32427511,-0.37362531,0.52934072,-1.7404842,2.1577548,-7.1537541,0.096506241,-0.087816457,-0.13265342,0.054518938,-0.087931115,-0.079690715,-0.16521306,0.077373935,-0.153968,-0.097232331,-0.12025438,-0.043334655,-0.13610199,-0.094190613,-0.13994796,0.057049134,-0.17495988,0.0030493732,-0.085466659,0.10887829,-0.22110797,-0.07751586,-0.13355846,0.038385512,-0.16647449,-0.13419607,-0.091450794,-0.017327887,-0.31420424,-0.062265144,-0.098189907,0.049364475,-0.19540572,-0.052496639,-0.13276997,-0.04201726,-0.23327537,-0.065566371,-0.12416835,0.052762253,-0.33569104,-0.15635692,-0.12308629,-0.026270522,-0.25452244,-0.10722311,-0.15159983,-0.0026282127,-0.38844331,-0.019102891,-0.13178924,0.11998559,-0.33463271,-0.056372316,-0.091542783,0.052379883,-0.33060299,-0.095829938,-0.11064262,0.0488095,-0.42689799,-0.15113222,-0.16008285,0.0036877805,-0.40798956,0.25659243,0.25438759,0.2602983,0.23937298
-19633.186,0.94421254,0.0045395584,9,607,1,19668.199,-0.087467175,-0.037152521,-0.049303358,-0.25250281,-0.050541462,0.10466935,-0.13343685,-0.066379375,-0.18426254,0.18709207,-0.11930196,-0.32196166,-0.0070405104,-0.098091182,-0.12837451,-0.08286828,0.098907251,0.1247746,0.13024486,0.36153903,0.13480846,0.28613088,0.10245933,0.29308597,0.14254981,0.96976342,0.10342955,0.34321156,0.20131047,0.14113628,0.30328765,0.18346831,0.48892999,-0.76528485,0.85358622,-0.29609665,-0.45308336,-0.81103789,1.110924,-1.0317574,-0.39840066,-0.38643887,0.43014276,-0.46640526,0.40642166,0.45005714,0.8769228,0.16247124,0.60116101,-0.43423407,1.007141,-0.99639466,-0.66350533,-0.90183056,-0.29643246,-0.86955565,-0.0064120337,0.077229384,2.0190404,-1.9639488,0.036675646,-0.10107471,0.29754529,-0.46903788,0.80284586,0.38269858,1.0017103,-0.61920338,-0.25420903,-0.31898468,-0.16749504,-0.48356944,-0.15308043,-0.45186265,1.1295183,-1.0318683,0.51015738,0.50726369,0.72052972,-0.15086842,-0.16689566,-0.49694371,0.59918659,-1.6596197,0.57657362,-0.10767244,0.70091756,-1.755782,0.015144739,0.021593244,0.57651389,-1.0083093,-0.10295596,-0.36979085,0.25374287,-1.6148101,0.20651286,0.41815182,0.078009318,-0.039108454,-0.1631594,-0.0030413088,-0.11675328,-0.093685814,-0.13834945,0.10146257,-0.16588964,-0.101193,-0.099635036,0.0067205275,-0.11005025,-0.10556552,-0.089789588,0.06453901,-0.19376311,0.030500126,-0.10907989,0.085229657,-0.18486389,-0.085180011,-0.15337222,0.019850872,-0.14413737,-0.13409382,-0.12552397,0.073432676,-0.33466171,-0.055630257,-0.096002954,0.020826975,-0.2038478,-0.069817009,-0.12970893,-0.041468925,-0.27252986,-0.05943055,-0.1222476,0.024661504,-0.28185588,-0.135135,-0.16603791,-0.0024763786,-0.22602764,-0.14686974,-0.14786289,-0.074667523,-0.37374144,-0.040638353,-0.10708048,0.11358202,-0.34113932,-0.016715725,-0.11328767,0.00083371602,-0.34589572,-0.1237813,-0.12182554,0.046475034,-0.43418228,-0.10175744,-0.15071318,-0.036314503,-0.37913477,0.25067779,0.2536698,0.26083939,0.23676839
-19640.506,0.96130879,0.0045395584,10,1023,0,19691.496,-0.15479145,-0.042602476,-0.18667159,0.021928197,-0.091907883,-0.050861559,-0.2616586,-0.101428,-0.0084760147,-0.16275015,-0.35348875,0.04561018,0.2868445,-0.094096419,-0.18905339,-0.27877264,0.1663265,0.11030514,0.091468999,0.10336105,0.25480157,0.099045129,0.19914223,0.084417301,0.19138691,0.20538361,0.27857678,0.27407126,0.5724841,0.11313575,0.28635921,0.24893039,0.44405183,-0.096592891,1.3939498,0.30808492,-0.63265458,-0.69474522,0.88079148,-1.0378487,0.86983546,0.74344425,1.4955794,0.69378857,-1.2397057,-1.2864428,0.59784746,-2.0220851,0.3399916,-0.14528917,0.76317012,-0.34012032,-0.49569413,-0.54826078,0.79934625,-1.0745723,0.45834227,0.68541933,1.3097622,-0.46196793,0.59776352,-0.28648912,1.6650755,-1.1632618,-0.41478729,-0.54602245,-0.0071431315,-1.3287956,0.52957854,0.24128775,1.1380305,-0.78396953,0.85197362,0.76071565,1.2442559,0.46368251,-0.61109591,-0.68646747,-0.28531939,-1.5048518,-0.52479828,-0.81490596,-0.32099433,-1.1134609,0.62371991,-0.15710728,0.70156975,-1.9614125,0.30786966,0.3305893,0.91667929,-0.74610317,0.68405208,0.59058507,1.2567111,-0.48790127,-1.9706299,8.9223197,0.086232326,-0.080933862,-0.17085741,0.077059337,-0.10354876,-0.11238753,-0.11923644,0.05455335,-0.15708252,-0.10710862,-0.11866949,-0.049872443,-0.12321145,-0.10620908,-0.11103988,0.083722336,-0.18707664,-0.0052774901,-0.12892779,0.10254906,-0.17857108,-0.099957647,-0.10516412,0.028309794,-0.15729271,-0.1703833,-0.12516266,-0.00082963376,-0.35365592,-0.050966418,-0.12561264,0.039133181,-0.19962742,-0.087860873,-0.11297757,-0.0098431166,-0.2627901,-0.053983399,-0.1131936,0.070982664,-0.32376465,-0.11614868,-0.14157103,-0.0068679504,-0.22431757,-0.12187365,-0.14253083,-0.032587665,-0.36682646,-0.013594173,-0.17967621,0.10308035,-0.35059417,-0.023531397,-0.11187087,-0.014723796,-0.3160023,-0.10089208,-0.094386103,0.073446165,-0.40270691,-0.10849129,-0.13175807,0.034060945,-0.4002261,0.25611245,0.25733363,0.26390864,0.24454125
-19640.134,0.99019716,0.0045395584,10,1023,0,19685.967,-0.076279021,0.0095672482,-0.14025468,-0.091080845,-0.10968763,-0.00013928735,-0.13980655,-0.16058704,-0.074091506,-0.31929983,-0.2605307,-0.29018302,-0.079888097,-0.032823316,-0.23048037,-0.29226224,0.4008402,0.17928988,0.21315881,0.05985514,0.11711493,0.11127317,0.16382238,0.12037662,0.36582645,0.40035667,0.13021837,0.31186549,0.17054455,0.096213116,0.43252348,0.23736105,-0.014900538,-0.19059978,0.33957158,-0.063002175,-0.75415938,-0.81850191,0.50105364,-0.84030046,0.16333583,0.14630692,0.60282885,0.14599078,-0.10976382,-0.42804735,2.1566218,-1.1557234,0.99550585,-0.3582166,1.7051595,-0.98171212,-0.69986244,-0.99155628,0.52990008,-1.3920305,-0.15685167,-0.029991544,0.96303956,-1.3545321,0.52118349,0.37172267,1.9561219,-0.16209672,0.040037379,0.026060168,0.24497184,-0.4503316,0.62408771,0.52126433,0.87270298,-0.0034064532,0.97971578,0.81060852,2.006733,0.01912637,0.54402693,0.47384509,0.83012379,-0.38669194,0.094837427,-0.11163089,1.1151697,-1.6981885,0.023260315,-0.83429601,0.12044371,-2.7966332,0.17045133,0.17473136,0.63415232,-0.41094071,0.73381236,0.74905954,1.2456057,-0.6047974,2.8317158,-10.004894,0.059179144,-0.082251755,-0.15267907,0.059834917,-0.10153282,-0.1256459,-0.13718186,0.099401094,-0.14109012,-0.10543821,-0.10906807,-0.011756401,-0.10913546,-0.097650774,-0.11670168,0.038004058,-0.16025683,0.0069009606,-0.15164014,0.090011991,-0.22466078,-0.078015197,-0.11047289,0.058824372,-0.15503493,-0.16550236,-0.14471983,0.01796088,-0.36170921,-0.097848732,-0.11584032,0.074884315,-0.1800997,-0.059444774,-0.064558008,0.015525673,-0.23883472,-0.069442148,-0.11060817,0.030092631,-0.32066363,-0.13295371,-0.15497458,0.00078280112,-0.25804009,-0.12051979,-0.14240709,-0.031296053,-0.41077889,-0.06371409,-0.098926138,0.11029803,-0.3695049,-0.030585368,-0.11309353,-0.021235051,-0.30189611,-0.15675617,-0.15490496,0.043805398,-0.40822188,-0.11808376,-0.11446468,0.0033960426,-0.43581758,0.24584384,0.24605799,0.25889752,0.24889
-19643.747,0.99886617,0.0045395584,10,1023,0,19697.287,-0.15336399,-0.11429928,-0.17223014,-0.14455337,0.035603703,-0.11925894,-0.20560495,-0.20480189,0.028445594,-0.19513826,-0.28030502,-0.57370846,-0.29439571,-0.13345328,0.0008463075,-0.16108034,0.18964503,0.14390978,0.44952645,0.095383518,0.078527547,0.051855284,0.36052288,0.09675825,0.26199572,0.29615752,0.21303686,0.63842451,0.355829,0.11159247,0.3703554,0.16976214,0.53673409,-0.14860041,1.145223,0.28357552,0.28540981,-0.55672161,1.1722422,-0.27781189,0.11947371,0.11388014,0.34436439,0.14321105,0.4139389,0.12094154,1.5958794,-0.36636038,-0.27586998,-2.4485044,0.50576577,-3.2731377,-0.27778169,-0.66636176,0.90228016,-0.74264707,0.23271581,0.20863002,0.65081107,-0.20260559,1.7184286,0.62968057,2.3712016,0.15332888,-0.35646037,-0.42806376,-0.089616474,-0.91436164,0.43894804,0.28395632,0.87943505,-0.53700025,0.57103378,0.60926354,1.2261173,0.25438683,0.64201931,0.6619521,0.80250845,0.33494013,0.62902852,0.55817416,1.1275129,-0.20348586,0.83596384,-0.069999566,1.6154758,-1.540236,-0.15698864,-0.33029253,0.14233547,-1.0522328,0.1597221,0.04748454,0.49729859,-1.1376266,0.8950507,-2.1913163,0.092428467,-0.051575039,-0.18154532,0.063821862,-0.099585301,-0.073226013,-0.19441696,0.054397842,-0.15427912,-0.11852355,-0.121038,-0.017429237,-0.10785299,-0.10507042,-0.13301754,0.0076672189,-0.17949811,0.01394031,-0.15667134,0.075320249,-0.22142777,-0.13366338,-0.15381331,-0.072470942,-0.15776911,-0.12170558,-0.13038906,0.029027328,-0.2786489,-0.038529748,-0.1438751,0.024631423,-0.18996606,-0.064945497,-0.083705277,0.0049664615,-0.21111324,-0.065140499,-0.11104246,0.065313041,-0.35417492,-0.15865377,-0.15050942,-0.019096832,-0.22611124,-0.1638276,-0.15110202,-0.061367399,-0.35987448,-0.070569118,-0.095781155,0.10680608,-0.36680188,-0.040166011,-0.14126471,0.046821657,-0.30533202,-0.057295284,-0.12147931,0.053561017,-0.38885378,-0.13396557,-0.15301926,-0.076657867,-0.35420626,0.26576227,0.25439507,0.26701571,0.2391678
-19639.233,0.93896664,0.0045395584,10,1023,0,19686.342,-0.15195796,-0.066450781,-0.21693526,-0.094738944,0.031284905,-0.054372992,-0.22312662,-0.21395757,-0.045146016,-0.13436205,-0.22893166,-0.5407335,-0.23472661,-0.10840516,0.0094772141,-0.1903941,0.15266036,0.11403586,0.34658464,0.079985096,0.083204404,0.10064813,0.36520623,0.09984645,0.3759116,0.31912145,0.1095133,0.74275377,0.32610371,0.11983073,0.23217884,0.12840984,0.38330165,0.05152125,1.070325,0.23184061,-0.37162002,-0.34969172,1.0024912,-0.86172856,0.34773952,0.24454243,0.69275379,0.27526147,0.018917592,-0.42976547,2.0512396,-0.88832857,-0.51023345,-2.0515915,0.66719566,-3.1240829,-0.69338557,-0.49713591,0.57589718,-1.5081252,0.38527989,0.31861316,0.62286973,-0.40508058,1.4126869,1.1731126,2.2278236,0.097425569,-0.078657951,-0.12367872,0.23801415,-0.45812927,0.18735819,0.10937387,0.67372021,-0.66935393,0.82862628,0.51880813,1.5252119,-0.15459297,0.58373574,0.51238749,0.69918248,0.1557976,0.56561951,0.43578061,1.039098,-0.35508591,0.32647554,0.14512498,0.98943631,-1.907743,-0.51218313,-0.63740426,0.2621017,-1.7620074,0.21633984,0.19984242,1.2226466,-1.5069827,2.235653,-7.4805805,0.028391509,-0.093442989,-0.1440927,0.011438243,-0.11656509,-0.10882879,-0.10632818,0.047869162,-0.16471874,-0.096414079,-0.1321806,0.023162567,-0.12153386,-0.093225818,-0.12911378,0.069329654,-0.16579199,-0.011168765,-0.13941654,0.086798522,-0.22865255,-0.12416096,-0.10440879,0.0035899834,-0.20616298,-0.082420006,-0.10676711,0.0043492808,-0.37106457,-0.072905801,-0.096826441,0.0084827073,-0.20422998,-0.074714452,-0.091638283,0.044326263,-0.21736212,-0.074572029,-0.099458499,0.080636521,-0.34796724,-0.13818607,-0.17211528,-0.061900686,-0.24586165,-0.10716158,-0.16015576,-0.021413077,-0.42501425,-0.050275987,-0.092616936,0.1041271,-0.35052144,-0.069283357,-0.091014728,0.010159719,-0.33701141,-0.10944087,-0.13851457,0.070331682,-0.39962362,-0.16261394,-0.16473237,-0.033394245,-0.3839055,0.25138974,0.25094286,0.26666968,0.24877218
