# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 14:30:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353523987943.json
# init = 2 (Default)
# random
#   seed = 355872164
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141530-2-85b37e.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141530-2-609bf0.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00610875
# Diagonal elements of inverse mass matrix:
# 0.00944992, 0.01103, 0.00509437, 0.0226213, 0.0270757, 0.0067735, 0.0182685, 0.00997138, 0.0190766, 0.0418873, 0.0106279, 0.0276335, 0.112699, 0.019694, 0.0430743, 0.0270067, 0.360515, 0.347717, 0.751021, 0.410001, 0.389133, 0.364641, 0.296155, 0.322156, 0.41087, 0.395476, 0.335999, 0.387211, 0.414067, 0.280674, 0.327017, 0.32857, 0.260162, 0.244806, 0.424033, 0.284876, 0.295773, 0.287365, 0.216145, 0.280414, 0.254662, 0.276228, 0.301654, 0.281119, 0.283219, 0.272637, 0.248677, 0.263118, 0.351071, 0.283348, 0.386343, 0.271802, 0.294777, 0.29234, 0.217539, 0.263516, 0.23707, 0.265558, 0.299011, 0.266734, 0.246143, 0.262415, 0.252295, 0.263904, 0.486392, 0.432435, 0.612542, 0.56694, 0.411668, 0.492634, 0.34949, 0.434994, 0.395173, 0.420004, 0.46006, 0.392393, 0.442627, 0.394937, 0.36488, 0.401059, 0.274868, 0.299219, 0.381315, 0.398998, 0.469213, 0.357657, 0.406397, 0.423246, 0.431402, 0.570129, 0.44422, 0.524061, 0.436077, 0.484257, 0.575025, 0.544976, 8.09116, 126.985, 0.784135
-19627.346,0.37406101,0.0061087475,10,1023,0,19682.283,-0.05571289,-0.10197934,-0.065576839,-0.20799393,-0.21922854,0.0058642588,-0.12609228,-0.11180914,-0.24761067,-0.044676374,-0.13432785,-0.1901733,-0.080046834,-0.1627014,-0.25215792,-0.23763426,0.069647439,0.23910714,0.019108003,0.35664359,0.31013223,0.19395919,0.18738454,0.11344387,0.29452138,0.36244555,0.11139345,0.22491148,0.21865713,0.1742573,0.33390319,0.11533208,-0.36155981,-1.4951287,1.2716107,-0.58626501,0.25555497,-0.28399982,0.68659621,-0.29976188,-0.91077935,-1.0970099,0.62937508,-2.3670748,0.32277154,0.25233002,0.76197134,-0.0069443643,0.76860283,0.16893719,1.0198395,-0.055217747,-0.56980236,-0.72433611,-0.037543246,-0.83383984,0.13397421,0.094917667,1.0575338,-1.0783223,0.76449942,0.043671968,1.0611032,-0.60292634,0.53552088,0.52350713,0.88394882,-0.051241685,-0.075218313,-0.24011308,0.34062326,-0.78199971,-0.022833063,-0.12273443,0.7428686,-0.88845684,0.30574861,0.19865721,0.73405675,-0.97305602,0.13060987,-0.25161121,0.70949798,-1.2464855,0.56586331,0.26232751,1.139694,-0.89986993,0.39602558,0.31551345,0.72680572,-0.53925847,0.60842542,0.70036045,1.6821533,-1.5039319,-1.7587737,8.5006035,0.084522824,-0.080894605,-0.15984478,0.032851538,-0.096544746,-0.04087432,-0.16988572,0.062190714,-0.17365454,-0.082980013,-0.086538508,-0.053550738,-0.11080691,-0.092879528,-0.11800205,0.063758264,-0.21047059,0.019139965,-0.16683567,0.097056539,-0.23635334,-0.10465414,-0.13462738,-0.0014175987,-0.15586664,-0.10098759,-0.10830618,0.072073201,-0.32815321,-0.025081367,-0.10685482,0.0085665127,-0.18020744,-0.089888321,-0.093426629,0.012731156,-0.26270244,-0.071938917,-0.13170429,0.078781008,-0.32810869,-0.13687131,-0.14799967,-0.051577153,-0.23329613,-0.12140693,-0.14549302,-0.025075514,-0.40902477,-0.051488054,-0.13506342,0.075089957,-0.35259977,-0.064095592,-0.11698892,0.035898592,-0.31951031,-0.11992372,-0.14680698,-0.0094751782,-0.43221804,-0.16746329,-0.15686023,-0.043628016,-0.41108586,0.2518126,0.24810427,0.24777558,0.24070321
-19629.266,0.95349673,0.0061087475,10,1023,0,19668.597,-0.081396341,-0.047695902,-0.11508936,0.10947106,0.081011138,-0.24017889,-0.11793954,-0.074990197,-0.028879415,-0.14393622,-0.14590452,0.11453145,-0.24387157,0.13810665,-0.089357552,0.015847661,0.068248263,0.20948038,0.030753655,0.44319714,0.33556356,0.27504281,0.11694667,0.11509012,0.15092022,0.31280324,0.16192881,0.61644473,0.70575995,0.71179486,0.14907875,0.37010578,0.23355408,-0.63901026,1.8435776,-0.41418762,-0.28904146,-0.29632403,0.70703086,-0.5051657,0.74244307,-0.070952289,2.2415167,0.46466459,-0.5679222,-0.57553828,-0.14044351,-0.61234805,-0.11757635,-0.65588347,0.068164089,-0.93850227,0.56182614,0.46196206,0.93136844,0.32490917,-0.28430435,0.12874947,1.5063923,-1.4881475,0.38801847,-0.4505732,0.54595261,-1.0512762,-0.25214208,-0.48199038,0.33024647,-1.2272767,0.31751326,0.052443019,0.52872514,-0.52343105,-0.1091142,0.10056862,0.83504971,-0.68168948,-0.39308648,-0.42641403,-0.28380223,-0.80046875,0.28638612,0.16700433,0.47987845,-0.10153197,-0.25254129,-0.32546998,-0.19254994,-0.61750653,0.056250724,-0.34439198,1.1940297,-2.2434582,-0.42338354,-0.36179927,-0.079177918,-1.0752184,1.0787968,-2.8326195,0.17325261,-0.065456681,-0.12500768,0.044424629,-0.10966393,-0.10824442,-0.10976997,0.10041319,-0.15351821,-0.092256518,-0.1172714,-0.046154526,-0.10079922,-0.14223044,-0.14560586,0.047226896,-0.16191985,0.041556799,-0.13907945,0.10388452,-0.23391602,-0.08565265,-0.11311955,0.015987305,-0.15081496,-0.15118799,-0.10288272,0.058228029,-0.29197344,-0.030333103,-0.12684672,-0.012156444,-0.1959817,-0.066932753,-0.10162151,0.020961454,-0.21410028,-0.044617039,-0.12753187,0.02145072,-0.30766714,-0.16357325,-0.12961957,-0.01068592,-0.25628969,-0.12778463,-0.14832923,-0.060416934,-0.37891329,-0.04175172,-0.12600661,0.094807415,-0.31552877,-0.041650943,-0.093561212,0.0010505876,-0.30143133,-0.080971764,-0.14069908,0.088646906,-0.4238095,-0.14084903,-0.11805634,-0.013456544,-0.38209687,0.26120993,0.24667967,0.26777423,0.23643818
-19629.796,0.94759719,0.0061087475,8,423,1,19674.866,-0.089294064,-0.067215089,-0.12953574,0.13253664,0.12196875,-0.23720224,-0.14840588,-0.06284829,-0.032472454,-0.1075265,-0.14504063,0.10470696,-0.25658165,0.12053701,-0.10898869,0.020790473,0.078825475,0.18056264,0.041864787,0.37561405,0.40272273,0.21963867,0.11841866,0.12305715,0.16756505,0.34123862,0.13750963,0.68695372,0.94148031,0.56278681,0.15741682,0.40713619,0.24079065,-0.51822124,1.6249685,-0.36359772,-0.4090198,-0.45741696,0.66617168,-0.48741347,0.56864131,0.11770407,2.2614029,0.25995404,-0.52165432,-0.58014797,-0.13820942,-0.89370521,-0.38176679,-0.5450817,-0.12416889,-0.83216712,0.58987925,0.34244248,1.1706682,0.35682455,-0.22108584,0.20332112,1.5417383,-1.7145011,0.40525631,-0.50730567,0.85600406,-1.1455851,-0.069065952,-0.35858933,0.36413286,-1.5282908,0.051261995,-0.091082693,0.55879427,-0.64488535,0.14683104,-0.054603819,0.95618896,-0.65272498,-0.35429367,-0.38106055,-0.1347126,-0.71887416,0.2271607,0.13597445,0.38106034,-0.069806494,-0.30739255,-0.34757478,-0.15663018,-0.74414055,0.12193187,-0.28856111,1.004569,-1.8028835,-0.33320957,-0.46706002,-0.1614432,-0.94179089,1.3382995,-3.8632572,0.17356738,-0.070313626,-0.1301431,0.038794849,-0.11795483,-0.14106878,-0.1498075,0.053070627,-0.15522375,-0.10572969,-0.12460808,-0.034862591,-0.11865282,-0.063404057,-0.085375091,0.080623238,-0.2031516,-0.031777412,-0.097548038,0.071963119,-0.21316386,-0.10764194,-0.16198863,0.019921774,-0.15882977,-0.17458657,-0.12432887,0.034164709,-0.35143482,-0.012978602,-0.12527588,0.042489135,-0.20382073,-0.044045494,-0.092559492,0.028543485,-0.28856056,-0.090033932,-0.13860744,0.08315568,-0.32758629,-0.12484995,-0.15254919,-0.013555447,-0.2347966,-0.13867639,-0.157064,0.012165638,-0.38912632,-0.042714322,-0.12856438,0.10217916,-0.32230309,-0.052459463,-0.07507349,0.032387614,-0.29825547,-0.089794563,-0.15441306,0.049147371,-0.39279289,-0.1148712,-0.16936656,-0.044938895,-0.36264668,0.25999471,0.24918693,0.25913268,0.24530825
-19633.378,0.98518222,0.0061087475,10,1023,0,19666.323,-0.10580557,-0.066354917,0.074286699,-0.064935725,-0.099333167,-0.063401251,-0.22026614,-0.087554632,-0.21003699,-0.099523912,-0.10850042,-0.07350053,-0.089012624,-0.19204007,-0.34238036,-0.3210178,0.094203618,0.13026113,0.35043493,0.1038794,0.13907945,0.088430058,0.61819895,0.093127582,0.19791547,0.16529237,0.09688155,0.25816182,0.15230776,0.18764341,1.1237195,0.20678661,0.61952591,-0.38107988,1.4659615,-0.052881806,-0.25423748,-0.31819845,0.67426726,-0.51115444,-0.61056938,-0.6191572,-0.23944169,-0.58586107,-0.19959349,-0.37773767,0.97840155,-1.058753,0.85206959,-0.10766507,1.2612778,-0.78997256,-0.38332777,-0.44174869,0.64727253,-1.1170325,0.15732925,0.18919665,0.38819638,-0.27260536,0.61299508,-0.41673283,1.0059198,-1.0163969,0.80748988,0.33636111,1.0912754,-0.32347029,0.2581634,-0.21109062,1.0272081,-1.2518864,-0.31515355,-0.60303002,0.49798512,-1.1052218,-0.14887259,-0.20280237,0.16858137,-1.3564976,0.38452974,-0.20008625,1.091084,-1.9391379,0.60728461,0.45698326,1.0955987,-0.67635471,0.26290555,0.20054803,0.36402042,-0.084837017,0.7837495,0.73909657,1.1150491,-0.36257614,2.3987388,-8.2744377,0.18020215,-0.047443985,-0.14170467,0.03229331,-0.11078723,-0.09947218,-0.10780381,0.0214759,-0.13293847,-0.13967814,-0.14268761,-0.0096220334,-0.13101948,-0.085669377,-0.10417489,0.036700043,-0.17491835,0.019172199,-0.11430716,0.076084646,-0.20920211,-0.097298948,-0.10246511,-0.0061629038,-0.1621805,-0.12300536,-0.10330497,0.019716462,-0.38879049,-0.030467882,-0.12636395,0.0061242421,-0.18220922,-0.050222252,-0.14346592,0.005943298,-0.27405677,-0.056851473,-0.13441558,0.070265743,-0.30645118,-0.13903298,-0.1669229,-0.060254847,-0.21557602,-0.11193375,-0.12585636,-0.029979258,-0.4236964,-0.030445762,-0.11948731,0.077167932,-0.38435836,-0.078087114,-0.10629017,0.013541799,-0.31895357,-0.046948259,-0.11702062,0.066676495,-0.43771337,-0.15894889,-0.16818252,-0.090440573,-0.39599369,0.26610692,0.25283567,0.26906327,0.2434952
-19631.334,0.9440602,0.0061087475,10,1023,0,19673.643,0.0022534214,-0.13482988,-0.10253464,-0.062390738,0.0061992311,-0.066857028,-0.086800983,-0.031702303,-0.10850385,-0.22602008,-0.10871364,-0.0015619773,0.075322661,-0.21904061,-0.22438743,-0.26404315,0.14123195,0.10058005,0.051565333,0.058770616,0.17927571,0.090265574,0.19535313,0.13781601,0.093506679,0.22781356,0.07152271,0.58772799,0.33734377,0.36945969,0.21504768,0.18943375,-0.60638659,-1.1237799,0.40932343,-0.81374432,0.11354401,0.05689233,1.950583,-0.016086922,-0.10513829,-0.71468457,1.1257432,-0.56567988,-1.0368798,-1.0678703,1.6056613,-2.1495613,-0.14540002,-0.74082262,0.47502109,-1.1789273,-0.13868142,-0.55934107,0.55637602,-1.0792079,-0.21375882,0.0034299886,0.71560784,-1.2486122,0.044150184,-0.69187097,0.40302759,-1.1530687,0.4045617,0.045465119,1.0843152,-1.1201241,0.83374639,0.49014372,1.1454709,-0.28582653,-0.6425081,-0.31517326,1.5666981,-1.8290682,-0.17622448,-0.22960742,-0.075100468,-0.67788858,-0.23985383,-0.62171613,-0.040622235,-1.2033444,0.49093532,0.27690373,0.65547379,-0.25155024,0.46424852,0.373693,1.2677228,-0.91522927,0.61835133,0.48948771,0.89389122,-0.67817318,0.95616515,-2.6244356,0.039194566,-0.083387738,-0.15646021,0.060062968,-0.11267327,-0.12340962,-0.12910765,0.061359856,-0.1364479,-0.10795613,-0.13938758,-0.044485314,-0.13170411,-0.1233288,-0.12515013,0.031974968,-0.18872178,-0.019867461,-0.12661227,0.091358975,-0.20515379,-0.079375186,-0.11734627,-0.016635427,-0.16427235,-0.12855944,-0.086130924,0.052995247,-0.33072129,-0.0256177,-0.1270532,0.023841353,-0.19061363,-0.070674627,-0.10425256,-0.0071131371,-0.21324293,-0.036081347,-0.11435869,0.034933718,-0.29113524,-0.15466756,-0.13125569,0.0033408579,-0.23953355,-0.10513404,-0.13650869,-0.045700625,-0.39997607,-0.0055905321,-0.1344094,0.061619003,-0.33061807,-0.037659798,-0.11673585,0.023130535,-0.31197829,-0.12455187,-0.14402562,0.048233413,-0.42120536,-0.14690653,-0.17131765,-0.094709979,-0.39251204,0.25040682,0.24751092,0.26441602,0.24123885
-19633.806,0.97176971,0.0061087475,9,1023,0,19684.947,-0.062807015,-0.084606314,-0.088074134,-0.025072806,-0.13187185,-0.083313379,0.024112661,-0.015277425,-0.028429254,-0.056201169,-0.07515083,-0.0096925884,-0.05021196,-0.11617735,-0.12343532,-0.27315308,0.49185694,0.090773077,0.043832854,0.25322774,0.32427629,0.058341041,0.35091925,0.22950264,0.26570236,0.27694036,0.14602045,0.36810752,0.15234712,0.36572718,0.25763449,0.42256078,0.082666613,-0.15359699,0.10079747,-0.11495077,0.55912337,-0.73634199,1.6454314,-0.67533859,-1.1449839,-0.95696285,-0.38410736,-0.65859543,-0.54463616,-0.3497448,0.17416128,-0.49754164,0.31782494,0.018257872,0.71191829,-0.19001515,-0.55716773,-0.55323464,1.7382736,-1.1456361,-0.36825537,-0.42943612,0.02858673,-0.93571985,-0.33941813,-0.25665539,0.069324584,-0.84502485,0.0027745252,-0.26845936,0.10446179,-0.73122842,0.0029567819,-0.25131374,0.29021551,-0.86436666,-0.34048173,-0.41083767,0.32404611,-0.97328677,-0.34397502,-0.35354363,-0.099688019,-1.100754,0.089232159,-0.35133304,0.58901259,-1.870283,0.13168161,-0.015725368,0.4882323,-0.55272534,0.13324793,0.10788517,0.68789554,-1.2632264,0.32054569,0.30141059,0.59115073,-0.2460246,0.96339179,-2.6793405,0.090902801,-0.022146868,-0.13835476,-0.01322908,-0.11934635,-0.033852965,-0.15144634,0.064754559,-0.14590887,-0.13826205,-0.13002055,-0.10491066,-0.11694225,-0.16298979,-0.11363789,0.019029662,-0.15106415,-0.028808758,-0.12595126,0.098986373,-0.19348926,-0.11581912,-0.11558966,0.018099313,-0.15015099,-0.10511524,-0.12658474,0.034144294,-0.30424945,-0.093174781,-0.074180515,0.00063275056,-0.20921286,-0.027692057,-0.09975954,-0.00067350977,-0.22271837,-0.055382317,-0.12580009,0.02417122,-0.29557918,-0.12486812,-0.13514153,-0.027833473,-0.2172706,-0.13631238,-0.13983466,-0.046388498,-0.41488843,-0.036617698,-0.10373654,0.039522409,-0.33514419,-0.068017804,-0.12192854,0.062382474,-0.31832403,-0.089106055,-0.095640376,0.053790297,-0.44888599,-0.13770304,-0.14578879,-0.023355969,-0.37711343,0.2570315,0.25790572,0.26239999,0.23448789
