# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 14:42:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353569f4a1c4.json
# init = 2 (Default)
# random
#   seed = 1156737990
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141542-1-6f15a6.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141542-1-0402c8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00343772
# Diagonal elements of inverse mass matrix:
# 0.0108044, 0.0167109, 0.00356372, 0.015332, 0.0151637, 0.00556486, 0.0344497, 0.0106471, 0.0121348, 0.0484874, 0.01423, 0.0329423, 0.0456445, 0.0192904, 0.0360727, 0.0324411, 0.39378, 0.525229, 0.915133, 0.358556, 0.285312, 0.431674, 0.371695, 0.388302, 0.368777, 0.385587, 0.517241, 0.377962, 0.272928, 0.348941, 0.287753, 0.344164, 0.261759, 0.273153, 0.470251, 0.26025, 0.21842, 0.286788, 0.253508, 0.285716, 0.275076, 0.307341, 0.274515, 0.270126, 0.308778, 0.25929, 0.219638, 0.253216, 0.343271, 0.316224, 0.48833, 0.278425, 0.210622, 0.272889, 0.259485, 0.26561, 0.24207, 0.289698, 0.255725, 0.260971, 0.267486, 0.241878, 0.215654, 0.25249, 0.521257, 0.612811, 0.659239, 0.476952, 0.334039, 0.55562, 0.447168, 0.432532, 0.369396, 0.437848, 0.494624, 0.362363, 0.436803, 0.410399, 0.331193, 0.35174, 0.266189, 0.314093, 0.416493, 0.401067, 0.338508, 0.371758, 0.464257, 0.411341, 0.510347, 0.609603, 0.409154, 0.56308, 0.424901, 0.509979, 0.439286, 0.623414, 5.12812, 84.8257, 1.05279
-19626.081,0.9609855,0.0034377207,10,1023,0,19672.108,-0.082910884,-0.07244626,-0.088020978,-0.098339868,-0.14156797,-0.18475422,-0.34263148,-0.12966121,-0.15540256,-0.17607567,-0.21502259,-0.36734656,-0.076553221,-0.10486948,-0.48360497,-0.22550609,0.12572075,0.06897466,0.10780548,0.14073018,0.20252554,0.18839059,0.24561133,0.24641885,0.1755226,0.23892951,0.13081036,0.18511425,0.2487412,0.15491134,0.37443781,0.56684193,0.39497992,-0.64164885,1.155871,-0.028026016,-0.73360781,-1.0914482,1.469249,-1.0292539,-0.39280343,-0.37189627,0.596967,-0.14849179,0.088082312,-0.1957108,1.0877867,-0.3252073,0.72012085,0.022925889,1.0494974,-0.50821897,0.45527076,0.44212134,1.1567495,0.010691125,0.74333842,0.82320089,1.3644561,-0.012121594,0.36036699,0.19276403,0.68920836,-0.34899485,0.50072275,0.36192382,0.69900789,-0.5818151,0.46705367,0.08515276,1.0154304,-0.56412809,0.49708567,0.5942507,1.1095095,-0.33576065,1.4199,1.157474,1.8541249,-0.092077906,0.14403063,-0.23287408,0.65206437,-1.1351294,0.16455832,0.13353588,1.0389226,-1.4563004,1.0535675,0.93332194,1.3913862,0.14537012,0.17424586,0.12898687,0.38522431,-0.29900514,-10.930794,45.315066,0.081403006,-0.033253711,-0.16357946,0.062406086,-0.086434336,-0.12304661,-0.14772853,0.02889469,-0.1434387,-0.13036734,-0.12811344,-0.023664662,-0.10402921,-0.085944028,-0.12588228,0.054744548,-0.14410635,0.0042748951,-0.13692489,0.070982054,-0.24449529,-0.098985491,-0.10146272,0.033166497,-0.18274011,-0.16005915,-0.14044402,-0.007505619,-0.34560869,-0.040859987,-0.082160516,0.040172725,-0.21566012,-0.067514399,-0.091876748,-0.032710876,-0.25752426,-0.064482759,-0.15573016,0.066540622,-0.31086251,-0.14999864,-0.13728844,-0.069887252,-0.25894356,-0.10450284,-0.15308163,-0.024121633,-0.3843915,-0.040726868,-0.1344786,0.085642056,-0.35890668,-0.079377532,-0.08418326,0.056071415,-0.33046693,-0.089109439,-0.13413394,0.03738265,-0.4291729,-0.12673623,-0.15239092,-0.0071447956,-0.39499473,0.24825895,0.24815418,0.24824125,0.24828159
-19623.449,0.9812506,0.0034377207,10,1023,0,19669.484,-0.089418262,-0.086821709,-0.11731886,-0.073976746,-0.23475222,-0.18304988,-0.32955726,-0.086481216,-0.15849912,-0.24568586,-0.20798698,-0.25753426,-0.1290297,-0.19975693,-0.35979785,-0.12860859,0.12903402,0.068158509,0.020210105,0.18646472,0.47063873,0.1434091,0.25602433,0.150717,0.23753345,0.2447414,0.086961187,0.33483233,0.21262525,0.27035372,0.34194854,0.42354584,0.16780775,-0.29474447,1.3693001,-0.10164046,0.17256614,-0.63102131,1.2240118,-1.1394733,0.30819388,0.020506157,1.1348218,-0.27986444,-0.14576924,-0.12979405,0.99137044,-0.53645143,0.43933243,0.20509541,0.6671474,-0.040748546,0.44141218,0.47078321,1.0608383,0.33236016,0.58097785,0.8735104,1.426811,0.079015822,0.10544974,-0.12856905,0.6588222,-0.58734928,0.4849926,0.33806185,0.56647928,-0.31133907,0.73951737,0.51712259,1.1128094,-0.45219923,0.90923114,0.77209384,2.0973548,-0.20331577,0.46107043,0.30498167,0.76614814,-0.36155762,0.52799252,0.078916957,1.0106423,-1.0363229,0.47246425,0.23498617,0.90669104,-0.39447672,0.77254325,0.60333443,1.1088758,-0.18460169,-0.064134146,-0.089013181,0.25602567,-0.64125799,-11.132192,46.983433,0.027773761,-0.067765353,-0.12745033,0.087268038,-0.10253334,-0.075059858,-0.12983118,-0.0033948911,-0.16448651,-0.11109022,-0.11690442,-0.094383987,-0.12297495,-0.10115757,-0.098178757,0.11087887,-0.17400601,-0.027985358,-0.13822638,0.079233188,-0.25393006,-0.11974736,-0.11553528,-0.030916009,-0.13538641,-0.1808128,-0.10591735,0.035741076,-0.30932729,-0.070588148,-0.10585876,0.01281449,-0.17500474,-0.043297157,-0.078198126,-0.023941345,-0.23245256,-0.06469534,-0.11912455,0.026664667,-0.35635773,-0.12891916,-0.14084478,-0.02559851,-0.22566756,-0.10315297,-0.15541653,-0.0010030883,-0.37859544,-0.016765156,-0.11224996,0.085858375,-0.34937812,-0.072024458,-0.13622754,0.045370369,-0.30640518,-0.095627812,-0.15348852,0.01938061,-0.42292213,-0.15577234,-0.16630975,-0.02016998,-0.40021074,0.24442176,0.24473155,0.2428836,0.24422789
-19638.626,0.77371128,0.0034377207,10,1023,0,19673.138,-0.12313013,-0.015866703,-0.10455243,0.0083073897,-0.22247715,-0.14145616,-0.29999855,-0.06422467,-0.20849624,-0.1640178,-0.17560742,-0.35041042,-0.094215715,-0.10937341,-0.59515581,-0.017209342,0.14504006,0.12181015,0.025863382,0.24920924,0.35148606,0.09794012,0.12145622,0.28034757,0.112804,0.183793,0.13950512,0.69519809,0.28189994,0.62752753,0.45171067,0.47954874,0.5515411,-0.25355483,1.2621082,-0.040600202,-0.66766901,-1.1726162,0.69188747,-0.93067198,-0.22372134,0.45840504,-0.65691548,0.15390503,-0.45409782,-0.29398104,0.32218807,-0.74816607,0.6917724,0.28077689,0.87254406,0.091115545,0.27558726,0.32454572,1.6334237,-0.18609383,1.1390002,1.737023,2.6974492,-0.10365844,-0.0025404083,-0.25086774,0.26480214,-0.39479993,1.4418998,1.1112469,2.0255525,-0.28632372,0.58245883,0.2252535,1.1971986,-0.5493497,0.45665445,0.069661985,1.2186884,-0.40919792,0.28388189,0.27837234,0.4425466,-0.072847179,0.14973752,-0.015413316,0.76241433,-0.89959611,0.13184623,-0.044635084,0.27172839,-0.29927515,1.0385319,0.99984118,1.3676446,0.3588173,-0.2969269,-0.31922045,0.011790809,-0.75747887,-13.083348,54.213388,0.25671987,-0.043134572,-0.15990574,0.059926127,-0.12901878,-0.097195563,-0.15870326,0.068412213,-0.12923199,-0.11033862,-0.092696527,-0.12154249,-0.10057193,-0.10485798,-0.0649554,0.088599634,-0.1781425,0.020671204,-0.12378799,0.08420992,-0.19045131,-0.11446511,-0.10967012,0.018521547,-0.15968221,-0.16165988,-0.0890263,0.02762343,-0.31258851,-0.064936867,-0.13455483,0.010011966,-0.17490587,-0.045844171,-0.08314314,0.019994189,-0.2407947,-0.056965949,-0.12261779,0.056018915,-0.26498443,-0.11190179,-0.16588922,-0.0055941595,-0.23269263,-0.15305627,-0.1568865,-0.042752872,-0.40105364,-0.052004717,-0.098560728,0.12070884,-0.34781181,-0.026636278,-0.13738316,0.061143634,-0.29717681,-0.12603988,-0.14351689,0.022623855,-0.43307421,-0.15960026,-0.17029111,-0.011555074,-0.38045738,0.24760824,0.24240727,0.24727933,0.25008861
-19631.717,0.99826191,0.0034377207,10,1023,0,19690.841,-0.073574617,0.005720752,-0.12983201,-0.14845005,-0.083133141,-0.26997017,-0.22736013,0.013059037,-0.25596742,-0.18089547,-0.10493508,-0.34414528,-0.30372874,-0.10635273,-0.10443955,0.21215232,0.23410063,0.13150676,0.014441895,0.12780228,0.10303715,0.30039604,0.1830695,0.21684878,0.31747434,0.16416067,0.19567162,0.68275336,0.8877083,0.20261476,0.55564853,0.41747913,-0.0021396505,-0.44128678,0.59552358,-0.09338823,-0.6875065,-1.2770479,0.28634092,-1.0504199,0.97726152,1.0074756,2.8246095,1.080779,0.47366273,0.26503529,1.7504827,-0.18836385,0.86721645,-0.11202227,1.5867054,-1.3197406,0.7089682,0.45224631,0.91894674,0.35361171,0.38471652,0.69871274,1.4202982,-0.61691842,-0.31800528,-0.52508081,0.096041608,-0.93883222,0.65285584,0.45950718,0.63147701,0.075203143,0.69341683,0.40765698,1.3230564,-1.0117341,-0.12001548,-0.088099595,0.54208656,-0.66251143,0.31363065,0.31483396,0.46255714,-0.11261932,0.30160373,0.17254164,0.50950273,-0.022653985,0.26028265,0.06589891,0.64138783,-0.96109106,-0.040875701,-0.069504117,0.26916045,-0.58543991,-0.81798493,-0.82829138,-0.50688025,-1.4777038,-15.854018,64.940219,0.36119365,-0.074075511,-0.17688013,0.065837829,-0.095436861,-0.084690998,-0.16221968,0.043376518,-0.13241656,-0.1157185,-0.11528215,-0.089039296,-0.11422351,-0.087914873,-0.11457793,0.075265623,-0.17252338,0.0062223706,-0.094675597,0.080356463,-0.21911545,-0.05699893,-0.13411717,0.0060777905,-0.16374661,-0.15693027,-0.099447137,0.032653143,-0.34029908,-0.05590002,-0.1008041,0.033885543,-0.19052558,-0.048702443,-0.11008568,-0.055489674,-0.23209235,-0.067063699,-0.11397423,0.036298348,-0.34698241,-0.12841871,-0.12217367,0.0011358733,-0.23456977,-0.1300129,-0.12919133,-0.028332838,-0.4210365,-0.035992611,-0.1505621,0.14856106,-0.32383887,-0.053615624,-0.093000638,0.02360191,-0.30108396,-0.12715208,-0.14305941,0.045119057,-0.42973838,-0.12933933,-0.13364205,0.00054038732,-0.4047582,0.25161648,0.24814673,0.24692817,0.24840001
-19644.344,0.99663489,0.0034377207,10,1023,0,19683.15,-0.030958101,-0.096726495,-0.09246279,-0.046521377,0.064704534,-0.11691336,-0.21878633,-0.094920072,-0.29606136,-0.18713746,-0.22395731,-0.20031396,-0.096842313,-0.2304619,-0.16067749,-0.14482723,0.10987941,0.13835285,0.017256885,0.25210458,0.15346851,0.055571985,0.19829412,0.24007821,0.28680249,0.31293192,0.1590669,0.18942077,0.12417558,0.3598581,0.17706172,0.18952325,-0.41532342,-1.311375,0.43848333,-0.66659219,-0.14905175,-0.50294983,1.1263496,-0.33539555,-2.0450257,-1.2343149,-0.93624954,-0.83047953,-0.37743748,-0.14984449,0.49310422,-0.49231123,-0.53637732,-1.1489887,0.13680183,-2.0699014,0.2064206,-0.41827421,1.8963526,-0.81865498,0.33052682,0.25734335,1.2736255,-0.66917978,0.20238354,-0.032397652,0.5384794,-0.41090553,0.75583871,0.77395299,0.95867156,0.16246932,0.34437703,0.071766382,0.77939418,-0.39084352,0.53344022,0.56073407,1.3071716,-0.032183242,0.32083856,0.23717787,0.85978999,-0.89457736,0.35896065,-0.2849083,1.5163984,-2.1152157,0.47491546,0.42495247,0.69989476,-0.19900981,0.40251707,0.3275251,1.3730417,-1.4284809,0.055263989,0.15685756,0.63808827,-1.2868173,-21.41743,86.536421,0.56584238,-0.076593592,-0.17505121,0.017222187,-0.10420286,-0.11734823,-0.16631104,0.059107191,-0.14312943,-0.12775356,-0.11376322,-0.10861954,-0.10679428,-0.14167509,-0.08429786,0.077792455,-0.17063529,-0.017612494,-0.11162906,0.085699307,-0.25296015,-0.10544216,-0.14015769,-0.011529283,-0.16240764,-0.1532448,-0.16775666,0.033766132,-0.35148075,-0.046332195,-0.10269804,0.034357095,-0.19356953,-0.079284936,-0.074089715,-0.021111968,-0.24946475,-0.079370896,-0.16467947,0.056759859,-0.30944488,-0.13910462,-0.13476307,-0.016029564,-0.22907659,-0.13954047,-0.15538754,-0.037451873,-0.36976549,-0.052268165,-0.13222097,0.091457341,-0.35950046,-0.059559727,-0.077539316,0.021400897,-0.30207719,-0.089407124,-0.10268533,0.082435635,-0.41360678,-0.13435342,-0.11509907,-0.023894668,-0.38870902,0.24862733,0.25499092,0.24049567,0.24798736
-19649.544,0.99892206,0.0034377207,10,1023,0,19695.284,0.18560707,-0.059271174,-0.12433191,-0.17686621,0.30480411,-0.11806839,-0.08805079,-0.12516,-0.087254387,-0.16384508,-0.16448493,-0.17757047,0.088560071,-0.38507936,-0.065067076,-0.16606296,0.30745328,0.090049621,0.0025008971,0.1133744,0.56842231,0.18800403,0.12509654,0.28652208,0.27542155,0.25572857,0.13653297,0.14430308,0.41610196,0.35826119,0.65705897,0.19003242,-0.90124692,-0.92683429,-0.40117983,-0.97834103,-0.28792524,-0.32412467,1.1634944,-1.042645,-0.94556181,0.60227574,1.4089661,1.1984545,0.90146754,0.35529337,1.884374,0.0028188354,-0.45896177,-0.83053534,-0.38786052,-1.0070158,0.28142972,0.16687962,0.70608303,-0.084475596,-0.26053897,0.081380181,0.69013924,-1.7180378,0.18762031,0.033571742,0.5565122,-0.23154425,0.043676552,0.0073905771,0.37599305,-0.65207348,0.44378281,0.12092986,0.91488477,-0.51555326,0.12418745,0.066483578,0.92077626,-0.54223002,0.36207374,0.18937963,0.86459881,-1.397492,-0.19940101,-0.52911843,-0.11089652,-1.0360138,0.82380903,0.80953083,1.2337856,0.21276662,-0.0021661642,-0.032438531,0.11122506,-0.54242992,0.15885223,0.12525933,0.624902,-1.2277812,-20.621681,84.919397,0.66595491,-0.091484253,-0.099351174,0.062263014,-0.11518709,-0.085198733,-0.088458478,0.045501052,-0.15316096,-0.12669666,-0.12282568,-0.12080823,-0.1213347,-0.074662861,-0.13658503,0.036773573,-0.17654662,0.043919995,-0.16729071,0.084335533,-0.26760617,-0.065158464,-0.086694344,0.01467807,-0.13395014,-0.12064331,-0.077870411,-0.0017167609,-0.30297136,-0.071402642,-0.11554096,0.034293031,-0.19150255,-0.075224923,-0.085218863,0.016302204,-0.26684948,-0.050357138,-0.13291986,0.070117091,-0.29568678,-0.14752925,-0.15540773,-0.038768616,-0.23851721,-0.12532211,-0.1502424,-0.0528062,-0.37923287,0.005588919,-0.13160715,0.042415811,-0.34252731,-0.089940558,-0.095055882,0.056938127,-0.30885334,-0.066490373,-0.086381103,0.0080143505,-0.42147552,-0.13587589,-0.14225963,-0.04731132,-0.39938119,0.2440329,0.24295281,0.2440182,0.24391964
