# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 14:42:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmpdjlZcc/standata-353569f4a1c4.json
# init = 2 (Default)
# random
#   seed = 1156737990
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141542-3-6f15a6.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141542-3-0402c8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00133782
# Diagonal elements of inverse mass matrix:
# 0.00617315, 0.0141525, 0.002469, 0.0268097, 0.0360602, 0.0402682, 0.0169954, 0.00777006, 0.0222481, 0.0223013, 0.00398301, 0.0248791, 0.0164955, 0.0393752, 0.148074, 0.0184495, 0.277948, 0.319579, 0.477351, 0.372847, 0.271812, 0.68774, 0.379892, 0.371837, 0.457905, 0.342901, 0.301876, 0.326674, 0.225605, 0.414654, 0.480782, 0.318968, 0.305225, 0.363663, 0.296584, 0.257498, 0.343627, 0.272075, 0.21006, 0.22288, 0.307677, 0.251691, 0.21323, 0.201489, 0.235052, 0.163608, 0.263149, 0.205752, 0.392387, 0.349939, 0.285057, 0.274576, 0.298342, 0.235027, 0.23292, 0.185655, 0.276624, 0.275524, 0.2106, 0.199904, 0.213502, 0.181032, 0.269214, 0.210949, 0.579797, 0.759744, 0.380293, 0.334751, 0.455153, 0.658189, 0.542675, 0.398787, 0.474289, 0.323679, 0.388529, 0.28561, 0.36181, 0.235809, 0.320748, 0.307931, 0.296623, 0.344577, 0.259773, 0.414251, 0.343784, 0.280388, 0.363355, 0.30832, 0.41298, 0.632978, 0.398991, 0.651179, 0.498447, 0.58645, 0.74427, 0.436371, 50.3316, 830.86, 1.24096
-19637.36,0.99036151,0.0013378168,10,1023,0,19684.196,0.013040803,-0.04636309,-0.11969858,0.062147119,-0.026207188,-0.23698197,-0.22607342,0.14891198,-0.15661414,0.2172164,-0.310472,-0.12803066,-0.085729025,-0.24198383,-0.22831346,-0.19157208,0.24745097,0.082492099,0.015281817,0.36853315,0.16281931,0.26575494,0.10778686,0.57903342,0.13018608,0.46599886,0.28635908,0.26850909,0.12285577,0.29368336,0.1888043,0.70043031,-0.32681741,-0.50111451,0.20770247,-0.53631056,-0.3897985,-1.268093,1.2096004,-1.3751351,1.1279375,-0.38407789,-0.3078383,-0.25185235,-0.44682966,-0.52039645,-0.0011607726,-0.6909702,0.41147212,-0.53829301,0.75179987,-1.3408807,0.54674254,0.46271347,1.1486229,0.31385399,0.96392985,0.71078423,2.1426744,-0.88502141,-0.3126004,-0.46290124,-0.17693733,-0.62130012,0.62888578,0.33143609,1.2247925,-0.79496898,-0.562826,-0.66656979,-0.34163852,-1.1293703,0.58963626,0.54520223,1.0669039,0.27062178,-0.08562828,-0.16930312,0.34850191,-0.9911748,0.71395553,-0.5848845,1.5620066,-2.3557789,0.67363439,0.37295343,1.0237725,-0.17669596,0.51111561,0.48444855,1.3945839,-1.1819852,0.099879742,0.040909022,0.21728738,-0.27837736,-1.5806031,7.1238744,0.131084,-0.067830484,-0.11096047,0.064436982,-0.11966977,-0.078518386,-0.15097074,0.05341939,-0.15980087,-0.10246164,-0.12556799,-0.12440291,-0.12354734,-0.10252443,-0.12963622,0.061719336,-0.19249831,0.040788419,-0.11385169,0.096200348,-0.24452845,-0.091682444,-0.11401359,0.068270225,-0.15357372,-0.12217445,-0.14946022,0.0048787138,-0.32146709,-0.032094099,-0.11912331,0.046459355,-0.21084155,-0.074741973,-0.11346578,0.0028367865,-0.26010804,-0.045059866,-0.093404355,0.058013244,-0.30906885,-0.1416243,-0.15434839,-0.0049543944,-0.23297699,-0.15102263,-0.17349009,-0.03445473,-0.39417011,0.0019845301,-0.15758546,0.1061725,-0.37515005,-0.044148616,-0.13245361,0.058681112,-0.29387649,-0.13181264,-0.1368475,0.034989974,-0.45147735,-0.12161328,-0.16291816,-0.039377409,-0.38655602,0.25250546,0.24817307,0.24228402,0.25019954
-19639.296,0.99798474,0.0013378168,10,1023,0,19683.956,-0.0073710768,-0.043674976,-0.11434639,0.011699338,-0.010841457,-0.22749671,-0.19302887,0.17472615,-0.14878548,0.26051716,-0.28358863,-0.076750525,-0.048085242,-0.21664098,-0.23881206,-0.17825304,0.13607091,0.17524819,0.019096251,0.18584439,0.13055441,0.50578344,0.11102814,0.83245973,0.1333398,0.64394723,0.24182119,0.4520126,0.11527599,0.22934816,0.22798211,0.43744084,-0.29647912,-0.82583465,0.48362409,-0.70030506,-0.18134914,-0.26918199,0.53211484,-0.72940948,1.0086776,-0.31757173,-0.74001257,-0.45257428,-0.64227301,-0.65815109,0.34135194,-1.1016173,0.15958533,-0.83863132,0.99366087,-1.5856536,0.16780939,0.1341155,0.43586043,0.10893916,0.54870039,0.64941931,1.7127911,-1.4208644,-0.26730511,-0.32975649,-0.16171819,-0.43645301,0.7076554,0.62786267,1.0669822,-0.58426886,-0.49053242,-0.5574223,-0.3535582,-0.86645643,0.54012277,0.56432814,1.132598,0.17328278,-0.14078681,-0.15608675,0.072282966,-0.63861456,0.22959364,-0.57678353,1.4009882,-2.8124563,0.65127821,0.25942076,1.0769909,-0.39443007,0.73249358,0.59935098,1.2869023,-0.586809,0.14966236,0.058842389,0.30480465,-0.52554841,-3.8115099,17.655837,0.82708675,-0.047713261,-0.11974315,0.058436094,-0.10266222,-0.075456084,-0.090848632,0.049577187,-0.17150267,-0.095084426,-0.12041082,-0.12847785,-0.12298886,-0.1076635,-0.11061435,0.075137681,-0.19303006,0.0099931131,-0.12032848,0.11888536,-0.21785553,-0.1426215,-0.15966331,-0.0070457167,-0.17239708,-0.13210769,-0.12092506,-0.0028608676,-0.3507848,-0.047794594,-0.099782851,0.040102267,-0.1886034,-0.054426852,-0.065066399,-0.0065142898,-0.22669178,-0.055359832,-0.098433382,0.03284434,-0.29743505,-0.1529755,-0.14712213,-0.0097024246,-0.24168518,-0.14038794,-0.1473037,-0.044077714,-0.36541235,-0.021618607,-0.11457454,0.11341506,-0.37229393,-0.067271521,-0.15714331,0.030364911,-0.30710279,-0.071816627,-0.10217076,0.054578639,-0.37259401,-0.11278461,-0.15251298,-0.04491904,-0.40814938,0.25028436,0.24456181,0.24105605,0.24161007
-19646.164,0.99961309,0.0013378168,10,1023,0,19693.378,-0.047538656,-0.073274818,-0.093389585,-0.010336651,-0.017091619,-0.16560434,-0.20301833,0.1589335,-0.14280135,0.24374552,-0.30704109,0.077737109,-0.046329829,-0.17867181,-0.26172971,-0.17767048,0.16162939,0.1298998,0.014501603,0.1319005,0.14648009,0.34249971,0.12933463,0.88200131,0.11530364,0.78424232,0.18052712,0.62370159,0.10001806,0.23834942,0.34570614,0.28867723,-0.42433202,-0.85675111,0.65308171,-0.265963,-0.10739656,-0.81693511,0.86365769,-0.30117082,0.92832953,-0.025523984,-0.51850624,-0.59667801,-0.53693367,-0.69769988,0.35660652,-1.2096233,0.078283389,-0.68706897,0.49528532,-1.6386568,0.18942373,0.14546896,0.59797845,0.095343647,0.12411482,0.68750861,1.6604787,-1.0772711,-0.21160406,-0.29858244,-0.10958539,-0.41535476,1.0573518,0.41435477,1.4187476,-0.62455377,-0.35806735,-0.49093326,-0.215894,-0.69403693,1.0479799,0.67427422,1.4773875,0.39275095,-0.32533511,-0.32242675,-0.13732005,-0.73056856,0.10202118,-0.69832854,0.93535231,-2.816901,0.37299838,0.37739973,0.74705328,-0.66332854,0.4497193,0.4844464,0.91049747,-0.45144316,0.11110701,0.054404566,0.57377609,-0.72587067,-8.0238736,33.357039,0.39106615,-0.11612318,-0.18601481,0.058018541,-0.090526091,-0.087225609,-0.17939452,0.038914141,-0.11239684,-0.079927319,-0.093759724,-0.10090876,-0.10204237,-0.081158469,-0.10236361,0.036699926,-0.16988657,-0.0056246605,-0.11773355,0.055457821,-0.25712222,-0.10072677,-0.11578127,0.039203104,-0.13294917,-0.18696599,-0.11409966,0.011739063,-0.34234679,-0.027701553,-0.1044166,0.062279043,-0.20740994,-0.020884847,-0.095024743,0.020785406,-0.21481467,-0.037066049,-0.14126512,0.074432315,-0.30054761,-0.11785228,-0.1853163,-0.040332576,-0.23613889,-0.12517492,-0.12336097,-0.007909623,-0.37791966,-0.036125869,-0.1161753,0.047222295,-0.3280708,-0.089767859,-0.0887188,-0.00061209192,-0.33677578,-0.10625899,-0.094253617,0.053034854,-0.41779639,-0.14559641,-0.16196512,-0.01203439,-0.38721281,0.24874215,0.2404745,0.24417493,0.24844081
-19642.009,0.99989356,0.0013378168,10,1023,0,19695.862,-0.021364985,-0.068529622,-0.10552308,-0.051935809,0.029857771,-0.12600434,-0.18309622,0.19647691,-0.16866878,0.15160866,-0.31313141,0.022397018,-0.0059312651,-0.15017435,-0.46642357,-0.13946478,0.1218275,0.14712888,0.014042992,0.084228193,0.18449899,0.26584726,0.12101481,1.2509752,0.11212473,0.61184407,0.16610625,0.58184749,0.1139508,0.23553257,0.50743367,0.3485732,-0.39960576,-0.84675609,0.56241323,-0.8233251,0.17161228,-0.13531374,1.0077631,-0.68825044,1.0008716,-0.047148919,-0.50032461,-0.60119289,-0.79467483,-0.57092141,0.62056533,-1.4558183,-0.080253504,-0.79488682,0.27552963,-1.2089784,0.1071307,-0.0020591633,0.5079081,-0.055879885,0.37849968,0.26262059,1.7282007,-1.2701623,-0.16249789,-0.24014562,-0.11019501,-0.32576896,0.95829376,0.86703712,1.3952279,-0.64450727,-0.40004418,-0.44143361,-0.18304397,-0.77465207,1.1815438,0.87382731,1.5911358,0.36084572,-0.27962975,-0.27921584,-0.062275316,-0.66890448,-0.17485043,-1.111339,1.2854065,-3.1416454,0.47290132,0.10454366,0.94498923,-0.64108084,0.71327519,0.68076901,1.0114991,0.090562146,0.021611478,-0.028108338,0.2257399,-0.70019493,-9.2632126,38.950987,0.53062151,-0.070047958,-0.12452317,0.047152415,-0.12166863,-0.0432805,-0.088438181,0.079741431,-0.16979114,-0.091467851,-0.1061852,-0.11254914,-0.11396563,-0.11886983,-0.10002349,0.00033328638,-0.17455675,0.01505108,-0.11679805,0.080692709,-0.19319752,-0.097523942,-0.12655177,0.0090216317,-0.14085986,-0.13729215,-0.15131524,0.026041657,-0.33680468,-0.0068039111,-0.1039393,0.058625694,-0.21105198,-0.061220352,-0.071452479,-0.012229229,-0.24093399,-0.093156003,-0.11847988,0.039614289,-0.32235762,-0.11686961,-0.16798324,-0.048833816,-0.25319269,-0.14030485,-0.14006402,-0.013837718,-0.36680338,-0.025855612,-0.13256923,0.14054183,-0.36392428,-0.038790686,-0.12555091,0.072401395,-0.30116977,-0.10448372,-0.12097845,0.04684512,-0.42046928,-0.1319316,-0.14926259,-0.060777901,-0.38353397,0.24911914,0.24777753,0.23516204,0.24823455
-19634.852,0.99978843,0.0013378168,10,1023,0,19678.057,-0.0065670199,-0.10494385,-0.098497489,-0.0020371256,-0.0049916161,-0.081792555,-0.20706144,0.20808941,-0.17499069,0.067201943,-0.31405875,0.0085526401,-0.045897467,-0.12945394,-0.528773,-0.14745677,0.21217096,0.13605166,0.021620458,0.16724985,0.17611296,0.20211354,0.11122499,0.86832884,0.089278991,0.58384882,0.15337176,0.46688017,0.098540429,0.24778274,0.71000789,0.29679852,-0.18801292,-0.96306063,0.1954572,-0.41287059,-0.08200664,-0.55498264,1.0463658,-0.14027017,0.51170926,-0.20787392,0.41358708,-0.45369621,-0.68755687,-0.79502636,0.73910314,-1.0907132,0.0086973783,-0.60448959,0.52812876,-1.2515236,-0.052335759,-0.009530765,0.36578736,-0.37188596,0.74574422,0.59597192,1.7650757,-1.0423517,-0.31470074,-0.38640807,-0.2232618,-0.45451341,1.3014118,0.67792402,1.9687798,-0.62494078,-0.18147271,-0.33198749,-0.019812458,-0.62465509,1.0680764,1.1723764,1.7379248,0.4137557,-0.32185382,-0.32571471,-0.040568947,-0.80628637,-0.10551553,-0.82168514,1.2960695,-3.011643,0.31413049,0.24722257,0.67556326,-0.76135794,0.61973256,0.57682474,0.84315348,0.16714341,0.022461909,-0.051853785,0.35887277,-0.81943302,-6.7110418,29.55975,0.26187815,-0.046457903,-0.21090052,0.034903321,-0.09416617,-0.11610098,-0.18045016,0.037415967,-0.12402783,-0.0874341,-0.10299182,-0.089555547,-0.10830661,-0.11703091,-0.13500516,0.12157776,-0.18445874,-0.0034598951,-0.11145006,0.0880187,-0.22540114,-0.09237032,-0.083718851,-0.0078619767,-0.15695574,-0.12411605,-0.14077447,-0.010740917,-0.322997,-0.065174315,-0.12743985,0.014224755,-0.18657769,-0.058801954,-0.11446631,0.00077999008,-0.23078477,-0.038750683,-0.12662856,0.055634463,-0.29750219,-0.150246,-0.13424932,-0.047510175,-0.25060031,-0.14171452,-0.1435171,-0.010388197,-0.36788648,-0.056295013,-0.12686667,0.081817779,-0.34266606,-0.051617827,-0.068196456,0.037938976,-0.3181053,-0.088757988,-0.11922288,0.069872628,-0.41009986,-0.14079011,-0.16284689,-0.040943859,-0.39066327,0.24574255,0.24471267,0.23929852,0.24547121
-19636.402,0.99861261,0.0013378168,10,1023,0,19674.73,-0.046001615,-0.10383375,-0.10768697,0.020828901,-0.00083240559,-0.080038454,-0.16546565,0.19823045,-0.1486606,0.10850361,-0.29599177,0.053356255,-0.030213628,-0.12590527,-0.54590966,-0.16398328,0.19343165,0.077418649,0.02596608,0.16537797,0.14151854,0.11323235,0.17637921,0.52998585,0.13120202,0.577375,0.17339497,0.61433215,0.10922464,0.16264464,1.166279,0.222176,-0.26137851,-0.52128913,0.594319,-0.35307123,0.43623101,-0.27901857,1.2891157,-0.78353456,0.60344508,-0.93139424,-0.14576257,-0.52142531,-0.51548654,-0.55159646,0.11262228,-1.3147034,-0.034816515,-1.001836,0.58139961,-1.580059,-0.29904669,-0.46797313,0.92824136,-0.55307581,0.11659682,0.32110155,0.95249999,-0.65199152,-0.53548893,-0.59310582,-0.29944464,-0.74031556,0.68698099,0.8209628,1.1252275,-0.62196167,-0.32306188,-0.3766698,-0.064044973,-0.74594419,1.0582508,0.68150542,1.71772,0.21536371,-0.2324906,-0.33457107,-0.12726817,-0.69177555,-0.051253353,-0.693634,1.0766657,-2.7785448,0.40492736,-0.052098527,0.96391436,-1.0579608,0.40554947,0.35940368,0.50257595,0.089239106,-0.032045057,0.0056162441,0.63249147,-0.97956914,-6.0170338,27.237659,0.33247019,-0.096560492,-0.14683543,0.068958488,-0.11429677,-0.070061332,-0.12543499,-0.0040321492,-0.16449393,-0.092017864,-0.13187162,-0.11147185,-0.12122634,-0.064421214,-0.070392999,0.039454146,-0.19659408,-0.005759588,-0.14261077,0.081446418,-0.22444005,-0.11390021,-0.13302815,0.025068498,-0.14266453,-0.1449004,-0.10883002,0.0025355421,-0.2804634,-0.085571106,-0.11610724,0.03952903,-0.19412632,-0.058527309,-0.040948625,-0.0010284834,-0.23026323,-0.07802425,-0.10897612,0.071525638,-0.32218592,-0.1124964,-0.17782216,0.0018522365,-0.25864878,-0.089470195,-0.15218151,-0.024828676,-0.37162371,-0.035811757,-0.10597555,0.087384791,-0.33369917,-0.060046004,-0.13437882,0.030870238,-0.29797693,-0.072925819,-0.12674469,0.04023412,-0.44183196,-0.17110293,-0.16273549,-0.023458858,-0.38162004,0.2372612,0.24374543,0.24445506,0.24642308
