# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 16:04:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f673cb6c583.json
# init = 2 (Default)
# random
#   seed = 810026579
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141704-1-3bf9ce.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141704-1-2e3e16.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.0061221
# Diagonal elements of inverse mass matrix:
# 0.0047968, 0.00501661, 0.00993384, 0.0136434, 0.0106838, 0.0216449, 0.0231994, 0.013303, 0.117625, 0.0114154, 0.0248555, 0.0293262, 0.0359365, 0.0702682, 0.0231044, 0.0284179, 0.468988, 0.466943, 0.445947, 0.35406, 0.286889, 0.460777, 0.340263, 0.358038, 0.642052, 0.277238, 0.320128, 0.328989, 0.416042, 0.489658, 0.305832, 0.402078, 0.459896, 0.345419, 0.331043, 0.305532, 0.272125, 0.334305, 0.286993, 0.237027, 0.312381, 0.254985, 0.289569, 0.225291, 0.293469, 0.289872, 0.260539, 0.196732, 0.420719, 0.329376, 0.322184, 0.422119, 0.364854, 0.377198, 0.270874, 0.241922, 0.30778, 0.253683, 0.291917, 0.221811, 0.31665, 0.287932, 0.242708, 0.198575, 0.482224, 0.472499, 0.623907, 0.438739, 0.342774, 0.493718, 0.520879, 0.45952, 0.382121, 0.403991, 0.474267, 0.366572, 0.433731, 0.427436, 0.392202, 0.384382, 0.343567, 0.385121, 0.407396, 0.345536, 0.369693, 0.417337, 0.454995, 0.435123, 0.665185, 0.474409, 0.442806, 0.474211, 0.524736, 0.605196, 0.473619, 0.479858, 0.328507, 5.51379, 0.966664
-19713.258,0.99961383,0.0061220961,10,1023,0,19760.669,0.0018561539,-0.20575562,-0.0581051,0.057684297,-0.16956608,0.043627049,-0.043582974,-0.11945385,-0.24201336,-0.091498645,0.0010902366,0.22151921,-0.2121731,-0.085108858,-0.27558075,-0.0046725247,0.19355444,0.098222488,0.76658804,0.53501186,0.1182144,0.11499189,0.09952843,0.1204052,0.10428994,0.088621491,0.2027032,0.30275701,0.26234602,0.51219613,0.20906035,0.13549551,-0.32049507,-1.0299561,-0.47702478,-0.66777443,0.83998534,0.30411503,1.3539106,0.0055360776,-0.12644514,-0.086816952,0.097490082,-0.19148628,-0.31299121,-0.45784437,-0.024143874,-0.4750626,1.0121456,-0.17499769,1.3593712,-0.37859614,-1.1195406,-1.4983399,0.15157092,-1.5415189,-0.45949515,-0.6871376,0.83100201,-2.1927092,-0.53918864,0.023133235,1.1549138,-1.7486534,1.0411789,1.4318892,1.7063509,-0.30402683,-0.26970067,-0.63199803,1.7123777,-1.6734465,-0.94541737,-0.30987281,0.27879456,-1.4582967,-0.93060021,-1.1393611,-0.55832822,-1.8092344,0.50192758,0.089197145,0.83621194,-0.21285581,0.033851351,0.0019225611,0.36215069,-0.25643759,1.2634098,0.67517512,1.6042681,-0.31129563,-0.62187578,-0.47939784,0.71653869,-2.1802278,-0.0048987546,1.0783896,0.072050768,-0.06017709,-0.19749641,-0.090474111,-0.12739455,-0.12325017,-0.17588469,-0.072771155,-0.20521186,-0.15503643,-0.12465794,0.016629631,-0.20489619,-0.10976971,-0.18726787,0.044767038,-0.19647983,-0.049915891,-0.19025333,-0.0088688233,-0.2143216,-0.085111041,-0.12866989,0.061056476,-0.13363512,-0.089315804,-0.1119727,0.039125352,-0.26181988,-0.18437497,-0.11666849,0.019603769,-0.33000082,-0.13342887,-0.092681721,-0.064058126,-0.2737203,-0.11539992,-0.14750725,0.060254817,-0.23980197,-0.19054889,-0.061721975,0.057602787,-0.29451117,-0.060226529,-0.12343035,0.052481427,-0.32623919,-0.080494397,-0.18877258,0.007203772,-0.26801497,-0.067770327,-0.08412413,0.10038333,-0.2164552,-0.011451851,-0.1344284,0.059808104,-0.34066032,-0.088933902,-0.069628781,0.092415251,-0.3000836,0.25867424,0.24370163,0.23114507,0.25959466
-19703.303,0.98889818,0.0061220961,10,1023,0,19757.677,-0.20876946,-0.020165133,0.013109791,-0.029578227,-0.11325598,-0.10326187,-0.30827183,0.090942325,-0.012597134,-0.24560232,-0.13669076,-0.25554099,-0.069079315,-0.16310975,0.017368104,-0.1870353,0.21084506,0.092356679,0.37477846,0.28492503,0.088393989,0.70332711,0.34282162,0.36668776,0.36041041,0.11650946,0.28839754,0.21870343,0.19659707,0.088882274,0.24251989,0.27349172,0.68574109,-0.14683271,0.6331799,0.45520886,-0.65792515,-1.4914429,0.098330872,-1.8098526,-0.35313727,-0.43956891,-0.070799791,-0.58672144,-0.11216006,-0.54220032,0.25686496,-0.45563625,1.1792077,-0.91432405,1.728952,-0.64402859,0.014801116,-0.058201326,0.22920893,-0.092862225,0.71357259,0.62070878,1.2829162,-0.026789943,-0.77552477,-0.54443997,-0.25764928,-0.91481217,-0.40073497,-0.2182328,-0.15306019,-0.76323116,1.3474563,1.1093413,2.5214698,-0.12380503,-0.12390793,0.19822913,0.7299149,-0.44549162,0.96464833,0.74821463,1.3780916,-0.30985585,0.019479051,-0.76426269,0.42245347,-1.1181801,1.4584901,0.70955007,2.328825,-1.0439261,-0.3461946,-0.51404777,0.30133553,-1.4628223,0.50314451,0.39374714,0.97514235,-0.50226283,-0.054194811,1.3322511,0.065176975,-0.064184336,-0.23972841,-0.075266603,-0.11279092,-0.080928916,-0.15790984,-0.01108362,-0.18731711,-0.11923845,-0.15163117,-0.013424445,-0.20678077,-0.061535436,-0.18406467,0.043609028,-0.1594004,-0.0090211052,-0.19407673,0.039572987,-0.17018424,-0.092851842,-0.14419644,0.057946984,-0.16857439,-0.063643719,-0.09547944,0.13153959,-0.317456,-0.19343312,-0.10869715,-0.0035345136,-0.2445081,-0.15702619,-0.091250506,-0.06776162,-0.28767359,-0.088610913,-0.11635356,0.048172763,-0.26002677,-0.1724255,-0.079521968,0.073814902,-0.26516945,-0.044569097,-0.091903889,0.045852365,-0.32330753,-0.065249791,-0.21933112,0.013973799,-0.28891024,-0.033475836,-0.10004333,0.04388151,-0.25589628,-0.066590973,-0.10729871,0.090447965,-0.33739541,-0.04942944,-0.079348716,0.079658062,-0.32440002,0.25266647,0.23569647,0.2306799,0.2612066
-19709.331,0.98069689,0.0061220961,10,1023,0,19761.679,-0.1046129,-0.31031123,-0.067851829,-0.27441812,-0.097795834,0.098060055,-0.17770439,-0.14404501,-0.23124122,-0.021527929,-0.39612354,-0.30373309,-0.080530239,-0.087245245,-0.12515704,-0.0788429,0.10601829,0.13527796,0.12213653,0.24626544,0.26220978,0.15820213,0.10661471,0.089500831,0.080948532,0.15630184,0.50230388,0.24520742,0.14901258,0.30786059,0.20594386,0.15046753,0.58480418,-0.94436729,0.19644676,-0.12724734,1.3028949,0.88196184,1.8549109,1.1049903,-0.34230258,-0.57567682,0.45757212,-1.2173545,0.69975809,0.30947604,1.2006073,0.43006787,0.34698806,-0.42054566,0.51453693,-0.20240708,-1.1235206,-1.5246625,-0.042550729,-1.5660082,0.58420741,0.61808667,2.3819964,-1.293531,-0.39536046,0.42024478,1.5255624,-1.370563,1.5013646,1.9349848,2.007131,-1.1763287,-0.41176791,-0.62137011,-0.015279812,-1.674173,0.4077733,0.69272386,0.88845296,0.25613868,1.1279659,0.87795432,1.4883425,-0.24750141,0.084170615,-0.84474073,0.78879948,-1.5410042,0.096428959,0.063001508,0.36422223,-0.34726074,0.36225667,-0.035852913,0.94483351,-0.96218525,-0.13619129,-0.088348618,1.1687713,-1.4666214,-0.094846002,1.6809397,0.036539965,-0.042612966,-0.20473311,-0.083785955,-0.11810345,-0.13405826,-0.19100123,-0.059382677,-0.16083041,-0.10965948,-0.138163,-0.011965557,-0.21653528,-0.10209188,-0.19820486,0.021249963,-0.16850726,-0.006812172,-0.20806702,0.037120779,-0.15086895,-0.079683291,-0.1431448,0.091328439,-0.14968578,-0.11541929,-0.11180726,0.076251462,-0.31561382,-0.1794301,-0.10643275,-0.007505904,-0.26671153,-0.10970796,-0.074607041,-0.068766909,-0.3264633,-0.08588801,-0.11864922,-0.023916192,-0.28320425,-0.19129743,-0.048165658,0.050149831,-0.26746409,-0.027147488,-0.088452179,0.061219531,-0.36442227,-0.067987759,-0.20640724,0.037010806,-0.31015925,-0.057558569,-0.067849563,0.024884426,-0.19415314,-0.050552508,-0.13254073,0.069425614,-0.32331319,-0.099335267,-0.092136498,0.097019235,-0.29952181,0.26188465,0.24486394,0.23111574,0.25786956
-19706.266,0.97716219,0.0061220961,10,1023,0,19756.381,-0.12407735,-0.15085071,0.0042705756,-0.39277957,-0.066191613,0.0016079431,-0.093663209,-0.037312692,-0.18155599,-0.10906321,-0.22381941,-0.20204306,0.092796145,-0.12059165,-0.06067927,-0.094833772,0.029038485,0.11623713,0.25044092,0.44826188,0.19871965,0.23103132,0.18144732,0.12769287,0.16786111,0.13628231,0.27565928,0.25405034,0.24077699,0.088840666,0.13494711,0.15957187,1.0068924,-2.3882216,0.90196496,0.42042831,0.5294896,-0.30381169,1.253568,-0.29373687,-0.43115191,-0.58950308,0.048887557,-0.77353196,0.75871232,0.4274895,0.76720356,0.43782704,0.19756168,-0.90594519,0.40514146,-0.69449242,-0.41518366,-0.60277005,0.19153278,-0.70785782,-0.10502458,-0.11984537,0.89228522,-1.183955,-0.66779369,-0.72342725,0.29551819,-1.7805151,0.59190968,0.49540007,0.89396545,-0.6579288,0.1344862,-0.075347207,0.8505131,-1.559038,0.058068124,0.53959036,1.0079188,-0.28027065,0.62992085,0.56604499,1.0300027,-0.67871901,-0.61346947,-1.3367468,-0.15717733,-1.5985268,0.81346773,0.17660265,1.3252296,-1.1665471,0.23037958,-0.39310506,1.1508311,-1.9597242,0.14305461,0.17324004,1.2933763,-1.3996639,-0.26413044,2.3448436,0.0075296212,-0.094838717,-0.19342769,-0.097885652,-0.11186875,-0.089304361,-0.18616491,-0.0051395655,-0.18499384,-0.10370751,-0.14336512,0.016514021,-0.18945348,-0.052677759,-0.20115232,-0.048871461,-0.1965184,-0.026932226,-0.24622072,0.014317954,-0.2042009,-0.094312484,-0.13765082,0.045858014,-0.16192938,-0.11271964,-0.11540883,0.068239553,-0.30848867,-0.12258518,-0.12968919,0.00042287295,-0.26467178,-0.082197379,-0.098397589,-0.031493963,-0.29199665,-0.090735118,-0.1193317,0.0068466819,-0.32153251,-0.20781239,-0.075076322,0.054022771,-0.30107862,-0.042011454,-0.058239138,0.059629476,-0.37447186,-0.054913188,-0.22906173,0.05495146,-0.29209233,-0.048322631,-0.10490215,-0.0028573642,-0.22422846,-0.029590213,-0.11372766,0.094622056,-0.32513838,-0.07200628,-0.067189534,0.11155272,-0.31818076,0.24696612,0.24649022,0.23244967,0.26319319
-19705.417,0.99573911,0.0061220961,10,1023,0,19756.084,-0.1551721,-0.13005514,-0.23174624,-0.04572142,-0.10861622,-0.1011508,-0.1315047,-0.22149715,-0.095971127,0.089959834,-0.11171551,-0.048987197,-0.30834118,-0.079754696,-0.035806001,-0.10852824,0.046893176,0.075525607,0.35945016,0.085837083,0.1298872,0.073510428,0.17757942,0.21104467,0.20195187,0.22132301,0.16927634,0.34500061,0.32361999,0.099420182,0.52372552,0.27421637,0.78646481,-0.77881539,0.087188449,0.055919652,0.33270913,-0.26778071,0.93629717,-0.69265816,0.34885531,0.19099954,0.64854873,0.053205441,-0.40513289,-1.9804852,0.79316448,-1.4818366,0.53853292,-0.62198342,0.89777765,-0.77499507,0.31561687,-0.91563582,2.7940786,-0.91100145,0.22015345,0.29381609,1.1354837,-0.68909205,0.2920007,0.54874852,1.0410086,-0.28810598,-0.32399165,0.018176335,0.11385069,-1.1344733,-0.71575776,-0.92187042,-0.24855485,-1.6505896,-0.43206028,0.13315705,0.67285957,-0.93372561,-0.029776849,-0.084897996,0.22917569,-0.86541668,0.82187972,0.37196119,0.94582428,0.038164726,0.12934467,-0.23756884,0.90421736,-1.5553228,-0.045343972,-0.23312546,0.25594177,-0.51923198,0.28492428,0.16972905,0.89191195,-0.76472723,-0.006983426,1.268891,0.019569273,-0.11829227,-0.19169323,-0.15108356,-0.15254985,-0.10492708,-0.15027944,-0.059340727,-0.18236857,-0.10635014,-0.16309142,0.0013747059,-0.21262154,-0.080496845,-0.21572049,0.022361505,-0.17291795,-0.038667681,-0.1894039,0.0079936127,-0.20927816,-0.077949666,-0.16845958,0.10424312,-0.1681189,-0.092409982,-0.079329014,0.070133826,-0.25387327,-0.15987195,-0.1056867,-0.0017978232,-0.28230038,-0.16140185,-0.092300382,-0.072978767,-0.32508013,-0.068453827,-0.1140713,0.034948927,-0.27535361,-0.1848531,-0.089175177,0.0021836909,-0.26977317,-0.059260227,-0.078277057,0.030078557,-0.34755648,-0.042364473,-0.1879671,-0.0022535347,-0.29599031,-0.066895225,-0.10337383,0.010142758,-0.23438518,-0.059553797,-0.15789975,0.098237232,-0.30774104,-0.030397341,-0.06198576,0.13604861,-0.31822897,0.24431115,0.24739934,0.21851421,0.2541289
-19704.225,0.55611653,0.0061220961,10,1023,0,19745.64,-0.14613542,-0.090034212,-0.085587287,-0.10266399,0.051736089,0.091332559,0.072032817,-0.47602818,-0.10157544,-0.12061694,-0.10829237,0.15587271,-0.22523716,-0.025743986,-0.095556953,-0.14814938,0.035668445,0.14395396,0.10490145,0.94518562,0.21195663,0.33886977,0.20522495,0.54848436,0.12668335,0.23769711,0.4258854,0.3798412,0.20756385,0.3361979,0.14882099,0.23328409,0.1218943,-2.6056987,0.62813124,0.36202501,-0.36077193,-0.64723034,0.4354755,-0.44583551,-0.44530926,-0.46644951,0.64590077,-1.1420187,-0.0056284838,-0.14986622,0.08536494,-0.092004312,-0.23943047,-0.92086315,-0.17495572,-1.0059075,-0.71138628,-0.62527628,0.03356325,-0.74600849,-0.58300641,-1.0011441,0.16116098,-1.7714404,0.53380173,0.64195253,0.91412863,0.37583209,-0.40603851,0.082736151,0.47355412,-1.8109093,0.14293796,-0.013478262,0.69394258,-0.73782811,-0.22913534,-0.0092591182,0.42872022,-0.3345057,-0.56532951,-0.65696964,-0.24177461,-1.2925408,0.83457949,0.0060680358,0.9854059,-0.35407244,-0.16400477,-0.22849961,0.26152108,-0.55542139,0.5395027,-0.023859472,1.3121166,-1.5779553,0.23351855,0.40426659,1.1482404,-0.6027082,-0.21122678,2.1536151,0.01131982,-0.14178764,-0.23907664,-0.12373095,-0.13322255,-0.14196876,-0.18320558,-0.027345792,-0.154214,-0.13230087,-0.13451851,-0.017831363,-0.2053867,-0.10798395,-0.24431539,-0.021978277,-0.18962514,0.00098721361,-0.14344696,0.014653064,-0.16147268,-0.14973475,-0.12055467,0.10270613,-0.16146717,-0.047614643,-0.13342692,0.10510707,-0.29151095,-0.18324628,-0.12392726,0.025357071,-0.26989016,-0.15301376,-0.091094146,-0.041584015,-0.33098751,-0.086641004,-0.12382069,0.044331202,-0.29599655,-0.20587777,-0.11223569,0.07429331,-0.25075346,-0.058862727,-0.093671424,0.064036754,-0.33508753,-0.052008626,-0.22397765,-0.020702514,-0.29872979,-0.080882044,-0.10256507,0.062178852,-0.21247549,-0.015267626,-0.099107743,0.099713535,-0.33038982,-0.093673215,-0.053840415,0.11971684,-0.28875161,0.24836792,0.23934508,0.22409383,0.25663818
