# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 16:05:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f673cb6c583.json
# init = 2 (Default)
# random
#   seed = 810026579
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141704-3-3bf9ce.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141704-3-2e3e16.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00590742
# Diagonal elements of inverse mass matrix:
# 0.00394036, 0.00890077, 0.00729452, 0.0117084, 0.0114794, 0.0139234, 0.0185764, 0.0249886, 0.0100517, 0.0178252, 0.0202886, 0.235439, 0.0458143, 0.0412985, 0.0368099, 0.0357798, 0.373968, 0.437962, 0.356916, 0.327969, 0.386389, 0.331216, 0.321943, 0.363935, 0.273779, 0.361168, 0.359118, 0.564059, 0.371423, 0.374982, 0.371711, 0.336739, 0.325721, 0.307777, 0.308978, 0.250934, 0.353925, 0.305319, 0.254282, 0.230682, 0.234548, 0.26078, 0.246488, 0.309557, 0.331912, 0.22983, 0.266074, 0.231261, 0.463486, 0.309353, 0.296312, 0.351517, 0.372307, 0.325036, 0.253201, 0.237677, 0.26934, 0.24272, 0.255934, 0.294536, 0.325225, 0.222805, 0.239387, 0.225357, 0.327545, 0.503909, 0.503273, 0.444548, 0.507933, 0.61713, 0.441948, 0.361074, 0.341499, 0.39148, 0.470694, 0.495009, 0.441601, 0.381777, 0.383537, 0.374985, 0.287881, 0.377132, 0.436373, 0.302795, 0.380589, 0.353491, 0.488546, 0.457545, 0.440883, 0.492472, 0.392882, 0.54546, 0.468503, 0.425866, 0.480919, 0.463486, 0.313972, 5.24878, 0.851848
-19699.588,0.95815216,0.00590742,10,1023,0,19748.597,-0.13886976,-0.084137889,-0.2288164,-0.0071080114,0.0083238908,-0.042577512,-0.18227989,-0.056256543,-0.16285866,0.11588095,-0.22561863,-0.15725025,-0.10515515,-0.16177067,-0.14408499,0.082539441,0.14385049,0.11703787,0.11582119,0.23704191,0.2900504,0.12853244,0.12551852,0.19563929,0.20214376,0.35410774,0.19799172,0.19274474,0.2007327,0.23501805,0.27603709,1.578272,0.26611497,-0.83752033,0.31541319,-0.016975864,-0.38710655,-0.31076071,0.4837472,-0.65330783,-0.22703545,0.80931945,1.584205,0.39116328,-0.4758005,-0.68953116,0.13638545,-0.71605716,-0.1861317,-0.62357234,0.2006973,-0.62873926,-0.49422515,-0.82771657,0.74415229,-0.88153737,0.4715686,0.54247252,1.9922287,-0.56235218,-0.6502172,-0.28941607,0.31012849,-1.2531496,0.2519641,0.39457953,0.67596338,-0.71452144,-0.55575966,-0.67650318,-0.27638383,-1.0951726,0.23109895,0.76769744,1.3639346,-0.10830267,0.56968773,0.44790455,1.2517229,-0.86943848,0.24403333,-0.40001392,0.66234347,-1.0836188,0.49714388,0.34340193,0.84800963,-0.3294611,0.37437429,0.11163824,0.7260163,-0.60138556,-0.09603162,-0.11991806,0.0061848244,-0.24389885,-0.94064401,4.9462437,0.11064333,-0.10058899,-0.25934747,-0.093497418,-0.14131175,-0.12944401,-0.12050866,-0.027521148,-0.16059964,-0.25511191,-0.13508005,-0.045331889,-0.1835114,-0.11989267,-0.1705558,0.025221057,-0.17684357,-0.045663684,-0.17254352,0.066536224,-0.17404219,-0.10610148,-0.14896594,0.053070199,-0.15588366,-0.1230893,-0.11418955,0.067781705,-0.25286551,-0.18346458,-0.1128777,0.004416775,-0.30142185,-0.11192569,-0.083096872,-0.026216884,-0.30729471,-0.08091785,-0.12367406,0.018011292,-0.27192815,-0.17986295,-0.073620894,0.044429125,-0.24706166,-0.047445942,-0.070919008,0.08401274,-0.32482994,-0.056169683,-0.18545103,0.027798841,-0.32267288,-0.044932886,-0.081065019,0.037526901,-0.23919998,-0.040743798,-0.11326869,0.056322437,-0.31008971,-0.069024574,-0.10672387,0.092300776,-0.30239929,0.25336074,0.22943695,0.22977374,0.25435438
-19712.03,0.99738966,0.00590742,10,1023,0,19751.038,-0.14080705,-0.072923997,-0.1440878,-0.0078393026,-0.092206386,-0.012969429,-0.11931089,-0.068329343,0.010225295,0.28673452,-0.11928681,-0.41772399,-0.16067171,0.00088006658,-0.070193917,-0.37048646,0.09583094,0.040911314,0.038800654,0.13942387,0.079985507,0.095374506,0.14296326,0.76248351,1.7879772,0.68821831,0.22984722,0.64277621,0.14032003,0.13677988,0.27375563,0.37052692,0.61181371,-0.90403076,0.86961841,0.078226753,-0.56899404,-2.1274904,1.3748994,-2.3121121,1.8065178,0.14801611,2.744631,-1.941475,-0.69880297,-1.1194653,0.20655358,-1.1804894,0.92035364,-0.87947003,1.3581004,-1.100579,-0.75769141,-1.4551921,0.7885562,-1.3550397,0.58408081,-0.053253605,1.0475886,-1.2261236,-0.14524107,-0.069067242,0.10121068,-0.30651437,-0.078816471,-0.064118381,-0.045780237,-0.16087628,-0.54481212,-0.65444891,-0.35971754,-0.82962027,-0.15410419,0.30596875,0.94882063,-0.77225078,0.60677823,0.46225005,0.74976697,0.094441625,0.74015372,-0.23859587,1.4645124,-1.1693221,-0.047496058,-0.71285868,0.69772972,-1.7208722,-0.010564694,-0.14460609,0.48233645,-0.94548019,0.73405765,0.77026375,1.2583359,0.18066821,-0.59288157,3.7479485,0.060773662,-0.082176364,-0.22744116,-0.057470696,-0.1333105,-0.096202291,-0.15996243,-0.016675054,-0.16751554,-0.073993733,-0.13834468,-0.037594328,-0.21941831,-0.10526912,-0.16391949,0.020959197,-0.17242771,-0.018591433,-0.16255124,0.016421961,-0.18023675,-0.085233873,-0.15175766,0.062238729,-0.14220568,-0.035808786,-0.12692419,0.030455795,-0.29460151,-0.17907326,-0.12099198,0.0088421295,-0.3020415,-0.13069676,-0.10441691,-0.071628727,-0.27741784,-0.088215155,-0.1636692,0.039170323,-0.28422534,-0.15470723,-0.048960742,0.098796971,-0.2967865,-0.027701386,-0.12060066,0.064208376,-0.35701916,-0.056813311,-0.19415148,0.044828725,-0.32475102,-0.0056164386,-0.096624659,0.096315455,-0.23450063,-0.073086061,-0.10978065,0.061848403,-0.32902444,-0.098498339,-0.085083004,0.095760881,-0.30354402,0.25251307,0.23730359,0.23527219,0.255157
-19708.708,0.98124165,0.00590742,10,1023,0,19752.379,-0.25575151,-0.37112934,-0.057906497,-0.20671406,-0.2324667,-0.15826625,-0.093315638,-0.22277532,-0.048789534,-0.17868178,-0.1298145,0.01103231,-0.01227231,-0.11552691,-0.098495236,0.089860077,1.0179154,0.16395033,0.054065442,0.12979986,0.85881912,0.15064804,0.14220963,0.50800466,0.15765911,0.097371789,0.16233609,0.38759271,0.30358931,0.093179728,0.16074026,0.25797902,0.21858182,-0.0030608228,0.13611736,0.11094659,1.5474477,1.2749348,1.9083592,1.0647552,-1.5403682,-0.92093756,1.5908882,-2.5357279,1.3057658,0.19239985,1.8460478,0.22773961,0.20137335,-0.01715241,0.2843145,0.029437687,0.38234477,0.035665622,1.7806833,0.16093086,0.3519985,-0.20128576,1.1051692,-1.6315774,0.10974623,0.21952194,0.4291502,-0.13184548,-0.40663152,-0.29690677,0.024044661,-1.7154048,0.97180135,0.59671099,1.5821747,-0.96452965,-0.51840965,0.4009028,1.2626609,-0.74390532,-0.11305912,-0.28192522,0.17072721,-0.98531376,-0.16378048,-0.59472974,0.22961409,-1.0580097,0.8529373,0.4389488,1.6756795,-1.0235531,0.64115837,-0.082597059,1.0301112,-1.4776893,-0.58023372,-0.58449811,0.1016426,-1.4872969,0.040811506,1.1553688,0.04430153,-0.033253713,-0.25886717,-0.11719556,-0.14281727,-0.11742477,-0.16210335,-0.058253209,-0.19656237,-0.14118718,-0.10769739,0.028105579,-0.19500175,-0.037225842,-0.18174059,0.032902685,-0.17715349,-0.059523425,-0.24719752,0.011708026,-0.20718506,-0.10066676,-0.15289329,0.10999019,-0.13402233,-0.043258062,-0.12194041,0.063850062,-0.32534165,-0.16702372,-0.11125715,-0.0047650186,-0.28975344,-0.1128987,-0.095599592,-0.044998674,-0.31923873,-0.084055748,-0.12057897,-0.024622607,-0.27259976,-0.2139711,-0.064733512,0.075160932,-0.25057718,-0.032788579,-0.098239848,0.077204932,-0.37086812,-0.061994314,-0.1928259,0.057436073,-0.33347275,-0.036050443,-0.07462578,0.040612453,-0.21090131,0.0045647293,-0.11177191,0.067085103,-0.3360194,-0.059828047,-0.060928171,0.11608174,-0.29383132,0.25973225,0.23290632,0.22332767,0.25492295
-19705.398,0.96730851,0.00590742,10,1023,0,19755.724,-0.2163367,-0.19197153,-0.11146181,-0.13694437,-0.19459539,-0.14066208,-0.04947926,-0.345164,-0.13551478,-0.25301276,-0.075809973,-0.12258344,0.013855316,-0.20033563,-0.15248151,0.16486629,0.085663304,0.325311,0.096597255,0.075470492,0.13670349,0.10329486,0.21867739,0.32810266,0.37771415,0.1203867,0.15989454,0.12113323,0.232419,0.50370174,0.2680102,0.42972806,1.5247593,0.15801573,1.4244268,1.0746224,0.23503906,0.12812515,0.45370039,0.090577594,-0.026509536,-0.21249209,0.76627197,-0.7724445,1.0231121,-0.42524796,1.5671109,-0.17409471,1.108604,0.061030516,1.5902326,-0.11680616,0.37384741,-0.20509641,1.6790936,-0.19451209,-0.091479158,-0.42663787,0.61624868,-1.0077444,0.50668045,0.69167942,0.98682875,0.095611214,0.08726437,0.25491476,0.27070156,-0.48286049,1.4426075,1.239999,1.9959992,-0.23875338,-0.89168996,0.0664869,0.54530514,-1.355146,0.45555573,0.10918264,1.0891427,-2.0495768,-0.30752847,-0.86357658,0.17589417,-1.447782,0.24412799,0.21404158,0.55389794,-0.017745123,0.47525762,0.15240792,0.67019493,-0.70300357,-0.62052834,-0.54663849,-0.15146125,-1.1989914,-0.39249865,2.8154306,0.01103509,-0.085720779,-0.20280055,-0.09431559,-0.12428099,-0.11551074,-0.15029101,-0.044377803,-0.16250564,-0.11402256,-0.13198796,-0.037442043,-0.18607783,-0.059729597,-0.16903805,-0.018673743,-0.15008339,-0.043045352,-0.1862523,0.022794968,-0.2105632,-0.10204556,-0.16184749,0.032779663,-0.16075418,-0.069483683,-0.14277532,0.085280391,-0.26985016,-0.1789208,-0.11822215,-0.021382869,-0.31379371,-0.1025538,-0.039229871,-0.033266974,-0.31789802,-0.079342006,-0.10373337,-0.012721,-0.28175549,-0.21838633,-0.065179081,0.011381343,-0.29249042,-0.067400498,-0.10935779,0.0093479452,-0.3708553,-0.057620146,-0.18685629,0.054736463,-0.32263673,-0.077367942,-0.092522519,0.078663722,-0.20927388,-0.025107616,-0.11163463,0.027137573,-0.34089364,-0.10179215,-0.070039608,0.099779143,-0.35037396,0.25120648,0.24212754,0.23444971,0.25633084
-19708.486,0.80249848,0.00590742,10,1023,0,19755.422,0.06608131,-0.084778239,-0.17140879,-0.20702166,0.19390549,-0.12134919,-0.18328021,-0.12523225,0.094449491,-0.0064925166,-0.16867225,0.058255676,-0.15650722,-0.045455887,-0.062983153,-0.2235717,0.27872619,0.07700999,0.18383766,0.17859559,0.77745041,0.10172812,0.21410101,0.17904174,0.17537368,0.16043343,0.21710116,0.23177553,0.16925399,0.053302004,0.214444,0.36666861,-0.46320299,-1.0738919,-0.53528148,-0.64046973,-0.61595635,-0.89005496,0.87374934,-1.1670057,0.13432198,0.30357099,0.89545586,0.072940125,0.65840142,-0.091854407,0.94477205,0.062220399,-0.30904638,-0.51609681,-0.20689246,-0.47308026,0.65932959,-0.39294158,1.5892815,-0.60267378,0.53438503,0.45798714,1.1415382,-0.57636866,-0.18418687,-0.0534697,0.70246724,-1.0309324,-1.2580184,-1.0259703,-0.68554605,-2.2867714,-0.71054351,-0.68313106,0.29985587,-1.5774594,-0.15594545,0.37747047,1.3333611,-0.44621876,-0.36951648,-0.5079584,0.12282263,-1.7210437,0.607593,-0.26131639,1.2223719,-0.82196173,0.26594002,-0.73783317,1.2633421,-3.2274259,0.047313376,-0.35972782,0.79550675,-1.2350481,0.37157512,0.31174774,0.8224061,-0.21775968,0.19853876,0.45440271,0.030377562,-0.063025494,-0.23324049,-0.083115657,-0.11243438,-0.13221303,-0.15332136,-0.017490811,-0.17464933,-0.14671535,-0.11560101,-0.006790282,-0.15799965,-0.08943407,-0.22342646,-0.038289539,-0.19590937,-0.046362741,-0.20733419,0.033056863,-0.17389095,-0.054276833,-0.1613224,0.040325422,-0.18265806,-0.068867838,-0.085224704,0.061124273,-0.30668133,-0.15820938,-0.13480555,0.00053870902,-0.30981218,-0.12617383,-0.085478695,-0.025777243,-0.30659002,-0.12048745,-0.11608957,0.041614388,-0.25956973,-0.20252819,-0.086722975,0.12080198,-0.26554687,-0.027389201,-0.05947665,0.086722956,-0.34064013,-0.053669676,-0.20073606,0.050384103,-0.29562752,-0.031280751,-0.084783874,0.021882777,-0.21748416,-0.052837083,-0.14012463,0.1076085,-0.32783181,-0.087326768,-0.10926359,0.077978799,-0.30341734,0.25537072,0.23994457,0.23556819,0.26372836
-19694.491,0.9898634,0.00590742,9,993,1,19750.639,0.079082373,0.035697631,-0.11583252,-0.14805577,0.22017944,-0.056018521,-0.15637928,-0.32919319,0.0096105684,0.0041982789,-0.17640222,0.15857979,-0.12187724,0.011807178,-0.27668463,-0.050498828,0.16306927,0.24537546,0.17166761,0.14312968,0.93299668,0.13950044,0.19551574,0.39152643,0.22665131,0.15189013,0.17124416,0.59267165,0.19140105,0.20869657,0.3675256,0.18595296,-0.83731554,-1.7069832,-0.97275492,-1.2270879,-0.70023556,-0.91279283,-0.28599265,-0.88481564,0.16049503,-0.17645082,0.46027551,-0.42209693,0.49656483,-0.5113905,0.9020624,-0.42577668,-0.29014825,-0.43384002,-0.22515762,-0.43736125,-0.33306123,-0.49216133,0.62467272,-0.7465919,0.31121024,0.10825403,1.2395478,-0.54583838,0.39610791,0.65596468,0.80674352,-0.024435753,-0.62369009,-0.48711915,-0.22180531,-1.3877832,-0.64362416,-0.72351679,0.39175746,-1.8492394,-0.19628218,0.64738084,1.3518717,-0.6877052,-0.42069788,-0.42095821,-0.23029439,-0.91037758,0.34119688,-0.34717395,0.90418417,-0.91583783,-0.37295638,-0.47194365,0.31941821,-1.1836632,0.59730872,0.42381104,0.998469,-0.080531289,-0.10802556,-0.24058488,0.73738911,-1.4161583,-0.48783409,3.167924,0.012598855,-0.057458058,-0.19927413,-0.079544059,-0.12101795,-0.13612299,-0.18827933,-0.034477947,-0.18141441,-0.088280725,-0.14612341,-0.036818126,-0.18829289,-0.076982604,-0.22125093,-0.018943867,-0.20899705,-0.050527921,-0.18459186,0.010108122,-0.18787716,-0.10248071,-0.12467524,0.0311236,-0.16016842,-0.095532776,-0.13521391,0.085971837,-0.26309927,-0.17410648,-0.072365687,-0.013331785,-0.33876044,-0.13174961,-0.10079563,-0.040661897,-0.30493231,-0.093561879,-0.10569678,0.063702371,-0.27668294,-0.2100144,-0.065542034,0.055097922,-0.29416772,-0.090755918,-0.090910207,0.022090836,-0.38097519,-0.056571803,-0.1883267,0.051184554,-0.29716956,-0.066027539,-0.086685842,0.078468662,-0.23521926,-0.057158383,-0.12092322,0.090278289,-0.30628194,-0.070586499,-0.095236298,0.086620856,-0.31383765,0.25900091,0.24589537,0.23665308,0.26186393
