# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 16:17:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f671eb4b0aa.json
# init = 2 (Default)
# random
#   seed = 1274231231
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141717-1-451a8c.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141717-1-94cde6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00188237
# Diagonal elements of inverse mass matrix:
# 0.00626034, 0.00863974, 0.00509407, 0.00746571, 0.0106464, 0.0166754, 0.0618924, 0.0134095, 0.0150782, 0.016952, 0.0219621, 0.0199787, 0.0242442, 0.0191158, 0.0913951, 0.0296539, 0.451448, 0.501474, 0.271634, 0.290335, 0.374513, 0.414926, 0.412934, 0.342665, 0.345938, 0.395118, 0.324063, 0.26366, 0.364738, 0.329056, 0.46283, 0.329003, 0.420983, 0.279369, 0.27951, 0.273618, 0.317614, 0.253905, 0.261657, 0.273196, 0.226878, 0.26814, 0.339036, 0.218844, 0.249906, 0.24567, 0.270347, 0.250796, 0.509862, 0.336333, 0.298081, 0.344416, 0.401652, 0.303662, 0.249154, 0.252366, 0.251601, 0.261009, 0.291375, 0.208861, 0.259369, 0.254109, 0.268409, 0.255561, 0.374481, 0.519459, 0.462107, 0.394256, 0.433506, 0.43261, 0.463768, 0.470917, 0.299977, 0.49465, 0.427023, 0.320541, 0.374073, 0.343452, 0.384465, 0.414348, 0.307948, 0.340226, 0.385446, 0.331231, 0.414317, 0.311882, 0.479159, 0.479501, 0.434813, 0.480923, 0.475506, 0.47239, 0.417743, 0.520773, 0.501801, 0.515522, 21.2087, 347.747, 0.878684
-19699.764,0.99498043,0.0018823655,10,1023,0,19742.994,-0.19097389,-0.10279108,0.0091666164,-0.090287496,-0.14611226,-0.17399032,-0.50180501,-0.093806633,-0.41575644,-0.29491352,-0.24691194,-0.054863175,0.039187101,-0.26687709,0.00040511335,0.023440041,0.076888168,0.071105138,0.16617743,0.22477367,0.10795599,0.13726318,0.4813111,0.084036149,0.24002002,0.22473331,0.34045742,0.35625751,0.48514602,0.23225504,0.3350775,0.18727555,1.1926507,-0.60637951,0.77216518,0.80007125,-0.13704772,-0.97003444,0.8074369,-1.2643664,-0.76910502,-1.0141602,0.28466301,-1.1847249,0.10569785,-0.35349257,0.3518043,-0.24809849,0.89985464,-0.12853228,1.5799517,-0.37235907,0.59786402,0.26321095,1.6413464,0.061597217,0.88594144,0.78265403,1.1314914,0.43585148,-0.89061931,-0.31882312,1.1555923,-2.6853545,1.280552,1.3440766,1.6002364,0.47267015,0.96162946,0.79357063,1.3509197,0.11436723,0.33013903,0.56022856,0.83851701,-0.11474526,0.040095368,-0.14244826,0.28521443,-0.71515569,-0.2071251,-0.50730309,-0.01565452,-0.62450408,0.87297694,0.71809416,1.3195964,0.17956954,-0.15315542,-0.34611796,0.24958709,-0.96441475,-0.6509678,-0.48301018,0.63585965,-1.8860525,0.80088382,-1.9848425,0.032153786,-0.099273157,-0.2375973,-0.13160352,-0.12945787,-0.11253588,-0.17176551,-0.045378168,-0.19269403,-0.11864128,-0.15936392,0.056471183,-0.18770793,-0.066529401,-0.16974332,-0.011211151,-0.1460535,-0.048967563,-0.15998809,0.024452992,-0.18631066,-0.0919256,-0.13786115,0.05130611,-0.16553529,-0.075391567,-0.12510494,0.042794375,-0.29202486,-0.16865085,-0.1205993,0.0033048958,-0.31947348,-0.10839833,-0.093151152,-0.031667673,-0.30230614,-0.078803348,-0.11657176,0.008683139,-0.26921139,-0.13451366,-0.05617797,0.038567397,-0.28597781,-0.040578899,-0.10561144,0.046746608,-0.30964276,-0.061298815,-0.20692897,0.031592374,-0.26378857,-0.064123792,-0.1000961,0.039605831,-0.22517115,-0.05091382,-0.11557123,0.08403613,-0.32274857,-0.098470311,-0.067015955,0.14252101,-0.32977148,0.24502259,0.25171175,0.2466908,0.24151354
-19707.668,0.99707139,0.0018823655,10,1023,0,19744.182,-0.12319542,-0.14558845,0.050356457,-0.2302347,-0.13182472,-0.17554004,-0.29646328,-0.079816016,-0.64022935,-0.18528574,-0.19519088,-0.064187656,0.035380654,-0.3384141,-0.15160992,-0.017905705,0.089994116,0.055931496,0.21685261,0.26540016,0.098329406,0.12493167,0.63374736,0.073415393,0.48165396,0.17364437,0.32029181,0.32669612,0.79861008,0.38905935,0.73741346,0.12742828,0.9342423,-0.75152574,0.69117317,-0.012431224,0.052455578,-0.56664641,0.59569741,-0.28931766,-0.67316407,-1.1180611,0.020467155,-1.1371903,0.47233477,0.058305384,0.90795532,0.1469656,1.0569497,-0.52448969,1.5360659,-0.39851784,0.50449875,0.55044637,2.0694732,0.035007862,0.33925114,0.27879833,0.52666153,0.027986193,-1.1333155,-0.47854712,1.3170694,-3.0366781,1.0514778,1.1509129,1.2433843,0.67880262,0.59483314,0.39170213,1.1139403,-0.4862234,-0.16074855,0.31208178,0.79165115,-0.254105,-0.075790331,-0.037397817,0.45106528,-1.0127488,-0.10571778,-0.26679019,0.018587112,-0.40007267,0.73533368,0.78189037,0.95678635,0.18042876,0.17102547,0.027489642,0.30149969,-0.26088899,-0.55372407,-0.39694157,0.48351094,-2.2279568,-0.52612699,3.4281433,0.026893748,-0.039119107,-0.19082831,-0.060993899,-0.12431415,-0.14265454,-0.17728184,-0.11227021,-0.16177042,-0.09562093,-0.19209802,0.054794813,-0.19624624,-0.10487697,-0.21476044,0.010736789,-0.19123,-0.02789548,-0.18339748,0.019215728,-0.17101074,-0.11251217,-0.10677186,0.08300269,-0.17116645,-0.081463759,-0.11977557,0.037307075,-0.2787271,-0.16301882,-0.11494874,0.016877151,-0.30275493,-0.13378088,-0.0858876,-0.041348397,-0.31328137,-0.08199631,-0.11726887,0.0081437336,-0.26971569,-0.24667732,-0.095233638,0.058368504,-0.27657863,-0.088948062,-0.076405377,0.083173619,-0.39504875,-0.049046629,-0.17768069,0.05022451,-0.28412141,-0.052325651,-0.034212335,0.03383258,-0.2682166,-0.025493436,-0.13133869,0.070720012,-0.34399297,-0.088465813,-0.068487288,0.043707265,-0.30181042,0.23933829,0.24858214,0.22731671,0.25001346
-19702.231,0.99912053,0.0018823655,10,1023,0,19754.135,-0.11753428,-0.064269045,-0.059718888,-0.21334578,-0.15232777,-0.19313254,-0.34803272,-0.10665261,-0.59700918,-0.14103461,-0.22182201,-0.1496119,0.12943814,-0.22315169,-0.050783792,-0.050073126,0.054160042,0.14777829,0.091435431,0.19157834,0.13214758,0.1100146,0.43636697,0.081852488,0.3601187,0.22446621,0.30809007,0.18397089,0.50154315,0.24313435,0.29824759,0.13199145,0.7041415,-1.8071465,1.0108161,0.13816769,-0.26254841,-0.48231528,0.47158475,-0.71672944,-1.1028579,-0.653394,-0.13891168,-1.3313509,0.57933594,0.083170721,1.462543,0.068760395,0.74772946,-0.17396406,1.1530379,-0.34024654,1.1426157,0.19924081,2.5633262,0.30256872,0.59367162,0.47131392,0.90276956,0.10702284,-1.1583227,-0.058370648,1.2441056,-2.0489398,1.3437652,1.4159657,1.5730268,0.84615321,0.25317007,0.1242624,0.63090971,-0.57912483,-0.031842205,0.48736835,0.97443128,-0.22074245,0.31861554,0.31639643,1.0153682,-1.0237302,-0.38091988,-0.65664917,-0.13637797,-0.86160203,0.79054729,0.61505327,1.0717002,-0.019232862,0.045762985,-0.23267824,0.41964835,-0.91611962,-0.36740796,-0.35957027,1.1709214,-1.7914766,0.51377351,-0.82663775,0.026426055,-0.079397949,-0.21540941,-0.062788439,-0.11005111,-0.103068,-0.13554477,0.0054209435,-0.1701861,-0.16055917,-0.11946225,-0.072420337,-0.18145153,-0.10235757,-0.19741207,0.066845771,-0.20017278,-0.053517126,-0.1753167,4.3405179e-05,-0.19729052,-0.06742813,-0.17121314,0.088870766,-0.15984557,-0.088974033,-0.14236689,0.0459061,-0.30133149,-0.20146421,-0.1114304,-0.0048194757,-0.27436344,-0.11309419,-0.08709346,-0.030532798,-0.29229358,-0.084206479,-0.1131419,0.00058330701,-0.27102856,-0.23163228,-0.071668666,0.078390583,-0.28983057,-0.090995921,-0.091404173,0.037186289,-0.33794846,-0.06160962,-0.19989975,0.061038704,-0.30269246,-0.030942482,-0.073611108,0.037415452,-0.22782786,-0.037135092,-0.12017952,0.074375319,-0.32401426,-0.098567837,-0.097533328,0.10447849,-0.28653272,0.24624806,0.26121875,0.24483124,0.24735133
-19706.381,0.88239604,0.0018823655,10,1023,0,19755.104,-0.085132703,-0.044182884,-0.066630597,-0.23295057,-0.14831057,-0.20163065,-0.25738932,-0.091339851,-0.59010721,-0.12791707,-0.22649384,-0.10921019,0.095867815,-0.16604259,-0.010176918,-0.063791066,0.06223509,0.14302167,0.10048638,0.17860779,0.10788903,0.12492617,0.42388969,0.072511872,0.4330415,0.22327139,0.28707711,0.16368943,0.44186419,0.19098859,0.27067187,0.17187178,0.65551448,-1.5555504,0.90594637,-0.51469647,-0.69048181,-1.0031167,0.073254556,-0.97503029,-0.58593426,-0.27223909,0.81656475,-1.6386305,0.85756383,0.24960098,1.0859547,0.33328856,0.763709,-0.4383607,1.4387588,-0.36127955,0.83753632,0.79896329,2.0231326,0.41598414,0.39596661,0.32924321,0.6471869,-0.020758492,-1.1474032,-0.52376097,1.3028569,-2.8257789,1.0697513,1.1417152,1.2595683,0.73389945,0.14549005,-0.018328786,0.5879099,-0.69563396,0.2856541,0.59353705,0.88996047,-0.2799026,0.42657909,0.096976848,1.0676669,-1.294276,-0.34017153,-0.67260195,-0.17598253,-0.95099959,0.67873407,0.37774534,1.1810063,-0.36222209,-0.066971296,-0.35868326,0.29272371,-1.1970013,-0.15920048,-0.10937316,0.76579947,-1.5502805,-0.58640977,3.6319117,0.028012759,-0.0443367,-0.18194252,-0.028751049,-0.11716488,-0.14293675,-0.18765031,-0.033705895,-0.18363334,-0.12550901,-0.093986917,0.015423038,-0.23129064,-0.079782989,-0.18836989,-0.038990603,-0.17342264,-0.065914746,-0.19560489,0.006915726,-0.18728867,-0.09700045,-0.10181923,0.05111155,-0.14966335,-0.089543156,-0.11782652,0.016946535,-0.26618863,-0.1745402,-0.12931874,0.0031327435,-0.29624237,-0.12686051,-0.095697129,-0.044661878,-0.27229829,-0.095433302,-0.13200936,0.003346394,-0.28323223,-0.14448908,-0.056102936,0.028993443,-0.30684747,-0.039383704,-0.093336109,0.065555601,-0.3210695,-0.054441803,-0.2013309,0.018107438,-0.32434485,-0.036412128,-0.093897542,0.05951614,-0.23522288,-0.028304163,-0.10726239,0.069055154,-0.33417151,-0.091153135,-0.082589225,0.067828251,-0.33024054,0.2372016,0.24422249,0.24460555,0.24309939
-19713.897,0.94866114,0.0018823655,10,1023,0,19759.972,-0.13284076,-0.0067026839,-0.085442891,-0.22493978,-0.17757403,-0.21373227,-0.22495368,-0.095762282,-0.5209169,-0.053089821,-0.20759067,-0.2552932,0.15994192,-0.22585059,-0.11685249,-0.19272484,0.056139978,0.099196791,0.053525767,0.22201663,0.088060916,0.22640004,0.57133291,0.064612993,0.58007231,0.34637088,0.34436601,0.32691735,0.28610081,0.22438043,0.22204299,0.4987384,0.13536151,-1.6066752,0.88483077,-0.10308651,-1.0773848,-1.1538723,0.078103193,-1.7126497,-0.068415058,-1.2964978,1.1143092,-1.3421254,0.74724178,0.27703485,0.91723267,0.15438607,1.4817785,-0.1692906,1.7899495,-0.14819908,0.69283342,0.47413074,1.2583124,0.13665717,0.29102163,0.20511126,0.44999738,-0.055642673,-0.6123171,-0.41736931,1.2230099,-3.0821242,0.7178609,0.71976872,0.91557627,0.4202044,-0.16662648,-0.18840253,0.17246399,-0.67455937,-0.045337243,0.37939875,0.80765962,-0.23209282,0.71406967,0.39729385,1.0805786,-0.20149643,-0.78466702,-1.2715902,-0.43937373,-1.6648796,0.83480622,0.65718729,1.2764885,-0.055388011,0.45902966,-0.035121953,0.77066906,-0.80355736,0.25755331,0.21921599,0.67702296,-0.20345149,1.5157895,-4.8824379,0.035659465,-0.12524157,-0.22303947,-0.083166378,-0.13862803,-0.1135758,-0.12116311,0.0010449022,-0.17659204,-0.08910486,-0.15483893,-0.025798636,-0.15728118,-0.059039684,-0.16343344,-0.021298879,-0.19066351,-0.047087251,-0.19248191,-0.019949437,-0.19062457,-0.056874752,-0.10638905,0.071149713,-0.18279308,-0.058683446,-0.10776687,0.032144631,-0.25674417,-0.13532592,-0.12272976,-0.01673995,-0.29490755,-0.10450567,-0.10339899,0.010183544,-0.27716796,-0.11080438,-0.11834697,0.0066466824,-0.28673755,-0.22320327,-0.076938634,0.070539849,-0.28751554,-0.021851436,-0.12541095,0.097966679,-0.32116588,-0.064551952,-0.20386107,0.034236736,-0.31638149,-0.038536417,-0.078390628,0.060568439,-0.23827858,-0.014928174,-0.12465107,0.054269168,-0.29527676,-0.064273116,-0.083393409,0.14493251,-0.29419391,0.24373646,0.25795564,0.2519043,0.24884665
-19717.349,0.98727756,0.0018823655,10,1023,0,19765.39,-0.13038849,-0.00069253598,-0.068277218,-0.24298116,-0.13955698,-0.3255303,-0.22097385,-0.087517385,-0.52065093,0.030199973,-0.22856571,-0.19618372,0.1522444,-0.29014,-0.085941091,-0.28624169,0.08069575,0.13413387,0.057713363,0.24598986,0.085223476,0.3144722,0.27035829,0.067279562,0.31632011,0.5962899,0.24252529,0.24581358,0.22673845,0.31093898,0.18891514,0.45549026,0.96016706,-0.88788513,0.54635874,-0.35809573,-0.60733491,-1.4902064,0.085663924,-1.0758078,-0.20248434,-0.78631339,1.3558355,-2.0677296,0.69386533,0.16296335,1.0061813,0.16173777,1.2568616,-0.48984884,1.8577633,-0.30424993,0.88649814,0.56486132,1.2744118,0.57020081,0.5745457,0.43560729,1.1038923,-0.41260116,-0.88186049,-0.73875184,1.3644115,-3.1277393,1.2694191,1.3893718,1.4099949,0.75967167,-0.18948285,-0.26649547,-0.056573744,-0.5551239,0.1272361,0.66635024,1.2712788,-0.15471598,0.55780612,0.22706781,1.0119108,-0.69609549,-0.88119174,-1.4350393,-0.59351012,-2.0253209,0.74027287,0.63420351,1.128857,0.17414313,0.31077484,-0.28592786,0.76603374,-1.3084688,0.51580773,0.3805017,0.8658704,-0.056944555,-1.676016,7.8642394,0.031471345,-0.05290709,-0.20203705,-0.086299662,-0.15928529,-0.082156717,-0.20057968,0.010797897,-0.1449948,-0.07996327,-0.11365801,0.0099726076,-0.18761285,-0.072297318,-0.20289382,0.0045292537,-0.2031953,-0.032442868,-0.18130361,0.018768064,-0.16548622,-0.04675128,-0.14789712,0.075236779,-0.146218,-0.065640658,-0.10320381,0.077472583,-0.33252399,-0.14684857,-0.13722029,0.0042796215,-0.29795031,-0.11910812,-0.081164697,-0.074641175,-0.2803515,-0.082786737,-0.12870859,-0.003534379,-0.30081481,-0.19770774,-0.066958927,0.079751538,-0.26608825,-0.059067403,-0.14036737,0.052557689,-0.36729344,-0.047555643,-0.17313418,0.017672841,-0.3069737,-0.059960313,-0.09294141,0.060865654,-0.23599211,-0.02723102,-0.13995719,0.058774278,-0.33313066,-0.051296294,-0.11292687,0.10815384,-0.31217938,0.24536087,0.24689363,0.25203018,0.25457928
