# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 16:17:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f671eb4b0aa.json
# init = 2 (Default)
# random
#   seed = 1274231231
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141717-4-451a8c.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141717-4-94cde6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00477032
# Diagonal elements of inverse mass matrix:
# 0.00654916, 0.00468486, 0.00689763, 0.00866612, 0.0112147, 0.00924327, 0.0581859, 0.0123246, 0.0109531, 0.0283346, 0.019409, 0.0457755, 0.0275092, 0.0220946, 0.0637134, 0.0668763, 0.523888, 0.39557, 0.292837, 0.487446, 0.270568, 0.358137, 0.473141, 0.333667, 0.427792, 0.296082, 0.385873, 0.465074, 0.27631, 0.326288, 0.479541, 0.301786, 0.344591, 0.324375, 0.338085, 0.228624, 0.319135, 0.266518, 0.236774, 0.196899, 0.3071, 0.262572, 0.213524, 0.239801, 0.308479, 0.279923, 0.302015, 0.299312, 0.49405, 0.301307, 0.315304, 0.252266, 0.339479, 0.302402, 0.249362, 0.216533, 0.296569, 0.298953, 0.200819, 0.233737, 0.321479, 0.286386, 0.254384, 0.308032, 0.366322, 0.580548, 0.482386, 0.443156, 0.398648, 0.514295, 0.375874, 0.433945, 0.375673, 0.286908, 0.344085, 0.368739, 0.375329, 0.366804, 0.477644, 0.489468, 0.261363, 0.347417, 0.388838, 0.236118, 0.340666, 0.343731, 0.52038, 0.410406, 0.739544, 0.65973, 0.319031, 0.527231, 0.436084, 0.633076, 0.43026, 0.393958, 15.7123, 258.269, 1.02483
-19699.922,0.98277084,0.0047703203,10,1023,0,19750.223,-0.21382567,-0.19939489,-0.22238558,-0.14326113,-0.13815809,-0.10053821,-0.0045906908,-0.22799598,-0.14016164,-0.0063903523,-0.12633937,0.076851392,-0.34355309,0.01053498,-0.12073943,-0.17946863,0.11833756,0.23497253,0.56879157,0.11443038,0.18658234,0.12586625,0.56810529,0.17133769,0.19037053,0.20492783,0.16207676,0.34926129,0.30944738,0.14972391,0.15840943,0.3420099,0.798724,0.0761443,0.81598769,0.654692,0.15196931,0.085833966,0.75042006,0.031473363,0.13604981,0.14076504,0.38984144,-0.01385629,0.70833322,-0.68254644,1.3902464,0.040131635,0.46319075,-0.16368749,1.0954168,-0.35890766,-0.10712741,-0.42709929,1.1631497,-0.63059845,-0.10389089,-0.19919156,0.15851978,-0.52883029,0.059862184,0.6579119,1.2415703,-0.42670594,-0.038117951,0.19513631,0.37570489,-0.94908931,-0.45035974,-0.52839976,0.099090512,-1.1367267,-0.55421886,0.46081084,1.1478333,-1.0055679,-0.33400284,-0.52468757,0.011016303,-1.2821368,0.86411219,0.56499371,1.1782747,0.060507231,-0.32701284,-0.72708701,0.33563049,-1.578398,0.33556332,0.2218628,1.3732484,-1.3401336,0.20742667,0.32672437,0.84715934,-0.36718212,3.0372601,-11.122586,0.19132395,-0.11930662,-0.20481494,-0.11726367,-0.13635101,-0.16368627,-0.17922626,-0.023066788,-0.19199951,-0.1450016,-0.14231962,-0.00064706018,-0.23026692,-0.062206293,-0.22136518,0.015825292,-0.13866885,-0.051734871,-0.16869928,0.06622735,-0.20512392,-0.11402194,-0.1542956,0.045863075,-0.17990928,-0.063611655,-0.11775247,0.085465236,-0.30502197,-0.21773933,-0.11527087,-0.015268195,-0.30110679,-0.14741818,-0.10301344,-0.068638506,-0.32084028,-0.098681597,-0.11467417,0.013916051,-0.23933729,-0.21616537,-0.051652644,0.059697724,-0.28931856,-0.039802872,-0.10640166,0.08069896,-0.37094936,-0.076155841,-0.16871727,0.021060934,-0.32482929,-0.038426662,-0.098327331,0.06078689,-0.22578894,-0.067583039,-0.085594274,0.096796075,-0.33302923,-0.10852666,-0.067725667,0.11026824,-0.30504855,0.23791934,0.25260712,0.24868675,0.24247315
-19714.212,0.99437387,0.0047703203,10,1023,0,19752.613,-0.12390053,-0.065529239,-0.059301226,-0.14416053,-0.14532061,-0.061906247,0.2305317,-0.1050251,-0.27343389,-0.26587578,0.092141062,-0.23560284,-0.10306769,-0.0028349817,-0.10937445,-0.11410872,0.043393222,0.062921322,0.065705682,0.090715868,0.13061459,0.11884565,0.68572733,0.18406979,0.31825944,0.19540074,0.29331721,0.2344817,0.1014317,1.4354468,0.12954648,0.13048861,0.66527836,-1.6178062,0.72309629,-0.21725803,-0.27923303,-1.2402958,1.2785126,-1.8148228,-0.96416364,-0.93142401,1.1277499,-1.9819187,0.51091038,-0.51502363,1.3366512,-0.33744826,0.95731774,-0.43492403,0.87537316,-0.30289646,-0.19177602,-0.47442562,1.7146594,-0.56511092,-0.44395777,-0.50416506,-0.24423805,-0.78997678,-0.18592592,-0.13206804,0.55199107,-1.1862882,0.57912313,0.58350695,0.72795694,-0.22149466,0.76394162,0.83021455,1.3967074,-0.2739476,-1.0699964,-0.55962271,-0.21229255,-1.1952235,0.82401923,0.51659913,1.2711336,-0.60882773,0.1595618,-0.62248011,1.1051885,-1.7872855,-0.01149242,-0.072800508,0.02047756,-0.16997336,0.65232625,-0.22722089,1.1301629,-1.5039975,0.20827447,0.51897752,1.6183929,-1.7061268,3.195469,-11.565979,0.043643042,-0.095031954,-0.19410235,-0.092523047,-0.13332805,-0.083098951,-0.14357029,0.01491646,-0.17972029,-0.12265225,-0.12050108,0.014798351,-0.18952455,-0.097812851,-0.19088135,-0.022905051,-0.17477244,-0.020280943,-0.20212804,-0.030984101,-0.18488331,-0.084697993,-0.11828967,0.14187357,-0.12906722,-0.073902275,-0.11518806,0.063050996,-0.31117697,-0.13924844,-0.12933483,-0.0034202204,-0.32338491,-0.089122493,-0.087727301,-0.041754728,-0.34392666,-0.11660103,-0.10365125,0.0070418745,-0.31940535,-0.2217073,-0.072005912,0.029872002,-0.25843858,-0.042385408,-0.1144698,0.062454728,-0.3783618,-0.086883061,-0.1662069,0.0090334651,-0.28435509,-0.019331739,-0.10733624,0.026559466,-0.24682269,-0.024867879,-0.13881011,0.037034176,-0.30421203,-0.086931274,-0.046388065,0.09707312,-0.33673883,0.25176652,0.25444535,0.25022621,0.24364078
-19709.877,0.93919542,0.0047703203,9,708,1,19752.59,-0.13444902,-0.10575162,-0.065351861,-0.11329247,-0.13228406,-0.11220065,0.16551301,-0.05657849,-0.23635014,-0.29653453,0.12806281,-0.17614201,-0.078481937,-0.070858895,-0.11806173,-0.14054841,0.098472281,0.047872057,0.080148753,0.12512074,0.12528847,0.060350986,0.65201868,0.22393735,0.22115359,0.2165155,0.33599418,0.23506881,0.14084982,1.1007472,0.18826454,0.14584983,0.52015445,-1.1542227,0.69168041,0.14105281,-0.6625924,-0.9633104,1.2725317,-1.0489685,-0.67371955,-1.0258174,0.91249826,-1.3327575,0.33119687,-0.60871287,1.3650434,-0.65156437,0.66713055,-0.27980837,1.4610288,-0.58872316,0.6131051,-0.44311159,2.4251378,-0.45530783,-0.31986417,-0.43630687,-0.16869733,-0.66102598,-0.66575,-0.18103556,0.3786652,-0.94080504,0.53226274,0.57689607,0.96653178,-0.27303504,0.96398044,0.62152462,1.4404231,-0.095027175,-0.98820335,-0.64956859,-0.31006596,-1.1793231,0.48375964,0.46884296,0.90928716,-0.73559004,0.42080443,-1.0709287,0.59149953,-1.4186139,0.020021997,-0.0044759781,0.11709135,-0.18926846,0.20720183,0.10081719,1.0198987,-1.0732968,0.34377734,0.23639099,1.8714994,-1.3173416,-0.47668957,3.1722676,0.033032434,-0.08322823,-0.24810797,-0.066337677,-0.12055923,-0.13747128,-0.15186727,-0.044832912,-0.1559679,-0.11934964,-0.14756985,0.0077837362,-0.17217071,-0.071852874,-0.18945508,0.057502767,-0.19481669,-0.048700291,-0.16734082,0.050766011,-0.20604428,-0.075199149,-0.13894287,0.034158811,-0.13967892,-0.043044405,-0.11896722,0.055519202,-0.26548828,-0.20566478,-0.097119113,0.028218793,-0.26725988,-0.11863833,-0.10876751,-0.022598176,-0.29673282,-0.087817824,-0.16196482,0.015339399,-0.31710939,-0.20396776,-0.090188451,0.023882458,-0.2681829,-0.062425213,-0.065931659,0.037603033,-0.34905629,-0.019211711,-0.22932205,0.0048306631,-0.27829344,-0.048819739,-0.075785816,0.058029073,-0.27919561,-0.079052973,-0.099081429,0.073949018,-0.32012546,-0.090408539,-0.10607082,0.13240947,-0.33268246,0.23878816,0.25744243,0.23988435,0.24910561
-19717.297,0.64906241,0.0047703203,10,1023,0,19763.401,-0.11847986,-0.15655309,-0.14671178,-0.052450281,-0.21820056,-0.10821203,0.12029072,-0.067236592,-0.33402053,-0.10869457,-0.044054262,-0.15300774,-0.12161139,0.077012213,-0.088462826,-0.013265675,0.050625678,0.05072483,0.094632338,0.14078491,0.12963031,0.10301731,0.37702276,0.14749712,0.20269824,0.18709836,0.33799323,0.38527682,0.18865696,0.53570412,0.11030281,0.22199027,1.032556,-1.3932022,-0.041882732,-0.40958122,-0.54358164,-0.41555152,2.4756178,-0.67078085,0.0056461945,0.24298107,0.80730829,-0.73544522,-0.12597471,-1.1290962,0.71753459,-0.84482624,1.5987104,0.12309874,1.8284129,0.2877336,-0.11287006,0.056124314,1.0244274,-0.29369549,-0.51217028,-0.66526644,-0.1601974,-1.1040757,-0.46178648,-0.47757614,0.56125193,-1.7702078,1.0394091,1.0461307,1.4704061,0.060302929,0.2569115,-0.10981788,0.88744329,-0.90582343,-0.50721002,-0.18315854,0.27654429,-0.63635481,0.29941162,0.20166658,0.46765067,-0.55744837,0.46486948,-0.62818523,0.66758131,-0.82159856,-0.22709023,-0.28818938,-0.048487268,-0.58156411,0.15842352,-0.15492871,1.5866509,-2.0869638,-0.32344829,-0.4828331,0.55693808,-1.196308,0.25703077,0.30740563,0.044829409,-0.066206013,-0.18901167,-0.1206002,-0.13921519,-0.18412617,-0.17763187,-0.030977794,-0.19057833,-0.14617746,-0.12371791,-0.070314307,-0.21630868,-0.07018562,-0.21140999,0.048567763,-0.17138907,-0.010959226,-0.20224323,0.018817174,-0.18090156,-0.1198396,-0.10243025,-0.0026782765,-0.13846775,-0.072809131,-0.13052987,0.059892654,-0.29597093,-0.13534877,-0.1376777,0.015546452,-0.32833715,-0.12333415,-0.12197169,-0.03597181,-0.32179724,-0.060626845,-0.12924131,0.057344619,-0.27817264,-0.21548781,-0.10596061,0.049415835,-0.25913788,-0.03765138,-0.075310279,0.027167225,-0.36777967,-0.033910526,-0.2401229,0.0043324717,-0.27661167,-0.04464096,-0.077372022,0.051037384,-0.23453408,-0.070988266,-0.1055519,0.086549232,-0.3186608,-0.085068048,-0.12044993,0.11036916,-0.2788344,0.23189816,0.2479192,0.24839938,0.24239064
-19720.151,0.93516502,0.0047703203,9,746,1,19765.25,-0.13120951,-0.10627315,-0.11954151,-0.020070438,-0.15177555,-0.10796967,0.13194436,-0.2294477,-0.17897262,-0.13876542,0.024352023,-0.064786513,-0.13566505,0.19314798,-0.1977038,-0.082970211,0.081257882,0.050079628,0.044221202,0.13627909,0.091117983,0.080997437,0.44633422,0.1880057,0.13788074,0.17214213,0.24749167,0.12195463,0.11744767,0.84110847,0.14918748,0.11358134,0.38274917,-1.3401684,0.6843559,0.34658892,0.097294561,-1.36465,-0.40717757,-1.5723581,-0.18700426,-0.19791968,1.5083278,-2.0897326,-0.46090693,-1.2410188,0.12031822,-0.9846461,1.1543322,-0.33032372,1.6646475,-0.44900203,0.3231011,-0.67225116,2.684413,-0.49960793,-0.45183579,-0.51285511,-0.12078367,-0.87392484,0.48582956,0.64536802,1.4343246,-0.45739255,0.22780045,0.68258291,0.97400763,-0.98562505,0.28014203,0.34137171,0.85858838,-0.69219445,-0.93269536,-0.41707858,0.22525521,-1.2780842,-0.011426425,-0.24351062,1.2333192,-2.247192,0.70441806,-0.88082836,1.2878815,-1.4489169,-0.2865213,-0.3364267,-0.15397061,-0.50609737,0.77046481,0.53428026,1.8526122,-0.75964056,0.068118455,0.206157,1.9688527,-2.1032575,0.7877712,-1.8504019,0.073004506,-0.10010813,-0.24010876,-0.075600202,-0.10304643,-0.10140067,-0.17461431,-0.12666445,-0.18501625,-0.12781106,-0.12829376,-0.052841442,-0.211952,-0.082882414,-0.18919534,-0.0036735811,-0.15425711,-0.046595127,-0.18187398,-9.6225064e-05,-0.19268771,-0.081799312,-0.16242029,0.1094609,-0.14843663,-0.069725409,-0.096960421,0.078034478,-0.2581182,-0.13810897,-0.10811483,0.040213508,-0.3154401,-0.14756332,-0.084857582,-0.044675727,-0.31487133,-0.09054118,-0.080000972,0.0090338065,-0.25792125,-0.20648231,-0.078871453,0.080100812,-0.29196317,-0.066180019,-0.09448376,0.085622473,-0.33884199,-0.052932791,-0.23911629,0.01559363,-0.30583697,-0.047847511,-0.089823365,0.063642,-0.2325348,-0.082760099,-0.11799587,0.078682735,-0.31103266,-0.075233225,-0.059554622,0.14065473,-0.32186102,0.2475383,0.25416851,0.22473942,0.24073663
-19705.551,0.3749254,0.0047703203,10,1023,0,19756.434,-0.11818351,-0.054014738,-0.12207915,-0.025022713,-0.14857122,-0.08841164,0.19519286,-0.23333187,-0.10385859,-0.12680286,0.11506407,-0.11662388,-0.1003018,0.31162457,-0.078984296,-0.053596856,0.053155505,0.085004717,0.068549131,0.26120726,0.096384417,0.078222125,0.38258017,0.22296459,0.14699605,0.19480301,0.43649243,0.16241449,0.1337607,1.2408235,0.18796163,0.13464323,0.88779232,-1.4712854,-0.48626987,-0.10116907,-1.3872723,-1.2474624,0.43039946,-1.217572,0.059340393,-0.17344948,1.9721902,-1.2156411,-0.31616625,-0.75978297,0.15312362,-0.53080856,0.97546516,-0.48566885,1.6329509,-0.46918033,-0.29536485,-0.35492173,2.3762367,-1.1237094,-0.72891905,-0.85275479,-0.35307271,-1.3276054,0.23455215,0.58802911,1.1712447,-0.24697195,0.28212136,0.20750597,0.63905436,-1.2550363,0.25882907,0.22816843,0.80453926,-0.74470147,-0.66579472,-0.36078212,-0.11746125,-0.90777687,0.31902641,0.10664508,1.1593062,-1.2904032,0.19687957,-0.52967675,1.0053564,-1.5536126,-0.27627984,-0.30997602,-0.19904356,-0.44791825,0.10151536,-0.10004141,0.97793011,-1.3155295,-0.19031999,-0.18179375,1.078099,-1.746348,0.019613603,1.064133,0.066871786,-0.070992461,-0.19639043,-0.14403143,-0.1235612,-0.17193943,-0.16005493,-0.017428753,-0.1575141,-0.11801141,-0.13396896,0.013112776,-0.20541029,-0.10760763,-0.22348354,0.01497429,-0.16367376,-0.054551581,-0.19538213,0.008819799,-0.19379289,-0.11151571,-0.11617437,0.097462643,-0.17631058,-0.083677109,-0.13105421,0.060114246,-0.31272264,-0.18103504,-0.1022222,0.027814228,-0.28839787,-0.062387862,-0.073356028,-0.0099201209,-0.28834397,-0.076382178,-0.082354963,0.029923812,-0.27187295,-0.17555028,-0.042414593,0.063793126,-0.28117366,-0.064809369,-0.099303173,0.07166424,-0.32620406,-0.073967054,-0.17115173,0.03417537,-0.30811411,-0.031189938,-0.07300095,0.064646651,-0.2441629,-0.059903304,-0.097788241,0.10482904,-0.32625336,-0.079222153,-0.078074154,0.091561875,-0.28873079,0.23613026,0.25331107,0.24778425,0.2493906
