# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 16:29:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f67241cb58b.json
# init = 2 (Default)
# random
#   seed = 1184340258
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141729-1-18705f.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141729-1-92db82.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 9.60547e-05
# Diagonal elements of inverse mass matrix:
# 0.0131967, 0.00248224, 0.00282409, 0.0151972, 0.0341959, 0.0129485, 0.0134811, 0.0141434, 0.0111271, 0.0148174, 0.0372677, 0.0430466, 0.0207792, 0.0133877, 0.0269346, 0.0216436, 0.584497, 0.279146, 0.207205, 0.407138, 0.527714, 0.408593, 0.306294, 0.333846, 0.228747, 0.384337, 0.443324, 0.429881, 0.362037, 0.319157, 0.308892, 0.249225, 0.314587, 0.248303, 0.243892, 0.293655, 0.358314, 0.203806, 0.206469, 0.255199, 0.325147, 0.171817, 0.226681, 0.222928, 0.335334, 0.261656, 0.226435, 0.18344, 0.731097, 0.318334, 0.222439, 0.443213, 0.283165, 0.278169, 0.206348, 0.242466, 0.339165, 0.171479, 0.318549, 0.225196, 0.429907, 0.269768, 0.264688, 0.172473, 0.279729, 0.467201, 0.386733, 0.469009, 0.505798, 0.525857, 0.387209, 0.3591, 0.399737, 0.262501, 0.613896, 0.327874, 0.425386, 0.361635, 0.294536, 0.338143, 0.291134, 0.294368, 0.305505, 0.402709, 0.276389, 0.275755, 0.47172, 0.452573, 0.571259, 0.409821, 0.330492, 0.620549, 0.564253, 0.522314, 0.622446, 0.364543, 31.6279, 513.377, 1.2445
-19705.26,0.99258891,9.6054697e-05,10,1023,0,19748.75,-0.092553257,-0.10798505,-0.22842852,-0.074988342,-0.1610144,-0.098937789,-0.10420183,-0.12384243,-0.1611557,-0.26522425,-0.20039466,-0.5731434,-0.087434109,-0.040260478,-0.048990859,-0.14573077,0.2423741,0.072745494,0.15608621,0.13354708,0.10764642,0.076077143,0.10230907,0.17525319,0.14589667,0.29175064,0.12834814,0.77043189,0.093116528,0.089847458,0.19495311,0.27252529,-0.12807143,-0.58350251,-0.10016923,-0.20312181,-0.33897718,-1.0992016,0.87843382,-0.91186351,0.56305744,0.55144171,1.4622982,0.13299191,-0.045898398,-0.74110021,0.96550766,-0.79778785,0.96664603,-0.30106508,1.6872042,0.015801663,0.4098079,-0.83598888,2.135756,-0.59453619,0.43819599,0.0013187804,1.8519905,-1.3673825,-0.51977083,-0.042070471,0.73797808,-0.88622995,0.24732947,0.68162575,0.66056889,-0.95641692,0.68038102,0.43906797,1.0506266,-0.027925839,0.19578129,1.0357412,2.5446975,-0.63354597,0.65647118,0.57185634,0.83250503,0.27842766,0.12385652,-1.3325689,0.62658595,-2.1903989,-0.15255643,-0.67171698,0.75564045,-2.3677044,-0.11360639,-0.34509434,0.68087451,-1.4756002,0.21912345,0.060279484,0.93544382,-0.52294609,1.1566959,-3.3306196,0.0014654558,-0.12359445,-0.23397915,-0.11683168,-0.14178472,-0.13264411,-0.18794702,-0.044082948,-0.17431901,-0.14054301,-0.14235607,-0.00018393797,-0.20767032,-0.081117939,-0.17396011,0.053952387,-0.18153058,-0.056958423,-0.19342298,0.020607084,-0.15931341,-0.067760775,-0.16253743,0.063544422,-0.1441684,-0.059370404,-0.1040669,0.085273598,-0.24409746,-0.21493392,-0.13121541,0.0054905844,-0.27915705,-0.12507115,-0.061708769,-0.064780895,-0.30069375,-0.06672265,-0.13712589,0.041296746,-0.27337163,-0.17526649,-0.067459206,0.12621253,-0.2817091,-0.067377066,-0.13256704,0.06824502,-0.35863385,-0.07590102,-0.2115183,-0.029088601,-0.29139645,-0.053967286,-0.10061254,0.027631895,-0.2529927,-0.071138779,-0.11626807,0.083747741,-0.3366637,-0.086014091,-0.12930309,0.10920133,-0.2882468,0.25499545,0.25384929,0.2660099,0.24474694
-19704.365,0.99354893,9.6054697e-05,10,1023,0,19761.233,-0.090688043,-0.11050822,-0.23108863,-0.079163927,-0.17377034,-0.0991151,-0.11671047,-0.12147965,-0.15862946,-0.27506887,-0.22850925,-0.5720099,-0.095015852,-0.038574818,-0.054613847,-0.12940639,0.23602411,0.075273393,0.15794501,0.12859122,0.10322469,0.075472485,0.10505594,0.17766846,0.14807346,0.30151771,0.11912132,0.82278298,0.093384507,0.087503605,0.2009347,0.27028178,-0.091747287,-0.60697209,-0.12453693,-0.20134415,-0.29569501,-1.1316783,0.90782447,-0.96498786,0.52852439,0.52624048,1.4444403,0.067484634,0.0026971652,-0.74686633,0.98873897,-0.74741921,0.96532513,-0.34427131,1.6123709,0.025007695,0.34185015,-0.82207251,2.0726062,-0.63802137,0.47104531,0.0073774291,1.857591,-1.321918,-0.47202909,-0.023420121,0.71089232,-0.87430707,0.28953878,0.66473145,0.6083647,-0.99841281,0.63656039,0.48265709,1.0022867,-0.02771557,0.20106225,1.0838521,2.5551147,-0.6613179,0.65672461,0.57371442,0.80228703,0.31803176,0.11157809,-1.3482304,0.55447294,-2.2066532,-0.17510707,-0.66789703,0.73350837,-2.4460642,-0.090891469,-0.39045058,0.67480569,-1.3697257,0.24791952,0.078594188,0.92954006,-0.52105224,1.2111441,-3.541772,0.0015717469,-0.11234261,-0.23394809,-0.12008176,-0.13821012,-0.13276619,-0.19569348,-0.042173191,-0.18314613,-0.14761084,-0.14797157,-0.0029464839,-0.22042977,-0.078817095,-0.17520438,0.047979221,-0.17527547,-0.074124954,-0.20930765,-0.0073338543,-0.17118893,-0.07331482,-0.16115896,0.057309643,-0.14726816,-0.067224364,-0.11593543,0.078440502,-0.25558582,-0.20534433,-0.12564067,0.0048234946,-0.27681644,-0.11575645,-0.06020037,-0.06854679,-0.3064679,-0.08313464,-0.12953921,0.027138327,-0.28342561,-0.20455845,-0.099399359,0.07585938,-0.30728631,-0.031668067,-0.099967441,0.088098218,-0.31033878,-0.084596187,-0.22091969,-0.04323667,-0.30108307,-0.053897318,-0.097018216,0.025609809,-0.25261425,-0.072877096,-0.13306891,0.080978028,-0.32983927,-0.06239826,-0.10816381,0.12183135,-0.27023732,0.25510022,0.25401262,0.2653598,0.24640712
-19704.912,0.93081551,9.6054697e-05,10,1023,0,19760.418,-0.084823454,-0.11152123,-0.23255442,-0.061341883,-0.18638663,-0.10542295,-0.1228121,-0.10480045,-0.16376876,-0.27353148,-0.2198395,-0.60018232,-0.075353177,-0.029816467,-0.052694906,-0.12604791,0.25906355,0.07538104,0.15110857,0.12722151,0.10901696,0.074014484,0.104488,0.17595785,0.14647108,0.31620369,0.11921089,0.83919113,0.093392155,0.088642413,0.21977945,0.2923641,-0.096437935,-0.59134522,-0.084638741,-0.19358904,-0.21538182,-1.1385981,0.91630401,-0.96732254,0.54304759,0.5295481,1.4176046,0.045813206,0.02992199,-0.77646224,0.9487126,-0.77713243,0.92304419,-0.35300243,1.6649582,0.066420642,0.40027679,-0.79163507,2.1554496,-0.70247477,0.45444455,-0.049914958,1.8821184,-1.3908058,-0.49332914,-0.032467549,0.68946087,-0.84937439,0.32898485,0.65822781,0.65521708,-1.0402894,0.63411577,0.49297679,0.96397936,0.0041115925,0.27152704,1.1258153,2.5208065,-0.70527789,0.60793354,0.60053195,0.77187852,0.26236747,0.11771865,-1.2527379,0.56672513,-2.1959347,-0.12640151,-0.68314341,0.69745281,-2.4553191,-0.1092742,-0.4233907,0.67149041,-1.3632109,0.21879025,0.11272898,0.89556752,-0.54448782,1.3723918,-4.1214401,0.0016316048,-0.10980701,-0.23801945,-0.10675027,-0.13497532,-0.12775694,-0.19734994,-0.042449283,-0.18443901,-0.15049527,-0.15253516,-0.018342215,-0.22563165,-0.057535163,-0.16012458,0.059354763,-0.16020984,-0.085759158,-0.22486988,-0.0048779439,-0.17914565,-0.075796668,-0.16401541,0.054111546,-0.15741625,-0.075328101,-0.12802762,0.073846679,-0.26813462,-0.19160559,-0.11051337,0.016515599,-0.25425454,-0.11558199,-0.067357423,-0.067798408,-0.31614106,-0.07302173,-0.1176504,0.031282353,-0.27223138,-0.18747052,-0.085630051,0.080668095,-0.3039163,-0.090009888,-0.096221235,0.047571288,-0.38000587,-0.064359179,-0.19234907,-0.022425496,-0.28043625,-0.041021001,-0.090371947,0.032007434,-0.24746188,-0.076711129,-0.14574748,0.094884887,-0.35230065,-0.062081499,-0.093090008,0.13578388,-0.28523661,0.2588553,0.25742428,0.26702738,0.24972436
-19703.423,0.99526664,9.6054697e-05,10,1023,0,19746.298,-0.083704279,-0.10250006,-0.23312905,-0.088893327,-0.15189251,-0.10328941,-0.12016192,-0.1013704,-0.16224892,-0.28111669,-0.22647883,-0.58917305,-0.071094679,-0.025377717,-0.070707161,-0.14304547,0.24907391,0.072487778,0.14879961,0.121668,0.10876698,0.069719288,0.11047565,0.17706631,0.14781479,0.31139674,0.12729497,0.85062915,0.10223715,0.086404214,0.19316239,0.28062189,-0.081736626,-0.54590806,-0.058518409,-0.15569954,-0.2214267,-1.1860147,0.9410796,-0.92595671,0.60764583,0.42671287,1.4206335,0.1483113,-0.036821334,-0.7989969,0.86625457,-0.73690203,0.87977929,-0.37089461,1.6635557,0.087411479,0.42407973,-0.74807024,2.2038911,-0.7094571,0.43480545,-0.066099216,1.8730429,-1.3699141,-0.52874063,-0.053381065,0.70730536,-0.90652116,0.43074065,0.65291095,0.67234037,-1.028969,0.6124271,0.49160185,0.96578181,0.035560692,0.23367681,1.1219214,2.5627009,-0.7238022,0.63947142,0.56439399,0.77463828,0.28519533,0.13694672,-1.3453462,0.46591848,-2.1145614,-0.14075803,-0.66059012,0.70823495,-2.3446669,-0.16242455,-0.40082804,0.70027463,-1.4325729,0.1859226,0.082204195,0.90061452,-0.57954486,1.6260876,-5.2539305,0.0015046874,-0.10406274,-0.21967574,-0.098279688,-0.12248497,-0.11855079,-0.18847162,-0.034283288,-0.1696206,-0.14271159,-0.16963434,-0.021739337,-0.21106038,-0.093373305,-0.18610568,0.016502132,-0.17855072,-0.056201577,-0.1922336,0.029047413,-0.14238503,-0.073722869,-0.15544433,0.050364314,-0.15275225,-0.072126506,-0.12746427,0.086763705,-0.27150407,-0.19499256,-0.11082239,0.023869551,-0.26188476,-0.098579081,-0.065739024,-0.062867068,-0.31434576,-0.090408893,-0.12803348,0.019624609,-0.27004321,-0.19673294,-0.083663878,0.099740115,-0.31861521,-0.045220021,-0.10908307,0.069756849,-0.34657759,-0.057093637,-0.20863904,-0.023460502,-0.28728141,-0.037539805,-0.082455487,0.035816767,-0.22796682,-0.10208148,-0.14813206,0.064559564,-0.34742637,-0.090871523,-0.11997718,0.10968667,-0.30567845,0.25098202,0.25026526,0.25796564,0.24433321
-19709.511,0.98047283,9.6054697e-05,10,1023,0,19747.007,-0.090328591,-0.10316858,-0.23051383,-0.091274211,-0.15185534,-0.095439924,-0.13343814,-0.089736481,-0.17473747,-0.2781901,-0.22728901,-0.58777825,-0.088175445,-0.036287415,-0.067666916,-0.14835514,0.23686362,0.07128605,0.14944731,0.11672565,0.1109343,0.068942137,0.11493737,0.17643862,0.14687439,0.3118201,0.13139359,0.88715791,0.10354229,0.085445553,0.19291091,0.27314625,-0.062376842,-0.53528507,-0.10698328,-0.12848183,-0.22967898,-1.1669862,0.95496362,-0.91965703,0.61505812,0.42648891,1.4694351,0.16293961,-0.030164034,-0.80624229,0.85039498,-0.73914709,0.88828767,-0.36545126,1.6450824,0.068914539,0.43144472,-0.76942426,2.2132,-0.73083348,0.4324212,-0.0068179902,1.8964823,-1.3702816,-0.51264933,-0.044723857,0.64402923,-0.8612,0.42035523,0.60673612,0.59050041,-1.0864852,0.61663115,0.52198563,0.98693731,0.051849258,0.25115848,1.1127399,2.5843206,-0.65958774,0.60676254,0.56255159,0.74177709,0.23544183,0.11955393,-1.4321286,0.46826408,-2.094891,-0.099376756,-0.64078032,0.64516825,-2.32394,-0.12392208,-0.36507185,0.71415801,-1.5277509,0.19282559,0.062894913,0.92935591,-0.65205874,1.6070382,-5.19677,0.0013701094,-0.1051034,-0.21711815,-0.11566904,-0.12076126,-0.11954149,-0.18635842,-0.035092999,-0.1687273,-0.13859505,-0.16677621,-0.01091071,-0.20616295,-0.094795127,-0.18538337,0.0079886966,-0.17755164,-0.053313776,-0.19239642,0.030640714,-0.14421036,-0.065695204,-0.14848568,0.057142815,-0.14582515,-0.083736788,-0.13422179,0.084538553,-0.29093472,-0.18018762,-0.097627497,0.023895151,-0.24168542,-0.11299806,-0.085623476,-0.088008086,-0.33431432,-0.085912116,-0.11542449,0.029556786,-0.26202246,-0.19428839,-0.081082124,0.11227415,-0.31395461,-0.049484064,-0.08870616,0.070295166,-0.37890417,-0.075796557,-0.23646132,-0.039690308,-0.30508526,-0.044778717,-0.091039244,0.018839342,-0.23485775,-0.091572837,-0.13809326,0.070101957,-0.36238673,-0.095685553,-0.13117563,0.10549494,-0.32646254,0.25032358,0.24966447,0.25694407,0.24393026
-19703.455,0.94744559,9.6054697e-05,10,1023,0,19756.679,-0.090295366,-0.10053278,-0.2334766,-0.083914337,-0.14456822,-0.096834582,-0.13319269,-0.09895943,-0.17576806,-0.26762588,-0.22581242,-0.58619256,-0.083336833,-0.039675905,-0.050908078,-0.15166032,0.24927162,0.070283977,0.14770164,0.11657009,0.1159779,0.068130217,0.11199317,0.17172559,0.146514,0.29984078,0.12866073,0.91499006,0.10076657,0.084966272,0.18980799,0.26551554,-0.086695295,-0.51812966,-0.15369525,-0.14783505,-0.20803755,-1.174321,0.92683087,-0.89516146,0.58089707,0.40418109,1.4964723,0.17062218,-0.016885553,-0.80925074,0.88893741,-0.78385839,0.90479451,-0.3952364,1.6285802,0.063973728,0.42549267,-0.77865989,2.1349884,-0.68128366,0.47672595,0.004460472,1.8412582,-1.3743402,-0.51510155,-0.061390816,0.60004864,-0.91729468,0.44801946,0.58688673,0.58004297,-1.0697786,0.62764438,0.47934887,0.94164788,0.023714627,0.25024013,1.1466337,2.5255148,-0.64364382,0.57776725,0.52686676,0.72569138,0.25272566,0.094275007,-1.4266141,0.47015427,-2.07741,-0.1303289,-0.65829073,0.64402713,-2.3257892,-0.11290384,-0.37353596,0.71599391,-1.537862,0.18903023,0.078765428,0.94760231,-0.62736129,1.3395547,-4.0961238,0.0014099067,-0.11190604,-0.21945038,-0.12860723,-0.12714645,-0.11515449,-0.18306874,-0.035391425,-0.16344829,-0.14767715,-0.17377839,-0.012445183,-0.20827542,-0.085882687,-0.17824877,0.019709178,-0.17528878,-0.039632054,-0.19040691,0.044311087,-0.13714868,-0.067845674,-0.14988485,0.048622641,-0.14325059,-0.079802638,-0.13269315,0.073015654,-0.2871094,-0.18741555,-0.1095018,0.0040842773,-0.2564824,-0.11012694,-0.089780937,-0.090783644,-0.33250559,-0.079432504,-0.12389755,0.014718549,-0.26051527,-0.19361634,-0.078285694,0.099122161,-0.30862411,-0.057541262,-0.1041147,0.077807843,-0.35495109,-0.073837064,-0.22709185,-0.035960998,-0.29267032,-0.050749467,-0.095608415,0.015044679,-0.23728954,-0.072338127,-0.12180819,0.084993285,-0.34280657,-0.10146985,-0.13074687,0.099942826,-0.31823449,0.25229173,0.25102939,0.26056026,0.24427255
