# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 16:29:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f67241cb58b.json
# init = 2 (Default)
# random
#   seed = 1184340258
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141729-4-18705f.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141729-4-92db82.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.0022714
# Diagonal elements of inverse mass matrix:
# 0.0125189, 0.00245042, 0.0126331, 0.00732806, 0.00683983, 0.0152431, 0.0415985, 0.0108611, 0.019779, 0.029604, 0.0107119, 0.0372775, 0.014002, 0.0115406, 0.0226103, 0.0428614, 0.516472, 0.396054, 0.455807, 0.27282, 0.222284, 0.41763, 0.334809, 0.35401, 0.373646, 0.471552, 0.240436, 0.406198, 0.33688, 0.305612, 0.337969, 0.318407, 0.503761, 0.288306, 0.282656, 0.296069, 0.282304, 0.267573, 0.397722, 0.23462, 0.246824, 0.279695, 0.232949, 0.20349, 0.242293, 0.322148, 0.256131, 0.215728, 0.672777, 0.302346, 0.300097, 0.316707, 0.317428, 0.321601, 0.365552, 0.233315, 0.257799, 0.268539, 0.208692, 0.202991, 0.193254, 0.303893, 0.276142, 0.205052, 0.488171, 0.499265, 0.383537, 0.586208, 0.359908, 0.581164, 0.654661, 0.423184, 0.320725, 0.447035, 0.35621, 0.28535, 0.380843, 0.494229, 0.344789, 0.343779, 0.442965, 0.337648, 0.476817, 0.292258, 0.310366, 0.34698, 0.443883, 0.409675, 0.503647, 0.47009, 0.324717, 0.578218, 0.321464, 0.49983, 0.695626, 0.449197, 2.09143, 33.3286, 1.06349
-19701.115,0.94474387,0.0022714029,10,1023,0,19749.747,-0.20585075,-0.12875846,-0.0033341295,-0.021826016,-0.14373251,-0.21328389,-0.20858399,0.04644343,-0.055740481,-0.13727337,-0.11211814,-0.18293092,-0.28305048,-0.13863604,0.0067588569,-0.30873991,0.096825407,0.029834179,0.30118928,0.13899328,0.16072672,0.23336393,0.43312537,0.35677592,0.11118118,0.089132947,0.13070654,0.45176869,0.57038014,0.084556756,0.26636577,0.78943509,0.89630642,-0.59102807,1.0987542,1.0203988,0.28059488,-0.62707155,1.559779,-1.4038505,-0.52137656,-0.37391102,-0.080415967,-0.65267597,-0.49323986,-1.2082468,0.55188266,-1.0854745,0.90128152,-0.18715832,0.98412258,-0.34964681,0.65475194,0.29520649,1.3915866,0.25290939,0.23061414,0.27032597,0.59331824,-0.15614085,-0.56100713,-0.55584988,-0.065548197,-0.97833046,-0.91068198,-0.15273596,0.0045626363,-2.0681766,0.13378353,-0.13121288,1.5633192,-1.5802234,-0.53885166,0.08426342,1.2840946,-1.2611042,0.22854909,0.2314272,0.53812237,-0.42493816,0.38585469,0.16528777,0.47786116,-0.061431158,0.85060675,0.84598721,1.7988883,-0.82380429,-0.093510901,-0.55575538,0.18406854,-1.3711425,0.25671146,0.2837354,0.57871243,-0.03013394,1.3405592,-4.1155608,0.011910427,-0.11906551,-0.26307728,-0.09946342,-0.10705022,-0.12038714,-0.14746663,-0.082223737,-0.17064119,-0.16036716,-0.11595212,-0.027554557,-0.19991314,-0.090383043,-0.18976421,0.054881967,-0.17269968,0.0011275043,-0.17381386,0.014442277,-0.1999301,-0.060488411,-0.14439335,0.11146222,-0.15426397,-0.10869916,-0.091498955,0.048397193,-0.27621256,-0.15371041,-0.15187042,0.023057412,-0.30260132,-0.15699118,-0.072721845,-0.055233201,-0.2856828,-0.12534885,-0.14896876,0.0020698806,-0.27812334,-0.18254958,-0.10110436,0.055721429,-0.27695271,-0.079679598,-0.078379358,0.060175914,-0.37490468,-0.062966631,-0.18877362,-0.010487966,-0.3180896,-0.066711494,-0.067102107,0.013472116,-0.20829426,-0.018149246,-0.14127535,0.055788415,-0.35846656,-0.10608288,-0.084749229,0.14811599,-0.3325287,0.25172986,0.24882241,0.26405669,0.2445873
-19701.382,0.99103219,0.0022714029,10,1023,0,19740.342,-0.18979206,-0.12899982,0.01384606,-0.019619678,-0.16717453,-0.25292752,-0.23088816,0.0012544534,-0.063436054,-0.12410576,-0.096879666,-0.19930315,-0.25430977,-0.14408149,0.0088602468,-0.32783903,0.079793924,0.033676366,0.30710557,0.14491408,0.16372505,0.22062455,0.46351557,0.28303503,0.11924955,0.10402562,0.1485257,0.50272683,0.49128573,0.098335245,0.24086807,0.88037276,0.81410123,-0.55661143,1.2224268,0.99412728,0.084531777,-0.84716557,1.6727675,-1.4729792,-0.44254728,-0.46260655,-0.0548186,-0.65575254,-0.27075449,-1.2347484,0.41027907,-1.0880863,0.66402427,-0.36985196,1.0528344,-0.11999757,0.69472172,0.35635937,1.3968364,0.43451251,0.43267675,0.17007308,0.59535741,-0.14781582,-0.61021264,-0.35334629,0.019068922,-1.0637844,-0.81919102,-0.071380198,-0.21862648,-2.0677571,0.033675859,-0.12253974,1.7461679,-1.616505,-0.69367408,0.30845732,1.0008526,-1.2487971,0.30969666,0.17811473,0.53680059,-0.35861425,0.36451477,0.092012744,0.64033194,-0.086752233,0.92755017,0.76577039,2.0595325,-0.97380404,-0.32105157,-0.65987242,0.31256818,-1.4655535,0.29309418,0.28645653,0.54434092,-0.0046905344,0.69643897,-1.5213359,0.013507891,-0.12483173,-0.23420627,-0.092249833,-0.11046674,-0.12615309,-0.15752928,-0.072667087,-0.17860441,-0.12206268,-0.12822299,-0.0029890372,-0.1875392,-0.058855815,-0.19855211,0.039835535,-0.1772987,-0.058457125,-0.22772856,0.0052008389,-0.18682114,-0.099654851,-0.17430589,0.055248893,-0.15706339,-0.030335746,-0.15205663,0.045069277,-0.29940309,-0.1714571,-0.098754924,0.0066516263,-0.2998338,-0.16112421,-0.07194811,-0.089507162,-0.31001515,-0.12060261,-0.13685303,0.057540434,-0.29226369,-0.19990809,-0.051065829,0.051772659,-0.28235813,-0.043610328,-0.10976009,0.070560908,-0.37958815,-0.075228861,-0.20910522,0.060276177,-0.2969299,-0.052870619,-0.068779274,0.058443142,-0.23984075,-0.068470823,-0.15008195,0.084147939,-0.3441448,-0.0698069,-0.075650507,0.15138389,-0.33196845,0.26102214,0.24805325,0.2641733,0.24460329
-19708.57,0.99329932,0.0022714029,10,1023,0,19755.436,-0.17765406,-0.14003454,-0.0047542258,-0.04811185,-0.16260269,-0.26119743,-0.23671263,0.0018943401,-0.073245784,-0.12500132,-0.097317807,-0.19849448,-0.2070197,-0.14041271,0.016352413,-0.32920868,0.074525634,0.034740192,0.2825351,0.15038919,0.16765219,0.24136024,0.45130228,0.25405587,0.09241581,0.095391133,0.13612999,0.41443719,0.37907382,0.084099578,0.23594591,0.8514506,0.75233093,-0.5156441,1.179434,0.86146471,-0.041042787,-0.6579595,1.5871651,-1.5470487,-0.60864554,-0.38596292,0.012128445,-0.64884742,-0.33469365,-0.97486087,0.6586198,-0.8894829,0.65476951,-0.20376567,1.0773457,0.10068722,0.8437924,0.34007102,1.4857505,0.42993127,0.21002292,0.22106267,0.65134974,-0.14973141,-0.49988401,-0.60119389,0.15194993,-1.2167324,-0.63655329,-0.36760914,-0.032478026,-2.0610496,0.015566786,0.10745447,1.6009221,-1.5109751,-0.56715021,0.17870669,1.0625283,-1.4284451,0.3060938,0.28127892,0.59786699,-0.37122197,0.41521511,0.076963962,0.56171098,-0.20831907,1.1204904,0.46013623,2.2300732,-0.78778481,-0.21853714,-0.52049184,0.15763791,-1.5791338,0.32345838,0.28189813,0.56011615,0.020465247,0.81302271,-2.0148899,0.01555059,-0.12158612,-0.21608276,-0.08975599,-0.11345286,-0.14146038,-0.16289218,-0.084896125,-0.19377932,-0.17671796,-0.1138023,-0.0013275143,-0.1880764,-0.098446157,-0.19472039,0.050937449,-0.18188046,-0.052829142,-0.19676445,0.018016682,-0.14572225,-0.057539497,-0.17911781,0.097403652,-0.15742912,-0.14192881,-0.13694654,0.057242992,-0.30428676,-0.12510413,-0.1508425,0.040498112,-0.30722367,-0.13207337,-0.10721868,-0.076247267,-0.26371935,-0.12351638,-0.11475111,0.027712451,-0.26913494,-0.17452396,-0.072990467,0.047324158,-0.29177203,-0.071637825,-0.081922036,0.049283833,-0.35234267,-0.049622523,-0.17784468,0.0059102287,-0.285988,-0.046179941,-0.10171544,0.047135504,-0.20666508,-0.03521053,-0.10645551,0.053546433,-0.35623774,-0.053799852,-0.089186353,0.14770255,-0.31178354,0.25145983,0.24832818,0.26390055,0.24487312
-19696.546,0.98887257,0.0022714029,10,1023,0,19749.558,-0.13096898,-0.17557648,-0.13347759,0.047077745,-0.14645338,-0.2326274,-0.19708152,-0.035505328,-0.15017965,-0.04481395,-0.07792205,-0.19527602,-0.18871964,-0.10525384,-0.15303135,-0.18682819,0.042509021,0.095987201,0.17444546,0.13598145,0.10009168,0.18905527,0.14687277,0.27310358,0.13387513,0.1008795,0.2308952,0.95352311,0.30668938,0.12633643,0.45405332,0.31156132,1.8188763,-1.8162725,0.27111815,-0.018030369,0.58284467,0.18065788,1.2250751,0.33557426,0.18038865,0.068689232,0.66215797,-0.38391552,-0.84980642,-1.7103598,-0.15487595,-1.5010964,1.0679017,-0.81357537,1.7519582,-0.43572251,0.55275772,0.47708053,1.6352894,0.4128821,0.87638926,0.77521608,1.9935281,-0.50423864,-0.65523172,-0.30799359,0.30016404,-0.92701878,0.014337901,0.27484257,0.69845888,-1.1314629,-0.50968923,-0.88293902,0.33213513,-2.5034571,-0.38752969,-0.032425981,0.5693205,-0.87513066,0.17130655,0.10635965,0.29673597,-0.17335577,0.40873893,0.010401066,0.64455839,-0.38401528,0.61651573,0.12964766,1.2658817,-1.2695999,0.22182196,0.10162507,0.47712673,-0.35142643,0.31837284,0.31183187,0.85909414,-0.38261629,1.4099343,-4.3599514,0.022233143,-0.053650326,-0.20817694,-0.11944401,-0.13173543,-0.11963086,-0.15823564,-0.057984952,-0.14336565,-0.10200961,-0.12149507,-0.01796714,-0.20044991,-0.068480164,-0.18549946,0.026017488,-0.15704353,-0.039565299,-0.22788551,0.028903059,-0.19006558,-0.12812565,-0.14243282,0.076532667,-0.15456987,-0.068363801,-0.083223386,0.095713471,-0.27114044,-0.21445145,-0.11961948,0.046470546,-0.28867748,-0.14826016,-0.11338506,-0.056673373,-0.30165439,-0.096231145,-0.1338844,-0.011308324,-0.29736145,-0.1674008,-0.085409053,0.053531322,-0.27998552,-0.031931275,-0.093859643,0.087668583,-0.36057475,-0.063363748,-0.18552974,0.0089595765,-0.30649304,-0.027365445,-0.088874618,0.054673126,-0.26565056,-0.052312352,-0.10688815,0.063609623,-0.31259769,-0.087635525,-0.089673438,0.08083232,-0.30603662,0.25593944,0.2469609,0.26069739,0.24740964
-19691.433,0.99500156,0.0022714029,10,1023,0,19736.76,-0.13049168,-0.16603902,-0.057057117,0.0096674058,-0.11792831,-0.17987053,-0.26581412,-0.17910781,-0.14438164,-0.1042372,-0.16134389,-0.16310916,-0.21218754,-0.028276229,-0.11988688,-0.44351967,0.089400981,0.042796308,0.18757072,0.15785974,0.072907337,0.16932654,0.21400024,0.2768164,0.16885254,0.098563462,0.28858373,0.85874614,0.603131,0.12898808,0.31091335,0.57208803,0.52416676,-1.1605064,0.25022154,0.31328473,1.8000768,0.39533495,2.6581709,-0.0076670791,-0.061259317,-0.290193,0.25673223,-0.71980854,-0.57757387,-1.238122,0.16652316,-1.0590468,1.2948396,-0.59086922,1.3792801,-1.0085833,0.38396411,0.1928996,1.5258135,0.20675114,0.82234407,0.7800932,1.5945766,-0.086955291,-0.18237448,0.20531566,0.67525006,-0.45289362,0.34707996,0.31457643,0.6507778,-1.1017185,-0.21105532,-0.38749654,1.239523,-1.9887861,-0.10998209,0.28838707,0.79654707,-0.40380279,0.1227094,0.088965189,0.2947835,-0.23521782,0.22233317,0.021642263,0.40856223,-0.1059866,-0.0495128,-0.46055263,0.71617639,-1.6017452,0.19180227,0.044884191,0.65778596,-0.76229648,0.62074587,0.65124714,1.0076078,0.21080471,1.2341392,-3.6742442,0.017576201,-0.083630652,-0.23424208,-0.10812162,-0.10248371,-0.089002383,-0.14912015,-0.052279124,-0.16636715,-0.068547571,-0.11148883,-0.0089016677,-0.19207212,-0.081508255,-0.18578221,0.035954709,-0.15751344,-0.023525002,-0.16100701,-0.017368669,-0.19146143,-0.11485522,-0.14720751,0.078490196,-0.14486208,-0.089832293,-0.098873988,0.075425656,-0.28442257,-0.22959206,-0.12227307,0.0078124793,-0.30447619,-0.085776302,-0.091264606,-0.034496151,-0.3304096,-0.12503954,-0.1424302,0.017934484,-0.30025884,-0.19308293,-0.07812008,0.068526627,-0.27787481,-0.057732936,-0.086710643,0.090035035,-0.36510155,-0.078091509,-0.19913442,0.03422901,-0.27611134,-0.03466279,-0.087682029,0.064101987,-0.23488227,-0.060252996,-0.10593179,0.084627552,-0.35689503,-0.088398388,-0.070948974,0.13292069,-0.32292082,0.25267733,0.24817798,0.26145011,0.24627575
-19707.748,0.97289013,0.0022714029,10,1023,0,19747.496,-0.13454428,-0.17076271,-0.092204262,-0.059967583,-0.096258138,-0.1815902,-0.19765576,-0.095189117,-0.11098723,0.025751294,-0.13035339,-0.10310319,-0.35689456,0.031431902,-0.080338307,-0.28458265,0.058279045,0.049559227,0.19676277,0.12952585,0.16036103,0.12887653,0.23881346,0.2312439,0.19821723,0.093153377,0.11136716,0.82120929,0.49700554,0.18280321,0.13021836,0.72851957,1.2114679,-1.3267616,0.63409453,0.080297246,0.20524935,-0.33796279,1.4732906,-0.22278539,-0.09105151,-0.23059883,0.37484754,-0.61026417,-0.25176345,-1.1345949,0.87925639,-1.0265052,0.6913824,-0.30491267,0.45699382,-0.52360569,0.54405527,0.1677593,2.1078015,0.3257066,0.51425717,0.48921029,1.1559784,-0.33102845,-0.31072646,-0.1350604,0.41020567,-0.95999574,-0.025448349,0.0313838,0.14019569,-0.87040955,-1.1516786,-1.1955409,-0.29519435,-3.206307,-0.47073786,0.48253371,2.0742778,-1.2266398,0.069574814,0.045740355,0.23102382,-0.31413921,0.62159436,0.26855512,0.75931104,0.17560885,-0.37039728,-0.7904799,0.33860738,-1.4522545,0.39647252,-0.59849814,1.2692533,-2.1243615,0.27563947,0.2883384,0.52381095,-0.052600336,1.1430965,-3.3485162,0.012688421,-0.063941082,-0.21186668,-0.097589854,-0.12986463,-0.16059071,-0.18751188,-0.09774756,-0.18180378,-0.11011981,-0.13757753,-0.018448223,-0.21228153,-0.092577457,-0.20692695,0.053918849,-0.19292655,0.014612654,-0.14515425,-0.022974139,-0.18022408,-0.11147425,-0.15996997,0.090055945,-0.13961427,-0.074844226,-0.080825758,0.07840744,-0.27670981,-0.16704271,-0.12642101,-0.00033155817,-0.31718227,-0.11603153,-0.10476642,-0.083198026,-0.2835174,-0.08153146,-0.085617373,-0.0017470568,-0.27292703,-0.18277813,-0.076614979,0.10065304,-0.26696077,-0.045967708,-0.065540787,0.086615715,-0.36107723,-0.047958717,-0.22342118,0.020487236,-0.26961599,-0.03627791,-0.11307036,0.09333042,-0.23404489,-0.028710305,-0.15827375,0.084941777,-0.35696918,-0.083773903,-0.074522485,0.097023874,-0.32290303,0.25351247,0.24613845,0.26627732,0.24206999
