# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 16:42:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f67cc7d7d7.json
# init = 2 (Default)
# random
#   seed = 779152716
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141742-1-581872.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141742-1-219a7e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00258354
# Diagonal elements of inverse mass matrix:
# 0.0112526, 0.00791844, 0.0867021, 0.00861332, 0.0137688, 0.0117045, 0.042884, 0.0475111, 0.0187534, 0.016842, 0.0794666, 0.034008, 0.0387317, 0.0204029, 0.0256671, 0.117761, 0.456672, 0.484671, 0.639761, 0.355209, 0.348386, 0.330407, 0.365198, 0.428027, 0.33159, 0.354357, 0.484194, 0.360418, 0.394307, 0.351238, 0.276779, 0.411133, 0.353548, 0.373466, 0.382111, 0.233497, 0.2626, 0.248463, 0.269995, 0.325637, 0.246774, 0.302, 0.271193, 0.276107, 0.298655, 0.279245, 0.254675, 0.253448, 0.585445, 0.392727, 0.351276, 0.314912, 0.364737, 0.261052, 0.257662, 0.283274, 0.268745, 0.292065, 0.288145, 0.263009, 0.327575, 0.252548, 0.222508, 0.255355, 0.344475, 0.558342, 0.578197, 0.473738, 0.338938, 0.510149, 0.416412, 0.45478, 0.320579, 0.450743, 0.515423, 0.404688, 0.443907, 0.424639, 0.375194, 0.403862, 0.292543, 0.422135, 0.534157, 0.264584, 0.396383, 0.272525, 0.473243, 0.590144, 0.481516, 0.505517, 0.394494, 0.565373, 0.525376, 0.442389, 0.427677, 0.484748, 2.16378, 32.8874, 1.10787
-19693.696,0.99744032,0.0025835371,10,1023,0,19746.21,-0.17381372,-0.30261467,-0.11612856,-0.10317911,-0.24522581,-0.14077259,0.038512609,-0.31257354,-0.26378018,0.031821387,-0.23469744,-0.2603763,-0.19622701,-0.0023085902,-0.031348663,0.033505012,0.12206634,0.17977894,0.16237145,0.20174775,0.468932,0.13399035,0.56929308,0.17987816,0.17666061,0.41079131,0.24633637,0.2037537,0.1605307,0.15230221,1.7505981,0.23672334,0.88363914,-0.64494869,0.033521818,0.22420221,0.9665883,0.81195986,1.5258049,0.73845236,-0.38344173,0.092820445,0.49383661,-0.68216649,-0.15993007,-0.34554019,0.42945683,-0.37165536,0.40574517,0.11567241,0.62450693,0.10895227,0.39327325,-0.068926586,1.2532952,-0.12701502,-0.23038441,-0.28521382,0.09556398,-0.55089378,0.88633078,1.0263487,1.6217081,0.23667207,0.82791667,0.90626547,1.2040111,-0.25606024,-0.36958479,-0.31274597,-0.031389046,-0.74956948,0.2522766,0.5994223,1.2527043,-0.16564422,0.92051622,0.90946148,1.4607955,-0.52186034,0.69835257,-0.058506574,1.3070045,-0.63780561,-0.12964052,-0.46288003,0.40023222,-1.5799736,-0.0048477751,-0.044210795,0.084312747,-0.18000893,-0.42026033,-0.5020375,0.37594014,-1.3103701,-0.32386169,2.3651759,0.083957721,-0.065951133,-0.25254025,-0.16972184,-0.14644618,-0.12884245,-0.15664139,-0.028307088,-0.16985649,-0.17838855,-0.10105716,-0.035943587,-0.22689292,-0.13544464,-0.17289107,-0.016537162,-0.17815975,-0.054958912,-0.19098331,0.047625477,-0.1941346,-0.08807777,-0.15000809,0.027156875,-0.15779138,-0.092643644,-0.12385764,0.092916522,-0.27510741,-0.15314199,-0.12795583,-0.020863663,-0.27000141,-0.11751991,-0.10367876,-0.051078833,-0.30901593,-0.12000084,-0.096651942,0.018927039,-0.27609524,-0.17255253,-0.087037925,0.073889192,-0.27550163,-0.072817707,-0.075070152,0.037266198,-0.36670727,-0.084119983,-0.20561911,0.013587335,-0.29861439,-0.022053127,-0.072806241,0.058647659,-0.24294205,-0.039835169,-0.108744,0.11624907,-0.34647195,-0.065980416,-0.085338981,0.12249882,-0.27669017,0.25405435,0.25817681,0.26848642,0.25130333
-19691.49,0.99730271,0.0025835371,10,1023,0,19740.979,-0.14587144,-0.22370162,-0.073246507,0.0033579323,-0.26523347,-0.17243245,-0.023616808,-0.52590972,-0.21263344,-0.13679863,-0.25504772,-0.24524635,-0.1216431,0.0065376181,-0.049005028,0.049603333,0.08566935,0.1154617,0.10772526,0.36354472,0.49818766,0.41597925,0.31284067,0.51863178,0.12582245,0.28707301,0.1846953,0.32836058,0.23623496,0.27793511,1.0830545,0.23302517,0.22533703,-1.5131256,0.835431,0.18975341,0.73810481,0.35382131,1.7383225,0.45637744,-0.39179753,-0.25943199,0.27179924,-1.0732136,-0.13104205,-0.62643816,-0.0059813196,-0.53808146,0.48026691,0.16982923,0.52082723,0.11501399,0.066602721,0.13361007,0.61598811,-0.016574766,-0.26534197,-0.23694212,0.31593071,-0.83533008,0.72153516,0.77985552,0.93291689,0.45398954,0.76511358,0.87612471,1.4245167,-0.970234,0.067225068,0.08965478,0.52924811,-0.57299464,0.33351453,0.86298025,1.8179257,-0.15338569,0.62009362,0.44082745,0.97489888,-0.31752272,0.24605271,-0.32220785,0.69578185,-0.75078451,-0.23606415,-0.33172316,0.051446706,-0.90308716,0.00011155869,-0.058368117,0.10616832,-0.24827681,-0.58346699,-0.37976523,0.16898025,-1.489715,1.1477063,-3.1293037,0.047480755,-0.12656697,-0.27549993,-0.074300612,-0.12961539,-0.13847878,-0.18284881,-0.022991936,-0.1710075,-0.115453,-0.10119388,-0.043966864,-0.18885872,-0.044281714,-0.22438036,0.0011834552,-0.19225874,-0.025970424,-0.18062665,-0.0057637709,-0.20793492,-0.1447271,-0.11685343,0.083805824,-0.17932721,-0.10662657,-0.097741942,0.075219166,-0.28494203,-0.15169865,-0.12145186,-0.04206937,-0.29045631,-0.11636498,-0.10239729,-0.033397261,-0.33471066,-0.11750012,-0.11106116,0.01513422,-0.30128992,-0.19344915,-0.095659325,0.08071461,-0.28337733,-0.041632053,-0.10049599,0.074872009,-0.34950829,-0.063516848,-0.19775986,0.042724898,-0.29900465,-0.059072899,-0.085659896,0.020836464,-0.24446201,-0.048884204,-0.11222088,0.065981042,-0.31790234,-0.086359161,-0.038891523,0.088979985,-0.29753776,0.24211567,0.27118751,0.27224477,0.24712872
-19694.929,0.98184084,0.0025835371,10,1023,0,19736.557,-0.12374231,-0.19648737,-0.11791814,-0.10235449,-0.37599442,-0.15189605,-0.036049603,-0.54177833,-0.17189372,-0.10601043,-0.18793338,-0.14001187,-0.15438518,0.010445203,0.074056933,5.2275114e-05,0.039659002,0.071471123,0.13068961,0.2536786,0.82527609,0.20530217,0.25024691,0.57096174,0.25416956,0.21855702,0.19114071,0.30800179,0.31019927,0.4572223,0.95509449,0.19818196,1.0761902,-1.7066384,0.93246756,-0.86249437,1.0014746,0.69912048,1.936362,0.17985287,0.39734189,0.13647083,1.147608,-0.62684336,0.032685823,-0.2615939,0.59148787,-0.23149622,0.43353697,0.24472832,0.44584049,0.20080902,0.43393295,-0.11703304,0.93626348,-0.12561459,-0.24789816,-0.48529512,0.33693846,-1.079231,0.6010032,0.72609958,0.93888096,0.46982478,0.35806247,0.23983277,0.52161785,-0.46810045,0.13379962,-0.10149569,0.60383192,-0.85821472,-0.13912549,0.54220226,1.3379924,-0.46915069,0.22881286,0.24381855,0.6132373,-0.76338429,0.28231648,-0.10301634,0.53344144,-0.5177256,-0.1229219,-0.16266605,0.036105869,-0.59576405,-0.12209069,-0.19864955,-0.016413669,-0.43155733,-0.63901961,-0.39104818,0.44941165,-1.6257143,1.0498744,-2.9946244,0.095963849,-0.081061678,-0.19142588,-0.086761574,-0.15794797,-0.12491085,-0.14652044,-0.058093404,-0.18363308,-0.065989679,-0.10008282,0.032062304,-0.19984005,-0.094062794,-0.16871526,0.047693327,-0.16108012,-0.018206717,-0.17402599,-0.0080529233,-0.21027153,-0.062808674,-0.17592319,0.040320874,-0.177685,-0.098085351,-0.15749321,0.048268202,-0.30612383,-0.1986285,-0.12720325,-0.0057132226,-0.27352636,-0.080885144,-0.11093553,-0.039314346,-0.29087061,-0.076767584,-0.12819303,0.025961274,-0.29357928,-0.21452593,-0.084296456,0.067811427,-0.27760718,-0.069537097,-0.064915318,0.048866317,-0.37513559,-0.066810819,-0.18634078,0.011087961,-0.31498329,-0.045757428,-0.063929341,0.026953611,-0.2619514,-0.042551215,-0.11567216,0.058380328,-0.3381211,-0.12658988,-0.07744642,0.089117557,-0.32213497,0.25700805,0.24865168,0.26355085,0.24809302
-19692.997,0.99848354,0.0025835371,10,1023,0,19737.592,-0.1286284,-0.17914357,-0.12466998,-0.10771172,-0.48410511,-0.0625762,-0.068881702,-0.40858354,-0.064973581,-0.21872552,-0.20006248,-0.125532,-0.085586545,0.16196558,0.39098849,-0.10347367,0.044034039,0.10930774,0.10429079,0.080477419,2.0370516,0.25667528,0.23955726,1.5814629,0.33430405,0.39451508,0.12838463,0.34342087,0.35499342,0.49835292,1.026538,0.34117614,1.2885773,-2.7080788,0.5475148,-0.53205995,0.77304667,0.17126841,1.7510447,-0.053867433,-0.081838365,0.093498735,1.7458635,-0.79155886,0.36255043,-0.83729353,1.5983598,-0.77982243,0.228585,0.15548428,0.26303578,0.14268215,0.12565233,-0.29496808,0.50948605,-0.3049443,-0.099589666,-0.20588723,0.4238136,-1.038271,0.16642898,0.18074582,0.25231099,0.067778028,-0.24205079,-0.065605389,-0.0047725116,-0.66028319,0.29949179,0.31703951,0.6745495,-0.23323512,0.14853668,0.9223152,1.8259486,-0.62416573,0.22541474,0.14054458,0.44452145,-0.6905209,0.080523431,-0.39308068,0.31352403,-0.57459757,-0.36753266,-0.48367127,-0.12220043,-0.84274143,-0.43933293,-0.48853648,-0.32490681,-0.70055899,-0.056391405,0.17294494,0.72265061,-0.58789112,0.33100476,-0.10896393,0.033638852,-0.071887137,-0.24787605,-0.10451911,-0.15205715,-0.094643589,-0.16042261,0.01225917,-0.1850317,-0.13320497,-0.11491893,0.057407499,-0.20722228,-0.078534602,-0.17509495,0.020920146,-0.17046982,-0.018465669,-0.16737561,0.051712329,-0.19345421,-0.030324352,-0.13828721,0.068196274,-0.14084786,-0.092739129,-0.11820348,0.032645919,-0.31760706,-0.14538228,-0.12274073,-0.0095630749,-0.3013951,-0.14589214,-0.086905729,-0.066569051,-0.28570893,-0.10057149,-0.09364865,0.047394433,-0.31074029,-0.18099265,-0.081651383,0.03436126,-0.28019576,-0.048119875,-0.077266057,0.027125942,-0.36267129,-0.057001256,-0.2251276,0.025712425,-0.2895649,-0.021195395,-0.07907341,0.10106664,-0.25801707,-0.060003473,-0.11051278,0.057459291,-0.32816196,-0.12271307,-0.04446898,0.14307748,-0.30404809,0.25974511,0.26054071,0.26732252,0.25533368
-19690.46,0.97459182,0.0025835371,10,1023,0,19743.42,-0.11219095,-0.18269493,-0.20139016,-0.10912251,-0.352956,-0.0040271702,-0.13595425,-0.32189022,-0.21615628,-0.15102966,-0.31209549,-0.06303024,-0.10277018,0.40265047,0.26313051,-0.071870722,0.12990354,0.10988144,0.12393184,0.070502512,0.86392229,0.15938923,1.2999963,0.30452034,0.53091262,0.21085176,0.41005091,0.2444322,0.42966433,0.66248254,0.77718392,0.22588113,0.29961116,-0.60617646,-0.57439762,0.095958932,0.68923835,0.46116888,1.9131492,-0.13926927,0.50807556,0.4140565,1.4396263,0.21545429,0.37562838,-1.5051553,1.7019074,-0.95018461,0.34880362,0.18648542,0.41543593,0.17358798,-0.60926096,-0.78854155,0.47002439,-1.0217727,0.045782717,-0.022490799,0.15379398,-0.14174999,0.55390505,0.64040293,0.97700239,0.081394275,0.17683437,0.20415008,0.30981022,-0.13244884,0.35754856,0.11785489,0.69246185,-0.82761421,0.34232585,0.61774083,0.9272628,0.13097447,0.054389192,-0.059708049,0.43243989,-1.2699554,0.028547519,-0.18656928,0.23976418,-0.43420395,-0.62139156,-0.70552289,-0.52255015,-0.9919655,-0.3783246,-0.48901225,-0.2173263,-0.7746774,-0.29982554,0.085422154,0.72009677,-1.1378154,0.76096944,-1.7266024,0.031993882,-0.073270397,-0.19093542,-0.18680723,-0.099725542,-0.10696043,-0.13202103,0.027524664,-0.19799804,-0.13842342,-0.15007538,-0.022974623,-0.17468851,-0.082639768,-0.21523974,0.010866235,-0.17611291,-0.051616775,-0.19184709,0.005948358,-0.20298947,-0.10113681,-0.1297122,0.070889656,-0.16688673,-0.076436891,-0.16519221,0.06397735,-0.32022871,-0.15321487,-0.1268745,-0.024373124,-0.29710401,-0.12227268,-0.10777042,-0.05167412,-0.28647504,-0.075639919,-0.12617975,-0.0050228614,-0.32553358,-0.17172446,-0.058790299,0.068129467,-0.25838928,-0.04973577,-0.07762481,0.042671994,-0.37344823,-0.090504334,-0.18293235,0.00024793087,-0.28933213,-0.0090105901,-0.064746126,0.056470121,-0.25450936,-0.030897285,-0.11692195,0.094228004,-0.33893631,-0.13959565,-0.052575469,0.090785547,-0.32888174,0.2474561,0.25931357,0.27232124,0.2481604
-19689.257,0.99367744,0.0025835371,10,1023,0,19736.556,-0.11630349,-0.15726393,-0.21350369,-0.1123434,-0.32282345,0.016211589,0.10644992,-0.30791575,-0.27942163,-0.094798434,-0.27812838,-0.067037372,-0.07965998,0.23458546,0.43393791,-0.017377373,0.1545599,0.039183633,0.1221237,0.067934357,0.51396394,0.28048,1.0280807,0.20120383,0.40531213,0.22869075,0.44128873,0.19058017,0.32377196,0.46924205,1.0102289,0.21735401,0.39690006,-0.7301079,0.82088455,-0.11544429,0.81960095,0.040290169,1.4423349,-0.018701744,0.71226789,0.76653294,1.8392069,-0.13708001,0.50572596,-1.1027976,1.6901997,-1.0944474,0.56102647,0.27637457,0.6662919,0.25755917,-0.31328923,-0.59096597,0.15764952,-0.63869051,-0.18021805,-0.20957426,-0.021734611,-0.34162292,0.69109087,0.86683131,1.6806572,0.046145731,0.31320526,0.45872683,0.72283835,-0.024131877,0.072884424,-0.084525592,0.75657964,-0.88213941,0.16682528,0.44796949,0.77942152,-0.016255208,0.05006045,-0.075719026,0.67171,-1.4634916,0.11738267,-0.34619884,0.26637394,-0.72805143,-0.59483994,-0.69504694,-0.45570282,-1.0022145,-0.45849722,-0.55650696,-0.3418941,-0.76091443,-0.17705064,-0.29352542,0.39688973,-1.2007078,1.7369448,-5.567721,0.017753136,-0.054958655,-0.2291489,0.010572348,-0.13414655,-0.12514898,-0.15568521,-0.100748,-0.15799673,-0.1265189,-0.11989185,0.011107057,-0.23024441,-0.077987231,-0.18726125,0.0024792319,-0.18669398,-0.034476073,-0.18077688,0.019626564,-0.19044732,-0.071659774,-0.14954255,0.060429128,-0.16292833,-0.078828788,-0.10900935,0.084104982,-0.24476603,-0.16886562,-0.13350598,0.030238907,-0.29863106,-0.15247573,-0.093494077,0.013553527,-0.28920257,-0.078130441,-0.11412866,0.078224333,-0.29653556,-0.20451027,-0.080444496,0.065821552,-0.28530162,-0.057496843,-0.081467917,0.060977235,-0.34594985,-0.041654764,-0.19174946,0.006584433,-0.31538262,-0.044538451,-0.09155979,0.020750534,-0.23569574,-0.029249231,-0.1282615,0.088546614,-0.33475984,-0.05586004,-0.081176299,0.0688882,-0.27835603,0.25262413,0.25770939,0.26693686,0.24933563
