# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 16:42:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f67cc7d7d7.json
# init = 2 (Default)
# random
#   seed = 779152716
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141742-4-581872.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141742-4-219a7e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00261446
# Diagonal elements of inverse mass matrix:
# 0.00479829, 0.0106689, 0.00538004, 0.0126074, 0.0368943, 0.0127484, 0.0268989, 0.0222571, 0.0192093, 0.0136413, 0.0209914, 0.0760943, 0.0162121, 0.0107289, 0.0346417, 0.0387945, 0.422539, 0.501967, 0.391193, 0.373493, 0.374193, 0.392052, 0.322492, 0.374333, 0.379315, 0.37398, 0.350919, 0.496569, 0.259707, 0.389085, 0.315304, 0.330139, 0.378182, 0.275317, 0.237843, 0.331879, 0.295717, 0.247067, 0.32121, 0.248164, 0.265371, 0.255584, 0.244782, 0.230421, 0.302859, 0.247038, 0.310332, 0.284933, 0.481417, 0.308806, 0.280782, 0.389756, 0.287702, 0.296064, 0.320733, 0.2802, 0.293333, 0.243085, 0.232272, 0.211487, 0.331698, 0.220101, 0.291063, 0.290306, 0.362748, 0.463445, 0.538046, 0.529354, 0.393869, 0.470491, 0.472834, 0.508433, 0.367234, 0.471718, 0.427334, 0.363114, 0.393857, 0.429942, 0.411206, 0.390153, 0.263183, 0.376939, 0.37262, 0.362893, 0.307515, 0.338572, 0.564737, 0.374145, 0.509704, 0.434843, 0.377906, 0.469742, 0.473198, 0.412232, 0.534636, 0.525406, 2.11428, 32.157, 1.03972
-19694.021,0.96615356,0.0026144573,10,1023,0,19732.322,-0.13614671,-0.11240935,-0.15876026,-0.083428873,-0.071492143,-0.1076966,-0.13832658,-0.12425379,-0.052373497,-0.28775824,-0.0064830248,-0.0061675949,-0.067402681,0.035020556,0.023738292,-0.079700763,0.10199358,0.062703864,0.080022897,0.30887089,0.14838779,0.10919086,0.14589084,0.19032327,0.76588496,0.28296905,0.17076129,0.27636748,0.48535993,0.38015845,0.18071716,0.19487828,0.75214002,-0.71266968,0.51330082,0.028381369,0.17582054,-0.092632117,1.1396203,-0.63959227,0.21114565,0.67513247,1.5341233,-0.45631376,0.10176357,-0.31300819,0.38885902,-0.24841757,0.17310136,-0.66020999,0.56093617,-0.89117333,0.1003774,-0.20826392,1.7135134,-0.50263594,0.14021401,0.056573545,1.5467655,-0.82591032,-0.17996753,0.073319945,0.63060121,-1.1031534,-0.053674207,-0.029098192,0.015712405,-0.37343634,0.73842036,0.6056151,1.0060391,0.11679233,-1.0416272,-0.41055265,0.59706899,-1.7056954,-0.17679454,-0.29637984,0.28508758,-1.1915992,0.047440234,-0.21352646,0.17725601,-0.46699117,-0.27123575,-0.35066457,-0.0065674349,-0.74540653,-0.16480988,-0.53071497,0.40970423,-1.8708236,-0.10657744,0.10209196,0.80663055,-1.261569,0.7921396,-1.9073307,0.019572557,-0.059433259,-0.20883444,-0.083793323,-0.13325199,-0.10138472,-0.11821774,-0.040950754,-0.15251426,-0.14186377,-0.1047342,-0.035995265,-0.19527581,-0.05199707,-0.18010799,0.036678357,-0.16015783,-0.045806014,-0.16945925,0.011743937,-0.20373139,-0.096736303,-0.13043711,0.079403399,-0.16257984,-0.11787064,-0.13007302,0.087332344,-0.25881933,-0.1585058,-0.1102993,-0.0042357081,-0.33420956,-0.093481765,-0.074659365,-0.040339602,-0.33838278,-0.078808125,-0.1163879,-0.0030803102,-0.25470962,-0.18435263,-0.076589523,0.095473244,-0.29774976,-0.055027856,-0.088077343,0.072621341,-0.33548687,-0.044377093,-0.17103987,0.018630283,-0.29406148,-0.068092005,-0.098287545,0.03252389,-0.24835203,-0.0060456802,-0.072171009,0.097778875,-0.31435164,-0.10047039,-0.059805256,0.077494014,-0.32555317,0.24515061,0.25717295,0.27069422,0.2473837
-19701.074,0.88146316,0.0026144573,10,1023,0,19748.505,-0.1436644,-0.12890346,-0.18101126,0.032681163,0.049604273,-0.067321618,-0.13265523,-0.14020243,-0.016732901,-0.22050588,0.05114266,0.030932402,-0.13092892,-0.017855008,-0.041023117,-0.24924654,0.1197035,0.08527558,0.11601498,0.1522468,0.28023341,0.081297351,0.13652212,0.14502962,0.91372524,0.16283164,0.25919815,0.1989364,0.18483499,0.2505582,0.17734994,0.26000515,0.30673383,-0.78967745,0.072454552,0.24816693,-0.15759095,-0.60609968,0.94357867,-0.38875247,0.58125306,0.22680252,1.4459154,-0.0072906228,-0.72343431,-1.5264879,0.072543986,-1.2043439,-0.26123996,-0.74113788,-0.058823922,-0.85431327,0.033938225,-1.1799151,1.8796558,-1.0460281,0.45462547,-0.057117327,1.5656931,-1.065006,0.12418285,0.009395631,0.60205375,-1.1849493,-0.13679348,-0.061957852,-0.048904202,-0.34221168,0.67429958,0.72335052,1.3608638,-0.40676161,-0.84477429,-0.67873251,0.010742427,-1.2383628,-0.33773554,-0.68055113,0.074989793,-2.0024657,0.37434292,-0.43549651,0.75739955,-0.92690425,-0.075203914,-0.33385729,0.19774743,-0.93890582,0.084518229,-0.32506003,0.59760631,-1.7638661,0.60522066,0.74863165,1.5051979,-0.21111512,1.5070069,-4.4887173,0.048606118,-0.10694729,-0.23819156,-0.13499134,-0.11395795,-0.14234212,-0.18058896,-0.04843924,-0.16205455,-0.1135772,-0.15469877,-0.013263407,-0.18185708,-0.077459398,-0.19972174,0.043725753,-0.15067635,-0.023603893,-0.15808732,0.033119845,-0.18980285,-0.06456253,-0.16324559,0.085489419,-0.15236093,-0.070588795,-0.14045301,0.081096512,-0.27805211,-0.12219224,-0.13883978,-0.052886799,-0.31205518,-0.14172455,-0.073345354,-0.061417905,-0.32942035,-0.11070858,-0.10272153,0.0010858029,-0.28673954,-0.16782127,-0.12478355,0.053927077,-0.26983868,-0.036255491,-0.10445399,0.045850602,-0.36743091,-0.061737252,-0.21142392,0.0090650171,-0.30225327,-0.036697965,-0.10150569,0.031692233,-0.25310556,-0.026033814,-0.098672494,0.064962325,-0.35384467,-0.091886056,-0.054598459,0.14211266,-0.30413756,0.25834085,0.25807911,0.27503643,0.24806576
-19701.441,0.99670933,0.0026144573,10,1023,0,19746.137,-0.12409337,-0.12186093,-0.16614434,0.0041070091,0.019176562,-0.093057077,-0.13259105,-0.10725768,-0.07652268,-0.25733382,0.071508483,0.048345761,-0.10223875,-0.040797655,-0.037859331,-0.19357419,0.085907335,0.12223578,0.085244213,0.097514036,0.32537557,0.08269224,0.14676642,0.16723376,0.89275135,0.17971635,0.2808053,0.20452749,0.21947766,0.23008604,0.15275258,0.16856076,0.3853417,-1.0817505,0.2212735,-0.032207104,0.13472433,-0.65319569,0.78354575,-0.45081961,0.65663447,0.34079711,1.9660558,-0.36688162,-0.66947667,-1.6453452,0.23587663,-1.6050176,-0.22255965,-0.73940658,0.014884209,-0.64545611,-0.24811486,-0.82173203,1.7039346,-0.48125313,0.43869467,0.093396917,1.2381275,-1.2013458,-0.58797042,-0.087331063,0.7743905,-1.1591407,-0.064527865,0.009538741,0.05745868,-0.27069788,1.0085982,0.68879322,1.4148578,-0.24237717,-1.047046,-0.48348437,-0.26997071,-1.1864126,-0.61570253,-0.64340014,0.20537948,-2.0388908,0.16066375,-0.42074898,0.45262084,-0.95957423,-0.067476945,-0.20409311,0.37787255,-0.85767148,-9.3736626e-05,-0.78197316,0.82694317,-1.9127845,0.63713575,0.56615742,1.5326075,-0.73852129,2.1807679,-7.3700787,0.057209569,-0.090989693,-0.21702368,-0.10508435,-0.1268602,-0.10539279,-0.20170481,-0.026083603,-0.17696721,-0.11017005,-0.13709336,0.0014505387,-0.19741887,-0.061176362,-0.15633724,0.027108291,-0.15240474,-0.053238912,-0.22140827,0.02401952,-0.19083908,-0.11357425,-0.16100794,0.047845089,-0.13285298,-0.068205404,-0.11888352,0.049124485,-0.30890827,-0.20558619,-0.12186239,0.022246553,-0.30110515,-0.13413002,-0.068006956,-0.025226366,-0.31818858,-0.07607222,-0.13354641,-0.0030607404,-0.30089296,-0.22250759,-0.064256491,-0.0043007232,-0.26164245,-0.077582329,-0.083247251,0.09035151,-0.36866345,-0.06697664,-0.19458375,-0.0028985813,-0.31284386,-0.056323157,-0.087756629,0.046145545,-0.23813589,-0.03787365,-0.15730775,0.088458371,-0.3300421,-0.086178106,-0.098142268,0.064763299,-0.3180599,0.24480694,0.25573315,0.26550518,0.25358226
-19712.016,0.97341847,0.0026144573,10,1023,0,19754.833,-0.16465042,-0.14165468,-0.17736597,-0.067372383,-0.1709587,-0.079607943,-0.15539294,-0.060632332,-0.14642037,-0.31379618,0.15845367,0.17395885,-0.064763084,-0.12956164,0.019928273,-0.15295867,0.065818979,0.048606646,0.069521054,0.076935097,0.1933673,0.092748089,0.14412547,0.11380456,0.26359916,0.16830866,0.40263303,0.37430185,0.14663091,0.2252531,0.17114269,0.13593811,1.7318982,-0.77108938,0.63852933,0.47140593,-0.24731569,0.12969896,1.595021,-0.77323772,0.86545462,0.60516274,1.5585554,-0.6340721,-0.42684197,-1.938065,0.93844403,-1.6310695,0.63955823,0.038553961,0.8958898,-0.10610713,0.58635814,-0.54031184,1.6262891,-1.0720993,0.29364602,0.45885257,1.5703641,-0.88195354,-0.672605,-0.5688369,0.66853096,-1.9403494,0.12184422,0.22704459,0.39771908,-0.56865794,1.4088027,1.1085897,1.7210888,0.13314918,-0.76886704,-0.56722414,-0.36699345,-1.1316347,-0.61845716,-0.70983114,-0.36762099,-1.4537374,0.015628015,-0.77453719,0.5148254,-1.5715278,0.42485106,0.19600602,0.85561058,-0.44027876,-0.49764216,-1.0835544,0.26367596,-1.8339097,0.29946053,0.49654782,1.8420724,-1.0935955,0.98838021,-2.587972,0.0089186954,-0.050658652,-0.21540274,-0.12262307,-0.13362296,-0.15367586,-0.13535045,-0.064126058,-0.17923917,-0.11719865,-0.13529441,-0.069013554,-0.22144733,-0.10021151,-0.2164776,0.0048268996,-0.19285888,-0.047289058,-0.16350363,0.0022770851,-0.19147635,-0.025224346,-0.12972083,0.07122726,-0.1790431,-0.11307107,-0.089260599,0.070936525,-0.28250491,-0.13717784,-0.12536856,0.015449537,-0.28145294,-0.11430233,-0.086571602,-0.041581951,-0.29631812,-0.07668249,-0.12721093,-0.024122038,-0.29138602,-0.1511176,-0.069929507,0.010689982,-0.29717984,-0.05753081,-0.09173226,0.036357633,-0.37017776,-0.062471534,-0.17833418,0.010726236,-0.29519765,-0.033862622,-0.085410678,0.063167296,-0.2287358,-0.065239546,-0.16551415,0.065054487,-0.29393198,-0.11225057,-0.0854589,0.097449167,-0.30161998,0.26440351,0.26115303,0.27525881,0.24798201
-19721.32,0.75741086,0.0026144573,10,1023,0,19763.123,-0.14327426,-0.14820295,-0.1730299,-0.049577869,-0.25399053,-0.12812167,-0.12134487,-0.062111798,-0.21480824,-0.36191124,0.2793133,0.17863345,-0.095852374,-0.10971873,0.031999004,-0.12953184,0.029266261,0.091716596,0.068825373,0.074012261,0.16004747,0.086648932,0.13834833,0.12107744,0.26115105,0.2178963,0.31452484,0.38642004,0.17925745,0.41921743,0.17952394,0.1311275,1.3715317,-0.53356315,0.53454266,0.71942718,0.089385652,-0.43504392,1.8402662,-0.25450675,0.90680705,0.094294749,1.9442978,-0.66060047,-0.42955273,-1.8635854,1.1567242,-1.0463492,1.1756782,0.30383779,1.4650689,0.55797176,0.26888658,-0.14636502,2.2550987,-0.36917287,0.6825453,-0.16043083,1.276351,-1.0510079,-0.96197442,-0.30239279,0.33488609,-1.8725843,0.41485829,0.45776469,0.73420333,-0.38205729,1.0029443,1.0556614,1.8296502,0.38509734,-1.4343009,-1.1277037,-0.84542819,-1.8673287,-0.60473752,-0.68394488,-0.29816783,-1.3759652,0.055594144,-0.67202097,0.61452104,-1.0534521,0.1757033,0.028943594,0.39149599,-0.34972405,-0.51800375,-0.61442585,0.068954825,-1.8287219,0.46397316,0.45436953,1.6934662,-1.2652386,1.0188301,-2.8086867,0.012110368,-0.10313466,-0.15888966,-0.1276302,-0.12221932,-0.1400048,-0.1881037,0.020579999,-0.17154544,-0.11061857,-0.16654003,-0.039212877,-0.21849597,-0.081370037,-0.18750604,0.036033907,-0.12702054,-0.065826202,-0.20536206,-0.019509956,-0.16468856,-0.10482293,-0.14080404,0.067280231,-0.1601101,-0.02691586,-0.1435402,0.055236171,-0.26675006,-0.1785852,-0.098724743,-0.021564647,-0.28883952,-0.10646756,-0.09526251,-0.023070267,-0.3145829,-0.14337338,-0.13188654,0.036762757,-0.27799996,-0.17180997,-0.075377512,0.013405135,-0.30800794,-0.05504925,-0.085656559,0.063415422,-0.35306709,-0.085886709,-0.21631714,0.014305102,-0.28469151,-0.036060842,-0.097585067,0.054403214,-0.25632914,-0.060995071,-0.078305146,0.044378046,-0.29630037,-0.068692196,-0.069951497,0.09252815,-0.2954394,0.25057321,0.25705287,0.26691446,0.2462514
-19724.056,0.68566352,0.0026144573,10,1023,0,19771.472,-0.17629487,-0.11491009,-0.12925365,-0.11569928,-0.21781277,-0.16717744,-0.12311383,-0.11228599,-0.25068689,-0.33561368,0.23860733,0.12017581,-0.0707773,-0.20795687,-0.14290214,-0.20784527,0.15035154,0.060973473,0.060302974,0.087877104,0.18073246,0.20542926,0.096737534,0.16937044,0.30835473,0.19020041,0.64141332,0.27624997,0.14301186,0.40507157,0.19743636,0.17352265,0.18860535,0.20443906,0.5686804,0.24074622,0.31702966,-0.018640657,0.79149648,-1.0398996,-0.18476455,0.04171032,2.7818166,-0.87825567,0.22414943,-0.84200331,0.97626891,-1.0100358,1.2158992,0.04905412,1.5117357,0.074726461,0.46188103,-0.035065577,1.4165455,0.084071255,-0.0092281901,0.28001947,1.8784585,-1.6021424,-0.34903872,-0.12340383,0.79426533,-1.1244719,0.40166095,0.57353522,0.5646413,-0.25679887,1.0729408,1.3340392,1.7960294,0.31134449,-0.58457924,-0.45695358,-0.26370449,-0.81475471,-0.70832559,-0.7874993,-0.20998512,-1.6951747,0.014838113,-1.0335411,0.83009969,-1.6265338,0.37848084,0.29482692,0.67989043,-0.048657244,0.3829721,-0.050094503,1.1057864,-0.81788909,0.57251266,0.87028481,1.7910419,-0.54285123,0.34676832,-0.092717706,0.071775459,-0.14793776,-0.14555714,-0.090792894,-0.1400983,-0.095579689,-0.11604667,-0.066649799,-0.17831638,-0.1403955,-0.12673839,0.038498168,-0.18221508,-0.096001676,-0.18969209,-0.029907595,-0.2044583,0.0019396823,-0.2089471,0.055406942,-0.20430728,-0.072293568,-0.17438094,0.12382245,-0.14990675,-0.12400655,-0.096025441,0.058603612,-0.27810114,-0.17140283,-0.13318695,0.022239081,-0.30273829,-0.12683284,-0.073834598,-0.076577079,-0.32987204,-0.1315399,-0.081878876,0.0059918494,-0.27639583,-0.13634958,-0.054488779,0.069463759,-0.2839872,-0.075499119,-0.097370852,0.062167421,-0.34811616,-0.068655274,-0.21858593,0.047936799,-0.30339092,-0.054645043,-0.088530871,0.067447409,-0.22766654,-0.067289521,-0.15279262,0.075420303,-0.30438318,-0.10850136,-0.056831146,0.10294105,-0.30204226,0.25768549,0.2454519,0.28645712,0.25453346
