# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 16:55:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f6737df3551.json
# init = 2 (Default)
# random
#   seed = 1812393886
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141755-1-301e6d.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141755-1-813352.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00413684
# Diagonal elements of inverse mass matrix:
# 0.00642626, 0.0152116, 0.0348708, 0.0194079, 0.0276752, 0.0178983, 0.0340938, 0.0177808, 0.0156577, 0.0617923, 0.0302932, 0.0342468, 0.0328276, 0.100159, 0.0281095, 4.12396, 0.377932, 0.46658, 0.423218, 0.421741, 0.39573, 0.386411, 0.365682, 0.366584, 0.370926, 0.661349, 0.361528, 0.29403, 0.365501, 0.571327, 0.267407, 1.82984, 0.463259, 0.316939, 0.318462, 0.311452, 0.31319, 0.289011, 0.256172, 0.219355, 0.244538, 0.26207, 0.298097, 0.237425, 0.299869, 0.274743, 0.25798, 0.418881, 0.511961, 0.313904, 0.32304, 0.376107, 0.357229, 0.313002, 0.238169, 0.222509, 0.278756, 0.280758, 0.261472, 0.225251, 0.276471, 0.270867, 0.247158, 0.398767, 0.390487, 0.568863, 0.530003, 0.538922, 0.396479, 0.585663, 0.428596, 0.382939, 0.330943, 0.36371, 0.421421, 0.340151, 0.444448, 0.37486, 0.35733, 0.370637, 0.332222, 0.288488, 0.428805, 0.322456, 0.38628, 0.349872, 0.419757, 0.45069, 0.567039, 0.702295, 0.441257, 0.473877, 0.45492, 0.598951, 0.470117, 1.04555, 1.11492, 17.3127, 0.747069
-19702.203,0.97010146,0.0041368397,10,1023,0,19744.074,-0.085258336,-0.18249013,-0.046307318,-0.097384972,-0.12773837,0.39227313,-0.21181046,-0.22911624,-0.15573518,-0.083443945,-0.037944052,-0.53795926,-0.43419886,0.0067005689,-0.25649458,0.021976528,0.1153419,0.070375904,0.08740024,0.12877126,0.11888156,0.74793274,0.26637013,0.12836713,0.16560302,0.13364325,0.20378502,0.63918713,0.28013083,0.11324544,0.26676134,0.29684329,0.38869655,-1.2948208,0.12670204,-0.41387646,0.57694193,0.22918039,1.4426498,-0.1060881,-1.2063874,-1.1146533,0.92365523,-1.7290526,0.18097873,-0.59072891,0.84199411,-0.4392693,0.82074872,-0.92240622,1.0948454,-0.42821231,-0.60865398,-0.7203206,-0.39481931,-0.74108476,0.52830513,0.32792997,1.1221689,-0.25682462,0.20630047,0.74636708,1.9694962,-0.55698119,0.18857684,0.35954432,0.63001453,-0.80555439,-0.090941079,-0.60273932,0.50983968,-1.4546948,-0.83049891,-0.04996594,0.58520009,-1.2900558,0.74508041,0.70241496,0.9209872,0.27528855,1.4170959,0.94710456,1.6210918,0.54807569,-0.36004249,-1.060663,0.31464325,-1.9639083,0.79808495,0.50053,1.2020816,-0.20341743,-0.34822028,-0.37629068,0.1439407,-1.0704604,0.68578664,-1.7414294,0.081666061,-0.040425336,-0.23460544,-0.070644282,-0.13299564,-0.14188732,-0.16636136,-0.080962353,-0.18995618,-0.15174587,-0.14372828,0.03442037,-0.19742693,-0.074080112,-0.17345388,0.011039674,-0.15395024,-0.030166482,-0.23739545,0.0024185598,-0.17864491,-0.0629591,-0.14647822,0.09697485,-0.16200842,-0.071085759,-0.12445972,0.087101818,-0.28022087,-0.20263405,-0.13330725,0.023702332,-0.30061432,-0.12450629,-0.096193562,-0.051402879,-0.28913742,-0.095597606,-0.16399599,-0.015307314,-0.27785408,-0.20718729,-0.048126362,0.081310958,-0.30083809,-0.061713446,-0.088984657,0.050723911,-0.36199836,-0.037226618,-0.16888568,0.01991894,-0.28066596,-0.034072601,-0.11341468,0.042332481,-0.21570309,-0.043596373,-0.12297253,0.064174306,-0.31075849,-0.081390324,-0.089722835,0.064704359,-0.29578246,0.25483769,0.24041472,0.25283792,0.26910053
-19704.403,0.97095721,0.0041368397,10,1023,0,19760.368,-0.034989024,-0.29652258,-0.19916006,-0.22689624,0.023098451,0.46446363,-0.055034624,-0.22959689,-0.066479615,-0.19983731,0.0057447069,-0.041219656,-0.12705995,-0.12465886,0.093551322,-0.12391372,0.20423103,0.19727125,0.15045734,0.17429131,0.17639053,0.58943517,0.13211879,0.12872212,0.15222911,0.14107904,0.2000109,0.41095869,0.12123932,0.13458101,0.23519308,0.27972698,0.082467114,-0.98724175,-0.2349125,-0.51097993,0.83180067,0.84716325,1.3363815,0.40772032,0.32352387,0.41312529,1.3574927,0.029367904,0.76694344,0.15412373,1.6628866,0.42254515,-0.34387753,-1.3583287,0.098036273,-1.0134006,-0.95254739,-1.0150957,-0.66012918,-1.0401846,0.12718915,-0.28066811,0.91090735,-1.6576898,0.16930732,0.91037427,1.9008724,-0.53380611,-0.20717398,-0.18863747,0.14070977,-1.622534,0.55486946,0.68528762,1.3871464,-0.70146514,-0.87687179,-0.43656522,0.25883215,-1.5067749,-0.077370187,-0.12155471,0.17703044,-0.79573186,0.51884578,-0.39328713,1.2395544,-1.298344,0.57869065,0.48044161,1.0294964,-0.81920601,-0.60145675,-0.90876824,0.10662149,-1.7437557,0.14719979,0.2833917,0.76529055,-0.70105086,0.014329872,1.4242741,0.097297709,-0.01814668,-0.23661443,-0.082965447,-0.13934698,-0.13243222,-0.12940163,-0.03289293,-0.21609108,-0.15048352,-0.13700233,0.0050846888,-0.19474144,-0.093224661,-0.20003381,0.062930442,-0.15325029,-0.037558291,-0.21649788,0.040391122,-0.15565582,-0.097001308,-0.13386951,0.075360274,-0.14865777,-0.038230547,-0.092116156,0.065313355,-0.27404659,-0.20780329,-0.11241158,0.015087439,-0.29830954,-0.098017527,-0.09519573,-0.045059492,-0.31347653,-0.12155686,-0.10315759,-0.0041400238,-0.29879933,-0.16963921,-0.081573096,0.057513958,-0.2956267,-0.073015607,-0.091173622,0.031532541,-0.36823258,-0.064155444,-0.17474182,0.023222774,-0.28447029,-0.046778088,-0.060000544,0.013891808,-0.23490844,-0.04790714,-0.12018468,0.11862796,-0.31656794,-0.08273797,-0.044641419,0.090158694,-0.32001657,0.25130772,0.24244878,0.24906766,0.27073166
-19703.34,0.92483169,0.0041368397,10,1023,0,19746.255,-0.13709964,-0.045533534,-0.036116045,-0.069642397,-0.11502312,0.36329618,-0.064795533,-0.10043694,-0.25667885,0.042456208,-0.16382335,-0.076913097,-0.15998995,-0.08462155,-0.24290223,-0.1748088,0.043924124,0.083068645,0.11663706,0.078950047,0.078537901,2.3923623,0.26614947,0.24422287,0.35935857,0.32496715,0.36186034,0.27652203,0.11505491,0.14940188,0.28842564,0.38041233,1.2698243,-1.4879613,0.57152015,0.28719491,-1.0348338,-1.35285,0.71126482,-1.8550049,-0.96788986,-0.84785726,0.13036285,-1.4572656,0.15402036,-1.0672377,1.654019,-1.3437005,0.96965294,-0.67308759,1.5945807,-1.2986837,-0.18506239,-0.19501396,-0.13116092,-0.21246621,0.082397429,-0.14351183,0.44998981,-0.79844643,-0.46007093,-0.07930652,0.42478504,-0.74883925,0.49428932,0.47214659,0.58987185,-0.091788867,-0.51714275,-0.38307034,-0.13048099,-1.0117231,-0.089864961,0.17365152,0.5407131,-0.30741924,0.037436831,-0.034659165,0.59922,-0.98428533,0.3905368,-0.40887505,1.8203192,-0.91796071,0.1292533,0.034454166,0.83101632,-0.92320866,0.73596407,0.46958509,1.0235549,-0.39904232,0.25068171,0.24257542,0.64573897,-0.46042018,1.062176,-2.9103148,0.07923246,-0.081323718,-0.20245703,-0.11199612,-0.12448485,-0.13149577,-0.15791295,0.01355027,-0.19962628,-0.14900787,-0.13500762,-0.020910905,-0.20608722,-0.057482482,-0.15390086,0.060942481,-0.17572762,-0.038868609,-0.167886,0.010211906,-0.21701901,-0.079440115,-0.10324787,0.049511723,-0.14499998,-0.042865501,-0.10299113,0.054969015,-0.27730163,-0.21279678,-0.1198054,0.0033052866,-0.28332061,-0.079051749,-0.08700893,-0.044703347,-0.28966397,-0.1255982,-0.08202907,5.4172821e-05,-0.28632058,-0.19634192,-0.10098575,0.031839276,-0.27506618,-0.066560988,-0.086497119,0.088784432,-0.34908967,-0.11505677,-0.20703303,0.049446717,-0.26560583,-0.065310863,-0.079474032,0.039533852,-0.22255066,-0.030631324,-0.10746185,0.052317257,-0.35799627,-0.079446387,-0.082530121,0.070838263,-0.34995831,0.25224289,0.24395629,0.246599,0.26463143
-19702.339,0.97394852,0.0041368397,10,1023,0,19743.08,-0.11765194,-0.026314722,-0.03920109,-0.10013028,-0.10028614,0.30007504,-0.064864168,0.20984815,-0.22923323,-0.035897251,-0.054961589,-0.11817004,-0.22430957,-0.12154349,-0.20892607,-0.10591619,0.030181729,0.076390544,0.16832629,0.089457692,0.1157321,0.8727553,0.19724491,0.34841077,0.16143927,0.16245477,0.38767071,0.24552278,0.23491532,0.23446945,0.15773698,0.19120693,1.0332532,-1.9610738,0.29749175,-0.071747655,-0.92085361,-1.9216198,-0.14973464,-1.9115815,-0.55179228,-0.71867633,0.40884076,-0.83378324,0.066863927,-1.4894599,1.0994243,-0.82619032,0.36222653,-0.81757028,1.0109285,-0.76767581,-0.44064878,-0.47662458,-0.24147275,-0.52015248,-0.085203539,-0.14031646,0.83271241,-1.0243331,-0.973596,-1.0451743,-0.54155036,-1.4533491,0.66706389,0.84644913,1.0369657,-0.58857345,-0.21715615,-0.71302083,0.41931303,-1.4998953,-0.36703954,-0.022907103,0.21333709,-0.64199256,0.3119839,0.10326208,0.77623728,-0.90306098,0.57738295,0.14963218,0.99371394,-0.13262955,0.40096852,0.24751011,0.55738176,-0.39242105,1.016117,0.52825354,1.8395038,-0.52536304,0.066982604,0.092847165,0.99620507,-1.0717769,0.64169839,-1.3565861,0.048655307,-0.086466566,-0.17684053,-0.10867312,-0.1198174,-0.096659231,-0.1731083,-0.037753033,-0.17234147,-0.13208223,-0.16017321,0.029617557,-0.17954873,-0.094148788,-0.23337393,-0.0017783231,-0.17403936,-0.058364903,-0.19490526,0.016710737,-0.18913087,-0.084503519,-0.11590159,0.089328415,-0.15389079,-0.081670132,-0.092540874,0.099384115,-0.26690865,-0.12936318,-0.15430184,0.021166172,-0.29651431,-0.12154292,-0.092583099,-0.061826238,-0.3242521,-0.071175303,-0.15173089,0.032222152,-0.27956239,-0.19725207,-0.063842002,0.02774295,-0.3038433,-0.04157088,-0.092816842,0.072413901,-0.33989208,-0.088673476,-0.18915868,0.0091290522,-0.25546629,-0.027528628,-0.063509937,0.0091454979,-0.21355424,-0.048646837,-0.12560095,0.081231718,-0.29179525,-0.093108649,-0.088163166,0.084565127,-0.31084735,0.25315006,0.23940977,0.25625755,0.27487522
-19711.269,0.85442201,0.0041368397,10,1023,0,19755.925,-0.14844456,-0.057605872,-0.055070392,-0.086145335,-0.027628619,0.14394736,-0.067664971,0.022283815,-0.16700535,-0.084474581,-0.19952932,-0.12033008,-0.083523626,-0.080236243,-0.14317817,-0.11091097,0.079734307,0.073055862,0.12484449,0.089046637,0.17165486,0.67017762,0.20459596,0.14552948,0.13899711,0.14325797,0.16278313,1.0547723,0.099541169,0.30359286,0.10738749,0.11538945,1.4963206,-1.2593517,0.76519245,0.20342681,-0.59217665,-1.4769714,0.42370373,-1.6103968,-0.39367651,-0.82726884,0.72544363,-1.143221,-0.11880972,-1.0837507,1.1518358,-1.1874839,-0.17625584,-1.0248562,0.21373585,-1.1265931,-0.39031108,-0.42659976,-0.092675787,-0.43343597,-0.21741515,-0.32246275,0.4136589,-1.092947,-1.0070122,-0.98066313,-0.27403135,-2.0924092,0.458333,0.4589866,0.81922604,-1.1753575,-0.10894342,-0.46264342,0.82916898,-1.2170611,0.054777256,0.57299462,1.2288114,-0.53966186,0.05962183,0.0042239761,0.17567158,-0.22902145,0.20872176,-1.0591096,1.1650591,-1.8678824,0.029282074,-0.061977778,0.42413116,-0.49689763,0.90719622,0.18013629,1.9095743,-1.426834,0.15873876,0.18652687,1.9151886,-1.9407206,1.0000325,-2.7487387,0.06481413,-0.029136474,-0.24885809,-0.087432466,-0.13222446,-0.10086785,-0.16550729,-0.02665183,-0.1752548,-0.10421873,-0.15835035,0.035497246,-0.19779523,-0.096724941,-0.18264969,0.016421767,-0.19188678,-0.057883792,-0.20355018,0.0090601798,-0.22101381,-0.11763039,-0.14195025,0.081838123,-0.14653173,-0.11214723,-0.13363955,0.016967968,-0.29127752,-0.12426614,-0.12043158,-0.017595825,-0.28222341,-0.10329839,-0.10320754,-0.053135298,-0.33037664,-0.10008159,-0.15075194,0.034310485,-0.25882829,-0.19061251,-0.10625546,0.00050045236,-0.28737717,-0.057442626,-0.11587475,0.064963434,-0.36189556,-0.062747218,-0.18894863,0.032447723,-0.26945482,-0.071346414,-0.099052254,0.048526949,-0.23109082,-0.045756645,-0.12383379,0.061886228,-0.29640229,-0.092594187,-0.089387731,0.11008159,-0.33484965,0.25652168,0.24103274,0.2611592,0.26960118
-19735.557,0.99475295,0.0041368397,10,1023,0,19784.065,-0.086498715,-0.0051956803,-0.11887449,-0.1423597,-0.10558233,0.0067776425,0.0014490631,-0.17234159,-0.21175837,-0.17518422,-0.17183582,-0.14245749,-0.12657115,-0.084864907,-0.19443864,-0.10132946,0.059452755,0.38619539,0.053868723,0.21147857,0.10750587,0.15135017,0.13671483,0.17146951,0.15995102,0.057393358,0.11294352,0.11933035,0.65759697,0.17148237,0.15148023,0.38174957,-0.64255001,-1.710382,0.30076872,-0.62531832,-0.15504972,-0.4407257,-0.16947508,-0.41417284,-0.17909778,-0.36050065,1.7242234,-1.1180796,0.37911745,-0.16345509,0.45041742,-0.13282841,0.36231752,-0.95071534,0.7932867,-0.86018195,-0.62416494,-0.86720277,0.48546852,-1.0513818,-0.58376771,-0.59879182,0.62678539,-1.7713919,-0.13428245,0.51524964,1.137205,-0.56401297,0.30447763,0.78928363,1.1852026,-0.5059686,1.8331804,0.92490024,2.3483889,-1.9248737,-0.1868861,0.7236199,2.0306134,-0.72447584,0.73547689,0.34574272,1.6893138,-1.8555648,0.13856128,-0.10536961,0.21219098,-0.23261893,0.43115834,-0.020895785,0.94774185,-0.84367879,1.2718567,0.50453111,1.9775363,-1.364172,0.086149134,0.1141806,0.47973196,-0.67365586,-3.8667957,15.886867,0.23243235,-0.12470008,-0.18818564,-0.068617186,-0.12367561,-0.065075168,-0.17540191,-0.070646173,-0.16514732,-0.12852226,-0.1382942,-0.025992776,-0.17910401,-0.062184488,-0.17692695,-0.047106072,-0.17045007,-0.066631067,-0.2077898,-0.020299351,-0.19805693,-0.087689829,-0.12447365,0.080253387,-0.15234917,-0.078360637,-0.080414657,0.087139919,-0.24072648,-0.19536694,-0.083991991,0.022654381,-0.26905262,-0.16305686,-0.085511648,-0.022184006,-0.29268856,-0.069971842,-0.12210109,-0.040402293,-0.28565919,-0.1929434,-0.090107639,0.057508808,-0.25366067,-0.054692779,-0.10119989,0.059128918,-0.36388269,-0.035453665,-0.19586189,0.012965003,-0.27954065,-0.010928852,-0.088448166,0.077656116,-0.22954095,-0.0017774875,-0.11801215,0.10511901,-0.40108372,-0.068442064,-0.057741063,0.08180801,-0.35849729,0.26048413,0.240421,0.24150198,0.2677547
