# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 16:55:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f6737df3551.json
# init = 2 (Default)
# random
#   seed = 1812393886
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141755-4-301e6d.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141755-4-813352.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00649589
# Diagonal elements of inverse mass matrix:
# 0.0122269, 0.00561361, 0.00888502, 0.0166526, 0.0151887, 0.0210179, 0.0219961, 0.0129928, 0.0263, 0.0170868, 0.0587445, 0.040534, 0.059801, 0.0169968, 0.0501406, 0.0228148, 0.497043, 0.442441, 0.435766, 0.454875, 0.407441, 0.389109, 0.301181, 0.298651, 0.363517, 0.359729, 0.38753, 0.312316, 0.357277, 0.411536, 0.319708, 0.250532, 0.39007, 0.328161, 0.300571, 0.258356, 0.258074, 0.273375, 0.238316, 0.243301, 0.269444, 0.280052, 0.32017, 0.254343, 0.283191, 0.261866, 0.239931, 0.278989, 0.496786, 0.305779, 0.311508, 0.358647, 0.344982, 0.33305, 0.223315, 0.236764, 0.275945, 0.280998, 0.309798, 0.241314, 0.268243, 0.245469, 0.225522, 0.272728, 0.363863, 0.565112, 0.494032, 0.487882, 0.367052, 0.503793, 0.410857, 0.390464, 0.328105, 0.409305, 0.50045, 0.379488, 0.403325, 0.373704, 0.34786, 0.44749, 0.308707, 0.333447, 0.451818, 0.311071, 0.35901, 0.359976, 0.382945, 0.443947, 0.532367, 0.504543, 0.450847, 0.445659, 0.41383, 0.53435, 0.448086, 0.445604, 1.13174, 17.4156, 0.703682
-19733.812,0.98675892,0.0064958938,10,1023,0,19787.035,-0.11221799,-0.11307809,-0.090897413,-0.033385926,-0.10918683,-0.082858324,-0.17707348,-0.13811159,-0.17694108,-0.046261396,-0.1531443,0.21927808,0.0033092914,-0.0012697749,-0.26023251,-0.18653642,0.040857375,0.035038195,0.065625796,0.16030343,0.41345209,0.069903035,0.1848832,0.13843599,0.10308993,0.25119411,0.093910824,0.3217953,0.14336956,1.0493835,0.22722628,0.28938455,0.48013385,-1.940646,-0.77179349,-0.92791884,0.021591166,-0.60481295,3.324347,-1.2769751,-0.94605942,-1.1960288,1.0187381,-1.2425964,-0.24291026,-0.85418751,0.31220457,-0.62207766,0.1440301,-0.20290412,0.40105695,-0.17995498,-0.26478284,-0.6524234,2.4160799,-0.86718977,0.40906973,0.29736817,1.0691381,-0.70535373,-0.24688113,0.19218552,1.6285908,-1.2006117,0.58182726,1.0084383,1.1710171,-0.70532422,-0.2186055,-0.34332345,0.18895927,-1.1116007,0.31338644,1.043867,1.8065765,-1.2050558,-0.87816636,-0.87509365,-0.53333619,-1.8085526,-0.22133027,-1.265673,0.0054433804,-1.8969344,-0.057581782,-0.10298613,0.054737132,-0.24376071,1.0331645,0.6668587,1.3455795,-0.22353218,0.28680455,0.3734353,1.0002092,-0.38845266,0.056854761,1.1917915,0.055046767,-0.092600983,-0.19150769,-0.14375145,-0.15013032,-0.11232157,-0.13426964,0.0034010285,-0.15782099,-0.15298332,-0.16938775,-0.024041912,-0.17244379,-0.072325274,-0.17031512,0.016661538,-0.13310711,-0.04963728,-0.19307796,0.056631011,-0.18358959,-0.10136745,-0.1284647,0.086032993,-0.14347752,-0.10144335,-0.1220951,0.020592193,-0.30748153,-0.17228883,-0.1115062,0.087343988,-0.30431946,-0.11696054,-0.07298124,-0.056221,-0.2496529,-0.10117381,-0.13250222,0.0012040592,-0.32548896,-0.12371392,-0.055113891,0.016512792,-0.26631208,-0.063311734,-0.062322948,0.047652994,-0.36270564,-0.028422733,-0.17814968,0.0040897064,-0.26865336,-0.061695146,-0.10934172,0.056170468,-0.25706823,-0.025470385,-0.10870468,0.045518533,-0.31102489,-0.10353962,-0.078470018,0.10290867,-0.29894862,0.24708068,0.23354363,0.24227461,0.26935672
-19728.882,0.99585101,0.0064958938,10,1023,0,19785.031,-0.10000577,-0.12757843,-0.096546084,-0.080586161,-0.048029019,-0.08259138,-0.16466252,-0.14822567,-0.25254662,0.06051143,-0.20448548,0.2628061,0.0085546671,-0.077674892,-0.24857374,-0.14137347,0.094043836,0.035311555,0.079729494,0.2406981,0.26926605,0.090166714,0.22447694,0.096065875,0.15549985,0.40558867,0.11190839,0.3031828,0.18752508,0.61882209,0.26582543,0.50289675,0.88267995,-1.8580435,-0.47909456,-0.50229772,0.052292635,-1.0102686,3.3639033,-1.3740616,-1.1907326,-0.51009867,1.4102454,-1.203001,-0.0098256078,-0.38503744,0.25208318,-0.57210751,-0.00096266407,-0.52953244,0.33223546,-0.51731429,0.22698986,-0.6381434,1.6467498,-1.0233116,0.44962375,0.21395791,1.1823481,-0.45086855,0.28068255,-0.073085431,1.0480969,-1.1434406,0.67370809,0.98618969,1.0906049,-0.56625221,-0.2918441,-0.39681588,-0.1385449,-0.90549531,0.044558294,1.1725424,2.9429609,-0.54349448,-1.0419886,-1.061985,-0.7485263,-2.0766283,-0.61794798,-1.1644526,0.12284761,-1.7015527,0.10871286,0.0063283141,0.21739922,-0.2451544,0.69711989,0.52803672,1.1527564,-0.23132337,0.061943977,0.11844868,0.51960426,-0.36343375,-0.0028076515,1.4080104,0.043791418,-0.016995165,-0.27474331,-0.14506166,-0.14724378,-0.12573189,-0.16325258,-0.0087937711,-0.17609868,-0.19148259,-0.13721599,0.015892066,-0.19246074,-0.082951166,-0.17326394,-0.019910217,-0.21829135,-0.048288232,-0.19061413,0.04143071,-0.18732419,-0.06212445,-0.14013067,0.065890642,-0.17486003,-0.063732352,-0.1166339,0.10074738,-0.26587211,-0.12126165,-0.15524668,-0.047539322,-0.25807129,-0.14778511,-0.099194269,-0.082957724,-0.34059875,-0.057857227,-0.10043259,0.0043191906,-0.30674721,-0.19949904,-0.073268153,0.12485654,-0.26530708,-0.053106925,-0.059169475,0.035865805,-0.36679187,-0.10732607,-0.2098094,0.031591674,-0.31052914,-0.010400971,-0.073758792,0.056856547,-0.22938185,-0.063261551,-0.10820816,0.057858211,-0.31006538,-0.11022205,-0.081806016,0.11993382,-0.32414312,0.24334293,0.24468295,0.25255459,0.26820068
-19722.267,0.99364343,0.0064958938,10,1023,0,19783.601,-0.17939054,-0.23812995,-0.15970324,-0.12148668,-0.14653951,-0.016800485,-0.13520895,-0.15431953,0.020122571,-0.06473686,-0.058659909,0.017768497,-0.19128055,-0.07408991,-0.53335996,-0.45907566,0.086518007,0.20864261,0.11899302,0.067058355,0.68500814,0.12221683,0.16203936,0.078499729,0.2064675,0.11624891,0.21533156,0.15812337,0.22484422,0.12854367,0.42429895,0.46210257,1.1523744,-1.0259489,0.34608369,0.3544416,0.26265609,0.37873812,1.2080657,0.31457432,-0.14968452,0.13935255,1.7150629,-0.47935927,0.73469252,-1.3904286,2.1671417,-1.0332919,0.149381,-0.051521099,0.29452365,-0.067719868,-0.32199135,-0.96117906,0.9200088,-1.3461148,0.5306297,0.043685035,1.3669505,-0.89476106,-0.57367361,0.89871448,2.4729462,-2.113996,-0.76854346,-0.44307343,-0.21232707,-1.4073943,-0.31353413,-0.56654268,0.55776466,-1.8964485,-0.76445874,0.074308369,0.19025154,-1.1023693,-0.41801884,-0.55538711,0.16126401,-2.5322631,0.40541668,-0.10770114,1.0217449,-0.56955524,0.27052313,-0.094624543,0.92415012,-1.4444031,1.1826126,0.9922469,1.4832284,0.45256714,0.78928134,0.8348738,1.1479315,0.28829865,-0.92985893,5.1305555,0.076197107,-0.079689404,-0.2681536,-0.14944807,-0.14872496,-0.1833287,-0.15910905,0.013924027,-0.17249635,-0.17751465,-0.14312126,0.044377283,-0.21674365,-0.072219406,-0.21472654,0.023838283,-0.19077753,-0.044212307,-0.18183188,0.055211588,-0.19292817,-0.056153249,-0.13427275,0.095640079,-0.18131838,-0.049226058,-0.12813026,0.086290822,-0.28019546,-0.19935275,-0.083770684,0.039806075,-0.32026764,-0.13855667,-0.07135769,-0.023716067,-0.2704586,-0.10118486,-0.13059683,0.00010267112,-0.28519692,-0.223272,-0.042658972,-0.017692749,-0.29603481,-0.048330051,-0.070051186,0.043268107,-0.38264149,-0.10012496,-0.21549653,0.03845288,-0.31934176,-0.039315875,-0.086253296,0.044703736,-0.25975879,-0.031578682,-0.11235064,0.095972303,-0.3413362,-0.094346725,-0.073278332,0.071386424,-0.32585211,0.25167368,0.23578063,0.25843603,0.26503212
-19728.052,0.97439213,0.0064958938,10,1023,0,19775.501,-0.11577573,-0.045093774,-0.0912507,-0.085971895,-0.036008546,-0.11681458,-0.041468858,-0.16445596,-0.49957356,-0.1862154,-0.18207242,-0.20849658,-0.14020062,-0.075795224,0.42689056,0.090220736,0.094581051,0.12512082,0.073301937,0.064360614,0.68899031,0.14036475,0.22353329,0.051870657,0.47312874,0.15866052,0.30006792,0.13114966,0.15659195,0.093010801,0.55048713,0.22466242,0.59226605,-1.1593458,0.99949068,0.07702932,-0.57382752,-1.2378114,0.028559157,-1.0060724,-0.36425225,-0.54557383,0.32960541,-1.4758372,0.396632,-1.8722006,2.2055492,-0.98758898,0.038109006,-0.21000243,0.04103809,-0.19729916,0.17460073,-0.43771521,1.8318143,-0.45294101,0.010317173,-0.41328021,0.37320708,-1.2258174,0.21424172,0.54791466,2.4519486,-2.6473239,0.8464056,0.79507124,0.87196261,0.40006186,0.64311114,0.51634664,1.3916929,-0.66534186,0.03486941,0.38490279,0.66550608,-0.48140492,1.0840305,0.85457899,2.0058362,-0.98969533,0.40994262,-0.57685616,0.7237228,-1.1521086,0.50333748,-0.024947338,1.0185085,-1.9547944,-0.82018154,-0.994627,-0.58050397,-1.3564288,-0.84790255,-0.88645082,0.20505051,-1.8308039,0.24503812,0.51384005,0.069405637,-0.059758589,-0.22542788,-0.021242856,-0.10849022,-0.11689154,-0.19996974,-0.041520429,-0.17097438,-0.1179511,-0.13124232,-0.067089985,-0.19943242,-0.060444416,-0.20646788,0.055978606,-0.14953373,-0.0097518109,-0.18069818,-0.0077337003,-0.17194576,-0.092306795,-0.17825437,0.14030757,-0.18039153,-0.039162626,-0.13385074,0.041955349,-0.31547985,-0.1533431,-0.13603527,-0.037271774,-0.30177439,-0.099114749,-0.12340251,-0.087022992,-0.3102928,-0.084179056,-0.10429158,0.034591315,-0.29177889,-0.17160923,-0.066575442,0.017624602,-0.32652659,-0.066326352,-0.096418833,0.054568159,-0.33829478,-0.076006908,-0.23053165,-0.026871458,-0.32061154,-0.028979402,-0.078115596,0.018937065,-0.25761222,-0.024608816,-0.1206388,0.1073306,-0.31980601,-0.1002711,-0.10893145,0.13628788,-0.32109211,0.25432364,0.24570672,0.24396564,0.27185472
-19732.512,0.99261719,0.0064958938,10,1023,0,19785.132,-0.17302038,-0.040112369,-0.091210778,-0.12130928,-0.040146286,-0.048468004,-0.1304738,-0.11494647,-0.69185731,-0.18229873,0.12667326,-0.44707471,-0.17966109,-0.039972339,0.073815872,-0.091484541,0.070298075,0.066413279,0.068342033,0.048545069,0.14677049,0.12111227,0.12223738,0.090495005,0.58037373,0.092163791,0.24915171,0.85450948,0.41294288,0.060550692,0.91345327,0.20252926,1.6395403,-0.9248177,-0.34839342,0.45320287,-1.2401627,-1.5023697,-0.33238154,-2.2754692,-0.96637206,-0.69457561,1.0582453,-1.2194147,1.0505559,-0.8286706,2.4717423,-1.5559381,0.034647362,-1.1123013,0.24313738,-1.0804231,-0.62182126,-0.9472639,0.63497653,-0.8011718,0.67003171,-0.063163545,1.3318657,-1.2720178,-1.1436278,0.2378318,2.0528915,-1.7588341,0.97443528,0.9684351,0.97996702,0.68216364,0.79406458,0.42119884,1.9606386,-1.0427168,-1.385792,-0.76119798,-0.27312963,-1.7118128,0.47087706,0.42719985,0.60251581,0.077980873,0.22346507,-0.056214127,0.47235381,-0.29640052,0.064746329,-0.87968136,1.735184,-3.0470809,-0.12969178,-0.22085276,0.043306868,-0.41468972,-0.020062266,0.19422071,0.81683397,-1.1674911,-0.43045913,3.0990548,0.077595691,-0.057763851,-0.23803328,-0.19751177,-0.14116109,-0.12247564,-0.13988967,-0.062186917,-0.19123374,-0.15725461,-0.13867949,-0.018888142,-0.17454805,-0.070309966,-0.16153715,-0.0013183774,-0.1968424,-0.035061076,-0.2033993,-0.004460893,-0.19872051,-0.12377819,-0.16319329,0.028435445,-0.14549974,-0.048570876,-0.13819475,0.032329974,-0.28596193,-0.21843907,-0.093423881,0.070829951,-0.27411217,-0.12632067,-0.12980302,-0.1231102,-0.29594745,-0.10911472,-0.14347944,-0.0015988348,-0.27839946,-0.21859919,-0.062980523,0.058622545,-0.29982783,-0.044705796,-0.082028386,0.067780764,-0.38043931,-0.087382779,-0.20287431,0.015394056,-0.30205757,-0.036051904,-0.093237654,0.06509425,-0.22447519,-0.044651509,-0.1279228,0.11337467,-0.3049838,-0.095547737,-0.052149163,0.073948241,-0.32793565,0.25558673,0.2419053,0.24536958,0.272245
-19723.075,0.98668637,0.0064958938,9,662,1,19771.953,-0.17586093,-0.056473505,-0.037528129,-0.12312329,-0.097068694,0.020812577,-0.16425209,-0.12579463,-0.32637403,-0.096487075,-0.045568091,-0.20493845,-0.14214732,-0.063642727,0.096758529,-0.085443163,0.02555198,0.065494147,0.21488722,0.063348915,0.24766112,0.20391424,0.17006082,0.071163842,0.19656613,0.072421947,0.30626804,0.44833464,0.6359953,0.081618251,0.56209158,0.20646998,2.1875671,-0.59071352,-0.1526917,1.5547549,-1.0386738,-1.892316,0.59173361,-1.9704795,-0.2877562,-0.46598601,-0.10748199,-0.66353794,1.1037347,-1.542024,1.9372704,-0.47387462,0.30209155,-0.39288066,0.27962878,-0.33814486,-0.50445383,-0.93612596,0.14412379,-0.83979129,0.15227757,0.4570847,1.2967123,-0.67462073,0.24659752,0.57541004,2.2048608,-2.5564142,0.99791807,1.1224033,1.5055478,0.12086615,0.29901773,-0.16434872,1.5895725,-2.4802707,-0.63087193,-0.052881185,0.40044239,-0.83039325,0.33661648,0.24264409,0.64682384,-0.37816908,0.093586019,-0.10142723,0.23537984,-0.25819496,0.3793798,-0.31718468,1.5760027,-2.1817605,-0.21566977,-0.37256191,0.0090819192,-0.71897793,-0.070749464,0.14559082,0.76843433,-1.1688431,-0.54292777,3.3513114,0.06277889,-0.11996426,-0.19095483,-0.17976251,-0.13613387,-0.12450056,-0.18040913,-0.017718418,-0.18552838,-0.099363258,-0.13766257,-0.060624635,-0.18011395,-0.053202895,-0.22080883,-0.00039931145,-0.15314273,-0.022252362,-0.19436996,-0.027815517,-0.18081403,-0.082052742,-0.17007684,0.05020147,-0.15043283,-0.13835564,-0.08651989,0.056267865,-0.27897864,-0.1082458,-0.084846239,0.031111737,-0.30771888,-0.13021713,-0.10574755,-0.030434327,-0.30261584,-0.074831628,-0.10838953,0.018632859,-0.2761131,-0.238784,-0.061763909,0.077074616,-0.29989101,-0.054021624,-0.096152704,0.085055081,-0.37448475,-0.082627049,-0.20665456,0.007553153,-0.3063581,-0.032678412,-0.089530786,0.064987856,-0.2417142,-0.024467633,-0.11265539,0.1018634,-0.30737291,-0.1000508,-0.05538303,0.073215459,-0.32677417,0.26105326,0.24006612,0.23395333,0.2738208
