# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 17:07:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f67d52bb6a.json
# init = 2 (Default)
# random
#   seed = 1794432184
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141807-1-3c1ad1.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141807-1-61d67b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00205489
# Diagonal elements of inverse mass matrix:
# 0.0148433, 0.00707763, 0.0121889, 0.0101134, 0.0158077, 0.0215832, 0.0485171, 0.0329254, 0.0173777, 0.0211904, 0.0195646, 0.0365853, 0.0159466, 0.0178252, 0.0464977, 0.045998, 0.601787, 0.46167, 0.349955, 0.317042, 0.307757, 0.454481, 0.358614, 0.343163, 0.302944, 0.336482, 0.285437, 0.326649, 0.292029, 0.347517, 0.337994, 0.445064, 0.463176, 0.322315, 0.305125, 0.275362, 0.367282, 0.267683, 0.277515, 0.262324, 0.2659, 0.25012, 0.217508, 0.305511, 0.340715, 0.330559, 0.264045, 0.209807, 0.427804, 0.34113, 0.292687, 0.378278, 0.385535, 0.303202, 0.275539, 0.253446, 0.257316, 0.248194, 0.212914, 0.302935, 0.327808, 0.296806, 0.226664, 0.212446, 0.388431, 0.560619, 0.470676, 0.399925, 0.409395, 0.579258, 0.436162, 0.365897, 0.316101, 0.408888, 0.354003, 0.442662, 0.445142, 0.464902, 0.388169, 0.373824, 0.292198, 0.392661, 0.4132, 0.340826, 0.394852, 0.323243, 0.502958, 0.477965, 0.520837, 0.46271, 0.336853, 0.574584, 0.456149, 0.483614, 0.407959, 0.468663, 5.40658, 89.0453, 0.806064
-19717.549,0.99501095,0.0020548901,10,1023,0,19760.324,-0.16130326,-0.1498379,-0.23980046,-0.05303736,0.0024974923,-0.17347387,-0.017092814,0.0023255891,-0.16672088,-0.16125277,-0.22281609,-0.094027517,-0.15906275,0.0090562215,-0.049761453,-0.1745021,0.095077308,0.049647024,0.10282229,0.14242097,0.090982345,0.73630658,0.1984855,0.16468529,0.24572917,0.27741644,0.20812456,0.74491808,0.20856292,0.14385533,0.13874634,0.21429257,1.2375402,-0.96342187,1.2380305,0.40276233,0.19587673,-0.61106243,0.70125575,-0.52697665,0.81147868,0.96381177,1.6354759,0.16044136,-0.1550495,-0.75593563,0.5986437,-0.66068603,-0.30587731,-2.0679116,0.52137095,-1.853454,0.12012692,0.014871488,0.39397807,-0.0011832388,-0.30042181,-0.5129221,0.33545384,-1.4064479,-1.3009116,-0.72278293,-0.018448795,-1.688992,0.052059707,0.31927426,0.64671023,-0.55746903,0.2344168,0.19447635,0.57929982,-0.49764472,-0.15610195,0.72654264,1.1705619,-0.063791028,0.0093833118,0.068737958,0.22619035,-0.3789843,0.42428321,-0.19902171,0.9239523,-0.76918437,-0.1217097,-0.66214776,0.37070353,-1.5503951,0.012800938,-0.3812502,0.98573785,-1.9949143,0.14353272,0.51271305,1.1745549,-0.59132867,4.4492132,-16.371791,0.15971993,-0.043641265,-0.25290282,-0.043594652,-0.1230097,-0.1401132,-0.18017533,-0.11502264,-0.17600072,-0.15636236,-0.14069912,-0.071637072,-0.22330351,-0.07511966,-0.16069844,0.032222054,-0.1471329,-0.025331942,-0.18564596,0.049933045,-0.1661341,-0.085023626,-0.16252389,0.11661478,-0.17434509,-0.076722186,-0.11890041,0.049489909,-0.29625233,-0.21191541,-0.11670613,-0.00071265599,-0.27582655,-0.15392829,-0.088265882,-0.0078053136,-0.30370728,-0.096221692,-0.10730183,-0.00054547109,-0.29930759,-0.25530473,-0.071604717,0.020806601,-0.23609256,-0.087037718,-0.042823369,0.074465767,-0.37633977,-0.070573003,-0.2005713,0.03363944,-0.31948609,-0.0084523683,-0.086197263,0.0623839,-0.21397637,-0.047985369,-0.10265852,0.087006065,-0.32654852,-0.1437441,-0.064631502,0.077196291,-0.30121944,0.24543702,0.24683587,0.25340724,0.24588359
-19710.231,0.9975901,0.0020548901,10,1023,0,19769.674,-0.15058377,-0.16011453,-0.18709041,-0.16944453,-0.004232566,-0.072640838,0.0022240517,-0.092789089,-0.098320824,-0.049735762,-0.18767255,-0.15038595,-0.20499108,0.020513642,-0.088628659,-0.099043057,0.030425508,0.077723013,0.068617826,0.1169029,0.11356399,0.46458357,0.22516465,0.13657303,0.16839574,0.22025911,0.13520395,0.280695,0.31970191,0.25620117,0.17366549,0.17765861,1.6986354,-0.87863772,0.97730077,1.1514114,0.81364299,-0.18949552,1.895762,-0.27981661,0.48113953,1.206322,3.0422488,-0.034161276,0.75901312,-0.35596818,1.5429369,-0.013931133,-0.11818956,-1.4572774,0.13372461,-1.834564,0.041668743,-0.10624402,0.31402684,-0.17373892,-0.21218358,-0.52856684,0.24785669,-1.3301372,-0.26365821,-0.16049722,0.56904285,-1.4867174,-0.071984603,0.056082881,0.28857266,-1.3488453,-0.20069764,-0.26134206,0.22431517,-1.0484133,0.32485091,0.62170024,1.3620475,-0.66475928,0.28228319,0.16585756,0.86656247,-0.75700913,0.39301747,-0.011259774,0.65115129,-0.22459492,-0.32106224,-0.59953582,0.28533981,-1.0160933,0.37201276,-0.26653247,0.81859158,-1.4076731,0.19254292,0.1920719,1.0605034,-0.98387013,4.3280633,-16.416761,0.044066306,-0.098901924,-0.17731677,-0.1208489,-0.11555149,-0.09687575,-0.1748427,-0.012770202,-0.18186272,-0.15407566,-0.10431521,0.02166209,-0.18943448,-0.080713697,-0.21105824,0.010929258,-0.17107312,-0.017654644,-0.16972679,0.010953734,-0.21257297,-0.053282224,-0.12200006,0.073250871,-0.15335709,-0.04555219,-0.11679052,0.058032618,-0.29727583,-0.12879769,-0.11470868,-0.015073184,-0.29583459,-0.11044273,-0.088876706,-0.049726417,-0.32546063,-0.093941245,-0.10729873,-0.00032830297,-0.28065834,-0.14375143,-0.10361623,-0.0035183481,-0.27755064,-0.071150465,-0.10383056,0.092853808,-0.36287462,-0.079342651,-0.20859086,0.0031832265,-0.27679451,-0.06174288,-0.13308814,0.093618036,-0.23981066,-0.024022881,-0.13491615,0.053532449,-0.33309289,-0.064836148,-0.064919829,0.089364508,-0.27383606,0.25133706,0.24704959,0.24906721,0.24381161
-19705.717,0.99954413,0.0020548901,10,1023,0,19765.375,-0.19330133,-0.16920419,-0.18309798,-0.13349977,0.007448574,-0.14315902,-0.061506796,-0.089965143,-0.11048055,-0.0040654389,-0.18031752,-0.14584758,-0.21314287,0.012254324,-0.15965307,-0.10303661,0.072685185,0.081951535,0.05810772,0.13526131,0.16100438,0.35441427,0.19270261,0.29278487,0.11637729,0.26749291,0.14347959,0.17510527,0.20155881,0.192348,0.21735338,0.13996216,1.2807403,-0.8502363,1.0212776,1.1012544,0.47417077,0.1196621,1.3357802,-0.099475282,0.35950088,0.90052323,2.5298029,-0.38733665,0.40881093,-0.36333438,1.1919177,-0.4455915,-0.51812889,-1.3764215,0.058945395,-1.1284252,0.23251936,-0.049662651,0.57659742,-0.07355884,-0.29705066,-0.32078705,0.58536531,-1.234637,-0.2091101,-0.063659532,0.48230171,-0.79226026,0.13175948,0.20371682,0.17156915,-1.8575552,-0.26263378,-0.52110811,0.06743318,-1.0270903,-0.080638514,0.71128346,1.5791392,-0.63905893,0.49251512,0.30329708,1.1574999,-1.0693339,0.72860742,0.049673918,1.1499304,-0.33859127,-0.17230745,-0.67706611,-0.0194635,-1.3008539,0.48516283,0.116697,1.0200265,-0.89891319,0.095124036,0.078833915,1.4037499,-1.6792843,2.5953751,-9.4493316,0.11219583,-0.10021048,-0.25510091,-0.11906958,-0.11325645,-0.13034516,-0.15939769,-0.059734945,-0.17735634,-0.1622082,-0.13077063,-0.036096901,-0.20560523,-0.078203469,-0.18264486,0.027720586,-0.19377107,-0.075972446,-0.21416131,0.016939041,-0.17423282,-0.060750844,-0.16076018,0.061195331,-0.16922933,-0.11874923,-0.1233233,0.051294631,-0.29942458,-0.15118942,-0.10860369,0.051245504,-0.32192696,-0.095146737,-0.086772535,-0.090513795,-0.32665779,-0.074318111,-0.14345816,0.013972458,-0.27880481,-0.1918875,-0.078262863,0.046256726,-0.27200944,-0.059605591,-0.092738665,0.05683675,-0.33309357,-0.066285628,-0.20313066,0.018635727,-0.28138893,-0.020888669,-0.11797798,0.0085105588,-0.23796232,-0.054201291,-0.13428859,0.062053145,-0.3550349,-0.089722847,-0.092002848,0.093435259,-0.33807288,0.2495755,0.24808023,0.26460507,0.23981839
-19708.13,0.99740022,0.0020548901,10,1023,0,19758.264,-0.14980368,-0.18777053,-0.16752753,-0.1086606,-0.042172406,-0.054164259,-0.048730809,-0.092660182,-0.11213869,-0.12190242,-0.28047561,-0.25725338,-0.30984424,0.22876872,-0.16276458,-0.066264125,0.081630726,0.13523595,0.15885444,0.13403569,0.16681133,0.17126452,0.25082446,0.16327076,0.20374515,0.19128492,0.29157584,0.22386442,0.31687769,0.31165228,0.12898091,0.24349325,1.4493675,-0.55900568,0.48257084,0.10266781,0.62000548,0.30564328,1.3752775,0.12296266,0.24913975,0.074981088,0.98406125,-0.32342541,0.31208011,-0.72744494,0.84843335,-0.36508434,-0.00032964817,-0.81064025,0.49901152,-0.81412812,-0.34999364,-0.48693209,0.50644204,-0.59926377,-0.28641128,-0.2676508,0.36234241,-1.0086473,-0.51154946,-0.27675509,0.63364512,-1.0618505,-0.041949804,0.27094409,0.85547677,-1.0376892,0.25791707,-0.076264867,0.78747948,-0.76668469,0.24523543,0.70539355,1.2483572,-0.015093468,0.83241425,0.67404543,1.4140193,-0.47996549,0.72790338,0.46272092,0.98057765,-0.01246121,-0.92655281,-0.92984792,-0.6304694,-1.5452579,0.79236955,0.039625776,1.7426839,-1.1541359,0.049580368,0.13709978,0.80493167,-1.0456229,0.70831878,-1.4847419,0.029563594,-0.031490755,-0.19543572,-0.11041107,-0.14142283,-0.1039235,-0.14643657,-0.001783567,-0.17114156,-0.12795057,-0.15561645,-0.01120503,-0.21890509,-0.066830726,-0.20616418,0.0050597518,-0.15759493,-0.042227395,-0.17739638,0.041068368,-0.1779782,-0.11410575,-0.13755845,0.032571295,-0.15679688,-0.12056976,-0.11586417,0.042153529,-0.30172421,-0.17618125,-0.1378462,0.010795536,-0.26602931,-0.12068576,-0.056935145,0.062160557,-0.32356285,-0.072566777,-0.13649074,0.028730529,-0.26855765,-0.20897088,-0.074799889,0.083515191,-0.2848765,-0.070905446,-0.10635859,0.059295227,-0.36470058,-0.079187898,-0.1632183,0.00087894187,-0.31379292,-0.059993574,-0.061020503,0.032281496,-0.25281443,-0.06056403,-0.15765361,0.062008377,-0.31162608,-0.05419164,-0.032881254,0.1297313,-0.32086623,0.24544581,0.24202894,0.24352374,0.25165642
-19713.574,0.99994468,0.0020548901,10,1023,0,19753.19,-0.19041926,-0.15806688,-0.1923085,-0.14698847,0.072310006,-0.054817852,-0.056715943,0.058685705,-0.11240141,-0.093935223,-0.25037163,-0.31932057,-0.17461544,0.11299734,-0.11630463,-0.11888385,0.088407837,0.12033557,0.095021774,0.11156338,0.27675218,0.099232493,0.15746199,0.2417053,0.084361018,0.31971091,0.30477038,0.4090161,0.16119882,0.17851411,0.19626088,0.18786178,0.59897752,-0.72488854,1.199599,0.91794005,0.52425475,0.24703805,1.1492311,-0.16774518,0.57354915,0.70448913,1.7765178,-0.059078297,0.41980625,-0.53849939,1.3316409,-0.11857209,-0.34192094,-0.96355256,-0.22969236,-1.0526595,0.04912786,-1.0903934,0.899753,-0.85130992,-0.31607906,-0.30405655,0.72679772,-1.4949842,-0.89935324,-0.68171153,0.0083611733,-1.5147643,-0.036989533,-0.042887,0.041215543,-1.8436587,-0.061693257,-0.0548207,0.31971223,-0.66057031,0.23648082,0.61463465,0.92705,-0.16116655,0.65351103,0.49695222,0.9972088,-0.15035245,0.78780406,-0.32419261,1.0902829,-0.82070614,-0.80829225,-1.2879237,-0.24148644,-1.9744897,0.29716192,-0.2021677,0.88587184,-1.0136556,0.096859057,0.091288493,0.98436577,-1.1704952,0.1187665,0.68043599,0.097896936,-0.13746496,-0.25450509,-0.084365314,-0.10926617,-0.094980389,-0.12833942,-0.0197735,-0.1782526,-0.13780885,-0.1253667,-0.023500629,-0.19792223,-0.10015347,-0.20706528,0.001573884,-0.16021677,-0.022317362,-0.19435527,0.0087421443,-0.21901582,-0.049942772,-0.1630203,0.034466881,-0.13929546,-0.10648638,-0.10459329,0.057727071,-0.29211912,-0.15869274,-0.10608758,0.060706645,-0.30744085,-0.11552188,-0.1160194,-0.10892442,-0.26793433,-0.11365923,-0.111462,0.0082802647,-0.30512676,-0.17829928,-0.063049188,0.032165759,-0.29949042,-0.052024037,-0.11605911,0.088553884,-0.38081714,-0.047622361,-0.22687491,0.0011368645,-0.3069123,-0.03129424,-0.11691523,0.069888597,-0.23947695,-0.057983364,-0.15598224,0.057557365,-0.31524556,-0.10068774,-0.10173423,0.066040852,-0.33877517,0.24716965,0.24906595,0.26773193,0.24015253
-19717.651,0.99684524,0.0020548901,10,1023,0,19763.118,-0.19353738,-0.16946883,-0.16486196,-0.12970547,0.073150683,-0.068256934,-0.045892363,-0.034859314,-0.084968825,-0.090415911,-0.21852992,-0.34036825,-0.13992771,0.13074545,-0.085205783,-0.086642268,0.091047409,0.12234743,0.070727974,0.13040583,0.32119617,0.08766415,0.16130426,0.12553362,0.10912636,0.25422169,0.30682296,0.38759634,0.16780526,0.15203365,0.1794168,0.17459483,0.98279705,-0.27188306,1.4397314,0.7366801,0.1710151,0.047121131,1.0691781,-0.070133984,0.56302172,0.79303831,1.6718073,-0.10192339,0.69485933,-0.58268288,1.106182,-0.35877947,-0.32361087,-0.80090978,-0.10200522,-0.71957765,0.0035605182,-1.0846834,1.1553631,-0.78316028,-0.34064164,-0.5016706,0.94204921,-1.3300667,-1.1662232,-0.75842685,-0.1586898,-1.7484719,0.12883183,0.086017812,0.54572898,-2.16925,-0.028500856,-0.2777314,0.27125128,-0.72482104,0.016750613,0.42389025,0.92986297,-0.127262,0.69040671,0.54662251,1.0362313,-0.013211226,0.28357512,-0.30275541,1.0444919,-0.88824853,-1.1543018,-1.2406937,-0.38406001,-2.3008072,0.33033898,-0.0030187829,0.90802897,-1.2826241,0.14468004,0.21882765,1.1022112,-1.1009163,-0.01666144,1.4835183,0.064866095,-0.10405626,-0.21829163,-0.062453567,-0.12646457,-0.14854557,-0.16370368,-0.03865763,-0.17804954,-0.12504057,-0.10877196,-0.046618412,-0.17207079,-0.039091763,-0.20569071,0.01454711,-0.1764924,-0.030791888,-0.18409847,0.040386997,-0.1579749,-0.067944804,-0.16334479,0.033026994,-0.13691201,-0.10083931,-0.12681397,0.10606418,-0.26043778,-0.18125953,-0.13006738,-0.05478022,-0.25435132,-0.070909876,-0.075582014,-0.025415406,-0.32169119,-0.097661447,-0.16102126,-0.021457951,-0.27468114,-0.21339045,-0.088470659,0.066773392,-0.25757682,-0.072769135,-0.12849936,0.061271216,-0.34548887,-0.092342316,-0.19073166,0.035343519,-0.28898049,-0.044747263,-0.057881734,0.072355406,-0.21905465,-0.025937419,-0.085747403,0.077709872,-0.31533009,-0.06138188,-0.048436091,0.10579812,-0.27885656,0.24137812,0.24271875,0.23996667,0.24891613
