# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 17:07:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f67d52bb6a.json
# init = 2 (Default)
# random
#   seed = 1794432184
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141807-4-3c1ad1.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141807-4-61d67b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00105236
# Diagonal elements of inverse mass matrix:
# 0.00687308, 0.0147468, 0.00788989, 0.010314, 0.0109637, 0.0461028, 0.0147141, 0.0132811, 0.0186993, 0.0152946, 0.0181782, 0.0328198, 0.0163611, 0.013119, 0.0381224, 0.024496, 0.479141, 0.533046, 0.341637, 0.391967, 0.300392, 0.49931, 0.235422, 0.338979, 0.314634, 0.221304, 0.359317, 0.281705, 0.327876, 0.31433, 0.279531, 0.287783, 0.497586, 0.302579, 0.288264, 0.218937, 0.290103, 0.314189, 0.225121, 0.247993, 0.31638, 0.282117, 0.250659, 0.244419, 0.282446, 0.224699, 0.283996, 0.239529, 0.455528, 0.381762, 0.272545, 0.344722, 0.325659, 0.387925, 0.214899, 0.237704, 0.316482, 0.280113, 0.233211, 0.243624, 0.250835, 0.22214, 0.262403, 0.238735, 0.391748, 0.517961, 0.500578, 0.476211, 0.392957, 0.481539, 0.387486, 0.406372, 0.380251, 0.382774, 0.415971, 0.324282, 0.387317, 0.348848, 0.396606, 0.401128, 0.29402, 0.404045, 0.403907, 0.287485, 0.318896, 0.428656, 0.364687, 0.433588, 0.550411, 0.434303, 0.401109, 0.464253, 0.374251, 0.431423, 0.4655, 0.443737, 10.1642, 166.987, 1.02564
-19710.954,0.99352922,0.0010523557,10,1023,0,19761.083,-0.077197406,-0.13666868,-0.065826533,-0.2793956,-0.06402914,0.0025073072,-0.075506675,-0.22150167,-0.02093078,-0.10804101,-0.15514056,-0.22845923,-0.0029280446,0.013100199,-0.082997191,-0.0054074738,0.092543775,0.12636191,0.063188528,0.16300337,0.21830536,0.19640549,0.24548798,0.10869912,0.51991732,0.26254315,0.12203738,0.19917309,0.41245566,0.16633862,0.14809223,0.13178455,0.19538663,-1.3200689,-0.92106776,-0.65855651,0.092690184,-0.27844877,0.75236253,-0.60928332,-1.5605077,-1.0020441,0.71793234,-1.780097,1.0744405,0.58099789,1.9473082,0.72446293,0.13057005,-0.45220287,0.21265559,-0.45307658,-0.24925075,-0.75686072,0.35443103,-0.87494043,0.21852779,-0.093782692,0.66665966,-0.98737906,0.62585227,1.0019611,2.2421091,-0.86353827,-0.14309024,-0.12975006,0.0075235745,-0.57804717,0.038810008,-0.039649958,0.35819903,-0.69050249,-0.34039634,0.74204167,1.8169197,-1.0648947,0.7982594,0.63394247,1.6293622,-0.86933465,-0.17908466,-0.48892886,0.090744699,-0.69865219,-0.58118549,-0.7456179,0.31975684,-1.3126838,0.32489844,-0.21599361,1.0186254,-1.9383488,-0.42228135,-0.62478105,0.83862153,-2.5461013,2.0304672,-6.9611786,0.013208106,-0.059115589,-0.19936157,-0.16243649,-0.13814271,-0.12495617,-0.171854,-0.041598711,-0.21365889,-0.16443272,-0.12914423,-0.020461445,-0.17830824,-0.10425819,-0.18469099,0.038022194,-0.1613057,-0.035524999,-0.16274745,-0.017605285,-0.16293819,-0.046446907,-0.14614429,0.072119506,-0.16933579,-0.021860729,-0.098529198,0.088150256,-0.31789636,-0.15347208,-0.11258939,0.022213608,-0.31536752,-0.095325876,-0.088390085,-0.017019143,-0.32146751,-0.097851712,-0.11845084,-0.013998315,-0.28932771,-0.19668164,-0.064583739,0.066591559,-0.28509752,-0.069467435,-0.10219495,0.096065879,-0.4016073,-0.076792527,-0.20458952,0.03450012,-0.29109109,-0.083573391,-0.11092485,0.066288109,-0.2052498,-0.034882256,-0.11498417,0.067853326,-0.3700516,-0.061057632,-0.087743964,0.10510989,-0.34094428,0.24958321,0.24647221,0.25219873,0.23971919
-19714.386,0.98769621,0.0010523557,10,1023,0,19776.919,-0.087992798,-0.16644886,-0.088555131,-0.26056756,-0.10582429,-0.045176632,-0.11545596,-0.23264628,-0.01426819,-0.14365172,-0.15091344,-0.22025978,-0.041319679,0.043736354,-0.1042583,-0.032529434,0.10826845,0.095383891,0.073759287,0.1999401,0.14872424,0.12991224,0.18132097,0.096204624,0.63147326,0.3731153,0.098350681,0.18910637,0.35063981,0.14646906,0.10716873,0.14128639,0.19095692,-1.192169,-0.79124325,-0.3124988,0.63670236,-0.22936984,1.0465067,0.033976538,-0.7923333,-0.54645389,0.93364854,-1.4442431,0.93709069,0.32235144,1.44085,0.36277904,0.23550986,-0.50202775,0.59421141,-0.38133954,-0.39531602,-0.69941711,0.46790392,-0.87349055,0.035931773,-0.062540935,1.1160245,-0.92441291,0.24550904,1.1691876,2.6014751,-0.79524672,-0.20910085,-0.08160661,-0.031086179,-0.46146382,0.17512278,0.11996724,0.42849472,-0.40202356,-0.78634242,0.74161734,2.1223275,-1.2012279,0.90325831,0.65271897,1.520487,-1.0200192,-0.23608908,-0.52656468,0.14904752,-0.69750599,-0.36566461,-0.75607332,-0.23160682,-1.8078228,0.72648395,-0.52080479,1.7797164,-2.0957735,-0.62713533,-0.43219756,1.0040536,-1.8962041,1.2361111,-3.7771667,0.024055907,-0.067318188,-0.21706709,-0.17365948,-0.12182656,-0.10571771,-0.18832704,-0.066628975,-0.16320804,-0.14699707,-0.12886118,-0.01968988,-0.19508147,-0.07320555,-0.19611658,0.027516144,-0.18803348,-0.070798269,-0.18048799,-0.017450653,-0.16253873,-0.096533021,-0.13603948,0.015609814,-0.15865375,-0.10894077,-0.12679594,0.086902697,-0.28307141,-0.20902717,-0.12016502,0.01762765,-0.30915269,-0.14630979,-0.065800582,-0.033898281,-0.30567026,-0.078310729,-0.098890105,0.016226218,-0.29365286,-0.22825076,-0.077974871,0.057818915,-0.26905503,-0.049447885,-0.09682647,0.067273988,-0.41315191,-0.12410191,-0.22595422,0.010942315,-0.28589305,-0.0098221971,-0.067004995,0.0098131204,-0.22105375,-0.026401937,-0.16007229,0.086471651,-0.32885968,-0.12113512,-0.093593066,0.10932968,-0.30043726,0.24332793,0.24448062,0.25289827,0.24008261
-19718.342,0.99760185,0.0010523557,10,1023,0,19776.245,-0.075857085,-0.21073552,-0.086943077,-0.24523501,-0.10084986,-0.0077198187,-0.098009787,-0.1953555,0.058440875,-0.12327283,-0.14710045,-0.20743471,-0.12256096,-0.041885793,-0.082691161,-0.0048013612,0.13700646,0.20212831,0.061768694,0.25502855,0.16030506,0.1747804,0.16259938,0.084383304,0.87671088,0.43695791,0.084412838,0.25018682,0.31583197,0.090092213,0.08352603,0.16158944,0.13097333,-1.0595382,-0.023982873,-0.33356411,0.087107309,0.46495838,1.0282162,0.0021245736,-0.79845893,-0.42826536,0.7436082,-1.5362124,0.60862069,0.20948524,1.005262,0.30419596,0.47489402,-0.55910575,0.82767044,-0.63846728,-0.40985792,-0.79040032,0.64132898,-1.0050148,0.28755339,0.14408052,0.92409148,-1.2933299,0.25793811,0.80746894,2.2896958,-1.2381382,-0.21523439,-0.17588957,-0.070597965,-0.38829455,0.042893706,0.0043966562,0.27784628,-0.37276778,-0.43527229,0.67660603,2.1046626,-1.5781478,0.6912965,0.56356183,1.3227588,-0.70524719,0.15369222,-0.32634635,0.375272,-0.37026427,-0.22930612,-0.55178978,0.3330498,-2.190181,0.24333811,-0.24889033,1.6217754,-3.1115624,-0.20182765,-0.34797997,0.67894109,-2.046517,1.9717884,-6.7638523,0.018687672,-0.057912892,-0.22102067,-0.079142894,-0.12155752,-0.19312867,-0.11675427,-0.0029039253,-0.21030608,-0.13626284,-0.11339647,-0.04101137,-0.18183291,-0.090019357,-0.19181029,0.011135506,-0.16765636,-0.024721942,-0.19047734,0.031829904,-0.2031994,-0.079354948,-0.1458663,0.10437191,-0.18337671,-0.051253784,-0.074582384,0.052246915,-0.30830443,-0.17358983,-0.1272186,-0.0021433943,-0.29983369,-0.13025746,-0.095763424,-0.003453129,-0.28198118,-0.10453008,-0.12135167,-0.0018656946,-0.28615666,-0.18384302,-0.089986213,0.030560095,-0.28031638,-0.034481441,-0.066438973,0.12350209,-0.38387827,-0.074020043,-0.22563157,-0.0040380638,-0.23950225,-0.062544489,-0.091597755,-0.011880599,-0.23920405,-0.062366095,-0.10347998,0.0527693,-0.34258761,-0.037414578,-0.061031249,0.10490835,-0.3354969,0.24557254,0.24486953,0.25038729,0.2402133
-19709.249,0.9901077,0.0010523557,10,1023,0,19764.238,-0.062451496,-0.16839634,-0.05720126,-0.21986207,-0.11102051,-0.0420217,-0.099762324,-0.21309692,0.082288944,-0.1481836,-0.1524911,-0.20665814,-0.17966022,-0.014097263,-0.056697437,0.01718224,0.12629924,0.16240387,0.090472987,0.23360097,0.10106256,0.11414794,0.19366977,0.13275128,0.9197054,0.4099098,0.10182782,0.23359161,0.38945477,0.12545741,0.09177332,0.22243222,0.031242184,-1.1671576,-0.17686712,-0.41369555,0.58130089,-0.093502061,0.49950882,-0.035689432,-1.4545378,-1.0073602,0.58827901,-1.5306801,0.63902648,0.12278496,1.0377388,0.31657056,0.5418323,-0.76281232,1.1594818,-0.68241068,-0.56376768,-1.1611136,0.74156815,-0.99237608,0.1757303,-0.30902154,0.97406786,-0.82563231,0.2973635,0.75055439,1.7058963,-0.68916513,-0.1869468,-0.18585799,-0.17089403,-0.45806396,0.10085963,0.07605472,0.36450542,-0.3222622,-0.56151342,0.80966795,2.084967,-1.3058833,0.68581665,0.52499115,1.2346156,-0.83731168,0.26160287,-0.089603025,0.34333586,-0.19251704,-0.067010848,-0.70907665,0.97878912,-1.8576715,-0.15329096,-0.52291559,1.5438488,-2.9887629,-0.67037821,-0.50396005,0.58223977,-1.480963,1.8547156,-6.237202,0.0084562836,-0.058505632,-0.20986261,-0.084789679,-0.11470093,-0.073990826,-0.18358143,-0.087274173,-0.17419244,-0.18879764,-0.14834015,-0.0039779007,-0.19568646,-0.070584865,-0.19117939,0.022554729,-0.14591088,-0.056261552,-0.18811227,0.0061596887,-0.17998668,-0.10637462,-0.17456042,0.042626772,-0.15529938,-0.065728679,-0.15961045,0.088885171,-0.25966234,-0.17362154,-0.11345987,0.013362998,-0.30458447,-0.089647034,-0.088645651,-0.074883221,-0.33899495,-0.10684025,-0.11700802,0.0012307435,-0.28028203,-0.20966879,-0.070044374,0.059816549,-0.28546635,-0.046457122,-0.08402461,0.08173771,-0.40224712,-0.077777737,-0.21455655,-0.045946432,-0.2546369,-0.02250427,-0.10305618,0.10869909,-0.24715592,-0.070765457,-0.10468714,0.084986691,-0.33098613,-0.13193147,-0.094914711,0.14669113,-0.31223165,0.24770045,0.24781812,0.25342803,0.24387118
-19703.088,0.55490666,0.0010523557,10,1023,0,19757.285,-0.049228934,-0.15036885,-0.062347032,-0.22002636,-0.091783907,0.0004503737,-0.071994181,-0.18778089,0.036768215,-0.11371062,-0.17185532,-0.21519154,-0.18992278,-0.015098609,-0.012548594,0.070583217,0.13966207,0.13457328,0.074462379,0.2926709,0.14126238,0.13592582,0.18114776,0.11049055,0.82131474,0.28517977,0.096992328,0.22219946,0.33488227,0.099533782,0.12431049,0.28721339,-0.15011014,-1.1589524,-0.1145263,-0.52181798,0.097576949,0.12633834,1.0047469,-0.22419991,-1.0583262,-1.0220701,0.9613891,-1.4722949,0.51606139,0.091245399,0.9263254,0.13976617,0.39288617,-0.61157722,0.97041893,-0.71940014,-0.51407308,-1.0910254,0.64439576,-1.3492312,0.14685091,-0.066275692,0.6268984,-1.3146464,0.17478539,0.56114273,1.8732759,-0.88927448,-0.15569427,-0.16365519,-0.16667867,-0.42249967,0.033985155,0.044106781,0.45046308,-0.53283679,-0.5882125,0.73675752,2.4845947,-1.0790672,0.74092312,0.55977921,1.3220941,-0.64094213,0.36810038,-0.046422343,0.52428668,-0.18129686,-0.34786753,-0.81997386,0.60930101,-1.8533629,0.10445717,-0.87210427,0.66414562,-2.3766879,-0.36757519,-0.38875837,0.0074710404,-1.4152603,1.6337109,-5.351625,0.010597167,-0.070193626,-0.21109062,-0.065223913,-0.12210711,-0.1372376,-0.13336708,-0.015156754,-0.18054016,-0.14115252,-0.1384528,0.0092402875,-0.17197761,-0.068990205,-0.19332149,0.051082132,-0.17912087,-0.036283871,-0.17817676,0.045299785,-0.19340809,-0.069425432,-0.14784815,0.088040396,-0.18294498,-0.045392468,-0.083999874,0.041567057,-0.31013942,-0.16846876,-0.12577992,0.019198394,-0.28603732,-0.091105784,-0.097644202,-0.10012743,-0.31023699,-0.10401874,-0.10113226,0.014752343,-0.2656649,-0.22890742,-0.1003955,0.069131306,-0.27651656,-0.05055883,-0.090808909,0.078577048,-0.35760854,-0.066652485,-0.2054688,-0.014348464,-0.25063588,-0.04972318,-0.096713709,0.045547426,-0.19957083,0.00043652859,-0.12096031,0.070011676,-0.30799584,-0.034989301,-0.041073394,0.072728999,-0.33589849,0.24694538,0.2474236,0.25452997,0.2435178
-19700.809,0.98022637,0.0010523557,10,1023,0,19757.911,-0.16653848,-0.15880124,-0.063029342,-0.25150056,-0.062980923,0.015103287,-0.13268123,-0.14124113,-0.10874054,-0.14824632,-0.16798786,-0.18509665,-0.22735309,-0.062300286,-0.0088035578,-0.011812597,0.093999238,0.12112804,0.11925563,0.42752616,0.10851426,0.12185024,0.20986073,0.11537383,0.44212066,0.19549303,0.11756106,0.1805493,0.35466021,0.092832023,0.141815,0.24268272,0.98649174,-0.66110616,0.21701773,0.34676995,0.24422996,-0.13362483,1.1334586,-0.2739039,-0.79814873,-0.42726329,0.20309905,-1.253164,0.36949413,0.16514823,0.55361654,0.19789208,0.13270426,-1.1028182,0.25192012,-1.0979099,-0.78249701,-1.4372413,0.77605926,-1.4673361,0.086735523,0.21216573,0.96562303,-0.71872242,-0.090559176,0.43983835,1.2753735,-1.4523849,0.007017551,0.085250537,0.18997775,-0.47645376,0.27118734,0.11498695,1.0380687,-0.71529837,-0.34648531,0.79733969,1.3590815,-1.1695166,0.69229374,0.64069645,1.39275,-0.83681589,0.54238504,0.080190985,0.70001548,-0.2814811,-0.070027357,-0.31753,0.89396552,-1.8903898,-0.32767416,-0.64206974,0.55490162,-2.0285162,-0.15325728,-0.29765293,0.12844375,-1.26253,1.689848,-5.5406039,0.0074831808,-0.073809005,-0.22868195,-0.14613898,-0.13394237,-0.12921814,-0.17498696,-0.021507622,-0.19197868,-0.15821307,-0.11398289,-0.038808638,-0.21247619,-0.093532157,-0.18089537,-0.014815007,-0.16689652,-0.048580618,-0.18265242,-0.035643997,-0.18211981,-0.080244162,-0.16002491,0.1096663,-0.16369197,-0.11447885,-0.088155974,0.069965124,-0.28351284,-0.15168929,-0.090495294,0.0059035992,-0.30880833,-0.10563794,-0.07104952,-0.024747455,-0.3193906,-0.095231082,-0.12576717,0.054688879,-0.28808216,-0.20872104,-0.074251754,-0.0082127857,-0.30547747,-0.060103497,-0.069419351,0.066363388,-0.33618318,-0.034990693,-0.19891253,0.020914549,-0.32718323,-0.068801067,-0.091777238,0.020688341,-0.23778899,-0.055272669,-0.099858676,0.069889814,-0.29647758,-0.049005489,-0.084047819,0.019358481,-0.31820682,0.25092908,0.24920265,0.25561919,0.24426379
