# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 17:20:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f6745cd6342.json
# init = 2 (Default)
# random
#   seed = 832472788
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141820-1-8034c3.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141820-1-44d0c6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00297061
# Diagonal elements of inverse mass matrix:
# 0.0147109, 0.00780123, 0.00908887, 0.0142922, 0.0307703, 0.016628, 0.0502899, 0.019093, 0.0151625, 0.0128171, 0.0408898, 0.0576793, 0.0410079, 0.0291969, 0.0378343, 0.0533909, 0.546509, 0.451281, 0.337894, 0.451078, 0.403838, 0.321648, 0.414235, 0.369239, 0.343746, 0.33674, 0.362357, 0.407365, 0.389231, 0.373029, 0.325278, 0.444189, 0.415962, 0.305724, 0.290534, 0.216058, 0.370612, 0.260945, 0.283217, 0.275509, 0.290482, 0.242156, 0.308671, 0.267114, 0.321337, 0.266483, 0.331263, 0.232973, 0.502042, 0.331663, 0.287817, 0.317794, 0.352949, 0.292538, 0.285675, 0.28426, 0.285958, 0.231503, 0.310106, 0.262126, 0.313124, 0.253849, 0.287338, 0.229051, 0.398258, 0.543053, 0.486564, 0.45238, 0.486989, 0.513059, 0.456194, 0.4761, 0.35926, 0.394696, 0.511885, 0.389632, 0.446746, 0.37095, 0.4722, 0.460972, 0.309374, 0.36483, 0.414204, 0.271678, 0.351296, 0.31068, 0.494992, 0.414718, 0.591455, 0.454878, 0.444023, 0.563884, 0.437298, 0.443423, 0.479446, 0.422611, 6.48686, 104.721, 0.725002
-19706.626,0.98903211,0.0029706051,10,1023,0,19755.278,-0.18765902,-0.12412187,-0.055564509,-0.12573612,0.058576279,-0.088705314,-0.086895284,-0.17313476,-0.31283384,-0.22952943,-0.1286277,0.16783758,-0.10859216,-0.40196384,0.19548189,-0.27664226,0.19802648,0.097254441,0.051181673,0.097015162,0.29209648,0.053997393,0.19429224,0.081230326,0.36217007,0.20554051,0.14909924,0.41917893,0.18844339,0.26106688,0.36420465,0.61411101,0.50532239,-0.12206503,0.51857994,0.35155051,-0.040921989,-0.22293484,0.99586423,-0.63940713,-1.2934332,-1.9663222,0.75671574,-1.9175068,0.80884976,-0.76792453,1.3248889,-0.49636516,-0.28625783,-0.95617961,-0.21703836,-0.76152551,-0.063150503,-0.71161612,2.755427,-1.0418139,0.17404591,-0.020312293,0.90451318,-1.0587417,0.060450439,0.55380778,1.5366143,-1.3334239,0.54175464,0.64803254,0.67403642,-0.054588582,0.63190875,0.55338409,1.0821133,-0.33690699,-0.52931195,0.46581783,1.1438064,-0.98448317,-0.58203983,-0.60513819,-0.26479221,-1.2033567,0.29888435,-0.5013747,0.48965232,-1.0269485,1.4564524,1.2149224,1.6977917,0.5400044,-0.74648003,-0.84691227,-0.31122425,-1.3335574,0.33351187,0.34535562,0.56838074,-0.11740703,0.15604776,0.61491832,0.046767792,-0.087591809,-0.21183113,-0.084966462,-0.11804271,-0.12810171,-0.14580327,-0.027269651,-0.18630705,-0.12176459,-0.15620417,-0.016834532,-0.15370571,-0.04726543,-0.20023644,0.0027981888,-0.17389107,-0.025038625,-0.22072042,-0.0048198624,-0.16386264,-0.092115277,-0.12713073,0.060080558,-0.14496055,-0.053079515,-0.090841805,0.088844608,-0.29260059,-0.16822435,-0.12814877,-0.048315077,-0.28144922,-0.11662652,-0.078135846,-0.068718018,-0.33260419,-0.099646585,-0.11578658,-0.0071113053,-0.29877747,-0.20754771,-0.059174619,0.041912961,-0.27541339,-0.076141247,-0.085823594,0.056842269,-0.3365842,-0.052269381,-0.20307291,-0.016320417,-0.30211382,-0.021732366,-0.084787841,0.041273345,-0.26098657,-0.076389611,-0.1129675,0.082132569,-0.29020593,-0.07182895,-0.064555568,0.072406613,-0.34874321,0.25922346,0.25672224,0.23861518,0.23216707
-19699.774,0.98737829,0.0029706051,10,1023,0,19747.465,-0.13359728,-0.10706487,-0.10184193,-0.20052523,-0.1644995,-0.0072330825,-0.30900109,-0.17685349,-0.14353782,-0.2908777,-0.14982306,-0.082620602,-0.3199591,-0.16718019,0.01774326,-0.20797236,0.055445895,0.21954814,0.063280054,0.16175808,0.10935611,0.14864716,0.55367184,0.31345253,0.10832821,0.33348441,0.14936315,0.25735011,0.50603793,0.22966686,0.31649676,0.31362314,1.0564504,-0.98916156,0.78479888,-0.083857578,0.048254916,-0.15224482,0.4141562,-0.30181073,-0.55090005,-0.22722682,0.34337453,-1.1537553,0.86191623,-0.057065003,1.5064585,0.13780004,1.2651844,-0.023735659,1.7527238,-0.41132302,-0.50153586,-0.93670395,0.71229721,-1.0683277,0.42682814,0.2917343,0.66800834,0.078022334,0.10733561,0.26681618,0.80320832,-0.47469596,0.11459717,0.35257668,0.981751,-1.7648584,0.51294448,0.51078346,0.90452321,-0.017556335,-0.30428178,0.67656764,1.6178959,-0.63749165,0.070129283,0.052279171,0.63849699,-1.1000463,0.50564676,0.29510492,0.59512209,-0.0062912687,0.62844294,0.35729736,1.0704654,-0.37275163,-0.15742522,-0.49117356,0.017021585,-1.0797982,0.47585997,0.48879686,0.96441874,-0.35787607,0.42303894,-0.43956531,0.020949544,-0.075021445,-0.18844223,-0.090083407,-0.13824684,-0.096470592,-0.14048994,-0.016137644,-0.17332685,-0.13670291,-0.11622085,-0.08011317,-0.17485163,-0.061103309,-0.20975595,0.043156613,-0.17823496,-0.026143851,-0.16709514,0.02717156,-0.20948019,-0.081784966,-0.14647147,0.098647878,-0.16603697,-0.072678366,-0.14747602,0.060856322,-0.26580232,-0.14320887,-0.093219278,0.074914194,-0.32564814,-0.13112371,-0.10534382,-0.037186491,-0.33472177,-0.11981872,-0.12053938,0.010766686,-0.29673247,-0.19527155,-0.048768791,0.091830956,-0.24504082,-0.064572824,-0.069166552,0.081696668,-0.36571765,-0.06408266,-0.17062482,-0.01880475,-0.32314272,-0.022847672,-0.085120827,0.078670228,-0.25278889,-0.032081314,-0.13771158,0.023130537,-0.32400939,-0.058731663,-0.054674353,0.094491671,-0.32021057,0.25508315,0.24633052,0.23728637,0.23384709
-19696.559,0.85953318,0.0029706051,10,1023,0,19733.404,-0.1476921,-0.11609351,0.013972396,-0.19214978,-0.15219735,0.12136524,-0.14071891,-0.15624829,-0.12695226,-0.30497482,-0.14210551,-0.20437114,-0.20950102,-0.29378166,-0.021424369,-0.41077862,0.092306718,0.1336256,0.15187775,0.19304354,0.18430196,0.51470629,0.29353662,0.097491016,0.27437638,0.28323959,0.38783853,0.22641866,0.15265354,0.5869127,0.24735774,0.37999761,0.7797814,-0.38155552,0.32897603,0.17028144,-0.23864076,-0.26023385,0.74513323,-0.49256785,-0.89861335,-0.81609391,-0.30390384,-1.5759404,0.69125668,-0.056812894,1.0684423,0.1234209,0.7015763,-0.076075952,0.99679113,-0.37806009,-0.43447589,-0.59525553,-0.12393676,-0.5307453,0.13457955,0.058411713,0.68537382,-0.4407705,-0.0055277687,0.37993575,1.8141121,-1.4632664,0.074477657,-0.037407263,0.34736619,-0.70104279,0.70398774,0.67293455,1.1040066,0.013476132,-0.093254538,0.22122986,0.61304283,-0.24829841,0.51194971,0.50678632,1.2084414,-0.5933314,0.88696101,0.14460751,1.2128869,-0.49562302,0.39062868,0.35287104,0.47291376,0.13888419,-0.10594008,-0.38920383,0.5424105,-1.3396237,0.83690786,0.97046138,1.3314168,0.24532115,-0.53076481,3.4964403,0.080126359,-0.075713042,-0.18291224,-0.11732541,-0.13197398,-0.14798202,-0.15086741,-0.016524632,-0.18191318,-0.12250698,-0.10997411,-0.032183836,-0.22537789,-0.058707143,-0.20311714,0.014106099,-0.16832417,-0.022895461,-0.16621829,0.031513212,-0.22187456,-0.10226223,-0.18501652,0.057574207,-0.15181271,-0.10121489,-0.12357293,0.0604634,-0.27010119,-0.15678719,-0.11920796,0.020611348,-0.29890362,-0.10651735,-0.13721593,-0.031643179,-0.31930184,-0.10557762,-0.11437312,0.0077235459,-0.30115785,-0.17827322,-0.056304053,0.095656114,-0.2384052,-0.08845617,-0.089625256,0.069242549,-0.33871244,-0.074103281,-0.18742617,-0.024349539,-0.28515963,-0.064516729,-0.086677169,-0.01622257,-0.21226877,-0.047629469,-0.11769695,0.11274507,-0.35279066,-0.092755632,-0.042005614,0.095156582,-0.31755717,0.25867409,0.24212708,0.23872842,0.23790589
-19694.756,0.99766352,0.0029706051,10,1023,0,19743.762,-0.16026777,-0.092812022,-0.013459537,-0.17435103,-0.15108577,0.031429672,-0.22133175,-0.15577227,-0.1490941,-0.23572698,-0.34886112,-0.095045407,-0.20778047,-0.38200264,0.028719942,-0.44291909,0.095346929,0.11895397,0.16208217,0.20901726,0.16096788,0.20140875,0.2171095,0.11680634,0.24148176,0.41572837,0.43996575,0.21844453,0.21792283,0.99739027,0.19680421,0.42373809,0.98477544,-0.53694048,0.5837972,0.42080245,0.0010899552,-0.62756133,0.52307872,-0.67973782,-0.70978049,-0.73745142,0.40641978,-1.2749707,0.542162,-0.1132014,0.98518994,0.050939275,0.99702154,-0.201611,1.1238394,-0.3125468,-0.59090481,-0.8955124,0.37062642,-1.0738192,0.56291605,0.37001962,1.2853203,-0.19600503,0.13711922,0.44169424,1.2781381,-1.2421012,0.26384014,0.15753137,0.54447178,-0.63634007,0.37763538,0.20937062,0.65511849,-0.10877542,0.36846194,0.56697553,0.8950489,0.13624645,0.062313153,-0.0042945417,0.74712455,-1.1876523,0.54024409,-0.07715179,1.2281971,-0.45760779,0.29599201,0.28273314,0.45429959,0.15907095,-0.36012951,-0.67960669,0.10746047,-1.6086889,0.85979705,0.83602023,1.3367669,0.29880111,2.1531894,-7.3921657,0.12534769,-0.066372458,-0.2114634,-0.1046045,-0.12014555,-0.092682368,-0.16746293,-0.030589732,-0.17366953,-0.1285023,-0.13298726,0.052413862,-0.22010955,-0.061029814,-0.19801208,0.031570675,-0.16370384,0.009402674,-0.18353867,0.02981628,-0.20139577,-0.087583727,-0.14893436,0.10607708,-0.18484692,-0.099117325,-0.14099697,0.057723496,-0.2638863,-0.13975588,-0.10417958,-0.0064776311,-0.30085757,-0.085381521,-0.11105315,-0.017614097,-0.30275863,-0.078733245,-0.14868568,0.036624355,-0.28094801,-0.18675049,-0.099411307,0.044929736,-0.28891735,-0.08143344,-0.095983526,0.068159862,-0.35448155,-0.090048951,-0.22459361,0.059871713,-0.30750366,-0.086783093,-0.10000736,0.071111349,-0.22334683,-0.042155063,-0.10502952,0.049868614,-0.2878768,-0.078590333,-0.088665473,0.12351998,-0.31630568,0.26257244,0.25019316,0.24106388,0.24378346
-19701.62,0.99726954,0.0029706051,10,1023,0,19752.348,-0.15978119,-0.11554319,-0.079154809,-0.21579678,-0.11896736,-0.03656517,-0.36186395,-0.14507096,-0.14509484,-0.37667537,-0.16735048,-0.035770681,-0.26098549,-0.37151231,0.16915179,-0.33864438,0.10160801,0.089082589,0.12897022,0.30989548,0.1921349,0.14020392,0.30050162,0.23199656,0.10788721,0.51579837,0.30597608,0.19953293,0.16938859,0.80108147,0.34975126,0.53019498,0.78349706,-0.84226252,0.61841899,0.3279329,0.077056744,-0.55079215,0.31417578,-0.53992938,-0.576293,-0.30477578,0.16284254,-0.87003542,0.44905565,0.10858215,0.81183431,0.1472701,0.42222225,-0.40277282,0.95570783,-0.42238007,-0.58767303,-0.97406209,0.39325719,-0.95725579,1.0085003,0.68847726,1.3727119,0.32197511,-0.20905761,0.12993276,0.73385527,-0.71639882,0.044223135,0.62302439,0.7606946,-1.3725146,0.46541894,0.54527049,0.69226897,0.11590093,-0.011400245,0.37773301,0.70777525,-0.40830328,-0.093872617,-0.37240136,0.46783882,-1.6169218,1.2297842,0.51309461,1.4440673,-0.15455192,0.36236578,0.3364083,0.49039148,0.20746904,-0.54976158,-0.7716557,-0.19465556,-1.4644821,0.4399656,0.53154306,0.81177939,0.025767781,2.4362789,-8.4822162,0.14204187,-0.080171619,-0.24536181,-0.096944873,-0.12646059,-0.10867877,-0.16460918,-0.087555593,-0.16364149,-0.15347944,-0.11846181,-0.058152971,-0.19136347,-0.076636462,-0.18214766,0.035787008,-0.17015844,-0.037843736,-0.19635408,0.064657461,-0.20012131,-0.11895923,-0.17313249,0.018571029,-0.17077618,-0.058807956,-0.15497541,0.050638193,-0.26510991,-0.19357161,-0.11492701,0.02518094,-0.31127302,-0.14032373,-0.077878476,-0.063025621,-0.29317161,-0.13661304,-0.095425743,-0.019604166,-0.31689386,-0.17083869,-0.051773217,0.049211817,-0.29228152,-0.054501359,-0.11007702,0.057578571,-0.35839984,-0.052674082,-0.17407311,-0.016376964,-0.28716482,-0.081227799,-0.10202185,0.021331218,-0.20531271,-0.023128019,-0.10073577,0.10107076,-0.34305268,-0.10537683,-0.056822918,0.091756977,-0.32498243,0.25608055,0.25314485,0.23719859,0.24449143
-19708.511,0.99637227,0.0029706051,10,1023,0,19755.872,-0.1053104,-0.12577194,-0.066987412,-0.25951866,-0.095967729,-0.041410956,-0.42389474,-0.21831137,-0.11289871,-0.31911213,-0.081652075,0.045387394,-0.57014284,-0.091235997,0.16548345,-0.32496429,0.068161725,0.12695596,0.09665067,0.42692683,0.174412,0.15630913,0.48766362,0.15020652,0.13263428,0.52397157,0.32574815,0.41340628,0.47947806,0.19023094,0.24719004,0.41878997,0.8791375,-0.80586296,0.20334477,0.10338197,0.092859766,-0.46191646,0.41226062,-0.29564823,-0.34750008,-0.83373933,0.20356456,-1.272413,0.4427736,0.13152998,0.68636569,0.21811495,0.054865075,-0.42459608,0.68778952,-0.50050776,-0.5749859,-0.9136192,0.45462314,-0.74594898,0.84576208,0.61938419,0.92480294,0.31500222,0.25891828,0.60602345,1.4359874,-0.40438966,0.055289638,0.16857468,0.79326174,-1.4904565,0.49474966,0.3721141,0.66329248,0.11220962,-0.43549451,-0.066940752,0.30576807,-0.56042183,-0.32079957,-0.28305394,-0.0029017495,-1.0016733,1.0242586,0.69768137,1.3506456,0.64398894,0.28301112,-0.0027724902,0.6475115,-0.73009295,-0.76171135,-1.161361,-0.23332063,-2.1115223,0.50956544,0.59150374,0.91834677,0.027887955,-0.29239341,2.4254772,0.041381569,-0.045386869,-0.16023941,-0.091450067,-0.098263703,-0.11398284,-0.18441499,-0.073433001,-0.16330625,-0.10057353,-0.14756888,-0.047312761,-0.18996698,-0.070486735,-0.20336499,0.033509263,-0.16639954,-0.086398601,-0.17002238,0.023991018,-0.18326229,-0.1312865,-0.18421798,0.029650793,-0.1580096,-0.01144734,-0.1218436,0.027098015,-0.27027962,-0.17942016,-0.1272827,-0.0026167036,-0.27905334,-0.1055654,-0.090539923,-0.0076850025,-0.31058433,-0.05987738,-0.12413492,0.028434267,-0.26031748,-0.22351361,-0.1034579,0.017951309,-0.26420845,-0.087233161,-0.071628883,0.044187793,-0.36871066,-0.07903331,-0.23561993,0.077462075,-0.26136427,-0.037398527,-0.09176341,0.031940723,-0.23012226,-0.022804011,-0.12159342,0.10780891,-0.35646385,-0.11156339,-0.077248452,0.059630126,-0.31328509,0.26160527,0.25669619,0.2504887,0.23765984
