# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 17:20:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f6745cd6342.json
# init = 2 (Default)
# random
#   seed = 832472788
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141820-3-8034c3.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141820-3-44d0c6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00550601
# Diagonal elements of inverse mass matrix:
# 0.00685084, 0.00447341, 0.00581334, 0.0112541, 0.0258777, 0.0221825, 0.0392352, 0.0164071, 0.0185658, 0.363238, 0.0693329, 0.0461073, 0.0235695, 0.02757, 0.0383516, 0.0376884, 0.516245, 0.340976, 0.366441, 0.3499, 0.493015, 0.377782, 0.332596, 0.340154, 0.345941, 0.647587, 0.452059, 0.358043, 0.362479, 0.391947, 0.372043, 0.350289, 0.420868, 0.377075, 0.298677, 0.274246, 0.308225, 0.289687, 0.252049, 0.232278, 0.280917, 0.280784, 0.256879, 0.254016, 0.276495, 0.306857, 0.24531, 0.244511, 0.55711, 0.34626, 0.306341, 0.390281, 0.375868, 0.320352, 0.252138, 0.238192, 0.282606, 0.254694, 0.262692, 0.237878, 0.280916, 0.287582, 0.222705, 0.242803, 0.393625, 0.464209, 0.49246, 0.428842, 0.462507, 0.565929, 0.385679, 0.411549, 0.368348, 0.521444, 0.487194, 0.388241, 0.407267, 0.441969, 0.373542, 0.448426, 0.330189, 0.355317, 0.427328, 0.360238, 0.384054, 0.345595, 0.485552, 0.426388, 0.512319, 0.383536, 0.378694, 0.435071, 0.418176, 0.434828, 0.460746, 0.47205, 5.56862, 89.6649, 0.789737
-19740.234,0.82119032,0.0055060147,9,767,0,19787.557,-0.11833123,-0.15047965,-0.19437384,-0.14636444,-0.22751282,-0.088583077,-0.11934897,0.36550996,-0.18554378,-0.18085352,-0.041658047,-0.01982485,0.3286258,0.0090332221,-0.16518776,-0.11982755,0.16548395,0.019983387,0.083961805,0.11397803,0.45922274,0.032057513,0.10089507,1.1592775,0.086103561,0.12463219,0.3715494,0.30757152,0.63712815,0.13205878,0.11442851,0.2747961,0.063111584,-0.65969942,0.36307291,-0.26637314,-0.5938985,-2.5664018,0.16361865,-0.65768675,1.2990645,0.63138194,1.7794559,-0.28699944,0.48041713,-0.48223448,1.4660957,-0.17848517,0.43206927,0.045933322,0.45009109,0.097272356,0.53226634,-0.67977021,3.0484552,-1.8021381,0.48019667,0.063720642,1.8212975,-1.1986951,-0.45746728,-0.40396793,-0.33466233,-0.5897592,0.22042039,1.5385546,1.0595059,-0.98770707,0.52675844,0.53426996,1.7646817,-0.74882213,-0.4104914,-0.16361845,0.14053016,-0.66542688,-0.041163145,-0.39491929,0.36233375,-1.1072409,-0.63478127,-0.83411964,-0.53187238,-0.92729079,-0.47030996,-0.49791578,0.62489142,-1.8494955,0.85642415,0.36906358,2.3331339,-1.4301451,0.1818002,0.12840166,0.88994951,-0.79188925,0.87160216,-2.4685843,0.075264067,-0.10788728,-0.2275009,-0.058248493,-0.16241171,-0.16234775,-0.20176505,-0.14720999,-0.16362246,-0.085302041,-0.14136188,-0.044967517,-0.21847084,-0.09160744,-0.20132858,0.020738265,-0.16670783,-0.029096787,-0.20641919,-0.020820753,-0.18284314,-0.071519942,-0.11037482,0.009142813,-0.14635514,-0.070899491,-0.11291987,0.064410976,-0.2402914,-0.16482155,-0.10280096,-0.022456544,-0.31818459,-0.1665648,-0.053068746,-0.094316547,-0.27058887,-0.11520246,-0.11426628,0.039082623,-0.27418085,-0.19417588,-0.10245039,0.010555849,-0.28889701,-0.032485461,-0.14129078,0.091618692,-0.36038063,-0.075811219,-0.2028153,-0.010245069,-0.26217727,-0.053075336,-0.056720927,0.091555619,-0.23520889,-0.067188424,-0.12295637,0.10178927,-0.32883712,-0.069869565,-0.084543276,0.12472711,-0.33743563,0.24635595,0.26186274,0.23609067,0.25069708
-19730.971,0.97208957,0.0055060147,10,1023,0,19791.65,-0.16864165,-0.13785544,-0.16225031,-0.099764185,-0.17796573,-0.10667017,-0.1385552,0.30995104,-0.18693921,-0.2077767,0.12962655,-0.013395914,0.28411342,-0.0050869355,-0.18060314,-0.099995684,0.077875869,0.051330556,0.064282135,0.10037129,0.46173331,0.069996429,0.11107364,1.3153245,0.076252938,0.14575134,0.4007304,0.25511394,0.69717825,0.10118545,0.13244775,0.37727671,1.1419217,-0.79831232,-0.0084012929,0.36440306,0.050232747,-1.7861618,0.41015452,-0.45784286,0.84104915,0.45979782,1.1631922,-0.6252408,0.22411747,-0.59648126,1.2944015,-0.75323177,0.27388655,-0.0024286048,0.46890926,0.011126781,0.42962732,-1.0969217,2.5758048,-0.91908358,0.53319712,0.27402622,1.4050708,-1.1909799,-0.36167106,-0.34480762,-0.19440738,-0.47952361,0.98407173,1.3613913,1.6848855,-2.165055,0.9946121,0.51495364,1.4042487,-0.57000358,-0.73764585,-0.49111648,-0.16609561,-1.0138998,-0.031818823,-0.47112848,0.382906,-1.2377722,-0.49439753,-0.70001469,-0.38539103,-0.87577066,-0.19843161,-0.71838394,0.99298671,-2.2664272,1.3568421,0.53947609,1.5676199,-1.2187955,0.10378986,-0.003209628,0.47954817,-0.50042033,0.59807382,-0.89979006,0.071895197,-0.0797135,-0.23081091,-0.1692959,-0.14026344,-0.13527696,-0.22954012,-0.11680198,-0.16135677,-0.10818587,-0.13269352,-0.087477831,-0.20244212,-0.077269226,-0.15963378,0.030156565,-0.17536703,-0.051503183,-0.1790871,0.038545298,-0.17282812,-0.076597792,-0.18345077,0.073626966,-0.17100274,-0.079331054,-0.10811811,0.017511134,-0.27084167,-0.16576377,-0.14358287,0.054242244,-0.32077813,-0.11190085,-0.083129118,-0.058461738,-0.35203101,-0.062810647,-0.13272151,-0.0031055589,-0.29085548,-0.16597057,-0.06717876,0.063066983,-0.27667392,-0.021513339,-0.13358735,0.084288743,-0.32916885,-0.060569787,-0.2039216,0.015427176,-0.32645484,-0.025165327,-0.077776938,0.095388871,-0.23441639,-0.0008924523,-0.10915075,0.027024592,-0.34202986,-0.060838188,-0.1012066,0.080926672,-0.28879262,0.25649905,0.25581601,0.23697114,0.2341168
-19722.946,0.96946658,0.0055060147,10,1023,0,19772.958,-0.20743901,-0.10419085,-0.14795613,-0.027261637,-0.12054972,-0.10255921,-0.08016556,0.31887823,-0.15091097,-0.20627097,0.069284954,0.013672015,0.39994305,-0.048683059,-0.15991155,-0.184463,0.078486269,0.040625249,0.11736467,0.11292519,1.6184404,0.10343605,0.19757205,0.59484824,0.076916452,0.18292036,0.51685513,0.20264894,0.54202353,0.071495531,0.095060324,0.18831197,1.5789812,-0.32420764,0.58708208,0.79885768,0.38453994,-0.49129897,1.9498315,-2.0013385,-0.24100994,0.13368536,1.1831553,-0.042314466,-0.44267626,-1.5860464,0.43505963,-1.1553702,0.032797755,-0.048233201,0.047301515,-0.035052596,-0.18567292,-0.18453918,1.8314411,-0.72007292,0.02409998,-0.12259308,0.73586468,-1.1653792,-0.78469923,-0.6899121,-0.57575161,-1.0290721,0.81045226,0.84299615,1.2093933,-2.113683,0.61659431,0.4344183,1.3313776,-0.47883305,-0.38239831,-0.28220185,-0.03389819,-0.63074433,-0.29545088,-0.35283644,0.21984058,-1.7551118,-0.89128366,-1.0770921,-0.66266929,-1.2951906,-0.037680625,-0.65723693,0.74816207,-2.539339,1.0495078,0.24100318,2.6922502,-1.6647832,0.59431659,0.61048995,1.6124655,-0.78383385,-0.32580523,2.226619,0.22515546,-0.083510668,-0.23288486,-0.16136113,-0.14473965,-0.088568815,-0.12414999,-0.024978454,-0.18549572,-0.17624218,-0.13226619,-0.0090954899,-0.15292235,-0.077250937,-0.20636623,0.021867554,-0.15773204,-0.06746851,-0.19861228,-0.043995038,-0.17728026,-0.12176449,-0.12164722,0.086877819,-0.17704071,-0.075404078,-0.10438653,0.065220735,-0.31041193,-0.14789873,-0.091514767,-0.023606605,-0.29326352,-0.088573859,-0.086070698,-0.057888731,-0.31348797,-0.093483312,-0.12680701,0.037265113,-0.29385928,-0.12835957,-0.07657252,0.051764501,-0.25671849,-0.046200793,-0.057829917,0.058222476,-0.34199954,-0.083153666,-0.18386621,0.040760705,-0.30208074,-0.051377056,-0.095672563,0.0048071851,-0.23023445,-0.060144995,-0.13700171,0.096014625,-0.31816638,-0.072546074,-0.069500436,0.11918356,-0.3320683,0.26181708,0.25259099,0.23805155,0.23512721
-19712.003,0.96659089,0.0055060147,10,1023,0,19772.971,-0.15051599,-0.042035087,-0.13181917,-0.13993283,-0.013078945,-0.10710225,-0.042174208,0.27029875,-0.077095459,-0.18620119,-0.1920667,0.045522506,0.26324793,-0.36007733,-0.35659556,0.021477127,0.091133144,0.29040389,0.063834811,0.19039077,0.1109985,0.06839245,0.27053251,0.53826966,0.19058083,0.57338778,0.12232301,0.36885649,0.81142806,0.22478782,0.33734152,0.19203761,1.183278,-0.3773672,0.1502955,0.4975827,-0.31332911,-0.43405546,-0.27962297,-0.47168297,-0.36625903,-0.19947632,1.6428937,-1.0796026,0.4115347,-0.25431824,0.60446425,-0.15133851,-0.16583248,-1.6245994,0.43508645,-1.5949841,0.99472793,0.0071967008,2.3082894,-0.82460209,-0.21826529,-0.33426305,0.51318023,-0.93265733,-0.86307099,-0.74668612,-0.44551649,-1.0703291,-0.059606976,0.052816526,0.038658408,-1.2596712,0.1504394,0.12337193,0.35180728,-0.20376391,0.17750675,0.96958162,1.9137503,-0.52179953,-0.31554635,-0.46577252,0.11340846,-1.1164158,-0.39467342,-0.64387001,-0.32095497,-0.68992691,1.4516168,1.3165397,1.5773621,0.61742471,0.91073819,0.62051516,1.3609946,0.063109341,-0.5794476,-0.55143272,0.6922267,-1.7821557,0.82594087,-2.0226347,0.126927,-0.042680142,-0.18490665,-0.13681908,-0.10516971,-0.13302708,-0.16808648,-0.12323868,-0.17901365,-0.15519925,-0.14455271,-0.026945368,-0.2007354,-0.061580422,-0.18835268,-0.024848418,-0.16874628,-0.031486101,-0.19340704,0.035214997,-0.19011978,-0.039070365,-0.10661005,0.05076732,-0.1634988,-0.10122207,-0.13260323,0.096657729,-0.29448834,-0.19426618,-0.13161973,0.030490742,-0.30582693,-0.088455406,-0.067029641,-0.069727907,-0.31716465,-0.099941076,-0.11546123,0.015520804,-0.30303693,-0.17035354,-0.073464563,0.04202899,-0.25589479,-0.070868811,-0.12628071,0.087353951,-0.36627471,-0.057001156,-0.25920626,0.002816062,-0.29657812,-0.03377156,-0.064135258,-0.0055055406,-0.22128778,-0.049365754,-0.14727003,0.10252443,-0.33530616,-0.089798605,-0.084418694,0.15441069,-0.32076378,0.26621265,0.2593063,0.23433667,0.23820492
-19715.541,0.91469806,0.0055060147,10,1023,0,19769.499,-0.1771394,-0.023788896,-0.113096,-0.161089,0.012882551,-0.211927,-0.095776585,0.42753437,-0.068723688,-0.24742326,-0.25338775,-0.12877373,0.256827,-0.16630413,-0.41847451,-0.0066311782,0.12532483,0.22029383,0.062755405,0.091792086,0.17258315,0.13965034,0.16665833,0.58397419,0.13226095,0.14637148,0.1189141,0.21167905,0.58232403,0.1549537,0.3016497,0.16833926,0.66538622,-0.20215729,0.89666834,0.18251318,-0.35798245,-0.51122722,-0.2132623,-0.7041301,-0.57189283,0.28174831,2.0280657,-0.92548703,0.66182253,-0.30534044,1.8738991,-0.052813366,-0.099666565,-1.0690804,0.16919092,-1.0726992,0.93960218,0.32822077,2.3669713,0.54150065,-0.17392216,-0.17227663,1.0328203,-1.0586397,-1.043053,-0.87669589,-0.75553007,-1.2661548,-0.41367215,-0.22864402,0.1838275,-1.8257814,1.168422,0.85728942,1.8468853,-0.34762156,0.33672737,1.5384268,2.4028101,-0.46604548,0.37877932,0.19411214,0.83117091,-1.0568807,-0.5399719,-0.86466928,-0.4007821,-0.98177971,0.90126617,0.58249255,1.2034098,-0.57198205,1.3064125,1.0529547,1.5609482,0.16925797,-0.45671489,-0.53680536,0.41373037,-1.7445757,1.0207631,-3.0160934,0.081811049,-0.09374999,-0.20247473,-0.064764597,-0.15426597,-0.10265022,-0.1364091,-0.070769264,-0.17890441,-0.14898537,-0.095414771,0.014176085,-0.17117531,-0.10033893,-0.18911683,0.010920109,-0.16593685,-0.0043182187,-0.17162271,0.042082054,-0.17224725,-0.080711242,-0.16609086,0.11862133,-0.13630626,-0.12476216,-0.12448792,0.07635152,-0.27220771,-0.18158165,-0.084433407,-0.013675693,-0.31186737,-0.12343636,-0.098964362,-0.044410489,-0.31020327,-0.076399595,-0.12194053,0.022908082,-0.29830514,-0.21334612,-0.070447113,0.032340251,-0.30880713,-0.048594085,-0.087684258,0.047167735,-0.35249322,-0.057611614,-0.2466907,0.023441949,-0.31488692,-0.026649601,-0.076044754,0.020168677,-0.25493487,-0.024395578,-0.10085104,0.052385067,-0.36741789,-0.083514222,-0.096996592,0.063015884,-0.30031176,0.26093983,0.24708925,0.23973217,0.24102829
-19695.04,0.98915725,0.0055060147,10,1023,0,19757.556,-0.13611534,-0.041701651,-0.1051628,-0.20842023,-0.082781355,-0.16697464,-0.14292477,0.034913302,0.0063176139,-0.10564535,-0.18662315,0.19311252,-0.11268048,-0.026679642,-0.10803786,0.089484498,0.048126134,0.1008154,0.11327922,0.16803935,0.19440618,0.24543268,0.16662957,0.27670226,0.17533281,0.14109507,0.19805361,0.29800093,0.17769068,0.18244601,0.33439413,0.41945156,1.1207802,-1.6684351,0.10371166,-0.084283655,-0.57102064,-0.86255145,-0.016685936,-1.1978205,-0.1362882,-0.24673853,0.75029007,-0.69108636,0.55981897,0.22087179,1.3125301,0.19356449,0.066797302,-0.59553752,0.39076068,-0.56895639,0.23744604,-0.012905944,1.0281342,-0.0036127241,0.5909195,0.097503852,1.2356188,-0.88510844,-0.68981118,-0.47250299,-0.10719142,-1.2306887,-0.51014606,-0.45213473,-0.47901246,-1.7622848,0.071205506,-0.24040604,0.60945081,-1.2186089,-0.14518528,0.42462084,1.2582051,-0.4226446,-0.92982198,-1.0153071,-0.38051613,-1.8461015,0.25086278,-0.6415127,0.7255581,-0.95813796,-0.11911402,-0.20974486,0.53084505,-1.1118062,0.23810125,-0.062063685,0.56480658,-0.66086656,-0.30012871,-0.4502549,0.010634951,-0.99360689,0.70148698,-1.484074,0.041343327,-0.082176523,-0.21641067,-0.1311241,-0.14017159,-0.099269327,-0.12866012,-0.043383851,-0.16246041,-0.12060142,-0.13311315,-0.020170528,-0.18344852,-0.11434862,-0.17130508,0.012136472,-0.17589378,-0.069795546,-0.19855753,-0.0068150647,-0.19338999,-0.10869763,-0.17014218,0.085363083,-0.16786132,-0.044460104,-0.12667774,0.062965867,-0.29041001,-0.15595901,-0.095829343,0.0052531941,-0.30562104,-0.083127727,-0.072956439,-0.077668986,-0.30266873,-0.095598604,-0.13956546,-0.019654846,-0.27758506,-0.21537762,-0.10252547,0.062568903,-0.27032944,-0.083975289,-0.10944993,0.079718362,-0.35702744,-0.068104499,-0.22667131,0.016244435,-0.28293267,-0.048411519,-0.064946756,0.070170921,-0.22952425,-0.028418201,-0.12879159,0.080830143,-0.32902776,-0.036404957,-0.099375625,0.093945345,-0.32728546,0.26531536,0.25707816,0.23276447,0.24058484
