# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 17:32:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f676c8f4d1d.json
# init = 2 (Default)
# random
#   seed = 1968266231
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141832-1-5ad941.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141832-1-56b530.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00835329
# Diagonal elements of inverse mass matrix:
# 0.00650107, 0.00406634, 0.00758226, 0.0102732, 0.0115388, 0.0159119, 0.0189939, 0.0120965, 0.0261223, 0.0157373, 0.0261663, 0.0262709, 0.0417419, 0.0282687, 0.0624498, 0.0596848, 0.47705, 0.362166, 0.382143, 0.343578, 0.356325, 0.35032, 0.313319, 0.321946, 0.388294, 0.3671, 0.318475, 0.319319, 0.409441, 0.410914, 0.407125, 0.355621, 0.366322, 0.316919, 0.272036, 0.270667, 0.293154, 0.239788, 0.257756, 0.238783, 0.287118, 0.278269, 0.288183, 0.240711, 0.306411, 0.288767, 0.297036, 0.313364, 0.45892, 0.357458, 0.273425, 0.331298, 0.273448, 0.26156, 0.249779, 0.229707, 0.309973, 0.276187, 0.289229, 0.229971, 0.310287, 0.278365, 0.269776, 0.301963, 0.347448, 0.439245, 0.520152, 0.445337, 0.40979, 0.506804, 0.481065, 0.400189, 0.386559, 0.428908, 0.473575, 0.36062, 0.432235, 0.404532, 0.429162, 0.462153, 0.2609, 0.369771, 0.394462, 0.305069, 0.299807, 0.294547, 0.517794, 0.440055, 0.536663, 0.524556, 0.415864, 0.425565, 0.45963, 0.563672, 0.468857, 0.500565, 2.3861, 37.6428, 1.14556
-19704.047,0.85326128,0.0083532868,10,1023,0,19758.402,-0.11735117,-0.10904683,1.0571195,-0.11758267,-0.45239351,0.031645816,-0.16157502,-0.074738366,-0.16884295,-0.028472118,0.093769745,-0.18790759,-0.10293675,-0.045909117,0.072145606,-0.08225681,0.067810663,0.041690425,1.9359499,0.10092415,0.35661796,0.30815906,0.31145445,0.14021437,0.23108523,0.31243977,0.23174939,0.22884924,0.16633048,0.18504867,0.19295774,0.31073486,0.77064413,-1.8606699,-0.14754646,-0.0053264014,-0.42036841,-0.96074644,0.91653975,-1.5377236,-0.61436307,-0.61200832,-0.52148724,-0.66001807,0.57210617,-0.73298367,1.0375812,-0.76070511,1.1626109,0.74938534,1.3273818,0.71114356,-0.29883745,-0.51459556,0.32508383,-0.56336917,0.34853442,0.068049006,0.61564784,-0.46371568,-0.69138262,-0.63454721,0.84630791,-1.5289194,0.040840432,0.34095831,0.29144937,-0.71925109,-0.2177769,-0.36179179,0.16093525,-0.80741686,-0.99484982,-0.74964023,-0.16353915,-1.7265301,0.55247383,0.5908974,1.2739842,-0.65743151,0.10762728,-0.42732454,0.63213578,-1.1537366,0.11415452,-0.2152545,0.49393381,-0.85986066,-0.56471303,-1.0071489,-0.077537582,-2.1872865,-0.014717629,-0.049605933,0.69380525,-0.62388635,0.96775919,-2.6619086,0.029710457,-0.06509328,-0.24352443,-0.12735639,-0.11771236,-0.12657216,-0.14910075,-0.070835895,-0.17315518,-0.13225661,-0.12769793,0.047546335,-0.2206424,-0.059843336,-0.19155842,-0.012865666,-0.19435619,-0.037785583,-0.18514924,0.020974668,-0.19878695,-0.060443652,-0.12693147,0.13182334,-0.1419615,-0.053022421,-0.14038085,0.030171243,-0.30600133,-0.17168015,-0.16371101,0.043926168,-0.28911485,-0.15940533,-0.090052514,-0.1014933,-0.33505125,-0.096514282,-0.14151026,0.021810454,-0.28074126,-0.1367861,-0.079958924,0.055869646,-0.30635255,-0.061474374,-0.052681171,0.10364271,-0.33836029,-0.085035049,-0.17401384,0.0022067002,-0.2948383,-0.024784975,-0.085741676,0.045492678,-0.20502519,-0.036820148,-0.12219158,0.057184129,-0.34990827,-0.08683009,-0.097671102,0.13333266,-0.27612004,0.25330037,0.25886623,0.26080838,0.24518296
-19700.353,0.98385888,0.0083532868,9,511,0,19750.488,-0.26508942,-0.11100185,1.0501713,-0.10175184,-0.38589774,-0.13740583,-0.0948998,-0.048910773,-0.046774866,-0.2487215,0.10040705,0.019629769,-0.084366006,-0.070413523,0.021210216,-0.01186226,0.15307225,0.055155103,1.3808976,0.13302443,0.49880818,0.1318631,0.080810293,0.10650769,0.10019629,0.52196165,0.59199316,0.16977314,0.27735573,0.26389065,0.76228349,0.13823004,1.3369112,0.23912475,0.76744849,1.0401296,-0.44759226,-1.1264608,0.89906255,-1.1175062,-0.86591644,-0.87488709,-0.75497591,-0.90531694,0.078767861,-0.68303887,0.48569132,-0.63406414,0.70692993,0.38708986,0.81087026,0.37675503,0.42170134,0.028900394,1.3995388,-0.14254071,-0.09584851,-0.35658211,1.9791794,-2.2071387,-0.92469115,-0.79264649,0.39510837,-2.1265224,-0.79348297,-0.44322516,0.16412607,-2.8594611,0.29453226,0.22235388,0.49783819,-0.058168864,-0.45404678,-0.26365622,-0.061973729,-0.64270589,-0.51551222,-0.41836328,0.3442179,-1.8793272,0.035561826,-0.55231649,0.30394762,-0.6900942,0.055259062,-0.053323337,0.33331141,-0.68118726,-0.12022874,-0.22610402,0.08897476,-0.48067152,-0.5031818,-0.42167443,0.83017921,-2.2276677,1.0323106,-2.7876475,0.023526729,-0.060445416,-0.22848606,-0.14761435,-0.10587443,-0.13568885,-0.17313192,-0.061413963,-0.17263802,-0.1455706,-0.15795816,0.0076269066,-0.19997866,-0.091273788,-0.1926127,-0.037143025,-0.18609786,-0.033275307,-0.19281415,0.018570976,-0.19796925,-0.081798986,-0.13359493,0.04714169,-0.15620169,-0.10264535,-0.1237153,0.065038263,-0.27325933,-0.1473975,-0.13333372,-0.0068286921,-0.27540177,-0.12627891,-0.091184381,-0.030330043,-0.33328225,-0.094986957,-0.1326613,0.01113094,-0.27908342,-0.16838553,-0.055675628,0.063719026,-0.28007044,-0.06789036,-0.05139708,0.078068723,-0.29942951,-0.07450273,-0.23755415,-6.4391022e-05,-0.27576759,-0.055831174,-0.084485053,0.01754424,-0.25017247,-0.070438166,-0.15114515,0.089034207,-0.34519775,-0.081417097,-0.070150331,0.10289344,-0.31979284,0.24466073,0.26363177,0.26402129,0.24775502
-19701.468,0.760649,0.0083532868,4,28,1,19744.603,-0.26666645,-0.10862546,1.048176,-0.092646471,-0.38486727,-0.13602374,-0.087484226,-0.046663439,-0.04396926,-0.24597903,0.099500949,0.0028920832,-0.066678962,-0.068542595,0.024465368,-0.0083646305,0.15355275,0.054070712,1.3738943,0.13797838,0.50846949,0.13038055,0.080542264,0.10319623,0.094987114,0.53465109,0.5733087,0.174978,0.27266372,0.26263357,0.7150672,0.15111649,1.3791196,0.25386237,0.76762349,1.0579267,-0.4792371,-1.1114004,0.93496055,-1.1078204,-0.84999088,-0.86102086,-0.7671599,-0.92239905,0.098461796,-0.66253249,0.44726527,-0.64875992,0.68375074,0.36342034,0.78206416,0.35797321,0.34999412,0.033328438,1.380025,-0.12801944,-0.063681811,-0.37365074,1.970511,-2.1964941,-0.92248337,-0.81111827,0.39409335,-2.1821382,-0.82356144,-0.42883351,0.20238723,-2.8122669,0.25971966,0.28852511,0.52842152,-0.053070956,-0.45086309,-0.28022583,-0.013213214,-0.61266012,-0.56558499,-0.40264011,0.39852367,-1.9096467,0.016718669,-0.55648132,0.31242134,-0.63067989,0.083537322,-0.048407137,0.31007378,-0.72244792,-0.064406472,-0.22427855,0.065233943,-0.48491949,-0.50741961,-0.44074084,0.809128,-2.2668879,1.139306,-3.2393595,0.027559971,-0.054898831,-0.22768518,-0.14879575,-0.10421888,-0.13453815,-0.16871967,-0.058071478,-0.1685261,-0.11962167,-0.13477569,-0.0058206503,-0.21910283,-0.079060872,-0.18406163,-0.030933534,-0.18216131,-0.037200886,-0.20007912,0.01278849,-0.20284882,-0.090391314,-0.13167836,0.043904682,-0.15271499,-0.092613303,-0.1175789,0.071225192,-0.26439483,-0.14186025,-0.13036779,-0.0059944902,-0.27185188,-0.12219699,-0.084702918,-0.024745081,-0.31109837,-0.10711963,-0.091718759,0.036542119,-0.27435347,-0.15898278,-0.061154955,0.091925699,-0.25174242,-0.096072846,-0.067561077,0.072624957,-0.33125408,-0.062120387,-0.21841123,0.018507005,-0.23864249,-0.046602889,-0.081255934,0.012893189,-0.25828167,-0.021589587,-0.13590887,0.071112021,-0.32228466,-0.085044101,-0.07496784,0.11390795,-0.35092878,0.244207,0.2604927,0.27001643,0.25280354
-19699.202,0.41456933,0.0083532868,9,511,0,19749.194,-0.2416558,-0.15052004,1.0467563,-0.1032952,-0.28789205,-0.25417103,-0.31100227,-0.043775831,-0.031590436,-0.21075302,-0.081625906,-0.013366304,-0.13548999,-0.054027606,-0.29351427,-0.099891193,0.098545388,0.080106375,5.4602409,0.050701471,0.64360257,0.25425564,0.5615572,0.13020766,0.15699755,0.29389084,0.21270747,0.32558629,0.12258775,0.11091236,1.5036261,0.19538357,1.6931819,0.14782114,1.2573909,1.1074293,0.28020896,0.030387653,1.0809778,-0.30176943,-0.20954883,-0.22075264,-0.19214968,-0.23320126,0.20685386,-1.6388649,1.1905628,-1.1666035,0.43883562,0.10544541,0.48430698,0.14258125,0.77933274,0.34206178,1.2595708,0.40358212,0.47972052,0.33868528,0.67999452,0.079520143,-0.98903912,-0.50056012,0.71764673,-1.9976776,-0.6380787,-0.33840716,0.047593614,-1.847612,0.39175358,0.38057191,0.82040469,-0.24754152,-0.42062753,-0.036486023,0.55105757,-0.85507463,-0.26837864,-0.20642027,0.22440594,-0.96021679,0.27656673,-0.32932564,0.99081753,-1.396417,-0.026031443,-0.48226939,0.56829023,-1.6277895,0.1635758,0.12727818,0.22627264,-0.016317086,-0.062091261,0.19204597,1.0509528,-0.87259697,-0.64290375,3.6152284,0.07601128,-0.074800527,-0.22708871,-0.11774572,-0.13252375,-0.12807352,-0.1480858,-0.063926831,-0.1746937,-0.097430823,-0.15860634,-0.0024272702,-0.22657877,-0.0928074,-0.18638806,-0.042931908,-0.16244371,-0.005456315,-0.22002711,0.023809168,-0.19612639,-0.056021282,-0.16719989,0.066081943,-0.15155799,-0.041611757,-0.12081111,0.070853546,-0.26634716,-0.1725563,-0.10895259,0.049667269,-0.30388876,-0.13176723,-0.084719529,-0.024118355,-0.32166098,-0.095620236,-0.098906425,0.0303564,-0.28350321,-0.17109653,-0.089386756,0.035588158,-0.26350667,-0.10074671,-0.080573912,0.059697193,-0.32599972,-0.10158629,-0.17586128,-0.014027889,-0.30667362,-0.056914815,-0.10751724,0.0090028024,-0.23456958,-0.047557424,-0.10213546,0.046715186,-0.31804906,-0.1120228,-0.062368566,0.10544771,-0.2703823,0.24300739,0.25520463,0.25517249,0.25370762
-19703.451,0.59928992,0.0083532868,5,61,1,19749.734,-0.24455283,-0.15175207,1.0538038,-0.091824024,-0.29597949,-0.25354287,-0.30631616,-0.043587768,-0.02190642,-0.2287675,-0.080640597,-0.0085815016,-0.12154907,-0.04938053,-0.28628129,-0.12032325,0.10306747,0.079027984,5.2888157,0.050930423,0.64565771,0.26970609,0.55904135,0.1359067,0.1566836,0.29278486,0.21449259,0.34485428,0.12608665,0.11289185,1.5626545,0.19995051,1.6655201,0.11852762,1.3078395,1.2177213,0.25563895,0.024140104,1.0523308,-0.24720543,-0.21953367,-0.21976373,-0.19691477,-0.23706716,0.18927231,-1.5925565,1.1795435,-1.183149,0.43288654,0.089660373,0.43125365,0.19700827,0.76664756,0.29028857,1.2673291,0.46636449,0.44577217,0.31690975,0.70073625,0.021037898,-0.96946158,-0.54550045,0.75432571,-2.0227433,-0.6984352,-0.32480837,-0.036195238,-1.8590997,0.36543784,0.34702132,0.82765387,-0.21822626,-0.41167665,-0.022029044,0.55467019,-0.80860007,-0.27326258,-0.20234732,0.27096148,-0.98044856,0.19840018,-0.34896534,0.91618957,-1.3293449,0.0093834048,-0.48796687,0.59006649,-1.5802795,0.16362386,0.095705609,0.24635161,-0.043918447,-0.088089126,0.19522739,0.98567906,-0.84598949,-0.7487028,4.3437679,0.077451346,-0.072891888,-0.23233649,-0.10975713,-0.11904538,-0.13154944,-0.14984432,-0.068588488,-0.17128821,-0.10726935,-0.10848607,0.01235784,-0.20000073,-0.082184306,-0.1729336,-0.031749376,-0.1520823,-0.016482956,-0.23808958,-0.017537245,-0.16877958,-0.046773352,-0.17525027,0.088263516,-0.12776152,-0.057111087,-0.12915051,0.085424377,-0.2945551,-0.17534409,-0.11772494,0.058930151,-0.31849214,-0.13133976,-0.072798565,-0.02757762,-0.31319685,-0.12177283,-0.12716491,0.01355702,-0.29266084,-0.16894219,-0.085365664,0.038332047,-0.25407932,-0.10281727,-0.078361842,0.084860723,-0.34669338,-0.096533459,-0.16554894,-0.0060298004,-0.28916171,-0.04832122,-0.10446801,0.017233168,-0.2277812,-0.030593729,-0.13672649,0.098681158,-0.35491065,-0.13793672,-0.081287437,0.076763779,-0.28947928,0.24416738,0.25265605,0.25436313,0.25407915
-19703.7,0.58932001,0.0083532868,10,1023,0,19754.913,-0.27353547,-0.15720924,0.84321246,-0.13721393,-0.080280455,-0.12667887,-0.31504953,0.010827688,-0.043518178,-0.13378353,-0.38080361,0.20683125,-0.12034067,-0.1269713,-0.14808364,-0.050920769,0.39855875,0.072611497,1.7983371,0.053313873,0.10717809,0.11311682,0.41296313,0.25370602,0.29107129,0.15104354,0.33062921,0.38461151,0.091877742,0.12324015,0.60371922,0.17556296,0.56828423,0.15738679,0.43422407,0.32884481,0.10193414,-0.18939347,1.2848039,-0.30169279,-0.5434697,-0.54421844,-0.48286858,-0.5743618,0.83520161,-0.53860288,2.3979805,-0.16369339,0.18367351,-0.69235474,0.79437895,-0.9292921,0.68814206,-0.046600795,2.0510373,-0.076744556,0.57819245,0.42931007,0.97052194,0.0048843844,-0.89171552,-0.55878231,0.0063901437,-1.0736814,-0.1419295,-0.17441828,0.0083197226,-1.006626,0.38450504,0.099106464,0.98762647,-1.0019905,0.53283331,0.92774016,1.3439044,0.25039642,-0.65227088,-0.81743713,-0.36346154,-1.4496264,0.23073866,-0.51293188,1.3876231,-1.59406,0.60582101,0.33144028,1.1066421,-0.72675819,0.17447788,0.035505194,0.3179853,-0.30455983,0.010655417,-0.026951743,1.1155845,-1.5334869,-0.48831252,3.0208288,0.090597446,-0.047040819,-0.21080759,-0.10047167,-0.14247149,-0.14980765,-0.17096139,-0.063917707,-0.17911561,-0.13412925,-0.13547575,-0.025148018,-0.18968366,-0.092686099,-0.16592894,-0.0093683044,-0.14594106,-0.06059468,-0.15448571,0.0048595627,-0.17988021,-0.048838428,-0.13195021,0.10532795,-0.13535997,-0.076277362,-0.13776029,0.085740253,-0.31303246,-0.21540591,-0.13093875,0.012448906,-0.26157176,-0.08482978,-0.094286332,-0.041096545,-0.3365181,-0.075706524,-0.11881414,0.015391076,-0.28512772,-0.20463335,-0.074065612,0.063530437,-0.29801524,-0.044039635,-0.10756448,0.06703976,-0.35071174,-0.099140924,-0.16746769,0.0071510095,-0.26679931,-0.052309828,-0.086124551,0.0094114328,-0.21653709,-0.042747995,-0.12664847,0.043890198,-0.33195226,-0.049050073,-0.055652497,0.14493454,-0.32014426,0.23868572,0.25872326,0.26553362,0.24308651
