# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 17:32:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f676c8f4d1d.json
# init = 2 (Default)
# random
#   seed = 1968266231
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141832-2-5ad941.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141832-2-56b530.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00285197
# Diagonal elements of inverse mass matrix:
# 0.00679914, 0.00686205, 0.012485, 0.00990381, 0.0197691, 0.0170439, 0.0252648, 0.0230132, 0.0155844, 0.0185043, 0.019806, 0.0415342, 0.0238583, 0.0252238, 0.034201, 0.0255344, 0.471443, 0.40109, 0.472483, 0.276456, 0.319159, 0.395356, 0.352083, 0.366971, 0.350649, 0.299287, 0.321029, 0.298678, 0.408104, 0.366696, 0.311175, 0.26788, 0.398415, 0.308445, 0.320806, 0.25163, 0.293904, 0.268332, 0.267223, 0.298333, 0.235908, 0.196503, 0.293254, 0.253919, 0.266434, 0.283887, 0.27809, 0.245625, 0.483164, 0.327115, 0.294784, 0.339121, 0.369446, 0.299603, 0.270076, 0.28384, 0.233752, 0.199133, 0.273762, 0.24201, 0.24352, 0.261703, 0.25947, 0.246277, 0.373348, 0.464189, 0.571348, 0.430015, 0.361002, 0.509685, 0.432698, 0.434422, 0.286658, 0.320742, 0.43969, 0.375968, 0.416096, 0.481062, 0.40277, 0.356543, 0.291698, 0.355371, 0.461038, 0.289494, 0.387701, 0.338682, 0.525911, 0.499515, 0.536163, 0.448258, 0.432051, 0.438521, 0.378988, 0.545375, 0.454949, 0.450277, 3.98661, 60.8958, 0.80431
-19720.394,0.99917734,0.002851975,10,1023,0,19771.688,-0.17220379,-0.1162979,-0.13846928,0.083580925,0.24258493,-0.32779552,-0.29472365,-0.33343966,-0.15980127,-0.089406814,-0.048704015,0.93367618,0.066855284,-0.055530203,-0.12734456,-0.19603769,0.046596344,0.11120834,0.23670439,0.1850155,0.41848903,0.21569261,0.3014786,0.15741512,0.062753735,0.14637347,0.15433247,0.95892504,0.32001154,0.14572428,0.37926598,0.5577842,1.5111372,-1.8471488,0.44193291,0.59679467,-0.003500389,-0.42418162,1.0328012,-0.44548586,0.21215209,0.11205566,0.66442331,-0.35559532,-0.70313644,-1.4063388,-0.20372352,-1.3588477,-0.75675244,-0.96031039,-0.69838375,-1.0316517,1.1761259,0.83807368,1.9197431,0.81597242,0.5951811,0.56736789,1.2630212,-0.023611532,1.0561789,1.5031734,2.0414051,0.10802649,-0.19426419,1.4023694,1.5830565,-2.2049215,0.054452208,-0.21648319,0.67408994,-1.3112549,-0.86361393,-0.11411555,0.45313201,-1.4906978,-1.031038,-1.0260933,-0.90754127,-1.3843842,-0.54483155,-0.94173463,-0.045334477,-1.1751474,-0.13936711,-0.35300167,0.83297357,-1.2422718,0.23941595,-0.075123883,0.5760991,-0.58204311,0.2018062,0.18296028,0.53828057,-0.22261722,5.4962732,-21.17371,0.16314513,-0.10179032,-0.25827418,-0.15161134,-0.14439534,-0.11668717,-0.16347043,-0.0014417897,-0.16583964,-0.088251949,-0.11194521,0.018802637,-0.22264025,-0.046510211,-0.17661355,0.045888916,-0.16782696,-0.074107656,-0.15929443,-0.049681002,-0.18915,-0.074113854,-0.14702922,0.086278881,-0.15179629,-0.11528929,-0.12367438,0.086050213,-0.30184203,-0.16718114,-0.09681744,-0.012091645,-0.31643466,-0.17199207,-0.071797349,-0.060458561,-0.29816833,-0.081436456,-0.12109421,0.0092620686,-0.28133975,-0.18198769,-0.06631575,0.021228967,-0.27876709,-0.055011932,-0.050270389,0.063412131,-0.39384454,-0.1074971,-0.23451066,0.052347729,-0.30920545,-0.075839376,-0.10697112,0.065854273,-0.23655936,-0.036542239,-0.1558365,0.091150227,-0.34809371,-0.083473383,-0.093985339,0.10420671,-0.32021006,0.2425282,0.25510932,0.25730986,0.24990312
-19721.988,0.9991828,0.002851975,10,1023,0,19781.969,-0.14159416,-0.10344785,-0.17964575,-0.10308562,0.30093212,-0.32718999,-0.27630569,-0.28625589,-0.13922212,-0.080562909,-0.11405003,0.71224013,0.019324704,-0.087684057,-0.11378839,-0.40624305,0.045720824,0.10074748,0.38761418,0.094323148,0.41016059,0.15063643,0.26742715,0.16427323,0.087973995,0.17875177,0.162569,0.66731476,0.28242147,0.13712828,0.28378119,1.0845709,0.88857794,-2.2798527,0.82065843,-0.21064718,-0.42278268,-0.29412438,0.39992114,-0.77736885,0.2101703,0.0347673,0.36431889,-0.043928033,-0.19969924,-1.0090995,0.87914598,-0.7866199,-0.77080359,-1.2924707,-0.62047117,-1.1771295,1.6301876,1.3570625,2.7594022,1.019573,0.62225501,0.58824366,1.2630381,0.034134454,0.78791569,0.9622453,1.9570368,-0.094845102,-0.41899252,1.0796941,1.0346493,-2.0658884,-0.12891963,-0.1971243,0.59409737,-1.163856,-0.24534541,0.17990474,0.95194319,-0.99521984,-1.1045489,-1.1833973,-0.98038876,-1.6302211,-0.32743099,-0.71630095,0.1316288,-0.98053602,0.225898,-0.093751512,0.45826332,-1.2425692,0.32064741,0.054024144,0.76091771,-0.66104105,0.28676185,0.32284787,0.48740084,0.099699764,4.4450127,-16.685509,0.088864066,-0.10096764,-0.2458309,-0.10407298,-0.15122512,-0.14604214,-0.13308014,-0.063156808,-0.1817658,-0.098180759,-0.16616945,-0.038430577,-0.19667287,-0.12192188,-0.19826706,-0.020161807,-0.17728209,-0.015221132,-0.22918841,0.0464393,-0.18187999,-0.081624343,-0.12276693,0.088476522,-0.17360515,-0.1098978,-0.11899336,0.061465002,-0.26717721,-0.15682244,-0.12818475,0.035232861,-0.3018364,-0.17608256,-0.044237116,-0.048199882,-0.32096657,-0.10360752,-0.11579923,0.025633045,-0.28860422,-0.15393559,-0.084803094,0.040706426,-0.27584193,-0.024841629,-0.07745834,0.058012245,-0.37563048,-0.073148836,-0.18297406,0.056499501,-0.25759972,-0.056707052,-0.10054004,-0.024843194,-0.25807544,-0.022794685,-0.098457353,0.10214574,-0.3013794,-0.095229497,-0.056091647,0.12237772,-0.29811159,0.24798191,0.25504987,0.26086598,0.24921459
-19717.396,0.99494311,0.002851975,10,1023,0,19764.921,-0.13706773,-0.096291954,-0.16397236,-0.10751207,0.11865039,-0.34433648,-0.15156599,-0.26182981,-0.12855929,-0.10505022,-0.075496765,0.34439328,0.12438759,-0.03780135,-0.047705757,-0.35624766,0.045156932,0.13404321,0.064836469,0.067710577,0.3302445,0.13995793,0.26508217,0.25710713,0.069518467,0.10620292,0.11599895,0.49536462,0.33683616,0.18140799,0.27863867,0.50333358,1.6633748,-1.2738071,0.25722431,0.21702201,-0.28688163,-0.44483875,0.35019624,-0.57726276,0.59182144,0.29434236,2.1225585,-0.65968335,0.66212514,-1.0085692,1.5467418,-0.57906792,-0.54993811,-0.82170334,-0.2630549,-0.96310887,1.9217814,1.5673072,3.0262379,1.3433396,0.39938096,0.077746659,0.93552138,-0.56857571,0.32958135,0.61428048,0.94233366,-0.11729818,0.44271375,0.026607464,1.0509447,-2.0899462,-0.093947623,-0.28621148,0.85142379,-1.7031472,-0.51299193,-0.050981374,1.1289915,-1.4339352,-0.76325326,-0.85340989,-0.60767481,-1.353545,-0.52453895,-0.99502503,-0.16279949,-1.2816697,0.056030494,-0.25934177,0.20253617,-1.1208903,0.017815269,-0.22701674,0.53074163,-0.98125698,0.56661208,0.60146072,0.94844801,0.1020799,2.6817471,-8.6504632,0.23559811,-0.061954824,-0.19458895,-0.12545226,-0.12726768,-0.13474649,-0.15591957,-0.049350525,-0.17367011,-0.12560075,-0.14488824,-0.026353163,-0.2067439,-0.062679195,-0.17580287,-0.0027812911,-0.14672109,-0.062963646,-0.15271262,0.031777956,-0.19941102,-0.07536793,-0.1249794,0.079209512,-0.15632544,-0.045697215,-0.13095673,0.096424048,-0.30228527,-0.1770921,-0.10389392,-0.019549111,-0.29198801,-0.097782511,-0.12670958,-0.05549923,-0.27384915,-0.11502773,-0.13544671,-0.014626527,-0.28592941,-0.13500329,-0.081410551,0.055465059,-0.24183174,-0.033695385,-0.078355795,0.04337267,-0.32610505,-0.052296089,-0.21077281,0.069550842,-0.30732511,-0.02763697,-0.08484802,-0.0010596699,-0.2411398,-0.042741734,-0.1109614,0.10017938,-0.3211219,-0.071052769,-0.053512278,0.12113807,-0.30486742,0.24961599,0.25826618,0.267084,0.25282652
-19713.164,0.9995262,0.002851975,10,1023,0,19772.282,-0.14737968,-0.037381904,-0.17595173,-0.12614568,0.26536198,-0.41012517,-0.17159097,-0.23562203,-0.17195759,-0.12007749,-0.078793951,0.32420552,0.40737104,-0.011572934,-0.19430699,-0.065031115,0.067008409,0.1219679,0.085782993,0.16882641,0.42750836,0.35854763,0.19005026,0.20942406,0.094155926,0.081279893,0.16596645,0.53376412,0.53777365,0.19292486,0.21864905,0.16144501,1.0458966,-1.2216026,0.39400361,0.37061527,-0.70688863,-0.98575283,-0.38792768,-1.2553879,0.52267103,0.45414278,1.9022454,-0.50199927,0.13938363,-0.20236162,0.89961026,-0.092899701,-0.74533691,-1.0779739,-0.55210905,-1.0460134,0.86904915,0.68689949,1.3529606,0.74682005,0.6958842,0.31084247,1.3777792,-0.71246587,0.38151078,0.70819438,1.0882196,-0.22102371,0.147557,1.0086749,0.91082635,-1.1493035,0.13156629,-0.14741867,1.1607157,-1.8629501,-0.1881434,0.11422003,0.84447466,-1.0135887,-0.66293899,-0.7618578,-0.50399004,-1.3344187,-0.85114531,-1.2184426,-0.67091323,-1.2863439,0.050268185,-0.35280329,0.15434575,-1.1851616,0.76067023,0.30870672,1.1784476,-0.69847854,-0.042269624,-0.052758115,1.08986,-1.6053602,3.8872632,-13.949959,0.186238,-0.077295813,-0.22923732,-0.12097812,-0.12254534,-0.12359963,-0.15761211,-0.084696629,-0.19049893,-0.13111544,-0.136994,-0.012771425,-0.21901473,-0.10261404,-0.16030967,0.02573229,-0.1418296,-0.053275785,-0.19548088,0.029330743,-0.18181749,-0.098529667,-0.16383899,0.074975645,-0.14235462,-0.039337996,-0.11251528,0.090256326,-0.3069953,-0.1557245,-0.08730909,-0.0077226685,-0.28190972,-0.15806422,-0.076984866,-0.086197892,-0.28017132,-0.1093838,-0.13205967,-0.025734645,-0.27149788,-0.11001944,-0.059837257,0.061360509,-0.24701567,-0.029647529,-0.082446839,0.055193718,-0.38805933,-0.050352474,-0.24787529,0.04657159,-0.2843908,-0.0018749517,-0.079637459,0.018204197,-0.24022007,-0.027987172,-0.12680856,0.063359458,-0.34702866,-0.071855335,-0.073548649,0.11092134,-0.32420851,0.2572321,0.25762271,0.26848447,0.25243012
-19707.929,0.99813382,0.002851975,10,1023,0,19751.333,-0.13782647,-0.080437552,-0.1215276,-0.046942671,0.25481964,-0.38896586,-0.22181109,-0.44478177,-0.16301044,-0.0053099275,-0.10172226,0.20488623,0.067055619,0.04593964,-0.071659943,0.065302999,0.060428735,0.058263472,0.15479367,0.19697581,0.55490904,0.39250489,0.19963228,0.21120194,0.080926922,0.16873912,0.16938033,0.5846899,0.20403689,0.27112616,0.22761899,0.45617746,1.3680814,-1.316511,0.53582088,0.10086929,-0.48476897,-1.0559296,0.52506511,-1.2077683,-0.13109563,0.08115541,0.82193239,-0.50042971,-0.12717607,-0.7643783,0.64260653,-0.59882779,-0.49118369,-0.82462871,-0.39193103,-0.85168267,0.70213417,0.62224037,1.1624644,0.60215878,0.72484747,0.39790114,1.4708444,-0.31813633,1.1062221,1.3789506,2.1472287,0.65436,0.80480281,0.49481178,1.7046869,-2.0251461,-0.49110183,-0.68324264,0.47524083,-1.6243734,-0.41857773,-0.049688608,0.65169049,-1.3227417,-0.4422678,-0.47486977,-0.29867816,-0.93669571,-0.65405598,-1.4815948,-0.16762576,-1.735556,-0.27888512,-0.54109845,0.016021683,-0.96117181,0.10890729,-0.13080998,0.75259394,-1.0373365,-0.39355302,-0.32552043,0.065822256,-0.78594971,1.5549515,-5.176563,0.081175544,-0.055155041,-0.21738156,-0.10544749,-0.13173106,-0.10868187,-0.14195968,-0.049845436,-0.15080633,-0.14182037,-0.10896526,0.0057023299,-0.19899095,-0.07199328,-0.19750671,0.079635271,-0.16489726,-0.017742629,-0.20277429,0.037333568,-0.21778677,-0.11337476,-0.14473347,0.067307116,-0.15261559,-0.077108144,-0.14237718,0.071816916,-0.28532137,-0.21114552,-0.15354473,0.0087171018,-0.30657967,-0.097880228,-0.12296685,-0.025055377,-0.32689928,-0.088178018,-0.12059969,0.074881792,-0.27940526,-0.1726211,-0.11013854,0.0086612845,-0.32576869,-0.053703282,-0.072765326,0.03025213,-0.34279028,-0.066395925,-0.23524437,0.03285378,-0.28706182,-0.02967341,-0.1007663,0.050283538,-0.21465918,-0.046870574,-0.10143478,0.09964473,-0.30777743,-0.11422702,-0.083192083,0.095329628,-0.29322955,0.24563428,0.2534244,0.25227383,0.24076608
-19701.673,0.99878356,0.002851975,10,1023,0,19755.43,0.016162768,-0.12805112,-0.034074006,-0.055551302,-0.10615226,-0.31485528,-0.15819647,-0.18347514,-0.089980345,0.2375481,-0.10072451,-0.011976395,-0.13271593,-0.067613664,-0.024080282,-0.012177306,0.26067772,0.22334392,0.13885433,0.30593097,0.11849962,0.51020005,0.12366761,0.22754916,0.25642115,0.30171978,0.095512771,0.14578437,0.2765085,0.25083761,0.21057267,0.90804885,-0.33713556,-0.93941503,-0.27298784,-0.52450909,0.048914624,-0.29153621,0.50718221,-0.14480628,-0.70892321,-0.68555206,0.11352787,-1.1551606,-0.037300599,-0.3284574,0.15142212,-0.38665806,0.48526557,-0.38318537,1.1519151,-0.5928556,0.52214493,0.33090094,0.79397626,0.31114865,0.83224333,0.51822207,2.0767834,-1.0370836,-0.12707531,0.24484072,0.98836989,-0.49938484,-0.19445124,0.1792333,-0.016044482,-0.7380598,-1.0737752,-1.1647005,-0.55634203,-1.7752334,-0.57877,-0.17711476,1.3655593,-1.9608254,-0.23449926,-0.54466588,0.42650075,-2.4722716,0.27468988,-0.31053611,0.70752577,-0.47009466,0.12280312,0.018464587,0.50065034,-0.62312201,-0.072847664,-0.45619536,0.31435625,-1.5754211,-0.1015243,-0.082857819,0.12542858,-0.31595131,2.31847,-7.9170579,0.050884642,-0.071720961,-0.2287218,-0.054999079,-0.12056506,-0.11712634,-0.19316396,-0.014775058,-0.16039272,-0.13251106,-0.12926588,-0.01831017,-0.19447305,-0.06696271,-0.15603659,-0.0092265869,-0.17384197,-0.048648475,-0.15155958,0.030349239,-0.17640542,-0.048456909,-0.1460296,0.090231449,-0.15610722,-0.055274929,-0.094109189,0.098634364,-0.28645013,-0.21239102,-0.12776184,0.041427606,-0.29710974,-0.13984176,-0.044021137,-0.094094489,-0.27923449,-0.086431115,-0.11386509,0.069688707,-0.29807492,-0.15600444,-0.11764123,0.029703844,-0.28800838,-0.046162723,-0.091380169,0.050200749,-0.37239497,-0.056761844,-0.2185818,0.062920958,-0.2627011,-0.036810024,-0.062982051,0.05796827,-0.2239161,-0.039420008,-0.12014255,0.042114553,-0.35582091,-0.10436633,-0.087416253,0.10171797,-0.29907653,0.25092597,0.24662306,0.25984344,0.24403328
