# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-14 17:44:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yf/zqfly98s7bq4_5ctxyqdb4vm0000gp/T/RtmplZTXU7/standata-8f67192cd8d0.json
# init = 2 (Default)
# random
#   seed = 401460594
# output
#   file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608141844-1-2398d3.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/e.a.power/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608141844-1-44d899.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00720866
# Diagonal elements of inverse mass matrix:
# 0.00892248, 0.0076311, 0.0215313, 0.0156275, 0.0106889, 0.0337669, 0.0222055, 0.0169969, 0.0164954, 0.0438889, 0.0357928, 0.0338297, 0.0135244, 0.0421653, 0.0454709, 0.020178, 0.449129, 0.493806, 0.514737, 0.417778, 0.333215, 0.505498, 0.34193, 0.310664, 0.351736, 0.461827, 0.4253, 0.30928, 0.305481, 0.546836, 0.397576, 0.301681, 0.374202, 0.27468, 0.315752, 0.283349, 0.36421, 0.314519, 0.228066, 0.314986, 0.230587, 0.277532, 0.245124, 0.250993, 0.24843, 0.299198, 0.34448, 0.208967, 0.479164, 0.354626, 0.304005, 0.377753, 0.3654, 0.334632, 0.228356, 0.306967, 0.231814, 0.281305, 0.243396, 0.249032, 0.272507, 0.251365, 0.292791, 0.206979, 0.394542, 0.562038, 0.539555, 0.484909, 0.471203, 0.556414, 0.405625, 0.456951, 0.310528, 0.402556, 0.437471, 0.365623, 0.363095, 0.499317, 0.494267, 0.391143, 0.298154, 0.39706, 0.461409, 0.337962, 0.411867, 0.354899, 0.447554, 0.494142, 0.494367, 0.538591, 0.368962, 0.446599, 0.434383, 0.405668, 0.475582, 0.407881, 2.89083, 46.2916, 0.743938
-19710.744,0.98201938,0.007208662,10,1023,0,19759.133,-0.13522336,-0.099380815,-0.089744101,-0.10852608,0.30767299,-0.1196367,-0.35727283,-0.16306996,-0.12666597,-0.15328812,-0.22824958,0.12113315,-0.27875122,-0.056705378,-0.071576944,0.058789275,0.069853583,0.049469482,0.10955471,0.069060743,0.44762578,0.096636915,0.39312981,0.094184175,0.12786164,0.14479533,0.087627209,0.45461148,0.34113215,0.18296857,0.18890987,0.23476021,0.8045075,-1.2456814,0.71381304,-0.076351562,-0.24208467,-1.4730674,0.37766364,-1.702689,-0.4548315,-0.42390177,0.93144704,-0.7217869,0.15006514,-1.0952286,1.6604232,-1.2276338,-0.72852559,-1.133933,-0.60694757,-1.1217667,-0.081880966,-0.4329236,2.0406555,-0.33058407,0.71817956,0.63258318,1.0169997,0.1558298,-0.17500286,0.3202908,1.7434838,-1.1620332,0.47273774,0.26331028,0.26981213,-1.5977392,0.33945426,0.16090259,1.0711914,-1.0166319,0.18129464,1.7089339,2.7419131,-0.78573578,-0.38542061,-0.44263036,-0.11315791,-0.97485394,0.62762603,0.30047787,0.77866777,-0.020323739,0.068979494,-0.16381169,0.51890207,-0.94255847,0.15939683,-0.29076418,0.93584133,-1.5321844,-0.68243947,-0.67539757,0.19040445,-1.4717955,0.88894114,-2.4250937,0.13250949,-0.079025629,-0.22223867,-0.085360963,-0.14055679,-0.11135662,-0.1722527,-0.08069799,-0.18361196,-0.13957303,-0.13618454,0.012300308,-0.16881926,-0.098162467,-0.18416338,0.00614398,-0.19330738,-0.018433844,-0.19990466,0.035987613,-0.19445871,-0.12754942,-0.1614731,0.077565956,-0.15158332,-0.074935032,-0.10858552,0.042540089,-0.29601149,-0.17955246,-0.13290364,0.0011386151,-0.2725151,-0.066220949,-0.092998687,-0.09216735,-0.33095554,-0.10413673,-0.12999017,0.0018154004,-0.30049167,-0.21236324,-0.078500472,0.012016614,-0.29710141,-0.054083479,-0.08009169,0.069690269,-0.32204664,-0.064647806,-0.17624856,-0.013122609,-0.28568431,-0.044084299,-0.086677767,0.038237391,-0.22916395,-0.041465311,-0.12650517,0.10521272,-0.36102169,-0.10142036,-0.099767203,0.10348866,-0.28672976,0.25991712,0.23717812,0.25505431,0.26468353
-19708.787,0.97124312,0.007208662,10,1023,0,19762.004,-0.060594644,-0.033478814,-0.16394741,-0.19797563,0.16145407,-0.22095195,-0.91869086,0.027397161,-0.070173764,-0.0033681003,-0.37440739,0.064285187,-0.16743112,-0.088759688,0.15360782,-0.19357749,0.342254,0.09575712,0.10694082,0.16566475,0.33114696,0.20588293,0.98962495,0.43839739,0.13974713,0.44361828,0.83956954,0.29669332,0.092685096,0.21566234,0.45417392,0.25928139,0.03608644,-0.4168446,-0.068497831,-0.19918585,-1.3083887,-1.102329,-0.4196304,-1.6074733,0.65310739,0.43732868,1.6748551,-0.28432564,0.89660015,-0.093641581,1.319942,0.25911097,-0.58474277,-0.99393389,-0.56255778,-1.0676763,0.63864523,0.50992377,1.2370189,0.17772233,0.83236029,0.77170994,1.0088123,0.59132934,-0.37155501,-0.19961634,-0.09477714,-0.71009321,-0.17293792,-0.081278378,0.29413822,-1.9099622,-0.19816865,-0.27049283,0.066945784,-0.62306312,0.21770605,0.37230761,0.4268724,0.1681218,-0.35571676,-0.49406403,0.10195072,-1.4985873,1.4250162,-0.50677034,1.8607671,-1.6793019,0.25086864,-0.0051920629,0.66072978,-0.71264272,-0.34010322,-0.59851426,-0.11964428,-1.1591985,0.46508685,0.58984069,1.1310193,-0.34376805,-0.70632564,4.0991643,0.028235954,-0.048243916,-0.20326138,-0.084038301,-0.1287668,-0.15876635,-0.13903466,-0.073661412,-0.18740583,-0.094103569,-0.11717912,0.015162978,-0.19435343,-0.049440589,-0.21348874,0.020692234,-0.15505008,-0.032181718,-0.16768412,-0.024835226,-0.19210369,-0.089465798,-0.11596735,0.033729134,-0.18436196,-0.094966353,-0.15498745,0.079654995,-0.3334966,-0.13549159,-0.06011412,-0.01415289,-0.28390585,-0.094341342,-0.081532184,-0.02906879,-0.3370855,-0.091279337,-0.12336366,0.026330273,-0.27977029,-0.19162802,-0.061829261,-0.016018324,-0.23325745,-0.0412536,-0.082300312,0.094533283,-0.38033567,-0.035353364,-0.21440118,0.005034252,-0.32307738,-0.03465677,-0.089879421,0.053734846,-0.24244989,-0.00085818807,-0.11822174,0.099268514,-0.37286992,-0.072989123,-0.040642772,0.099674759,-0.28271014,0.25400205,0.24506283,0.24012162,0.26707923
-19703.092,0.9995765,0.007208662,10,1023,0,19752.228,-0.12764592,-0.14689667,0.050594115,-0.13830906,-0.041600128,-0.018581091,-0.4052177,-0.26313179,-0.20141356,0.34030647,-0.13208133,-0.28276708,-0.044165805,0.19859082,-0.044652238,-0.21486991,0.069919168,0.074096708,0.40235844,0.083677169,0.14984655,0.16179883,0.40412175,0.10611243,0.17227736,0.78546188,0.081436952,0.33267194,0.47553964,1.0758547,0.14028957,0.27672468,1.0162105,-0.94762499,0.65091459,0.11494816,-0.12106696,-0.40432679,1.8028946,-0.62766344,-0.48729551,-0.35891352,-0.077597371,-0.59177326,0.30987245,-0.95080334,2.2821699,-0.45829554,0.12979484,-0.80473053,0.47079256,-1.1218314,-0.6149477,-0.97005651,0.65047339,-0.84695755,0.80776967,0.6647575,1.1746135,0.31017703,0.84820318,1.2798559,2.2754213,-0.35297256,0.27814788,0.66383092,1.0323157,-0.71681137,-0.53647008,-0.63127649,-0.38840707,-0.78030091,-0.79385519,0.785376,2.3034364,-1.7491049,0.68042582,0.60708411,1.0611985,-0.13250507,0.019159259,-0.29536176,0.050023317,-0.55792742,-0.25472996,-0.27382546,-0.11631996,-0.41229822,-0.0086381864,-0.58343129,0.82211468,-2.148762,0.51571401,0.62801602,1.2250582,-0.36361879,-2.1083962,9.6124376,0.051647624,-0.056593335,-0.19390307,-0.082134517,-0.11960884,-0.15586733,-0.17685595,-0.013308115,-0.19340446,-0.14547335,-0.093817768,0.019372158,-0.18751085,-0.11237981,-0.21786959,0.052656462,-0.17665793,-0.02215082,-0.16218622,0.028946511,-0.20970269,-0.11807891,-0.1755351,0.086664741,-0.15561783,-0.078780403,-0.13657473,0.06946915,-0.27986841,-0.1731269,-0.12732318,-0.021681319,-0.30058657,-0.15349498,-0.087050522,-0.023568944,-0.32490393,-0.081070321,-0.15553715,0.035227528,-0.27259015,-0.19673047,-0.0681227,0.055503513,-0.2745231,-0.056408501,-0.080807231,0.070263874,-0.3268478,-0.035054818,-0.18462203,-0.020377735,-0.30948241,-0.075461585,-0.096005576,0.07344745,-0.24498213,-0.045864085,-0.12650156,0.070681879,-0.34610114,-0.072159119,-0.041082381,0.12413392,-0.3154922,0.25786176,0.2467366,0.24977026,0.26250705
-19694.72,0.9928353,0.007208662,10,1023,0,19741.943,-0.071362614,-0.077645072,-0.30619037,-0.09744158,-0.082155417,0.0074982899,0.025755138,0.29925884,-0.01026163,-0.030387139,0.29420031,-0.082682595,-0.16735853,-0.13810127,-0.21802885,-0.070905453,0.12703829,0.17350475,0.1927871,0.095597803,0.28803449,0.2093366,0.43883832,0.83747629,0.35875966,0.15609997,0.83564997,0.13177552,0.14834732,0.15561458,0.6222056,0.29699816,0.42320814,-1.0967497,-0.12269968,-0.52000463,-0.080508556,-0.33569958,0.14515469,-0.36571739,1.1068352,0.90087939,1.6672139,0.58504762,0.10256889,-0.91892179,1.2940064,-0.68252754,0.22152543,-0.41696335,0.36209997,-0.40694372,-0.35101689,-0.62152093,0.46655233,-0.7564081,-0.20942767,-0.29423573,0.083061705,-0.7823182,-0.5326838,-0.50918919,-0.39986273,-0.71110815,-0.31162237,-0.23369956,-0.018808965,-0.85912247,-0.41566321,-0.64288458,0.31672073,-1.6261737,-0.61586042,-0.47864039,-0.24140457,-0.61305851,0.17015023,-0.11163314,1.2657444,-1.9308813,0.55560035,-0.16492556,1.2377108,-0.71361818,0.72870508,0.45258748,1.3254679,-0.6244381,0.26974635,0.17318375,0.46590284,-0.20012271,0.038546014,-0.030004547,0.56517734,-0.76054205,2.2745806,-8.1791937,0.21696919,-0.017598978,-0.21069181,-0.086950171,-0.13742311,-0.091613689,-0.13589054,-0.052460045,-0.14109878,-0.092806815,-0.13251245,0.015226964,-0.19340074,-0.08763622,-0.18528848,0.026262593,-0.16268971,-0.018348451,-0.20225525,0.022141863,-0.19936925,-0.06598239,-0.12260879,0.10516477,-0.15084561,-0.06614975,-0.10336677,0.062205796,-0.31755607,-0.1468512,-0.12717503,-0.035616707,-0.29627737,-0.12205917,-0.094103604,-0.017009528,-0.31848012,-0.095272153,-0.1307414,0.019052956,-0.2842328,-0.22044343,-0.10577551,0.092470587,-0.21810201,-0.060260959,-0.09739311,0.084111532,-0.33712548,-0.084936712,-0.1918248,0.016252537,-0.27322187,-0.024704143,-0.067672065,0.068160857,-0.23527294,-0.050191164,-0.11027295,0.071858499,-0.34254632,-0.059457358,-0.079816748,0.096951176,-0.29678504,0.25938956,0.23648053,0.24763888,0.26231714
-19707.874,0.9749214,0.007208662,10,1023,0,19745.511,-0.13708544,-0.17582905,-0.069247815,-0.13274373,-0.099807662,-0.13106029,-0.091110134,-0.13939434,-0.1872196,-0.2278359,-0.20204402,-0.39443657,-0.38364497,0.03523256,0.0018855132,0.052248134,0.035998305,0.087214539,0.33551692,0.072012932,0.12698874,0.25432515,0.19144849,0.31463355,0.19677629,0.1436642,0.06867031,0.76555937,0.51782707,0.67213926,0.25211657,0.46767166,1.2048108,-1.6887853,0.58337057,-0.13567685,0.1581503,0.0098002285,1.1811063,-0.35764956,-0.14608491,-0.22785361,0.13177323,-0.45038679,0.6647752,-0.73170927,2.3795053,-0.35643191,0.37206648,-0.65375701,0.72355759,-0.94349804,0.15272304,-0.096763662,0.83931215,-0.13131635,0.070207481,-0.086817997,0.79558825,-1.1389542,-0.071980538,0.089481489,0.46450416,-0.52519547,0.2295425,0.39704974,0.69596676,-0.66759546,0.87703224,0.97702174,1.46355,-0.43860692,0.040387757,1.6520449,3.0716017,-0.78921689,0.4116258,0.38745439,0.62975352,-0.02795211,0.53590121,0.39196695,0.74408612,0.20100575,-0.061930237,-0.14237669,0.057837519,-0.40559293,-0.13561483,-0.41633848,0.33337615,-1.428171,-0.27889804,-0.35419762,0.042334991,-0.77884709,2.0324174,-6.6418128,0.22062547,-0.093714294,-0.19787885,-0.11608509,-0.14196958,-0.16203604,-0.17497432,-0.072819404,-0.20702129,-0.11826177,-0.14569656,-0.025035667,-0.22036021,-0.084871322,-0.18543626,0.038611423,-0.15841144,-0.052559408,-0.18282744,-0.0079239964,-0.21962129,-0.092218978,-0.15566972,0.082397902,-0.16445734,-0.077669018,-0.10773131,0.061204032,-0.30916119,-0.16204183,-0.11124046,0.0067542546,-0.30463845,-0.14205108,-0.10908963,-0.050269844,-0.31858655,-0.10183776,-0.087472854,-0.017576159,-0.29084801,-0.19927058,-0.088597585,0.008883823,-0.25623979,-0.079312582,-0.097817231,0.087677138,-0.41583557,-0.10614082,-0.18067388,0.001662963,-0.27955875,-0.0063931838,-0.060464401,0.074107427,-0.23738237,-0.032305233,-0.10308032,0.085935165,-0.35818006,-0.078184578,-0.11340006,0.072047009,-0.31199658,0.25335741,0.23627429,0.24476705,0.25937176
-19703.489,0.9961581,0.007208662,10,1023,0,19745.076,-0.088279423,-0.11388823,-0.10047297,-0.047728211,-0.13980096,-0.062348136,0.10711081,-0.20009234,-0.084595417,-0.070549204,0.086594887,-0.23452289,-0.086505185,-0.10539133,-0.17294005,-0.18984584,0.12937724,0.06938615,0.12824302,0.28348581,0.13828038,0.1013349,0.44777052,0.20932739,0.24215491,0.20901608,0.18343918,0.18756689,0.13382073,0.163991,0.35925007,0.21042422,0.10974636,-1.3008645,0.12502199,-0.365843,-0.71570341,-0.38576159,0.99570673,-0.65989208,-0.42262392,-0.090850128,0.78926432,-0.73446239,0.033340794,-0.56792648,0.14637315,-0.51238329,0.72731625,-0.1690636,1.1187407,-0.51649968,-0.40521428,-0.80046475,1.4996112,-1.113555,-0.42136674,-0.53534359,-0.048457403,-0.82216195,0.1392681,0.29217746,0.80171204,-0.54215288,-0.1044695,0.031945073,0.24397369,-0.74176933,-0.19428348,-0.20460446,0.28182593,-0.89758771,-1.2563227,-0.80963195,-0.34473767,-2.2102777,1.0014429,0.88884445,1.7052025,-0.6183546,0.18945289,-1.2678497,0.77909545,-1.5259995,0.44956778,0.10042182,0.93959812,-0.83733005,0.348204,0.23326422,0.64091523,-0.43624382,0.45520454,0.45774143,1.4327538,-0.71001068,-2.5892529,11.554294,0.048361721,-0.074080743,-0.25658168,-0.072104424,-0.13561118,-0.16354814,-0.14065475,-0.044799978,-0.1596756,-0.15467153,-0.11212386,0.00074467004,-0.19466264,-0.038276569,-0.20872731,-0.0062334985,-0.19298161,-0.039227391,-0.16317913,0.014898928,-0.21122272,-0.10341048,-0.14346315,0.08961481,-0.17519012,-0.081564791,-0.13260026,0.085413018,-0.26102907,-0.17093971,-0.13893159,-0.03227205,-0.31357979,-0.10989322,-0.07685976,-0.025515988,-0.26421851,-0.11115757,-0.11331483,-0.011643053,-0.25815947,-0.14386392,-0.061923331,0.023356493,-0.31885664,-0.04668535,-0.067805099,0.085316648,-0.35050574,-0.061152461,-0.25616976,0.017753938,-0.29071556,-0.03166626,-0.088923054,0.048694304,-0.24270592,-0.047847739,-0.089139862,0.057308793,-0.32966067,-0.094059785,-0.093525962,0.11164026,-0.33924929,0.25533007,0.24756072,0.24931195,0.25996041
